"plh0206i06","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"4 on scale 1-7","2018","Urban Area","West Germany","18","","",""
"4 on scale 1-7","2018","Urban Area","East Germany","","","",""
"4 on scale 1-7","2018","Rural Area","West Germany","6","","",""
"4 on scale 1-7","2018","Rural Area","East Germany","2","","",""
"5 on scale 1-7","2018","Urban Area","West Germany","21","","",""
"5 on scale 1-7","2018","Urban Area","East Germany","","","",""
"5 on scale 1-7","2018","Rural Area","West Germany","9","","",""
"5 on scale 1-7","2018","Rural Area","East Germany","1","","",""
"6 on scale 1-7","2018","Urban Area","West Germany","30","0.100386290344514","0.0629849224529273","0.1377876582361"
"6 on scale 1-7","2018","Urban Area","East Germany","","","",""
"6 on scale 1-7","2018","Rural Area","West Germany","16","","",""
"6 on scale 1-7","2018","Rural Area","East Germany","4","","",""
"7 Strongly agree","2018","Urban Area","West Germany","168","0.731837310067293","0.676702142272998","0.786972477861588"
"7 Strongly agree","2018","Urban Area","East Germany","15","","",""
"7 Strongly agree","2018","Rural Area","West Germany","90","0.798547864494592","0.727666519575118","0.869429209414067"
"7 Strongly agree","2018","Rural Area","East Germany","23","","",""
"1 Strongly disagree","2019","Urban Area","West Germany","1","","",""
"1 Strongly disagree","2019","Urban Area","East Germany","1","","",""
"1 Strongly disagree","2019","Rural Area","West Germany","1","","",""
"1 Strongly disagree","2019","Rural Area","East Germany","1","","",""
"2 on scale 1-7 ","2019","Urban Area","West Germany","3","","",""
"2 on scale 1-7 ","2019","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2019","Rural Area","West Germany","1","","",""
"2 on scale 1-7 ","2019","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2019","Urban Area","West Germany","3","","",""
"3 on scale 1-7 ","2019","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2019","Rural Area","West Germany","5","","",""
"3 on scale 1-7 ","2019","Rural Area","East Germany","","","",""
"4 on scale 1-7","2019","Urban Area","West Germany","14","","",""
"4 on scale 1-7","2019","Urban Area","East Germany","","","",""
"4 on scale 1-7","2019","Rural Area","West Germany","7","","",""
"4 on scale 1-7","2019","Rural Area","East Germany","","","",""
"5 on scale 1-7","2019","Urban Area","West Germany","21","","",""
"5 on scale 1-7","2019","Urban Area","East Germany","","","",""
"5 on scale 1-7","2019","Rural Area","West Germany","14","","",""
"5 on scale 1-7","2019","Rural Area","East Germany","","","",""
"6 on scale 1-7","2019","Urban Area","West Germany","19","","",""
"6 on scale 1-7","2019","Urban Area","East Germany","","","",""
"6 on scale 1-7","2019","Rural Area","West Germany","7","","",""
"6 on scale 1-7","2019","Rural Area","East Germany","4","","",""
"7 Strongly agree","2019","Urban Area","West Germany","109","0.676628137380791","0.606312847528817","0.746943427232765"
"7 Strongly agree","2019","Urban Area","East Germany","3","","",""
"7 Strongly agree","2019","Rural Area","West Germany","48","0.578456805128745","0.472222311172734","0.684691299084755"
"7 Strongly agree","2019","Rural Area","East Germany","13","","",""
