"plh0206i06","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"7 Strongly agree","2014","16-34 y.","Female","","","",""
"7 Strongly agree","2014","35-65 y.","Male","","","",""
"7 Strongly agree","2014","35-65 y.","Female","","","",""
"7 Strongly agree","2014","66 and older","Male","","","",""
"7 Strongly agree","2014","66 and older","Female","","","",""
"1 Strongly disagree","2015","16-34 y.","Male","75","0.0236992276410373","0.0182750782647899","0.0291233770172848"
"1 Strongly disagree","2015","16-34 y.","Female","109","0.0237835253512428","0.0188039873284475","0.0287630633740381"
"1 Strongly disagree","2015","35-65 y.","Male","137","0.0213180309952309","0.0178959725011397","0.0247400894893221"
"1 Strongly disagree","2015","35-65 y.","Female","245","0.0277569235192857","0.0242183172412919","0.0312955297972795"
"1 Strongly disagree","2015","66 and older","Male","51","0.0280880421348323","0.0214778106730023","0.0346982735966622"
"1 Strongly disagree","2015","66 and older","Female","74","0.0377459772375005","0.0302976405329924","0.0451943139420085"
"2 on scale 1-7 ","2015","16-34 y.","Male","77","0.0223498381258926","0.0170787332445047","0.0276209430072806"
"2 on scale 1-7 ","2015","16-34 y.","Female","122","0.0362286336270445","0.0301221547502039","0.0423351125038851"
"2 on scale 1-7 ","2015","35-65 y.","Male","215","0.0330540963526162","0.0288185755032265","0.037289617202006"
"2 on scale 1-7 ","2015","35-65 y.","Female","319","0.0400346890839204","0.0358118439989415","0.0442575341688993"
"2 on scale 1-7 ","2015","66 and older","Male","54","0.0283195186092739","0.0216828956830176","0.0349561415355302"
"2 on scale 1-7 ","2015","66 and older","Female","68","0.0325672437555401","0.0256301112066158","0.0395043763044645"
"3 on scale 1-7 ","2015","16-34 y.","Male","148","0.0507339688090033","0.0429083963456449","0.0585595412723618"
"3 on scale 1-7 ","2015","16-34 y.","Female","198","0.0520078389658119","0.0447515486612726","0.0592641292703511"
"3 on scale 1-7 ","2015","35-65 y.","Male","350","0.0503215315537841","0.0451423836730093","0.0555006794345589"
"3 on scale 1-7 ","2015","35-65 y.","Female","525","0.0655795441438171","0.0602472448823692","0.0709118434052649"
"3 on scale 1-7 ","2015","66 and older","Male","110","0.0466147351278645","0.0381806438225416","0.0550488264331874"
"3 on scale 1-7 ","2015","66 and older","Female","105","0.0476845618262618","0.0393562225902879","0.0560129010622357"
"4 on scale 1-7","2015","16-34 y.","Male","417","0.134525399555783","0.12235788044163","0.146692918669937"
"4 on scale 1-7","2015","16-34 y.","Female","528","0.144246099422954","0.132764448076636","0.155727750769271"
"4 on scale 1-7","2015","35-65 y.","Male","943","0.135832189164102","0.12771522771488","0.143949150613324"
"4 on scale 1-7","2015","35-65 y.","Female","1330","0.159339492298187","0.151455772375588","0.167223212220786"
"4 on scale 1-7","2015","66 and older","Male","329","0.138193134363661","0.124386409242019","0.151999859485303"
"4 on scale 1-7","2015","66 and older","Female","398","0.16555533715403","0.151029222758937","0.180081451549123"
"5 on scale 1-7","2015","16-34 y.","Male","691","0.241763356509099","0.226495771349579","0.257030941668619"
"5 on scale 1-7","2015","16-34 y.","Female","817","0.243045151741982","0.229028110837746","0.257062192646218"
"5 on scale 1-7","2015","35-65 y.","Male","1519","0.233387837639781","0.223366630174655","0.243409045104908"
"5 on scale 1-7","2015","35-65 y.","Female","1700","0.200772343293979","0.192143623906903","0.209401062681055"
"5 on scale 1-7","2015","66 and older","Male","530","0.221763227692609","0.205142764954312","0.238383690430906"
"5 on scale 1-7","2015","66 and older","Female","560","0.215280266749774","0.199216828996381","0.231343704503167"
"6 on scale 1-7","2015","16-34 y.","Male","850","0.303581266043418","0.287184981937206","0.31997755014963"
"6 on scale 1-7","2015","16-34 y.","Female","957","0.277933343159977","0.26329348586872","0.292573200451235"
"6 on scale 1-7","2015","35-65 y.","Male","2058","0.307143660845118","0.296214534008213","0.318072787682023"
"6 on scale 1-7","2015","35-65 y.","Female","2189","0.265007488572956","0.25550079096317","0.274514186182743"
"6 on scale 1-7","2015","66 and older","Male","737","0.277367087538283","0.259455717668475","0.295278457408091"
"6 on scale 1-7","2015","66 and older","Female","697","0.255069132335287","0.238033194996751","0.272105069673823"
"7 Strongly agree","2015","16-34 y.","Male","763","0.223346943315766","0.208495240071378","0.238198646560155"
"7 Strongly agree","2015","16-34 y.","Female","866","0.222755407730988","0.209157538676666","0.236353276785311"
"7 Strongly agree","2015","35-65 y.","Male","1622","0.218942653449368","0.209145503841683","0.228739803057053"
"7 Strongly agree","2015","35-65 y.","Female","1971","0.241509519087855","0.232290146989707","0.250728891186002"
"7 Strongly agree","2015","66 and older","Male","589","0.259654254533476","0.242113127886041","0.277195381180911"
"7 Strongly agree","2015","66 and older","Female","613","0.246097480941606","0.229263366406237","0.262931595476976"
"1 Strongly disagree","2016","16-34 y.","Male","18","","",""
"1 Strongly disagree","2016","16-34 y.","Female","12","","",""
"1 Strongly disagree","2016","35-65 y.","Male","11","","",""
"1 Strongly disagree","2016","35-65 y.","Female","8","","",""
"1 Strongly disagree","2016","66 and older","Male","","","",""
"1 Strongly disagree","2016","66 and older","Female","","","",""
"2 on scale 1-7 ","2016","16-34 y.","Male","9","","",""
"2 on scale 1-7 ","2016","16-34 y.","Female","8","","",""
"2 on scale 1-7 ","2016","35-65 y.","Male","11","","",""
"2 on scale 1-7 ","2016","35-65 y.","Female","6","","",""
"2 on scale 1-7 ","2016","66 and older","Male","1","","",""
"2 on scale 1-7 ","2016","66 and older","Female","","","",""
"3 on scale 1-7 ","2016","16-34 y.","Male","14","","",""
"3 on scale 1-7 ","2016","16-34 y.","Female","10","","",""
"3 on scale 1-7 ","2016","35-65 y.","Male","5","","",""
"3 on scale 1-7 ","2016","35-65 y.","Female","11","","",""
"3 on scale 1-7 ","2016","66 and older","Male","","","",""
"3 on scale 1-7 ","2016","66 and older","Female","","","",""
"4 on scale 1-7","2016","16-34 y.","Male","82","0.10083908461329","0.0858146448900083","0.115863524336571"
"4 on scale 1-7","2016","16-34 y.","Female","56","0.202872803905144","0.177055204140634","0.228690403669653"
"4 on scale 1-7","2016","35-65 y.","Male","28","","",""
"4 on scale 1-7","2016","35-65 y.","Female","12","","",""
"4 on scale 1-7","2016","66 and older","Male","2","","",""
"4 on scale 1-7","2016","66 and older","Female","2","","",""
"5 on scale 1-7","2016","16-34 y.","Male","136","0.108783594300845","0.0932476227849423","0.124319565816749"
"5 on scale 1-7","2016","16-34 y.","Female","70","0.0773221587810987","0.0601740130507601","0.0944703045114373"
"5 on scale 1-7","2016","35-65 y.","Male","75","0.082383086481151","0.0663804589086581","0.0983857140536439"
"5 on scale 1-7","2016","35-65 y.","Female","56","0.125003390946966","0.100642366687395","0.149364415206538"
"5 on scale 1-7","2016","66 and older","Male","","","",""
"5 on scale 1-7","2016","66 and older","Female","2","","",""
"6 on scale 1-7","2016","16-34 y.","Male","217","0.18914977536682","0.169609154270521","0.208690396463118"
"6 on scale 1-7","2016","16-34 y.","Female","122","0.0808524859314471","0.0633508182992009","0.0983541535636932"
"6 on scale 1-7","2016","35-65 y.","Male","126","0.175841156499038","0.153684343566648","0.197997969431427"
"6 on scale 1-7","2016","35-65 y.","Female","86","0.156218028747821","0.129474903412917","0.182961154082725"
"6 on scale 1-7","2016","66 and older","Male","2","","",""
"6 on scale 1-7","2016","66 and older","Female","4","","",""
"7 Strongly agree","2016","16-34 y.","Male","1067","0.576088187659679","0.551430782442792","0.600745592876566"
"7 Strongly agree","2016","16-34 y.","Female","654","0.510235670367424","0.478142019858685","0.542329320876162"
"7 Strongly agree","2016","35-65 y.","Male","878","0.619262224595439","0.591000943672559","0.647523505518319"
"7 Strongly agree","2016","35-65 y.","Female","529","0.627061083293727","0.591440154530696","0.662682012056759"
"7 Strongly agree","2016","66 and older","Male","6","","",""
"7 Strongly agree","2016","66 and older","Female","8","","",""
"1 Strongly disagree","2017","16-34 y.","Male","16","","",""
"1 Strongly disagree","2017","16-34 y.","Female","8","","",""
"1 Strongly disagree","2017","35-65 y.","Male","7","","",""
"1 Strongly disagree","2017","35-65 y.","Female","6","","",""
"1 Strongly disagree","2017","66 and older","Male","1","","",""
"1 Strongly disagree","2017","66 and older","Female","","","",""
"2 on scale 1-7 ","2017","16-34 y.","Male","5","","",""
"2 on scale 1-7 ","2017","16-34 y.","Female","8","","",""
"2 on scale 1-7 ","2017","35-65 y.","Male","3","","",""
"2 on scale 1-7 ","2017","35-65 y.","Female","4","","",""
"2 on scale 1-7 ","2017","66 and older","Male","","","",""
"2 on scale 1-7 ","2017","66 and older","Female","","","",""
"3 on scale 1-7 ","2017","16-34 y.","Male","15","","",""
"3 on scale 1-7 ","2017","16-34 y.","Female","9","","",""
"3 on scale 1-7 ","2017","35-65 y.","Male","1","","",""
"3 on scale 1-7 ","2017","35-65 y.","Female","5","","",""
"3 on scale 1-7 ","2017","66 and older","Male","","","",""
"3 on scale 1-7 ","2017","66 and older","Female","","","",""
"4 on scale 1-7","2017","16-34 y.","Male","53","0.0598257245199416","0.0457913538515281","0.0738600951883551"
"4 on scale 1-7","2017","16-34 y.","Female","39","0.0640502534157876","0.0465040167129833","0.0815964901185919"
"4 on scale 1-7","2017","35-65 y.","Male","20","","",""
"4 on scale 1-7","2017","35-65 y.","Female","14","","",""
"4 on scale 1-7","2017","66 and older","Male","","","",""
"4 on scale 1-7","2017","66 and older","Female","1","","",""
"5 on scale 1-7","2017","16-34 y.","Male","84","0.0984750689758147","0.0808432631377529","0.116106874813877"
"5 on scale 1-7","2017","16-34 y.","Female","71","0.0939642564970682","0.0730543881459876","0.114874124848149"
"5 on scale 1-7","2017","35-65 y.","Male","49","0.0977017891463894","0.0724241527381882","0.122979425554591"
"5 on scale 1-7","2017","35-65 y.","Female","41","0.0930684429138115","0.065891267863702","0.120245617963921"
"5 on scale 1-7","2017","66 and older","Male","4","","",""
"5 on scale 1-7","2017","66 and older","Female","2","","",""
"6 on scale 1-7","2017","16-34 y.","Male","141","0.143674145505871","0.122917669729304","0.164430621282438"
"6 on scale 1-7","2017","16-34 y.","Female","81","0.0881406546090726","0.0678241329914055","0.10845717622674"
"6 on scale 1-7","2017","35-65 y.","Male","51","0.0860609621256835","0.0621843959397829","0.109937528311584"
"6 on scale 1-7","2017","35-65 y.","Female","51","0.133856656814797","0.102005097100205","0.165708216529389"
"6 on scale 1-7","2017","66 and older","Male","2","","",""
"6 on scale 1-7","2017","66 and older","Female","1","","",""
"7 Strongly agree","2017","16-34 y.","Male","783","0.664719419830615","0.636783166496601","0.692655673164628"
"7 Strongly agree","2017","16-34 y.","Female","532","0.709962838210563","0.677443483151645","0.742482193269481"
"7 Strongly agree","2017","35-65 y.","Male","399","0.759501701074581","0.723116017689786","0.795887384459376"
"7 Strongly agree","2017","35-65 y.","Female","318","0.711444701768565","0.669060800226946","0.753828603310183"
"7 Strongly agree","2017","66 and older","Male","6","","",""
"7 Strongly agree","2017","66 and older","Female","18","","",""
"1 Strongly disagree","2018","16-34 y.","Male","1","","",""
"1 Strongly disagree","2018","16-34 y.","Female","3","","",""
"1 Strongly disagree","2018","35-65 y.","Male","2","","",""
"1 Strongly disagree","2018","35-65 y.","Female","2","","",""
"1 Strongly disagree","2018","66 and older","Male","","","",""
"1 Strongly disagree","2018","66 and older","Female","","","",""
"2 on scale 1-7 ","2018","16-34 y.","Male","2","","",""
"2 on scale 1-7 ","2018","16-34 y.","Female","2","","",""
"2 on scale 1-7 ","2018","35-65 y.","Male","1","","",""
"2 on scale 1-7 ","2018","35-65 y.","Female","2","","",""
"2 on scale 1-7 ","2018","66 and older","Male","","","",""
"2 on scale 1-7 ","2018","66 and older","Female","","","",""
"3 on scale 1-7 ","2018","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2018","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2018","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2018","35-65 y.","Female","1","","",""
"3 on scale 1-7 ","2018","66 and older","Male","","","",""
"3 on scale 1-7 ","2018","66 and older","Female","","","",""
"4 on scale 1-7","2018","16-34 y.","Male","8","","",""
"4 on scale 1-7","2018","16-34 y.","Female","4","","",""
"4 on scale 1-7","2018","35-65 y.","Male","7","","",""
"4 on scale 1-7","2018","35-65 y.","Female","7","","",""
"4 on scale 1-7","2018","66 and older","Male","","","",""
"4 on scale 1-7","2018","66 and older","Female","","","",""
"5 on scale 1-7","2018","16-34 y.","Male","7","","",""
"5 on scale 1-7","2018","16-34 y.","Female","12","","",""
"5 on scale 1-7","2018","35-65 y.","Male","4","","",""
"5 on scale 1-7","2018","35-65 y.","Female","8","","",""
"5 on scale 1-7","2018","66 and older","Male","","","",""
"5 on scale 1-7","2018","66 and older","Female","","","",""
"6 on scale 1-7","2018","16-34 y.","Male","12","","",""
"6 on scale 1-7","2018","16-34 y.","Female","17","","",""
"6 on scale 1-7","2018","35-65 y.","Male","14","","",""
"6 on scale 1-7","2018","35-65 y.","Female","6","","",""
"6 on scale 1-7","2018","66 and older","Male","1","","",""
"6 on scale 1-7","2018","66 and older","Female","","","",""
"7 Strongly agree","2018","16-34 y.","Male","79","0.776975634360681","0.698828204694243","0.855123064027119"
"7 Strongly agree","2018","16-34 y.","Female","107","0.809497669018463","0.745579836683479","0.873415501353446"
"7 Strongly agree","2018","35-65 y.","Male","55","0.686278738110847","0.586455582778115","0.786101893443578"
"7 Strongly agree","2018","35-65 y.","Female","52","0.693974935684","0.591704246811142","0.796245624556859"
"7 Strongly agree","2018","66 and older","Male","2","","",""
"7 Strongly agree","2018","66 and older","Female","1","","",""
"1 Strongly disagree","2019","16-34 y.","Male","1","","",""
"1 Strongly disagree","2019","16-34 y.","Female","1","","",""
"1 Strongly disagree","2019","35-65 y.","Male","1","","",""
"1 Strongly disagree","2019","35-65 y.","Female","1","","",""
"1 Strongly disagree","2019","66 and older","Male","","","",""
"1 Strongly disagree","2019","66 and older","Female","","","",""
"2 on scale 1-7 ","2019","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2019","16-34 y.","Female","2","","",""
"2 on scale 1-7 ","2019","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2019","35-65 y.","Female","2","","",""
"2 on scale 1-7 ","2019","66 and older","Male","","","",""
"2 on scale 1-7 ","2019","66 and older","Female","","","",""
"3 on scale 1-7 ","2019","16-34 y.","Male","1","","",""
"3 on scale 1-7 ","2019","16-34 y.","Female","3","","",""
"3 on scale 1-7 ","2019","35-65 y.","Male","3","","",""
"3 on scale 1-7 ","2019","35-65 y.","Female","1","","",""
"3 on scale 1-7 ","2019","66 and older","Male","","","",""
"3 on scale 1-7 ","2019","66 and older","Female","","","",""
"4 on scale 1-7","2019","16-34 y.","Male","4","","",""
"4 on scale 1-7","2019","16-34 y.","Female","7","","",""
"4 on scale 1-7","2019","35-65 y.","Male","4","","",""
"4 on scale 1-7","2019","35-65 y.","Female","6","","",""
"4 on scale 1-7","2019","66 and older","Male","","","",""
"4 on scale 1-7","2019","66 and older","Female","","","",""
"5 on scale 1-7","2019","16-34 y.","Male","5","","",""
"5 on scale 1-7","2019","16-34 y.","Female","11","","",""
"5 on scale 1-7","2019","35-65 y.","Male","8","","",""
"5 on scale 1-7","2019","35-65 y.","Female","9","","",""
"5 on scale 1-7","2019","66 and older","Male","","","",""
"5 on scale 1-7","2019","66 and older","Female","2","","",""
"6 on scale 1-7","2019","16-34 y.","Male","9","","",""
"6 on scale 1-7","2019","16-34 y.","Female","9","","",""
"6 on scale 1-7","2019","35-65 y.","Male","4","","",""
"6 on scale 1-7","2019","35-65 y.","Female","6","","",""
"6 on scale 1-7","2019","66 and older","Male","2","","",""
"6 on scale 1-7","2019","66 and older","Female","","","",""
"7 Strongly agree","2019","16-34 y.","Male","54","0.638474425954723","0.529009875841357","0.74793897606809"
"7 Strongly agree","2019","16-34 y.","Female","40","0.609081047188547","0.49714561841378","0.721016475963314"
"7 Strongly agree","2019","35-65 y.","Male","38","0.712987233423455","0.596567773967437","0.829406692879473"
"7 Strongly agree","2019","35-65 y.","Female","42","0.68164713144306","0.570103474384886","0.793190788501234"
"7 Strongly agree","2019","66 and older","Male","2","","",""
"7 Strongly agree","2019","66 and older","Female","","","",""
