"m11124","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Disabled","2002","35-65 y.","Not Working","756","0.253544498921022","0.238447806491852","0.268641191350191","1"
"Disabled","2002","66 and older","Full Time","2","","","","1"
"Disabled","2002","66 and older","Part Time","30","0.288851743690475","0.218842929031263","0.358860558349687","1"
"Disabled","2002","66 and older","Not Working","842","0.259302334071623","0.244623048677913","0.273981619465332","1"
"Disabled","2002","16-34 y.","Part Time","30","0.0204614245157393","0.0138919690820747","0.0270308799494039","1"
"Disabled","2002","16-34 y.","Not Working","39","0.0336470139425926","0.0249622286667531","0.0423317992184321","1"
"Disabled","2002","35-65 y.","Full Time","402","0.0705208765852357","0.0644375012947235","0.0766042518757478","1"
"Disabled","2002","35-65 y.","Part Time","243","0.0881232421424176","0.0784558995187719","0.0977905847660633","1"
"Not disabled","2002","35-65 y.","Part Time","3060","0.911876757857582","0.902209415233937","0.921544100481228","0"
"Not disabled","2002","35-65 y.","Not Working","2434","0.746455501078978","0.731358808649808","0.761552193508148","0"
"Not disabled","2002","66 and older","Full Time","41","0.935312994722895","0.861793778206096","1.00883221123969","0"
"Not disabled","2002","66 and older","Part Time","131","0.711148256309525","0.641139441650313","0.781157070968737","0"
"Not disabled","2002","66 and older","Not Working","2582","0.740697665928377","0.726018380534668","0.755376951322087","0"
"Not disabled","2002","16-34 y.","Full Time","2698","0.982537909858575","0.977636083101634","0.987439736615516","0"
"Not disabled","2002","16-34 y.","Part Time","1754","0.979538575484261","0.972969120050596","0.986108030917925","0"
"Not disabled","2002","16-34 y.","Not Working","1617","0.966352986057407","0.957668200781568","0.975037771333247","0"
"Not disabled","2002","35-65 y.","Full Time","6402","0.929479123414764","0.923395748124252","0.935562498705277","0"
"Disabled","2003","16-34 y.","Full Time","50","0.0223715818273052","0.0165825467758395","0.0281606168787709","1"
"Disabled","2003","35-65 y.","Not Working","706","0.239139809890391","0.224001529606531","0.25427809017425","1"
"Disabled","2003","66 and older","Full Time","3","","","","1"
"Disabled","2003","66 and older","Part Time","25","","","","1"
"Disabled","2003","66 and older","Not Working","868","0.262440975185327","0.247821388699951","0.277060561670703","1"
"Disabled","2003","16-34 y.","Part Time","20","","","","1"
"Disabled","2003","16-34 y.","Not Working","36","0.0237573846200925","0.0164157991447397","0.0310989700954454","1"
"Disabled","2003","35-65 y.","Full Time","367","0.069050353167889","0.0628275519165113","0.0752731544192667","1"
"Disabled","2003","35-65 y.","Part Time","269","0.0909972333353781","0.0811184698092047","0.100875996861551","1"
"Not disabled","2003","35-65 y.","Part Time","2987","0.909002766664622","0.899124003138448","0.918881530190795","0"
"Not disabled","2003","35-65 y.","Not Working","2344","0.760860190109609","0.74572190982575","0.775998470393469","0"
"Not disabled","2003","66 and older","Full Time","44","0.954185328510882","0.894410571718125","1.01396008530364","0"
"Not disabled","2003","66 and older","Part Time","137","0.791117865493814","0.728519667963994","0.853716063023634","0"
"Not disabled","2003","66 and older","Not Working","2611","0.737559024814673","0.722939438329297","0.752178611300049","0"
"Not disabled","2003","16-34 y.","Full Time","2457","0.977628418172695","0.971839383121229","0.983417453224161","0"
"Not disabled","2003","16-34 y.","Part Time","1704","0.988059722509726","0.98293254600781","0.993186899011641","0"
"Not disabled","2003","16-34 y.","Not Working","1617","0.976242615379908","0.968901029904555","0.98358420085526","0"
"Not disabled","2003","35-65 y.","Full Time","6010","0.930949646832111","0.924726845580733","0.937172448083489","0"
"Disabled","2004","16-34 y.","Full Time","52","0.0230108685039875","0.016896473768934","0.029125263239041","1"
"Disabled","2004","35-65 y.","Not Working","704","0.254613871052851","0.238837028611548","0.270390713494154","1"
"Disabled","2004","66 and older","Full Time","6","","","","1"
"Disabled","2004","66 and older","Part Time","29","","","","1"
"Disabled","2004","66 and older","Not Working","899","0.265523204543071","0.25104309447418","0.280003314611962","1"
"Disabled","2004","16-34 y.","Part Time","25","","","","1"
"Disabled","2004","16-34 y.","Not Working","34","0.0275111128249435","0.0197197036114951","0.0353025220383918","1"
"Disabled","2004","35-65 y.","Full Time","379","0.0726639865267206","0.0661609667517082","0.079167006301733","1"
"Disabled","2004","35-65 y.","Part Time","240","0.0876080848873146","0.0778184916995123","0.0973976780751169","1"
"Not disabled","2004","35-65 y.","Part Time","2964","0.912391915112685","0.902602321924883","0.922181508300488","0"
"Not disabled","2004","35-65 y.","Not Working","2225","0.745386128947149","0.729609286505847","0.761162971388452","0"
"Not disabled","2004","66 and older","Full Time","39","0.824731825193355","0.713648277098695","0.935815373288015","0"
"Not disabled","2004","66 and older","Part Time","152","0.816982050455732","0.760649177098324","0.87331492381314","0"
"Not disabled","2004","66 and older","Not Working","2674","0.734476795456929","0.719996685388038","0.74895690552582","0"
"Not disabled","2004","16-34 y.","Full Time","2258","0.976989131496012","0.970874736760959","0.983103526231066","0"
"Not disabled","2004","16-34 y.","Part Time","1613","0.980155776153912","0.973401858632259","0.986909693675566","0"
"Not disabled","2004","16-34 y.","Not Working","1659","0.972488887175057","0.964697477961608","0.980280296388505","0"
"Not disabled","2004","35-65 y.","Full Time","5742","0.927336013473279","0.920832993698267","0.933839033248292","0"
"Disabled","2005","16-34 y.","Full Time","46","0.0252694075888845","0.0185633843829326","0.0319754307948364","1"
"Disabled","2005","35-65 y.","Not Working","675","0.253346274110693","0.236934935831603","0.269757612389784","1"
"Disabled","2005","66 and older","Full Time","5","","","","1"
"Disabled","2005","66 and older","Part Time","33","0.190237130524468","0.134281504145898","0.246192756903037","1"
"Disabled","2005","66 and older","Not Working","903","0.267947059868447","0.253435180303128","0.282458939433767","1"
"Disabled","2005","16-34 y.","Part Time","20","","","","1"
"Disabled","2005","16-34 y.","Not Working","34","0.0240309358785374","0.0165849059657617","0.031476965791313","1"
"Disabled","2005","35-65 y.","Full Time","372","0.0725758766117901","0.0659592487568845","0.0791925044666957","1"
"Disabled","2005","35-65 y.","Part Time","233","0.0864850153335051","0.0764685689026772","0.096501461764333","1"
"Not disabled","2005","16-34 y.","Full Time","2058","0.974730592411115","0.968024569205164","0.981436615617067","0"
"Not disabled","2005","16-34 y.","Part Time","1591","0.98234432995858","0.975913392380164","0.988775267536995","0"
"Not disabled","2005","16-34 y.","Not Working","1591","0.975969064121463","0.968523034208687","0.983415094034238","0"
"Not disabled","2005","35-65 y.","Part Time","2792","0.913514984666495","0.903498538235667","0.923531431097323","0"
"Not disabled","2005","35-65 y.","Not Working","2023","0.746653725889307","0.730242387610216","0.763065064168397","0"
"Not disabled","2005","66 and older","Full Time","33","0.909079310295372","0.817670398166734","1.00048822242401","0"
"Not disabled","2005","66 and older","Part Time","156","0.809762869475532","0.753807243096963","0.865718495854102","0"
"Not disabled","2005","66 and older","Not Working","2675","0.732052940131553","0.717541060566233","0.746564819696872","0"
"Not disabled","2005","35-65 y.","Full Time","5534","0.92742412338821","0.920807495533304","0.934040751243116","0"
"Disabled","2006","35-65 y.","Not Working","713","0.256386470911603","0.240450752152353","0.272322189670853","1"
"Disabled","2006","66 and older","Full Time","6","","","","1"
"Disabled","2006","66 and older","Part Time","39","0.190538693317021","0.13989425728931","0.241183129344731","1"
"Disabled","2006","66 and older","Not Working","1072","0.273996902267138","0.260479347429663","0.287514457104613","1"
"Disabled","2006","16-34 y.","Full Time","39","0.0229844594367767","0.016630949508613","0.0293379693649404","1"
"Disabled","2006","16-34 y.","Part Time","19","","","","1"
"Disabled","2006","16-34 y.","Not Working","33","0.033956651921049","0.0247726169046412","0.0431406869374568","1"
"Disabled","2006","35-65 y.","Full Time","397","0.0740097170855678","0.0675195531167479","0.0804998810543877","1"
"Disabled","2006","35-65 y.","Part Time","245","0.0827049633864096","0.0732803122242852","0.0921296145485339","1"
"Not disabled","2006","16-34 y.","Full Time","2098","0.977015540563223","0.97066203063506","0.983369050491387","0"
"Not disabled","2006","16-34 y.","Part Time","1495","0.987409157624621","0.981792717642627","0.993025597606616","0"
"Not disabled","2006","16-34 y.","Not Working","1461","0.966043348078951","0.956859313062543","0.975227383095359","0"
"Not disabled","2006","35-65 y.","Part Time","3036","0.91729503661359","0.907870385451466","0.926719687775715","0"
"Not disabled","2006","35-65 y.","Not Working","2171","0.743613529088397","0.727677810329147","0.759549247847647","0"
"Not disabled","2006","66 and older","Full Time","54","0.831964751539153","0.737357347617499","0.926572155460807","0"
"Not disabled","2006","66 and older","Part Time","192","0.809461306682979","0.758816870655269","0.86010574271069","0"
"Not disabled","2006","66 and older","Not Working","3110","0.726003097732862","0.712485542895387","0.739520652570337","0"
"Not disabled","2006","35-65 y.","Full Time","5853","0.925990282914432","0.919500118945612","0.932480446883252","0"
"Disabled","2007","35-65 y.","Not Working","648","0.26056145517156","0.243450837614682","0.277672072728438","1"
"Disabled","2007","66 and older","Full Time","8","","","","1"
"Disabled","2007","66 and older","Part Time","30","0.14769346943292","0.100595910465844","0.194791028399996","1"
"Disabled","2007","66 and older","Not Working","1028","0.266012332950378","0.252514845732788","0.279509820167968","1"
"Disabled","2007","16-34 y.","Full Time","38","0.0243193764735443","0.0175103285271778","0.0311284244199108","1"
"Disabled","2007","16-34 y.","Part Time","20","","","","1"
"Disabled","2007","16-34 y.","Not Working","24","","","","1"
"Disabled","2007","35-65 y.","Full Time","377","0.0779668760259132","0.0711026660731245","0.084831085978702","1"
"Disabled","2007","35-65 y.","Part Time","250","0.0852120761448354","0.0753487233334954","0.0950754289561754","1"
"Not disabled","2007","16-34 y.","Full Time","1928","0.975680623526456","0.968871575580089","0.982489671472822","0"
"Not disabled","2007","16-34 y.","Part Time","1408","0.985865232554993","0.979742615504042","0.991987849605944","0"
"Not disabled","2007","16-34 y.","Not Working","1310","0.976971825249958","0.968922843287925","0.985020807211992","0"
"Not disabled","2007","35-65 y.","Part Time","2828","0.914787923855165","0.904924571043825","0.924651276666505","0"
"Not disabled","2007","35-65 y.","Not Working","1880","0.73943854482844","0.722327927271562","0.756549162385318","0"
"Not disabled","2007","66 and older","Full Time","46","0.801709635120344","0.695366228461766","0.908053041778922","0"
"Not disabled","2007","66 and older","Part Time","188","0.85230653056708","0.805208971600004","0.899404089534156","0"
"Not disabled","2007","35-65 y.","Full Time","5484","0.922033123974087","0.915168914021298","0.928897333926875","0"
"Not disabled","2007","66 and older","Not Working","3089","0.733987667049622","0.720490179832032","0.747485154267212","0"
"Disabled","2008","35-65 y.","Not Working","586","0.264768752420775","0.246402921271385","0.283134583570165","1"
"Disabled","2008","66 and older","Full Time","6","","","","1"
"Disabled","2008","66 and older","Part Time","29","","","","1"
"Disabled","2008","66 and older","Not Working","987","0.263500114999054","0.249947743078352","0.277052486919757","1"
"Disabled","2008","16-34 y.","Full Time","26","","","","1"
"Disabled","2008","16-34 y.","Part Time","21","","","","1"
"Disabled","2008","16-34 y.","Not Working","23","","","","1"
"Disabled","2008","35-65 y.","Full Time","370","0.0809934650996713","0.0738363588499368","0.0881505713494058","1"
"Disabled","2008","35-65 y.","Part Time","231","0.0877932257994459","0.0774452017854113","0.0981412498134805","1"
"Not disabled","2008","16-34 y.","Full Time","1834","0.987218547617949","0.982113634263797","0.992323460972101","0"
"Not disabled","2008","16-34 y.","Part Time","1294","0.979809721190226","0.972207732052626","0.987411710327825","0"
"Not disabled","2008","16-34 y.","Not Working","1177","0.969712963249473","0.96001663161281","0.979409294886136","0"
"Not disabled","2008","35-65 y.","Part Time","2642","0.912206774200554","0.90185875018652","0.922554798214589","0"
"Not disabled","2008","35-65 y.","Not Working","1631","0.735231247579225","0.716865416429836","0.753597078728615","0"
"Not disabled","2008","66 and older","Full Time","52","0.878065049596029","0.793855461573854","0.962274637618203","0"
"Not disabled","2008","66 and older","Part Time","200","0.892940890494633","0.852895409102429","0.932986371886837","0"
"Not disabled","2008","35-65 y.","Full Time","5212","0.919006534900329","0.911849428650594","0.926163641150063","0"
"Not disabled","2008","66 and older","Not Working","3072","0.736499885000946","0.722947513080243","0.750052256921649","0"
"Disabled","2009","35-65 y.","Not Working","541","0.295835016704763","0.275435473136424","0.316234560273103","1"
"Disabled","2009","66 and older","Full Time","9","","","","1"
"Disabled","2009","66 and older","Part Time","34","0.114872370160155","0.0752665366670017","0.154478203653308","1"
"Disabled","2009","66 and older","Not Working","937","0.258780289365376","0.245024383527554","0.272536195203198","1"
"Disabled","2009","16-34 y.","Full Time","26","","","","1"
"Disabled","2009","16-34 y.","Part Time","19","","","","1"
"Disabled","2009","16-34 y.","Not Working","22","","","","1"
"Disabled","2009","35-65 y.","Full Time","348","0.0777700480360299","0.0704966325253798","0.0850434635466799","1"
"Disabled","2009","35-65 y.","Part Time","230","0.0892232026947782","0.0785572188701469","0.0998891865194095","1"
"Not disabled","2009","16-34 y.","Full Time","1707","0.98977641847015","0.985040339958196","0.994512496982104","0"
"Not disabled","2009","16-34 y.","Part Time","1213","0.978218137721062","0.970067190208599","0.986369085233524","0"
"Not disabled","2009","16-34 y.","Not Working","1017","0.971277852098478","0.961121902960844","0.981433801236112","0"
"Not disabled","2009","35-65 y.","Part Time","2514","0.910776797305222","0.900110813480591","0.921442781129853","0"
"Not disabled","2009","35-65 y.","Not Working","1382","0.704164983295237","0.683765439726898","0.724564526863576","0"
"Not disabled","2009","66 and older","Full Time","56","0.800290115389941","0.703101606398948","0.897478624380934","0"
"Not disabled","2009","66 and older","Part Time","215","0.885127629839845","0.845521796346692","0.924733463332998","0"
"Not disabled","2009","35-65 y.","Full Time","4860","0.92222995196397","0.91495653645332","0.92950336747462","0"
"Not disabled","2009","66 and older","Not Working","2957","0.741219710634624","0.727463804796802","0.754975616472446","0"
"Disabled","2010","35-65 y.","Not Working","575","0.302646044923549","0.284973874846638","0.32031821500046","1"
"Disabled","2010","66 and older","Full Time","9","","","","1"
"Disabled","2010","66 and older","Part Time","43","0.146681613248949","0.102107388474646","0.191255838023253","1"
"Disabled","2010","66 and older","Not Working","882","0.250140819239868","0.236271781020449","0.264009857459287","1"
"Disabled","2010","16-34 y.","Full Time","32","0.0181029285767046","0.0128777799711246","0.0233280771822846","1"
"Disabled","2010","16-34 y.","Part Time","33","0.0204777992840211","0.0142985417915308","0.0266570567765115","1"
"Disabled","2010","16-34 y.","Not Working","40","0.03163993738965","0.0240811744779071","0.0391987003013928","1"
"Disabled","2010","35-65 y.","Full Time","362","0.067663865231481","0.0616429564866903","0.0736847739762717","1"
"Disabled","2010","35-65 y.","Part Time","283","0.107611759985911","0.0981122887106712","0.11711123126115","1"
"Not disabled","2010","16-34 y.","Full Time","2469","0.981897071423295","0.976671922817715","0.987122220028875","0"
"Not disabled","2010","16-34 y.","Part Time","1985","0.979522200715979","0.973342943223488","0.985701458208469","0"
"Not disabled","2010","16-34 y.","Not Working","2020","0.96836006261035","0.960801299698607","0.975918825522093","0"
"Not disabled","2010","35-65 y.","Part Time","3805","0.892388240014089","0.88288876873885","0.901887711289329","0"
"Not disabled","2010","35-65 y.","Not Working","2021","0.697353955076451","0.67968178499954","0.715026125153362","0"
"Not disabled","2010","66 and older","Full Time","56","0.74849464324949","0.643017251815764","0.853972034683217","0"
"Not disabled","2010","66 and older","Part Time","199","0.853318386751051","0.808744161976747","0.897892611525354","0"
"Not disabled","2010","66 and older","Not Working","2864","0.749859180760132","0.735990142540713","0.763728218979551","0"
"Not disabled","2010","35-65 y.","Full Time","6323","0.932336134768519","0.926315226023728","0.93835704351331","0"
"Disabled","2011","35-65 y.","Not Working","791","0.314332855865954","0.29825023541223","0.330415476319678","1"
"Disabled","2011","66 and older","Full Time","8","","","","1"
"Disabled","2011","66 and older","Part Time","47","0.139915036980052","0.102142299600509","0.177687774359596","1"
"Disabled","2011","66 and older","Not Working","1112","0.245771075783416","0.233610142043563","0.25793200952327","1"
"Disabled","2011","16-34 y.","Full Time","39","0.0186263251037912","0.0133297094755654","0.023922940732017","1"
"Disabled","2011","16-34 y.","Part Time","41","0.0204713515974984","0.0145379156002206","0.0264047875947762","1"
"Disabled","2011","16-34 y.","Not Working","36","0.0258039726753848","0.0190675590906252","0.0325403862601444","1"
"Disabled","2011","35-65 y.","Full Time","468","0.0666695448465127","0.0612288008777577","0.0721102888152677","1"
"Disabled","2011","35-65 y.","Part Time","368","0.103309781205525","0.0950044441103023","0.111615118300747","1"
"Not disabled","2011","66 and older","Part Time","277","0.860084963019948","0.822312225640404","0.897857700399491","0"
"Not disabled","2011","16-34 y.","Full Time","2464","0.981373674896209","0.976077059267983","0.986670290524435","0"
"Not disabled","2011","16-34 y.","Part Time","2147","0.979528648402502","0.973595212405224","0.985462084399779","0"
"Not disabled","2011","16-34 y.","Not Working","2092","0.974196027324615","0.967459613739856","0.980932440909375","0"
"Not disabled","2011","35-65 y.","Part Time","4791","0.896690218794475","0.888384881699253","0.904995555889698","0"
"Not disabled","2011","35-65 y.","Not Working","2410","0.685667144134046","0.669584523680322","0.70174976458777","0"
"Not disabled","2011","66 and older","Full Time","55","0.860270463163898","0.774657519070364","0.945883407257433","0"
"Not disabled","2011","66 and older","Not Working","3703","0.754228924216584","0.74206799047673","0.766389857956437","0"
"Not disabled","2011","35-65 y.","Full Time","7607","0.933330455153487","0.927889711184732","0.938771199122242","0"
"Disabled","2012","35-65 y.","Not Working","830","0.324524449472747","0.307965350164819","0.341083548780676","1"
"Disabled","2012","66 and older","Full Time","9","","","","1"
"Disabled","2012","66 and older","Part Time","54","0.137256997609097","0.101256997430584","0.17325699778761","1"
"Disabled","2012","66 and older","Not Working","1145","0.244834402821493","0.232711768271823","0.256957037371164","1"
"Disabled","2012","16-34 y.","Full Time","44","0.021883773312095","0.0160727188753297","0.0276948277488603","1"
"Disabled","2012","16-34 y.","Part Time","31","0.0207140151831046","0.0145290182134112","0.0268990121527979","1"
"Disabled","2012","16-34 y.","Not Working","47","0.0446844063530822","0.035364779464293","0.0540040332418713","1"
"Disabled","2012","35-65 y.","Full Time","474","0.0733173829900718","0.0675840544986826","0.079050711481461","1"
"Disabled","2012","35-65 y.","Part Time","398","0.102217943998876","0.0938834526745551","0.110552435323197","1"
"Not disabled","2012","66 and older","Part Time","297","0.862743002390903","0.826743002212389","0.898743002569416","0"
"Not disabled","2012","16-34 y.","Full Time","2391","0.978116226687905","0.97230517225114","0.98392728112467","0"
"Not disabled","2012","16-34 y.","Part Time","2006","0.979285984816895","0.973100987847202","0.985470981786589","0"
"Not disabled","2012","16-34 y.","Not Working","1841","0.955315593646918","0.945995966758129","0.964635220535707","0"
"Not disabled","2012","35-65 y.","Part Time","4677","0.897782056001124","0.889447564676803","0.906116547325445","0"
"Not disabled","2012","35-65 y.","Not Working","2241","0.675475550527253","0.658916451219324","0.692034649835181","0"
"Not disabled","2012","66 and older","Full Time","58","0.8244183557436","0.733317161129143","0.915519550358057","0"
"Not disabled","2012","66 and older","Not Working","3688","0.755165597178507","0.743042962628836","0.767288231728177","0"
"Not disabled","2012","35-65 y.","Full Time","7466","0.926682617009928","0.920949288518539","0.932415945501317","0"
"Disabled","2013","16-34 y.","Full Time","47","0.0238888943467965","0.0175108565947448","0.0302669320988482","1"
"Disabled","2013","16-34 y.","Part Time","25","","","","1"
"Disabled","2013","16-34 y.","Not Working","74","0.0322694432958657","0.0266367290945036","0.0379021574972277","1"
"Disabled","2013","35-65 y.","Full Time","455","0.0734830489385915","0.0675667524793164","0.0793993453978666","1"
"Disabled","2013","35-65 y.","Part Time","423","0.118641078509158","0.109585157074239","0.127696999944076","1"
"Disabled","2013","35-65 y.","Not Working","925","0.274569227051122","0.262630287446137","0.286508166656107","1"
"Disabled","2013","66 and older","Full Time","6","","","","1"
"Disabled","2013","66 and older","Part Time","46","0.110149231894211","0.0786713414841566","0.141627122304265","1"
"Disabled","2013","66 and older","Not Working","1075","0.239256584105034","0.227008741697178","0.25150442651289","1"
"Not disabled","2013","66 and older","Part Time","334","0.889850768105789","0.858372877695735","0.921328658515843","0"
"Not disabled","2013","66 and older","Full Time","50","0.861151024528955","0.770585047096077","0.951717001961834","0"
"Not disabled","2013","16-34 y.","Full Time","2155","0.976111105653203","0.969733067901152","0.982489143405255","0"
"Not disabled","2013","16-34 y.","Part Time","1871","0.981789400191503","0.975770734523806","0.987808065859201","0"
"Not disabled","2013","16-34 y.","Not Working","3707","0.967730556704134","0.962097842502772","0.973363270905496","0"
"Not disabled","2013","35-65 y.","Part Time","4475","0.881358921490842","0.872303000055924","0.890414842925761","0"
"Not disabled","2013","35-65 y.","Not Working","4443","0.725430772948878","0.713491833343894","0.737369712553863","0"
"Not disabled","2013","66 and older","Not Working","3586","0.760743415894966","0.74849557348711","0.772991258302822","0"
"Not disabled","2013","35-65 y.","Full Time","7017","0.926516951061409","0.920600654602133","0.932433247520684","0"
"Disabled","2014","16-34 y.","Full Time","58","0.029847186758684","0.0231432136340078","0.0365511598833602","1"
"Disabled","2014","16-34 y.","Part Time","40","0.0239717519005513","0.0175016197737682","0.0304418840273343","1"
"Disabled","2014","16-34 y.","Not Working","49","0.0352192691285759","0.027069012310919","0.0433695259462328","1"
"Disabled","2014","35-65 y.","Full Time","455","0.0733753544669315","0.0675448020495482","0.0792059068843149","1"
"Disabled","2014","35-65 y.","Part Time","404","0.111208989259716","0.102513790568395","0.119904187951036","1"
"Disabled","2014","35-65 y.","Not Working","794","0.356197469608212","0.338689875731166","0.373705063485258","1"
"Disabled","2014","66 and older","Full Time","8","","","","1"
"Disabled","2014","66 and older","Part Time","65","0.140528431754465","0.10625580428575","0.174801059223179","1"
"Disabled","2014","66 and older","Not Working","1118","0.254721814963839","0.242021247890914","0.267422382036764","1"
"Not disabled","2014","66 and older","Part Time","330","0.859471568245535","0.825198940776821","0.89374419571425","0"
"Not disabled","2014","16-34 y.","Full Time","2417","0.970152813241316","0.96344884011664","0.976856786365992","0"
"Not disabled","2014","16-34 y.","Part Time","2107","0.976028248099449","0.969558115972666","0.982498380226232","0"
"Not disabled","2014","66 and older","Full Time","74","0.907146671394166","0.844329459153877","0.969963883634456","0"
"Not disabled","2014","16-34 y.","Not Working","1916","0.964780730871424","0.956630474053767","0.972930987689081","0"
"Not disabled","2014","35-65 y.","Part Time","4618","0.888791010740284","0.880095812048964","0.897486209431605","0"
"Not disabled","2014","35-65 y.","Not Working","2080","0.643802530391788","0.626294936514742","0.661310124268834","0"
"Not disabled","2014","66 and older","Not Working","3403","0.745278185036161","0.732577617963236","0.757978752109086","0"
"Not disabled","2014","35-65 y.","Full Time","7228","0.926624645533069","0.920794093115685","0.932455197950452","0"
"Disabled","2015","16-34 y.","Full Time","37","0.0237599616670337","0.0173987388333435","0.030121184500724","1"
"Disabled","2015","16-34 y.","Part Time","43","0.0281437679021985","0.0207938849922846","0.0354936508121123","1"
"Disabled","2015","16-34 y.","Not Working","48","0.0269978098219549","0.0207389339657527","0.0332566856781571","1"
"Disabled","2015","35-65 y.","Full Time","413","0.0742182902370577","0.0681757611523359","0.0802608193217796","1"
"Disabled","2015","35-65 y.","Part Time","363","0.103030516120035","0.0943908106056403","0.11167022163443","1"
"Disabled","2015","35-65 y.","Not Working","742","0.347978134371846","0.331589310114119","0.364366958629573","1"
"Disabled","2015","66 and older","Full Time","8","","","","1"
"Disabled","2015","66 and older","Part Time","68","0.156522014576761","0.122138993340849","0.190905035812673","1"
"Disabled","2015","66 and older","Not Working","1049","0.242913127048429","0.230291956674439","0.255534297422419","1"
"Not disabled","2015","66 and older","Part Time","361","0.843477985423239","0.809094964187327","0.877861006659151","0"
"Not disabled","2015","16-34 y.","Full Time","2165","0.976240038332966","0.969878815499276","0.982601261166657","0"
"Not disabled","2015","16-34 y.","Part Time","1902","0.971856232097802","0.964506349187888","0.979206115007715","0"
"Not disabled","2015","66 and older","Full Time","77","0.937104436205337","0.885493393614243","0.98871547879643","0"
"Not disabled","2015","16-34 y.","Not Working","2528","0.973002190178045","0.966743314321843","0.979261066034247","0"
"Not disabled","2015","35-65 y.","Part Time","4393","0.896969483879965","0.88832977836557","0.90560918939436","0"
"Not disabled","2015","35-65 y.","Full Time","6816","0.925781709762942","0.91973918067822","0.931824238847664","0"
"Not disabled","2015","35-65 y.","Not Working","2503","0.652021865628154","0.635633041370427","0.668410689885881","0"
"Not disabled","2015","66 and older","Not Working","3386","0.757086872951571","0.744465702577581","0.769708043325561","0"
"Disabled","2016","16-34 y.","Full Time","38","0.0235674321273566","0.0171342665780409","0.0300005976766722","1"
"Disabled","2016","16-34 y.","Part Time","33","0.0283168573434166","0.0209336673031726","0.0357000473836607","1"
"Disabled","2016","16-34 y.","Not Working","41","0.0323731201907919","0.0237277937823451","0.0410184465992386","1"
"Disabled","2016","35-65 y.","Full Time","387","0.0737231337863574","0.0675843183453267","0.0798619492273881","1"
"Disabled","2016","35-65 y.","Part Time","361","0.103150969874143","0.0943738365965567","0.11192810315173","1"
"Disabled","2016","35-65 y.","Not Working","648","0.368267984268243","0.348783303819379","0.387752664717106","1"
"Disabled","2016","66 and older","Full Time","7","","","","1"
"Disabled","2016","66 and older","Part Time","74","0.168161488482727","0.132134272480709","0.204188704484745","1"
"Disabled","2016","66 and older","Not Working","1023","0.249597982952779","0.236597370924882","0.262598594980677","1"
"Not disabled","2016","66 and older","Part Time","340","0.831838511517273","0.795811295515255","0.867865727519291","0"
"Not disabled","2016","16-34 y.","Not Working","1569","0.967626879809208","0.958981553400761","0.976272206217655","0"
"Not disabled","2016","35-65 y.","Not Working","1706","0.631732015731757","0.612247335282894","0.651216696180621","0"
"Not disabled","2016","16-34 y.","Full Time","2098","0.976432567872643","0.969999402323328","0.982865733421959","0"
"Not disabled","2016","16-34 y.","Part Time","1906","0.971683142656583","0.964299952616339","0.979066332696827","0"
"Not disabled","2016","35-65 y.","Part Time","4252","0.896849030125857","0.88807189684827","0.905626163403443","0"
"Not disabled","2016","35-65 y.","Full Time","6574","0.926276866213643","0.920138050772612","0.932415681654673","0"
"Not disabled","2016","66 and older","Full Time","81","0.924888506224669","0.869819828868396","0.979957183580943","0"
"Not disabled","2016","66 and older","Not Working","3234","0.750402017047221","0.737401405019323","0.763402629075118","0"
"Disabled","2017","16-34 y.","Full Time","42","0.0168625939816529","0.011770420258371","0.0219547677049349","1"
"Disabled","2017","16-34 y.","Part Time","39","0.0302832070268433","0.0228523774893911","0.0377140365642955","1"
"Disabled","2017","16-34 y.","Not Working","51","0.0406283877071547","0.0313599267817691","0.0498968486325403","1"
"Disabled","2017","35-65 y.","Full Time","438","0.0658035493102796","0.0603219383113426","0.0712851603092166","1"
"Disabled","2017","35-65 y.","Part Time","448","0.121660854602372","0.112699798028556","0.130621911176187","1"
"Disabled","2017","35-65 y.","Not Working","739","0.385179140659784","0.365850367689684","0.404507913629883","1"
"Disabled","2017","66 and older","Full Time","6","","","","1"
"Disabled","2017","66 and older","Part Time","80","0.144715685843306","0.114212113880443","0.175219257806168","1"
"Disabled","2017","66 and older","Not Working","1028","0.236939428385299","0.224398440924198","0.249480415846399","1"
"Not disabled","2017","66 and older","Part Time","431","0.855284314156694","0.824780742193832","0.885787886119557","0"
"Not disabled","2017","35-65 y.","Not Working","1696","0.614820859340216","0.595492086370117","0.634149632310316","0"
"Not disabled","2017","16-34 y.","Full Time","2414","0.983137406018347","0.978045232295065","0.988229579741629","0"
"Not disabled","2017","16-34 y.","Part Time","2004","0.969716792973157","0.962285963435704","0.977147622510609","0"
"Not disabled","2017","16-34 y.","Not Working","1692","0.959371612292845","0.95010315136746","0.968640073218231","0"
"Not disabled","2017","35-65 y.","Full Time","7421","0.93419645068972","0.928714839690784","0.939678061688657","0"
"Not disabled","2017","35-65 y.","Part Time","4664","0.878339145397628","0.869378088823813","0.887300201971444","0"
"Not disabled","2017","66 and older","Not Working","3388","0.763060571614701","0.750519584153601","0.775601559075802","0"
"Not disabled","2017","66 and older","Full Time","84","0.957740308302934","0.91617663893412","0.999303977671748","0"
