"transab_cat","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1994","general elemantary","East Germany","2","","","","5"
"Complete transfer dependency","1994","higher vocational","West Germany","1","","","","5"
"Complete transfer dependency","1994","middle vocational","West Germany","20","","","","5"
"Complete transfer dependency","1994","middle vocational","East Germany","12","","","","5"
"Complete transfer dependency","1994","vocational + Abi","West Germany","3","","","","5"
"Complete transfer dependency","1994","vocational + Abi","East Germany","2","","","","5"
"High transfer dependency","1994","in school","East Germany","4","","","","3"
"High transfer dependency","1994","general elemantary","West Germany","38","0.0191049308923728","0.0131601399343502","0.0250497218503955","3"
"High transfer dependency","1994","higher education","East Germany","21","","","","3"
"High transfer dependency","1994","inadequately","West Germany","13","","","","3"
"High transfer dependency","1994","higher vocational","East Germany","7","","","","3"
"High transfer dependency","1994","higher education","West Germany","5","","","","3"
"High transfer dependency","1994","inadequately","East Germany","","","","","3"
"High transfer dependency","1994","in school","West Germany","2","","","","3"
"High transfer dependency","1994","general elemantary","East Germany","15","","","","3"
"High transfer dependency","1994","higher vocational","West Germany","2","","","","3"
"High transfer dependency","1994","middle vocational","West Germany","37","0.0080103066038024","0.00534935344706874","0.0106712597605361","3"
"High transfer dependency","1994","middle vocational","East Germany","75","0.0401279175715047","0.0315967319128337","0.0486591032301757","3"
"High transfer dependency","1994","vocational + Abi","West Germany","4","","","","3"
"High transfer dependency","1994","vocational + Abi","East Germany","2","","","","3"
"Low transfer dependency","1994","in school","West Germany","5","","","","2"
"Low transfer dependency","1994","in school","East Germany","9","","","","2"
"Low transfer dependency","1994","inadequately","West Germany","34","0.0673685195245274","0.0459881765905987","0.0887488624584561","2"
"Low transfer dependency","1994","inadequately","East Germany","","","","","2"
"Low transfer dependency","1994","general elemantary","West Germany","92","0.0277757254298913","0.0206395008023173","0.0349119500574652","2"
"Low transfer dependency","1994","general elemantary","East Germany","51","0.0954953589201432","0.0666216158613456","0.124369101978941","2"
"Low transfer dependency","1994","middle vocational","West Germany","147","0.0267760572209639","0.0219572585081539","0.0315948559337739","2"
"Low transfer dependency","1994","middle vocational","East Germany","285","0.120318573359412","0.106176650959806","0.134460495759018","2"
"Low transfer dependency","1994","vocational + Abi","West Germany","23","","","","2"
"Low transfer dependency","1994","vocational + Abi","East Germany","8","","","","2"
"Low transfer dependency","1994","higher vocational","West Germany","14","","","","2"
"Low transfer dependency","1994","higher vocational","East Germany","23","","","","2"
"Low transfer dependency","1994","higher education","West Germany","18","","","","2"
"Low transfer dependency","1994","higher education","East Germany","56","0.0622620722937111","0.0458433652276723","0.0786807793597498","2"
"No transfer dependency","1994","in school","West Germany","5","","","","0"
"No transfer dependency","1994","in school","East Germany","4","","","","0"
"No transfer dependency","1994","inadequately","West Germany","155","0.300632801729093","0.261521529648337","0.339744073809849","0"
"No transfer dependency","1994","inadequately","East Germany","6","","","","0"
"No transfer dependency","1994","general elemantary","West Germany","981","0.605193786248131","0.583966630993924","0.626420941502338","0"
"No transfer dependency","1994","general elemantary","East Germany","128","0.44578793225346","0.396955461582618","0.494620402924302","0"
"No transfer dependency","1994","middle vocational","West Germany","2162","0.57237911083344","0.55761081363551","0.587147408031371","0"
"No transfer dependency","1994","middle vocational","East Germany","629","0.382401683667605","0.361276896055299","0.40352647127991","0"
"No transfer dependency","1994","vocational + Abi","West Germany","124","0.461181304683094","0.405237068834095","0.517125540532092","0"
"No transfer dependency","1994","vocational + Abi","East Germany","14","","","","0"
"No transfer dependency","1994","higher vocational","West Germany","245","0.604409123319796","0.561202116763392","0.647616129876201","0"
"No transfer dependency","1994","higher vocational","East Germany","84","0.475013227691742","0.410892688930176","0.539133766453307","0"
"No transfer dependency","1994","higher education","West Germany","360","0.556864352360004","0.520976106084636","0.592752598635372","0"
"No transfer dependency","1994","higher education","East Germany","249","0.396389097746776","0.363151791696748","0.429626403796804","0"
"Very high transfer dependency","1994","general elemantary","West Germany","26","","","","4"
"Very high transfer dependency","1994","general elemantary","East Germany","9","","","","4"
"Very high transfer dependency","1994","middle vocational","West Germany","22","","","","4"
"Very high transfer dependency","1994","middle vocational","East Germany","39","0.0242123006787027","0.0175307833279256","0.0308938180294797","4"
"Very high transfer dependency","1994","vocational + Abi","West Germany","3","","","","4"
"Very high transfer dependency","1994","in school","West Germany","1","","","","4"
"Very high transfer dependency","1994","in school","East Germany","2","","","","4"
"Very high transfer dependency","1994","inadequately","West Germany","6","","","","4"
"Very high transfer dependency","1994","inadequately","East Germany","","","","","4"
"Very high transfer dependency","1994","vocational + Abi","East Germany","2","","","","4"
"Very high transfer dependency","1994","higher vocational","West Germany","1","","","","4"
"Very high transfer dependency","1994","higher vocational","East Germany","1","","","","4"
"Very high transfer dependency","1994","higher education","West Germany","4","","","","4"
"Very high transfer dependency","1994","higher education","East Germany","5","","","","4"
"Very low transfer dependency","1994","in school","East Germany","64","0.766662681732368","0.675670661406258","0.857654702058478","1"
"Very low transfer dependency","1994","inadequately","West Germany","309","0.540398269206354","0.497889460695066","0.582907077717642","1"
"Very low transfer dependency","1994","inadequately","East Germany","4","","","","1"
"Very low transfer dependency","1994","general elemantary","West Germany","884","0.328203277530883","0.307812068636139","0.348594486425627","1"
"Very low transfer dependency","1994","general elemantary","East Germany","193","0.405259765747853","0.357027578232216","0.453491953263489","1"
"Very low transfer dependency","1994","in school","West Germany","133","0.911403084276131","0.865622452472082","0.95718371608018","1"
"Very low transfer dependency","1994","higher vocational","East Germany","118","0.399135988890683","0.336255100173712","0.462016877607653","1"
"Very low transfer dependency","1994","middle vocational","West Germany","1923","0.378965329823387","0.36448372332422","0.393446936322555","1"
"Very low transfer dependency","1994","higher vocational","West Germany","229","0.36849471735448","0.325869199650306","0.411120235058654","1"
"Very low transfer dependency","1994","higher education","West Germany","349","0.413289229017732","0.377713954669486","0.448864503365978","1"
"Very low transfer dependency","1994","higher education","East Germany","499","0.497314023214418","0.463339750724769","0.531288295704067","1"
"Very low transfer dependency","1994","middle vocational","East Germany","993","0.425749456593827","0.404255955675913","0.44724295751174","1"
"Very low transfer dependency","1994","vocational + Abi","West Germany","148","0.445753609539335","0.389971229214855","0.501535989863815","1"
"Very low transfer dependency","1994","vocational + Abi","East Germany","43","0.5222157622372","0.406028153431769","0.638403371042631","1"
"Complete transfer dependency","1995","in school","East Germany","","","","","5"
"Complete transfer dependency","1995","inadequately","West Germany","12","","","","5"
"Complete transfer dependency","1995","inadequately","East Germany","","","","","5"
"Complete transfer dependency","1995","general elemantary","West Germany","26","","","","5"
"Complete transfer dependency","1995","in school","West Germany","4","","","","5"
"Complete transfer dependency","1995","higher vocational","West Germany","4","","","","5"
"Complete transfer dependency","1995","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","1995","higher education","West Germany","10","","","","5"
"Complete transfer dependency","1995","higher education","East Germany","1","","","","5"
"Complete transfer dependency","1995","general elemantary","East Germany","1","","","","5"
"Complete transfer dependency","1995","middle vocational","West Germany","34","0.0093359824051235","0.00652830298439264","0.0121436618258544","5"
"Complete transfer dependency","1995","middle vocational","East Germany","14","","","","5"
"Complete transfer dependency","1995","vocational + Abi","West Germany","8","","","","5"
"Complete transfer dependency","1995","vocational + Abi","East Germany","1","","","","5"
"High transfer dependency","1995","in school","East Germany","4","","","","3"
"High transfer dependency","1995","inadequately","East Germany","","","","","3"
"High transfer dependency","1995","general elemantary","West Germany","51","0.0243185402656055","0.0176748276123166","0.0309622529188943","3"
"High transfer dependency","1995","inadequately","West Germany","20","","","","3"
"High transfer dependency","1995","in school","West Germany","5","","","","3"
"High transfer dependency","1995","higher education","West Germany","3","","","","3"
"High transfer dependency","1995","general elemantary","East Germany","12","","","","3"
"High transfer dependency","1995","higher vocational","West Germany","1","","","","3"
"High transfer dependency","1995","higher vocational","East Germany","2","","","","3"
"High transfer dependency","1995","higher education","East Germany","11","","","","3"
"High transfer dependency","1995","middle vocational","West Germany","61","0.0128023477644422","0.00952025252631645","0.0160844430025679","3"
"High transfer dependency","1995","middle vocational","East Germany","58","0.0275895088900378","0.0204020819392621","0.0347769358408136","3"
"High transfer dependency","1995","vocational + Abi","West Germany","7","","","","3"
"High transfer dependency","1995","vocational + Abi","East Germany","3","","","","3"
"Low transfer dependency","1995","in school","West Germany","8","","","","2"
"Low transfer dependency","1995","in school","East Germany","8","","","","2"
"Low transfer dependency","1995","inadequately","West Germany","37","0.06276744442128","0.0416759602621989","0.0838589285803611","2"
"Low transfer dependency","1995","inadequately","East Germany","","","","","2"
"Low transfer dependency","1995","general elemantary","West Germany","100","0.0374021202247967","0.0292182520656637","0.0455859883839298","2"
"Low transfer dependency","1995","general elemantary","East Germany","45","0.0853133394158491","0.0570400003887422","0.113586678442956","2"
"Low transfer dependency","1995","middle vocational","West Germany","178","0.0323269239940072","0.0271633449227679","0.0374905030652464","2"
"Low transfer dependency","1995","middle vocational","East Germany","241","0.107067723988723","0.0934997442305384","0.120635703746908","2"
"Low transfer dependency","1995","vocational + Abi","West Germany","22","","","","2"
"Low transfer dependency","1995","vocational + Abi","East Germany","11","","","","2"
"Low transfer dependency","1995","higher vocational","West Germany","14","","","","2"
"Low transfer dependency","1995","higher vocational","East Germany","13","","","","2"
"Low transfer dependency","1995","higher education","West Germany","20","","","","2"
"Low transfer dependency","1995","higher education","East Germany","48","0.0626797609075018","0.0459565762002159","0.0794029456147877","2"
"No transfer dependency","1995","in school","West Germany","3","","","","0"
"No transfer dependency","1995","in school","East Germany","4","","","","0"
"No transfer dependency","1995","inadequately","West Germany","149","0.309419980776868","0.269222631395825","0.349617330157912","0"
"No transfer dependency","1995","inadequately","East Germany","4","","","","0"
"No transfer dependency","1995","general elemantary","West Germany","969","0.606330970512963","0.585258834357708","0.627403106668219","0"
"No transfer dependency","1995","general elemantary","East Germany","134","0.508204663347873","0.457605424576041","0.558803902119705","0"
"No transfer dependency","1995","middle vocational","West Germany","2191","0.574967020167029","0.560534668781157","0.589399371552901","0"
"No transfer dependency","1995","middle vocational","East Germany","697","0.424408623823701","0.402720305429466","0.446096942217937","0"
"No transfer dependency","1995","vocational + Abi","West Germany","145","0.452925253342129","0.404021391383139","0.501829115301119","0"
"No transfer dependency","1995","vocational + Abi","East Germany","12","","","","0"
"No transfer dependency","1995","higher vocational","West Germany","242","0.5672247827629","0.524012103695099","0.610437461830701","0"
"No transfer dependency","1995","higher vocational","East Germany","81","0.470358046271658","0.404995410013454","0.535720682529863","0"
"No transfer dependency","1995","higher education","West Germany","412","0.555998563443098","0.522358631843012","0.589638495043185","0"
"No transfer dependency","1995","higher education","East Germany","274","0.427927087327088","0.393790358294542","0.462063816359634","0"
"Very high transfer dependency","1995","general elemantary","West Germany","39","0.0167299580213573","0.0111980889539653","0.0222618270887493","4"
"Very high transfer dependency","1995","general elemantary","East Germany","11","","","","4"
"Very high transfer dependency","1995","middle vocational","West Germany","34","0.00743898564385496","0.00493033734879806","0.00994763393891185","4"
"Very high transfer dependency","1995","middle vocational","East Germany","36","0.0191222973115068","0.0131125791505501","0.0251320154724635","4"
"Very high transfer dependency","1995","in school","West Germany","1","","","","4"
"Very high transfer dependency","1995","in school","East Germany","2","","","","4"
"Very high transfer dependency","1995","inadequately","West Germany","11","","","","4"
"Very high transfer dependency","1995","inadequately","East Germany","1","","","","4"
"Very high transfer dependency","1995","vocational + Abi","West Germany","9","","","","4"
"Very high transfer dependency","1995","vocational + Abi","East Germany","3","","","","4"
"Very high transfer dependency","1995","higher vocational","West Germany","7","","","","4"
"Very high transfer dependency","1995","higher vocational","East Germany","5","","","","4"
"Very high transfer dependency","1995","higher education","West Germany","8","","","","4"
"Very high transfer dependency","1995","higher education","East Germany","6","","","","4"
"Very low transfer dependency","1995","general elemantary","West Germany","880","0.301682733099491","0.281886175386758","0.321479290812224","1"
"Very low transfer dependency","1995","in school","East Germany","72","0.79106343215721","0.707071084740837","0.875055779573584","1"
"Very low transfer dependency","1995","inadequately","West Germany","279","0.500042098859806","0.456562429016356","0.543521768703256","1"
"Very low transfer dependency","1995","inadequately","East Germany","5","","","","1"
"Very low transfer dependency","1995","in school","West Germany","154","0.872478602538933","0.823059143095881","0.921898061981986","1"
"Very low transfer dependency","1995","general elemantary","East Germany","172","0.350723383614274","0.30242532220268","0.399021445025867","1"
"Very low transfer dependency","1995","higher vocational","East Germany","123","0.44412533505266","0.379057658932752","0.509193011172567","1"
"Very low transfer dependency","1995","higher education","West Germany","385","0.401861164263227","0.368666742995084","0.435055585531371","1"
"Very low transfer dependency","1995","higher education","East Germany","467","0.487888286047224","0.453401408567079","0.522375163527368","1"
"Very low transfer dependency","1995","middle vocational","West Germany","2009","0.363128740025543","0.349088955296442","0.377168524754644","1"
"Very low transfer dependency","1995","higher vocational","West Germany","237","0.393823829431864","0.35120977784656","0.436437881017168","1"
"Very low transfer dependency","1995","middle vocational","East Germany","949","0.407092787141832","0.385534377909368","0.428651196374296","1"
"Very low transfer dependency","1995","vocational + Abi","West Germany","207","0.435692424009691","0.386978344620158","0.484406503399224","1"
"Very low transfer dependency","1995","vocational + Abi","East Germany","38","0.493923261577299","0.375091766161671","0.612754756992926","1"
"Complete transfer dependency","1996","higher vocational","West Germany","3","","","","5"
"Complete transfer dependency","1996","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","1996","higher education","West Germany","6","","","","5"
"Complete transfer dependency","1996","higher education","East Germany","2","","","","5"
"Complete transfer dependency","1996","in school","East Germany","","","","","5"
"Complete transfer dependency","1996","inadequately","West Germany","12","","","","5"
"Complete transfer dependency","1996","inadequately","East Germany","","","","","5"
"Complete transfer dependency","1996","general elemantary","West Germany","26","","","","5"
"Complete transfer dependency","1996","in school","West Germany","1","","","","5"
"Complete transfer dependency","1996","general elemantary","East Germany","2","","","","5"
"Complete transfer dependency","1996","middle vocational","West Germany","30","0.00753497705206795","0.00499076670752641","0.0100791873966095","5"
"Complete transfer dependency","1996","middle vocational","East Germany","10","","","","5"
"Complete transfer dependency","1996","vocational + Abi","West Germany","6","","","","5"
"Complete transfer dependency","1996","vocational + Abi","East Germany","","","","","5"
"High transfer dependency","1996","in school","East Germany","1","","","","3"
"High transfer dependency","1996","inadequately","East Germany","","","","","3"
"High transfer dependency","1996","general elemantary","West Germany","53","0.0226038258600095","0.0160468918840173","0.0291607598360017","3"
"High transfer dependency","1996","inadequately","West Germany","17","","","","3"
"High transfer dependency","1996","in school","West Germany","5","","","","3"
"High transfer dependency","1996","general elemantary","East Germany","19","","","","3"
"High transfer dependency","1996","higher vocational","West Germany","3","","","","3"
"High transfer dependency","1996","higher vocational","East Germany","7","","","","3"
"High transfer dependency","1996","higher education","West Germany","4","","","","3"
"High transfer dependency","1996","higher education","East Germany","12","","","","3"
"High transfer dependency","1996","middle vocational","West Germany","70","0.0157682827218441","0.0121031026272572","0.0194334628164309","3"
"High transfer dependency","1996","middle vocational","East Germany","98","0.0479655243791544","0.0385719508945426","0.0573590978637662","3"
"High transfer dependency","1996","vocational + Abi","West Germany","3","","","","3"
"High transfer dependency","1996","vocational + Abi","East Germany","2","","","","3"
"Low transfer dependency","1996","general elemantary","West Germany","123","0.0477907396855905","0.0383802419743143","0.0572012373968668","2"
"Low transfer dependency","1996","general elemantary","East Germany","52","0.128425054933563","0.0941025554249465","0.16274755444218","2"
"Low transfer dependency","1996","middle vocational","West Germany","155","0.0288002483115346","0.0238797754649074","0.0337207211581618","2"
"Low transfer dependency","1996","middle vocational","East Germany","278","0.134097389271659","0.119118328358211","0.149076450185106","2"
"Low transfer dependency","1996","vocational + Abi","West Germany","18","","","","2"
"Low transfer dependency","1996","in school","West Germany","2","","","","2"
"Low transfer dependency","1996","in school","East Germany","10","","","","2"
"Low transfer dependency","1996","inadequately","West Germany","47","0.0958896964311598","0.0690118598225628","0.122767533039757","2"
"Low transfer dependency","1996","inadequately","East Germany","2","","","","2"
"Low transfer dependency","1996","vocational + Abi","East Germany","12","","","","2"
"Low transfer dependency","1996","higher vocational","West Germany","9","","","","2"
"Low transfer dependency","1996","higher vocational","East Germany","20","","","","2"
"Low transfer dependency","1996","higher education","West Germany","18","","","","2"
"Low transfer dependency","1996","higher education","East Germany","69","0.0877795437859511","0.0682681194643838","0.107290968107518","2"
"No transfer dependency","1996","general elemantary","West Germany","901","0.586673655364826","0.564950677793497","0.608396632936155","0"
"No transfer dependency","1996","general elemantary","East Germany","134","0.499210044331203","0.447915506503804","0.550504582158601","0"
"No transfer dependency","1996","middle vocational","West Germany","2090","0.554256700082384","0.539633166395263","0.568880233769505","0"
"No transfer dependency","1996","middle vocational","East Germany","673","0.421338605972759","0.399633206533043","0.443044005412476","0"
"No transfer dependency","1996","vocational + Abi","West Germany","146","0.429277464765668","0.380026608658657","0.47852832087268","0"
"No transfer dependency","1996","in school","West Germany","4","","","","0"
"No transfer dependency","1996","in school","East Germany","1","","","","0"
"No transfer dependency","1996","inadequately","West Germany","154","0.339640638057195","0.296409405082999","0.38287187103139","0"
"No transfer dependency","1996","inadequately","East Germany","4","","","","0"
"No transfer dependency","1996","vocational + Abi","East Germany","16","","","","0"
"No transfer dependency","1996","higher vocational","West Germany","220","0.500800124396291","0.45765887797052","0.543941370822061","0"
"No transfer dependency","1996","higher vocational","East Germany","68","0.381079154834434","0.317621797274369","0.4445365123945","0"
"No transfer dependency","1996","higher education","West Germany","412","0.545505845255307","0.512285315898107","0.578726374612507","0"
"No transfer dependency","1996","higher education","East Germany","244","0.395516822441395","0.361802300943443","0.429231343939346","0"
"Very high transfer dependency","1996","general elemantary","West Germany","33","0.0134511260910699","0.00836937789883055","0.0185328742833093","4"
"Very high transfer dependency","1996","general elemantary","East Germany","11","","","","4"
"Very high transfer dependency","1996","middle vocational","West Germany","35","0.00748259929234567","0.00494718023069763","0.0100180183539937","4"
"Very high transfer dependency","1996","middle vocational","East Germany","43","0.0217494070160456","0.0153374785102224","0.0281613355218687","4"
"Very high transfer dependency","1996","in school","West Germany","6","","","","4"
"Very high transfer dependency","1996","in school","East Germany","4","","","","4"
"Very high transfer dependency","1996","inadequately","West Germany","13","","","","4"
"Very high transfer dependency","1996","inadequately","East Germany","1","","","","4"
"Very high transfer dependency","1996","vocational + Abi","West Germany","2","","","","4"
"Very high transfer dependency","1996","vocational + Abi","East Germany","2","","","","4"
"Very high transfer dependency","1996","higher vocational","West Germany","5","","","","4"
"Very high transfer dependency","1996","higher vocational","East Germany","6","","","","4"
"Very high transfer dependency","1996","higher education","West Germany","4","","","","4"
"Very high transfer dependency","1996","higher education","East Germany","10","","","","4"
"Very low transfer dependency","1996","in school","East Germany","79","0.825749512288499","0.74947183632124","0.902027188255758","1"
"Very low transfer dependency","1996","general elemantary","West Germany","838","0.316138924384222","0.295627423266094","0.33665042550235","1"
"Very low transfer dependency","1996","higher vocational","East Germany","124","0.444454009766773","0.379526274443678","0.509381745089869","1"
"Very low transfer dependency","1996","higher education","East Germany","471","0.488131565515316","0.453665633162658","0.522597497867974","1"
"Very low transfer dependency","1996","inadequately","West Germany","218","0.44185994458688","0.396527249333614","0.487192639840146","1"
"Very low transfer dependency","1996","inadequately","East Germany","6","","","","1"
"Very low transfer dependency","1996","higher education","West Germany","419","0.422295761259173","0.389342087996963","0.455249434521382","1"
"Very low transfer dependency","1996","in school","West Germany","162","0.909361606224863","0.867420851063687","0.951302361386039","1"
"Very low transfer dependency","1996","higher vocational","West Germany","276","0.44433867434267","0.401465525364797","0.487211823320543","1"
"Very low transfer dependency","1996","general elemantary","East Germany","147","0.305313568965726","0.258067125739783","0.352560012191668","1"
"Very low transfer dependency","1996","middle vocational","West Germany","2058","0.386157192539824","0.371833166824633","0.400481218255014","1"
"Very low transfer dependency","1996","middle vocational","East Germany","886","0.363872409557627","0.34272356814832","0.385021250966934","1"
"Very low transfer dependency","1996","vocational + Abi","West Germany","213","0.489454896461091","0.439714914358474","0.539194878563707","1"
"Very low transfer dependency","1996","vocational + Abi","East Germany","41","0.490803761033304","0.376124946309871","0.605482575756738","1"
"Complete transfer dependency","1997","in school","East Germany","","","","","5"
"Complete transfer dependency","1997","inadequately","West Germany","13","","","","5"
"Complete transfer dependency","1997","inadequately","East Germany","1","","","","5"
"Complete transfer dependency","1997","general elemantary","West Germany","29","","","","5"
"Complete transfer dependency","1997","higher vocational","West Germany","1","","","","5"
"Complete transfer dependency","1997","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","1997","higher education","West Germany","4","","","","5"
"Complete transfer dependency","1997","higher education","East Germany","","","","","5"
"Complete transfer dependency","1997","in school","West Germany","1","","","","5"
"Complete transfer dependency","1997","general elemantary","East Germany","1","","","","5"
"Complete transfer dependency","1997","middle vocational","West Germany","27","","","","5"
"Complete transfer dependency","1997","middle vocational","East Germany","16","","","","5"
"Complete transfer dependency","1997","vocational + Abi","West Germany","6","","","","5"
"Complete transfer dependency","1997","vocational + Abi","East Germany","","","","","5"
"High transfer dependency","1997","in school","East Germany","1","","","","3"
"High transfer dependency","1997","inadequately","West Germany","16","","","","3"
"High transfer dependency","1997","inadequately","East Germany","1","","","","3"
"High transfer dependency","1997","general elemantary","West Germany","61","0.0343488858735456","0.0263268990120798","0.0423708727350114","3"
"High transfer dependency","1997","in school","West Germany","5","","","","3"
"High transfer dependency","1997","general elemantary","East Germany","19","","","","3"
"High transfer dependency","1997","higher vocational","West Germany","3","","","","3"
"High transfer dependency","1997","higher vocational","East Germany","5","","","","3"
"High transfer dependency","1997","higher education","West Germany","8","","","","3"
"High transfer dependency","1997","higher education","East Germany","20","","","","3"
"High transfer dependency","1997","middle vocational","West Germany","61","0.0142872965384627","0.0108103198625277","0.0177642732143977","3"
"High transfer dependency","1997","middle vocational","East Germany","102","0.0600058740431477","0.0494266243533536","0.0705851237329418","3"
"High transfer dependency","1997","vocational + Abi","West Germany","8","","","","3"
"High transfer dependency","1997","vocational + Abi","East Germany","4","","","","3"
"Low transfer dependency","1997","general elemantary","West Germany","156","0.0558559128483545","0.0457408354176708","0.0659709902790381","2"
"Low transfer dependency","1997","general elemantary","East Germany","41","0.0965941533338001","0.0654228176546909","0.127765489012909","2"
"Low transfer dependency","1997","middle vocational","West Germany","212","0.0402319558130117","0.0344746368986915","0.0459892747273318","2"
"Low transfer dependency","1997","middle vocational","East Germany","305","0.154754089210271","0.13864362625855","0.170864552161993","2"
"Low transfer dependency","1997","vocational + Abi","West Germany","28","","","","2"
"Low transfer dependency","1997","higher education","East Germany","77","0.0941949080400298","0.0742869632187753","0.114102852861284","2"
"Low transfer dependency","1997","in school","West Germany","11","","","","2"
"Low transfer dependency","1997","in school","East Germany","8","","","","2"
"Low transfer dependency","1997","inadequately","West Germany","58","0.119930666069407","0.0899470928880753","0.149914239250738","2"
"Low transfer dependency","1997","inadequately","East Germany","1","","","","2"
"Low transfer dependency","1997","vocational + Abi","East Germany","10","","","","2"
"Low transfer dependency","1997","higher vocational","West Germany","14","","","","2"
"Low transfer dependency","1997","higher vocational","East Germany","27","","","","2"
"Low transfer dependency","1997","higher education","West Germany","22","","","","2"
"No transfer dependency","1997","general elemantary","West Germany","826","0.547374772865838","0.525450395795092","0.569299149936584","0"
"No transfer dependency","1997","general elemantary","East Germany","123","0.483673925401458","0.430941601623444","0.536406249179473","0"
"No transfer dependency","1997","middle vocational","West Germany","1985","0.520890126697385","0.506253459627392","0.535526793767378","0"
"No transfer dependency","1997","middle vocational","East Germany","678","0.416950977406671","0.394988038754903","0.43891391605844","0"
"No transfer dependency","1997","vocational + Abi","West Germany","135","0.389140395714299","0.340183996843752","0.438096794584846","0"
"No transfer dependency","1997","higher education","East Germany","252","0.398699930336651","0.365329328191447","0.432070532481856","0"
"No transfer dependency","1997","in school","West Germany","2","","","","0"
"No transfer dependency","1997","in school","East Germany","2","","","","0"
"No transfer dependency","1997","inadequately","West Germany","145","0.318087772921438","0.275104691484947","0.361070854357928","0"
"No transfer dependency","1997","inadequately","East Germany","4","","","","0"
"No transfer dependency","1997","vocational + Abi","East Germany","21","","","","0"
"No transfer dependency","1997","higher vocational","West Germany","208","0.450794072125305","0.408191172996612","0.493396971253998","0"
"No transfer dependency","1997","higher vocational","East Germany","77","0.432637755948421","0.368328558175906","0.496946953720937","0"
"No transfer dependency","1997","higher education","West Germany","419","0.51177777631955","0.479582505593206","0.543973047045893","0"
"Very high transfer dependency","1997","general elemantary","West Germany","48","0.022113509897045","0.0156362912268958","0.0285907285671942","4"
"Very high transfer dependency","1997","general elemantary","East Germany","10","","","","4"
"Very high transfer dependency","1997","middle vocational","West Germany","49","0.0120462126265019","0.00884993018737104","0.0152424950656328","4"
"Very high transfer dependency","1997","middle vocational","East Germany","48","0.0267960197623446","0.0196026481372823","0.0339893913874068","4"
"Very high transfer dependency","1997","in school","West Germany","3","","","","4"
"Very high transfer dependency","1997","in school","East Germany","2","","","","4"
"Very high transfer dependency","1997","inadequately","West Germany","12","","","","4"
"Very high transfer dependency","1997","inadequately","East Germany","","","","","4"
"Very high transfer dependency","1997","vocational + Abi","West Germany","3","","","","4"
"Very high transfer dependency","1997","higher education","East Germany","9","","","","4"
"Very high transfer dependency","1997","vocational + Abi","East Germany","2","","","","4"
"Very high transfer dependency","1997","higher vocational","West Germany","4","","","","4"
"Very high transfer dependency","1997","higher education","West Germany","5","","","","4"
"Very high transfer dependency","1997","higher vocational","East Germany","","","","","4"
"Very low transfer dependency","1997","in school","East Germany","94","0.849075621031372","0.781247609296482","0.916903632766261","1"
"Very low transfer dependency","1997","inadequately","West Germany","207","0.439355009193501","0.393550146637142","0.48515987174986","1"
"Very low transfer dependency","1997","inadequately","East Germany","4","","","","1"
"Very low transfer dependency","1997","general elemantary","West Germany","860","0.325576526819589","0.304936589334778","0.3462164643044","1"
"Very low transfer dependency","1997","higher vocational","East Germany","119","0.427919769271938","0.363696810026663","0.492142728517214","1"
"Very low transfer dependency","1997","higher education","West Germany","468","0.451492759769513","0.419440461529645","0.483545058009381","1"
"Very low transfer dependency","1997","higher education","East Germany","469","0.472530124565764","0.438504279719403","0.506555969412125","1"
"Very low transfer dependency","1997","in school","West Germany","181","0.882294015320854","0.837963170158043","0.926624860483664","1"
"Very low transfer dependency","1997","general elemantary","East Germany","151","0.344813469315675","0.294658596335391","0.394968342295958","1"
"Very low transfer dependency","1997","higher vocational","West Germany","294","0.491587732666365","0.448783080096552","0.534392385236179","1"
"Very low transfer dependency","1997","middle vocational","West Germany","2141","0.403529176809126","0.389154978099513","0.41790337551874","1"
"Very low transfer dependency","1997","middle vocational","East Germany","787","0.328334154592127","0.307415676819886","0.349252632364368","1"
"Very low transfer dependency","1997","vocational + Abi","West Germany","201","0.471193111193543","0.421070507674748","0.521315714712337","1"
"Very low transfer dependency","1997","vocational + Abi","East Germany","36","0.40212578136436","0.289646499988496","0.514605062740224","1"
"Complete transfer dependency","1998","higher education","West Germany","7","","","","5"
"Complete transfer dependency","1998","higher vocational","East Germany","1","","","","5"
"Complete transfer dependency","1998","in school","East Germany","1","","","","5"
"Complete transfer dependency","1998","inadequately","West Germany","9","","","","5"
"Complete transfer dependency","1998","inadequately","East Germany","","","","","5"
"Complete transfer dependency","1998","general elemantary","West Germany","27","","","","5"
"Complete transfer dependency","1998","higher education","East Germany","","","","","5"
"Complete transfer dependency","1998","in school","West Germany","8","","","","5"
"Complete transfer dependency","1998","general elemantary","East Germany","9","","","","5"
"Complete transfer dependency","1998","higher vocational","West Germany","2","","","","5"
"Complete transfer dependency","1998","middle vocational","West Germany","40","0.0117169391397904","0.00870425568321453","0.0147296225963662","5"
"Complete transfer dependency","1998","middle vocational","East Germany","22","","","","5"
"Complete transfer dependency","1998","vocational + Abi","West Germany","5","","","","5"
"Complete transfer dependency","1998","vocational + Abi","East Germany","","","","","5"
"High transfer dependency","1998","general elemantary","West Germany","57","0.0206967540023994","0.0146859278174064","0.0267075801873924","3"
