"transab_cat","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Complete transfer dependency","1990","Not Employed","higher education","","","",""
"Complete transfer dependency","1990","Employed","in school","","","",""
"Complete transfer dependency","1990","Employed","inadequately","","","",""
"Complete transfer dependency","1990","Employed","general elemantary","","","",""
"Complete transfer dependency","1990","Employed","middle vocational","","","",""
"Complete transfer dependency","1990","Employed","vocational + Abi","","","",""
"Complete transfer dependency","1990","Employed","higher vocational","","","",""
"Complete transfer dependency","1990","Employed","higher education","","","",""
"No transfer dependency","1991","Not Employed","in school","5","","",""
"No transfer dependency","1991","Not Employed","inadequately","54","0.223562608807493","0.171499110930417","0.275626106684569"
"No transfer dependency","1991","Not Employed","general elemantary","564","0.692728141934725","0.664303130790797","0.721153153078652"
"No transfer dependency","1991","Not Employed","middle vocational","747","0.665509757683677","0.640323010364423","0.690696505002932"
"No transfer dependency","1991","Not Employed","vocational + Abi","31","0.562533964408091","0.448736337430739","0.676331591385442"
"No transfer dependency","1991","Not Employed","higher vocational","79","0.618197763294216","0.536845290879265","0.699550235709167"
"No transfer dependency","1991","Not Employed","higher education","90","0.70725620348953","0.630500008072202","0.784012398906858"
"No transfer dependency","1991","Employed","in school","2","","",""
"No transfer dependency","1991","Employed","inadequately","94","0.339035386332392","0.288938278957732","0.389132493707053"
"No transfer dependency","1991","Employed","general elemantary","512","0.484651394089308","0.457154568060798","0.512148220117819"
"No transfer dependency","1991","Employed","middle vocational","1354","0.526451664834477","0.508229000654291","0.544674329014664"
"No transfer dependency","1991","Employed","vocational + Abi","109","0.567318793322305","0.501399001761545","0.633238584883065"
"No transfer dependency","1991","Employed","higher vocational","154","0.506003757968239","0.452703607559113","0.559303908377365"
"No transfer dependency","1991","Employed","higher education","248","0.523114488963237","0.479595552734773","0.5666334251917"
"Very low transfer dependency","1991","Not Employed","in school","102","0.847633576010782","0.781951346806173","0.913315805215392"
"Very low transfer dependency","1991","Not Employed","inadequately","147","0.55426963189524","0.492157391904102","0.616381871886377"
"Very low transfer dependency","1991","Not Employed","general elemantary","347","0.226371717863309","0.200588620586289","0.25215481514033"
"Very low transfer dependency","1991","Not Employed","middle vocational","504","0.272670031317505","0.248896834265478","0.296443228369532"
"Very low transfer dependency","1991","Not Employed","vocational + Abi","29","","",""
"Very low transfer dependency","1991","Not Employed","higher vocational","49","0.329794668127926","0.251069506355802","0.40851982990005"
"Very low transfer dependency","1991","Not Employed","higher education","39","0.253742641226835","0.180338215018208","0.327147067435462"
"Very low transfer dependency","1991","Employed","in school","11","","",""
"Very low transfer dependency","1991","Employed","inadequately","233","0.615985644743267","0.564514946912743","0.667456342573791"
"Very low transfer dependency","1991","Employed","general elemantary","696","0.461438507557969","0.434010652492266","0.488866362623672"
"Very low transfer dependency","1991","Employed","middle vocational","1452","0.448963527781731","0.430810621460495","0.467116434102967"
"Very low transfer dependency","1991","Employed","vocational + Abi","97","0.399232542568081","0.334072045107583","0.464393040028579"
"Very low transfer dependency","1991","Employed","higher vocational","180","0.485715026540627","0.43243279221293","0.538997260868324"
"Very low transfer dependency","1991","Employed","higher education","252","0.463589526214755","0.420139677872845","0.507039374556665"
"Low transfer dependency","1991","Not Employed","in school","7","","",""
"Low transfer dependency","1991","Not Employed","inadequately","24","","",""
"Low transfer dependency","1991","Not Employed","general elemantary","41","0.0290136466365124","0.0186725747643322","0.0393547185086926"
"Low transfer dependency","1991","Not Employed","middle vocational","49","0.0281386228573827","0.0193107366622962","0.0369665090524691"
"Low transfer dependency","1991","Not Employed","vocational + Abi","9","","",""
"Low transfer dependency","1991","Not Employed","higher vocational","4","","",""
"Low transfer dependency","1991","Not Employed","higher education","3","","",""
"Low transfer dependency","1991","Employed","in school","1","","",""
"Low transfer dependency","1991","Employed","inadequately","15","","",""
"Low transfer dependency","1991","Employed","general elemantary","42","0.0354724583579175","0.0252954474414911","0.045649469274344"
"Low transfer dependency","1991","Employed","middle vocational","61","0.0193991925720272","0.0143654800010176","0.0244329051430369"
"Low transfer dependency","1991","Employed","vocational + Abi","8","","",""
"Low transfer dependency","1991","Employed","higher vocational","3","","",""
"Low transfer dependency","1991","Employed","higher education","5","","",""
"High transfer dependency","1991","Not Employed","in school","","","",""
"High transfer dependency","1991","Not Employed","inadequately","6","","",""
"High transfer dependency","1991","Not Employed","general elemantary","26","","",""
"High transfer dependency","1991","Not Employed","middle vocational","22","","",""
"High transfer dependency","1991","Not Employed","vocational + Abi","1","","",""
"High transfer dependency","1991","Not Employed","higher vocational","1","","",""
"High transfer dependency","1991","Not Employed","higher education","","","",""
"High transfer dependency","1991","Employed","in school","","","",""
"High transfer dependency","1991","Employed","inadequately","1","","",""
"High transfer dependency","1991","Employed","general elemantary","15","","",""
"High transfer dependency","1991","Employed","middle vocational","13","","",""
"High transfer dependency","1991","Employed","vocational + Abi","3","","",""
"High transfer dependency","1991","Employed","higher vocational","1","","",""
"High transfer dependency","1991","Employed","higher education","1","","",""
"Very high transfer dependency","1991","Not Employed","in school","","","",""
"Very high transfer dependency","1991","Not Employed","inadequately","4","","",""
"Very high transfer dependency","1991","Not Employed","general elemantary","13","","",""
"Very high transfer dependency","1991","Not Employed","middle vocational","9","","",""
"Very high transfer dependency","1991","Not Employed","vocational + Abi","1","","",""
"Very high transfer dependency","1991","Not Employed","higher vocational","1","","",""
"Very high transfer dependency","1991","Not Employed","higher education","2","","",""
"Very high transfer dependency","1991","Employed","in school","","","",""
"Very high transfer dependency","1991","Employed","inadequately","","","",""
"Very high transfer dependency","1991","Employed","general elemantary","4","","",""
"Very high transfer dependency","1991","Employed","middle vocational","4","","",""
"Very high transfer dependency","1991","Employed","vocational + Abi","","","",""
"Very high transfer dependency","1991","Employed","higher vocational","","","",""
"Very high transfer dependency","1991","Employed","higher education","","","",""
"Complete transfer dependency","1991","Not Employed","in school","1","","",""
"Complete transfer dependency","1991","Not Employed","inadequately","11","","",""
"Complete transfer dependency","1991","Not Employed","general elemantary","21","","",""
"Complete transfer dependency","1991","Not Employed","middle vocational","17","","",""
"Complete transfer dependency","1991","Not Employed","vocational + Abi","2","","",""
"Complete transfer dependency","1991","Not Employed","higher vocational","3","","",""
"Complete transfer dependency","1991","Not Employed","higher education","1","","",""
"Complete transfer dependency","1991","Employed","in school","","","",""
"Complete transfer dependency","1991","Employed","inadequately","","","",""
"Complete transfer dependency","1991","Employed","general elemantary","","","",""
"Complete transfer dependency","1991","Employed","middle vocational","","","",""
"Complete transfer dependency","1991","Employed","vocational + Abi","","","",""
"Complete transfer dependency","1991","Employed","higher vocational","","","",""
"Complete transfer dependency","1991","Employed","higher education","","","",""
"No transfer dependency","1992","Not Employed","in school","6","","",""
"No transfer dependency","1992","Not Employed","inadequately","60","0.270245681920819","0.215739505292898","0.324751858548741"
"No transfer dependency","1992","Not Employed","general elemantary","637","0.651519764096034","0.624771283872732","0.678268244319336"
"No transfer dependency","1992","Not Employed","middle vocational","990","0.636204330125541","0.61422237825694","0.658186281994142"
"No transfer dependency","1992","Not Employed","vocational + Abi","31","0.468063102382416","0.367192079300282","0.56893412546455"
"No transfer dependency","1992","Not Employed","higher vocational","104","0.703064227107496","0.632705277844094","0.773423176370897"
"No transfer dependency","1992","Not Employed","higher education","151","0.686776798545576","0.629284078482085","0.744269518609067"
"No transfer dependency","1992","Employed","in school","2","","",""
"No transfer dependency","1992","Employed","inadequately","97","0.341757561911972","0.290506585034846","0.393008538789098"
"No transfer dependency","1992","Employed","general elemantary","555","0.470381636684139","0.444412136559158","0.49635113680912"
"No transfer dependency","1992","Employed","middle vocational","1742","0.471792922304811","0.457197744980823","0.486388099628799"
"No transfer dependency","1992","Employed","vocational + Abi","118","0.517768021984231","0.457719421785939","0.577816622182522"
"No transfer dependency","1992","Employed","higher vocational","221","0.490811397322121","0.449182983298252","0.532439811345991"
"No transfer dependency","1992","Employed","higher education","383","0.410295146803368","0.383284877271675","0.437305416335061"
"Very low transfer dependency","1992","Not Employed","in school","127","0.89163796112868","0.840868833147744","0.942407089109615"
"Very low transfer dependency","1992","Not Employed","inadequately","153","0.583012616274569","0.522495470767809","0.64352976178133"
"Very low transfer dependency","1992","Not Employed","general elemantary","464","0.278222862773957","0.253066710994035","0.30337901455388"
"Very low transfer dependency","1992","Not Employed","middle vocational","652","0.286701155828406","0.266038332539996","0.307363979116816"
"Very low transfer dependency","1992","Not Employed","vocational + Abi","40","0.354825544964173","0.258102449874907","0.451548640053439"
"Very low transfer dependency","1992","Not Employed","higher vocational","49","0.243851165075939","0.177727541504162","0.309974788647715"
"Very low transfer dependency","1992","Not Employed","higher education","66","0.236377783805495","0.183712953105561","0.289042614505428"
"Very low transfer dependency","1992","Employed","in school","24","","",""
"Very low transfer dependency","1992","Employed","inadequately","207","0.567783385448903","0.514254005762058","0.621312765135749"
"Very low transfer dependency","1992","Employed","general elemantary","779","0.47454314287428","0.448561699372464","0.500524586376095"
"Very low transfer dependency","1992","Employed","middle vocational","2489","0.48283334756883","0.46822350815284","0.49744318698482"
"Very low transfer dependency","1992","Employed","vocational + Abi","130","0.436023725792251","0.376431068620653","0.49561638296385"
"Very low transfer dependency","1992","Employed","higher vocational","311","0.4735041544138","0.431927208946818","0.515081099880783"
"Very low transfer dependency","1992","Employed","higher education","817","0.545750592777773","0.518410016159191","0.573091169396355"
"Low transfer dependency","1992","Not Employed","in school","7","","",""
"Low transfer dependency","1992","Not Employed","inadequately","23","","",""
"Low transfer dependency","1992","Not Employed","general elemantary","60","0.0314774988778542","0.0216758034310451","0.0412791943246634"
"Low transfer dependency","1992","Not Employed","middle vocational","115","0.0328660208034466","0.0247198021390325","0.0410122394678606"
"Low transfer dependency","1992","Not Employed","vocational + Abi","13","","",""
"Low transfer dependency","1992","Not Employed","higher vocational","3","","",""
"Low transfer dependency","1992","Not Employed","higher education","22","","",""
"Low transfer dependency","1992","Employed","in school","1","","",""
"Low transfer dependency","1992","Employed","inadequately","18","","",""
"Low transfer dependency","1992","Employed","general elemantary","56","0.0339785318936714","0.0245519859734736","0.0434050778138693"
"Low transfer dependency","1992","Employed","middle vocational","226","0.0381848748418419","0.0325818436021454","0.0437879060815384"
"Low transfer dependency","1992","Employed","vocational + Abi","13","","",""
"Low transfer dependency","1992","Employed","higher vocational","16","","",""
"Low transfer dependency","1992","Employed","higher education","59","0.0339626881008941","0.0240163926465646","0.0439089835552236"
"High transfer dependency","1992","Not Employed","in school","1","","",""
"High transfer dependency","1992","Not Employed","inadequately","7","","",""
"High transfer dependency","1992","Not Employed","general elemantary","25","","",""
"High transfer dependency","1992","Not Employed","middle vocational","40","0.0170535153236446","0.011137748134242","0.0229692825130473"
"High transfer dependency","1992","Not Employed","vocational + Abi","1","","",""
"High transfer dependency","1992","Not Employed","higher vocational","3","","",""
"High transfer dependency","1992","Not Employed","higher education","7","","",""
"High transfer dependency","1992","Employed","in school","","","",""
"High transfer dependency","1992","Employed","inadequately","6","","",""
"High transfer dependency","1992","Employed","general elemantary","20","","",""
"High transfer dependency","1992","Employed","middle vocational","31","0.00583700840448749","0.00360982740758532","0.00806418940138967"
"High transfer dependency","1992","Employed","vocational + Abi","5","","",""
"High transfer dependency","1992","Employed","higher vocational","4","","",""
"High transfer dependency","1992","Employed","higher education","13","","",""
"Very high transfer dependency","1992","Not Employed","in school","3","","",""
"Very high transfer dependency","1992","Not Employed","inadequately","5","","",""
"Very high transfer dependency","1992","Not Employed","general elemantary","21","","",""
"Very high transfer dependency","1992","Not Employed","middle vocational","21","","",""
"Very high transfer dependency","1992","Not Employed","vocational + Abi","2","","",""
"Very high transfer dependency","1992","Not Employed","higher vocational","2","","",""
"Very high transfer dependency","1992","Not Employed","higher education","4","","",""
"Very high transfer dependency","1992","Employed","in school","1","","",""
"Very high transfer dependency","1992","Employed","inadequately","1","","",""
"Very high transfer dependency","1992","Employed","general elemantary","9","","",""
"Very high transfer dependency","1992","Employed","middle vocational","6","","",""
"Very high transfer dependency","1992","Employed","vocational + Abi","","","",""
"Very high transfer dependency","1992","Employed","higher vocational","2","","",""
"Very high transfer dependency","1992","Employed","higher education","2","","",""
"Complete transfer dependency","1992","Not Employed","in school","","","",""
"Complete transfer dependency","1992","Not Employed","inadequately","7","","",""
"Complete transfer dependency","1992","Not Employed","general elemantary","12","","",""
"Complete transfer dependency","1992","Not Employed","middle vocational","22","","",""
"Complete transfer dependency","1992","Not Employed","vocational + Abi","7","","",""
"Complete transfer dependency","1992","Not Employed","higher vocational","1","","",""
"Complete transfer dependency","1992","Not Employed","higher education","","","",""
"Complete transfer dependency","1992","Employed","in school","","","",""
"Complete transfer dependency","1992","Employed","inadequately","","","",""
"Complete transfer dependency","1992","Employed","general elemantary","","","",""
"Complete transfer dependency","1992","Employed","middle vocational","","","",""
"Complete transfer dependency","1992","Employed","vocational + Abi","","","",""
"Complete transfer dependency","1992","Employed","higher vocational","","","",""
"Complete transfer dependency","1992","Employed","higher education","","","",""
"No transfer dependency","1993","Not Employed","in school","2","","",""
"No transfer dependency","1993","Not Employed","inadequately","75","0.297004567405016","0.243578556705156","0.350430578104875"
"No transfer dependency","1993","Not Employed","general elemantary","632","0.64948859192423","0.622671100778262","0.676306083070198"
"No transfer dependency","1993","Not Employed","middle vocational","1053","0.624989275007042","0.603887662586019","0.646090887428065"
"No transfer dependency","1993","Not Employed","vocational + Abi","34","0.506203802139252","0.4017454122977","0.610662191980804"
"No transfer dependency","1993","Not Employed","higher vocational","102","0.6728956479363","0.602985203931841","0.742806091940759"
"No transfer dependency","1993","Not Employed","higher education","168","0.640269781208027","0.587355303583873","0.69318425883218"
"No transfer dependency","1993","Employed","in school","1","","",""
"No transfer dependency","1993","Employed","inadequately","103","0.38227397074309","0.328610577711207","0.435937363774974"
"No transfer dependency","1993","Employed","general elemantary","507","0.468558351965375","0.442230332966913","0.494886370963837"
"No transfer dependency","1993","Employed","middle vocational","1732","0.470581462448406","0.455856679351034","0.485306245545779"
"No transfer dependency","1993","Employed","vocational + Abi","121","0.527450472704921","0.46865786601287","0.586243079396973"
"No transfer dependency","1993","Employed","higher vocational","213","0.495883233530492","0.453790829446133","0.53797563761485"
"No transfer dependency","1993","Employed","higher education","379","0.415703584082918","0.388338450941935","0.4430687172239"
"Very low transfer dependency","1993","Not Employed","in school","139","0.910419460973277","0.865890029585608","0.954948892360946"
"Very low transfer dependency","1993","Not Employed","inadequately","149","0.464060503323465","0.405750896038248","0.522370110608683"
"Very low transfer dependency","1993","Not Employed","general elemantary","443","0.271229002224043","0.246240230641962","0.296217773806125"
"Very low transfer dependency","1993","Not Employed","middle vocational","667","0.272528080784756","0.253120506314819","0.291935655254692"
"Very low transfer dependency","1993","Not Employed","vocational + Abi","39","0.403488026474272","0.300986185995828","0.505989866952717"
"Very low transfer dependency","1993","Not Employed","higher vocational","61","0.274724971242905","0.208209071471957","0.341240871013852"
"Very low transfer dependency","1993","Not Employed","higher education","101","0.264534302696697","0.215901784440531","0.313166820952863"
"Very low transfer dependency","1993","Employed","in school","17","","",""
"Very low transfer dependency","1993","Employed","inadequately","194","0.568595511953204","0.513901868233221","0.623289155673188"
"Very low transfer dependency","1993","Employed","general elemantary","780","0.467519965231852","0.441195455409723","0.49384447505398"
"Very low transfer dependency","1993","Employed","middle vocational","2352","0.474119693839961","0.459389129755641","0.488850257924282"
"Very low transfer dependency","1993","Employed","vocational + Abi","136","0.423571370504479","0.365381917202041","0.481760823806918"
"Very low transfer dependency","1993","Employed","higher vocational","295","0.468268534449464","0.426259556441626","0.510277512457302"
"Very low transfer dependency","1993","Employed","higher education","804","0.544591573757901","0.516939668544102","0.5722434789717"
"Low transfer dependency","1993","Not Employed","in school","13","","",""
"Low transfer dependency","1993","Not Employed","inadequately","23","","",""
"Low transfer dependency","1993","Not Employed","general elemantary","79","0.0347413481754603","0.0244487151446813","0.0450339812062392"
"Low transfer dependency","1993","Not Employed","middle vocational","187","0.0519555830006638","0.0422819864835108","0.0616291795178168"
"Low transfer dependency","1993","Not Employed","vocational + Abi","9","","",""
"Low transfer dependency","1993","Not Employed","higher vocational","8","","",""
"Low transfer dependency","1993","Not Employed","higher education","29","","",""
"Low transfer dependency","1993","Employed","in school","","","",""
"Low transfer dependency","1993","Employed","inadequately","12","","",""
"Low transfer dependency","1993","Employed","general elemantary","63","0.0455744102485472","0.0345706754722119","0.0565781450248824"
"Low transfer dependency","1993","Employed","middle vocational","261","0.0407104603920571","0.0348805780775096","0.0465403427066046"
"Low transfer dependency","1993","Employed","vocational + Abi","12","","",""
"Low transfer dependency","1993","Employed","higher vocational","30","0.0298202648159143","0.0155006843192729","0.0441398453125556"
"Low transfer dependency","1993","Employed","higher education","47","0.0293323192000547","0.0199632260702914","0.038701412329818"
"High transfer dependency","1993","Not Employed","in school","3","","",""
"High transfer dependency","1993","Not Employed","inadequately","13","","",""
"High transfer dependency","1993","Not Employed","general elemantary","26","","",""
"High transfer dependency","1993","Not Employed","middle vocational","49","0.0181508056741333","0.0123320802637566","0.02396953108451"
"High transfer dependency","1993","Not Employed","vocational + Abi","1","","",""
"High transfer dependency","1993","Not Employed","higher vocational","","","",""
"High transfer dependency","1993","Not Employed","higher education","11","","",""
"High transfer dependency","1993","Employed","in school","","","",""
"High transfer dependency","1993","Employed","inadequately","6","","",""
"High transfer dependency","1993","Employed","general elemantary","19","","",""
"High transfer dependency","1993","Employed","middle vocational","55","0.0122156729617135","0.0089751008455471","0.0154562450778798"
"High transfer dependency","1993","Employed","vocational + Abi","7","","",""
"High transfer dependency","1993","Employed","higher vocational","3","","",""
"High transfer dependency","1993","Employed","higher education","13","","",""
"Very high transfer dependency","1993","Not Employed","in school","1","","",""
"Very high transfer dependency","1993","Not Employed","inadequately","14","","",""
"Very high transfer dependency","1993","Not Employed","general elemantary","25","","",""
"Very high transfer dependency","1993","Not Employed","middle vocational","35","0.0149338671291473","0.00964726835532552","0.020220465902969"
"Very high transfer dependency","1993","Not Employed","vocational + Abi","2","","",""
"Very high transfer dependency","1993","Not Employed","higher vocational","1","","",""
"Very high transfer dependency","1993","Not Employed","higher education","5","","",""
"Very high transfer dependency","1993","Employed","in school","","","",""
"Very high transfer dependency","1993","Employed","inadequately","","","",""
"Very high transfer dependency","1993","Employed","general elemantary","11","","",""
"Very high transfer dependency","1993","Employed","middle vocational","14","","",""
"Very high transfer dependency","1993","Employed","vocational + Abi","1","","",""
"Very high transfer dependency","1993","Employed","higher vocational","1","","",""
"Very high transfer dependency","1993","Employed","higher education","3","","",""
"Complete transfer dependency","1993","Not Employed","in school","","","",""
"Complete transfer dependency","1993","Not Employed","inadequately","7","","",""
"Complete transfer dependency","1993","Not Employed","general elemantary","11","","",""
"Complete transfer dependency","1993","Not Employed","middle vocational","31","0.017442388404258","0.0117362867532875","0.0231484900552286"
"Complete transfer dependency","1993","Not Employed","vocational + Abi","3","","",""
"Complete transfer dependency","1993","Not Employed","higher vocational","1","","",""
"Complete transfer dependency","1993","Not Employed","higher education","2","","",""
"Complete transfer dependency","1993","Employed","in school","","","",""
"Complete transfer dependency","1993","Employed","inadequately","","","",""
"Complete transfer dependency","1993","Employed","general elemantary","","","",""
"Complete transfer dependency","1993","Employed","middle vocational","","","",""
"Complete transfer dependency","1993","Employed","vocational + Abi","","","",""
"Complete transfer dependency","1993","Employed","higher vocational","","","",""
"Complete transfer dependency","1993","Employed","higher education","","","",""
"No transfer dependency","1994","Not Employed","in school","7","","",""
"No transfer dependency","1994","Not Employed","inadequately","66","0.27088942981666","0.215577988271346","0.326200871361975"
"No transfer dependency","1994","Not Employed","general elemantary","656","0.681935266731076","0.655373774115559","0.708496759346593"
"No transfer dependency","1994","Not Employed","middle vocational","1094","0.625731428900835","0.6050385589234","0.646424298878269"
"No transfer dependency","1994","Not Employed","vocational + Abi","30","0.377946855455936","0.285203553399859","0.470690157512013"
"No transfer dependency","1994","Not Employed","higher vocational","123","0.734848043585825","0.673208251234354","0.796487835937296"
"No transfer dependency","1994","Not Employed","higher education","193","0.66025637469496","0.609310267037564","0.711202482352356"
"No transfer dependency","1994","Employed","in school","2","","",""
"No transfer dependency","1994","Employed","inadequately","95","0.357060358783034","0.301915502100776","0.412205215465291"
"No transfer dependency","1994","Employed","general elemantary","453","0.445770060617142","0.418259479624489","0.473280641609796"
"No transfer dependency","1994","Employed","middle vocational","1697","0.473332045549075","0.458308827307788","0.488355263790363"
"No transfer dependency","1994","Employed","vocational + Abi","108","0.452706524985322","0.393443753499974","0.511969296470671"
"No transfer dependency","1994","Employed","higher vocational","206","0.502028859292906","0.459380968374422","0.54467675021139"
"No transfer dependency","1994","Employed","higher education","416","0.450267227261566","0.422530843418018","0.478003611105114"
"Very low transfer dependency","1994","Not Employed","in school","184","0.884635115917987","0.841833505592145","0.92743672624383"
"Very low transfer dependency","1994","Not Employed","inadequately","131","0.454305463770442","0.392336956709452","0.516273970831431"
"Very low transfer dependency","1994","Not Employed","general elemantary","387","0.245029383747568","0.220499400555798","0.269559366939339"
"Very low transfer dependency","1994","Not Employed","middle vocational","685","0.269390154194597","0.25042009506801","0.288360213321183"
"Very low transfer dependency","1994","Not Employed","vocational + Abi","47","0.366989273176134","0.274798881223352","0.459179665128915"
"Very low transfer dependency","1994","Not Employed","higher vocational","56","0.202603942636618","0.14647640805266","0.258731477220576"
"Very low transfer dependency","1994","Not Employed","higher education","91","0.231308726844657","0.18595102586806","0.276666427821254"
"Very low transfer dependency","1994","Employed","in school","13","","",""
"Very low transfer dependency","1994","Employed","inadequately","182","0.610720606263916","0.554602748167294","0.666838464360539"
"Very low transfer dependency","1994","Employed","general elemantary","690","0.472300185010682","0.444668851070432","0.499931518950931"
"Very low transfer dependency","1994","Employed","middle vocational","2231","0.465152733048372","0.450144683525057","0.480160782571686"
"Very low transfer dependency","1994","Employed","vocational + Abi","144","0.491898047954613","0.43237619716309","0.551419898746136"
"Very low transfer dependency","1994","Employed","higher vocational","291","0.4584839444719","0.415982972277864","0.500984916665937"
"Very low transfer dependency","1994","Employed","higher education","757","0.509727172201585","0.481857833711005","0.537596510692164"
"Low transfer dependency","1994","Not Employed","in school","12","","",""
"Low transfer dependency","1994","Not Employed","inadequately","24","","",""
"Low transfer dependency","1994","Not Employed","general elemantary","66","0.0262020383724881","0.0170918970949436","0.0353121796500327"
"Low transfer dependency","1994","Not Employed","middle vocational","191","0.0516094314819908","0.0421493861937105","0.0610694767702712"
"Low transfer dependency","1994","Not Employed","vocational + Abi","16","","",""
"Low transfer dependency","1994","Not Employed","higher vocational","12","","",""
"Low transfer dependency","1994","Not Employed","higher education","25","","",""
"Low transfer dependency","1994","Employed","in school","2","","",""
"Low transfer dependency","1994","Employed","inadequately","10","","",""
"Low transfer dependency","1994","Employed","general elemantary","77","0.0503642727642639","0.0382599880897167","0.0624685574388111"
"Low transfer dependency","1994","Employed","middle vocational","241","0.0427988727833431","0.0367087038258634","0.0488890417408227"
"Low transfer dependency","1994","Employed","vocational + Abi","15","","",""
"Low transfer dependency","1994","Employed","higher vocational","25","","",""
"Low transfer dependency","1994","Employed","higher education","49","0.0276930695408628","0.0185450708360392","0.0368410682456863"
"High transfer dependency","1994","Not Employed","in school","6","","",""
"High transfer dependency","1994","Not Employed","inadequately","10","","",""
"High transfer dependency","1994","Not Employed","general elemantary","31","0.01911474605579","0.0113053668557088","0.0269241252558712"
"High transfer dependency","1994","Not Employed","middle vocational","57","0.0196922198021955","0.0137511640643396","0.0256332755400514"
"High transfer dependency","1994","Not Employed","vocational + Abi","5","","",""
"High transfer dependency","1994","Not Employed","higher vocational","3","","",""
"High transfer dependency","1994","Not Employed","higher education","14","","",""
"High transfer dependency","1994","Employed","in school","","","",""
"High transfer dependency","1994","Employed","inadequately","3","","",""
"High transfer dependency","1994","Employed","general elemantary","22","","",""
"High transfer dependency","1994","Employed","middle vocational","55","0.0114897244837083","0.00828303449029054","0.0146964144771261"
"High transfer dependency","1994","Employed","vocational + Abi","1","","",""
"High transfer dependency","1994","Employed","higher vocational","6","","",""
"High transfer dependency","1994","Employed","higher education","12","","",""
"Very high transfer dependency","1994","Not Employed","in school","3","","",""
"Very high transfer dependency","1994","Not Employed","inadequately","6","","",""
"Very high transfer dependency","1994","Not Employed","general elemantary","23","","",""
"Very high transfer dependency","1994","Not Employed","middle vocational","42","0.018696108897245","0.0129043237910218","0.0244878940034682"
"Very high transfer dependency","1994","Not Employed","vocational + Abi","2","","",""
"Very high transfer dependency","1994","Not Employed","higher vocational","2","","",""
"Very high transfer dependency","1994","Not Employed","higher education","7","","",""
"Very high transfer dependency","1994","Employed","in school","","","",""
"Very high transfer dependency","1994","Employed","inadequately","","","",""
"Very high transfer dependency","1994","Employed","general elemantary","12","","",""
"Very high transfer dependency","1994","Employed","middle vocational","19","","",""
"Very high transfer dependency","1994","Employed","vocational + Abi","3","","",""
"Very high transfer dependency","1994","Employed","higher vocational","","","",""
"Very high transfer dependency","1994","Employed","higher education","2","","",""
"Complete transfer dependency","1994","Not Employed","in school","2","","",""
"Complete transfer dependency","1994","Not Employed","inadequately","11","","",""
"Complete transfer dependency","1994","Not Employed","general elemantary","18","","",""
"Complete transfer dependency","1994","Not Employed","middle vocational","32","0.0148806567231373","0.00970350923720134","0.0200578042090733"
"Complete transfer dependency","1994","Not Employed","vocational + Abi","5","","",""
"Complete transfer dependency","1994","Not Employed","higher vocational","1","","",""
"Complete transfer dependency","1994","Not Employed","higher education","2","","",""
"Complete transfer dependency","1994","Employed","in school","","","",""
"Complete transfer dependency","1994","Employed","inadequately","","","",""
"Complete transfer dependency","1994","Employed","general elemantary","","","",""
"Complete transfer dependency","1994","Employed","middle vocational","","","",""
"Complete transfer dependency","1994","Employed","vocational + Abi","","","",""
"Complete transfer dependency","1994","Employed","higher vocational","","","",""
"Complete transfer dependency","1994","Employed","higher education","","","",""
"No transfer dependency","1995","Not Employed","in school","5","","",""
"No transfer dependency","1995","Not Employed","inadequately","67","0.306503741316341","0.249693349877036","0.363314132755646"
"No transfer dependency","1995","Not Employed","general elemantary","656","0.667329973223755","0.640890954761837","0.693768991685673"
"No transfer dependency","1995","Not Employed","middle vocational","1161","0.650264090703604","0.630222441360864","0.670305740046344"
"No transfer dependency","1995","Not Employed","vocational + Abi","30","0.329911285303819","0.248138089980869","0.411684480626768"
"No transfer dependency","1995","Not Employed","higher vocational","112","0.682786687493826","0.615724077467533","0.749849297520119"
"No transfer dependency","1995","Not Employed","higher education","215","0.673153604747921","0.624291136899292","0.722016072596549"
"No transfer dependency","1995","Employed","in school","2","","",""
"No transfer dependency","1995","Employed","inadequately","86","0.327939570152644","0.271416436880218","0.384462703425069"
"No transfer dependency","1995","Employed","general elemantary","447","0.477947360780746","0.449917860350085","0.505976861211408"
"No transfer dependency","1995","Employed","middle vocational","1727","0.472417476482179","0.457542276210345","0.487292676754013"
"No transfer dependency","1995","Employed","vocational + Abi","127","0.466269916696119","0.4131658499349","0.519373983457338"
"No transfer dependency","1995","Employed","higher vocational","211","0.485456949301757","0.44345834473395","0.527455553869564"
"No transfer dependency","1995","Employed","higher education","471","0.461709194209101","0.434514904974454","0.488903483443749"
"Very low transfer dependency","1995","Not Employed","in school","220","0.859155641274588","0.816543460598142","0.901767821951033"
"Very low transfer dependency","1995","Not Employed","inadequately","123","0.382406476941399","0.32252371587473","0.442289238008068"
"Very low transfer dependency","1995","Not Employed","general elemantary","384","0.227391016738066","0.203871158261324","0.250910875214809"
"Very low transfer dependency","1995","Not Employed","middle vocational","671","0.232764800168908","0.21500486514507","0.250524735192746"
"Very low transfer dependency","1995","Not Employed","vocational + Abi","60","0.361590112015361","0.278028981707899","0.445151242322824"
"Very low transfer dependency","1995","Not Employed","higher vocational","51","0.225892831637308","0.165634931115547","0.286150732159069"
