"transab_cat","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1990","Hamburg","Urban Area","2","","",""
"High transfer dependency","1990","Hamburg","Rural Area","","","",""
"High transfer dependency","1990","Lower Saxony","Urban Area","2","","",""
"High transfer dependency","1990","Lower Saxony","Rural Area","7","","",""
"High transfer dependency","1990","Bremen","Urban Area","2","","",""
"High transfer dependency","1990","Bremen","Rural Area","","","",""
"High transfer dependency","1990","North Rhine-Westphalia","Urban Area","44","0.0161536583889402","0.0110348459667204","0.0212724708111599"
"High transfer dependency","1990","North Rhine-Westphalia","Rural Area","","","",""
"High transfer dependency","1990","Hesse","Urban Area","5","","",""
"High transfer dependency","1990","Hesse","Rural Area","","","",""
"High transfer dependency","1990","Rhineland-Palatinate,Saarland","Urban Area","7","","",""
"High transfer dependency","1990","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"High transfer dependency","1990","Baden-Württemberg","Urban Area","12","","",""
"High transfer dependency","1990","Baden-Württemberg","Rural Area","","","",""
"High transfer dependency","1990","Bavaria","Urban Area","1","","",""
"High transfer dependency","1990","Bavaria","Rural Area","4","","",""
"High transfer dependency","1990","Berlin","Urban Area","5","","",""
"High transfer dependency","1990","Berlin","Rural Area","","","",""
"High transfer dependency","1990","Brandenburg","Urban Area","","","",""
"High transfer dependency","1990","Brandenburg","Rural Area","","","",""
"High transfer dependency","1990","Mecklenburg-Western Pomerania","Urban Area","","","",""
"High transfer dependency","1990","Mecklenburg-Western Pomerania","Rural Area","","","",""
"High transfer dependency","1990","Saxony","Urban Area","","","",""
"High transfer dependency","1990","Saxony","Rural Area","","","",""
"High transfer dependency","1990","Saxony-Anhalt","Urban Area","","","",""
"High transfer dependency","1990","Saxony-Anhalt","Rural Area","","","",""
"High transfer dependency","1990","Thuringia","Urban Area","","","",""
"High transfer dependency","1990","Thuringia","Rural Area","","","",""
"Very high transfer dependency","1990","Schleswig-Holstein","Urban Area","3","","",""
"Very high transfer dependency","1990","Schleswig-Holstein","Rural Area","","","",""
"Very high transfer dependency","1990","Hamburg","Urban Area","3","","",""
"Very high transfer dependency","1990","Hamburg","Rural Area","","","",""
"Very high transfer dependency","1990","Lower Saxony","Urban Area","3","","",""
"Very high transfer dependency","1990","Lower Saxony","Rural Area","3","","",""
"Very high transfer dependency","1990","Bremen","Urban Area","5","","",""
"Very high transfer dependency","1990","Bremen","Rural Area","","","",""
"Very high transfer dependency","1990","North Rhine-Westphalia","Urban Area","17","","",""
"Very high transfer dependency","1990","North Rhine-Westphalia","Rural Area","","","",""
"Very high transfer dependency","1990","Hesse","Urban Area","2","","",""
"Very high transfer dependency","1990","Hesse","Rural Area","","","",""
"Very high transfer dependency","1990","Rhineland-Palatinate,Saarland","Urban Area","1","","",""
"Very high transfer dependency","1990","Rhineland-Palatinate,Saarland","Rural Area","1","","",""
"Very high transfer dependency","1990","Baden-Württemberg","Urban Area","4","","",""
"Very high transfer dependency","1990","Baden-Württemberg","Rural Area","","","",""
"Very high transfer dependency","1990","Bavaria","Urban Area","1","","",""
"Very high transfer dependency","1990","Bavaria","Rural Area","","","",""
"Very high transfer dependency","1990","Berlin","Urban Area","4","","",""
"Very high transfer dependency","1990","Berlin","Rural Area","","","",""
"Very high transfer dependency","1990","Brandenburg","Urban Area","","","",""
"Very high transfer dependency","1990","Brandenburg","Rural Area","","","",""
"Very high transfer dependency","1990","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Very high transfer dependency","1990","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Very high transfer dependency","1990","Saxony","Urban Area","","","",""
"Very high transfer dependency","1990","Saxony","Rural Area","","","",""
"Very high transfer dependency","1990","Saxony-Anhalt","Urban Area","","","",""
"Very high transfer dependency","1990","Saxony-Anhalt","Rural Area","","","",""
"Very high transfer dependency","1990","Thuringia","Urban Area","","","",""
"Very high transfer dependency","1990","Thuringia","Rural Area","","","",""
"Complete transfer dependency","1990","Schleswig-Holstein","Urban Area","1","","",""
"Complete transfer dependency","1990","Schleswig-Holstein","Rural Area","","","",""
"Complete transfer dependency","1990","Hamburg","Urban Area","1","","",""
"Complete transfer dependency","1990","Hamburg","Rural Area","","","",""
"Complete transfer dependency","1990","Lower Saxony","Urban Area","5","","",""
"Complete transfer dependency","1990","Lower Saxony","Rural Area","6","","",""
"Complete transfer dependency","1990","Bremen","Urban Area","","","",""
"Complete transfer dependency","1990","Bremen","Rural Area","","","",""
"Complete transfer dependency","1990","North Rhine-Westphalia","Urban Area","20","","",""
"Complete transfer dependency","1990","North Rhine-Westphalia","Rural Area","1","","",""
"Complete transfer dependency","1990","Hesse","Urban Area","1","","",""
"Complete transfer dependency","1990","Hesse","Rural Area","1","","",""
"Complete transfer dependency","1990","Rhineland-Palatinate,Saarland","Urban Area","2","","",""
"Complete transfer dependency","1990","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"Complete transfer dependency","1990","Baden-Württemberg","Urban Area","4","","",""
"Complete transfer dependency","1990","Baden-Württemberg","Rural Area","","","",""
"Complete transfer dependency","1990","Bavaria","Urban Area","3","","",""
"Complete transfer dependency","1990","Bavaria","Rural Area","2","","",""
"Complete transfer dependency","1990","Berlin","Urban Area","4","","",""
"Complete transfer dependency","1990","Berlin","Rural Area","","","",""
"Complete transfer dependency","1990","Brandenburg","Urban Area","","","",""
"Complete transfer dependency","1990","Brandenburg","Rural Area","","","",""
"Complete transfer dependency","1990","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Complete transfer dependency","1990","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Complete transfer dependency","1990","Saxony","Urban Area","","","",""
"Complete transfer dependency","1990","Saxony","Rural Area","","","",""
"Complete transfer dependency","1990","Saxony-Anhalt","Urban Area","","","",""
"Complete transfer dependency","1990","Saxony-Anhalt","Rural Area","","","",""
"Complete transfer dependency","1990","Thuringia","Urban Area","","","",""
"Complete transfer dependency","1990","Thuringia","Rural Area","","","",""
"No transfer dependency","1991","Schleswig-Holstein","Urban Area","57","0.422286807604704","0.340760375907103","0.503813239302305"
"No transfer dependency","1991","Schleswig-Holstein","Rural Area","62","0.487988159536126","0.405773632405213","0.57020268666704"
"No transfer dependency","1991","Hamburg","Urban Area","88","0.71476698014541","0.643684203720699","0.785849756570121"
"No transfer dependency","1991","Hamburg","Rural Area","","","",""
"No transfer dependency","1991","Lower Saxony","Urban Area","237","0.579708197171052","0.535823799993648","0.623592594348456"
"No transfer dependency","1991","Lower Saxony","Rural Area","183","0.496920740061504","0.449329509869376","0.544511970253631"
"No transfer dependency","1991","Bremen","Urban Area","58","0.724778278816744","0.630384623673834","0.819171933959653"
"No transfer dependency","1991","Bremen","Rural Area","","","",""
"No transfer dependency","1991","North Rhine-Westphalia","Urban Area","993","0.545798052554129","0.525387701956388","0.566208403151871"
"No transfer dependency","1991","North Rhine-Westphalia","Rural Area","14","","",""
"No transfer dependency","1991","Hesse","Urban Area","343","0.570896681471362","0.535777408400887","0.606015954541837"
"No transfer dependency","1991","Hesse","Rural Area","61","0.608161176136554","0.524884342578947","0.691438009694162"
"No transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","244","0.566358690633001","0.523432315297093","0.609285065968909"
"No transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","43","0.453857281976356","0.359960882137735","0.547753681814977"
"No transfer dependency","1991","Baden-Württemberg","Urban Area","682","0.570223939163269","0.544743440482535","0.595704437844004"
"No transfer dependency","1991","Baden-Württemberg","Rural Area","94","0.564158914723763","0.499366876344785","0.628950953102741"
"No transfer dependency","1991","Bavaria","Urban Area","423","0.657956694895981","0.62414037091925","0.691773018872713"
"No transfer dependency","1991","Bavaria","Rural Area","355","0.527954494761123","0.492130925328413","0.563778064193834"
"No transfer dependency","1991","Berlin","Urban Area","144","0.62675856581473","0.573599224035775","0.679917907593685"
"No transfer dependency","1991","Berlin","Rural Area","","","",""
"No transfer dependency","1991","Brandenburg","Urban Area","","","",""
"No transfer dependency","1991","Brandenburg","Rural Area","","","",""
"No transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No transfer dependency","1991","Saxony","Urban Area","","","",""
"No transfer dependency","1991","Saxony","Rural Area","","","",""
"No transfer dependency","1991","Saxony-Anhalt","Urban Area","","","",""
"No transfer dependency","1991","Saxony-Anhalt","Rural Area","","","",""
"No transfer dependency","1991","Thuringia","Urban Area","","","",""
"No transfer dependency","1991","Thuringia","Rural Area","","","",""
"Very low transfer dependency","1991","Schleswig-Holstein","Urban Area","67","0.478684281941296","0.396229940371093","0.561138623511499"
"Very low transfer dependency","1991","Schleswig-Holstein","Rural Area","71","0.484586135349865","0.402386960221284","0.566785310478446"
"Very low transfer dependency","1991","Hamburg","Urban Area","58","0.243061397871074","0.175535469386477","0.310587326355671"
"Very low transfer dependency","1991","Hamburg","Rural Area","","","",""
"Very low transfer dependency","1991","Lower Saxony","Urban Area","222","0.369477558214698","0.326566002158974","0.412389114270423"
"Very low transfer dependency","1991","Lower Saxony","Rural Area","201","0.421496085219695","0.374494220682777","0.468497949756614"
"Very low transfer dependency","1991","Bremen","Urban Area","21","","",""
"Very low transfer dependency","1991","Bremen","Rural Area","","","",""
"Very low transfer dependency","1991","North Rhine-Westphalia","Urban Area","1140","0.396533091519536","0.376480226702868","0.416585956336205"
"Very low transfer dependency","1991","North Rhine-Westphalia","Rural Area","42","0.569924385680589","0.448630437415326","0.691218333945853"
"Very low transfer dependency","1991","Hesse","Urban Area","376","0.388725975132815","0.35413796531013","0.423313984955501"
"Very low transfer dependency","1991","Hesse","Rural Area","67","0.36688669486584","0.284668520936075","0.449104868795605"
"Very low transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","244","0.378400347973155","0.336391163037076","0.420409532909233"
"Very low transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","62","0.507555034081745","0.413266988400171","0.601843079763319"
"Very low transfer dependency","1991","Baden-Württemberg","Urban Area","731","0.404569561937576","0.379307068808833","0.429832055066319"
"Very low transfer dependency","1991","Baden-Württemberg","Rural Area","124","0.418380703801931","0.353924895602023","0.48283651200184"
"Very low transfer dependency","1991","Bavaria","Urban Area","307","0.308983096126046","0.276044969919164","0.341921222332928"
"Very low transfer dependency","1991","Bavaria","Rural Area","361","0.430261113203576","0.394732139964157","0.465790086442996"
"Very low transfer dependency","1991","Berlin","Urban Area","149","0.32513180639868","0.273647633549797","0.376615979247562"
"Very low transfer dependency","1991","Berlin","Rural Area","","","",""
"Very low transfer dependency","1991","Brandenburg","Urban Area","","","",""
"Very low transfer dependency","1991","Brandenburg","Rural Area","","","",""
"Very low transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Very low transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Very low transfer dependency","1991","Saxony","Urban Area","","","",""
"Very low transfer dependency","1991","Saxony","Rural Area","","","",""
"Very low transfer dependency","1991","Saxony-Anhalt","Urban Area","","","",""
"Very low transfer dependency","1991","Saxony-Anhalt","Rural Area","","","",""
"Very low transfer dependency","1991","Thuringia","Urban Area","","","",""
"Very low transfer dependency","1991","Thuringia","Rural Area","","","",""
"Low transfer dependency","1991","Schleswig-Holstein","Urban Area","12","","",""
"Low transfer dependency","1991","Schleswig-Holstein","Rural Area","7","","",""
"Low transfer dependency","1991","Hamburg","Urban Area","4","","",""
"Low transfer dependency","1991","Hamburg","Rural Area","","","",""
"Low transfer dependency","1991","Lower Saxony","Urban Area","21","","",""
"Low transfer dependency","1991","Lower Saxony","Rural Area","18","","",""
"Low transfer dependency","1991","Bremen","Urban Area","2","","",""
"Low transfer dependency","1991","Bremen","Rural Area","","","",""
"Low transfer dependency","1991","North Rhine-Westphalia","Urban Area","92","0.03463033320357","0.0271351002149299","0.0421255661922101"
"Low transfer dependency","1991","North Rhine-Westphalia","Rural Area","7","","",""
"Low transfer dependency","1991","Hesse","Urban Area","30","0.0234065870116837","0.0126787599554372","0.0341344140679302"
"Low transfer dependency","1991","Hesse","Rural Area","3","","",""
"Low transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","13","","",""
"Low transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Low transfer dependency","1991","Baden-Württemberg","Urban Area","17","","",""
"Low transfer dependency","1991","Baden-Württemberg","Rural Area","7","","",""
"Low transfer dependency","1991","Bavaria","Urban Area","16","","",""
"Low transfer dependency","1991","Bavaria","Rural Area","14","","",""
"Low transfer dependency","1991","Berlin","Urban Area","17","","",""
"Low transfer dependency","1991","Berlin","Rural Area","","","",""
"Low transfer dependency","1991","Brandenburg","Urban Area","","","",""
"Low transfer dependency","1991","Brandenburg","Rural Area","","","",""
"Low transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Low transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Low transfer dependency","1991","Saxony","Urban Area","","","",""
"Low transfer dependency","1991","Saxony","Rural Area","","","",""
"Low transfer dependency","1991","Saxony-Anhalt","Urban Area","","","",""
"Low transfer dependency","1991","Saxony-Anhalt","Rural Area","","","",""
"Low transfer dependency","1991","Thuringia","Urban Area","","","",""
"Low transfer dependency","1991","Thuringia","Rural Area","","","",""
"High transfer dependency","1991","Schleswig-Holstein","Urban Area","2","","",""
"High transfer dependency","1991","Schleswig-Holstein","Rural Area","","","",""
"High transfer dependency","1991","Hamburg","Urban Area","2","","",""
"High transfer dependency","1991","Hamburg","Rural Area","","","",""
"High transfer dependency","1991","Lower Saxony","Urban Area","3","","",""
"High transfer dependency","1991","Lower Saxony","Rural Area","6","","",""
"High transfer dependency","1991","Bremen","Urban Area","5","","",""
"High transfer dependency","1991","Bremen","Rural Area","","","",""
"High transfer dependency","1991","North Rhine-Westphalia","Urban Area","27","","",""
"High transfer dependency","1991","North Rhine-Westphalia","Rural Area","","","",""
"High transfer dependency","1991","Hesse","Urban Area","5","","",""
"High transfer dependency","1991","Hesse","Rural Area","","","",""
"High transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","4","","",""
"High transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"High transfer dependency","1991","Baden-Württemberg","Urban Area","15","","",""
"High transfer dependency","1991","Baden-Württemberg","Rural Area","","","",""
"High transfer dependency","1991","Bavaria","Urban Area","5","","",""
"High transfer dependency","1991","Bavaria","Rural Area","13","","",""
"High transfer dependency","1991","Berlin","Urban Area","2","","",""
"High transfer dependency","1991","Berlin","Rural Area","","","",""
"High transfer dependency","1991","Brandenburg","Urban Area","","","",""
"High transfer dependency","1991","Brandenburg","Rural Area","","","",""
"High transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","",""
"High transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","",""
"High transfer dependency","1991","Saxony","Urban Area","","","",""
"High transfer dependency","1991","Saxony","Rural Area","","","",""
"High transfer dependency","1991","Saxony-Anhalt","Urban Area","","","",""
"High transfer dependency","1991","Saxony-Anhalt","Rural Area","","","",""
"High transfer dependency","1991","Thuringia","Urban Area","","","",""
"High transfer dependency","1991","Thuringia","Rural Area","","","",""
"Very high transfer dependency","1991","Schleswig-Holstein","Urban Area","2","","",""
"Very high transfer dependency","1991","Schleswig-Holstein","Rural Area","","","",""
"Very high transfer dependency","1991","Hamburg","Urban Area","2","","",""
"Very high transfer dependency","1991","Hamburg","Rural Area","","","",""
"Very high transfer dependency","1991","Lower Saxony","Urban Area","1","","",""
"Very high transfer dependency","1991","Lower Saxony","Rural Area","7","","",""
"Very high transfer dependency","1991","Bremen","Urban Area","","","",""
"Very high transfer dependency","1991","Bremen","Rural Area","","","",""
"Very high transfer dependency","1991","North Rhine-Westphalia","Urban Area","8","","",""
"Very high transfer dependency","1991","North Rhine-Westphalia","Rural Area","","","",""
"Very high transfer dependency","1991","Hesse","Urban Area","7","","",""
"Very high transfer dependency","1991","Hesse","Rural Area","","","",""
"Very high transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","1","","",""
"Very high transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","1","","",""
"Very high transfer dependency","1991","Baden-Württemberg","Urban Area","3","","",""
"Very high transfer dependency","1991","Baden-Württemberg","Rural Area","","","",""
"Very high transfer dependency","1991","Bavaria","Urban Area","4","","",""
"Very high transfer dependency","1991","Bavaria","Rural Area","2","","",""
"Very high transfer dependency","1991","Berlin","Urban Area","3","","",""
"Very high transfer dependency","1991","Berlin","Rural Area","","","",""
"Very high transfer dependency","1991","Brandenburg","Urban Area","","","",""
"Very high transfer dependency","1991","Brandenburg","Rural Area","","","",""
"Very high transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Very high transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Very high transfer dependency","1991","Saxony","Urban Area","","","",""
"Very high transfer dependency","1991","Saxony","Rural Area","","","",""
"Very high transfer dependency","1991","Saxony-Anhalt","Urban Area","","","",""
"Very high transfer dependency","1991","Saxony-Anhalt","Rural Area","","","",""
"Very high transfer dependency","1991","Thuringia","Urban Area","","","",""
"Very high transfer dependency","1991","Thuringia","Rural Area","","","",""
"Complete transfer dependency","1991","Schleswig-Holstein","Urban Area","1","","",""
"Complete transfer dependency","1991","Schleswig-Holstein","Rural Area","2","","",""
"Complete transfer dependency","1991","Hamburg","Urban Area","1","","",""
"Complete transfer dependency","1991","Hamburg","Rural Area","","","",""
"Complete transfer dependency","1991","Lower Saxony","Urban Area","2","","",""
"Complete transfer dependency","1991","Lower Saxony","Rural Area","9","","",""
"Complete transfer dependency","1991","Bremen","Urban Area","","","",""
"Complete transfer dependency","1991","Bremen","Rural Area","","","",""
"Complete transfer dependency","1991","North Rhine-Westphalia","Urban Area","26","","",""
"Complete transfer dependency","1991","North Rhine-Westphalia","Rural Area","1","","",""
"Complete transfer dependency","1991","Hesse","Urban Area","2","","",""
"Complete transfer dependency","1991","Hesse","Rural Area","1","","",""
"Complete transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","6","","",""
"Complete transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Complete transfer dependency","1991","Baden-Württemberg","Urban Area","2","","",""
"Complete transfer dependency","1991","Baden-Württemberg","Rural Area","","","",""
"Complete transfer dependency","1991","Bavaria","Urban Area","1","","",""
"Complete transfer dependency","1991","Bavaria","Rural Area","1","","",""
"Complete transfer dependency","1991","Berlin","Urban Area","3","","",""
"Complete transfer dependency","1991","Berlin","Rural Area","","","",""
"Complete transfer dependency","1991","Brandenburg","Urban Area","","","",""
"Complete transfer dependency","1991","Brandenburg","Rural Area","","","",""
"Complete transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Complete transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Complete transfer dependency","1991","Saxony","Urban Area","","","",""
"Complete transfer dependency","1991","Saxony","Rural Area","","","",""
"Complete transfer dependency","1991","Saxony-Anhalt","Urban Area","","","",""
"Complete transfer dependency","1991","Saxony-Anhalt","Rural Area","","","",""
"Complete transfer dependency","1991","Thuringia","Urban Area","","","",""
"Complete transfer dependency","1991","Thuringia","Rural Area","","","",""
"No transfer dependency","1992","Schleswig-Holstein","Urban Area","55","0.431208041624459","0.34672271742082","0.515693365828098"
"No transfer dependency","1992","Schleswig-Holstein","Rural Area","56","0.504975620511254","0.416256612856499","0.593694628166009"
"No transfer dependency","1992","Hamburg","Urban Area","82","0.668854814281993","0.592515753118668","0.745193875445317"
"No transfer dependency","1992","Hamburg","Rural Area","","","",""
"No transfer dependency","1992","Lower Saxony","Urban Area","255","0.608306805564574","0.564501849199821","0.652111761929326"
"No transfer dependency","1992","Lower Saxony","Rural Area","184","0.514611493990794","0.466642065026648","0.56258092295494"
"No transfer dependency","1992","Bremen","Urban Area","62","0.723883732654501","0.6299397710944","0.817827694214602"
"No transfer dependency","1992","Bremen","Rural Area","","","",""
"No transfer dependency","1992","North Rhine-Westphalia","Urban Area","1015","0.543729067165714","0.523351167357946","0.564106966973482"
"No transfer dependency","1992","North Rhine-Westphalia","Rural Area","14","","",""
"No transfer dependency","1992","Hesse","Urban Area","364","0.603043400752439","0.568027664927241","0.638059136577637"
"No transfer dependency","1992","Hesse","Rural Area","62","0.689438284776632","0.606648048037637","0.772228521515627"
"No transfer dependency","1992","Rhineland-Palatinate,Saarland","Urban Area","275","0.584756844079214","0.542115753184831","0.627397934973598"
"No transfer dependency","1992","Rhineland-Palatinate,Saarland","Rural Area","42","0.558628133059726","0.460815664572549","0.656440601546903"
"No transfer dependency","1992","Baden-Württemberg","Urban Area","635","0.556906536470213","0.530866994869297","0.582946078071129"
"No transfer dependency","1992","Baden-Württemberg","Rural Area","73","0.517649023442567","0.452212026182286","0.583086020702847"
"No transfer dependency","1992","Bavaria","Urban Area","439","0.656661545634547","0.622948140346718","0.690374950922376"
"No transfer dependency","1992","Bavaria","Rural Area","344","0.511286223403168","0.475724193782548","0.546848253023788"
"No transfer dependency","1992","Berlin","Urban Area","196","0.49452848672117","0.453082146611086","0.535974826831255"
"No transfer dependency","1992","Berlin","Rural Area","","","",""
"No transfer dependency","1992","Brandenburg","Urban Area","18","","",""
"No transfer dependency","1992","Brandenburg","Rural Area","150","0.345299628805099","0.30616367606649","0.384435581543708"
"No transfer dependency","1992","Mecklenburg-Western Pomerania","Urban Area","13","","",""
"No transfer dependency","1992","Mecklenburg-Western Pomerania","Rural Area","101","0.357606452127311","0.307103903003436","0.408109001251187"
"No transfer dependency","1992","Saxony","Urban Area","182","0.398956396438128","0.358471257009505","0.439441535866751"
"No transfer dependency","1992","Saxony","Rural Area","153","0.385622028268551","0.34422210218778","0.427021954349323"
"No transfer dependency","1992","Saxony-Anhalt","Urban Area","77","0.423320101384521","0.359466407566095","0.487173795202947"
"No transfer dependency","1992","Saxony-Anhalt","Rural Area","120","0.310843870266573","0.27015272980063","0.351535010732515"
"No transfer dependency","1992","Thuringia","Urban Area","39","0.274120899853971","0.207650504797687","0.340591294910255"
"No transfer dependency","1992","Thuringia","Rural Area","136","0.374048496703032","0.329587756075085","0.418509237330979"
"Very low transfer dependency","1992","Schleswig-Holstein","Urban Area","64","0.482896182182092","0.397649618109908","0.568142746254276"
"Very low transfer dependency","1992","Schleswig-Holstein","Rural Area","58","0.450001105151667","0.361722416290646","0.538279794012689"
"Very low transfer dependency","1992","Hamburg","Urban Area","57","0.284887854844412","0.21167358970781","0.358102119981014"
"Very low transfer dependency","1992","Hamburg","Rural Area","","","",""
"Very low transfer dependency","1992","Lower Saxony","Urban Area","198","0.350391212380623","0.307576655850665","0.393205768910581"
"Very low transfer dependency","1992","Lower Saxony","Rural Area","201","0.410385715272354","0.36317286937764","0.457598561167068"
"Very low transfer dependency","1992","Bremen","Urban Area","19","","",""
"Very low transfer dependency","1992","Bremen","Rural Area","","","",""
"Very low transfer dependency","1992","North Rhine-Westphalia","Urban Area","1139","0.411745630695415","0.391610529041169","0.431880732349661"
"Very low transfer dependency","1992","North Rhine-Westphalia","Rural Area","49","0.643140138516851","0.526675771294427","0.759604505739275"
"Very low transfer dependency","1992","Hesse","Urban Area","345","0.355223420930707","0.320972450379336","0.389474391482077"
"Very low transfer dependency","1992","Hesse","Rural Area","53","0.283606703901172","0.202959099610467","0.364254308191877"
"Very low transfer dependency","1992","Rhineland-Palatinate,Saarland","Urban Area","216","0.374478177397639","0.332596516278004","0.416359838517273"
"Very low transfer dependency","1992","Rhineland-Palatinate,Saarland","Rural Area","52","0.387916551711209","0.291931198618371","0.483901904804047"
"Very low transfer dependency","1992","Baden-Württemberg","Urban Area","701","0.406339975638288","0.380594069405392","0.432085881871184"
"Very low transfer dependency","1992","Baden-Württemberg","Rural Area","138","0.451571100583235","0.386401161062133","0.516741040104337"
"Very low transfer dependency","1992","Bavaria","Urban Area","302","0.319266100202907","0.286165512990636","0.352366687415178"
"Very low transfer dependency","1992","Bavaria","Rural Area","381","0.442016995549987","0.406685894432895","0.477348096667079"
"Very low transfer dependency","1992","Berlin","Urban Area","288","0.404894855081084","0.36420274893466","0.445586961227509"
"Very low transfer dependency","1992","Berlin","Rural Area","","","",""
"Very low transfer dependency","1992","Brandenburg","Urban Area","41","0.677961520658774","0.55873345683454","0.797189584483008"
"Very low transfer dependency","1992","Brandenburg","Rural Area","343","0.541534632753214","0.500521499704367","0.582547765802061"
"Very low transfer dependency","1992","Mecklenburg-Western Pomerania","Urban Area","28","","",""
"Very low transfer dependency","1992","Mecklenburg-Western Pomerania","Rural Area","196","0.511593932913512","0.458923940056824","0.5642639257702"
"Very low transfer dependency","1992","Saxony","Urban Area","304","0.469216104919034","0.427956481785057","0.510475728053012"
"Very low transfer dependency","1992","Saxony","Rural Area","312","0.507265673244061","0.464742567427218","0.549788779060905"
"Very low transfer dependency","1992","Saxony-Anhalt","Urban Area","126","0.482933655975373","0.418353209294692","0.547514102656054"
"Very low transfer dependency","1992","Saxony-Anhalt","Rural Area","330","0.583648896604276","0.540310225436095","0.626987567772458"
"Very low transfer dependency","1992","Thuringia","Urban Area","124","0.659089413677952","0.588454819994049","0.729724007361854"
"Very low transfer dependency","1992","Thuringia","Rural Area","250","0.486495316099402","0.440569812317737","0.532420819881067"
"Low transfer dependency","1992","Schleswig-Holstein","Urban Area","4","","",""
"Low transfer dependency","1992","Schleswig-Holstein","Rural Area","7","","",""
"Low transfer dependency","1992","Hamburg","Urban Area","1","","",""
"Low transfer dependency","1992","Hamburg","Rural Area","","","",""
"Low transfer dependency","1992","Lower Saxony","Urban Area","12","","",""
"Low transfer dependency","1992","Lower Saxony","Rural Area","8","","",""
"Low transfer dependency","1992","Bremen","Urban Area","2","","",""
"Low transfer dependency","1992","Bremen","Rural Area","","","",""
"Low transfer dependency","1992","North Rhine-Westphalia","Urban Area","87","0.0252615092069927","0.0188415768725389","0.0316814415414464"
"Low transfer dependency","1992","North Rhine-Westphalia","Rural Area","","","",""
"Low transfer dependency","1992","Hesse","Urban Area","23","","",""
"Low transfer dependency","1992","Hesse","Rural Area","4","","",""
"Low transfer dependency","1992","Rhineland-Palatinate,Saarland","Urban Area","11","","",""
"Low transfer dependency","1992","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"Low transfer dependency","1992","Baden-Württemberg","Urban Area","43","0.019995896986186","0.0126578768754905","0.0273339170968816"
"Low transfer dependency","1992","Baden-Württemberg","Rural Area","11","","",""
"Low transfer dependency","1992","Bavaria","Urban Area","15","","",""
"Low transfer dependency","1992","Bavaria","Rural Area","23","","",""
"Low transfer dependency","1992","Berlin","Urban Area","37","0.0435940879384651","0.0266672003107625","0.0605209755661676"
"Low transfer dependency","1992","Berlin","Rural Area","","","",""
"Low transfer dependency","1992","Brandenburg","Urban Area","","","",""
"Low transfer dependency","1992","Brandenburg","Rural Area","55","0.0807329452860515","0.0583094759101","0.103156414662003"
"Low transfer dependency","1992","Mecklenburg-Western Pomerania","Urban Area","3","","",""
"Low transfer dependency","1992","Mecklenburg-Western Pomerania","Rural Area","46","0.122182766862524","0.0876749828785018","0.156690550846546"
"Low transfer dependency","1992","Saxony","Urban Area","53","0.0858178551517928","0.0626607040963124","0.108975006207273"
"Low transfer dependency","1992","Saxony","Rural Area","48","0.0788696990604691","0.0559443236165308","0.101795074504408"
"Low transfer dependency","1992","Saxony-Anhalt","Urban Area","26","","",""
"Low transfer dependency","1992","Saxony-Anhalt","Rural Area","42","0.0932486460150171","0.067684265672684","0.11881302635735"
"Low transfer dependency","1992","Thuringia","Urban Area","10","","",""
"Low transfer dependency","1992","Thuringia","Rural Area","61","0.110834544402457","0.0819894972106067","0.139679591594308"
