"plb0195_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Paid","2000","Employed","direct migration background","241","0.266891705611327","0.23754951227829","0.296233898944364"
"Paid","2000","Employed","indirect migration background","49","0.163391181833847","0.11862263770665","0.208159725961044"
"Not paid","2000","Not Employed","no migration background","6","","",""
"Not paid","2000","Not Employed","direct migration background","1","","",""
"Not paid","2000","Not Employed","indirect migration background","1","","",""
"Not paid","2000","Employed","no migration background","1241","0.168696398873759","0.159970350709576","0.177422447037941"
"Not paid","2000","Employed","direct migration background","93","0.133679676413119","0.111105448084007","0.156253904742231"
"Not paid","2000","Employed","indirect migration background","34","0.127312241952581","0.0869512370881906","0.167673246816971"
"Acclaimed","2001","Not Employed","no migration background","24","","",""
"Acclaimed","2001","Not Employed","direct migration background","4","","",""
"Acclaimed","2001","Not Employed","indirect migration background","1","","",""
"Acclaimed","2001","Employed","no migration background","3079","0.469664408970243","0.457632997673146","0.48169582026734"
"Acclaimed","2001","Employed","direct migration background","296","0.358043310305929","0.324924799733563","0.391161820878296"
"Acclaimed","2001","Employed","indirect migration background","122","0.447898522936519","0.38858339402858","0.507213651844459"
"Partly, partly","2001","Not Employed","no migration background","10","","",""
"Partly, partly","2001","Not Employed","direct migration background","2","","",""
"Partly, partly","2001","Not Employed","indirect migration background","","","",""
"Partly, partly","2001","Employed","no migration background","1433","0.216747259054956","0.206814380397869","0.226680137712042"
"Partly, partly","2001","Employed","direct migration background","195","0.239593878238809","0.21010822106035","0.269079535417267"
"Partly, partly","2001","Employed","indirect migration background","68","0.233453627976699","0.182994964969031","0.283912290984367"
"Paid","2001","Not Employed","no migration background","9","","",""
"Paid","2001","Not Employed","direct migration background","2","","",""
"Paid","2001","Not Employed","indirect migration background","","","",""
"Paid","2001","Employed","no migration background","968","0.151074744158944","0.142441420511816","0.159708067806072"
"Paid","2001","Employed","direct migration background","214","0.243151564958625","0.213517369296806","0.272785760620445"
"Paid","2001","Employed","indirect migration background","44","0.171016783756576","0.126105192254188","0.215928375258963"
"Not paid","2001","Not Employed","no migration background","9","","",""
"Not paid","2001","Not Employed","direct migration background","1","","",""
"Not paid","2001","Not Employed","indirect migration background","3","","",""
"Not paid","2001","Employed","no migration background","1130","0.162513587815857","0.153619916293817","0.171407259337898"
"Not paid","2001","Employed","direct migration background","100","0.159211246496637","0.133936868927422","0.184485624065852"
"Not paid","2001","Employed","indirect migration background","36","0.147631065330206","0.105318545229916","0.189943585430497"
"Acclaimed","2002","Not Employed","no migration background","29","","",""
"Acclaimed","2002","Not Employed","direct migration background","2","","",""
"Acclaimed","2002","Not Employed","indirect migration background","1","","",""
"Acclaimed","2002","Employed","no migration background","3218","0.486212753542435","0.474468897692152","0.497956609392718"
"Acclaimed","2002","Employed","direct migration background","275","0.411042464228612","0.374876618331839","0.447208310125384"
"Acclaimed","2002","Employed","indirect migration background","108","0.464333057613995","0.403359188516431","0.52530692671156"
"Partly, partly","2002","Not Employed","no migration background","7","","",""
"Partly, partly","2002","Not Employed","direct migration background","","","",""
"Partly, partly","2002","Not Employed","indirect migration background","","","",""
"Partly, partly","2002","Employed","no migration background","1433","0.210229408313855","0.200655195165297","0.219803621462414"
"Partly, partly","2002","Employed","direct migration background","164","0.198649912638345","0.169322846124618","0.227976979152073"
"Partly, partly","2002","Employed","indirect migration background","58","0.217909239582981","0.167437539984333","0.268380939181628"
"Paid","2002","Not Employed","no migration background","11","","",""
"Paid","2002","Not Employed","direct migration background","1","","",""
"Paid","2002","Not Employed","indirect migration background","2","","",""
"Paid","2002","Employed","no migration background","759","0.120502724713892","0.11285342704787","0.128152022379914"
"Paid","2002","Employed","direct migration background","181","0.260002030745333","0.227760405581311","0.292243655909355"
"Paid","2002","Employed","indirect migration background","38","0.116764067542466","0.0775018792402758","0.156026255844657"
"Not paid","2002","Not Employed","no migration background","2","","",""
"Not paid","2002","Not Employed","direct migration background","1","","",""
"Not paid","2002","Not Employed","indirect migration background","","","",""
"Not paid","2002","Employed","no migration background","1548","0.183055113429818","0.173968685408439","0.192141541451198"
"Not paid","2002","Employed","direct migration background","91","0.130305592387709","0.105561122346627","0.155050062428791"
"Not paid","2002","Employed","indirect migration background","53","0.200993635260557","0.15199908208286","0.249988188438254"
"Acclaimed","2003","Not Employed","no migration background","32","0.680468104849113","0.558340153528309","0.802596056169918"
"Acclaimed","2003","Not Employed","direct migration background","1","","",""
"Acclaimed","2003","Not Employed","indirect migration background","1","","",""
"Acclaimed","2003","Employed","no migration background","3202","0.511765562139504","0.499714371721382","0.523816752557626"
"Acclaimed","2003","Employed","direct migration background","277","0.468793599281383","0.430162100064569","0.507425098498196"
"Acclaimed","2003","Employed","indirect migration background","115","0.41724813735228","0.35684393596453","0.477652338740031"
"Partly, partly","2003","Not Employed","no migration background","5","","",""
"Partly, partly","2003","Not Employed","direct migration background","","","",""
"Partly, partly","2003","Not Employed","indirect migration background","1","","",""
"Partly, partly","2003","Employed","no migration background","1283","0.193217264033906","0.18369847991523","0.202736048152582"
"Partly, partly","2003","Employed","direct migration background","149","0.215156104440103","0.183344354875158","0.246967854005048"
"Partly, partly","2003","Employed","indirect migration background","54","0.221064441126725","0.170232309890237","0.271896572363214"
"Paid","2003","Not Employed","no migration background","13","","",""
"Paid","2003","Not Employed","direct migration background","1","","",""
"Paid","2003","Not Employed","indirect migration background","","","",""
"Paid","2003","Employed","no migration background","691","0.115426281350888","0.107722577425998","0.123129985275779"
"Paid","2003","Employed","direct migration background","146","0.234117667527575","0.20133704504982","0.26689829000533"
"Paid","2003","Employed","indirect migration background","51","0.228250262538605","0.176837374964535","0.279663150112674"
"Not paid","2003","Not Employed","no migration background","6","","",""
"Not paid","2003","Not Employed","direct migration background","3","","",""
"Not paid","2003","Not Employed","indirect migration background","2","","",""
"Not paid","2003","Employed","no migration background","1433","0.179590892475702","0.170336719649937","0.188845065301467"
"Not paid","2003","Employed","direct migration background","69","0.0819326287509388","0.0607009273808198","0.103164330121058"
"Not paid","2003","Employed","indirect migration background","36","0.13343715898239","0.0917822171021559","0.175092100862623"
"Acclaimed","2004","Not Employed","no migration background","15","","",""
"Acclaimed","2004","Not Employed","direct migration background","2","","",""
"Acclaimed","2004","Not Employed","indirect migration background","1","","",""
"Acclaimed","2004","Employed","no migration background","3083","0.497176917781826","0.484928295022629","0.509425540541024"
"Acclaimed","2004","Employed","direct migration background","271","0.459186737975079","0.419640833929607","0.498732642020552"
"Acclaimed","2004","Employed","indirect migration background","121","0.521408217737325","0.458856879823839","0.58395955565081"
"Partly, partly","2004","Not Employed","no migration background","8","","",""
"Partly, partly","2004","Not Employed","direct migration background","1","","",""
"Partly, partly","2004","Not Employed","indirect migration background","","","",""
"Partly, partly","2004","Employed","no migration background","1197","0.18817321245645","0.178598301017688","0.197748123895212"
"Partly, partly","2004","Employed","direct migration background","137","0.199260036505246","0.167561513388193","0.230958559622298"
"Partly, partly","2004","Employed","indirect migration background","50","0.203909302427065","0.153458875830193","0.254359729023936"
"Paid","2004","Not Employed","no migration background","4","","",""
"Paid","2004","Not Employed","direct migration background","1","","",""
"Paid","2004","Not Employed","indirect migration background","","","",""
"Paid","2004","Employed","no migration background","651","0.118275576416788","0.110364453187124","0.126186699646452"
"Paid","2004","Employed","direct migration background","116","0.192717278127345","0.161416413891468","0.224018142363222"
"Paid","2004","Employed","indirect migration background","37","0.0891277399012675","0.0534497618616972","0.124805717940838"
"Not paid","2004","Not Employed","no migration background","13","","",""
"Not paid","2004","Not Employed","direct migration background","","","",""
"Not paid","2004","Not Employed","indirect migration background","","","",""
"Not paid","2004","Employed","no migration background","1470","0.196374293344936","0.186642488184631","0.206106098505241"
"Not paid","2004","Employed","direct migration background","86","0.14883594739233","0.120590807602067","0.177081087182592"
"Not paid","2004","Employed","indirect migration background","37","0.185554739934343","0.136876818516599","0.234232661352088"
"Acclaimed","2005","Not Employed","no migration background","10","","",""
"Acclaimed","2005","Not Employed","direct migration background","3","","",""
"Acclaimed","2005","Not Employed","indirect migration background","","","",""
"Acclaimed","2005","Employed","no migration background","2990","0.512776230183594","0.500060850835792","0.525491609531395"
"Acclaimed","2005","Employed","direct migration background","270","0.460570398593798","0.419722899200138","0.501417897987459"
"Acclaimed","2005","Employed","indirect migration background","119","0.47392891521742","0.412157144695136","0.535700685739704"
"Partly, partly","2005","Not Employed","no migration background","10","","",""
"Partly, partly","2005","Not Employed","direct migration background","","","",""
"Partly, partly","2005","Not Employed","indirect migration background","","","",""
"Partly, partly","2005","Employed","no migration background","1143","0.202041001679198","0.191826640989051","0.212255362369346"
"Partly, partly","2005","Employed","direct migration background","140","0.23756349596158","0.202686283163364","0.272440708759796"
"Partly, partly","2005","Employed","indirect migration background","48","0.188256224462671","0.139895211816414","0.236617237108928"
"Paid","2005","Not Employed","no migration background","6","","",""
"Paid","2005","Not Employed","direct migration background","1","","",""
"Paid","2005","Not Employed","indirect migration background","1","","",""
"Paid","2005","Employed","no migration background","549","0.10330824709307","0.0955655863759668","0.111050907810172"
"Paid","2005","Employed","direct migration background","95","0.158731123063564","0.128784453379777","0.18867779274735"
"Paid","2005","Employed","indirect migration background","37","0.137367801274034","0.0947818320337839","0.179953770514284"
"Not paid","2005","Not Employed","no migration background","9","","",""
"Not paid","2005","Not Employed","direct migration background","1","","",""
"Not paid","2005","Not Employed","indirect migration background","","","",""
"Not paid","2005","Employed","no migration background","1254","0.181874521044139","0.17206162867761","0.191687413410667"
"Not paid","2005","Employed","direct migration background","67","0.143134982381058","0.114435162085056","0.17183480267706"
"Not paid","2005","Employed","indirect migration background","47","0.200447059045875","0.150920895534971","0.249973222556779"
"Acclaimed","2006","Not Employed","no migration background","24","","",""
"Acclaimed","2006","Not Employed","direct migration background","4","","",""
"Acclaimed","2006","Not Employed","indirect migration background","1","","",""
"Acclaimed","2006","Employed","no migration background","3312","0.500093265485459","0.487990109922472","0.512196421048447"
"Acclaimed","2006","Employed","direct migration background","258","0.448288180896595","0.408757791746598","0.487818570046592"
"Acclaimed","2006","Employed","indirect migration background","138","0.508095168759414","0.449537719324002","0.566652618194826"
"Partly, partly","2006","Not Employed","no migration background","9","","",""
"Partly, partly","2006","Not Employed","direct migration background","3","","",""
"Partly, partly","2006","Not Employed","indirect migration background","2","","",""
"Partly, partly","2006","Employed","no migration background","1190","0.191092745567418","0.181575745248768","0.200609745886069"
"Partly, partly","2006","Employed","direct migration background","135","0.1895728349692","0.158416859822833","0.220728810115567"
"Partly, partly","2006","Employed","indirect migration background","52","0.167999393967418","0.124208404911642","0.211790383023194"
"Paid","2006","Not Employed","no migration background","10","","",""
"Paid","2006","Not Employed","direct migration background","3","","",""
"Paid","2006","Not Employed","indirect migration background","","","",""
"Paid","2006","Employed","no migration background","598","0.105617940325499","0.0981781789667067","0.113057701684292"
"Paid","2006","Employed","direct migration background","118","0.199337734402329","0.16758246943142","0.231092999373238"
"Paid","2006","Employed","indirect migration background","34","0.146185497128724","0.104804306363493","0.187566687893955"
"Not paid","2006","Not Employed","no migration background","9","","",""
"Not paid","2006","Not Employed","direct migration background","1","","",""
"Not paid","2006","Not Employed","indirect migration background","","","",""
"Not paid","2006","Employed","no migration background","1456","0.203196048621623","0.193455980657721","0.212936116585525"
"Not paid","2006","Employed","direct migration background","97","0.162801249731876","0.13345588888102","0.192146610582732"
"Not paid","2006","Employed","indirect migration background","56","0.177719940144444","0.132943760747903","0.222496119540986"
"Acclaimed","2007","Not Employed","no migration background","28","","",""
"Acclaimed","2007","Not Employed","direct migration background","1","","",""
"Acclaimed","2007","Not Employed","indirect migration background","6","","",""
"Acclaimed","2007","Employed","no migration background","3056","0.497967275828457","0.485402475307534","0.51053207634938"
"Acclaimed","2007","Employed","direct migration background","239","0.447545306658439","0.404766245481957","0.49032436783492"
"Acclaimed","2007","Employed","indirect migration background","124","0.462320542953442","0.40412940440621","0.520511681500673"
"Partly, partly","2007","Not Employed","no migration background","15","","",""
"Partly, partly","2007","Not Employed","direct migration background","1","","",""
"Partly, partly","2007","Not Employed","indirect migration background","","","",""
"Partly, partly","2007","Employed","no migration background","1168","0.213866042609984","0.203561982642077","0.22417010257789"
"Partly, partly","2007","Employed","direct migration background","119","0.220232242281956","0.184579946634856","0.255884537929057"
"Partly, partly","2007","Employed","indirect migration background","69","0.211088254551083","0.16345943891506","0.258717070187105"
"Paid","2007","Not Employed","no migration background","8","","",""
"Paid","2007","Not Employed","direct migration background","1","","",""
"Paid","2007","Not Employed","indirect migration background","","","",""
"Paid","2007","Employed","no migration background","514","0.0929734078705266","0.0856758328601774","0.100270982880876"
"Paid","2007","Employed","direct migration background","85","0.177566206301176","0.144688989636978","0.210443422965373"
"Paid","2007","Employed","indirect migration background","29","","",""
"Not paid","2007","Not Employed","no migration background","9","","",""
"Not paid","2007","Not Employed","direct migration background","4","","",""
"Not paid","2007","Not Employed","indirect migration background","1","","",""
"Not paid","2007","Employed","no migration background","1345","0.195193273691033","0.185233088682067","0.205153458699998"
"Not paid","2007","Employed","direct migration background","76","0.154656244758429","0.123548765740339","0.18576372377652"
"Not paid","2007","Employed","indirect migration background","60","0.236058875718534","0.186495183800823","0.285622567636245"
"Acclaimed","2008","Not Employed","no migration background","29","","",""
"Acclaimed","2008","Not Employed","direct migration background","2","","",""
"Acclaimed","2008","Not Employed","indirect migration background","","","",""
"Acclaimed","2008","Employed","no migration background","2941","0.491761273364029","0.479134605555595","0.504387941172463"
"Acclaimed","2008","Employed","direct migration background","221","0.432237500747739","0.389327582786952","0.475147418708526"
"Acclaimed","2008","Employed","indirect migration background","135","0.53201591104927","0.472498495652641","0.5915333264459"
"Partly, partly","2008","Not Employed","no migration background","6","","",""
"Partly, partly","2008","Not Employed","direct migration background","1","","",""
"Partly, partly","2008","Not Employed","indirect migration background","1","","",""
"Partly, partly","2008","Employed","no migration background","1183","0.215806862727024","0.20541671171436","0.226197013739687"
"Partly, partly","2008","Employed","direct migration background","116","0.202575567275121","0.167761768763919","0.237389365786323"
"Partly, partly","2008","Employed","indirect migration background","62","0.235610562899166","0.184990704509015","0.286230421289316"
"Paid","2008","Not Employed","no migration background","6","","",""
"Paid","2008","Not Employed","direct migration background","","","",""
"Paid","2008","Not Employed","indirect migration background","1","","",""
"Paid","2008","Employed","no migration background","564","0.0968157216864513","0.0893471278204668","0.104284315552436"
"Paid","2008","Employed","direct migration background","98","0.204805745136827","0.169849820452032","0.239761669821623"
"Paid","2008","Employed","indirect migration background","24","","",""
"Not paid","2008","Not Employed","no migration background","15","","",""
"Not paid","2008","Not Employed","direct migration background","1","","",""
"Not paid","2008","Not Employed","indirect migration background","2","","",""
"Not paid","2008","Employed","no migration background","1334","0.195616142222496","0.185597433885031","0.205634850559961"
"Not paid","2008","Employed","direct migration background","77","0.160381186840312","0.128595551064442","0.192166822616183"
"Not paid","2008","Employed","indirect migration background","49","0.138746044114549","0.0975133104732018","0.179978777755896"
"Acclaimed","2009","Not Employed","no migration background","13","","",""
"Acclaimed","2009","Not Employed","direct migration background","1","","",""
"Acclaimed","2009","Not Employed","indirect migration background","1","","",""
"Acclaimed","2009","Employed","no migration background","2674","0.497446429233969","0.484109502428633","0.510783356039304"
"Acclaimed","2009","Employed","direct migration background","176","0.389225208609898","0.341503395371041","0.436947021848755"
"Acclaimed","2009","Employed","indirect migration background","116","0.455611820186203","0.394723588125424","0.516500052246981"
"Partly, partly","2009","Not Employed","no migration background","","","",""
"Partly, partly","2009","Not Employed","direct migration background","1","","",""
"Partly, partly","2009","Not Employed","indirect migration background","","","",""
"Partly, partly","2009","Employed","no migration background","1086","0.222359402213409","0.2112674334233","0.233451371003517"
"Partly, partly","2009","Employed","direct migration background","85","0.21750708916701","0.17712834397205","0.25788583436197"
"Partly, partly","2009","Employed","indirect migration background","55","0.229816752208159","0.178380489614331","0.281253014801987"
"Paid","2009","Not Employed","no migration background","4","","",""
"Paid","2009","Not Employed","direct migration background","2","","",""
"Paid","2009","Not Employed","indirect migration background","1","","",""
"Paid","2009","Employed","no migration background","483","0.0936685229612919","0.0858965408026123","0.101440505119971"
"Paid","2009","Employed","direct migration background","69","0.221634006225203","0.180981621224697","0.262286391225709"
"Paid","2009","Employed","indirect migration background","32","0.0889772968864723","0.0541687628578043","0.12378583091514"
"Not paid","2009","Not Employed","no migration background","8","","",""
"Not paid","2009","Not Employed","direct migration background","","","",""
"Not paid","2009","Not Employed","indirect migration background","1","","",""
"Not paid","2009","Employed","no migration background","1156","0.186525645591331","0.176135236758097","0.196916054424565"
"Not paid","2009","Employed","direct migration background","71","0.17163369599789","0.134728425372106","0.208538966623674"
"Not paid","2009","Employed","indirect migration background","54","0.225594130719166","0.174493089944647","0.276695171493685"
"Acclaimed","2010","Not Employed","no migration background","54","0.284309469666167","0.20039344543624","0.368225493896094"
"Acclaimed","2010","Not Employed","direct migration background","7","","",""
"Acclaimed","2010","Not Employed","indirect migration background","4","","",""
"Acclaimed","2010","Employed","no migration background","3704","0.527425130239954","0.515882090106484","0.538968170373425"
"Acclaimed","2010","Employed","direct migration background","313","0.447485416599","0.41168399243797","0.483286840760031"
"Acclaimed","2010","Employed","indirect migration background","187","0.53418731910275","0.484098817044644","0.584275821160855"
"Partly, partly","2010","Not Employed","no migration background","23","","",""
"Partly, partly","2010","Not Employed","direct migration background","1","","",""
"Partly, partly","2010","Not Employed","indirect migration background","1","","",""
"Partly, partly","2010","Employed","no migration background","1333","0.187056529441177","0.178040380146697","0.196072678735656"
"Partly, partly","2010","Employed","direct migration background","154","0.17507804093066","0.147715195419865","0.202440886441455"
"Partly, partly","2010","Employed","indirect migration background","67","0.200744658623049","0.160523889043571","0.240965428202528"
"Paid","2010","Not Employed","no migration background","16","","",""
"Paid","2010","Not Employed","direct migration background","7","","",""
"Paid","2010","Not Employed","indirect migration background","1","","",""
"Paid","2010","Employed","no migration background","726","0.096557074646446","0.0897282353101128","0.103385913982779"
"Paid","2010","Employed","direct migration background","158","0.189539522308717","0.161319665970465","0.217759378646969"
"Paid","2010","Employed","indirect migration background","57","0.115154448039018","0.0831021111919551","0.14720678488608"
"Not paid","2010","Not Employed","no migration background","18","","",""
"Not paid","2010","Not Employed","direct migration background","1","","",""
"Not paid","2010","Not Employed","indirect migration background","3","","",""
"Not paid","2010","Employed","no migration background","1423","0.188961265672423","0.179909950714744","0.198012580630102"
"Not paid","2010","Employed","direct migration background","116","0.187897020161623","0.159771245988291","0.216022794334954"
"Not paid","2010","Employed","indirect migration background","70","0.149913574235183","0.114067828222938","0.185759320247429"
"Acclaimed","2011","Not Employed","no migration background","62","0.491274330755419","0.397850943238919","0.58469771827192"
"Acclaimed","2011","Not Employed","direct migration background","14","","",""
"Acclaimed","2011","Not Employed","indirect migration background","3","","",""
"Acclaimed","2011","Employed","no migration background","4327","0.504831296517533","0.494286419877688","0.515376173157377"
"Acclaimed","2011","Employed","direct migration background","369","0.42616372778818","0.393801820518005","0.458525635058354"
"Acclaimed","2011","Employed","indirect migration background","243","0.461680457151169","0.417312642226398","0.506048272075939"
"Partly, partly","2011","Not Employed","no migration background","14","","",""
"Partly, partly","2011","Not Employed","direct migration background","3","","",""
"Partly, partly","2011","Not Employed","indirect migration background","2","","",""
"Partly, partly","2011","Employed","no migration background","1652","0.196226256045163","0.187850245011753","0.204602267078574"
"Partly, partly","2011","Employed","direct migration background","172","0.188972286961323","0.163352897477001","0.214591676445646"
"Partly, partly","2011","Employed","indirect migration background","90","0.20709890651116","0.171034762132485","0.243163050889835"
"Paid","2011","Not Employed","no migration background","20","","",""
"Paid","2011","Not Employed","direct migration background","2","","",""
"Paid","2011","Not Employed","indirect migration background","1","","",""
"Paid","2011","Employed","no migration background","950","0.10941781531415","0.102834073439287","0.116001557189014"
"Paid","2011","Employed","direct migration background","204","0.202716968653568","0.176408038879907","0.229025898427229"
"Paid","2011","Employed","indirect migration background","65","0.115403118167846","0.0869677604827024","0.14383847585299"
"Not paid","2011","Not Employed","no migration background","14","","",""
"Not paid","2011","Not Employed","direct migration background","1","","",""
"Not paid","2011","Not Employed","indirect migration background","","","",""
"Not paid","2011","Employed","no migration background","1707","0.189524632123154","0.18125864897667","0.197790615269638"
"Not paid","2011","Employed","direct migration background","152","0.182147016596929","0.156888925703013","0.207405107490845"
"Not paid","2011","Employed","indirect migration background","87","0.215817518169825","0.179205039066994","0.252429997272656"
"Acclaimed","2012","Not Employed","no migration background","95","0.602944631979738","0.531065579706042","0.674823684253435"
"Acclaimed","2012","Not Employed","direct migration background","7","","",""
"Acclaimed","2012","Not Employed","indirect migration background","6","","",""
"Acclaimed","2012","Employed","no migration background","4550","0.521562726408864","0.511085242455387","0.532040210362342"
"Acclaimed","2012","Employed","direct migration background","395","0.422572642756513","0.390859484004321","0.454285801508706"
"Acclaimed","2012","Employed","indirect migration background","248","0.482634015494935","0.439308320268967","0.525959710720904"
"Partly, partly","2012","Not Employed","no migration background","36","0.180499263113245","0.12399899864334","0.23699952758315"
"Partly, partly","2012","Not Employed","direct migration background","4","","",""
"Partly, partly","2012","Not Employed","indirect migration background","1","","",""
"Partly, partly","2012","Employed","no migration background","1705","0.20209123056828","0.193668719685453","0.210513741451107"
"Partly, partly","2012","Employed","direct migration background","202","0.241288467742678","0.213819220378497","0.268757715106859"
"Partly, partly","2012","Employed","indirect migration background","114","0.228422223932088","0.19202261868552","0.264821829178656"
"Paid","2012","Not Employed","no migration background","17","","",""
"Paid","2012","Not Employed","direct migration background","5","","",""
"Paid","2012","Not Employed","indirect migration background","2","","",""
"Paid","2012","Employed","no migration background","936","0.107074127967159","0.100588661713925","0.113559594220393"
"Paid","2012","Employed","direct migration background","195","0.183261771806191","0.158423720651196","0.208099822961186"
"Paid","2012","Employed","indirect migration background","57","0.108662106202049","0.0816786307694083","0.13564558163469"
"Not paid","2012","Not Employed","no migration background","30","0.136442531457029","0.0860160580897243","0.186869004824335"
"Not paid","2012","Not Employed","direct migration background","5","","",""
"Not paid","2012","Not Employed","indirect migration background","2","","",""
"Not paid","2012","Employed","no migration background","1541","0.169271915055697","0.161406654252761","0.177137175858633"
"Not paid","2012","Employed","direct migration background","140","0.152877117694617","0.12977325556116","0.175980979828075"
"Not paid","2012","Employed","indirect migration background","92","0.180281654370927","0.146950854514572","0.213612454227282"
"Acclaimed","2013","Not Employed","no migration background","135","0.437707846372044","0.380110982274183","0.495304710469905"
"Acclaimed","2013","Not Employed","direct migration background","521","0.415348844695054","0.387898823875198","0.442798865514911"
"Acclaimed","2013","Not Employed","indirect migration background","157","0.478788977289335","0.425053895187501","0.532524059391169"
"Acclaimed","2013","Employed","no migration background","4193","0.521585877503504","0.510601737801774","0.532570017205234"
"Acclaimed","2013","Employed","direct migration background","352","0.454940063477399","0.420346860131201","0.489533266823597"
"Acclaimed","2013","Employed","indirect migration background","246","0.552379964516794","0.5066904955678","0.598069433465787"
"Partly, partly","2013","Not Employed","no migration background","72","0.20057605849499","0.154086675457251","0.247065441532728"
"Partly, partly","2013","Not Employed","direct migration background","265","0.209786042954393","0.1871057629286","0.232466322980185"
"Partly, partly","2013","Not Employed","indirect migration background","78","0.247000442330776","0.200610345907939","0.293390538753613"
"Partly, partly","2013","Employed","no migration background","1524","0.207542520573146","0.198625029812118","0.216460011334174"
"Partly, partly","2013","Employed","direct migration background","186","0.21438348127284","0.185873789640707","0.242893172904972"
"Partly, partly","2013","Employed","indirect migration background","85","0.186926177200312","0.151104786346833","0.222747568053791"
"Paid","2013","Not Employed","no migration background","27","","",""
"Paid","2013","Not Employed","direct migration background","311","0.245729022676947","0.22174733768687","0.269710707667023"
"Paid","2013","Not Employed","indirect migration background","55","0.156599823563111","0.117507496181847","0.195692150944374"
"Paid","2013","Employed","no migration background","810","0.0997177508609911","0.0931293999739507","0.106306101748032"
"Paid","2013","Employed","direct migration background","154","0.163519922072486","0.137827520944628","0.189212323200344"
"Paid","2013","Employed","indirect migration background","50","0.108822020154867","0.0802077279307981","0.137436312378936"
"Not paid","2013","Not Employed","no migration background","51","0.229003291866807","0.180219810992151","0.277786772741463"
"Not paid","2013","Not Employed","direct migration background","141","0.129136089673606","0.110455665603363","0.147816513743849"
"Not paid","2013","Not Employed","indirect migration background","42","0.117610756816778","0.0829584082683406","0.152263105365215"
"Not paid","2013","Employed","no migration background","1418","0.17115385106236","0.162871923265074","0.179435778859645"
"Not paid","2013","Employed","direct migration background","104","0.167156533177275","0.141236537399479","0.19307652895507"
"Not paid","2013","Employed","indirect migration background","74","0.151871838128027","0.118894791419309","0.184848884836744"
"Acclaimed","2014","Not Employed","no migration background","76","0.557128938454644","0.477901406445833","0.636356470463455"
"Acclaimed","2014","Not Employed","direct migration background","30","0.517337084098059","0.396782176409992","0.637891991786125"
"Acclaimed","2014","Not Employed","indirect migration background","9","","",""
"Acclaimed","2014","Employed","no migration background","3985","0.516902676945807","0.505664240135","0.528141113756614"
"Acclaimed","2014","Employed","direct migration background","665","0.429106644540557","0.404569234753129","0.453644054327985"
"Acclaimed","2014","Employed","indirect migration background","328","0.520722413568435","0.483091006936321","0.558353820200549"
"Partly, partly","2014","Not Employed","no migration background","28","","",""
"Partly, partly","2014","Not Employed","direct migration background","14","","",""
"Partly, partly","2014","Not Employed","indirect migration background","4","","",""
"Partly, partly","2014","Employed","no migration background","1616","0.223826788474592","0.214452904830316","0.233200672118868"
"Partly, partly","2014","Employed","direct migration background","354","0.217423125344077","0.196973517963977","0.237872732724178"
"Partly, partly","2014","Employed","indirect migration background","153","0.203878021709337","0.173530113008263","0.234225930410412"
"Paid","2014","Not Employed","no migration background","21","","",""
"Paid","2014","Not Employed","direct migration background","18","","",""
"Paid","2014","Not Employed","indirect migration background","5","","",""
"Paid","2014","Employed","no migration background","730","0.0968101481407141","0.0901599563743122","0.103460339907116"
"Paid","2014","Employed","direct migration background","331","0.189567969468207","0.170136332877179","0.208999606059235"
"Paid","2014","Employed","indirect migration background","93","0.139771986984392","0.11365214070059","0.165891833268194"
"Not paid","2014","Not Employed","no migration background","26","","",""
"Not paid","2014","Not Employed","direct migration background","4","","",""
"Not paid","2014","Not Employed","indirect migration background","4","","",""
"Not paid","2014","Employed","no migration background","1264","0.162460386438886","0.154164541583256","0.170756231294516"
"Not paid","2014","Employed","direct migration background","213","0.163902260647158","0.145549998740837","0.18225452255348"
"Not paid","2014","Employed","indirect migration background","103","0.135627577737836","0.109835982142789","0.161419173332882"
"Acclaimed","2015","Not Employed","no migration background","","","",""
"Acclaimed","2015","Not Employed","direct migration background","","","",""
"Acclaimed","2015","Not Employed","indirect migration background","","","",""
"Acclaimed","2015","Employed","no migration background","","","",""
"Acclaimed","2015","Employed","direct migration background","","","",""
"Acclaimed","2015","Employed","indirect migration background","","","",""
"Partly, partly","2015","Not Employed","no migration background","","","",""
"Partly, partly","2015","Not Employed","direct migration background","","","",""
"Partly, partly","2015","Not Employed","indirect migration background","","","",""
"Partly, partly","2015","Employed","no migration background","","","",""
"Partly, partly","2015","Employed","direct migration background","","","",""
"Partly, partly","2015","Employed","indirect migration background","","","",""
"Paid","2015","Not Employed","no migration background","","","",""
"Paid","2015","Not Employed","direct migration background","","","",""
"Paid","2015","Not Employed","indirect migration background","","","",""
"Paid","2015","Employed","no migration background","","","",""
"Paid","2015","Employed","direct migration background","","","",""
"Paid","2015","Employed","indirect migration background","","","",""
"Not paid","2015","Not Employed","no migration background","","","",""
"Not paid","2015","Not Employed","direct migration background","","","",""
"Not paid","2015","Not Employed","indirect migration background","","","",""
"Not paid","2015","Employed","no migration background","","","",""
"Not paid","2015","Employed","direct migration background","","","",""
"Not paid","2015","Employed","indirect migration background","","","",""
"Acclaimed","2016","Not Employed","no migration background","","","",""
"Acclaimed","2016","Not Employed","direct migration background","","","",""
"Acclaimed","2016","Not Employed","indirect migration background","","","",""
"Acclaimed","2016","Employed","no migration background","","","",""
