"plb0195_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Not paid","1999","Full Time","Rural Area","224","0.160178743345895","0.140918205731532","0.179439280960258"
"Not paid","1999","Part Time","Urban Area","92","0.145141932706531","0.118309345193533","0.171974520219529"
"Not paid","1999","Part Time","Rural Area","45","0.10641754238058","0.0754126504157877","0.137422434345373"
"Not paid","1999","Not Working","Urban Area","2","","",""
"Not paid","1999","Not Working","Rural Area","2","","",""
"Acclaimed","2000","Full Time","Urban Area","1860","0.445071152649829","0.430150949296282","0.459991356003377"
"Acclaimed","2000","Full Time","Rural Area","1113","0.477188617003808","0.45691204616261","0.497465187845005"
"Acclaimed","2000","Part Time","Urban Area","586","0.535124748787322","0.505515282889482","0.564734214685162"
"Acclaimed","2000","Part Time","Rural Area","307","0.582525190936476","0.540421974344015","0.624628407528937"
"Acclaimed","2000","Not Working","Urban Area","21","","",""
"Acclaimed","2000","Not Working","Rural Area","13","","",""
"Partly, partly","2000","Full Time","Urban Area","916","0.21148398053033","0.199224124596564","0.223743836464097"
"Partly, partly","2000","Full Time","Rural Area","499","0.217264148273715","0.200523256025586","0.234005040521843"
"Partly, partly","2000","Part Time","Urban Area","183","0.174863870840057","0.152313811571524","0.19741393010859"
"Partly, partly","2000","Part Time","Rural Area","85","0.175896052599469","0.143390180123269","0.208401925075668"
"Partly, partly","2000","Not Working","Urban Area","12","","",""
"Partly, partly","2000","Not Working","Rural Area","7","","",""
"Paid","2000","Full Time","Urban Area","684","0.15865419803011","0.147685516720086","0.169622879340134"
"Paid","2000","Full Time","Rural Area","331","0.139291625204179","0.125235439979311","0.153347810429048"
"Paid","2000","Part Time","Urban Area","195","0.182420399738203","0.159493962701344","0.205346836775062"
"Paid","2000","Part Time","Rural Area","83","0.1478197002835","0.117517463519942","0.178121937047058"
"Paid","2000","Not Working","Urban Area","11","","",""
"Paid","2000","Not Working","Rural Area","4","","",""
"Not paid","2000","Full Time","Urban Area","802","0.18479066878973","0.173138253402698","0.196443084176762"
"Not paid","2000","Full Time","Rural Area","388","0.166255609518298","0.151141534605386","0.18136968443121"
"Not paid","2000","Part Time","Urban Area","126","0.107590980634418","0.0891957706190969","0.125986190649739"
"Not paid","2000","Part Time","Rural Area","52","0.0937590561805554","0.0688721313129303","0.11864598104818"
"Not paid","2000","Not Working","Urban Area","5","","",""
"Not paid","2000","Not Working","Rural Area","3","","",""
"Acclaimed","2001","Full Time","Urban Area","1665","0.4307009929898","0.415239261400845","0.446162724578754"
"Acclaimed","2001","Full Time","Rural Area","999","0.474728506348272","0.453411443805685","0.496045568890858"
"Acclaimed","2001","Part Time","Urban Area","548","0.49620855881828","0.466526613543027","0.525890504093534"
"Acclaimed","2001","Part Time","Rural Area","285","0.534169652719751","0.492366607256661","0.575972698182841"
"Acclaimed","2001","Not Working","Urban Area","20","","",""
"Acclaimed","2001","Not Working","Rural Area","9","","",""
"Partly, partly","2001","Full Time","Urban Area","923","0.229036826108861","0.215915749975317","0.242157902242404"
"Partly, partly","2001","Full Time","Rural Area","474","0.224699422849142","0.206881838647675","0.242517007050609"
"Partly, partly","2001","Part Time","Urban Area","206","0.194212867425405","0.170728222070817","0.217697512779992"
"Partly, partly","2001","Part Time","Rural Area","93","0.178708620852824","0.146603388927007","0.210813852778641"
"Partly, partly","2001","Not Working","Urban Area","8","","",""
"Partly, partly","2001","Not Working","Rural Area","4","","",""
"Paid","2001","Full Time","Urban Area","605","0.158911997555169","0.147496389675022","0.170327605435317"
"Paid","2001","Full Time","Rural Area","290","0.137578305713286","0.122873895749443","0.15228271567713"
"Paid","2001","Part Time","Urban Area","217","0.196956104894382","0.173346473435102","0.220565736353663"
"Paid","2001","Part Time","Rural Area","114","0.182303496174515","0.149948004999002","0.214658987350029"
"Paid","2001","Not Working","Urban Area","4","","",""
"Paid","2001","Not Working","Rural Area","7","","",""
"Not paid","2001","Full Time","Urban Area","747","0.18135018334617","0.169319007787679","0.193381358904661"
"Not paid","2001","Full Time","Rural Area","345","0.1629937650893","0.147226272692599","0.178761257486001"
"Not paid","2001","Part Time","Urban Area","119","0.112622468861932","0.0938551783069037","0.131389759416961"
"Not paid","2001","Part Time","Rural Area","55","0.10481823025291","0.0791480774468128","0.130488383059008"
"Not paid","2001","Not Working","Urban Area","10","","",""
"Not paid","2001","Not Working","Rural Area","3","","",""
"Acclaimed","2002","Full Time","Urban Area","1715","0.458008789999706","0.442780379819109","0.473237200180304"
"Acclaimed","2002","Full Time","Rural Area","985","0.484879863827094","0.463422786235598","0.50633694141859"
"Acclaimed","2002","Part Time","Urban Area","598","0.50550006363626","0.476900607798118","0.534099519474401"
"Acclaimed","2002","Part Time","Rural Area","303","0.565263644621094","0.524058712553381","0.606468576688808"
"Acclaimed","2002","Not Working","Urban Area","18","","",""
"Acclaimed","2002","Not Working","Rural Area","14","","",""
"Partly, partly","2002","Full Time","Urban Area","883","0.210501044280654","0.198040860576094","0.222961227985215"
"Partly, partly","2002","Full Time","Rural Area","479","0.241631229740788","0.223252479074544","0.260009980407033"
"Partly, partly","2002","Part Time","Urban Area","192","0.163354449766996","0.142207376015523","0.18450152351847"
"Partly, partly","2002","Part Time","Rural Area","101","0.17552700593936","0.143906349247294","0.207147662631426"
"Partly, partly","2002","Not Working","Urban Area","2","","",""
"Partly, partly","2002","Not Working","Rural Area","5","","",""
"Paid","2002","Full Time","Urban Area","473","0.130781118082549","0.12047586559269","0.141086370572408"
"Paid","2002","Full Time","Rural Area","238","0.121373389017043","0.107352900394966","0.13539387763912"
"Paid","2002","Part Time","Urban Area","179","0.155788873113857","0.135044142646657","0.176533603581056"
"Paid","2002","Part Time","Rural Area","88","0.156169512628951","0.125995266477646","0.186343758780256"
"Paid","2002","Not Working","Urban Area","11","","",""
"Paid","2002","Not Working","Rural Area","3","","",""
"Not paid","2002","Full Time","Urban Area","1041","0.20070904763709","0.188466904257993","0.212951191016187"
"Not paid","2002","Full Time","Rural Area","382","0.152115517415075","0.136696583864875","0.167534450965274"
"Not paid","2002","Part Time","Urban Area","205","0.175356613482887","0.153604162053289","0.197109064912486"
"Not paid","2002","Part Time","Rural Area","64","0.103039836810594","0.0777701503190565","0.128309523302132"
"Not paid","2002","Not Working","Urban Area","2","","",""
"Not paid","2002","Not Working","Rural Area","1","","",""
"Acclaimed","2003","Full Time","Urban Area","1691","0.46877120389362","0.452983576320457","0.484558831466783"
"Acclaimed","2003","Full Time","Rural Area","1005","0.546209064807792","0.52425212047297","0.568166009142615"
"Acclaimed","2003","Part Time","Urban Area","602","0.516129776179818","0.487334230180973","0.544925322178662"
"Acclaimed","2003","Part Time","Rural Area","296","0.598037900994073","0.556530780752071","0.639545021236075"
"Acclaimed","2003","Not Working","Urban Area","20","","",""
"Acclaimed","2003","Not Working","Rural Area","14","","",""
"Partly, partly","2003","Full Time","Urban Area","766","0.202717837166545","0.189998994010472","0.215436680322617"
"Partly, partly","2003","Full Time","Rural Area","414","0.20360194950739","0.185842863881284","0.221361035133495"
"Partly, partly","2003","Part Time","Urban Area","209","0.171483239369273","0.14976408559319","0.193202393145355"
"Partly, partly","2003","Part Time","Rural Area","97","0.175856167127313","0.143627228431221","0.208085105823406"
"Partly, partly","2003","Not Working","Urban Area","5","","",""
"Partly, partly","2003","Not Working","Rural Area","1","","",""
"Paid","2003","Full Time","Urban Area","434","0.128613377914754","0.118022203445297","0.139204552384211"
"Paid","2003","Full Time","Rural Area","196","0.107658517673863","0.0939889657119701","0.121328069635756"
"Paid","2003","Part Time","Urban Area","174","0.167553761099498","0.146034041919408","0.189073480279588"
"Paid","2003","Part Time","Rural Area","84","0.149109290823624","0.118954595880508","0.17926398576674"
"Paid","2003","Not Working","Urban Area","9","","",""
"Paid","2003","Not Working","Rural Area","5","","",""
"Not paid","2003","Full Time","Urban Area","947","0.199897581025081","0.187245202775718","0.212549959274445"
"Not paid","2003","Full Time","Rural Area","360","0.142530468010955","0.127112478518882","0.157948457503028"
"Not paid","2003","Part Time","Urban Area","172","0.144833223351412","0.124554485559316","0.165111961143508"
"Not paid","2003","Part Time","Rural Area","59","0.07699664105499","0.0544281134190928","0.0995651686908872"
"Not paid","2003","Not Working","Urban Area","7","","",""
"Not paid","2003","Not Working","Rural Area","4","","",""
"Acclaimed","2004","Full Time","Urban Area","1668","0.468251012267809","0.45223536122133","0.484266663314287"
"Acclaimed","2004","Full Time","Rural Area","914","0.523419777097705","0.500806871491132","0.546032682704279"
"Acclaimed","2004","Part Time","Urban Area","582","0.514276873482684","0.484808250641747","0.543745496323621"
"Acclaimed","2004","Part Time","Rural Area","311","0.556527262280493","0.514932897416704","0.598121627144281"
"Acclaimed","2004","Not Working","Urban Area","10","","",""
"Acclaimed","2004","Not Working","Rural Area","8","","",""
"Partly, partly","2004","Full Time","Urban Area","716","0.192833813220843","0.180171152396154","0.205496474045532"
"Partly, partly","2004","Full Time","Rural Area","408","0.211926155768237","0.193423288441232","0.230429023095241"
"Partly, partly","2004","Part Time","Urban Area","164","0.148756699200644","0.127775414729663","0.169737983671626"
"Partly, partly","2004","Part Time","Rural Area","96","0.179347884962583","0.147227148954316","0.211468620970849"
"Partly, partly","2004","Not Working","Urban Area","3","","",""
"Partly, partly","2004","Not Working","Rural Area","6","","",""
"Paid","2004","Full Time","Urban Area","364","0.11551146412524","0.105252333777666","0.125770594472814"
"Paid","2004","Full Time","Rural Area","177","0.0974554319339451","0.0840277621804091","0.110883101687481"
"Paid","2004","Part Time","Urban Area","189","0.18670690786284","0.163731105488065","0.209682710237615"
"Paid","2004","Part Time","Rural Area","74","0.151321593797752","0.121317546509517","0.181325641085987"
"Paid","2004","Not Working","Urban Area","3","","",""
"Paid","2004","Not Working","Rural Area","2","","",""
"Not paid","2004","Full Time","Urban Area","981","0.223403710386108","0.21003483898016","0.236772581792057"
"Not paid","2004","Full Time","Rural Area","375","0.167198635200113","0.150303939420624","0.184093330979602"
"Not paid","2004","Part Time","Urban Area","170","0.150259519453831","0.129191141351649","0.171327897556014"
"Not paid","2004","Part Time","Rural Area","67","0.112803258959173","0.0863165131218493","0.139290004796496"
"Not paid","2004","Not Working","Urban Area","8","","",""
"Not paid","2004","Not Working","Rural Area","5","","",""
"Acclaimed","2005","Full Time","Urban Area","1636","0.475093692507846","0.45847338424024","0.491714000775451"
"Acclaimed","2005","Full Time","Rural Area","878","0.541523724439789","0.517962183562408","0.565085265317171"
"Acclaimed","2005","Part Time","Urban Area","566","0.53867290099786","0.508258778583165","0.569087023412554"
"Acclaimed","2005","Part Time","Rural Area","299","0.547804172927129","0.505864464995447","0.58974388085881"
"Acclaimed","2005","Not Working","Urban Area","8","","",""
"Acclaimed","2005","Not Working","Rural Area","5","","",""
"Partly, partly","2005","Full Time","Urban Area","680","0.208439325385146","0.194920452607161","0.221958198163132"
"Partly, partly","2005","Full Time","Rural Area","383","0.209653238688227","0.190404772074833","0.22890170530162"
"Partly, partly","2005","Part Time","Urban Area","180","0.202675080381695","0.178149116282057","0.227201044481334"
"Partly, partly","2005","Part Time","Rural Area","88","0.172142693096808","0.140332119651344","0.203953266542272"
"Partly, partly","2005","Not Working","Urban Area","1","","",""
"Partly, partly","2005","Not Working","Rural Area","9","","",""
"Paid","2005","Full Time","Urban Area","323","0.10969630199646","0.0992953371422709","0.12009726685065"
"Paid","2005","Full Time","Rural Area","148","0.0850260717441363","0.0718369180751205","0.098215225413152"
"Paid","2005","Part Time","Urban Area","125","0.126904194546002","0.10659572566751","0.147212663424494"
"Paid","2005","Part Time","Rural Area","85","0.163201433348677","0.13206119684413","0.194341669853224"
"Paid","2005","Not Working","Urban Area","5","","",""
"Paid","2005","Not Working","Rural Area","3","","",""
"Not paid","2005","Full Time","Urban Area","829","0.206770680110548","0.193291843650909","0.220249516570186"
"Not paid","2005","Full Time","Rural Area","309","0.163796965127848","0.146296672675147","0.181297257580548"
"Not paid","2005","Part Time","Urban Area","161","0.131747824074443","0.111112898435892","0.152382749712993"
"Not paid","2005","Part Time","Rural Area","69","0.116851700627387","0.089781978630054","0.143921422624719"
"Not paid","2005","Not Working","Urban Area","7","","",""
"Not paid","2005","Not Working","Rural Area","3","","",""
"Acclaimed","2006","Full Time","Urban Area","1735","0.456745134776799","0.440814830305821","0.472675439247776"
"Acclaimed","2006","Full Time","Rural Area","945","0.525130863476643","0.50256982815656","0.547691898796726"
"Acclaimed","2006","Part Time","Urban Area","672","0.557552204084226","0.529403637266764","0.585700770901688"
"Acclaimed","2006","Part Time","Rural Area","356","0.54326431977296","0.503734827622353","0.582793811923566"
"Acclaimed","2006","Not Working","Urban Area","16","","",""
"Acclaimed","2006","Not Working","Rural Area","13","","",""
"Partly, partly","2006","Full Time","Urban Area","706","0.195799319654655","0.183108984077474","0.208489655231835"
"Partly, partly","2006","Full Time","Rural Area","399","0.203143392887292","0.184966078389169","0.221320707385416"
"Partly, partly","2006","Part Time","Urban Area","173","0.144088750931466","0.124186055063869","0.163991446799062"
"Partly, partly","2006","Part Time","Rural Area","99","0.203547448865125","0.171595602510866","0.235499295219385"
"Partly, partly","2006","Not Working","Urban Area","10","","",""
"Partly, partly","2006","Not Working","Rural Area","4","","",""
"Paid","2006","Full Time","Urban Area","343","0.116219406372271","0.105970043812252","0.12646876893229"
"Paid","2006","Full Time","Rural Area","161","0.0848697129364454","0.0722788321320433","0.0974605937408476"
"Paid","2006","Part Time","Urban Area","162","0.155120405838921","0.134603381301525","0.175637430376318"
"Paid","2006","Part Time","Rural Area","84","0.139488671104701","0.111995113634922","0.16698222857448"
"Paid","2006","Not Working","Urban Area","7","","",""
"Paid","2006","Not Working","Rural Area","6","","",""
"Not paid","2006","Full Time","Urban Area","972","0.231236139196276","0.217752422048098","0.244719856344455"
"Not paid","2006","Full Time","Rural Area","377","0.186856030699619","0.169245373487195","0.204466687912043"
"Not paid","2006","Part Time","Urban Area","189","0.143238639145387","0.123384889994414","0.16309238829636"
"Not paid","2006","Part Time","Rural Area","71","0.113699560257214","0.0885081170699461","0.138891003444483"
"Not paid","2006","Not Working","Urban Area","8","","",""
"Not paid","2006","Not Working","Rural Area","2","","",""
"Acclaimed","2007","Full Time","Urban Area","1574","0.449439164462766","0.432825913178656","0.466052415746877"
"Acclaimed","2007","Full Time","Rural Area","907","0.51008991488944","0.486912373078397","0.533267456700484"
"Acclaimed","2007","Part Time","Urban Area","590","0.559602120321034","0.529702725620021","0.589501515022048"
"Acclaimed","2007","Part Time","Rural Area","348","0.586721108804028","0.547121368572088","0.626320849035969"
"Acclaimed","2007","Not Working","Urban Area","23","","",""
"Acclaimed","2007","Not Working","Rural Area","12","","",""
"Partly, partly","2007","Full Time","Urban Area","685","0.212499222781394","0.198837021224333","0.226161424338455"
"Partly, partly","2007","Full Time","Rural Area","407","0.260461351541982","0.240112593992949","0.280810109091014"
"Partly, partly","2007","Part Time","Urban Area","169","0.173909842009133","0.151081418797397","0.196738265220869"
"Partly, partly","2007","Part Time","Rural Area","95","0.158431372408532","0.129067033400525","0.18779571141654"
"Partly, partly","2007","Not Working","Urban Area","8","","",""
"Partly, partly","2007","Not Working","Rural Area","8","","",""
"Paid","2007","Full Time","Urban Area","290","0.0990204220106879","0.089044882808519","0.108995961212857"
"Paid","2007","Full Time","Rural Area","116","0.0629722932577565","0.0517097418658609","0.074234844649652"
"Paid","2007","Part Time","Urban Area","138","0.143868666031489","0.122731176013687","0.16500615604929"
"Paid","2007","Part Time","Rural Area","84","0.144932956079927","0.116623043536418","0.173242868623436"
"Paid","2007","Not Working","Urban Area","6","","",""
"Paid","2007","Not Working","Rural Area","3","","",""
"Not paid","2007","Full Time","Urban Area","895","0.239041190745152","0.224797141518781","0.253285239971522"
"Not paid","2007","Full Time","Rural Area","357","0.166476440310822","0.149205294721431","0.183747585900213"
"Not paid","2007","Part Time","Urban Area","162","0.122619371638344","0.102864524440314","0.142374218836374"
"Not paid","2007","Part Time","Rural Area","67","0.109914562707512","0.0847610678766914","0.135068057538333"
"Not paid","2007","Not Working","Urban Area","11","","",""
"Not paid","2007","Not Working","Rural Area","3","","",""
"Acclaimed","2008","Full Time","Urban Area","1494","0.449388823874743","0.432559341450532","0.466218306298954"
"Acclaimed","2008","Full Time","Rural Area","891","0.525423384001897","0.502206055656217","0.548640712347577"
"Acclaimed","2008","Part Time","Urban Area","615","0.555792763440514","0.526770708871376","0.584814818009652"
"Acclaimed","2008","Part Time","Rural Area","297","0.491003008011283","0.449031987975128","0.532974028047437"
"Acclaimed","2008","Not Working","Urban Area","17","","",""
"Acclaimed","2008","Not Working","Rural Area","14","","",""
"Partly, partly","2008","Full Time","Urban Area","685","0.221282932247365","0.20723860564183","0.235327258852901"
"Partly, partly","2008","Full Time","Rural Area","386","0.225262655553311","0.205839212250046","0.244686098856575"
"Partly, partly","2008","Part Time","Urban Area","193","0.179543117200028","0.157125411800352","0.201960822599705"
"Partly, partly","2008","Part Time","Rural Area","97","0.219771672696677","0.185006326885678","0.254537018507676"
"Partly, partly","2008","Not Working","Urban Area","4","","",""
"Partly, partly","2008","Not Working","Rural Area","4","","",""
"Paid","2008","Full Time","Urban Area","316","0.112140419548665","0.101464867411594","0.122815971685737"
"Paid","2008","Full Time","Rural Area","165","0.0832988233439654","0.0704507589418562","0.0961468877460746"
"Paid","2008","Part Time","Urban Area","128","0.10825172772956","0.0901042006833452","0.126399254775775"
"Paid","2008","Part Time","Rural Area","77","0.144843631940949","0.115296025212806","0.174391238669093"
"Paid","2008","Not Working","Urban Area","4","","",""
"Paid","2008","Not Working","Rural Area","3","","",""
"Not paid","2008","Full Time","Urban Area","861","0.217187824329227","0.203237521401486","0.231138127256967"
"Not paid","2008","Full Time","Rural Area","335","0.166015137100827","0.148714690856602","0.183315583345052"
"Not paid","2008","Part Time","Urban Area","190","0.156412391629897","0.135195606901067","0.177629176358728"
"Not paid","2008","Part Time","Rural Area","74","0.144381687351091","0.11487326900213","0.173890105700052"
"Not paid","2008","Not Working","Urban Area","11","","",""
"Not paid","2008","Not Working","Rural Area","7","","",""
"Acclaimed","2009","Full Time","Urban Area","1352","0.454619503782268","0.436669286526056","0.47256972103848"
"Acclaimed","2009","Full Time","Rural Area","828","0.53084390133139","0.506579839299304","0.555107963363475"
"Acclaimed","2009","Part Time","Urban Area","505","0.50600141178433","0.47439136669351","0.53761145687515"
"Acclaimed","2009","Part Time","Rural Area","281","0.493016103616466","0.449837150213229","0.536195057019703"
"Acclaimed","2009","Not Working","Urban Area","9","","",""
"Acclaimed","2009","Not Working","Rural Area","6","","",""
"Partly, partly","2009","Full Time","Urban Area","579","0.209481350850086","0.194811536459351","0.224151165240821"
"Partly, partly","2009","Full Time","Rural Area","352","0.251512116772597","0.23041645024636","0.272607783298834"
"Partly, partly","2009","Part Time","Urban Area","189","0.205597379788351","0.180045931652948","0.231148827923755"
"Partly, partly","2009","Part Time","Rural Area","106","0.247637271834875","0.210358111813689","0.28491643185606"
"Partly, partly","2009","Not Working","Urban Area","1","","",""
"Partly, partly","2009","Not Working","Rural Area","","","",""
"Paid","2009","Full Time","Urban Area","264","0.109824555389528","0.0985530114567423","0.121096099322314"
"Paid","2009","Full Time","Rural Area","132","0.0665929066754041","0.0544709998187407","0.0787148135320676"
"Paid","2009","Part Time","Urban Area","117","0.128779528987584","0.107602070013669","0.1499569879615"
"Paid","2009","Part Time","Rural Area","71","0.150971649751231","0.120050668102261","0.181892631400202"
"Paid","2009","Not Working","Urban Area","5","","",""
"Paid","2009","Not Working","Rural Area","2","","",""
"Not paid","2009","Full Time","Urban Area","761","0.226074589978117","0.210995632898332","0.241153547057903"
"Not paid","2009","Full Time","Rural Area","313","0.151051075220609","0.133640059798871","0.168462090642348"
"Not paid","2009","Part Time","Urban Area","150","0.159621679439734","0.136465348095626","0.182778010783842"
"Not paid","2009","Part Time","Rural Area","57","0.108374974797429","0.081527706316803","0.135222243278054"
"Not paid","2009","Not Working","Urban Area","5","","",""
"Not paid","2009","Not Working","Rural Area","4","","",""
"Acclaimed","2010","Full Time","Urban Area","1819","0.488539011925294","0.47281453502012","0.504263488830467"
"Acclaimed","2010","Full Time","Rural Area","1088","0.542858238909463","0.52160253319559","0.564113944623337"
"Acclaimed","2010","Part Time","Urban Area","834","0.556100851943567","0.531197185875656","0.581004518011477"
"Acclaimed","2010","Part Time","Rural Area","463","0.578900434248839","0.544405520823956","0.613395347673723"
"Acclaimed","2010","Not Working","Urban Area","33","0.319324867599383","0.211636658271217","0.427013076927549"
"Acclaimed","2010","Not Working","Rural Area","32","0.298822766395491","0.186678041905271","0.410967490885711"
"Partly, partly","2010","Full Time","Urban Area","739","0.189327862242212","0.177003904101953","0.201651820382471"
"Partly, partly","2010","Full Time","Rural Area","430","0.203808193373991","0.186620146276306","0.220996240471675"
"Partly, partly","2010","Part Time","Urban Area","257","0.161836513082419","0.143375863721983","0.180297162442855"
"Partly, partly","2010","Part Time","Rural Area","128","0.166270250635972","0.140257837093684","0.19228266417826"
"Partly, partly","2010","Not Working","Urban Area","6","","",""
"Partly, partly","2010","Not Working","Rural Area","19","","",""
"Paid","2010","Full Time","Urban Area","401","0.103056792560028","0.0934927586112508","0.112620826508805"
"Paid","2010","Full Time","Rural Area","217","0.085684338750776","0.0737415522780353","0.0976271252235166"
"Paid","2010","Part Time","Urban Area","211","0.132512074163239","0.115517754086721","0.149506394239758"
"Paid","2010","Part Time","Rural Area","112","0.141129395295769","0.116805488270869","0.16545330232067"
"Paid","2010","Not Working","Urban Area","17","","",""
"Paid","2010","Not Working","Rural Area","7","","",""
"Not paid","2010","Full Time","Urban Area","923","0.219076333272466","0.206064983564967","0.232087682979965"
"Not paid","2010","Full Time","Rural Area","375","0.16764922896577","0.151710237552597","0.183588220378942"
"Not paid","2010","Part Time","Urban Area","227","0.149550560810775","0.131674878782701","0.167426242838849"
"Not paid","2010","Part Time","Rural Area","84","0.113699919819419","0.091521469446517","0.135878370192321"
"Not paid","2010","Not Working","Urban Area","16","","",""
"Not paid","2010","Not Working","Rural Area","6","","",""
"Acclaimed","2011","Full Time","Urban Area","1990","0.45346692101124","0.438877781598064","0.468056060424415"
"Acclaimed","2011","Full Time","Rural Area","1266","0.528075866725302","0.508669484916597","0.547482248534008"
"Acclaimed","2011","Part Time","Urban Area","1069","0.530195402718135","0.507969475358047","0.552421330078222"
"Acclaimed","2011","Part Time","Rural Area","614","0.580492041021542","0.550868448460148","0.610115633582936"
"Acclaimed","2011","Not Working","Urban Area","49","0.549373904714615","0.442332641180595","0.656415168248634"
"Acclaimed","2011","Not Working","Rural Area","30","0.405196427795085","0.273027385144599","0.537365470445571"
"Partly, partly","2011","Full Time","Urban Area","937","0.21552024927305","0.203470346264361","0.227570152281739"
"Partly, partly","2011","Full Time","Rural Area","508","0.185927793308322","0.170803888360321","0.201051698256323"
"Partly, partly","2011","Part Time","Urban Area","313","0.172047612148749","0.155239834780597","0.1888553895169"
"Partly, partly","2011","Part Time","Rural Area","156","0.152027837059818","0.13047413651","0.173581537609636"
"Partly, partly","2011","Not Working","Urban Area","9","","",""
"Partly, partly","2011","Not Working","Rural Area","10","","",""
"Paid","2011","Full Time","Urban Area","469","0.107985523960279","0.0988902169523137","0.117080830968244"
"Paid","2011","Full Time","Rural Area","297","0.109928531780348","0.0977686886720575","0.122088374888638"
"Paid","2011","Part Time","Urban Area","284","0.152701881269407","0.136683316724727","0.168720445814088"
"Paid","2011","Part Time","Rural Area","169","0.151748003065602","0.130210595508985","0.17328541062222"
"Paid","2011","Not Working","Urban Area","15","","",""
"Paid","2011","Not Working","Rural Area","8","","",""
"Not paid","2011","Full Time","Urban Area","1077","0.223027305755432","0.210828128573323","0.23522648293754"
"Not paid","2011","Full Time","Rural Area","471","0.176067808186028","0.161261525643798","0.190874090728258"
"Not paid","2011","Part Time","Urban Area","271","0.145055103863709","0.12937247554062","0.160737732186799"
"Not paid","2011","Part Time","Rural Area","127","0.115732118853038","0.0965282661509894","0.134935971555086"
"Not paid","2011","Not Working","Urban Area","10","","",""
"Not paid","2011","Not Working","Rural Area","5","","",""
"Acclaimed","2012","Full Time","Urban Area","2115","0.482796461074079","0.468223901860895","0.497369020287264"
"Acclaimed","2012","Full Time","Rural Area","1375","0.532314000877958","0.513244850404555","0.551383151351361"
"Acclaimed","2012","Part Time","Urban Area","1095","0.509570913420112","0.487601365292271","0.531540461547953"
"Acclaimed","2012","Part Time","Rural Area","608","0.597232223053266","0.567410049588133","0.627054396518399"
"Acclaimed","2012","Not Working","Urban Area","64","0.565669589638651","0.479463535756022","0.65187564352128"
"Acclaimed","2012","Not Working","Rural Area","44","0.606619282799401","0.50152630827954","0.711712257319262"
"Partly, partly","2012","Full Time","Urban Area","934","0.205744716565669","0.193955974983847","0.217533458147491"
"Partly, partly","2012","Full Time","Rural Area","573","0.226996012575104","0.21098679164263","0.243005233507578"
"Partly, partly","2012","Part Time","Urban Area","344","0.204593294547117","0.186864834160683","0.222321754933552"
"Partly, partly","2012","Part Time","Rural Area","170","0.167768510929306","0.145048025066835","0.190488996791776"
"Partly, partly","2012","Not Working","Urban Area","25","","",""
"Partly, partly","2012","Not Working","Rural Area","16","","",""
"Paid","2012","Full Time","Urban Area","474","0.106890640510746","0.0978802169690501","0.115901064052442"
"Paid","2012","Full Time","Rural Area","263","0.0917447787661182","0.0807125096514395","0.102777047880797"
"Paid","2012","Part Time","Urban Area","285","0.15803903378278","0.142008098484261","0.174069969081299"
"Paid","2012","Part Time","Rural Area","166","0.161375960279795","0.139007124002333","0.183744796557257"
"Paid","2012","Not Working","Urban Area","14","","",""
"Paid","2012","Not Working","Rural Area","10","","",""
"Not paid","2012","Full Time","Urban Area","994","0.204568181849506","0.192804491939702","0.216331871759311"
"Not paid","2012","Full Time","Rural Area","419","0.14894520778082","0.135338212165156","0.162552203396484"
"Not paid","2012","Part Time","Urban Area","265","0.12779675824999","0.113124415407093","0.142469101092888"
"Not paid","2012","Part Time","Rural Area","95","0.0736233057376333","0.0577436243524935","0.0895029871227732"
"Not paid","2012","Not Working","Urban Area","24","","",""
"Not paid","2012","Not Working","Rural Area","13","","",""
"Acclaimed","2013","Full Time","Urban Area","1998","0.495452834958877","0.480184058423459","0.510721611494295"
"Acclaimed","2013","Full Time","Rural Area","1192","0.516644452496897","0.496243903018129","0.537045001975665"
"Acclaimed","2013","Part Time","Urban Area","1022","0.569981609227462","0.546897997930274","0.593065220524649"
"Acclaimed","2013","Part Time","Rural Area","579","0.556977355660202","0.526266155245811","0.587688556074594"
"Acclaimed","2013","Not Working","Urban Area","609","0.432671090476448","0.40667204620159","0.458670134751307"
"Acclaimed","2013","Not Working","Rural Area","204","0.433749667497207","0.388460640774721","0.479038694219693"
"Partly, partly","2013","Full Time","Urban Area","826","0.20473263201042","0.192410033147301","0.217055230873538"
"Partly, partly","2013","Full Time","Rural Area","487","0.238255362416827","0.220863797145911","0.255646927687744"
"Partly, partly","2013","Part Time","Urban Area","306","0.173236622979172","0.155590866310665","0.190882379647679"
"Partly, partly","2013","Part Time","Rural Area","176","0.198401926992214","0.173746283861926","0.223057570122502"
"Partly, partly","2013","Not Working","Urban Area","295","0.201215147014322","0.180177060687845","0.2222532333408"
"Partly, partly","2013","Not Working","Rural Area","120","0.269379976680158","0.228838681803488","0.309921271556828"
"Paid","2013","Full Time","Urban Area","399","0.0938721239926183","0.0849654560172417","0.102778791967995"
"Paid","2013","Full Time","Rural Area","230","0.0924129092555653","0.0805900341339888","0.104235784377142"
"Paid","2013","Part Time","Urban Area","225","0.135130704992797","0.119190934022714","0.151070475962879"
"Paid","2013","Part Time","Rural Area","160","0.150744630599743","0.128623611192886","0.1728656500066"
"Paid","2013","Not Working","Urban Area","306","0.221617044167865","0.199821926144449","0.243412162191282"
