"plh0206i01","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2009","inadequately","Male","","","","","3"
"3 on scale 1-7 ","2009","inadequately","Female","","","","","3"
"3 on scale 1-7 ","2009","general elemantary","Male","","","","","3"
"3 on scale 1-7 ","2009","general elemantary","Female","","","","","3"
"3 on scale 1-7 ","2009","middle vocational","Male","","","","","3"
"3 on scale 1-7 ","2009","middle vocational","Female","","","","","3"
"4 on scale 1-7","2009","middle vocational","Female","","","","","4"
"4 on scale 1-7","2009","vocational + Abi","Male","","","","","4"
"4 on scale 1-7","2009","vocational + Abi","Female","","","","","4"
"4 on scale 1-7","2009","higher vocational","Male","","","","","4"
"4 on scale 1-7","2009","higher vocational","Female","","","","","4"
"4 on scale 1-7","2009","higher education","Male","","","","","4"
"4 on scale 1-7","2009","higher education","Female","","","","","4"
"4 on scale 1-7","2009","in school","Male","","","","","4"
"4 on scale 1-7","2009","in school","Female","","","","","4"
"4 on scale 1-7","2009","inadequately","Male","","","","","4"
"4 on scale 1-7","2009","inadequately","Female","","","","","4"
"4 on scale 1-7","2009","general elemantary","Male","","","","","4"
"4 on scale 1-7","2009","general elemantary","Female","","","","","4"
"4 on scale 1-7","2009","middle vocational","Male","","","","","4"
"5 on scale 1-7","2009","higher education","Male","","","","","5"
"5 on scale 1-7","2009","higher education","Female","","","","","5"
"5 on scale 1-7","2009","higher vocational","Female","","","","","5"
"5 on scale 1-7","2009","higher vocational","Male","","","","","5"
"5 on scale 1-7","2009","general elemantary","Female","","","","","5"
"5 on scale 1-7","2009","middle vocational","Male","","","","","5"
"5 on scale 1-7","2009","middle vocational","Female","","","","","5"
"5 on scale 1-7","2009","vocational + Abi","Male","","","","","5"
"5 on scale 1-7","2009","vocational + Abi","Female","","","","","5"
"5 on scale 1-7","2009","inadequately","Female","","","","","5"
"5 on scale 1-7","2009","general elemantary","Male","","","","","5"
"5 on scale 1-7","2009","in school","Male","","","","","5"
"5 on scale 1-7","2009","in school","Female","","","","","5"
"5 on scale 1-7","2009","inadequately","Male","","","","","5"
"6 on scale 1-7","2009","middle vocational","Male","","","","","6"
"6 on scale 1-7","2009","middle vocational","Female","","","","","6"
"6 on scale 1-7","2009","vocational + Abi","Male","","","","","6"
"6 on scale 1-7","2009","vocational + Abi","Female","","","","","6"
"6 on scale 1-7","2009","higher education","Male","","","","","6"
"6 on scale 1-7","2009","higher education","Female","","","","","6"
"6 on scale 1-7","2009","in school","Male","","","","","6"
"6 on scale 1-7","2009","in school","Female","","","","","6"
"6 on scale 1-7","2009","inadequately","Male","","","","","6"
"6 on scale 1-7","2009","inadequately","Female","","","","","6"
"6 on scale 1-7","2009","general elemantary","Male","","","","","6"
"6 on scale 1-7","2009","general elemantary","Female","","","","","6"
"6 on scale 1-7","2009","higher vocational","Male","","","","","6"
"6 on scale 1-7","2009","higher vocational","Female","","","","","6"
"7 Strongly agree","2009","higher education","Male","","","","","7"
"7 Strongly agree","2009","higher vocational","Female","","","","","7"
"7 Strongly agree","2009","higher education","Female","","","","","7"
"7 Strongly agree","2009","higher vocational","Male","","","","","7"
"7 Strongly agree","2009","general elemantary","Female","","","","","7"
"7 Strongly agree","2009","middle vocational","Male","","","","","7"
"7 Strongly agree","2009","middle vocational","Female","","","","","7"
"7 Strongly agree","2009","vocational + Abi","Male","","","","","7"
"7 Strongly agree","2009","vocational + Abi","Female","","","","","7"
"7 Strongly agree","2009","in school","Male","","","","","7"
"7 Strongly agree","2009","in school","Female","","","","","7"
"7 Strongly agree","2009","inadequately","Male","","","","","7"
"7 Strongly agree","2009","inadequately","Female","","","","","7"
"7 Strongly agree","2009","general elemantary","Male","","","","","7"
"1 Strongly disagree","2010","vocational + Abi","Female","","","","","1"
"1 Strongly disagree","2010","higher vocational","Male","","","","","1"
"1 Strongly disagree","2010","higher vocational","Female","4","","","","1"
"1 Strongly disagree","2010","higher education","Male","2","","","","1"
"1 Strongly disagree","2010","higher education","Female","2","","","","1"
"1 Strongly disagree","2010","in school","Male","1","","","","1"
"1 Strongly disagree","2010","in school","Female","","","","","1"
"1 Strongly disagree","2010","inadequately","Male","","","","","1"
"1 Strongly disagree","2010","inadequately","Female","1","","","","1"
"1 Strongly disagree","2010","general elemantary","Male","1","","","","1"
"1 Strongly disagree","2010","general elemantary","Female","7","","","","1"
"1 Strongly disagree","2010","middle vocational","Male","10","","","","1"
"1 Strongly disagree","2010","middle vocational","Female","15","","","","1"
"1 Strongly disagree","2010","vocational + Abi","Male","","","","","1"
"2 on scale 1-7 ","2010","vocational + Abi","Female","1","","","","2"
"2 on scale 1-7 ","2010","higher vocational","Female","1","","","","2"
"2 on scale 1-7 ","2010","higher education","Male","5","","","","2"
"2 on scale 1-7 ","2010","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2010","higher education","Female","8","","","","2"
"2 on scale 1-7 ","2010","in school","Male","","","","","2"
"2 on scale 1-7 ","2010","in school","Female","1","","","","2"
"2 on scale 1-7 ","2010","general elemantary","Female","3","","","","2"
"2 on scale 1-7 ","2010","middle vocational","Male","9","","","","2"
"2 on scale 1-7 ","2010","middle vocational","Female","13","","","","2"
"2 on scale 1-7 ","2010","higher vocational","Male","4","","","","2"
"2 on scale 1-7 ","2010","inadequately","Male","2","","","","2"
"2 on scale 1-7 ","2010","inadequately","Female","1","","","","2"
"2 on scale 1-7 ","2010","general elemantary","Male","4","","","","2"
"3 on scale 1-7 ","2010","vocational + Abi","Female","4","","","","3"
"3 on scale 1-7 ","2010","higher vocational","Male","2","","","","3"
"3 on scale 1-7 ","2010","higher vocational","Female","2","","","","3"
"3 on scale 1-7 ","2010","higher education","Male","11","","","","3"
"3 on scale 1-7 ","2010","higher education","Female","8","","","","3"
"3 on scale 1-7 ","2010","in school","Male","1","","","","3"
"3 on scale 1-7 ","2010","in school","Female","","","","","3"
"3 on scale 1-7 ","2010","inadequately","Male","","","","","3"
"3 on scale 1-7 ","2010","inadequately","Female","2","","","","3"
"3 on scale 1-7 ","2010","general elemantary","Male","5","","","","3"
"3 on scale 1-7 ","2010","general elemantary","Female","9","","","","3"
"3 on scale 1-7 ","2010","middle vocational","Male","31","0.00698498291404867","0.00437750258080314","0.0095924632472942","3"
"3 on scale 1-7 ","2010","middle vocational","Female","22","","","","3"
"3 on scale 1-7 ","2010","vocational + Abi","Male","4","","","","3"
"4 on scale 1-7","2010","middle vocational","Female","120","0.0259728118630312","0.0212779473224534","0.0306676764036091","4"
"4 on scale 1-7","2010","vocational + Abi","Male","6","","","","4"
"4 on scale 1-7","2010","vocational + Abi","Female","14","","","","4"
"4 on scale 1-7","2010","higher vocational","Male","20","","","","4"
"4 on scale 1-7","2010","higher vocational","Female","12","","","","4"
"4 on scale 1-7","2010","higher education","Male","37","0.0203563256226576","0.0142626091867967","0.0264500420585184","4"
"4 on scale 1-7","2010","higher education","Female","37","0.019420761516096","0.0129864172958176","0.0258551057363744","4"
"4 on scale 1-7","2010","in school","Male","5","","","","4"
"4 on scale 1-7","2010","in school","Female","1","","","","4"
"4 on scale 1-7","2010","inadequately","Male","5","","","","4"
"4 on scale 1-7","2010","inadequately","Female","3","","","","4"
"4 on scale 1-7","2010","general elemantary","Male","21","","","","4"
"4 on scale 1-7","2010","general elemantary","Female","46","0.0474290528267509","0.0350578349539043","0.0598002706995975","4"
"4 on scale 1-7","2010","middle vocational","Male","121","0.0306973124799799","0.0252967332074765","0.0360978917524832","4"
"5 on scale 1-7","2010","higher education","Male","157","0.0820069715670566","0.0701671936671071","0.0938467494670062","5"
"5 on scale 1-7","2010","higher education","Female","129","0.059136860996576","0.0481386467004943","0.0701350752926577","5"
"5 on scale 1-7","2010","vocational + Abi","Female","32","0.0505416063815874","0.0327138543867507","0.068369358376424","5"
"5 on scale 1-7","2010","higher vocational","Male","58","0.0739748395831844","0.0551427050602226","0.0928069741061462","5"
"5 on scale 1-7","2010","higher vocational","Female","38","0.0681109234453071","0.0463521218946117","0.0898697249960025","5"
"5 on scale 1-7","2010","general elemantary","Female","119","0.108887454308482","0.090757497686435","0.127017410930528","5"
"5 on scale 1-7","2010","middle vocational","Male","435","0.101159168134474","0.0917184619759696","0.110599874292979","5"
"5 on scale 1-7","2010","middle vocational","Female","388","0.0879724578679182","0.0796115125820182","0.0963334031538183","5"
"5 on scale 1-7","2010","vocational + Abi","Male","38","0.13511855420463","0.100000278492485","0.170236829916774","5"
"5 on scale 1-7","2010","inadequately","Female","7","","","","5"
"5 on scale 1-7","2010","general elemantary","Male","58","0.123348943891552","0.0944387506535214","0.152259137129583","5"
"5 on scale 1-7","2010","in school","Male","15","","","","5"
"5 on scale 1-7","2010","in school","Female","11","","","","5"
"5 on scale 1-7","2010","inadequately","Male","6","","","","5"
"6 on scale 1-7","2010","higher education","Male","659","0.321423904123622","0.301271037003474","0.34157677124377","6"
"6 on scale 1-7","2010","higher education","Female","480","0.268855633264368","0.248183230603517","0.28952803592522","6"
"6 on scale 1-7","2010","in school","Male","52","0.3078496621678","0.235180224388323","0.380519099947276","6"
"6 on scale 1-7","2010","in school","Female","42","0.387478667558828","0.298438969426856","0.476518365690799","6"
"6 on scale 1-7","2010","inadequately","Male","16","","","","6"
"6 on scale 1-7","2010","inadequately","Female","25","","","","6"
"6 on scale 1-7","2010","general elemantary","Male","144","0.294721545307766","0.254638921015605","0.334804169599926","6"
"6 on scale 1-7","2010","general elemantary","Female","286","0.243862619659744","0.218869841442715","0.268855397876773","6"
"6 on scale 1-7","2010","middle vocational","Male","1020","0.248384377633988","0.234856785610693","0.261911969657284","6"
"6 on scale 1-7","2010","middle vocational","Female","1125","0.2446433822","0.231954575046109","0.257332189353891","6"
"6 on scale 1-7","2010","vocational + Abi","Male","107","0.272987327183835","0.227221677386156","0.318752976981514","6"
"6 on scale 1-7","2010","vocational + Abi","Female","175","0.301310576020969","0.263969797633307","0.338651354408631","6"
"6 on scale 1-7","2010","higher vocational","Male","214","0.297208474465349","0.264324069285716","0.330092879644982","6"
"6 on scale 1-7","2010","higher vocational","Female","133","0.260636079569404","0.222722842131038","0.29854931700777","6"
"7 Strongly agree","2010","middle vocational","Male","2293","0.605809598913091","0.590509946768191","0.621109251057991","7"
"7 Strongly agree","2010","middle vocational","Female","2726","0.63013793959521","0.615887910593161","0.644387968597259","7"
"7 Strongly agree","2010","vocational + Abi","Male","209","0.550515200633834","0.499413004860626","0.601617396407042","7"
"7 Strongly agree","2010","vocational + Abi","Female","354","0.595743070390155","0.555804516980086","0.635681623800223","7"
"7 Strongly agree","2010","higher vocational","Male","444","0.592887548746134","0.557537542418324","0.628237555073945","7"
"7 Strongly agree","2010","higher vocational","Female","325","0.646869693448059","0.605591529233817","0.688147857662302","7"
"7 Strongly agree","2010","higher education","Male","1192","0.563879567520503","0.542480498817828","0.585278636223177","7"
"7 Strongly agree","2010","higher education","Female","1103","0.641027099610739","0.618660557692599","0.66339364152888","7"
"7 Strongly agree","2010","general elemantary","Female","664","0.579303006040445","0.550570126032095","0.608035886048795","7"
"7 Strongly agree","2010","in school","Male","81","0.544622407432609","0.46622245067949","0.623022364185729","7"
"7 Strongly agree","2010","in school","Female","60","0.504094901588224","0.41271417434842","0.595475628828028","7"
"7 Strongly agree","2010","inadequately","Male","29","","","","7"
"7 Strongly agree","2010","inadequately","Female","41","0.499652365071532","0.390087073981409","0.609217656161655","7"
"7 Strongly agree","2010","general elemantary","Male","264","0.515918702951055","0.471982787027358","0.559854618874753","7"
"1 Strongly disagree","2011","vocational + Abi","Female","","","","","1"
"1 Strongly disagree","2011","higher vocational","Male","","","","","1"
"1 Strongly disagree","2011","higher vocational","Female","","","","","1"
"1 Strongly disagree","2011","higher education","Male","","","","","1"
"1 Strongly disagree","2011","higher education","Female","","","","","1"
"1 Strongly disagree","2011","in school","Male","","","","","1"
"1 Strongly disagree","2011","in school","Female","","","","","1"
"1 Strongly disagree","2011","inadequately","Male","","","","","1"
"1 Strongly disagree","2011","inadequately","Female","","","","","1"
"1 Strongly disagree","2011","middle vocational","Female","","","","","1"
"1 Strongly disagree","2011","vocational + Abi","Male","","","","","1"
"1 Strongly disagree","2011","general elemantary","Female","","","","","1"
"1 Strongly disagree","2011","general elemantary","Male","","","","","1"
"1 Strongly disagree","2011","middle vocational","Male","","","","","1"
"2 on scale 1-7 ","2011","middle vocational","Male","","","","","2"
"2 on scale 1-7 ","2011","middle vocational","Female","","","","","2"
"2 on scale 1-7 ","2011","higher education","Female","","","","","2"
"2 on scale 1-7 ","2011","general elemantary","Female","","","","","2"
"2 on scale 1-7 ","2011","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2011","vocational + Abi","Female","","","","","2"
"2 on scale 1-7 ","2011","higher vocational","Male","","","","","2"
"2 on scale 1-7 ","2011","higher vocational","Female","","","","","2"
"2 on scale 1-7 ","2011","higher education","Male","","","","","2"
"2 on scale 1-7 ","2011","in school","Male","","","","","2"
"2 on scale 1-7 ","2011","in school","Female","","","","","2"
"2 on scale 1-7 ","2011","inadequately","Male","","","","","2"
"2 on scale 1-7 ","2011","inadequately","Female","","","","","2"
"2 on scale 1-7 ","2011","general elemantary","Male","","","","","2"
"3 on scale 1-7 ","2011","vocational + Abi","Female","","","","","3"
"3 on scale 1-7 ","2011","higher vocational","Male","","","","","3"
"3 on scale 1-7 ","2011","higher vocational","Female","","","","","3"
"3 on scale 1-7 ","2011","higher education","Male","","","","","3"
"3 on scale 1-7 ","2011","higher education","Female","","","","","3"
"3 on scale 1-7 ","2011","in school","Male","","","","","3"
"3 on scale 1-7 ","2011","in school","Female","","","","","3"
"3 on scale 1-7 ","2011","inadequately","Male","","","","","3"
"3 on scale 1-7 ","2011","inadequately","Female","","","","","3"
"3 on scale 1-7 ","2011","general elemantary","Male","","","","","3"
"3 on scale 1-7 ","2011","general elemantary","Female","","","","","3"
"3 on scale 1-7 ","2011","middle vocational","Male","","","","","3"
"3 on scale 1-7 ","2011","middle vocational","Female","","","","","3"
"3 on scale 1-7 ","2011","vocational + Abi","Male","","","","","3"
"4 on scale 1-7","2011","higher education","Female","","","","","4"
"4 on scale 1-7","2011","in school","Male","","","","","4"
"4 on scale 1-7","2011","in school","Female","","","","","4"
"4 on scale 1-7","2011","inadequately","Male","","","","","4"
"4 on scale 1-7","2011","inadequately","Female","","","","","4"
"4 on scale 1-7","2011","middle vocational","Male","","","","","4"
"4 on scale 1-7","2011","middle vocational","Female","","","","","4"
"4 on scale 1-7","2011","vocational + Abi","Male","","","","","4"
"4 on scale 1-7","2011","vocational + Abi","Female","","","","","4"
"4 on scale 1-7","2011","higher vocational","Male","","","","","4"
"4 on scale 1-7","2011","higher vocational","Female","","","","","4"
"4 on scale 1-7","2011","higher education","Male","","","","","4"
"4 on scale 1-7","2011","general elemantary","Male","","","","","4"
"4 on scale 1-7","2011","general elemantary","Female","","","","","4"
"5 on scale 1-7","2011","higher vocational","Female","","","","","5"
"5 on scale 1-7","2011","higher education","Male","","","","","5"
"5 on scale 1-7","2011","higher education","Female","","","","","5"
"5 on scale 1-7","2011","vocational + Abi","Female","","","","","5"
"5 on scale 1-7","2011","higher vocational","Male","","","","","5"
"5 on scale 1-7","2011","in school","Male","","","","","5"
"5 on scale 1-7","2011","in school","Female","","","","","5"
"5 on scale 1-7","2011","inadequately","Male","","","","","5"
"5 on scale 1-7","2011","inadequately","Female","","","","","5"
"5 on scale 1-7","2011","general elemantary","Male","","","","","5"
"5 on scale 1-7","2011","general elemantary","Female","","","","","5"
"5 on scale 1-7","2011","middle vocational","Male","","","","","5"
"5 on scale 1-7","2011","middle vocational","Female","","","","","5"
"5 on scale 1-7","2011","vocational + Abi","Male","","","","","5"
"6 on scale 1-7","2011","in school","Male","","","","","6"
"6 on scale 1-7","2011","in school","Female","","","","","6"
"6 on scale 1-7","2011","inadequately","Male","","","","","6"
"6 on scale 1-7","2011","inadequately","Female","","","","","6"
"6 on scale 1-7","2011","higher vocational","Female","","","","","6"
"6 on scale 1-7","2011","higher education","Male","","","","","6"
"6 on scale 1-7","2011","higher education","Female","","","","","6"
"6 on scale 1-7","2011","higher vocational","Male","","","","","6"
"6 on scale 1-7","2011","general elemantary","Male","","","","","6"
"6 on scale 1-7","2011","middle vocational","Female","","","","","6"
"6 on scale 1-7","2011","vocational + Abi","Male","","","","","6"
"6 on scale 1-7","2011","vocational + Abi","Female","","","","","6"
"6 on scale 1-7","2011","general elemantary","Female","","","","","6"
"6 on scale 1-7","2011","middle vocational","Male","","","","","6"
"7 Strongly agree","2011","in school","Male","","","","","7"
"7 Strongly agree","2011","in school","Female","","","","","7"
"7 Strongly agree","2011","middle vocational","Male","","","","","7"
"7 Strongly agree","2011","middle vocational","Female","","","","","7"
"7 Strongly agree","2011","vocational + Abi","Male","","","","","7"
"7 Strongly agree","2011","vocational + Abi","Female","","","","","7"
"7 Strongly agree","2011","higher vocational","Male","","","","","7"
"7 Strongly agree","2011","higher vocational","Female","","","","","7"
"7 Strongly agree","2011","higher education","Male","","","","","7"
"7 Strongly agree","2011","higher education","Female","","","","","7"
"7 Strongly agree","2011","inadequately","Male","","","","","7"
"7 Strongly agree","2011","inadequately","Female","","","","","7"
"7 Strongly agree","2011","general elemantary","Male","","","","","7"
"7 Strongly agree","2011","general elemantary","Female","","","","","7"
"1 Strongly disagree","2012","in school","Female","","","","","1"
"1 Strongly disagree","2012","inadequately","Male","","","","","1"
"1 Strongly disagree","2012","inadequately","Female","","","","","1"
"1 Strongly disagree","2012","vocational + Abi","Female","","","","","1"
"1 Strongly disagree","2012","higher vocational","Male","","","","","1"
"1 Strongly disagree","2012","higher vocational","Female","","","","","1"
"1 Strongly disagree","2012","higher education","Male","","","","","1"
"1 Strongly disagree","2012","higher education","Female","","","","","1"
"1 Strongly disagree","2012","middle vocational","Male","","","","","1"
"1 Strongly disagree","2012","in school","Male","","","","","1"
"1 Strongly disagree","2012","vocational + Abi","Male","","","","","1"
"1 Strongly disagree","2012","middle vocational","Female","","","","","1"
"1 Strongly disagree","2012","general elemantary","Male","","","","","1"
"1 Strongly disagree","2012","general elemantary","Female","","","","","1"
"2 on scale 1-7 ","2012","in school","Male","","","","","2"
"2 on scale 1-7 ","2012","in school","Female","","","","","2"
"2 on scale 1-7 ","2012","inadequately","Male","","","","","2"
"2 on scale 1-7 ","2012","inadequately","Female","","","","","2"
"2 on scale 1-7 ","2012","general elemantary","Male","","","","","2"
"2 on scale 1-7 ","2012","general elemantary","Female","","","","","2"
"2 on scale 1-7 ","2012","middle vocational","Male","","","","","2"
"2 on scale 1-7 ","2012","middle vocational","Female","","","","","2"
"2 on scale 1-7 ","2012","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2012","vocational + Abi","Female","","","","","2"
"2 on scale 1-7 ","2012","higher vocational","Male","","","","","2"
"2 on scale 1-7 ","2012","higher vocational","Female","","","","","2"
"2 on scale 1-7 ","2012","higher education","Male","","","","","2"
"2 on scale 1-7 ","2012","higher education","Female","","","","","2"
"3 on scale 1-7 ","2012","inadequately","Male","","","","","3"
"3 on scale 1-7 ","2012","inadequately","Female","","","","","3"
"3 on scale 1-7 ","2012","vocational + Abi","Female","","","","","3"
"3 on scale 1-7 ","2012","higher vocational","Male","","","","","3"
"3 on scale 1-7 ","2012","higher vocational","Female","","","","","3"
"3 on scale 1-7 ","2012","higher education","Male","","","","","3"
"3 on scale 1-7 ","2012","higher education","Female","","","","","3"
"3 on scale 1-7 ","2012","general elemantary","Male","","","","","3"
"3 on scale 1-7 ","2012","general elemantary","Female","","","","","3"
"3 on scale 1-7 ","2012","in school","Male","","","","","3"
"3 on scale 1-7 ","2012","in school","Female","","","","","3"
"3 on scale 1-7 ","2012","vocational + Abi","Male","","","","","3"
"3 on scale 1-7 ","2012","middle vocational","Male","","","","","3"
"3 on scale 1-7 ","2012","middle vocational","Female","","","","","3"
"4 on scale 1-7","2012","in school","Male","","","","","4"
"4 on scale 1-7","2012","in school","Female","","","","","4"
"4 on scale 1-7","2012","inadequately","Male","","","","","4"
"4 on scale 1-7","2012","inadequately","Female","","","","","4"
"4 on scale 1-7","2012","general elemantary","Male","","","","","4"
"4 on scale 1-7","2012","general elemantary","Female","","","","","4"
"4 on scale 1-7","2012","middle vocational","Male","","","","","4"
"4 on scale 1-7","2012","middle vocational","Female","","","","","4"
"4 on scale 1-7","2012","vocational + Abi","Male","","","","","4"
"4 on scale 1-7","2012","vocational + Abi","Female","","","","","4"
"4 on scale 1-7","2012","higher vocational","Male","","","","","4"
"4 on scale 1-7","2012","higher vocational","Female","","","","","4"
"4 on scale 1-7","2012","higher education","Male","","","","","4"
"4 on scale 1-7","2012","higher education","Female","","","","","4"
"5 on scale 1-7","2012","middle vocational","Male","","","","","5"
"5 on scale 1-7","2012","middle vocational","Female","","","","","5"
"5 on scale 1-7","2012","general elemantary","Female","","","","","5"
"5 on scale 1-7","2012","higher education","Male","","","","","5"
"5 on scale 1-7","2012","higher education","Female","","","","","5"
"5 on scale 1-7","2012","vocational + Abi","Male","","","","","5"
"5 on scale 1-7","2012","vocational + Abi","Female","","","","","5"
"5 on scale 1-7","2012","in school","Male","","","","","5"
"5 on scale 1-7","2012","in school","Female","","","","","5"
"5 on scale 1-7","2012","inadequately","Male","","","","","5"
"5 on scale 1-7","2012","inadequately","Female","","","","","5"
"5 on scale 1-7","2012","general elemantary","Male","","","","","5"
"5 on scale 1-7","2012","higher vocational","Male","","","","","5"
"5 on scale 1-7","2012","higher vocational","Female","","","","","5"
"6 on scale 1-7","2012","in school","Male","","","","","6"
"6 on scale 1-7","2012","in school","Female","","","","","6"
"6 on scale 1-7","2012","inadequately","Male","","","","","6"
"6 on scale 1-7","2012","inadequately","Female","","","","","6"
"6 on scale 1-7","2012","general elemantary","Male","","","","","6"
"6 on scale 1-7","2012","general elemantary","Female","","","","","6"
"6 on scale 1-7","2012","middle vocational","Male","","","","","6"
"6 on scale 1-7","2012","middle vocational","Female","","","","","6"
"6 on scale 1-7","2012","vocational + Abi","Male","","","","","6"
"6 on scale 1-7","2012","vocational + Abi","Female","","","","","6"
"6 on scale 1-7","2012","higher vocational","Male","","","","","6"
"6 on scale 1-7","2012","higher vocational","Female","","","","","6"
"6 on scale 1-7","2012","higher education","Male","","","","","6"
"6 on scale 1-7","2012","higher education","Female","","","","","6"
"7 Strongly agree","2012","vocational + Abi","Male","","","","","7"
"7 Strongly agree","2012","vocational + Abi","Female","","","","","7"
"7 Strongly agree","2012","middle vocational","Male","","","","","7"
"7 Strongly agree","2012","general elemantary","Female","","","","","7"
"7 Strongly agree","2012","higher education","Female","","","","","7"
"7 Strongly agree","2012","middle vocational","Female","","","","","7"
"7 Strongly agree","2012","in school","Male","","","","","7"
"7 Strongly agree","2012","in school","Female","","","","","7"
"7 Strongly agree","2012","inadequately","Male","","","","","7"
"7 Strongly agree","2012","inadequately","Female","","","","","7"
"7 Strongly agree","2012","general elemantary","Male","","","","","7"
"7 Strongly agree","2012","higher vocational","Male","","","","","7"
"7 Strongly agree","2012","higher vocational","Female","","","","","7"
"7 Strongly agree","2012","higher education","Male","","","","","7"
"1 Strongly disagree","2013","vocational + Abi","Male","","","","","1"
"1 Strongly disagree","2013","vocational + Abi","Female","","","","","1"
"1 Strongly disagree","2013","higher vocational","Male","","","","","1"
"1 Strongly disagree","2013","higher vocational","Female","","","","","1"
"1 Strongly disagree","2013","in school","Male","","","","","1"
"1 Strongly disagree","2013","in school","Female","","","","","1"
"1 Strongly disagree","2013","inadequately","Male","","","","","1"
"1 Strongly disagree","2013","inadequately","Female","","","","","1"
"1 Strongly disagree","2013","general elemantary","Male","","","","","1"
"1 Strongly disagree","2013","general elemantary","Female","","","","","1"
"1 Strongly disagree","2013","middle vocational","Male","","","","","1"
"1 Strongly disagree","2013","middle vocational","Female","","","","","1"
"1 Strongly disagree","2013","higher education","Male","","","","","1"
"1 Strongly disagree","2013","higher education","Female","","","","","1"
"2 on scale 1-7 ","2013","middle vocational","Female","","","","","2"
"2 on scale 1-7 ","2013","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2013","general elemantary","Male","","","","","2"
"2 on scale 1-7 ","2013","general elemantary","Female","","","","","2"
"2 on scale 1-7 ","2013","middle vocational","Male","","","","","2"
"2 on scale 1-7 ","2013","vocational + Abi","Female","","","","","2"
"2 on scale 1-7 ","2013","inadequately","Female","","","","","2"
"2 on scale 1-7 ","2013","in school","Male","","","","","2"
"2 on scale 1-7 ","2013","in school","Female","","","","","2"
"2 on scale 1-7 ","2013","inadequately","Male","","","","","2"
"2 on scale 1-7 ","2013","higher vocational","Male","","","","","2"
"2 on scale 1-7 ","2013","higher vocational","Female","","","","","2"
"2 on scale 1-7 ","2013","higher education","Male","","","","","2"
"2 on scale 1-7 ","2013","higher education","Female","","","","","2"
"3 on scale 1-7 ","2013","general elemantary","Female","","","","","3"
"3 on scale 1-7 ","2013","middle vocational","Male","","","","","3"
"3 on scale 1-7 ","2013","middle vocational","Female","","","","","3"
"3 on scale 1-7 ","2013","vocational + Abi","Male","","","","","3"
"3 on scale 1-7 ","2013","vocational + Abi","Female","","","","","3"
"3 on scale 1-7 ","2013","higher vocational","Male","","","","","3"
"3 on scale 1-7 ","2013","higher vocational","Female","","","","","3"
"3 on scale 1-7 ","2013","higher education","Male","","","","","3"
"3 on scale 1-7 ","2013","higher education","Female","","","","","3"
"3 on scale 1-7 ","2013","inadequately","Female","","","","","3"
"3 on scale 1-7 ","2013","general elemantary","Male","","","","","3"
"3 on scale 1-7 ","2013","in school","Male","","","","","3"
"3 on scale 1-7 ","2013","in school","Female","","","","","3"
"3 on scale 1-7 ","2013","inadequately","Male","","","","","3"
"4 on scale 1-7","2013","vocational + Abi","Male","","","","","4"
"4 on scale 1-7","2013","vocational + Abi","Female","","","","","4"
"4 on scale 1-7","2013","in school","Female","","","","","4"
"4 on scale 1-7","2013","inadequately","Male","","","","","4"
"4 on scale 1-7","2013","inadequately","Female","","","","","4"
"4 on scale 1-7","2013","general elemantary","Male","","","","","4"
"4 on scale 1-7","2013","general elemantary","Female","","","","","4"
"4 on scale 1-7","2013","middle vocational","Male","","","","","4"
"4 on scale 1-7","2013","middle vocational","Female","","","","","4"
"4 on scale 1-7","2013","higher vocational","Male","","","","","4"
"4 on scale 1-7","2013","higher vocational","Female","","","","","4"
"4 on scale 1-7","2013","higher education","Male","","","","","4"
"4 on scale 1-7","2013","higher education","Female","","","","","4"
"4 on scale 1-7","2013","in school","Male","","","","","4"
"5 on scale 1-7","2013","general elemantary","Female","","","","","5"
"5 on scale 1-7","2013","middle vocational","Male","","","","","5"
"5 on scale 1-7","2013","middle vocational","Female","","","","","5"
"5 on scale 1-7","2013","vocational + Abi","Male","","","","","5"
"5 on scale 1-7","2013","vocational + Abi","Female","","","","","5"
"5 on scale 1-7","2013","higher vocational","Male","","","","","5"
"5 on scale 1-7","2013","higher vocational","Female","","","","","5"
"5 on scale 1-7","2013","higher education","Male","","","","","5"
"5 on scale 1-7","2013","higher education","Female","","","","","5"
"5 on scale 1-7","2013","in school","Male","","","","","5"
"5 on scale 1-7","2013","in school","Female","","","","","5"
"5 on scale 1-7","2013","inadequately","Male","","","","","5"
"5 on scale 1-7","2013","inadequately","Female","","","","","5"
"5 on scale 1-7","2013","general elemantary","Male","","","","","5"
"6 on scale 1-7","2013","vocational + Abi","Female","","","","","6"
"6 on scale 1-7","2013","higher vocational","Male","","","","","6"
"6 on scale 1-7","2013","higher vocational","Female","","","","","6"
"6 on scale 1-7","2013","higher education","Male","","","","","6"
"6 on scale 1-7","2013","higher education","Female","","","","","6"
"6 on scale 1-7","2013","in school","Female","","","","","6"
"6 on scale 1-7","2013","inadequately","Male","","","","","6"
"6 on scale 1-7","2013","inadequately","Female","","","","","6"
