"plh0206i01","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"4 on scale 1-7","2014","35-65 y.","Rural Area","","","",""
"4 on scale 1-7","2014","66 and older","Urban Area","","","",""
"4 on scale 1-7","2014","66 and older","Rural Area","","","",""
"5 on scale 1-7","2014","16-34 y.","Urban Area","","","",""
"5 on scale 1-7","2014","16-34 y.","Rural Area","","","",""
"5 on scale 1-7","2014","35-65 y.","Urban Area","","","",""
"5 on scale 1-7","2014","35-65 y.","Rural Area","","","",""
"5 on scale 1-7","2014","66 and older","Urban Area","","","",""
"5 on scale 1-7","2014","66 and older","Rural Area","","","",""
"6 on scale 1-7","2014","16-34 y.","Urban Area","","","",""
"6 on scale 1-7","2014","16-34 y.","Rural Area","","","",""
"6 on scale 1-7","2014","35-65 y.","Urban Area","","","",""
"6 on scale 1-7","2014","35-65 y.","Rural Area","","","",""
"6 on scale 1-7","2014","66 and older","Urban Area","","","",""
"6 on scale 1-7","2014","66 and older","Rural Area","","","",""
"7 Strongly agree","2014","16-34 y.","Urban Area","","","",""
"7 Strongly agree","2014","16-34 y.","Rural Area","","","",""
"7 Strongly agree","2014","35-65 y.","Urban Area","","","",""
"7 Strongly agree","2014","35-65 y.","Rural Area","","","",""
"7 Strongly agree","2014","66 and older","Urban Area","","","",""
"7 Strongly agree","2014","66 and older","Rural Area","","","",""
"1 Strongly disagree","2015","16-34 y.","Urban Area","12","","",""
"1 Strongly disagree","2015","16-34 y.","Rural Area","10","","",""
"1 Strongly disagree","2015","35-65 y.","Urban Area","38","0.00399771393356668","0.00275075319428698","0.00524467467284638"
"1 Strongly disagree","2015","35-65 y.","Rural Area","18","","",""
"1 Strongly disagree","2015","66 and older","Urban Area","11","","",""
"1 Strongly disagree","2015","66 and older","Rural Area","6","","",""
"2 on scale 1-7 ","2015","16-34 y.","Urban Area","16","","",""
"2 on scale 1-7 ","2015","16-34 y.","Rural Area","8","","",""
"2 on scale 1-7 ","2015","35-65 y.","Urban Area","65","0.0066154371235372","0.00501346582168504","0.00821740842538937"
"2 on scale 1-7 ","2015","35-65 y.","Rural Area","19","","",""
"2 on scale 1-7 ","2015","66 and older","Urban Area","16","","",""
"2 on scale 1-7 ","2015","66 and older","Rural Area","4","","",""
"3 on scale 1-7 ","2015","16-34 y.","Urban Area","28","","",""
"3 on scale 1-7 ","2015","16-34 y.","Rural Area","15","","",""
"3 on scale 1-7 ","2015","35-65 y.","Urban Area","90","0.00787830346552104","0.00613121224352006","0.00962539468752201"
"3 on scale 1-7 ","2015","35-65 y.","Rural Area","47","0.00983205410410043","0.00718168946242358","0.0124824187457773"
"3 on scale 1-7 ","2015","66 and older","Urban Area","23","","",""
"3 on scale 1-7 ","2015","66 and older","Rural Area","9","","",""
"4 on scale 1-7","2015","16-34 y.","Urban Area","135","0.0243545077605946","0.0199038156155256","0.0288051999056635"
"4 on scale 1-7","2015","16-34 y.","Rural Area","68","0.0347142556927336","0.0267804180283246","0.0426480933571427"
"4 on scale 1-7","2015","35-65 y.","Urban Area","286","0.0251296871117524","0.0220366600584312","0.0282227141650736"
"4 on scale 1-7","2015","35-65 y.","Rural Area","167","0.0282977129258509","0.0238434961598495","0.0327519296918524"
"4 on scale 1-7","2015","66 and older","Urban Area","95","0.0304789061553353","0.024502371196639","0.0364554411140317"
"4 on scale 1-7","2015","66 and older","Rural Area","60","0.0296550701488283","0.0217546287010584","0.0375555115965983"
"5 on scale 1-7","2015","16-34 y.","Urban Area","334","0.0761099122853901","0.0684535474427095","0.0837662771280707"
"5 on scale 1-7","2015","16-34 y.","Rural Area","158","0.101068081714615","0.088004211811092","0.114131951618138"
"5 on scale 1-7","2015","35-65 y.","Urban Area","750","0.0782464841699378","0.0729393926988789","0.0835535756409966"
"5 on scale 1-7","2015","35-65 y.","Rural Area","449","0.0857157893741545","0.078196096692949","0.09323548205536"
"5 on scale 1-7","2015","66 and older","Urban Area","278","0.0896477469550967","0.0797155443535039","0.0995799495566895"
"5 on scale 1-7","2015","66 and older","Rural Area","196","0.100094721256268","0.0861167933129626","0.114072649199574"
"6 on scale 1-7","2015","16-34 y.","Urban Area","1172","0.277541372553001","0.264612453614927","0.290470291491075"
"6 on scale 1-7","2015","16-34 y.","Rural Area","544","0.260314368236784","0.241295963033095","0.279332773440473"
"6 on scale 1-7","2015","35-65 y.","Urban Area","2666","0.284967111670505","0.276046859443933","0.293887363897077"
"6 on scale 1-7","2015","35-65 y.","Rural Area","1451","0.279994360568166","0.26793368434364","0.292055036792692"
"6 on scale 1-7","2015","66 and older","Urban Area","922","0.276902390533329","0.261345135902546","0.292459645164113"
"6 on scale 1-7","2015","66 and older","Rural Area","520","0.274838361932771","0.254046427507002","0.295630296358539"
"7 Strongly agree","2015","16-34 y.","Urban Area","2911","0.609319823092485","0.595232606326563","0.623407039858408"
"7 Strongly agree","2015","16-34 y.","Rural Area","1242","0.591723871537124","0.570421008565492","0.613026734508756"
"7 Strongly agree","2015","35-65 y.","Urban Area","5942","0.59316526252518","0.583457623383901","0.602872901666458"
"7 Strongly agree","2015","35-65 y.","Rural Area","3173","0.589794474464556","0.57658212140319","0.603006827525921"
"7 Strongly agree","2015","66 and older","Urban Area","1833","0.585671323662286","0.568544744712158","0.602797902612414"
"7 Strongly agree","2015","66 and older","Rural Area","976","0.582046606182572","0.559075515350033","0.605017697015111"
"1 Strongly disagree","2016","16-34 y.","Urban Area","13","","",""
"1 Strongly disagree","2016","16-34 y.","Rural Area","7","","",""
"1 Strongly disagree","2016","35-65 y.","Urban Area","5","","",""
"1 Strongly disagree","2016","35-65 y.","Rural Area","5","","",""
"1 Strongly disagree","2016","66 and older","Urban Area","","","",""
"1 Strongly disagree","2016","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2016","16-34 y.","Urban Area","6","","",""
"2 on scale 1-7 ","2016","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2016","35-65 y.","Urban Area","4","","",""
"2 on scale 1-7 ","2016","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2016","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2016","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2016","16-34 y.","Urban Area","12","","",""
"3 on scale 1-7 ","2016","16-34 y.","Rural Area","4","","",""
"3 on scale 1-7 ","2016","35-65 y.","Urban Area","5","","",""
"3 on scale 1-7 ","2016","35-65 y.","Rural Area","2","","",""
"3 on scale 1-7 ","2016","66 and older","Urban Area","1","","",""
"3 on scale 1-7 ","2016","66 and older","Rural Area","","","",""
"4 on scale 1-7","2016","16-34 y.","Urban Area","28","","",""
"4 on scale 1-7","2016","16-34 y.","Rural Area","9","","",""
"4 on scale 1-7","2016","35-65 y.","Urban Area","4","","",""
"4 on scale 1-7","2016","35-65 y.","Rural Area","12","","",""
"4 on scale 1-7","2016","66 and older","Urban Area","1","","",""
"4 on scale 1-7","2016","66 and older","Rural Area","","","",""
"5 on scale 1-7","2016","16-34 y.","Urban Area","42","0.0618777618620336","0.0505178951473676","0.0732376285766996"
"5 on scale 1-7","2016","16-34 y.","Rural Area","20","","",""
"5 on scale 1-7","2016","35-65 y.","Urban Area","26","","",""
"5 on scale 1-7","2016","35-65 y.","Rural Area","8","","",""
"5 on scale 1-7","2016","66 and older","Urban Area","1","","",""
"5 on scale 1-7","2016","66 and older","Rural Area","2","","",""
"6 on scale 1-7","2016","16-34 y.","Urban Area","115","0.132553888163184","0.1165659039797","0.148541872346667"
"6 on scale 1-7","2016","16-34 y.","Rural Area","32","0.0585536333499842","0.0421813496436465","0.0749259170563219"
"6 on scale 1-7","2016","35-65 y.","Urban Area","56","0.138494821763091","0.11965266191455","0.157336981611632"
"6 on scale 1-7","2016","35-65 y.","Rural Area","20","","",""
"6 on scale 1-7","2016","66 and older","Urban Area","1","","",""
"6 on scale 1-7","2016","66 and older","Rural Area","","","",""
"7 Strongly agree","2016","16-34 y.","Urban Area","1512","0.722584472237516","0.701474584809204","0.743694359665829"
"7 Strongly agree","2016","16-34 y.","Rural Area","718","0.878699477783821","0.855933512732907","0.901465442834736"
"7 Strongly agree","2016","35-65 y.","Urban Area","1191","0.791402583720158","0.769239092898957","0.813566074541359"
"7 Strongly agree","2016","35-65 y.","Rural Area","515","0.776197263492365","0.741738579834625","0.810655947150105"
"7 Strongly agree","2016","66 and older","Urban Area","18","","",""
"7 Strongly agree","2016","66 and older","Rural Area","4","","",""
"1 Strongly disagree","2017","16-34 y.","Urban Area","3","","",""
"1 Strongly disagree","2017","16-34 y.","Rural Area","3","","",""
"1 Strongly disagree","2017","35-65 y.","Urban Area","2","","",""
"1 Strongly disagree","2017","35-65 y.","Rural Area","1","","",""
"1 Strongly disagree","2017","66 and older","Urban Area","","","",""
"1 Strongly disagree","2017","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2017","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2017","16-34 y.","Rural Area","1","","",""
"2 on scale 1-7 ","2017","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2017","35-65 y.","Rural Area","1","","",""
"2 on scale 1-7 ","2017","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2017","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2017","16-34 y.","Urban Area","2","","",""
"3 on scale 1-7 ","2017","16-34 y.","Rural Area","2","","",""
"3 on scale 1-7 ","2017","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2017","35-65 y.","Rural Area","1","","",""
"3 on scale 1-7 ","2017","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2017","66 and older","Rural Area","","","",""
"4 on scale 1-7","2017","16-34 y.","Urban Area","14","","",""
"4 on scale 1-7","2017","16-34 y.","Rural Area","3","","",""
"4 on scale 1-7","2017","35-65 y.","Urban Area","4","","",""
"4 on scale 1-7","2017","35-65 y.","Rural Area","3","","",""
"4 on scale 1-7","2017","66 and older","Urban Area","2","","",""
"4 on scale 1-7","2017","66 and older","Rural Area","","","",""
"5 on scale 1-7","2017","16-34 y.","Urban Area","34","0.0300040139020138","0.0209637795298398","0.0390442482741877"
"5 on scale 1-7","2017","16-34 y.","Rural Area","13","","",""
"5 on scale 1-7","2017","35-65 y.","Urban Area","19","","",""
"5 on scale 1-7","2017","35-65 y.","Rural Area","3","","",""
"5 on scale 1-7","2017","66 and older","Urban Area","","","",""
"5 on scale 1-7","2017","66 and older","Rural Area","","","",""
"6 on scale 1-7","2017","16-34 y.","Urban Area","112","0.0772360594466018","0.0630891881044275","0.0913829307887761"
"6 on scale 1-7","2017","16-34 y.","Rural Area","37","0.0767670780729745","0.0534554623821761","0.100078693763773"
"6 on scale 1-7","2017","35-65 y.","Urban Area","56","0.101752741190333","0.0793567607156657","0.124148721665"
"6 on scale 1-7","2017","35-65 y.","Rural Area","17","","",""
"6 on scale 1-7","2017","66 and older","Urban Area","3","","",""
"6 on scale 1-7","2017","66 and older","Rural Area","","","",""
"7 Strongly agree","2017","16-34 y.","Urban Area","1203","0.874249296266435","0.856679047918541","0.89181954461433"
"7 Strongly agree","2017","16-34 y.","Rural Area","442","0.875239401064961","0.846303874918871","0.904174927211051"
"7 Strongly agree","2017","35-65 y.","Urban Area","619","0.862476659983776","0.836963693862476","0.887989626105077"
"7 Strongly agree","2017","35-65 y.","Rural Area","246","0.896318941908682","0.860090918761671","0.932546965055693"
"7 Strongly agree","2017","66 and older","Urban Area","24","","",""
"7 Strongly agree","2017","66 and older","Rural Area","8","","",""
"1 Strongly disagree","2018","16-34 y.","Urban Area","1","","",""
"1 Strongly disagree","2018","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2018","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2018","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2018","66 and older","Urban Area","","","",""
"1 Strongly disagree","2018","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2018","16-34 y.","Urban Area","1","","",""
"2 on scale 1-7 ","2018","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2018","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2018","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2018","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2018","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2018","16-34 y.","Urban Area","1","","",""
"3 on scale 1-7 ","2018","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2018","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2018","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2018","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2018","66 and older","Rural Area","","","",""
"4 on scale 1-7","2018","16-34 y.","Urban Area","1","","",""
"4 on scale 1-7","2018","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2018","35-65 y.","Urban Area","","","",""
"4 on scale 1-7","2018","35-65 y.","Rural Area","","","",""
"4 on scale 1-7","2018","66 and older","Urban Area","","","",""
"4 on scale 1-7","2018","66 and older","Rural Area","","","",""
"5 on scale 1-7","2018","16-34 y.","Urban Area","5","","",""
"5 on scale 1-7","2018","16-34 y.","Rural Area","3","","",""
"5 on scale 1-7","2018","35-65 y.","Urban Area","3","","",""
"5 on scale 1-7","2018","35-65 y.","Rural Area","2","","",""
"5 on scale 1-7","2018","66 and older","Urban Area","","","",""
"5 on scale 1-7","2018","66 and older","Rural Area","","","",""
"6 on scale 1-7","2018","16-34 y.","Urban Area","9","","",""
"6 on scale 1-7","2018","16-34 y.","Rural Area","9","","",""
"6 on scale 1-7","2018","35-65 y.","Urban Area","15","","",""
"6 on scale 1-7","2018","35-65 y.","Rural Area","6","","",""
"6 on scale 1-7","2018","66 and older","Urban Area","","","",""
"6 on scale 1-7","2018","66 and older","Rural Area","","","",""
"7 Strongly agree","2018","16-34 y.","Urban Area","144","0.905344481700158","0.860265875230825","0.950423088169491"
"7 Strongly agree","2018","16-34 y.","Rural Area","82","0.889580660292487","0.826222960253986","0.952938360330989"
"7 Strongly agree","2018","35-65 y.","Urban Area","83","0.776622772897179","0.695393622189171","0.857851923605186"
"7 Strongly agree","2018","35-65 y.","Rural Area","54","0.928592749097954","0.864495993522253","0.992689504673654"
"7 Strongly agree","2018","66 and older","Urban Area","3","","",""
"7 Strongly agree","2018","66 and older","Rural Area","1","","",""
"1 Strongly disagree","2019","16-34 y.","Urban Area","1","","",""
"1 Strongly disagree","2019","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2019","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2019","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2019","66 and older","Urban Area","","","",""
"1 Strongly disagree","2019","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2019","16-34 y.","Urban Area","1","","",""
"2 on scale 1-7 ","2019","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2019","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2019","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2019","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2019","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2019","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2019","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2019","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2019","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2019","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2019","66 and older","Rural Area","","","",""
"4 on scale 1-7","2019","16-34 y.","Urban Area","2","","",""
"4 on scale 1-7","2019","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2019","35-65 y.","Urban Area","1","","",""
"4 on scale 1-7","2019","35-65 y.","Rural Area","2","","",""
"4 on scale 1-7","2019","66 and older","Urban Area","","","",""
"4 on scale 1-7","2019","66 and older","Rural Area","","","",""
"5 on scale 1-7","2019","16-34 y.","Urban Area","4","","",""
"5 on scale 1-7","2019","16-34 y.","Rural Area","","","",""
"5 on scale 1-7","2019","35-65 y.","Urban Area","5","","",""
"5 on scale 1-7","2019","35-65 y.","Rural Area","2","","",""
"5 on scale 1-7","2019","66 and older","Urban Area","","","",""
"5 on scale 1-7","2019","66 and older","Rural Area","","","",""
"6 on scale 1-7","2019","16-34 y.","Urban Area","9","","",""
"6 on scale 1-7","2019","16-34 y.","Rural Area","6","","",""
"6 on scale 1-7","2019","35-65 y.","Urban Area","9","","",""
"6 on scale 1-7","2019","35-65 y.","Rural Area","7","","",""
"6 on scale 1-7","2019","66 and older","Urban Area","1","","",""
"6 on scale 1-7","2019","66 and older","Rural Area","","","",""
"7 Strongly agree","2019","16-34 y.","Urban Area","84","0.865489934911212","0.798947941589094","0.93203192823333"
"7 Strongly agree","2019","16-34 y.","Rural Area","39","0.911905563775941","0.829093995918381","0.994717131633502"
"7 Strongly agree","2019","35-65 y.","Urban Area","56","0.814440439644623","0.724015079125256","0.90486580016399"
"7 Strongly agree","2019","35-65 y.","Rural Area","42","0.799997457933336","0.692308241357775","0.907686674508897"
"7 Strongly agree","2019","66 and older","Urban Area","2","","",""
"7 Strongly agree","2019","66 and older","Rural Area","3","","",""
