"plh0206i01","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2009","higher education","East Germany","","","","","1"
"2 on scale 1-7 ","2009","vocational + Abi","West Germany","","","","","2"
"2 on scale 1-7 ","2009","higher education","East Germany","","","","","2"
"2 on scale 1-7 ","2009","higher education","West Germany","","","","","2"
"2 on scale 1-7 ","2009","general elemantary","East Germany","","","","","2"
"2 on scale 1-7 ","2009","middle vocational","West Germany","","","","","2"
"2 on scale 1-7 ","2009","middle vocational","East Germany","","","","","2"
"2 on scale 1-7 ","2009","vocational + Abi","East Germany","","","","","2"
"2 on scale 1-7 ","2009","higher vocational","West Germany","","","","","2"
"2 on scale 1-7 ","2009","higher vocational","East Germany","","","","","2"
"2 on scale 1-7 ","2009","in school","West Germany","","","","","2"
"2 on scale 1-7 ","2009","in school","East Germany","","","","","2"
"2 on scale 1-7 ","2009","inadequately","West Germany","","","","","2"
"2 on scale 1-7 ","2009","inadequately","East Germany","","","","","2"
"2 on scale 1-7 ","2009","general elemantary","West Germany","","","","","2"
"3 on scale 1-7 ","2009","higher vocational","West Germany","","","","","3"
"3 on scale 1-7 ","2009","higher vocational","East Germany","","","","","3"
"3 on scale 1-7 ","2009","higher education","West Germany","","","","","3"
"3 on scale 1-7 ","2009","higher education","East Germany","","","","","3"
"3 on scale 1-7 ","2009","vocational + Abi","West Germany","","","","","3"
"3 on scale 1-7 ","2009","vocational + Abi","East Germany","","","","","3"
"3 on scale 1-7 ","2009","in school","West Germany","","","","","3"
"3 on scale 1-7 ","2009","in school","East Germany","","","","","3"
"3 on scale 1-7 ","2009","inadequately","West Germany","","","","","3"
"3 on scale 1-7 ","2009","inadequately","East Germany","","","","","3"
"3 on scale 1-7 ","2009","general elemantary","West Germany","","","","","3"
"3 on scale 1-7 ","2009","general elemantary","East Germany","","","","","3"
"3 on scale 1-7 ","2009","middle vocational","West Germany","","","","","3"
"3 on scale 1-7 ","2009","middle vocational","East Germany","","","","","3"
"4 on scale 1-7","2009","middle vocational","East Germany","","","","","4"
"4 on scale 1-7","2009","vocational + Abi","West Germany","","","","","4"
"4 on scale 1-7","2009","vocational + Abi","East Germany","","","","","4"
"4 on scale 1-7","2009","higher vocational","West Germany","","","","","4"
"4 on scale 1-7","2009","higher vocational","East Germany","","","","","4"
"4 on scale 1-7","2009","higher education","West Germany","","","","","4"
"4 on scale 1-7","2009","higher education","East Germany","","","","","4"
"4 on scale 1-7","2009","in school","West Germany","","","","","4"
"4 on scale 1-7","2009","in school","East Germany","","","","","4"
"4 on scale 1-7","2009","inadequately","West Germany","","","","","4"
"4 on scale 1-7","2009","inadequately","East Germany","","","","","4"
"4 on scale 1-7","2009","general elemantary","West Germany","","","","","4"
"4 on scale 1-7","2009","general elemantary","East Germany","","","","","4"
"4 on scale 1-7","2009","middle vocational","West Germany","","","","","4"
"5 on scale 1-7","2009","higher education","West Germany","","","","","5"
"5 on scale 1-7","2009","higher education","East Germany","","","","","5"
"5 on scale 1-7","2009","higher vocational","East Germany","","","","","5"
"5 on scale 1-7","2009","higher vocational","West Germany","","","","","5"
"5 on scale 1-7","2009","general elemantary","East Germany","","","","","5"
"5 on scale 1-7","2009","middle vocational","West Germany","","","","","5"
"5 on scale 1-7","2009","middle vocational","East Germany","","","","","5"
"5 on scale 1-7","2009","vocational + Abi","West Germany","","","","","5"
"5 on scale 1-7","2009","vocational + Abi","East Germany","","","","","5"
"5 on scale 1-7","2009","inadequately","East Germany","","","","","5"
"5 on scale 1-7","2009","general elemantary","West Germany","","","","","5"
"5 on scale 1-7","2009","in school","West Germany","","","","","5"
"5 on scale 1-7","2009","in school","East Germany","","","","","5"
"5 on scale 1-7","2009","inadequately","West Germany","","","","","5"
"6 on scale 1-7","2009","middle vocational","West Germany","","","","","6"
"6 on scale 1-7","2009","middle vocational","East Germany","","","","","6"
"6 on scale 1-7","2009","vocational + Abi","West Germany","","","","","6"
"6 on scale 1-7","2009","vocational + Abi","East Germany","","","","","6"
"6 on scale 1-7","2009","higher education","West Germany","","","","","6"
"6 on scale 1-7","2009","higher education","East Germany","","","","","6"
"6 on scale 1-7","2009","in school","West Germany","","","","","6"
"6 on scale 1-7","2009","in school","East Germany","","","","","6"
"6 on scale 1-7","2009","inadequately","West Germany","","","","","6"
"6 on scale 1-7","2009","inadequately","East Germany","","","","","6"
"6 on scale 1-7","2009","general elemantary","West Germany","","","","","6"
"6 on scale 1-7","2009","general elemantary","East Germany","","","","","6"
"6 on scale 1-7","2009","higher vocational","West Germany","","","","","6"
"6 on scale 1-7","2009","higher vocational","East Germany","","","","","6"
"7 Strongly agree","2009","higher education","West Germany","","","","","7"
"7 Strongly agree","2009","higher vocational","East Germany","","","","","7"
"7 Strongly agree","2009","higher education","East Germany","","","","","7"
"7 Strongly agree","2009","higher vocational","West Germany","","","","","7"
"7 Strongly agree","2009","general elemantary","East Germany","","","","","7"
"7 Strongly agree","2009","middle vocational","West Germany","","","","","7"
"7 Strongly agree","2009","middle vocational","East Germany","","","","","7"
"7 Strongly agree","2009","vocational + Abi","West Germany","","","","","7"
"7 Strongly agree","2009","vocational + Abi","East Germany","","","","","7"
"7 Strongly agree","2009","in school","West Germany","","","","","7"
"7 Strongly agree","2009","in school","East Germany","","","","","7"
"7 Strongly agree","2009","inadequately","West Germany","","","","","7"
"7 Strongly agree","2009","inadequately","East Germany","","","","","7"
"7 Strongly agree","2009","general elemantary","West Germany","","","","","7"
"1 Strongly disagree","2010","vocational + Abi","East Germany","","","","","1"
"1 Strongly disagree","2010","higher vocational","West Germany","2","","","","1"
"1 Strongly disagree","2010","higher vocational","East Germany","2","","","","1"
"1 Strongly disagree","2010","higher education","West Germany","3","","","","1"
"1 Strongly disagree","2010","higher education","East Germany","1","","","","1"
"1 Strongly disagree","2010","in school","West Germany","1","","","","1"
"1 Strongly disagree","2010","in school","East Germany","","","","","1"
"1 Strongly disagree","2010","inadequately","West Germany","1","","","","1"
"1 Strongly disagree","2010","inadequately","East Germany","","","","","1"
"1 Strongly disagree","2010","general elemantary","West Germany","7","","","","1"
"1 Strongly disagree","2010","general elemantary","East Germany","1","","","","1"
"1 Strongly disagree","2010","middle vocational","West Germany","14","","","","1"
"1 Strongly disagree","2010","middle vocational","East Germany","11","","","","1"
"1 Strongly disagree","2010","vocational + Abi","West Germany","","","","","1"
"2 on scale 1-7 ","2010","vocational + Abi","East Germany","","","","","2"
"2 on scale 1-7 ","2010","higher vocational","East Germany","2","","","","2"
"2 on scale 1-7 ","2010","higher education","West Germany","6","","","","2"
"2 on scale 1-7 ","2010","vocational + Abi","West Germany","1","","","","2"
"2 on scale 1-7 ","2010","higher education","East Germany","7","","","","2"
"2 on scale 1-7 ","2010","in school","West Germany","1","","","","2"
"2 on scale 1-7 ","2010","in school","East Germany","","","","","2"
"2 on scale 1-7 ","2010","general elemantary","East Germany","","","","","2"
"2 on scale 1-7 ","2010","middle vocational","West Germany","20","","","","2"
"2 on scale 1-7 ","2010","middle vocational","East Germany","2","","","","2"
"2 on scale 1-7 ","2010","higher vocational","West Germany","3","","","","2"
"2 on scale 1-7 ","2010","inadequately","West Germany","3","","","","2"
"2 on scale 1-7 ","2010","inadequately","East Germany","","","","","2"
"2 on scale 1-7 ","2010","general elemantary","West Germany","7","","","","2"
"3 on scale 1-7 ","2010","vocational + Abi","East Germany","1","","","","3"
"3 on scale 1-7 ","2010","higher vocational","West Germany","2","","","","3"
"3 on scale 1-7 ","2010","higher vocational","East Germany","2","","","","3"
"3 on scale 1-7 ","2010","higher education","West Germany","15","","","","3"
"3 on scale 1-7 ","2010","higher education","East Germany","4","","","","3"
"3 on scale 1-7 ","2010","in school","West Germany","1","","","","3"
"3 on scale 1-7 ","2010","in school","East Germany","","","","","3"
"3 on scale 1-7 ","2010","inadequately","West Germany","2","","","","3"
"3 on scale 1-7 ","2010","inadequately","East Germany","","","","","3"
"3 on scale 1-7 ","2010","general elemantary","West Germany","13","","","","3"
"3 on scale 1-7 ","2010","general elemantary","East Germany","1","","","","3"
"3 on scale 1-7 ","2010","middle vocational","West Germany","39","0.00630765638071203","0.00432642047423583","0.00828889228718822","3"
"3 on scale 1-7 ","2010","middle vocational","East Germany","14","","","","3"
"3 on scale 1-7 ","2010","vocational + Abi","West Germany","7","","","","3"
"4 on scale 1-7","2010","middle vocational","East Germany","75","0.0348601474364498","0.0271849507499997","0.0425353441228999","4"
"4 on scale 1-7","2010","vocational + Abi","West Germany","17","","","","4"
"4 on scale 1-7","2010","vocational + Abi","East Germany","3","","","","4"
"4 on scale 1-7","2010","higher vocational","West Germany","23","","","","4"
"4 on scale 1-7","2010","higher vocational","East Germany","9","","","","4"
"4 on scale 1-7","2010","higher education","West Germany","47","0.0188586094560254","0.0137353730891947","0.0239818458228562","4"
"4 on scale 1-7","2010","higher education","East Germany","27","","","","4"
"4 on scale 1-7","2010","in school","West Germany","6","","","","4"
"4 on scale 1-7","2010","in school","East Germany","","","","","4"
"4 on scale 1-7","2010","inadequately","West Germany","6","","","","4"
"4 on scale 1-7","2010","inadequately","East Germany","2","","","","4"
"4 on scale 1-7","2010","general elemantary","West Germany","60","0.046137244480305","0.0351874162359475","0.0570870727246624","4"
"4 on scale 1-7","2010","general elemantary","East Germany","7","","","","4"
"4 on scale 1-7","2010","middle vocational","West Germany","166","0.0266735177064031","0.0226412846817316","0.0307057507310746","4"
"5 on scale 1-7","2010","higher education","West Germany","207","0.0723187595922819","0.0625632798265765","0.0820742393579873","5"
"5 on scale 1-7","2010","higher education","East Germany","79","0.0708611058421609","0.0558471219553179","0.0858750897290039","5"
"5 on scale 1-7","2010","vocational + Abi","East Germany","7","","","","5"
"5 on scale 1-7","2010","higher vocational","West Germany","60","0.0716639544732819","0.0548686847186201","0.0884592242279437","5"
"5 on scale 1-7","2010","higher vocational","East Germany","36","0.0714156321325221","0.0444753673862118","0.0983558968788324","5"
"5 on scale 1-7","2010","general elemantary","East Germany","24","","","","5"
"5 on scale 1-7","2010","middle vocational","West Germany","566","0.093337096772628","0.0860571823754618","0.100617011169794","5"
"5 on scale 1-7","2010","middle vocational","East Germany","257","0.0990318702295726","0.0865329647379967","0.111530775721148","5"
"5 on scale 1-7","2010","vocational + Abi","West Germany","63","0.0947812203197063","0.0744583722260177","0.115104068413395","5"
"5 on scale 1-7","2010","inadequately","East Germany","2","","","","5"
"5 on scale 1-7","2010","general elemantary","West Germany","153","0.114114107387159","0.0975183492714479","0.13070986550287","5"
"5 on scale 1-7","2010","in school","West Germany","21","","","","5"
"5 on scale 1-7","2010","in school","East Germany","5","","","","5"
"5 on scale 1-7","2010","inadequately","West Germany","11","","","","5"
"6 on scale 1-7","2010","higher education","West Germany","813","0.308331554390957","0.290938264759989","0.325724844021924","6"
"6 on scale 1-7","2010","higher education","East Germany","326","0.263727949214186","0.237944031959553","0.28951186646882","6"
"6 on scale 1-7","2010","in school","West Germany","85","0.350651647437028","0.290407289098781","0.410896005775275","6"
"6 on scale 1-7","2010","in school","East Germany","9","","","","6"
"6 on scale 1-7","2010","inadequately","West Germany","37","0.242850339690924","0.167977717714128","0.31772296166772","6"
"6 on scale 1-7","2010","inadequately","East Germany","4","","","","6"
"6 on scale 1-7","2010","general elemantary","West Germany","356","0.252091842294556","0.229427555043159","0.274756129545953","6"
"6 on scale 1-7","2010","general elemantary","East Germany","74","0.330193591516647","0.268190845613658","0.392196337419637","6"
"6 on scale 1-7","2010","middle vocational","West Germany","1580","0.244929747474182","0.234167805330997","0.255691689617366","6"
"6 on scale 1-7","2010","middle vocational","East Germany","565","0.252763253138458","0.234578146252397","0.27094836002452","6"
"6 on scale 1-7","2010","vocational + Abi","West Germany","227","0.28558531027259","0.254245976074817","0.316924644470364","6"
"6 on scale 1-7","2010","vocational + Abi","East Germany","55","0.310894657767119","0.235815204530021","0.385974111004217","6"
"6 on scale 1-7","2010","higher vocational","West Germany","247","0.27075283327759","0.241818873566053","0.299686792989127","6"
"6 on scale 1-7","2010","higher vocational","East Germany","100","0.322739546120646","0.273829453707251","0.37164963853404","6"
"7 Strongly agree","2010","middle vocational","West Germany","3749","0.622536613596634","0.61040562846084","0.634667598732428","7"
"7 Strongly agree","2010","middle vocational","East Germany","1270","0.600475761598317","0.579980706680398","0.620970816516235","7"
"7 Strongly agree","2010","vocational + Abi","West Germany","483","0.569934090470703","0.535584111781472","0.604284069159933","7"
"7 Strongly agree","2010","vocational + Abi","East Germany","80","0.616588045407575","0.537719825598206","0.695456265216943","7"
"7 Strongly agree","2010","higher vocational","West Germany","569","0.627214014369016","0.59572771229894","0.658700316439092","7"
"7 Strongly agree","2010","higher vocational","East Germany","200","0.571475222516678","0.519704860186651","0.623245584846705","7"
"7 Strongly agree","2010","higher education","West Germany","1617","0.587569222847225","0.569028408132592","0.606110037561858","7"
"7 Strongly agree","2010","higher education","East Germany","678","0.632907459629464","0.604703534738202","0.661111384520726","7"
"7 Strongly agree","2010","general elemantary","East Germany","114","0.499833695929398","0.433912977095108","0.565754414763689","7"
"7 Strongly agree","2010","in school","West Germany","126","0.524137021067529","0.461084428666293","0.587189613468765","7"
"7 Strongly agree","2010","in school","East Germany","15","","","","7"
"7 Strongly agree","2010","inadequately","West Germany","66","0.59993891334347","0.51439689568098","0.68548093100596","7"
"7 Strongly agree","2010","inadequately","East Germany","4","","","","7"
"7 Strongly agree","2010","general elemantary","West Germany","814","0.565747898915317","0.53987643677735","0.591619361053284","7"
"1 Strongly disagree","2011","vocational + Abi","East Germany","","","","","1"
"1 Strongly disagree","2011","higher vocational","West Germany","","","","","1"
"1 Strongly disagree","2011","higher vocational","East Germany","","","","","1"
"1 Strongly disagree","2011","higher education","West Germany","","","","","1"
"1 Strongly disagree","2011","higher education","East Germany","","","","","1"
"1 Strongly disagree","2011","in school","West Germany","","","","","1"
"1 Strongly disagree","2011","in school","East Germany","","","","","1"
"1 Strongly disagree","2011","inadequately","West Germany","","","","","1"
"1 Strongly disagree","2011","inadequately","East Germany","","","","","1"
"1 Strongly disagree","2011","middle vocational","East Germany","","","","","1"
"1 Strongly disagree","2011","vocational + Abi","West Germany","","","","","1"
"1 Strongly disagree","2011","general elemantary","East Germany","","","","","1"
"1 Strongly disagree","2011","general elemantary","West Germany","","","","","1"
"1 Strongly disagree","2011","middle vocational","West Germany","","","","","1"
"2 on scale 1-7 ","2011","middle vocational","West Germany","","","","","2"
"2 on scale 1-7 ","2011","middle vocational","East Germany","","","","","2"
"2 on scale 1-7 ","2011","higher education","East Germany","","","","","2"
"2 on scale 1-7 ","2011","general elemantary","East Germany","","","","","2"
"2 on scale 1-7 ","2011","vocational + Abi","West Germany","","","","","2"
"2 on scale 1-7 ","2011","vocational + Abi","East Germany","","","","","2"
"2 on scale 1-7 ","2011","higher vocational","West Germany","","","","","2"
"2 on scale 1-7 ","2011","higher vocational","East Germany","","","","","2"
"2 on scale 1-7 ","2011","higher education","West Germany","","","","","2"
"2 on scale 1-7 ","2011","in school","West Germany","","","","","2"
"2 on scale 1-7 ","2011","in school","East Germany","","","","","2"
"2 on scale 1-7 ","2011","inadequately","West Germany","","","","","2"
"2 on scale 1-7 ","2011","inadequately","East Germany","","","","","2"
"2 on scale 1-7 ","2011","general elemantary","West Germany","","","","","2"
"3 on scale 1-7 ","2011","vocational + Abi","East Germany","","","","","3"
"3 on scale 1-7 ","2011","higher vocational","West Germany","","","","","3"
"3 on scale 1-7 ","2011","higher vocational","East Germany","","","","","3"
"3 on scale 1-7 ","2011","higher education","West Germany","","","","","3"
"3 on scale 1-7 ","2011","higher education","East Germany","","","","","3"
"3 on scale 1-7 ","2011","in school","West Germany","","","","","3"
"3 on scale 1-7 ","2011","in school","East Germany","","","","","3"
"3 on scale 1-7 ","2011","inadequately","West Germany","","","","","3"
"3 on scale 1-7 ","2011","inadequately","East Germany","","","","","3"
"3 on scale 1-7 ","2011","general elemantary","West Germany","","","","","3"
"3 on scale 1-7 ","2011","general elemantary","East Germany","","","","","3"
"3 on scale 1-7 ","2011","middle vocational","West Germany","","","","","3"
"3 on scale 1-7 ","2011","middle vocational","East Germany","","","","","3"
"3 on scale 1-7 ","2011","vocational + Abi","West Germany","","","","","3"
"4 on scale 1-7","2011","higher education","East Germany","","","","","4"
"4 on scale 1-7","2011","in school","West Germany","","","","","4"
"4 on scale 1-7","2011","in school","East Germany","","","","","4"
"4 on scale 1-7","2011","inadequately","West Germany","","","","","4"
"4 on scale 1-7","2011","inadequately","East Germany","","","","","4"
"4 on scale 1-7","2011","middle vocational","West Germany","","","","","4"
"4 on scale 1-7","2011","middle vocational","East Germany","","","","","4"
"4 on scale 1-7","2011","vocational + Abi","West Germany","","","","","4"
"4 on scale 1-7","2011","vocational + Abi","East Germany","","","","","4"
"4 on scale 1-7","2011","higher vocational","West Germany","","","","","4"
"4 on scale 1-7","2011","higher vocational","East Germany","","","","","4"
"4 on scale 1-7","2011","higher education","West Germany","","","","","4"
"4 on scale 1-7","2011","general elemantary","West Germany","","","","","4"
"4 on scale 1-7","2011","general elemantary","East Germany","","","","","4"
"5 on scale 1-7","2011","higher vocational","East Germany","","","","","5"
"5 on scale 1-7","2011","higher education","West Germany","","","","","5"
"5 on scale 1-7","2011","higher education","East Germany","","","","","5"
"5 on scale 1-7","2011","vocational + Abi","East Germany","","","","","5"
"5 on scale 1-7","2011","higher vocational","West Germany","","","","","5"
"5 on scale 1-7","2011","in school","West Germany","","","","","5"
"5 on scale 1-7","2011","in school","East Germany","","","","","5"
"5 on scale 1-7","2011","inadequately","West Germany","","","","","5"
"5 on scale 1-7","2011","inadequately","East Germany","","","","","5"
"5 on scale 1-7","2011","general elemantary","West Germany","","","","","5"
"5 on scale 1-7","2011","general elemantary","East Germany","","","","","5"
"5 on scale 1-7","2011","middle vocational","West Germany","","","","","5"
"5 on scale 1-7","2011","middle vocational","East Germany","","","","","5"
"5 on scale 1-7","2011","vocational + Abi","West Germany","","","","","5"
"6 on scale 1-7","2011","in school","West Germany","","","","","6"
"6 on scale 1-7","2011","in school","East Germany","","","","","6"
"6 on scale 1-7","2011","inadequately","West Germany","","","","","6"
"6 on scale 1-7","2011","inadequately","East Germany","","","","","6"
"6 on scale 1-7","2011","higher vocational","East Germany","","","","","6"
"6 on scale 1-7","2011","higher education","West Germany","","","","","6"
"6 on scale 1-7","2011","higher education","East Germany","","","","","6"
"6 on scale 1-7","2011","higher vocational","West Germany","","","","","6"
"6 on scale 1-7","2011","general elemantary","West Germany","","","","","6"
"6 on scale 1-7","2011","middle vocational","East Germany","","","","","6"
"6 on scale 1-7","2011","vocational + Abi","West Germany","","","","","6"
"6 on scale 1-7","2011","vocational + Abi","East Germany","","","","","6"
"6 on scale 1-7","2011","general elemantary","East Germany","","","","","6"
"6 on scale 1-7","2011","middle vocational","West Germany","","","","","6"
"7 Strongly agree","2011","in school","West Germany","","","","","7"
"7 Strongly agree","2011","in school","East Germany","","","","","7"
"7 Strongly agree","2011","middle vocational","West Germany","","","","","7"
"7 Strongly agree","2011","middle vocational","East Germany","","","","","7"
"7 Strongly agree","2011","vocational + Abi","West Germany","","","","","7"
"7 Strongly agree","2011","vocational + Abi","East Germany","","","","","7"
"7 Strongly agree","2011","higher vocational","West Germany","","","","","7"
"7 Strongly agree","2011","higher vocational","East Germany","","","","","7"
"7 Strongly agree","2011","higher education","West Germany","","","","","7"
"7 Strongly agree","2011","higher education","East Germany","","","","","7"
"7 Strongly agree","2011","inadequately","West Germany","","","","","7"
"7 Strongly agree","2011","inadequately","East Germany","","","","","7"
"7 Strongly agree","2011","general elemantary","West Germany","","","","","7"
"7 Strongly agree","2011","general elemantary","East Germany","","","","","7"
"1 Strongly disagree","2012","in school","East Germany","","","","","1"
"1 Strongly disagree","2012","inadequately","West Germany","","","","","1"
"1 Strongly disagree","2012","inadequately","East Germany","","","","","1"
"1 Strongly disagree","2012","vocational + Abi","East Germany","","","","","1"
"1 Strongly disagree","2012","higher vocational","West Germany","","","","","1"
"1 Strongly disagree","2012","higher vocational","East Germany","","","","","1"
"1 Strongly disagree","2012","higher education","West Germany","","","","","1"
"1 Strongly disagree","2012","higher education","East Germany","","","","","1"
"1 Strongly disagree","2012","middle vocational","West Germany","","","","","1"
"1 Strongly disagree","2012","in school","West Germany","","","","","1"
"1 Strongly disagree","2012","vocational + Abi","West Germany","","","","","1"
"1 Strongly disagree","2012","middle vocational","East Germany","","","","","1"
"1 Strongly disagree","2012","general elemantary","West Germany","","","","","1"
"1 Strongly disagree","2012","general elemantary","East Germany","","","","","1"
"2 on scale 1-7 ","2012","in school","West Germany","","","","","2"
"2 on scale 1-7 ","2012","in school","East Germany","","","","","2"
"2 on scale 1-7 ","2012","inadequately","West Germany","","","","","2"
"2 on scale 1-7 ","2012","inadequately","East Germany","","","","","2"
"2 on scale 1-7 ","2012","general elemantary","West Germany","","","","","2"
"2 on scale 1-7 ","2012","general elemantary","East Germany","","","","","2"
"2 on scale 1-7 ","2012","middle vocational","West Germany","","","","","2"
"2 on scale 1-7 ","2012","middle vocational","East Germany","","","","","2"
"2 on scale 1-7 ","2012","vocational + Abi","West Germany","","","","","2"
"2 on scale 1-7 ","2012","vocational + Abi","East Germany","","","","","2"
"2 on scale 1-7 ","2012","higher vocational","West Germany","","","","","2"
"2 on scale 1-7 ","2012","higher vocational","East Germany","","","","","2"
"2 on scale 1-7 ","2012","higher education","West Germany","","","","","2"
"2 on scale 1-7 ","2012","higher education","East Germany","","","","","2"
"3 on scale 1-7 ","2012","inadequately","West Germany","","","","","3"
"3 on scale 1-7 ","2012","inadequately","East Germany","","","","","3"
"3 on scale 1-7 ","2012","vocational + Abi","East Germany","","","","","3"
"3 on scale 1-7 ","2012","higher vocational","West Germany","","","","","3"
"3 on scale 1-7 ","2012","higher vocational","East Germany","","","","","3"
"3 on scale 1-7 ","2012","higher education","West Germany","","","","","3"
"3 on scale 1-7 ","2012","higher education","East Germany","","","","","3"
"3 on scale 1-7 ","2012","general elemantary","West Germany","","","","","3"
"3 on scale 1-7 ","2012","general elemantary","East Germany","","","","","3"
"3 on scale 1-7 ","2012","in school","West Germany","","","","","3"
"3 on scale 1-7 ","2012","in school","East Germany","","","","","3"
"3 on scale 1-7 ","2012","vocational + Abi","West Germany","","","","","3"
"3 on scale 1-7 ","2012","middle vocational","West Germany","","","","","3"
"3 on scale 1-7 ","2012","middle vocational","East Germany","","","","","3"
"4 on scale 1-7","2012","in school","West Germany","","","","","4"
"4 on scale 1-7","2012","in school","East Germany","","","","","4"
"4 on scale 1-7","2012","inadequately","West Germany","","","","","4"
"4 on scale 1-7","2012","inadequately","East Germany","","","","","4"
"4 on scale 1-7","2012","general elemantary","West Germany","","","","","4"
"4 on scale 1-7","2012","general elemantary","East Germany","","","","","4"
"4 on scale 1-7","2012","middle vocational","West Germany","","","","","4"
"4 on scale 1-7","2012","middle vocational","East Germany","","","","","4"
"4 on scale 1-7","2012","vocational + Abi","West Germany","","","","","4"
"4 on scale 1-7","2012","vocational + Abi","East Germany","","","","","4"
"4 on scale 1-7","2012","higher vocational","West Germany","","","","","4"
"4 on scale 1-7","2012","higher vocational","East Germany","","","","","4"
"4 on scale 1-7","2012","higher education","West Germany","","","","","4"
"4 on scale 1-7","2012","higher education","East Germany","","","","","4"
"5 on scale 1-7","2012","middle vocational","West Germany","","","","","5"
"5 on scale 1-7","2012","middle vocational","East Germany","","","","","5"
"5 on scale 1-7","2012","general elemantary","East Germany","","","","","5"
"5 on scale 1-7","2012","higher education","West Germany","","","","","5"
"5 on scale 1-7","2012","higher education","East Germany","","","","","5"
"5 on scale 1-7","2012","vocational + Abi","West Germany","","","","","5"
"5 on scale 1-7","2012","vocational + Abi","East Germany","","","","","5"
"5 on scale 1-7","2012","in school","West Germany","","","","","5"
"5 on scale 1-7","2012","in school","East Germany","","","","","5"
"5 on scale 1-7","2012","inadequately","West Germany","","","","","5"
"5 on scale 1-7","2012","inadequately","East Germany","","","","","5"
"5 on scale 1-7","2012","general elemantary","West Germany","","","","","5"
"5 on scale 1-7","2012","higher vocational","West Germany","","","","","5"
"5 on scale 1-7","2012","higher vocational","East Germany","","","","","5"
"6 on scale 1-7","2012","in school","West Germany","","","","","6"
"6 on scale 1-7","2012","in school","East Germany","","","","","6"
"6 on scale 1-7","2012","inadequately","West Germany","","","","","6"
"6 on scale 1-7","2012","inadequately","East Germany","","","","","6"
"6 on scale 1-7","2012","general elemantary","West Germany","","","","","6"
"6 on scale 1-7","2012","general elemantary","East Germany","","","","","6"
"6 on scale 1-7","2012","middle vocational","West Germany","","","","","6"
"6 on scale 1-7","2012","middle vocational","East Germany","","","","","6"
"6 on scale 1-7","2012","vocational + Abi","West Germany","","","","","6"
"6 on scale 1-7","2012","vocational + Abi","East Germany","","","","","6"
"6 on scale 1-7","2012","higher vocational","West Germany","","","","","6"
"6 on scale 1-7","2012","higher vocational","East Germany","","","","","6"
"6 on scale 1-7","2012","higher education","West Germany","","","","","6"
"6 on scale 1-7","2012","higher education","East Germany","","","","","6"
"7 Strongly agree","2012","vocational + Abi","West Germany","","","","","7"
"7 Strongly agree","2012","vocational + Abi","East Germany","","","","","7"
"7 Strongly agree","2012","middle vocational","West Germany","","","","","7"
"7 Strongly agree","2012","general elemantary","East Germany","","","","","7"
"7 Strongly agree","2012","higher education","East Germany","","","","","7"
"7 Strongly agree","2012","middle vocational","East Germany","","","","","7"
"7 Strongly agree","2012","in school","West Germany","","","","","7"
"7 Strongly agree","2012","in school","East Germany","","","","","7"
"7 Strongly agree","2012","inadequately","West Germany","","","","","7"
"7 Strongly agree","2012","inadequately","East Germany","","","","","7"
"7 Strongly agree","2012","general elemantary","West Germany","","","","","7"
"7 Strongly agree","2012","higher vocational","West Germany","","","","","7"
"7 Strongly agree","2012","higher vocational","East Germany","","","","","7"
"7 Strongly agree","2012","higher education","West Germany","","","","","7"
"1 Strongly disagree","2013","vocational + Abi","West Germany","","","","","1"
"1 Strongly disagree","2013","vocational + Abi","East Germany","","","","","1"
"1 Strongly disagree","2013","higher vocational","West Germany","","","","","1"
"1 Strongly disagree","2013","higher vocational","East Germany","","","","","1"
"1 Strongly disagree","2013","in school","West Germany","","","","","1"
"1 Strongly disagree","2013","in school","East Germany","","","","","1"
"1 Strongly disagree","2013","inadequately","West Germany","","","","","1"
"1 Strongly disagree","2013","inadequately","East Germany","","","","","1"
"1 Strongly disagree","2013","general elemantary","West Germany","","","","","1"
"1 Strongly disagree","2013","general elemantary","East Germany","","","","","1"
"1 Strongly disagree","2013","middle vocational","West Germany","","","","","1"
"1 Strongly disagree","2013","middle vocational","East Germany","","","","","1"
"1 Strongly disagree","2013","higher education","West Germany","","","","","1"
"1 Strongly disagree","2013","higher education","East Germany","","","","","1"
"2 on scale 1-7 ","2013","middle vocational","East Germany","","","","","2"
"2 on scale 1-7 ","2013","vocational + Abi","West Germany","","","","","2"
"2 on scale 1-7 ","2013","general elemantary","West Germany","","","","","2"
"2 on scale 1-7 ","2013","general elemantary","East Germany","","","","","2"
"2 on scale 1-7 ","2013","middle vocational","West Germany","","","","","2"
"2 on scale 1-7 ","2013","vocational + Abi","East Germany","","","","","2"
"2 on scale 1-7 ","2013","inadequately","East Germany","","","","","2"
"2 on scale 1-7 ","2013","in school","West Germany","","","","","2"
"2 on scale 1-7 ","2013","in school","East Germany","","","","","2"
"2 on scale 1-7 ","2013","inadequately","West Germany","","","","","2"
"2 on scale 1-7 ","2013","higher vocational","West Germany","","","","","2"
"2 on scale 1-7 ","2013","higher vocational","East Germany","","","","","2"
"2 on scale 1-7 ","2013","higher education","West Germany","","","","","2"
"2 on scale 1-7 ","2013","higher education","East Germany","","","","","2"
"3 on scale 1-7 ","2013","general elemantary","East Germany","","","","","3"
"3 on scale 1-7 ","2013","middle vocational","West Germany","","","","","3"
