"plh0206i01","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2008","Saxony","no degree/no degree yet","","","",""
"1 Strongly disagree","2008","Saxony-Anhalt","lower secondary degree","","","",""
"1 Strongly disagree","2008","Saxony-Anhalt","secondary school degree","","","",""
"1 Strongly disagree","2008","Saxony-Anhalt","college entrance qualification","","","",""
"1 Strongly disagree","2008","Saxony-Anhalt","Other degree","","","",""
"1 Strongly disagree","2008","Saxony-Anhalt","no degree/no degree yet","","","",""
"1 Strongly disagree","2008","Thuringia","lower secondary degree","","","",""
"1 Strongly disagree","2008","Thuringia","secondary school degree","","","",""
"1 Strongly disagree","2008","Thuringia","college entrance qualification","","","",""
"1 Strongly disagree","2008","Thuringia","Other degree","","","",""
"1 Strongly disagree","2008","Thuringia","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Schleswig-Holstein","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Schleswig-Holstein","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Schleswig-Holstein","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Schleswig-Holstein","Other degree","","","",""
"2 on scale 1-7 ","2008","Schleswig-Holstein","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Hamburg","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Hamburg","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Hamburg","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Hamburg","Other degree","","","",""
"2 on scale 1-7 ","2008","Hamburg","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Lower Saxony","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Lower Saxony","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Lower Saxony","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Lower Saxony","Other degree","","","",""
"2 on scale 1-7 ","2008","Lower Saxony","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Bremen","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Bremen","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Bremen","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Bremen","Other degree","","","",""
"2 on scale 1-7 ","2008","Bremen","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","North Rhine-Westphalia","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","North Rhine-Westphalia","secondary school degree","","","",""
"2 on scale 1-7 ","2008","North Rhine-Westphalia","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","North Rhine-Westphalia","Other degree","","","",""
"2 on scale 1-7 ","2008","North Rhine-Westphalia","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Hesse","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Hesse","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Hesse","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Hesse","Other degree","","","",""
"2 on scale 1-7 ","2008","Hesse","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","Other degree","","","",""
"2 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Baden-Württemberg","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Baden-Württemberg","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Baden-Württemberg","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Baden-Württemberg","Other degree","","","",""
"2 on scale 1-7 ","2008","Baden-Württemberg","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Bavaria","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Bavaria","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Bavaria","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Bavaria","Other degree","","","",""
"2 on scale 1-7 ","2008","Bavaria","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Berlin","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Berlin","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Berlin","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Berlin","Other degree","","","",""
"2 on scale 1-7 ","2008","Berlin","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Brandenburg","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Brandenburg","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Brandenburg","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Brandenburg","Other degree","","","",""
"2 on scale 1-7 ","2008","Brandenburg","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","Other degree","","","",""
"2 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Saxony","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Saxony","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Saxony","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Saxony","Other degree","","","",""
"2 on scale 1-7 ","2008","Saxony","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Saxony-Anhalt","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Saxony-Anhalt","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Saxony-Anhalt","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Saxony-Anhalt","Other degree","","","",""
"2 on scale 1-7 ","2008","Saxony-Anhalt","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","Thuringia","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","Thuringia","secondary school degree","","","",""
"2 on scale 1-7 ","2008","Thuringia","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Thuringia","Other degree","","","",""
"2 on scale 1-7 ","2008","Thuringia","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Schleswig-Holstein","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Schleswig-Holstein","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Schleswig-Holstein","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Schleswig-Holstein","Other degree","","","",""
"3 on scale 1-7 ","2008","Schleswig-Holstein","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Hamburg","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Hamburg","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Hamburg","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Hamburg","Other degree","","","",""
"3 on scale 1-7 ","2008","Hamburg","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Lower Saxony","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Lower Saxony","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Lower Saxony","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Lower Saxony","Other degree","","","",""
"3 on scale 1-7 ","2008","Lower Saxony","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Bremen","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Bremen","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Bremen","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Bremen","Other degree","","","",""
"3 on scale 1-7 ","2008","Bremen","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","North Rhine-Westphalia","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","North Rhine-Westphalia","secondary school degree","","","",""
"3 on scale 1-7 ","2008","North Rhine-Westphalia","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","North Rhine-Westphalia","Other degree","","","",""
"3 on scale 1-7 ","2008","North Rhine-Westphalia","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Hesse","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Hesse","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Hesse","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Hesse","Other degree","","","",""
"3 on scale 1-7 ","2008","Hesse","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","Other degree","","","",""
"3 on scale 1-7 ","2008","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Baden-Württemberg","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Baden-Württemberg","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Baden-Württemberg","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Baden-Württemberg","Other degree","","","",""
"3 on scale 1-7 ","2008","Baden-Württemberg","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Bavaria","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Bavaria","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Bavaria","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Bavaria","Other degree","","","",""
"3 on scale 1-7 ","2008","Bavaria","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Berlin","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Berlin","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Berlin","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Berlin","Other degree","","","",""
"3 on scale 1-7 ","2008","Berlin","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Brandenburg","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Brandenburg","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Brandenburg","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Brandenburg","Other degree","","","",""
"3 on scale 1-7 ","2008","Brandenburg","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","Other degree","","","",""
"3 on scale 1-7 ","2008","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Saxony","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Saxony","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Saxony","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Saxony","Other degree","","","",""
"3 on scale 1-7 ","2008","Saxony","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Saxony-Anhalt","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Saxony-Anhalt","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Saxony-Anhalt","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Saxony-Anhalt","Other degree","","","",""
"3 on scale 1-7 ","2008","Saxony-Anhalt","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","Thuringia","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","Thuringia","secondary school degree","","","",""
"3 on scale 1-7 ","2008","Thuringia","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Thuringia","Other degree","","","",""
"3 on scale 1-7 ","2008","Thuringia","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Schleswig-Holstein","lower secondary degree","","","",""
"4 on scale 1-7","2008","Schleswig-Holstein","secondary school degree","","","",""
"4 on scale 1-7","2008","Schleswig-Holstein","college entrance qualification","","","",""
"4 on scale 1-7","2008","Schleswig-Holstein","Other degree","","","",""
"4 on scale 1-7","2008","Schleswig-Holstein","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Hamburg","lower secondary degree","","","",""
"4 on scale 1-7","2008","Hamburg","secondary school degree","","","",""
"4 on scale 1-7","2008","Hamburg","college entrance qualification","","","",""
"4 on scale 1-7","2008","Hamburg","Other degree","","","",""
"4 on scale 1-7","2008","Hamburg","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Lower Saxony","lower secondary degree","","","",""
"4 on scale 1-7","2008","Lower Saxony","secondary school degree","","","",""
"4 on scale 1-7","2008","Lower Saxony","college entrance qualification","","","",""
"4 on scale 1-7","2008","Lower Saxony","Other degree","","","",""
"4 on scale 1-7","2008","Lower Saxony","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Bremen","lower secondary degree","","","",""
"4 on scale 1-7","2008","Bremen","secondary school degree","","","",""
"4 on scale 1-7","2008","Bremen","college entrance qualification","","","",""
"4 on scale 1-7","2008","Bremen","Other degree","","","",""
"4 on scale 1-7","2008","Bremen","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","North Rhine-Westphalia","lower secondary degree","","","",""
"4 on scale 1-7","2008","North Rhine-Westphalia","secondary school degree","","","",""
"4 on scale 1-7","2008","North Rhine-Westphalia","college entrance qualification","","","",""
"4 on scale 1-7","2008","North Rhine-Westphalia","Other degree","","","",""
"4 on scale 1-7","2008","North Rhine-Westphalia","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Hesse","lower secondary degree","","","",""
"4 on scale 1-7","2008","Hesse","secondary school degree","","","",""
"4 on scale 1-7","2008","Hesse","college entrance qualification","","","",""
"4 on scale 1-7","2008","Hesse","Other degree","","","",""
"4 on scale 1-7","2008","Hesse","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"4 on scale 1-7","2008","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"4 on scale 1-7","2008","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"4 on scale 1-7","2008","Rhineland-Palatinate,Saarland","Other degree","","","",""
"4 on scale 1-7","2008","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Baden-Württemberg","lower secondary degree","","","",""
"4 on scale 1-7","2008","Baden-Württemberg","secondary school degree","","","",""
"4 on scale 1-7","2008","Baden-Württemberg","college entrance qualification","","","",""
"4 on scale 1-7","2008","Baden-Württemberg","Other degree","","","",""
"4 on scale 1-7","2008","Baden-Württemberg","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Bavaria","lower secondary degree","","","",""
"4 on scale 1-7","2008","Bavaria","secondary school degree","","","",""
"4 on scale 1-7","2008","Bavaria","college entrance qualification","","","",""
"4 on scale 1-7","2008","Bavaria","Other degree","","","",""
"4 on scale 1-7","2008","Bavaria","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Berlin","lower secondary degree","","","",""
"4 on scale 1-7","2008","Berlin","secondary school degree","","","",""
"4 on scale 1-7","2008","Berlin","college entrance qualification","","","",""
"4 on scale 1-7","2008","Berlin","Other degree","","","",""
"4 on scale 1-7","2008","Berlin","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Brandenburg","lower secondary degree","","","",""
"4 on scale 1-7","2008","Brandenburg","secondary school degree","","","",""
"4 on scale 1-7","2008","Brandenburg","college entrance qualification","","","",""
"4 on scale 1-7","2008","Brandenburg","Other degree","","","",""
"4 on scale 1-7","2008","Brandenburg","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"4 on scale 1-7","2008","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"4 on scale 1-7","2008","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"4 on scale 1-7","2008","Mecklenburg-Western Pomerania","Other degree","","","",""
"4 on scale 1-7","2008","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Saxony","lower secondary degree","","","",""
"4 on scale 1-7","2008","Saxony","secondary school degree","","","",""
"4 on scale 1-7","2008","Saxony","college entrance qualification","","","",""
"4 on scale 1-7","2008","Saxony","Other degree","","","",""
"4 on scale 1-7","2008","Saxony","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Saxony-Anhalt","lower secondary degree","","","",""
"4 on scale 1-7","2008","Saxony-Anhalt","secondary school degree","","","",""
"4 on scale 1-7","2008","Saxony-Anhalt","college entrance qualification","","","",""
"4 on scale 1-7","2008","Saxony-Anhalt","Other degree","","","",""
"4 on scale 1-7","2008","Saxony-Anhalt","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","Thuringia","lower secondary degree","","","",""
"4 on scale 1-7","2008","Thuringia","secondary school degree","","","",""
"4 on scale 1-7","2008","Thuringia","college entrance qualification","","","",""
"4 on scale 1-7","2008","Thuringia","Other degree","","","",""
"4 on scale 1-7","2008","Thuringia","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Schleswig-Holstein","lower secondary degree","","","",""
"5 on scale 1-7","2008","Schleswig-Holstein","secondary school degree","","","",""
"5 on scale 1-7","2008","Schleswig-Holstein","college entrance qualification","","","",""
"5 on scale 1-7","2008","Schleswig-Holstein","Other degree","","","",""
"5 on scale 1-7","2008","Schleswig-Holstein","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Hamburg","lower secondary degree","","","",""
"5 on scale 1-7","2008","Hamburg","secondary school degree","","","",""
"5 on scale 1-7","2008","Hamburg","college entrance qualification","","","",""
"5 on scale 1-7","2008","Hamburg","Other degree","","","",""
"5 on scale 1-7","2008","Hamburg","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Lower Saxony","lower secondary degree","","","",""
"5 on scale 1-7","2008","Lower Saxony","secondary school degree","","","",""
"5 on scale 1-7","2008","Lower Saxony","college entrance qualification","","","",""
"5 on scale 1-7","2008","Lower Saxony","Other degree","","","",""
"5 on scale 1-7","2008","Lower Saxony","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Bremen","lower secondary degree","","","",""
"5 on scale 1-7","2008","Bremen","secondary school degree","","","",""
"5 on scale 1-7","2008","Bremen","college entrance qualification","","","",""
"5 on scale 1-7","2008","Bremen","Other degree","","","",""
"5 on scale 1-7","2008","Bremen","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","North Rhine-Westphalia","lower secondary degree","","","",""
"5 on scale 1-7","2008","North Rhine-Westphalia","secondary school degree","","","",""
"5 on scale 1-7","2008","North Rhine-Westphalia","college entrance qualification","","","",""
"5 on scale 1-7","2008","North Rhine-Westphalia","Other degree","","","",""
"5 on scale 1-7","2008","North Rhine-Westphalia","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Hesse","lower secondary degree","","","",""
"5 on scale 1-7","2008","Hesse","secondary school degree","","","",""
"5 on scale 1-7","2008","Hesse","college entrance qualification","","","",""
"5 on scale 1-7","2008","Hesse","Other degree","","","",""
"5 on scale 1-7","2008","Hesse","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"5 on scale 1-7","2008","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"5 on scale 1-7","2008","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"5 on scale 1-7","2008","Rhineland-Palatinate,Saarland","Other degree","","","",""
"5 on scale 1-7","2008","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Baden-Württemberg","lower secondary degree","","","",""
"5 on scale 1-7","2008","Baden-Württemberg","secondary school degree","","","",""
"5 on scale 1-7","2008","Baden-Württemberg","college entrance qualification","","","",""
"5 on scale 1-7","2008","Baden-Württemberg","Other degree","","","",""
"5 on scale 1-7","2008","Baden-Württemberg","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Bavaria","lower secondary degree","","","",""
"5 on scale 1-7","2008","Bavaria","secondary school degree","","","",""
"5 on scale 1-7","2008","Bavaria","college entrance qualification","","","",""
"5 on scale 1-7","2008","Bavaria","Other degree","","","",""
"5 on scale 1-7","2008","Bavaria","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Berlin","lower secondary degree","","","",""
"5 on scale 1-7","2008","Berlin","secondary school degree","","","",""
"5 on scale 1-7","2008","Berlin","college entrance qualification","","","",""
"5 on scale 1-7","2008","Berlin","Other degree","","","",""
"5 on scale 1-7","2008","Berlin","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Brandenburg","lower secondary degree","","","",""
"5 on scale 1-7","2008","Brandenburg","secondary school degree","","","",""
"5 on scale 1-7","2008","Brandenburg","college entrance qualification","","","",""
"5 on scale 1-7","2008","Brandenburg","Other degree","","","",""
"5 on scale 1-7","2008","Brandenburg","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"5 on scale 1-7","2008","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"5 on scale 1-7","2008","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"5 on scale 1-7","2008","Mecklenburg-Western Pomerania","Other degree","","","",""
"5 on scale 1-7","2008","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Saxony","lower secondary degree","","","",""
"5 on scale 1-7","2008","Saxony","secondary school degree","","","",""
"5 on scale 1-7","2008","Saxony","college entrance qualification","","","",""
"5 on scale 1-7","2008","Saxony","Other degree","","","",""
"5 on scale 1-7","2008","Saxony","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Saxony-Anhalt","lower secondary degree","","","",""
"5 on scale 1-7","2008","Saxony-Anhalt","secondary school degree","","","",""
"5 on scale 1-7","2008","Saxony-Anhalt","college entrance qualification","","","",""
"5 on scale 1-7","2008","Saxony-Anhalt","Other degree","","","",""
"5 on scale 1-7","2008","Saxony-Anhalt","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","Thuringia","lower secondary degree","","","",""
"5 on scale 1-7","2008","Thuringia","secondary school degree","","","",""
"5 on scale 1-7","2008","Thuringia","college entrance qualification","","","",""
"5 on scale 1-7","2008","Thuringia","Other degree","","","",""
"5 on scale 1-7","2008","Thuringia","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Schleswig-Holstein","lower secondary degree","","","",""
"6 on scale 1-7","2008","Schleswig-Holstein","secondary school degree","","","",""
"6 on scale 1-7","2008","Schleswig-Holstein","college entrance qualification","","","",""
"6 on scale 1-7","2008","Schleswig-Holstein","Other degree","","","",""
"6 on scale 1-7","2008","Schleswig-Holstein","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Hamburg","lower secondary degree","","","",""
"6 on scale 1-7","2008","Hamburg","secondary school degree","","","",""
"6 on scale 1-7","2008","Hamburg","college entrance qualification","","","",""
"6 on scale 1-7","2008","Hamburg","Other degree","","","",""
"6 on scale 1-7","2008","Hamburg","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Lower Saxony","lower secondary degree","","","",""
"6 on scale 1-7","2008","Lower Saxony","secondary school degree","","","",""
"6 on scale 1-7","2008","Lower Saxony","college entrance qualification","","","",""
"6 on scale 1-7","2008","Lower Saxony","Other degree","","","",""
"6 on scale 1-7","2008","Lower Saxony","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Bremen","lower secondary degree","","","",""
"6 on scale 1-7","2008","Bremen","secondary school degree","","","",""
"6 on scale 1-7","2008","Bremen","college entrance qualification","","","",""
"6 on scale 1-7","2008","Bremen","Other degree","","","",""
"6 on scale 1-7","2008","Bremen","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","North Rhine-Westphalia","lower secondary degree","","","",""
"6 on scale 1-7","2008","North Rhine-Westphalia","secondary school degree","","","",""
"6 on scale 1-7","2008","North Rhine-Westphalia","college entrance qualification","","","",""
"6 on scale 1-7","2008","North Rhine-Westphalia","Other degree","","","",""
"6 on scale 1-7","2008","North Rhine-Westphalia","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Hesse","lower secondary degree","","","",""
"6 on scale 1-7","2008","Hesse","secondary school degree","","","",""
"6 on scale 1-7","2008","Hesse","college entrance qualification","","","",""
"6 on scale 1-7","2008","Hesse","Other degree","","","",""
"6 on scale 1-7","2008","Hesse","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"6 on scale 1-7","2008","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"6 on scale 1-7","2008","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"6 on scale 1-7","2008","Rhineland-Palatinate,Saarland","Other degree","","","",""
"6 on scale 1-7","2008","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Baden-Württemberg","lower secondary degree","","","",""
"6 on scale 1-7","2008","Baden-Württemberg","secondary school degree","","","",""
"6 on scale 1-7","2008","Baden-Württemberg","college entrance qualification","","","",""
"6 on scale 1-7","2008","Baden-Württemberg","Other degree","","","",""
"6 on scale 1-7","2008","Baden-Württemberg","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Bavaria","lower secondary degree","","","",""
"6 on scale 1-7","2008","Bavaria","secondary school degree","","","",""
"6 on scale 1-7","2008","Bavaria","college entrance qualification","","","",""
"6 on scale 1-7","2008","Bavaria","Other degree","","","",""
"6 on scale 1-7","2008","Bavaria","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Berlin","lower secondary degree","","","",""
"6 on scale 1-7","2008","Berlin","secondary school degree","","","",""
"6 on scale 1-7","2008","Berlin","college entrance qualification","","","",""
"6 on scale 1-7","2008","Berlin","Other degree","","","",""
"6 on scale 1-7","2008","Berlin","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Brandenburg","lower secondary degree","","","",""
"6 on scale 1-7","2008","Brandenburg","secondary school degree","","","",""
"6 on scale 1-7","2008","Brandenburg","college entrance qualification","","","",""
"6 on scale 1-7","2008","Brandenburg","Other degree","","","",""
"6 on scale 1-7","2008","Brandenburg","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"6 on scale 1-7","2008","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"6 on scale 1-7","2008","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"6 on scale 1-7","2008","Mecklenburg-Western Pomerania","Other degree","","","",""
"6 on scale 1-7","2008","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Saxony","lower secondary degree","","","",""
"6 on scale 1-7","2008","Saxony","secondary school degree","","","",""
"6 on scale 1-7","2008","Saxony","college entrance qualification","","","",""
"6 on scale 1-7","2008","Saxony","Other degree","","","",""
"6 on scale 1-7","2008","Saxony","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Saxony-Anhalt","lower secondary degree","","","",""
"6 on scale 1-7","2008","Saxony-Anhalt","secondary school degree","","","",""
"6 on scale 1-7","2008","Saxony-Anhalt","college entrance qualification","","","",""
"6 on scale 1-7","2008","Saxony-Anhalt","Other degree","","","",""
"6 on scale 1-7","2008","Saxony-Anhalt","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","Thuringia","lower secondary degree","","","",""
"6 on scale 1-7","2008","Thuringia","secondary school degree","","","",""
"6 on scale 1-7","2008","Thuringia","college entrance qualification","","","",""
"6 on scale 1-7","2008","Thuringia","Other degree","","","",""
"6 on scale 1-7","2008","Thuringia","no degree/no degree yet","","","",""
"7 Strongly agree","2008","Schleswig-Holstein","lower secondary degree","","","",""
