"plh0206i01","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"3 on scale 1-7 ","2019","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2019","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2019","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2019","Rural Area","East Germany","","","",""
"4 on scale 1-7","2019","Urban Area","West Germany","3","","",""
"4 on scale 1-7","2019","Urban Area","East Germany","","","",""
"4 on scale 1-7","2019","Rural Area","West Germany","2","","",""
"4 on scale 1-7","2019","Rural Area","East Germany","","","",""
"5 on scale 1-7","2019","Urban Area","West Germany","9","","",""
"5 on scale 1-7","2019","Urban Area","East Germany","","","",""
"5 on scale 1-7","2019","Rural Area","West Germany","2","","",""
"5 on scale 1-7","2019","Rural Area","East Germany","","","",""
"6 on scale 1-7","2019","Urban Area","West Germany","19","","",""
"6 on scale 1-7","2019","Urban Area","East Germany","","","",""
"6 on scale 1-7","2019","Rural Area","West Germany","13","","",""
"6 on scale 1-7","2019","Rural Area","East Germany","","","",""
"7 Strongly agree","2019","Urban Area","West Germany","138","0.843550512616661","0.789101168225681","0.897999857007642"
"7 Strongly agree","2019","Urban Area","East Germany","4","","",""
"7 Strongly agree","2019","Rural Area","West Germany","66","0.834371587276824","0.754396224617987","0.91434694993566"
"7 Strongly agree","2019","Rural Area","East Germany","18","","",""
