"plh0206i01","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"5 on scale 1-7","2007","66 and older","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2007","66 and older","Single parent ","","","","","5"
"5 on scale 1-7","2007","66 and older","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2007","66 and older","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2007","66 and older","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2007","16-34 y.","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Single parent ","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Single parent ","","","","","5"
"5 on scale 1-7","2007","35-65 y.","1-pers.-HH","","","","","5"
"5 on scale 1-7","2007","66 and older","1-pers.-HH","","","","","5"
"5 on scale 1-7","2007","35-65 y.","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2007","16-34 y.","1-pers.-HH","","","","","5"
"6 on scale 1-7","2007","66 and older","Single parent ","","","","","6"
"6 on scale 1-7","2007","66 and older","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2007","66 and older","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2007","66 and older","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2007","66 and older","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Single parent ","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2007","66 and older","1-pers.-HH","","","","","6"
"6 on scale 1-7","2007","16-34 y.","1-pers.-HH","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Single parent ","","","","","6"
"6 on scale 1-7","2007","35-65 y.","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2007","35-65 y.","1-pers.-HH","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2007","16-34 y.","(Married) couple without C. ","","","","","6"
"7 Strongly agree","2007","66 and older","Single parent ","","","","","7"
"7 Strongly agree","2007","66 and older","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2007","66 and older","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2007","66 and older","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2007","16-34 y.","1-pers.-HH","","","","","7"
"7 Strongly agree","2007","16-34 y.","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2007","16-34 y.","Single parent ","","","","","7"
"7 Strongly agree","2007","16-34 y.","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2007","16-34 y.","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2007","16-34 y.","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2007","35-65 y.","1-pers.-HH","","","","","7"
"7 Strongly agree","2007","35-65 y.","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2007","35-65 y.","Single parent ","","","","","7"
"7 Strongly agree","2007","35-65 y.","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2007","35-65 y.","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2007","35-65 y.","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2007","66 and older","1-pers.-HH","","","","","7"
"7 Strongly agree","2007","66 and older","(Married) couple without C. ","","","","","7"
"1 Strongly disagree","2008","16-34 y.","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2008","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2008","35-65 y.","1-pers.-HH","","","","","1"
"1 Strongly disagree","2008","35-65 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2008","35-65 y.","Single parent ","","","","","1"
"1 Strongly disagree","2008","35-65 y.","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2008","35-65 y.","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2008","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2008","66 and older","1-pers.-HH","","","","","1"
"1 Strongly disagree","2008","66 and older","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2008","66 and older","Single parent ","","","","","1"
"1 Strongly disagree","2008","66 and older","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2008","66 and older","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2008","66 and older","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2008","16-34 y.","1-pers.-HH","","","","","1"
"1 Strongly disagree","2008","16-34 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2008","16-34 y.","Single parent ","","","","","1"
"1 Strongly disagree","2008","16-34 y.","Couple + C. LE 16 ","","","","","1"
"2 on scale 1-7 ","2008","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2008","66 and older","Single parent ","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2008","66 and older","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2008","66 and older","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2008","66 and older","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2008","66 and older","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2008","66 and older","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","Couple + C. LE 16 ","","","","","2"
"3 on scale 1-7 ","2008","66 and older","Single parent ","","","","","3"
"3 on scale 1-7 ","2008","66 and older","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2008","66 and older","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2008","66 and older","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2008","66 and older","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2008","66 and older","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","Single parent ","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","Single parent ","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","Couple + C. LE 16 ","","","","","3"
"4 on scale 1-7","2008","66 and older","Single parent ","","","","","4"
"4 on scale 1-7","2008","66 and older","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2008","66 and older","1-pers.-HH","","","","","4"
"4 on scale 1-7","2008","66 and older","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2008","66 and older","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2008","16-34 y.","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2008","35-65 y.","1-pers.-HH","","","","","4"
"4 on scale 1-7","2008","35-65 y.","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2008","35-65 y.","Single parent ","","","","","4"
"4 on scale 1-7","2008","35-65 y.","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2008","35-65 y.","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2008","66 and older","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2008","16-34 y.","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2008","35-65 y.","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2008","16-34 y.","1-pers.-HH","","","","","4"
"4 on scale 1-7","2008","16-34 y.","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2008","16-34 y.","Single parent ","","","","","4"
"4 on scale 1-7","2008","16-34 y.","Couple + C. LE 16 ","","","","","4"
"5 on scale 1-7","2008","66 and older","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2008","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2008","35-65 y.","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2008","66 and older","Single parent ","","","","","5"
"5 on scale 1-7","2008","66 and older","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2008","66 and older","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2008","66 and older","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2008","16-34 y.","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2008","35-65 y.","1-pers.-HH","","","","","5"
"5 on scale 1-7","2008","35-65 y.","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2008","35-65 y.","Single parent ","","","","","5"
"5 on scale 1-7","2008","35-65 y.","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2008","35-65 y.","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2008","66 and older","1-pers.-HH","","","","","5"
"5 on scale 1-7","2008","16-34 y.","1-pers.-HH","","","","","5"
"5 on scale 1-7","2008","16-34 y.","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2008","16-34 y.","Single parent ","","","","","5"
"5 on scale 1-7","2008","16-34 y.","Couple + C. LE 16 ","","","","","5"
"6 on scale 1-7","2008","66 and older","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2008","66 and older","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2008","66 and older","Single parent ","","","","","6"
"6 on scale 1-7","2008","66 and older","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2008","35-65 y.","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2008","35-65 y.","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2008","66 and older","1-pers.-HH","","","","","6"
"6 on scale 1-7","2008","66 and older","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2008","16-34 y.","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2008","35-65 y.","1-pers.-HH","","","","","6"
"6 on scale 1-7","2008","35-65 y.","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2008","35-65 y.","Single parent ","","","","","6"
"6 on scale 1-7","2008","35-65 y.","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2008","16-34 y.","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2008","16-34 y.","1-pers.-HH","","","","","6"
"6 on scale 1-7","2008","16-34 y.","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2008","16-34 y.","Single parent ","","","","","6"
"6 on scale 1-7","2008","16-34 y.","Couple + C. LE 16 ","","","","","6"
"7 Strongly agree","2008","66 and older","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2008","66 and older","Single parent ","","","","","7"
"7 Strongly agree","2008","66 and older","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2008","66 and older","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2008","16-34 y.","Single parent ","","","","","7"
"7 Strongly agree","2008","16-34 y.","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2008","16-34 y.","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2008","35-65 y.","1-pers.-HH","","","","","7"
"7 Strongly agree","2008","35-65 y.","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2008","35-65 y.","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2008","35-65 y.","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2008","35-65 y.","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2008","66 and older","1-pers.-HH","","","","","7"
"7 Strongly agree","2008","16-34 y.","1-pers.-HH","","","","","7"
"7 Strongly agree","2008","16-34 y.","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2008","16-34 y.","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2008","35-65 y.","Single parent ","","","","","7"
"7 Strongly agree","2008","66 and older","(Married) couple without C. ","","","","","7"
"1 Strongly disagree","2009","16-34 y.","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2009","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2009","35-65 y.","1-pers.-HH","","","","","1"
"1 Strongly disagree","2009","35-65 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2009","35-65 y.","Single parent ","","","","","1"
"1 Strongly disagree","2009","35-65 y.","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2009","35-65 y.","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2009","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2009","66 and older","1-pers.-HH","","","","","1"
"1 Strongly disagree","2009","66 and older","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2009","66 and older","Single parent ","","","","","1"
"1 Strongly disagree","2009","66 and older","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2009","66 and older","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2009","66 and older","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2009","16-34 y.","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2009","16-34 y.","1-pers.-HH","","","","","1"
"1 Strongly disagree","2009","16-34 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2009","16-34 y.","Single parent ","","","","","1"
"2 on scale 1-7 ","2009","66 and older","Single parent ","","","","","2"
"2 on scale 1-7 ","2009","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2009","35-65 y.","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2009","35-65 y.","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2009","35-65 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2009","35-65 y.","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2009","66 and older","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2009","66 and older","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2009","66 and older","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2009","66 and older","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2009","16-34 y.","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2009","16-34 y.","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2009","16-34 y.","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2009","35-65 y.","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2009","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2009","66 and older","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2009","16-34 y.","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2009","16-34 y.","Single parent ","","","","","2"
"3 on scale 1-7 ","2009","66 and older","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2009","66 and older","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2009","16-34 y.","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2009","66 and older","Single parent ","","","","","3"
"3 on scale 1-7 ","2009","66 and older","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2009","66 and older","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2009","16-34 y.","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2009","66 and older","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2009","16-34 y.","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2009","35-65 y.","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2009","35-65 y.","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2009","35-65 y.","Single parent ","","","","","3"
"3 on scale 1-7 ","2009","35-65 y.","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2009","35-65 y.","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2009","35-65 y.","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2009","16-34 y.","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2009","16-34 y.","Single parent ","","","","","3"
"3 on scale 1-7 ","2009","16-34 y.","Couple + C. LE 16 ","","","","","3"
"4 on scale 1-7","2009","66 and older","Single parent ","","","","","4"
"4 on scale 1-7","2009","66 and older","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2009","66 and older","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2009","35-65 y.","1-pers.-HH","","","","","4"
"4 on scale 1-7","2009","35-65 y.","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2009","66 and older","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2009","16-34 y.","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2009","35-65 y.","Single parent ","","","","","4"
"4 on scale 1-7","2009","35-65 y.","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2009","66 and older","1-pers.-HH","","","","","4"
"4 on scale 1-7","2009","66 and older","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2009","16-34 y.","1-pers.-HH","","","","","4"
"4 on scale 1-7","2009","16-34 y.","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2009","16-34 y.","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2009","35-65 y.","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2009","35-65 y.","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2009","16-34 y.","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2009","16-34 y.","Single parent ","","","","","4"
"5 on scale 1-7","2009","66 and older","Single parent ","","","","","5"
"5 on scale 1-7","2009","66 and older","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2009","66 and older","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2009","35-65 y.","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2009","66 and older","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2009","66 and older","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2009","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2009","35-65 y.","1-pers.-HH","","","","","5"
"5 on scale 1-7","2009","35-65 y.","Single parent ","","","","","5"
"5 on scale 1-7","2009","35-65 y.","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2009","35-65 y.","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2009","66 and older","1-pers.-HH","","","","","5"
"5 on scale 1-7","2009","16-34 y.","1-pers.-HH","","","","","5"
"5 on scale 1-7","2009","16-34 y.","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2009","16-34 y.","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2009","35-65 y.","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2009","16-34 y.","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2009","16-34 y.","Single parent ","","","","","5"
"6 on scale 1-7","2009","66 and older","Single parent ","","","","","6"
"6 on scale 1-7","2009","66 and older","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2009","66 and older","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2009","66 and older","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2009","66 and older","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2009","16-34 y.","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2009","35-65 y.","1-pers.-HH","","","","","6"
"6 on scale 1-7","2009","35-65 y.","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2009","35-65 y.","Single parent ","","","","","6"
"6 on scale 1-7","2009","35-65 y.","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2009","35-65 y.","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2009","35-65 y.","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2009","66 and older","1-pers.-HH","","","","","6"
"6 on scale 1-7","2009","16-34 y.","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2009","16-34 y.","1-pers.-HH","","","","","6"
"6 on scale 1-7","2009","16-34 y.","Single parent ","","","","","6"
"6 on scale 1-7","2009","16-34 y.","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2009","16-34 y.","Couple + C. LE 16 ","","","","","6"
"7 Strongly agree","2009","66 and older","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2009","66 and older","Single parent ","","","","","7"
"7 Strongly agree","2009","66 and older","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2009","66 and older","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2009","16-34 y.","1-pers.-HH","","","","","7"
"7 Strongly agree","2009","16-34 y.","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2009","16-34 y.","Single parent ","","","","","7"
"7 Strongly agree","2009","16-34 y.","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2009","16-34 y.","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2009","16-34 y.","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2009","35-65 y.","1-pers.-HH","","","","","7"
"7 Strongly agree","2009","35-65 y.","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2009","35-65 y.","Single parent ","","","","","7"
"7 Strongly agree","2009","35-65 y.","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2009","35-65 y.","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2009","35-65 y.","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2009","66 and older","1-pers.-HH","","","","","7"
"7 Strongly agree","2009","66 and older","(Married) couple without C. ","","","","","7"
"1 Strongly disagree","2010","66 and older","Single parent ","","","","","1"
"1 Strongly disagree","2010","66 and older","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2010","66 and older","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2010","66 and older","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2010","16-34 y.","Couple + C. GT 16 ","3","","","","1"
"1 Strongly disagree","2010","16-34 y.","Couple + C. LE and GT 16","1","","","","1"
"1 Strongly disagree","2010","35-65 y.","1-pers.-HH","6","","","","1"
"1 Strongly disagree","2010","35-65 y.","(Married) couple without C. ","6","","","","1"
"1 Strongly disagree","2010","35-65 y.","Single parent ","2","","","","1"
"1 Strongly disagree","2010","35-65 y.","Couple + C. LE 16 ","4","","","","1"
"1 Strongly disagree","2010","35-65 y.","Couple + C. GT 16 ","4","","","","1"
"1 Strongly disagree","2010","35-65 y.","Couple + C. LE and GT 16","1","","","","1"
"1 Strongly disagree","2010","66 and older","1-pers.-HH","4","","","","1"
"1 Strongly disagree","2010","66 and older","(Married) couple without C. ","6","","","","1"
"1 Strongly disagree","2010","16-34 y.","1-pers.-HH","1","","","","1"
"1 Strongly disagree","2010","16-34 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2010","16-34 y.","Single parent ","2","","","","1"
"1 Strongly disagree","2010","16-34 y.","Couple + C. LE 16 ","4","","","","1"
"2 on scale 1-7 ","2010","66 and older","Single parent ","","","","","2"
"2 on scale 1-7 ","2010","66 and older","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2010","35-65 y.","1-pers.-HH","4","","","","2"
"2 on scale 1-7 ","2010","35-65 y.","(Married) couple without C. ","11","","","","2"
"2 on scale 1-7 ","2010","35-65 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2010","35-65 y.","Couple + C. LE 16 ","4","","","","2"
"2 on scale 1-7 ","2010","66 and older","(Married) couple without C. ","7","","","","2"
"2 on scale 1-7 ","2010","66 and older","Couple + C. GT 16 ","1","","","","2"
"2 on scale 1-7 ","2010","66 and older","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2010","16-34 y.","Couple + C. GT 16 ","2","","","","2"
"2 on scale 1-7 ","2010","16-34 y.","Couple + C. LE and GT 16","5","","","","2"
"2 on scale 1-7 ","2010","35-65 y.","Couple + C. LE and GT 16","2","","","","2"
"2 on scale 1-7 ","2010","66 and older","1-pers.-HH","7","","","","2"
"2 on scale 1-7 ","2010","16-34 y.","Couple + C. LE 16 ","3","","","","2"
"2 on scale 1-7 ","2010","35-65 y.","Couple + C. GT 16 ","3","","","","2"
"2 on scale 1-7 ","2010","16-34 y.","Single parent ","1","","","","2"
"2 on scale 1-7 ","2010","16-34 y.","1-pers.-HH","3","","","","2"
"2 on scale 1-7 ","2010","16-34 y.","(Married) couple without C. ","","","","","2"
"3 on scale 1-7 ","2010","16-34 y.","Couple + C. GT 16 ","6","","","","3"
"3 on scale 1-7 ","2010","16-34 y.","Couple + C. LE and GT 16","1","","","","3"
"3 on scale 1-7 ","2010","66 and older","Single parent ","1","","","","3"
"3 on scale 1-7 ","2010","66 and older","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2010","35-65 y.","Single parent ","5","","","","3"
"3 on scale 1-7 ","2010","66 and older","(Married) couple without C. ","17","","","","3"
"3 on scale 1-7 ","2010","66 and older","Couple + C. GT 16 ","2","","","","3"
"3 on scale 1-7 ","2010","66 and older","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2010","16-34 y.","1-pers.-HH","1","","","","3"
"3 on scale 1-7 ","2010","35-65 y.","1-pers.-HH","2","","","","3"
"3 on scale 1-7 ","2010","35-65 y.","(Married) couple without C. ","21","","","","3"
"3 on scale 1-7 ","2010","35-65 y.","Couple + C. LE 16 ","12","","","","3"
"3 on scale 1-7 ","2010","35-65 y.","Couple + C. GT 16 ","17","","","","3"
"3 on scale 1-7 ","2010","35-65 y.","Couple + C. LE and GT 16","3","","","","3"
"3 on scale 1-7 ","2010","66 and older","1-pers.-HH","6","","","","3"
"3 on scale 1-7 ","2010","16-34 y.","(Married) couple without C. ","4","","","","3"
