"plb0196_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"No","2009","lower secondary degree","Female","152","0.358219988038419","0.313469600844816","0.402970375232021"
"No","2009","secondary school degree","Male","328","0.292572138961781","0.265904488593419","0.319239789330142"
"No","2009","secondary school degree","Female","380","0.32503348022493","0.298729006852962","0.351337953596898"
"No","2009","college entrance qualification","Male","231","0.191486474675733","0.168349649866394","0.214623299485072"
"No","2009","college entrance qualification","Female","257","0.242398161587058","0.215903996938107","0.26889232623601"
"No","2009","Other degree","Male","34","0.334962253121544","0.238518242990717","0.431406263252371"
"No","2009","Other degree","Female","29","","",""
"No","2009","no degree/no degree yet","Male","7","","",""
"No","2009","no degree/no degree yet","Female","3","","",""
"Yes","2010","lower secondary degree","Male","727","0.641977820166077","0.613975509216464","0.66998013111569"
"Yes","2010","lower secondary degree","Female","316","0.602574537053416","0.561376010872522","0.64377306323431"
"Yes","2010","secondary school degree","Male","1048","0.663849822965166","0.640117384753353","0.687582261176979"
"Yes","2010","secondary school degree","Female","1099","0.659593676464434","0.636625513348227","0.682561839580642"
"Yes","2010","college entrance qualification","Male","1204","0.778529993942789","0.757864902784598","0.799195085100979"
"Yes","2010","college entrance qualification","Female","986","0.702315550873487","0.678226246319151","0.726404855427822"
"Yes","2010","Other degree","Male","172","0.701174122757706","0.645210789884325","0.757137455631088"
"Yes","2010","Other degree","Female","91","0.605957314899333","0.524430364205011","0.687484265593654"
"Yes","2010","no degree/no degree yet","Male","25","","",""
"Yes","2010","no degree/no degree yet","Female","9","","",""
"No","2010","lower secondary degree","Male","399","0.358022179833923","0.33001986888431","0.386024490783536"
"No","2010","lower secondary degree","Female","226","0.397425462946584","0.35622693676569","0.438623989127478"
"No","2010","secondary school degree","Male","474","0.336150177034834","0.312417738823021","0.359882615246647"
"No","2010","secondary school degree","Female","536","0.340406323535566","0.317438160419358","0.363374486651773"
"No","2010","college entrance qualification","Male","347","0.221470006057211","0.20080491489902","0.242135097215402"
"No","2010","college entrance qualification","Female","398","0.297684449126513","0.273595144572178","0.321773753680849"
"No","2010","Other degree","Male","85","0.298825877242294","0.242862544368913","0.354789210115675"
"No","2010","Other degree","Female","47","0.394042685100667","0.312515734406346","0.475569635794989"
"No","2010","no degree/no degree yet","Male","14","","",""
"No","2010","no degree/no degree yet","Female","6","","",""
"Yes","2011","lower secondary degree","Male","892","0.694517149221371","0.669094227976657","0.719940070466085"
"Yes","2011","lower secondary degree","Female","445","0.608465433870439","0.572177795981198","0.644753071759681"
"Yes","2011","secondary school degree","Male","1334","0.768540423342998","0.748913952288243","0.788166894397753"
"Yes","2011","secondary school degree","Female","1452","0.732794738106156","0.71356442785784","0.752025048354471"
"Yes","2011","college entrance qualification","Male","1468","0.808210905206269","0.790088180359466","0.826333630053072"
"Yes","2011","college entrance qualification","Female","1296","0.747460066793915","0.726861543452175","0.768058590135655"
"Yes","2011","Other degree","Male","219","0.711130951397891","0.6604313903231","0.761830512472682"
"Yes","2011","Other degree","Female","128","0.706131326282811","0.641358823800361","0.77090382876526"
"Yes","2011","no degree/no degree yet","Male","44","0.759557865060045","0.654858553905482","0.864257176214608"
"Yes","2011","no degree/no degree yet","Female","19","","",""
"No","2011","lower secondary degree","Male","369","0.305482850778629","0.280059929533915","0.330905772023343"
"No","2011","lower secondary degree","Female","250","0.391534566129561","0.355246928240319","0.427822204018802"
"No","2011","secondary school degree","Male","440","0.231459576657002","0.211833105602247","0.251086047711757"
"No","2011","secondary school degree","Female","582","0.267205261893844","0.247974951645529","0.28643557214216"
"No","2011","college entrance qualification","Male","345","0.191789094793731","0.173666369946928","0.209911819640534"
"No","2011","college entrance qualification","Female","413","0.252539933206085","0.231941409864345","0.273138456547825"
"No","2011","Other degree","Male","88","0.288869048602109","0.238169487527318","0.3395686096769"
"No","2011","Other degree","Female","62","0.293868673717189","0.22909617123474","0.358641176199639"
"No","2011","no degree/no degree yet","Male","20","","",""
"No","2011","no degree/no degree yet","Female","1","","",""
"Yes","2012","lower secondary degree","Male","876","0.650922290660715","0.625030133784217","0.676814447537214"
"Yes","2012","lower secondary degree","Female","454","0.622264865459843","0.586802540911698","0.657727190007988"
"Yes","2012","secondary school degree","Male","1265","0.732558334696732","0.711778837324887","0.753337832068577"
"Yes","2012","secondary school degree","Female","1441","0.698639832946796","0.678920781541351","0.71835888435224"
"Yes","2012","college entrance qualification","Male","1451","0.795885850745935","0.777338093756172","0.814433607735698"
"Yes","2012","college entrance qualification","Female","1352","0.75366418950287","0.733917515618922","0.773410863386817"
"Yes","2012","Other degree","Male","215","0.674937231551682","0.622370196862063","0.727504266241302"
"Yes","2012","Other degree","Female","145","0.646054549300172","0.583847740274274","0.708261358326071"
"Yes","2012","no degree/no degree yet","Male","47","0.729844972888225","0.629351166435102","0.830338779341347"
"Yes","2012","no degree/no degree yet","Female","16","","",""
"No","2012","lower secondary degree","Male","426","0.349077709339284","0.323185552462786","0.374969866215783"
"No","2012","lower secondary degree","Female","264","0.377735134540157","0.342272809992012","0.413197459088302"
"No","2012","secondary school degree","Male","478","0.267441665303268","0.246662167931423","0.288221162675113"
"No","2012","secondary school degree","Female","639","0.301360167053204","0.28164111564776","0.321079218458649"
"No","2012","college entrance qualification","Male","363","0.204114149254065","0.185566392264302","0.222661906243828"
"No","2012","college entrance qualification","Female","477","0.24633581049713","0.226589136613183","0.266082484381078"
"No","2012","Other degree","Male","90","0.325062768448318","0.272495733758698","0.377629803137937"
"No","2012","Other degree","Female","82","0.353945450699828","0.291738641673929","0.416152259725726"
"No","2012","no degree/no degree yet","Male","28","","",""
"No","2012","no degree/no degree yet","Female","13","","",""
"Yes","2013","lower secondary degree","Male","917","0.696378347944155","0.671266471913965","0.721490223974345"
"Yes","2013","lower secondary degree","Female","448","0.656760716361645","0.621179391281673","0.692342041441617"
"Yes","2013","secondary school degree","Male","1240","0.727088300143504","0.705856787209355","0.748319813077652"
"Yes","2013","secondary school degree","Female","1440","0.718712695477207","0.699090487894114","0.7383349030603"
"Yes","2013","college entrance qualification","Male","1428","0.778344467693133","0.759225061580478","0.797463873805788"
"Yes","2013","college entrance qualification","Female","1333","0.756706377839739","0.736895680774986","0.776517074904492"
"Yes","2013","Other degree","Male","521","0.652757742613197","0.619130207890925","0.686385277335469"
"Yes","2013","Other degree","Female","389","0.673122350760901","0.634132613023466","0.712112088498337"
"Yes","2013","no degree/no degree yet","Male","47","0.6532110274461","0.547587617752286","0.758834437139914"
"Yes","2013","no degree/no degree yet","Female","43","0.671242455796514","0.553356859082867","0.789128052510161"
"No","2013","lower secondary degree","Male","371","0.303621652055845","0.278509776025655","0.328733528086034"
"No","2013","lower secondary degree","Female","236","0.343239283638355","0.307657958558383","0.378820608718327"
"No","2013","secondary school degree","Male","451","0.272911699856496","0.251680186922348","0.294143212790645"
"No","2013","secondary school degree","Female","577","0.281287304522793","0.2616650969397","0.300909512105886"
"No","2013","college entrance qualification","Male","385","0.221655532306867","0.202536126194212","0.240774938419522"
"No","2013","college entrance qualification","Female","469","0.243293622160261","0.223482925095508","0.263104319225014"
"No","2013","Other degree","Male","249","0.347242257386803","0.313614722664531","0.380869792109075"
"No","2013","Other degree","Female","167","0.326877649239099","0.287887911501663","0.365867386976534"
"No","2013","no degree/no degree yet","Male","31","0.3467889725539","0.241165562860086","0.452412382247714"
"No","2013","no degree/no degree yet","Female","18","","",""
"Yes","2014","lower secondary degree","Male","786","0.662927197116885","0.635080797256645","0.690773596977125"
"Yes","2014","lower secondary degree","Female","420","0.655261148409547","0.619083223633345","0.69143907318575"
"Yes","2014","secondary school degree","Male","1133","0.728532882655658","0.70625655020672","0.750809215104596"
"Yes","2014","secondary school degree","Female","1281","0.723200452981558","0.702706961708756","0.743693944254361"
"Yes","2014","college entrance qualification","Male","1309","0.797461989065429","0.778157903309366","0.816766074821492"
"Yes","2014","college entrance qualification","Female","1281","0.747607223467635","0.727382088086105","0.767832358849165"
"Yes","2014","Other degree","Male","435","0.74229536794249","0.707386246218387","0.777204489666593"
"Yes","2014","Other degree","Female","283","0.694043977098677","0.650438359362238","0.737649594835116"
"Yes","2014","no degree/no degree yet","Male","42","0.823846764501613","0.724071563816176","0.923621965187051"
"Yes","2014","no degree/no degree yet","Female","25","","",""
"No","2014","lower secondary degree","Male","321","0.337072802883115","0.309226403022875","0.364919202743355"
"No","2014","lower secondary degree","Female","243","0.344738851590453","0.30856092681425","0.380916776366655"
"No","2014","secondary school degree","Male","398","0.271467117344342","0.249190784895404","0.293743449793281"
"No","2014","secondary school degree","Female","550","0.276799547018442","0.256306055745639","0.297293038291244"
"No","2014","college entrance qualification","Male","356","0.202538010934571","0.183233925178508","0.221842096690634"
"No","2014","college entrance qualification","Female","491","0.252392776532365","0.232167641150835","0.272617911913895"
"No","2014","Other degree","Male","168","0.25770463205751","0.222795510333407","0.292613753781613"
"No","2014","Other degree","Female","146","0.305956022901323","0.262350405164884","0.349561640637762"
"No","2014","no degree/no degree yet","Male","14","","",""
"No","2014","no degree/no degree yet","Female","17","","",""
"Yes","2015","lower secondary degree","Male","744","0.711030969911158","0.682823627936493","0.739238311885824"
"Yes","2015","lower secondary degree","Female","395","0.734548345962987","0.698137834666877","0.770958857259096"
"Yes","2015","secondary school degree","Male","1035","0.7487497991681","0.725964746246886","0.771534852089314"
"Yes","2015","secondary school degree","Female","1315","0.775708683965279","0.75600201541773","0.795415352512827"
"Yes","2015","college entrance qualification","Male","1320","0.808398153836428","0.78913205290931","0.827664254763546"
"Yes","2015","college entrance qualification","Female","1265","0.78030248221071","0.75999576587281","0.800609198548609"
"Yes","2015","Other degree","Male","534","0.714433179393415","0.681689756024561","0.747176602762269"
"Yes","2015","Other degree","Female","374","0.707958793954435","0.669174384173029","0.746743203735841"
"Yes","2015","no degree/no degree yet","Male","47","0.791925942023173","0.693993321264835","0.889858562781511"
"Yes","2015","no degree/no degree yet","Female","23","","",""
"No","2015","lower secondary degree","Male","248","0.288969030088842","0.260761688114176","0.317176372063507"
"No","2015","lower secondary degree","Female","170","0.265451654037013","0.229041142740904","0.301862165333123"
"No","2015","secondary school degree","Male","357","0.2512502008319","0.228465147910686","0.274035253753114"
"No","2015","secondary school degree","Female","406","0.224291316034721","0.204584647487173","0.243997984582269"
"No","2015","college entrance qualification","Male","283","0.191601846163573","0.172335745236455","0.21086794709069"
"No","2015","college entrance qualification","Female","332","0.21969751778929","0.199390801451391","0.24000423412719"
"No","2015","Other degree","Male","197","0.285566820606585","0.252823397237731","0.318310243975439"
"No","2015","Other degree","Female","154","0.292041206045565","0.253256796264159","0.330825615826971"
"No","2015","no degree/no degree yet","Male","19","","",""
"No","2015","no degree/no degree yet","Female","16","","",""
"Yes","2016","lower secondary degree","Male","688","0.702496198125747","0.672971427994078","0.732020968257416"
"Yes","2016","lower secondary degree","Female","388","0.706483067321469","0.668665990807894","0.744300143835045"
"Yes","2016","secondary school degree","Male","999","0.763361472398299","0.740248736267934","0.786474208528664"
"Yes","2016","secondary school degree","Female","1208","0.75443061679122","0.733649626019219","0.77521160756322"
"Yes","2016","college entrance qualification","Male","1250","0.832925824516839","0.814172247168901","0.851679401864777"
"Yes","2016","college entrance qualification","Female","1315","0.782428016568147","0.762710202039738","0.802145831096556"
"Yes","2016","Other degree","Male","426","0.709627826867153","0.672780445464807","0.7464752082695"
"Yes","2016","Other degree","Female","333","0.722756135879775","0.681937924673157","0.763574347086394"
"Yes","2016","no degree/no degree yet","Male","41","0.605171992633755","0.481487329040595","0.728856656226915"
"Yes","2016","no degree/no degree yet","Female","27","","",""
"No","2016","lower secondary degree","Male","233","0.297503801874253","0.267979031742584","0.327028572005922"
"No","2016","lower secondary degree","Female","169","0.293516932678531","0.255699856164955","0.331334009192106"
"No","2016","secondary school degree","Male","300","0.236638527601701","0.213525791471336","0.259751263732066"
"No","2016","secondary school degree","Female","440","0.24556938320878","0.22478839243678","0.266350373980781"
"No","2016","college entrance qualification","Male","270","0.167074175483161","0.148320598135223","0.185827752831099"
"No","2016","college entrance qualification","Female","367","0.217571983431853","0.197854168903444","0.237289797960262"
"No","2016","Other degree","Male","157","0.290372173132847","0.2535247917305","0.327219554535193"
"No","2016","Other degree","Female","129","0.277243864120224","0.236425652913606","0.318062075326843"
"No","2016","no degree/no degree yet","Male","19","","",""
"No","2016","no degree/no degree yet","Female","12","","",""
"Yes","2017","lower secondary degree","Male","712","0.72252388104032","0.694360980280398","0.750686781800243"
"Yes","2017","lower secondary degree","Female","382","0.657341792292257","0.618448360208427","0.696235224376087"
"Yes","2017","secondary school degree","Male","1090","0.779301841387004","0.757829608845863","0.800774073928146"
"Yes","2017","secondary school degree","Female","1336","0.760439664660644","0.740645043211885","0.780234286109403"
"Yes","2017","college entrance qualification","Male","1402","0.803733485018497","0.784958081081119","0.822508888955874"
"Yes","2017","college entrance qualification","Female","1444","0.783651715223597","0.764929229475935","0.802374200971259"
"Yes","2017","Other degree","Male","456","0.747598022755177","0.713487803099221","0.781708242411133"
"Yes","2017","Other degree","Female","291","0.68975235292962","0.644643866811084","0.734860839048156"
"Yes","2017","no degree/no degree yet","Male","57","0.553640491882102","0.450937486050997","0.656343497713208"
"Yes","2017","no degree/no degree yet","Female","26","","",""
"No","2017","lower secondary degree","Male","259","0.27747611895968","0.249313218199757","0.305639019719603"
"No","2017","lower secondary degree","Female","190","0.342658207707743","0.303764775623913","0.381551639791573"
"No","2017","secondary school degree","Male","343","0.220698158612996","0.199225926071854","0.242170391154137"
"No","2017","secondary school degree","Female","450","0.239560335339356","0.219765713890597","0.259354956788115"
"No","2017","college entrance qualification","Male","317","0.196266514981503","0.177491111044126","0.215041918918881"
"No","2017","college entrance qualification","Female","414","0.216348284776403","0.197625799028741","0.235070770524065"
"No","2017","Other degree","Male","167","0.252401977244823","0.218291757588867","0.286512196900779"
"No","2017","Other degree","Female","113","0.31024764707038","0.265139160951844","0.355356133188916"
"No","2017","no degree/no degree yet","Male","33","0.446359508117898","0.343656502286792","0.549062513949003"
"No","2017","no degree/no degree yet","Female","16","","",""
"Yes","2018","lower secondary degree","Male","685","0.723639289064353","0.695217130872496","0.75206144725621"
"Yes","2018","lower secondary degree","Female","399","0.69242808406753","0.655563399570006","0.729292768565054"
"Yes","2018","secondary school degree","Male","1079","0.777254690478855","0.755696404251184","0.798812976706525"
"Yes","2018","secondary school degree","Female","1287","0.732601527516558","0.712086235424631","0.753116819608485"
"Yes","2018","college entrance qualification","Male","1354","0.792789792348456","0.773767649069672","0.81181193562724"
"Yes","2018","college entrance qualification","Female","1427","0.748013255654753","0.728476253680263","0.767550257629242"
"Yes","2018","Other degree","Male","501","0.715237950279324","0.682227442943155","0.748248457615493"
"Yes","2018","Other degree","Female","303","0.706628956982136","0.664930528311708","0.748327385652564"
"Yes","2018","no degree/no degree yet","Male","83","0.632118115881552","0.548577739862944","0.715658491900159"
"Yes","2018","no degree/no degree yet","Female","25","","",""
"No","2018","lower secondary degree","Male","266","0.276360710935647","0.24793855274379","0.304782869127504"
"No","2018","lower secondary degree","Female","203","0.30757191593247","0.270707231434946","0.344436600429994"
"No","2018","secondary school degree","Male","352","0.222745309521145","0.201187023293475","0.244303595748816"
"No","2018","secondary school degree","Female","501","0.267398472483442","0.246883180391515","0.287913764575369"
"No","2018","college entrance qualification","Male","390","0.207210207651544","0.18818806437276","0.226232350930328"
"No","2018","college entrance qualification","Female","470","0.251986744345247","0.232449742370758","0.271523746319737"
"No","2018","Other degree","Male","217","0.284762049720676","0.251751542384507","0.317772557056845"
"No","2018","Other degree","Female","155","0.293371043017864","0.251672614347436","0.335069471688292"
"No","2018","no degree/no degree yet","Male","45","0.367881884118448","0.284341508099841","0.451422260137056"
"No","2018","no degree/no degree yet","Female","10","","",""
"Yes","2019","lower secondary degree","Male","583","0.730392836704556","0.699546152115242","0.76123952129387"
"Yes","2019","lower secondary degree","Female","340","0.726791057128227","0.687336034765539","0.766246079490915"
"Yes","2019","secondary school degree","Male","999","0.765213590268461","0.742119079452756","0.788308101084166"
"Yes","2019","secondary school degree","Female","1207","0.763505641563219","0.742845279591674","0.784166003534763"
"Yes","2019","college entrance qualification","Male","1339","0.786777405141654","0.7672267255791","0.806328084704208"
"Yes","2019","college entrance qualification","Female","1418","0.788911096555617","0.770270151298513","0.807552041812721"
"Yes","2019","Other degree","Male","426","0.761328590978341","0.726903371962865","0.795753809993816"
"Yes","2019","Other degree","Female","275","0.72496694536145","0.679344797198838","0.770589093524062"
"Yes","2019","no degree/no degree yet","Male","97","0.75631770084758","0.685457454333102","0.827177947362058"
"Yes","2019","no degree/no degree yet","Female","25","","",""
"No","2019","lower secondary degree","Male","212","0.269607163295444","0.23876047870613","0.300453847884758"
"No","2019","lower secondary degree","Female","150","0.273208942871773","0.233753920509085","0.312663965234461"
"No","2019","secondary school degree","Male","295","0.234786409731539","0.211691898915834","0.257880920547244"
"No","2019","secondary school degree","Female","418","0.236494358436781","0.215833996465237","0.257154720408326"
"No","2019","college entrance qualification","Male","347","0.213222594858346","0.193671915295791","0.2327732744209"
"No","2019","college entrance qualification","Female","423","0.211088903444383","0.192447958187279","0.229729848701487"
"No","2019","Other degree","Male","163","0.238671409021659","0.204246190006184","0.273096628037135"
"No","2019","Other degree","Female","93","0.275033054638549","0.229410906475937","0.320655202801161"
"No","2019","no degree/no degree yet","Male","44","0.24368229915242","0.172822052637942","0.314542545666898"
"No","2019","no degree/no degree yet","Female","12","","",""
