"plb0196_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1993","Saxony","no migration background","","","",""
"Yes","1993","Saxony","direct migration background","","","",""
"Yes","1993","Saxony","indirect migration background","","","",""
"Yes","1993","Saxony-Anhalt","no migration background","","","",""
"Yes","1993","Saxony-Anhalt","direct migration background","","","",""
"Yes","1993","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1993","Thuringia","no migration background","","","",""
"Yes","1993","Thuringia","direct migration background","","","",""
"Yes","1993","Thuringia","indirect migration background","","","",""
"No","1993","Schleswig-Holstein","no migration background","79","1","1","1"
"No","1993","Schleswig-Holstein","direct migration background","16","","",""
"No","1993","Schleswig-Holstein","indirect migration background","3","","",""
"No","1993","Hamburg","no migration background","45","1","1","1"
"No","1993","Hamburg","direct migration background","10","","",""
"No","1993","Hamburg","indirect migration background","2","","",""
"No","1993","Lower Saxony","no migration background","274","1","1","1"
"No","1993","Lower Saxony","direct migration background","63","1","1","1"
"No","1993","Lower Saxony","indirect migration background","14","","",""
"No","1993","Bremen","no migration background","18","","",""
"No","1993","Bremen","direct migration background","5","","",""
"No","1993","Bremen","indirect migration background","1","","",""
"No","1993","North Rhine-Westphalia","no migration background","656","1","1","1"
"No","1993","North Rhine-Westphalia","direct migration background","299","1","1","1"
"No","1993","North Rhine-Westphalia","indirect migration background","53","1","1","1"
"No","1993","Hesse","no migration background","206","1","1","1"
"No","1993","Hesse","direct migration background","162","1","1","1"
"No","1993","Hesse","indirect migration background","22","","",""
"No","1993","Rhineland-Palatinate,Saarland","no migration background","168","1","1","1"
"No","1993","Rhineland-Palatinate,Saarland","direct migration background","49","1","1","1"
"No","1993","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"No","1993","Baden-Württemberg","no migration background","370","1","1","1"
"No","1993","Baden-Württemberg","direct migration background","332","1","1","1"
"No","1993","Baden-Württemberg","indirect migration background","49","1","1","1"
"No","1993","Bavaria","no migration background","472","1","1","1"
"No","1993","Bavaria","direct migration background","180","1","1","1"
"No","1993","Bavaria","indirect migration background","36","1","1","1"
"No","1993","Berlin","no migration background","172","1","1","1"
"No","1993","Berlin","direct migration background","36","1","1","1"
"No","1993","Berlin","indirect migration background","7","","",""
"No","1993","Brandenburg","no migration background","229","1","1","1"
"No","1993","Brandenburg","direct migration background","2","","",""
"No","1993","Brandenburg","indirect migration background","2","","",""
"No","1993","Mecklenburg-Western Pomerania","no migration background","130","1","1","1"
"No","1993","Mecklenburg-Western Pomerania","direct migration background","2","","",""
"No","1993","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"No","1993","Saxony","no migration background","323","1","1","1"
"No","1993","Saxony","direct migration background","5","","",""
"No","1993","Saxony","indirect migration background","1","","",""
"No","1993","Saxony-Anhalt","no migration background","237","1","1","1"
"No","1993","Saxony-Anhalt","direct migration background","4","","",""
"No","1993","Saxony-Anhalt","indirect migration background","1","","",""
"No","1993","Thuringia","no migration background","216","1","1","1"
"No","1993","Thuringia","direct migration background","4","","",""
"No","1993","Thuringia","indirect migration background","","","",""
"Yes","1994","Schleswig-Holstein","no migration background","","","",""
"Yes","1994","Schleswig-Holstein","direct migration background","","","",""
"Yes","1994","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1994","Hamburg","no migration background","","","",""
"Yes","1994","Hamburg","direct migration background","","","",""
"Yes","1994","Hamburg","indirect migration background","","","",""
"Yes","1994","Lower Saxony","no migration background","","","",""
"Yes","1994","Lower Saxony","direct migration background","","","",""
"Yes","1994","Lower Saxony","indirect migration background","","","",""
"Yes","1994","Bremen","no migration background","","","",""
"Yes","1994","Bremen","direct migration background","","","",""
"Yes","1994","Bremen","indirect migration background","","","",""
"Yes","1994","North Rhine-Westphalia","no migration background","","","",""
"Yes","1994","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1994","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1994","Hesse","no migration background","","","",""
"Yes","1994","Hesse","direct migration background","","","",""
"Yes","1994","Hesse","indirect migration background","","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1994","Baden-Württemberg","no migration background","","","",""
"Yes","1994","Baden-Württemberg","direct migration background","","","",""
"Yes","1994","Baden-Württemberg","indirect migration background","","","",""
"Yes","1994","Bavaria","no migration background","","","",""
"Yes","1994","Bavaria","direct migration background","","","",""
"Yes","1994","Bavaria","indirect migration background","","","",""
"Yes","1994","Berlin","no migration background","","","",""
"Yes","1994","Berlin","direct migration background","","","",""
"Yes","1994","Berlin","indirect migration background","","","",""
"Yes","1994","Brandenburg","no migration background","","","",""
"Yes","1994","Brandenburg","direct migration background","","","",""
"Yes","1994","Brandenburg","indirect migration background","","","",""
"Yes","1994","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1994","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1994","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1994","Saxony","no migration background","","","",""
"Yes","1994","Saxony","direct migration background","","","",""
"Yes","1994","Saxony","indirect migration background","","","",""
"Yes","1994","Saxony-Anhalt","no migration background","","","",""
"Yes","1994","Saxony-Anhalt","direct migration background","","","",""
"Yes","1994","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1994","Thuringia","no migration background","","","",""
"Yes","1994","Thuringia","direct migration background","","","",""
"Yes","1994","Thuringia","indirect migration background","","","",""
"No","1994","Schleswig-Holstein","no migration background","97","1","1","1"
"No","1994","Schleswig-Holstein","direct migration background","10","","",""
"No","1994","Schleswig-Holstein","indirect migration background","2","","",""
"No","1994","Hamburg","no migration background","34","1","1","1"
"No","1994","Hamburg","direct migration background","9","","",""
"No","1994","Hamburg","indirect migration background","3","","",""
"No","1994","Lower Saxony","no migration background","274","1","1","1"
"No","1994","Lower Saxony","direct migration background","55","1","1","1"
"No","1994","Lower Saxony","indirect migration background","12","","",""
"No","1994","Bremen","no migration background","15","","",""
"No","1994","Bremen","direct migration background","5","","",""
"No","1994","Bremen","indirect migration background","1","","",""
"No","1994","North Rhine-Westphalia","no migration background","609","1","1","1"
"No","1994","North Rhine-Westphalia","direct migration background","267","1","1","1"
"No","1994","North Rhine-Westphalia","indirect migration background","54","1","1","1"
"No","1994","Hesse","no migration background","192","1","1","1"
"No","1994","Hesse","direct migration background","143","1","1","1"
"No","1994","Hesse","indirect migration background","24","","",""
"No","1994","Rhineland-Palatinate,Saarland","no migration background","162","1","1","1"
"No","1994","Rhineland-Palatinate,Saarland","direct migration background","42","1","1","1"
"No","1994","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"No","1994","Baden-Württemberg","no migration background","356","1","1","1"
"No","1994","Baden-Württemberg","direct migration background","275","1","1","1"
"No","1994","Baden-Württemberg","indirect migration background","50","1","1","1"
"No","1994","Bavaria","no migration background","435","1","1","1"
"No","1994","Bavaria","direct migration background","157","1","1","1"
"No","1994","Bavaria","indirect migration background","39","1","1","1"
"No","1994","Berlin","no migration background","149","1","1","1"
"No","1994","Berlin","direct migration background","32","1","1","1"
"No","1994","Berlin","indirect migration background","8","","",""
"No","1994","Brandenburg","no migration background","191","1","1","1"
"No","1994","Brandenburg","direct migration background","6","","",""
"No","1994","Brandenburg","indirect migration background","2","","",""
"No","1994","Mecklenburg-Western Pomerania","no migration background","130","1","1","1"
"No","1994","Mecklenburg-Western Pomerania","direct migration background","3","","",""
"No","1994","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1994","Saxony","no migration background","324","1","1","1"
"No","1994","Saxony","direct migration background","5","","",""
"No","1994","Saxony","indirect migration background","1","","",""
"No","1994","Saxony-Anhalt","no migration background","219","1","1","1"
"No","1994","Saxony-Anhalt","direct migration background","1","","",""
"No","1994","Saxony-Anhalt","indirect migration background","1","","",""
"No","1994","Thuringia","no migration background","199","1","1","1"
"No","1994","Thuringia","direct migration background","4","","",""
"No","1994","Thuringia","indirect migration background","","","",""
"Yes","1995","Schleswig-Holstein","no migration background","","","",""
"Yes","1995","Schleswig-Holstein","direct migration background","","","",""
"Yes","1995","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1995","Hamburg","no migration background","","","",""
"Yes","1995","Hamburg","direct migration background","","","",""
"Yes","1995","Hamburg","indirect migration background","","","",""
"Yes","1995","Lower Saxony","no migration background","","","",""
"Yes","1995","Lower Saxony","direct migration background","","","",""
"Yes","1995","Lower Saxony","indirect migration background","","","",""
"Yes","1995","Bremen","no migration background","","","",""
"Yes","1995","Bremen","direct migration background","","","",""
"Yes","1995","Bremen","indirect migration background","","","",""
"Yes","1995","North Rhine-Westphalia","no migration background","","","",""
"Yes","1995","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1995","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1995","Hesse","no migration background","","","",""
"Yes","1995","Hesse","direct migration background","","","",""
"Yes","1995","Hesse","indirect migration background","","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1995","Baden-Württemberg","no migration background","","","",""
"Yes","1995","Baden-Württemberg","direct migration background","","","",""
"Yes","1995","Baden-Württemberg","indirect migration background","","","",""
"Yes","1995","Bavaria","no migration background","","","",""
"Yes","1995","Bavaria","direct migration background","","","",""
"Yes","1995","Bavaria","indirect migration background","","","",""
"Yes","1995","Berlin","no migration background","","","",""
"Yes","1995","Berlin","direct migration background","","","",""
"Yes","1995","Berlin","indirect migration background","","","",""
"Yes","1995","Brandenburg","no migration background","","","",""
"Yes","1995","Brandenburg","direct migration background","","","",""
"Yes","1995","Brandenburg","indirect migration background","","","",""
"Yes","1995","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1995","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1995","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1995","Saxony","no migration background","","","",""
"Yes","1995","Saxony","direct migration background","","","",""
"Yes","1995","Saxony","indirect migration background","","","",""
"Yes","1995","Saxony-Anhalt","no migration background","","","",""
"Yes","1995","Saxony-Anhalt","direct migration background","","","",""
"Yes","1995","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1995","Thuringia","no migration background","","","",""
"Yes","1995","Thuringia","direct migration background","","","",""
"Yes","1995","Thuringia","indirect migration background","","","",""
"No","1995","Schleswig-Holstein","no migration background","75","1","1","1"
"No","1995","Schleswig-Holstein","direct migration background","13","","",""
"No","1995","Schleswig-Holstein","indirect migration background","2","","",""
"No","1995","Hamburg","no migration background","30","1","1","1"
"No","1995","Hamburg","direct migration background","10","","",""
"No","1995","Hamburg","indirect migration background","3","","",""
"No","1995","Lower Saxony","no migration background","265","1","1","1"
"No","1995","Lower Saxony","direct migration background","63","1","1","1"
"No","1995","Lower Saxony","indirect migration background","9","","",""
"No","1995","Bremen","no migration background","13","","",""
"No","1995","Bremen","direct migration background","6","","",""
"No","1995","Bremen","indirect migration background","","","",""
"No","1995","North Rhine-Westphalia","no migration background","594","1","1","1"
"No","1995","North Rhine-Westphalia","direct migration background","258","1","1","1"
"No","1995","North Rhine-Westphalia","indirect migration background","53","1","1","1"
"No","1995","Hesse","no migration background","199","1","1","1"
"No","1995","Hesse","direct migration background","146","1","1","1"
"No","1995","Hesse","indirect migration background","25","","",""
"No","1995","Rhineland-Palatinate,Saarland","no migration background","163","1","1","1"
"No","1995","Rhineland-Palatinate,Saarland","direct migration background","77","1","1","1"
"No","1995","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"No","1995","Baden-Württemberg","no migration background","337","1","1","1"
"No","1995","Baden-Württemberg","direct migration background","286","1","1","1"
"No","1995","Baden-Württemberg","indirect migration background","49","1","1","1"
"No","1995","Bavaria","no migration background","436","1","1","1"
"No","1995","Bavaria","direct migration background","161","1","1","1"
"No","1995","Bavaria","indirect migration background","41","1","1","1"
"No","1995","Berlin","no migration background","137","1","1","1"
"No","1995","Berlin","direct migration background","36","1","1","1"
"No","1995","Berlin","indirect migration background","5","","",""
"No","1995","Brandenburg","no migration background","211","1","1","1"
"No","1995","Brandenburg","direct migration background","3","","",""
"No","1995","Brandenburg","indirect migration background","1","","",""
"No","1995","Mecklenburg-Western Pomerania","no migration background","130","1","1","1"
"No","1995","Mecklenburg-Western Pomerania","direct migration background","4","","",""
"No","1995","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"No","1995","Saxony","no migration background","308","1","1","1"
"No","1995","Saxony","direct migration background","7","","",""
"No","1995","Saxony","indirect migration background","","","",""
"No","1995","Saxony-Anhalt","no migration background","230","1","1","1"
"No","1995","Saxony-Anhalt","direct migration background","3","","",""
"No","1995","Saxony-Anhalt","indirect migration background","","","",""
"No","1995","Thuringia","no migration background","198","1","1","1"
"No","1995","Thuringia","direct migration background","5","","",""
"No","1995","Thuringia","indirect migration background","","","",""
"Yes","1996","Schleswig-Holstein","no migration background","","","",""
"Yes","1996","Schleswig-Holstein","direct migration background","","","",""
"Yes","1996","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1996","Hamburg","no migration background","","","",""
"Yes","1996","Hamburg","direct migration background","","","",""
"Yes","1996","Hamburg","indirect migration background","","","",""
"Yes","1996","Lower Saxony","no migration background","","","",""
"Yes","1996","Lower Saxony","direct migration background","","","",""
"Yes","1996","Lower Saxony","indirect migration background","","","",""
"Yes","1996","Bremen","no migration background","","","",""
"Yes","1996","Bremen","direct migration background","","","",""
"Yes","1996","Bremen","indirect migration background","","","",""
"Yes","1996","North Rhine-Westphalia","no migration background","","","",""
"Yes","1996","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1996","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1996","Hesse","no migration background","","","",""
"Yes","1996","Hesse","direct migration background","","","",""
"Yes","1996","Hesse","indirect migration background","","","",""
"Yes","1996","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1996","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1996","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1996","Baden-Württemberg","no migration background","","","",""
"Yes","1996","Baden-Württemberg","direct migration background","","","",""
"Yes","1996","Baden-Württemberg","indirect migration background","","","",""
"Yes","1996","Bavaria","no migration background","","","",""
"Yes","1996","Bavaria","direct migration background","","","",""
"Yes","1996","Bavaria","indirect migration background","","","",""
"Yes","1996","Berlin","no migration background","","","",""
"Yes","1996","Berlin","direct migration background","","","",""
"Yes","1996","Berlin","indirect migration background","","","",""
"Yes","1996","Brandenburg","no migration background","","","",""
"Yes","1996","Brandenburg","direct migration background","","","",""
"Yes","1996","Brandenburg","indirect migration background","","","",""
"Yes","1996","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1996","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1996","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1996","Saxony","no migration background","","","",""
"Yes","1996","Saxony","direct migration background","","","",""
"Yes","1996","Saxony","indirect migration background","","","",""
"Yes","1996","Saxony-Anhalt","no migration background","","","",""
"Yes","1996","Saxony-Anhalt","direct migration background","","","",""
"Yes","1996","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1996","Thuringia","no migration background","","","",""
"Yes","1996","Thuringia","direct migration background","","","",""
"Yes","1996","Thuringia","indirect migration background","","","",""
"No","1996","Schleswig-Holstein","no migration background","83","1","1","1"
"No","1996","Schleswig-Holstein","direct migration background","13","","",""
"No","1996","Schleswig-Holstein","indirect migration background","3","","",""
"No","1996","Hamburg","no migration background","31","1","1","1"
"No","1996","Hamburg","direct migration background","11","","",""
"No","1996","Hamburg","indirect migration background","4","","",""
"No","1996","Lower Saxony","no migration background","269","1","1","1"
"No","1996","Lower Saxony","direct migration background","67","1","1","1"
"No","1996","Lower Saxony","indirect migration background","9","","",""
"No","1996","Bremen","no migration background","16","","",""
"No","1996","Bremen","direct migration background","5","","",""
"No","1996","Bremen","indirect migration background","1","","",""
"No","1996","North Rhine-Westphalia","no migration background","614","1","1","1"
"No","1996","North Rhine-Westphalia","direct migration background","232","1","1","1"
"No","1996","North Rhine-Westphalia","indirect migration background","56","1","1","1"
"No","1996","Hesse","no migration background","195","1","1","1"
"No","1996","Hesse","direct migration background","121","1","1","1"
"No","1996","Hesse","indirect migration background","21","","",""
"No","1996","Rhineland-Palatinate,Saarland","no migration background","155","1","1","1"
"No","1996","Rhineland-Palatinate,Saarland","direct migration background","82","1","1","1"
"No","1996","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"No","1996","Baden-Württemberg","no migration background","315","1","1","1"
"No","1996","Baden-Württemberg","direct migration background","249","1","1","1"
"No","1996","Baden-Württemberg","indirect migration background","54","1","1","1"
"No","1996","Bavaria","no migration background","404","1","1","1"
"No","1996","Bavaria","direct migration background","160","1","1","1"
"No","1996","Bavaria","indirect migration background","33","1","1","1"
"No","1996","Berlin","no migration background","139","1","1","1"
"No","1996","Berlin","direct migration background","29","","",""
"No","1996","Berlin","indirect migration background","4","","",""
"No","1996","Brandenburg","no migration background","197","1","1","1"
"No","1996","Brandenburg","direct migration background","","","",""
"No","1996","Brandenburg","indirect migration background","4","","",""
"No","1996","Mecklenburg-Western Pomerania","no migration background","128","1","1","1"
"No","1996","Mecklenburg-Western Pomerania","direct migration background","3","","",""
"No","1996","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1996","Saxony","no migration background","323","1","1","1"
"No","1996","Saxony","direct migration background","7","","",""
"No","1996","Saxony","indirect migration background","3","","",""
"No","1996","Saxony-Anhalt","no migration background","215","1","1","1"
"No","1996","Saxony-Anhalt","direct migration background","8","","",""
"No","1996","Saxony-Anhalt","indirect migration background","","","",""
"No","1996","Thuringia","no migration background","191","1","1","1"
"No","1996","Thuringia","direct migration background","2","","",""
"No","1996","Thuringia","indirect migration background","2","","",""
"Yes","1997","Schleswig-Holstein","no migration background","","","",""
"Yes","1997","Schleswig-Holstein","direct migration background","","","",""
"Yes","1997","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1997","Hamburg","no migration background","","","",""
"Yes","1997","Hamburg","direct migration background","","","",""
"Yes","1997","Hamburg","indirect migration background","","","",""
"Yes","1997","Lower Saxony","no migration background","","","",""
"Yes","1997","Lower Saxony","direct migration background","","","",""
"Yes","1997","Lower Saxony","indirect migration background","","","",""
"Yes","1997","Bremen","no migration background","","","",""
"Yes","1997","Bremen","direct migration background","","","",""
"Yes","1997","Bremen","indirect migration background","","","",""
"Yes","1997","North Rhine-Westphalia","no migration background","","","",""
"Yes","1997","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1997","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1997","Hesse","no migration background","","","",""
"Yes","1997","Hesse","direct migration background","","","",""
"Yes","1997","Hesse","indirect migration background","","","",""
"Yes","1997","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1997","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1997","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1997","Baden-Württemberg","no migration background","","","",""
"Yes","1997","Baden-Württemberg","direct migration background","","","",""
"Yes","1997","Baden-Württemberg","indirect migration background","","","",""
"Yes","1997","Bavaria","no migration background","","","",""
"Yes","1997","Bavaria","direct migration background","","","",""
"Yes","1997","Bavaria","indirect migration background","","","",""
"Yes","1997","Berlin","no migration background","","","",""
"Yes","1997","Berlin","direct migration background","","","",""
"Yes","1997","Berlin","indirect migration background","","","",""
"Yes","1997","Brandenburg","no migration background","","","",""
"Yes","1997","Brandenburg","direct migration background","","","",""
"Yes","1997","Brandenburg","indirect migration background","","","",""
"Yes","1997","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1997","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1997","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1997","Saxony","no migration background","","","",""
"Yes","1997","Saxony","direct migration background","","","",""
"Yes","1997","Saxony","indirect migration background","","","",""
"Yes","1997","Saxony-Anhalt","no migration background","","","",""
"Yes","1997","Saxony-Anhalt","direct migration background","","","",""
"Yes","1997","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1997","Thuringia","no migration background","","","",""
"Yes","1997","Thuringia","direct migration background","","","",""
"Yes","1997","Thuringia","indirect migration background","","","",""
"No","1997","Schleswig-Holstein","no migration background","33","1","1","1"
"No","1997","Schleswig-Holstein","direct migration background","3","","",""
"No","1997","Schleswig-Holstein","indirect migration background","1","","",""
"No","1997","Hamburg","no migration background","13","","",""
"No","1997","Hamburg","direct migration background","4","","",""
"No","1997","Hamburg","indirect migration background","1","","",""
"No","1997","Lower Saxony","no migration background","97","1","1","1"
"No","1997","Lower Saxony","direct migration background","19","","",""
"No","1997","Lower Saxony","indirect migration background","4","","",""
"No","1997","Bremen","no migration background","7","","",""
"No","1997","Bremen","direct migration background","4","","",""
"No","1997","Bremen","indirect migration background","","","",""
"No","1997","North Rhine-Westphalia","no migration background","167","1","1","1"
"No","1997","North Rhine-Westphalia","direct migration background","59","1","1","1"
"No","1997","North Rhine-Westphalia","indirect migration background","13","","",""
"No","1997","Hesse","no migration background","55","1","1","1"
"No","1997","Hesse","direct migration background","24","","",""
"No","1997","Hesse","indirect migration background","5","","",""
"No","1997","Rhineland-Palatinate,Saarland","no migration background","59","1","1","1"
"No","1997","Rhineland-Palatinate,Saarland","direct migration background","12","","",""
"No","1997","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"No","1997","Baden-Württemberg","no migration background","88","1","1","1"
"No","1997","Baden-Württemberg","direct migration background","61","1","1","1"
"No","1997","Baden-Württemberg","indirect migration background","20","","",""
"No","1997","Bavaria","no migration background","154","1","1","1"
"No","1997","Bavaria","direct migration background","42","1","1","1"
"No","1997","Bavaria","indirect migration background","18","","",""
"No","1997","Berlin","no migration background","37","1","1","1"
"No","1997","Berlin","direct migration background","6","","",""
"No","1997","Berlin","indirect migration background","1","","",""
"No","1997","Brandenburg","no migration background","79","1","1","1"
"No","1997","Brandenburg","direct migration background","1","","",""
"No","1997","Brandenburg","indirect migration background","","","",""
"No","1997","Mecklenburg-Western Pomerania","no migration background","46","1","1","1"
"No","1997","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"No","1997","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1997","Saxony","no migration background","129","1","1","1"
"No","1997","Saxony","direct migration background","2","","",""
"No","1997","Saxony","indirect migration background","1","","",""
"No","1997","Saxony-Anhalt","no migration background","85","1","1","1"
"No","1997","Saxony-Anhalt","direct migration background","","","",""
"No","1997","Saxony-Anhalt","indirect migration background","","","",""
"No","1997","Thuringia","no migration background","72","1","1","1"
"No","1997","Thuringia","direct migration background","2","","",""
"No","1997","Thuringia","indirect migration background","","","",""
"Yes","1998","Schleswig-Holstein","no migration background","","","",""
"Yes","1998","Schleswig-Holstein","direct migration background","","","",""
"Yes","1998","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1998","Hamburg","no migration background","","","",""
"Yes","1998","Hamburg","direct migration background","","","",""
"Yes","1998","Hamburg","indirect migration background","","","",""
"Yes","1998","Lower Saxony","no migration background","","","",""
"Yes","1998","Lower Saxony","direct migration background","","","",""
"Yes","1998","Lower Saxony","indirect migration background","","","",""
"Yes","1998","Bremen","no migration background","","","",""
"Yes","1998","Bremen","direct migration background","","","",""
"Yes","1998","Bremen","indirect migration background","","","",""
"Yes","1998","North Rhine-Westphalia","no migration background","","","",""
"Yes","1998","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1998","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1998","Hesse","no migration background","","","",""
"Yes","1998","Hesse","direct migration background","","","",""
"Yes","1998","Hesse","indirect migration background","","","",""
"Yes","1998","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1998","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1998","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1998","Baden-Württemberg","no migration background","","","",""
"Yes","1998","Baden-Württemberg","direct migration background","","","",""
"Yes","1998","Baden-Württemberg","indirect migration background","","","",""
"Yes","1998","Bavaria","no migration background","","","",""
"Yes","1998","Bavaria","direct migration background","","","",""
"Yes","1998","Bavaria","indirect migration background","","","",""
"Yes","1998","Berlin","no migration background","","","",""
"Yes","1998","Berlin","direct migration background","","","",""
"Yes","1998","Berlin","indirect migration background","","","",""
"Yes","1998","Brandenburg","no migration background","","","",""
"Yes","1998","Brandenburg","direct migration background","","","",""
"Yes","1998","Brandenburg","indirect migration background","","","",""
"Yes","1998","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1998","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1998","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1998","Saxony","no migration background","","","",""
"Yes","1998","Saxony","direct migration background","","","",""
"Yes","1998","Saxony","indirect migration background","","","",""
"Yes","1998","Saxony-Anhalt","no migration background","","","",""
"Yes","1998","Saxony-Anhalt","direct migration background","","","",""
"Yes","1998","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1998","Thuringia","no migration background","","","",""
"Yes","1998","Thuringia","direct migration background","","","",""
"Yes","1998","Thuringia","indirect migration background","","","",""
"No","1998","Schleswig-Holstein","no migration background","33","1","1","1"
"No","1998","Schleswig-Holstein","direct migration background","2","","",""
"No","1998","Schleswig-Holstein","indirect migration background","2","","",""
"No","1998","Hamburg","no migration background","12","","",""
"No","1998","Hamburg","direct migration background","2","","",""
"No","1998","Hamburg","indirect migration background","","","",""
"No","1998","Lower Saxony","no migration background","118","1","1","1"
"No","1998","Lower Saxony","direct migration background","20","","",""
"No","1998","Lower Saxony","indirect migration background","1","","",""
"No","1998","Bremen","no migration background","5","","",""
"No","1998","Bremen","direct migration background","1","","",""
"No","1998","Bremen","indirect migration background","1","","",""
"No","1998","North Rhine-Westphalia","no migration background","190","1","1","1"
"No","1998","North Rhine-Westphalia","direct migration background","49","1","1","1"
"No","1998","North Rhine-Westphalia","indirect migration background","12","","",""
"No","1998","Hesse","no migration background","63","1","1","1"
"No","1998","Hesse","direct migration background","29","","",""
"No","1998","Hesse","indirect migration background","3","","",""
"No","1998","Rhineland-Palatinate,Saarland","no migration background","61","1","1","1"
"No","1998","Rhineland-Palatinate,Saarland","direct migration background","14","","",""
"No","1998","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"No","1998","Baden-Württemberg","no migration background","112","1","1","1"
"No","1998","Baden-Württemberg","direct migration background","48","1","1","1"
"No","1998","Baden-Württemberg","indirect migration background","17","","",""
"No","1998","Bavaria","no migration background","145","1","1","1"
"No","1998","Bavaria","direct migration background","33","1","1","1"
"No","1998","Bavaria","indirect migration background","8","","",""
"No","1998","Berlin","no migration background","48","1","1","1"
"No","1998","Berlin","direct migration background","4","","",""
"No","1998","Berlin","indirect migration background","1","","",""
"No","1998","Brandenburg","no migration background","78","1","1","1"
"No","1998","Brandenburg","direct migration background","1","","",""
"No","1998","Brandenburg","indirect migration background","1","","",""
"No","1998","Mecklenburg-Western Pomerania","no migration background","55","1","1","1"
"No","1998","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1998","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1998","Saxony","no migration background","151","1","1","1"
"No","1998","Saxony","direct migration background","2","","",""
"No","1998","Saxony","indirect migration background","","","",""
"No","1998","Saxony-Anhalt","no migration background","84","1","1","1"
"No","1998","Saxony-Anhalt","direct migration background","","","",""
"No","1998","Saxony-Anhalt","indirect migration background","","","",""
