"plb0196_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes","2017","no migration background","Urban Area","3618","0.778719645503688","0.766788459688216","0.790650831319161","1"
"Yes","2017","no migration background","Rural Area","2217","0.732752299607359","0.716911837014655","0.748592762200062","1"
"Yes","2017","direct migration background","Urban Area","823","0.745930166233343","0.72043459676341","0.771425735703275","1"
"Yes","2017","direct migration background","Rural Area","311","0.823348986094434","0.786788665541833","0.859909306647035","1"
"Yes","2017","indirect migration background","Urban Area","369","0.741458258245795","0.702411659089147","0.780504857402443","1"
"Yes","2017","indirect migration background","Rural Area","93","0.775680055731143","0.703132716750712","0.848227394711574","1"
"No","2018","no migration background","Urban Area","1170","0.231736378868562","0.219757303022919","0.243715454714206","2"
"No","2018","no migration background","Rural Area","868","0.284434154136684","0.268341332112679","0.300526976160689","2"
"No","2018","direct migration background","Urban Area","404","0.26071636555372","0.237023620235605","0.284409110871836","2"
"No","2018","direct migration background","Rural Area","125","0.26618847820229","0.226401055297395","0.305975901107185","2"
"No","2018","indirect migration background","Urban Area","123","0.21653320599806","0.181097836774367","0.251968575221753","2"
"No","2018","indirect migration background","Rural Area","36","0.185143005048913","0.12213931063806","0.248146699459765","2"
"Yes","2018","no migration background","Urban Area","3596","0.768263621131438","0.756284545285794","0.780242696977081","1"
"Yes","2018","no migration background","Rural Area","2151","0.715565845863316","0.699473023839311","0.731658667887321","1"
"Yes","2018","direct migration background","Rural Area","349","0.73381152179771","0.694024098892815","0.773598944702605","1"
"Yes","2018","direct migration background","Urban Area","915","0.73928363444628","0.715590889128164","0.762976379764395","1"
"Yes","2018","indirect migration background","Urban Area","396","0.78346679400194","0.748031424778247","0.818902163225633","1"
"Yes","2018","indirect migration background","Rural Area","110","0.814856994951087","0.751853300540235","0.87786068936194","1"
"No","2019","no migration background","Urban Area","912","0.211596348949843","0.198989219052932","0.224203478846755","2"
"No","2019","no migration background","Rural Area","662","0.254399553890278","0.238008212308229","0.270790895472327","2"
"No","2019","direct migration background","Urban Area","283","0.217964197802472","0.192847917922715","0.243080477682229","2"
"No","2019","direct migration background","Rural Area","103","0.277547883383078","0.234097711057965","0.320998055708192","2"
"No","2019","indirect migration background","Urban Area","110","0.233087526934142","0.19380490175326","0.272370152115025","2"
"No","2019","indirect migration background","Rural Area","33","0.342812566615166","0.258240216728325","0.427384916502007","2"
"Yes","2019","no migration background","Urban Area","3120","0.788403651050157","0.775796521153245","0.801010780947068","1"
"Yes","2019","no migration background","Rural Area","2050","0.745600446109722","0.729209104527673","0.761991787691771","1"
"Yes","2019","direct migration background","Rural Area","305","0.722452116616922","0.679001944291808","0.765902288942035","1"
"Yes","2019","direct migration background","Urban Area","755","0.782035802197528","0.756919522317771","0.807152082077285","1"
"Yes","2019","indirect migration background","Urban Area","335","0.766912473065858","0.727629847884976","0.80619509824674","1"
"Yes","2019","indirect migration background","Rural Area","88","0.657187433384834","0.572615083497993","0.741759783271675","1"
