"plh0206i04","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"3 on scale 1-7 ","2015","Employed","Full Time","210","0.020966481387563","0.0180863603272244","0.0238466024479017"
"3 on scale 1-7 ","2015","Employed","Part Time","162","0.0184771488708799","0.01534842457569","0.0216058731660698"
"3 on scale 1-7 ","2015","Employed","Not Working","","","",""
"4 on scale 1-7","2015","Not Employed","Full Time","","","",""
"4 on scale 1-7","2015","Not Employed","Part Time","","","",""
"4 on scale 1-7","2015","Not Employed","Not Working","835","0.0899717279488547","0.0843968122075452","0.0955466436901643"
"4 on scale 1-7","2015","Employed","Full Time","735","0.0738712133245381","0.0686131901738137","0.0791292364752625"
"4 on scale 1-7","2015","Employed","Part Time","605","0.0804353251232835","0.0741168226672241","0.0867538275793429"
"4 on scale 1-7","2015","Employed","Not Working","","","",""
"5 on scale 1-7","2015","Not Employed","Full Time","","","",""
"5 on scale 1-7","2015","Not Employed","Part Time","","","",""
"5 on scale 1-7","2015","Not Employed","Not Working","1539","0.159629602728864","0.152493683527069","0.166765521930658"
"5 on scale 1-7","2015","Employed","Full Time","1692","0.179349471543099","0.171637270124327","0.18706167296187"
"5 on scale 1-7","2015","Employed","Part Time","1201","0.181545540882719","0.172590044540951","0.190501037224487"
"5 on scale 1-7","2015","Employed","Not Working","","","",""
"6 on scale 1-7","2015","Not Employed","Full Time","","","",""
"6 on scale 1-7","2015","Not Employed","Part Time","","","",""
"6 on scale 1-7","2015","Not Employed","Not Working","3268","0.332370032750943","0.323192273191018","0.341547792310868"
"6 on scale 1-7","2015","Employed","Full Time","3387","0.365990234491577","0.356306744490803","0.37567372449235"
"6 on scale 1-7","2015","Employed","Part Time","2464","0.353548540773937","0.342441660441856","0.364655421106018"
"6 on scale 1-7","2015","Employed","Not Working","","","",""
"7 Strongly agree","2015","Not Employed","Full Time","","","",""
"7 Strongly agree","2015","Not Employed","Part Time","","","",""
"7 Strongly agree","2015","Not Employed","Not Working","4066","0.375852868728816","0.366416383621719","0.385289353835912"
"7 Strongly agree","2015","Employed","Full Time","3346","0.34435836961973","0.334806513581719","0.35391022565774"
"7 Strongly agree","2015","Employed","Part Time","2555","0.348583805574278","0.337512916812315","0.359654694336241"
"7 Strongly agree","2015","Employed","Not Working","","","",""
"1 Strongly disagree","2016","Not Employed","Full Time","","","",""
"1 Strongly disagree","2016","Not Employed","Part Time","","","",""
"1 Strongly disagree","2016","Not Employed","Not Working","17","","",""
"1 Strongly disagree","2016","Employed","Full Time","","","",""
"1 Strongly disagree","2016","Employed","Part Time","","","",""
"1 Strongly disagree","2016","Employed","Not Working","","","",""
"2 on scale 1-7 ","2016","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2016","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2016","Not Employed","Not Working","12","","",""
"2 on scale 1-7 ","2016","Employed","Full Time","","","",""
"2 on scale 1-7 ","2016","Employed","Part Time","","","",""
"2 on scale 1-7 ","2016","Employed","Not Working","","","",""
"3 on scale 1-7 ","2016","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2016","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2016","Not Employed","Not Working","12","","",""
"3 on scale 1-7 ","2016","Employed","Full Time","","","",""
"3 on scale 1-7 ","2016","Employed","Part Time","","","",""
"3 on scale 1-7 ","2016","Employed","Not Working","","","",""
"4 on scale 1-7","2016","Not Employed","Full Time","","","",""
"4 on scale 1-7","2016","Not Employed","Part Time","","","",""
"4 on scale 1-7","2016","Not Employed","Not Working","51","0.0511773494067902","0.0446447037154095","0.0577099950981708"
"4 on scale 1-7","2016","Employed","Full Time","","","",""
"4 on scale 1-7","2016","Employed","Part Time","","","",""
"4 on scale 1-7","2016","Employed","Not Working","","","",""
"5 on scale 1-7","2016","Not Employed","Full Time","","","",""
"5 on scale 1-7","2016","Not Employed","Part Time","","","",""
"5 on scale 1-7","2016","Not Employed","Not Working","123","0.0709514480863517","0.0633401711337644","0.0785627250389389"
"5 on scale 1-7","2016","Employed","Full Time","","","",""
"5 on scale 1-7","2016","Employed","Part Time","","","",""
"5 on scale 1-7","2016","Employed","Not Working","","","",""
"6 on scale 1-7","2016","Not Employed","Full Time","","","",""
"6 on scale 1-7","2016","Not Employed","Part Time","","","",""
"6 on scale 1-7","2016","Not Employed","Not Working","375","0.134780479132893","0.124656893975691","0.144904064290095"
"6 on scale 1-7","2016","Employed","Full Time","","","",""
"6 on scale 1-7","2016","Employed","Part Time","","","",""
"6 on scale 1-7","2016","Employed","Not Working","","","",""
"7 Strongly agree","2016","Not Employed","Full Time","","","",""
"7 Strongly agree","2016","Not Employed","Part Time","","","",""
"7 Strongly agree","2016","Not Employed","Not Working","3781","0.724695899520237","0.711454254848931","0.737937544191544"
"7 Strongly agree","2016","Employed","Full Time","","","",""
"7 Strongly agree","2016","Employed","Part Time","","","",""
"7 Strongly agree","2016","Employed","Not Working","","","",""
"1 Strongly disagree","2017","Not Employed","Full Time","","","",""
"1 Strongly disagree","2017","Not Employed","Part Time","","","",""
"1 Strongly disagree","2017","Not Employed","Not Working","10","","",""
"1 Strongly disagree","2017","Employed","Full Time","","","",""
"1 Strongly disagree","2017","Employed","Part Time","","","",""
"1 Strongly disagree","2017","Employed","Not Working","","","",""
"2 on scale 1-7 ","2017","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2017","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2017","Not Employed","Not Working","5","","",""
"2 on scale 1-7 ","2017","Employed","Full Time","","","",""
"2 on scale 1-7 ","2017","Employed","Part Time","","","",""
"2 on scale 1-7 ","2017","Employed","Not Working","","","",""
"3 on scale 1-7 ","2017","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2017","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2017","Not Employed","Not Working","13","","",""
"3 on scale 1-7 ","2017","Employed","Full Time","","","",""
"3 on scale 1-7 ","2017","Employed","Part Time","","","",""
"3 on scale 1-7 ","2017","Employed","Not Working","","","",""
"4 on scale 1-7","2017","Not Employed","Full Time","","","",""
"4 on scale 1-7","2017","Not Employed","Part Time","","","",""
"4 on scale 1-7","2017","Not Employed","Not Working","31","0.0113151277710702","0.00744485572965597","0.0151853998124844"
"4 on scale 1-7","2017","Employed","Full Time","","","",""
"4 on scale 1-7","2017","Employed","Part Time","","","",""
"4 on scale 1-7","2017","Employed","Not Working","","","",""
"5 on scale 1-7","2017","Not Employed","Full Time","","","",""
"5 on scale 1-7","2017","Not Employed","Part Time","","","",""
"5 on scale 1-7","2017","Not Employed","Not Working","86","0.0309064522289272","0.0245737328237235","0.0372391716341309"
"5 on scale 1-7","2017","Employed","Full Time","","","",""
"5 on scale 1-7","2017","Employed","Part Time","","","",""
"5 on scale 1-7","2017","Employed","Not Working","","","",""
"6 on scale 1-7","2017","Not Employed","Full Time","","","",""
"6 on scale 1-7","2017","Not Employed","Part Time","","","",""
"6 on scale 1-7","2017","Not Employed","Not Working","328","0.125928267088808","0.11378828717439","0.138068247003226"
"6 on scale 1-7","2017","Employed","Full Time","","","",""
"6 on scale 1-7","2017","Employed","Part Time","","","",""
"6 on scale 1-7","2017","Employed","Not Working","","","",""
"7 Strongly agree","2017","Not Employed","Full Time","","","",""
"7 Strongly agree","2017","Not Employed","Part Time","","","",""
"7 Strongly agree","2017","Not Employed","Not Working","2396","0.822349908548688","0.808363897762935","0.836335919334441"
"7 Strongly agree","2017","Employed","Full Time","","","",""
"7 Strongly agree","2017","Employed","Part Time","","","",""
"7 Strongly agree","2017","Employed","Not Working","","","",""
"1 Strongly disagree","2018","Not Employed","Full Time","","","",""
"1 Strongly disagree","2018","Not Employed","Part Time","","","",""
"1 Strongly disagree","2018","Not Employed","Not Working","3","","",""
"1 Strongly disagree","2018","Employed","Full Time","","","",""
"1 Strongly disagree","2018","Employed","Part Time","","","",""
"1 Strongly disagree","2018","Employed","Not Working","","","",""
"2 on scale 1-7 ","2018","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2018","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2018","Not Employed","Not Working","3","","",""
"2 on scale 1-7 ","2018","Employed","Full Time","","","",""
"2 on scale 1-7 ","2018","Employed","Part Time","","","",""
"2 on scale 1-7 ","2018","Employed","Not Working","","","",""
"3 on scale 1-7 ","2018","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2018","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2018","Not Employed","Not Working","2","","",""
"3 on scale 1-7 ","2018","Employed","Full Time","","","",""
"3 on scale 1-7 ","2018","Employed","Part Time","","","",""
"3 on scale 1-7 ","2018","Employed","Not Working","","","",""
"4 on scale 1-7","2018","Not Employed","Full Time","","","",""
"4 on scale 1-7","2018","Not Employed","Part Time","","","",""
"4 on scale 1-7","2018","Not Employed","Not Working","2","","",""
"4 on scale 1-7","2018","Employed","Full Time","","","",""
"4 on scale 1-7","2018","Employed","Part Time","","","",""
"4 on scale 1-7","2018","Employed","Not Working","","","",""
"5 on scale 1-7","2018","Not Employed","Full Time","","","",""
"5 on scale 1-7","2018","Not Employed","Part Time","","","",""
"5 on scale 1-7","2018","Not Employed","Not Working","12","","",""
"5 on scale 1-7","2018","Employed","Full Time","","","",""
"5 on scale 1-7","2018","Employed","Part Time","","","",""
"5 on scale 1-7","2018","Employed","Not Working","","","",""
"6 on scale 1-7","2018","Not Employed","Full Time","","","",""
"6 on scale 1-7","2018","Not Employed","Part Time","","","",""
"6 on scale 1-7","2018","Not Employed","Not Working","47","0.0798113628609501","0.0538628856662505","0.10575984005565"
"6 on scale 1-7","2018","Employed","Full Time","","","",""
"6 on scale 1-7","2018","Employed","Part Time","","","",""
"6 on scale 1-7","2018","Employed","Not Working","","","",""
"7 Strongly agree","2018","Not Employed","Full Time","","","",""
"7 Strongly agree","2018","Not Employed","Part Time","","","",""
"7 Strongly agree","2018","Not Employed","Not Working","350","0.867362477567466","0.834885575533452","0.89983937960148"
"7 Strongly agree","2018","Employed","Full Time","","","",""
"7 Strongly agree","2018","Employed","Part Time","","","",""
"7 Strongly agree","2018","Employed","Not Working","","","",""
"1 Strongly disagree","2019","Not Employed","Full Time","","","",""
"1 Strongly disagree","2019","Not Employed","Part Time","","","",""
"1 Strongly disagree","2019","Not Employed","Not Working","4","","",""
"1 Strongly disagree","2019","Employed","Full Time","","","",""
"1 Strongly disagree","2019","Employed","Part Time","","","",""
"1 Strongly disagree","2019","Employed","Not Working","","","",""
"2 on scale 1-7 ","2019","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2019","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2019","Not Employed","Not Working","4","","",""
"2 on scale 1-7 ","2019","Employed","Full Time","","","",""
"2 on scale 1-7 ","2019","Employed","Part Time","","","",""
"2 on scale 1-7 ","2019","Employed","Not Working","","","",""
"3 on scale 1-7 ","2019","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2019","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2019","Not Employed","Not Working","1","","",""
"3 on scale 1-7 ","2019","Employed","Full Time","","","",""
"3 on scale 1-7 ","2019","Employed","Part Time","","","",""
"3 on scale 1-7 ","2019","Employed","Not Working","","","",""
"4 on scale 1-7","2019","Not Employed","Full Time","","","",""
"4 on scale 1-7","2019","Not Employed","Part Time","","","",""
"4 on scale 1-7","2019","Not Employed","Not Working","9","","",""
"4 on scale 1-7","2019","Employed","Full Time","","","",""
"4 on scale 1-7","2019","Employed","Part Time","","","",""
"4 on scale 1-7","2019","Employed","Not Working","","","",""
"5 on scale 1-7","2019","Not Employed","Full Time","","","",""
"5 on scale 1-7","2019","Not Employed","Part Time","","","",""
"5 on scale 1-7","2019","Not Employed","Not Working","17","","",""
"5 on scale 1-7","2019","Employed","Full Time","","","",""
"5 on scale 1-7","2019","Employed","Part Time","","","",""
"5 on scale 1-7","2019","Employed","Not Working","","","",""
"6 on scale 1-7","2019","Not Employed","Full Time","","","",""
"6 on scale 1-7","2019","Not Employed","Part Time","","","",""
"6 on scale 1-7","2019","Not Employed","Not Working","34","0.103017842635402","0.0671552504606171","0.138880434810188"
"6 on scale 1-7","2019","Employed","Full Time","","","",""
"6 on scale 1-7","2019","Employed","Part Time","","","",""
"6 on scale 1-7","2019","Employed","Not Working","","","",""
"7 Strongly agree","2019","Not Employed","Full Time","","","",""
"7 Strongly agree","2019","Not Employed","Part Time","","","",""
"7 Strongly agree","2019","Not Employed","Not Working","207","0.778560998954216","0.729575568465117","0.827546429443316"
"7 Strongly agree","2019","Employed","Full Time","","","",""
"7 Strongly agree","2019","Employed","Part Time","","","",""
"7 Strongly agree","2019","Employed","Not Working","","","",""
