"plh0206i04","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"2 on scale 1-7 ","2019","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2019","West Germany","Male","","","","","2"
"2 on scale 1-7 ","2019","West Germany","Female","4","","","","2"
"3 on scale 1-7 ","2019","West Germany","Male","","","","","3"
"3 on scale 1-7 ","2019","East Germany","Female","","","","","3"
"3 on scale 1-7 ","2019","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2019","West Germany","Female","1","","","","3"
"4 on scale 1-7","2019","East Germany","Female","","","","","4"
"4 on scale 1-7","2019","West Germany","Female","4","","","","4"
"4 on scale 1-7","2019","East Germany","Male","","","","","4"
"4 on scale 1-7","2019","West Germany","Male","5","","","","4"
"5 on scale 1-7","2019","East Germany","Female","1","","","","5"
"5 on scale 1-7","2019","West Germany","Male","3","","","","5"
"5 on scale 1-7","2019","West Germany","Female","13","","","","5"
"5 on scale 1-7","2019","East Germany","Male","","","","","5"
"6 on scale 1-7","2019","East Germany","Female","","","","","6"
"6 on scale 1-7","2019","West Germany","Male","19","","","","6"
"6 on scale 1-7","2019","West Germany","Female","15","","","","6"
"6 on scale 1-7","2019","East Germany","Male","","","","","6"
"7 Strongly agree","2019","West Germany","Male","94","0.793117492824902","0.721531807834569","0.864703177815235","7"
"7 Strongly agree","2019","West Germany","Female","92","0.722302574071354","0.645314771626176","0.799290376516532","7"
"7 Strongly agree","2019","East Germany","Male","11","","","","7"
"7 Strongly agree","2019","East Germany","Female","10","","","","7"
