"plh0206i04","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"2 on scale 1-7 ","2015","35-65 y.","Male","62","0.0063391387015154","0.0044599359786877","0.00821834142434311"
"2 on scale 1-7 ","2015","35-65 y.","Female","108","0.0151638445793846","0.0125352886248462","0.017792400533923"
"2 on scale 1-7 ","2015","66 and older","Male","","","",""
"2 on scale 1-7 ","2015","66 and older","Female","","","",""
"3 on scale 1-7 ","2015","16-34 y.","Male","61","0.0230509802661558","0.0177156244101256","0.028386336122186"
"3 on scale 1-7 ","2015","16-34 y.","Female","76","0.0228300189493381","0.0179584086360025","0.0277016292626736"
"3 on scale 1-7 ","2015","35-65 y.","Male","125","0.0135827402366203","0.0108420279750872","0.0163234524981534"
"3 on scale 1-7 ","2015","35-65 y.","Female","221","0.0240871412427947","0.0207893077690865","0.0273849747165028"
"3 on scale 1-7 ","2015","66 and older","Male","57","0.0234962469763993","0.0174500026414235","0.0295424913113751"
"3 on scale 1-7 ","2015","66 and older","Female","53","0.0276599576645926","0.0212658446056503","0.034054070723535"
"4 on scale 1-7","2015","16-34 y.","Male","251","0.0870075364719119","0.076986912314684","0.0970281606291398"
"4 on scale 1-7","2015","16-34 y.","Female","264","0.0788151946106045","0.0700267361195335","0.0876036531016754"
"4 on scale 1-7","2015","35-65 y.","Male","527","0.0725576627819144","0.0664154548437953","0.0786998707200336"
"4 on scale 1-7","2015","35-65 y.","Female","730","0.0842695357278807","0.0782943734607963","0.090244697994965"
"4 on scale 1-7","2015","66 and older","Male","178","0.0786087775757849","0.0678662360158471","0.0893513191357228"
"4 on scale 1-7","2015","66 and older","Female","225","0.0934274000774365","0.0820803258408537","0.104774474314019"
"5 on scale 1-7","2015","16-34 y.","Male","515","0.188805088154363","0.174891081812958","0.202719094495769"
"5 on scale 1-7","2015","16-34 y.","Female","587","0.183925692177879","0.171289378472473","0.196562005883285"
"5 on scale 1-7","2015","35-65 y.","Male","1244","0.183768293521038","0.174598038031711","0.192938549010366"
"5 on scale 1-7","2015","35-65 y.","Female","1305","0.163504057543056","0.155549303450426","0.171458811635686"
"5 on scale 1-7","2015","66 and older","Male","381","0.159084005622355","0.144484469696277","0.173683541548432"
"5 on scale 1-7","2015","66 and older","Female","400","0.154290155134417","0.140206179306506","0.168374130962328"
"6 on scale 1-7","2015","16-34 y.","Male","1046","0.360244345583388","0.343176119221528","0.377312571945249"
"6 on scale 1-7","2015","16-34 y.","Female","1202","0.357272895490559","0.341643301765213","0.372902489215905"
"6 on scale 1-7","2015","35-65 y.","Male","2369","0.367523710457426","0.356107966494213","0.378939454420638"
"6 on scale 1-7","2015","35-65 y.","Female","2711","0.328412413608674","0.318310778325423","0.338514048891925"
"6 on scale 1-7","2015","66 and older","Male","919","0.36220598708598","0.343020734680391","0.381391239491568"
"6 on scale 1-7","2015","66 and older","Female","872","0.334360774852681","0.315966927215438","0.352754622489925"
"7 Strongly agree","2015","16-34 y.","Male","1131","0.32933663905036","0.312627462183769","0.346045815916952"
"7 Strongly agree","2015","16-34 y.","Female","1435","0.344982197344278","0.329477644672675","0.360486750015882"
"7 Strongly agree","2015","35-65 y.","Male","2485","0.350280470919591","0.338984844077684","0.361576097761498"
"7 Strongly agree","2015","35-65 y.","Female","3157","0.375080746537022","0.364667050174867","0.385494442899178"
"7 Strongly agree","2015","66 and older","Male","836","0.359388081449329","0.340235433395932","0.378540729502727"
"7 Strongly agree","2015","66 and older","Female","923","0.370634834939724","0.35180398431972","0.389465685559728"
"1 Strongly disagree","2016","16-34 y.","Male","","","",""
"1 Strongly disagree","2016","16-34 y.","Female","","","",""
"1 Strongly disagree","2016","35-65 y.","Male","","","",""
"1 Strongly disagree","2016","35-65 y.","Female","","","",""
"1 Strongly disagree","2016","66 and older","Male","","","",""
"1 Strongly disagree","2016","66 and older","Female","","","",""
"2 on scale 1-7 ","2016","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2016","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2016","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2016","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2016","66 and older","Male","","","",""
"2 on scale 1-7 ","2016","66 and older","Female","","","",""
"3 on scale 1-7 ","2016","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2016","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2016","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2016","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2016","66 and older","Male","","","",""
"3 on scale 1-7 ","2016","66 and older","Female","","","",""
"4 on scale 1-7","2016","16-34 y.","Male","","","",""
"4 on scale 1-7","2016","16-34 y.","Female","","","",""
"4 on scale 1-7","2016","35-65 y.","Male","","","",""
"4 on scale 1-7","2016","35-65 y.","Female","","","",""
"4 on scale 1-7","2016","66 and older","Male","","","",""
"4 on scale 1-7","2016","66 and older","Female","","","",""
"5 on scale 1-7","2016","16-34 y.","Male","57","0.0596448301725778","0.0479226761548737","0.0713669841902819"
"5 on scale 1-7","2016","16-34 y.","Female","","","",""
"5 on scale 1-7","2016","35-65 y.","Male","","","",""
"5 on scale 1-7","2016","35-65 y.","Female","","","",""
"5 on scale 1-7","2016","66 and older","Male","","","",""
"5 on scale 1-7","2016","66 and older","Female","","","",""
"6 on scale 1-7","2016","16-34 y.","Male","162","0.130136206471309","0.11348292737894","0.146789485563679"
"6 on scale 1-7","2016","16-34 y.","Female","75","0.102223958686094","0.0828783235357646","0.121569593836423"
"6 on scale 1-7","2016","35-65 y.","Male","89","0.154862048679621","0.133889013847342","0.175835083511901"
"6 on scale 1-7","2016","35-65 y.","Female","45","0.195972084533289","0.166815223693058","0.22512894537352"
"6 on scale 1-7","2016","66 and older","Male","","","",""
"6 on scale 1-7","2016","66 and older","Female","","","",""
"7 Strongly agree","2016","16-34 y.","Male","1312","0.736601245782775","0.71479915495218","0.75840333661337"
"7 Strongly agree","2016","16-34 y.","Female","815","0.666739769692442","0.636637962822836","0.696841576562048"
"7 Strongly agree","2016","35-65 y.","Male","1015","0.782405352198623","0.758485142283696","0.806325562113551"
"7 Strongly agree","2016","35-65 y.","Female","639","0.753450297557128","0.721791993934638","0.785108601179619"
"7 Strongly agree","2016","66 and older","Male","","","",""
"7 Strongly agree","2016","66 and older","Female","","","",""
"1 Strongly disagree","2017","16-34 y.","Male","","","",""
"1 Strongly disagree","2017","16-34 y.","Female","","","",""
"1 Strongly disagree","2017","35-65 y.","Male","","","",""
"1 Strongly disagree","2017","35-65 y.","Female","","","",""
"1 Strongly disagree","2017","66 and older","Male","","","",""
"1 Strongly disagree","2017","66 and older","Female","","","",""
"2 on scale 1-7 ","2017","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2017","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2017","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2017","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2017","66 and older","Male","","","",""
"2 on scale 1-7 ","2017","66 and older","Female","","","",""
"3 on scale 1-7 ","2017","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2017","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2017","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2017","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2017","66 and older","Male","","","",""
"3 on scale 1-7 ","2017","66 and older","Female","","","",""
"4 on scale 1-7","2017","16-34 y.","Male","","","",""
"4 on scale 1-7","2017","16-34 y.","Female","","","",""
"4 on scale 1-7","2017","35-65 y.","Male","","","",""
"4 on scale 1-7","2017","35-65 y.","Female","","","",""
"4 on scale 1-7","2017","66 and older","Male","","","",""
"4 on scale 1-7","2017","66 and older","Female","","","",""
"5 on scale 1-7","2017","16-34 y.","Male","42","0.0422090154365094","0.030343180075366","0.0540748507976528"
"5 on scale 1-7","2017","16-34 y.","Female","","","",""
"5 on scale 1-7","2017","35-65 y.","Male","","","",""
"5 on scale 1-7","2017","35-65 y.","Female","","","",""
"5 on scale 1-7","2017","66 and older","Male","","","",""
"5 on scale 1-7","2017","66 and older","Female","","","",""
"6 on scale 1-7","2017","16-34 y.","Male","120","0.123013442888798","0.103629903112175","0.142396982665421"
"6 on scale 1-7","2017","16-34 y.","Female","99","0.138338735092138","0.113776528023118","0.162900942161158"
"6 on scale 1-7","2017","35-65 y.","Male","59","0.11863978028983","0.0911359791238649","0.146143581455795"
"6 on scale 1-7","2017","35-65 y.","Female","45","0.123821262741663","0.0930450112668832","0.154597514216443"
"6 on scale 1-7","2017","66 and older","Male","","","",""
"6 on scale 1-7","2017","66 and older","Female","","","",""
"7 Strongly agree","2017","16-34 y.","Male","919","0.811652002331852","0.788577849185409","0.834726155478294"
"7 Strongly agree","2017","16-34 y.","Female","640","0.8300893131841","0.803371558244247","0.856807068123953"
"7 Strongly agree","2017","35-65 y.","Male","445","0.840479685403518","0.809335825316448","0.871623545490588"
"7 Strongly agree","2017","35-65 y.","Female","363","0.828925700339249","0.793739534878828","0.864111865799671"
"7 Strongly agree","2017","66 and older","Male","","","",""
"7 Strongly agree","2017","66 and older","Female","","","",""
"1 Strongly disagree","2018","16-34 y.","Male","","","",""
"1 Strongly disagree","2018","16-34 y.","Female","","","",""
"1 Strongly disagree","2018","35-65 y.","Male","","","",""
"1 Strongly disagree","2018","35-65 y.","Female","","","",""
"1 Strongly disagree","2018","66 and older","Male","","","",""
"1 Strongly disagree","2018","66 and older","Female","","","",""
"2 on scale 1-7 ","2018","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2018","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2018","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2018","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2018","66 and older","Male","","","",""
"2 on scale 1-7 ","2018","66 and older","Female","","","",""
"3 on scale 1-7 ","2018","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2018","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2018","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2018","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2018","66 and older","Male","","","",""
"3 on scale 1-7 ","2018","66 and older","Female","","","",""
"4 on scale 1-7","2018","16-34 y.","Male","","","",""
"4 on scale 1-7","2018","16-34 y.","Female","","","",""
"4 on scale 1-7","2018","35-65 y.","Male","","","",""
"4 on scale 1-7","2018","35-65 y.","Female","","","",""
"4 on scale 1-7","2018","66 and older","Male","","","",""
"4 on scale 1-7","2018","66 and older","Female","","","",""
"5 on scale 1-7","2018","16-34 y.","Male","","","",""
"5 on scale 1-7","2018","16-34 y.","Female","","","",""
"5 on scale 1-7","2018","35-65 y.","Male","","","",""
"5 on scale 1-7","2018","35-65 y.","Female","","","",""
"5 on scale 1-7","2018","66 and older","Male","","","",""
"5 on scale 1-7","2018","66 and older","Female","","","",""
"6 on scale 1-7","2018","16-34 y.","Male","","","",""
"6 on scale 1-7","2018","16-34 y.","Female","","","",""
"6 on scale 1-7","2018","35-65 y.","Male","","","",""
"6 on scale 1-7","2018","35-65 y.","Female","","","",""
"6 on scale 1-7","2018","66 and older","Male","","","",""
"6 on scale 1-7","2018","66 and older","Female","","","",""
"7 Strongly agree","2018","16-34 y.","Male","94","0.886226745033273","0.826887192629363","0.945566297437184"
"7 Strongly agree","2018","16-34 y.","Female","130","0.91834738075216","0.87362186049384","0.96307290101048"
"7 Strongly agree","2018","35-65 y.","Male","66","0.844391694003484","0.766874719868284","0.921908668138683"
"7 Strongly agree","2018","35-65 y.","Female","56","0.733201277422204","0.634412819125812","0.831989735718595"
"7 Strongly agree","2018","66 and older","Male","","","",""
"7 Strongly agree","2018","66 and older","Female","","","",""
"1 Strongly disagree","2019","16-34 y.","Male","","","",""
"1 Strongly disagree","2019","16-34 y.","Female","","","",""
"1 Strongly disagree","2019","35-65 y.","Male","","","",""
"1 Strongly disagree","2019","35-65 y.","Female","","","",""
"1 Strongly disagree","2019","66 and older","Male","","","",""
"1 Strongly disagree","2019","66 and older","Female","","","",""
"2 on scale 1-7 ","2019","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2019","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2019","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2019","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2019","66 and older","Male","","","",""
"2 on scale 1-7 ","2019","66 and older","Female","","","",""
"3 on scale 1-7 ","2019","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2019","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2019","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2019","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2019","66 and older","Male","","","",""
"3 on scale 1-7 ","2019","66 and older","Female","","","",""
"4 on scale 1-7","2019","16-34 y.","Male","","","",""
"4 on scale 1-7","2019","16-34 y.","Female","","","",""
"4 on scale 1-7","2019","35-65 y.","Male","","","",""
"4 on scale 1-7","2019","35-65 y.","Female","","","",""
"4 on scale 1-7","2019","66 and older","Male","","","",""
"4 on scale 1-7","2019","66 and older","Female","","","",""
"5 on scale 1-7","2019","16-34 y.","Male","","","",""
"5 on scale 1-7","2019","16-34 y.","Female","","","",""
"5 on scale 1-7","2019","35-65 y.","Male","","","",""
"5 on scale 1-7","2019","35-65 y.","Female","","","",""
"5 on scale 1-7","2019","66 and older","Male","","","",""
"5 on scale 1-7","2019","66 and older","Female","","","",""
"6 on scale 1-7","2019","16-34 y.","Male","","","",""
"6 on scale 1-7","2019","16-34 y.","Female","","","",""
"6 on scale 1-7","2019","35-65 y.","Male","","","",""
"6 on scale 1-7","2019","35-65 y.","Female","","","",""
"6 on scale 1-7","2019","66 and older","Male","","","",""
"6 on scale 1-7","2019","66 and older","Female","","","",""
"7 Strongly agree","2019","16-34 y.","Male","62","0.876639191811741","0.801201966632216","0.952076416991267"
"7 Strongly agree","2019","16-34 y.","Female","51","0.778484342294734","0.682564380181357","0.874404304408111"
"7 Strongly agree","2019","35-65 y.","Male","39","0.726070246481008","0.611296378573354","0.840844114388662"
"7 Strongly agree","2019","35-65 y.","Female","51","0.6643083229879","0.551233524269349","0.77738312170645"
"7 Strongly agree","2019","66 and older","Male","","","",""
"7 Strongly agree","2019","66 and older","Female","","","",""
