"hlf0094","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1996","no migration background","East Germany","385","0.317261462462182","0.291854221758885","0.34266870316548","2"
"Inexpensive","1996","direct migration background","West Germany","143","0.285348627955725","0.243855382710057","0.326841873201393","2"
"Inexpensive","1996","direct migration background","East Germany","15","","","","2"
"Inexpensive","1996","indirect migration background","West Germany","38","0.337662496251215","0.246773248657941","0.42855174384449","2"
"Inexpensive","1996","indirect migration background","East Germany","2","","","","2"
"Reasonable","1996","no migration background","West Germany","1339","0.402860274240256","0.386062271682829","0.419658276797683","3"
"Reasonable","1996","no migration background","East Germany","657","0.497906514713311","0.470611217356695","0.525201812069928","3"
"Reasonable","1996","direct migration background","West Germany","188","0.380926453020874","0.336305988971686","0.425546917070061","3"
"Reasonable","1996","direct migration background","East Germany","19","","","","3"
"Reasonable","1996","indirect migration background","West Germany","38","0.326158128144891","0.236058184068678","0.416258072221105","3"
"Reasonable","1996","indirect migration background","East Germany","3","","","","3"
"Slightly Expensive","1996","no migration background","West Germany","210","0.0600636740367528","0.0519260503432527","0.0682012977302529","4"
"Slightly Expensive","1996","no migration background","East Germany","144","0.11029818729736","0.0931969293560116","0.127399445238708","4"
"Slightly Expensive","1996","direct migration background","West Germany","44","0.0906491416163029","0.0642682189250785","0.117030064307527","4"
"Slightly Expensive","1996","direct migration background","East Germany","1","","","","4"
"Slightly Expensive","1996","indirect migration background","West Germany","11","","","","4"
"Slightly Expensive","1996","indirect migration background","East Germany","","","","","4"
"Too Expensive","1996","no migration background","West Germany","42","0.0175615084408709","0.0130629223921812","0.0220600944895605","5"
"Too Expensive","1996","no migration background","East Germany","19","","","","5"
"Too Expensive","1996","direct migration background","West Germany","16","","","","5"
"Too Expensive","1996","direct migration background","East Germany","","","","","5"
"Too Expensive","1996","indirect migration background","West Germany","5","","","","5"
"Too Expensive","1996","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1996","no migration background","West Germany","565","0.183065495043419","0.169820881038557","0.196310109048281","1"
"Very Inexpensive","1996","no migration background","East Germany","84","0.0620265074606737","0.0488589391843352","0.0751940757370122","1"
"Very Inexpensive","1996","direct migration background","West Germany","64","0.222862970632547","0.184623651427127","0.261102289837968","1"
"Very Inexpensive","1996","direct migration background","East Germany","2","","","","1"
"Very Inexpensive","1996","indirect migration background","West Germany","12","","","","1"
"Very Inexpensive","1996","indirect migration background","East Germany","","","","","1"
"Inexpensive","1997","no migration background","West Germany","1057","0.324256843505767","0.30825693165374","0.340256755357793","2"
"Inexpensive","1997","no migration background","East Germany","412","0.334917197969309","0.309427670352907","0.360406725585711","2"
"Inexpensive","1997","direct migration background","West Germany","111","0.27477033947997","0.234455926405669","0.315084752554271","2"
"Inexpensive","1997","direct migration background","East Germany","16","","","","2"
"Inexpensive","1997","indirect migration background","West Germany","37","0.371489420939946","0.285035043178101","0.457943798701792","2"
"Inexpensive","1997","indirect migration background","East Germany","2","","","","2"
"Reasonable","1997","no migration background","West Germany","1407","0.415180108704923","0.39833741605546","0.432022801354385","3"
"Reasonable","1997","no migration background","East Germany","650","0.484169425019543","0.457179142897875","0.511159707141211","3"
"Reasonable","1997","direct migration background","West Germany","224","0.404971422922046","0.360639278602087","0.449303567242006","3"
"Reasonable","1997","direct migration background","East Germany","19","","","","3"
"Reasonable","1997","indirect migration background","East Germany","8","","","","3"
"Reasonable","1997","indirect migration background","West Germany","56","0.429432275719891","0.340868033768726","0.517996517671056","3"
"Slightly Expensive","1997","no migration background","West Germany","204","0.0596575790643612","0.0515618118197089","0.0677533463090135","4"
"Slightly Expensive","1997","no migration background","East Germany","145","0.0982591170520354","0.0821829499334183","0.114335284170653","4"
"Slightly Expensive","1997","direct migration background","West Germany","40","0.0829665267484742","0.0580560702440116","0.107876983252937","4"
"Slightly Expensive","1997","direct migration background","East Germany","1","","","","4"
"Slightly Expensive","1997","indirect migration background","East Germany","","","","","4"
"Slightly Expensive","1997","indirect migration background","West Germany","10","","","","4"
"Too Expensive","1997","no migration background","West Germany","47","0.0164528917331802","0.0121047780591631","0.0208010054071973","5"
"Too Expensive","1997","no migration background","East Germany","23","","","","5"
"Too Expensive","1997","direct migration background","West Germany","17","","","","5"
"Too Expensive","1997","direct migration background","East Germany","","","","","5"
"Too Expensive","1997","indirect migration background","West Germany","4","","","","5"
"Too Expensive","1997","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1997","no migration background","West Germany","573","0.184452576991769","0.171195457827579","0.197709696155959","1"
"Very Inexpensive","1997","no migration background","East Germany","87","0.059113792245449","0.0463767624372011","0.071850822053697","1"
"Very Inexpensive","1997","direct migration background","West Germany","79","0.21810806501599","0.180813386603175","0.255402743428806","1"
"Very Inexpensive","1997","direct migration background","East Germany","1","","","","1"
"Very Inexpensive","1997","indirect migration background","West Germany","13","","","","1"
"Very Inexpensive","1997","indirect migration background","East Germany","","","","","1"
"Inexpensive","1998","no migration background","West Germany","1219","0.324357011966956","0.309619421322133","0.339094602611778","2"
"Inexpensive","1998","direct migration background","West Germany","148","0.279875491742894","0.240874519772996","0.318876463712792","2"
"Inexpensive","1998","no migration background","East Germany","477","0.328076266222942","0.303984544245432","0.352167988200453","2"
"Inexpensive","1998","direct migration background","East Germany","8","","","","2"
"Inexpensive","1998","indirect migration background","West Germany","34","0.196566193823146","0.129776707729623","0.26335567991667","2"
"Inexpensive","1998","indirect migration background","East Germany","","","","","2"
"Reasonable","1998","no migration background","West Germany","1635","0.403518309882563","0.388073364095984","0.418963255669142","3"
"Reasonable","1998","no migration background","East Germany","671","0.474032246787357","0.448410782434731","0.499653711139984","3"
"Reasonable","1998","direct migration background","West Germany","236","0.440244083250651","0.397118467379109","0.483369699122193","3"
"Reasonable","1998","direct migration background","East Germany","16","","","","3"
"Reasonable","1998","indirect migration background","West Germany","66","0.438109679129099","0.35472316167299","0.521496196585209","3"
"Reasonable","1998","indirect migration background","East Germany","2","","","","3"
"Slightly Expensive","1998","no migration background","West Germany","292","0.0687515066015045","0.0607856935791584","0.0767173196238507","4"
"Slightly Expensive","1998","no migration background","East Germany","153","0.0843288588874262","0.0700702117897739","0.0985875059850786","4"
"Slightly Expensive","1998","direct migration background","West Germany","47","0.0811803533358585","0.0574540649434306","0.104906641728287","4"
"Slightly Expensive","1998","direct migration background","East Germany","5","","","","4"
"Slightly Expensive","1998","indirect migration background","East Germany","5","","","","4"
"Slightly Expensive","1998","indirect migration background","West Germany","12","","","","4"
"Too Expensive","1998","no migration background","West Germany","57","0.0182731378946732","0.0140565795914015","0.022489696197945","5"
"Too Expensive","1998","no migration background","East Germany","16","","","","5"
"Too Expensive","1998","direct migration background","West Germany","5","","","","5"
"Too Expensive","1998","direct migration background","East Germany","","","","","5"
"Too Expensive","1998","indirect migration background","West Germany","2","","","","5"
"Too Expensive","1998","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1998","no migration background","West Germany","673","0.185100033654304","0.172873267513208","0.1973267997954","1"
"Very Inexpensive","1998","no migration background","East Germany","142","0.102096329093742","0.0865602872521621","0.117632370935323","1"
"Very Inexpensive","1998","direct migration background","West Germany","73","0.190909333395661","0.156766357133727","0.225052309657595","1"
"Very Inexpensive","1998","indirect migration background","West Germany","22","","","","1"
"Very Inexpensive","1998","direct migration background","East Germany","7","","","","1"
"Very Inexpensive","1998","indirect migration background","East Germany","2","","","","1"
"Inexpensive","1999","no migration background","West Germany","1278","0.350451439143601","0.335247726358694","0.365655151928509","2"
"Inexpensive","1999","no migration background","East Germany","476","0.364639476609227","0.339949901328538","0.389329051889915","2"
"Inexpensive","1999","direct migration background","West Germany","129","0.26801566805304","0.229724596871116","0.306306739234965","2"
"Inexpensive","1999","direct migration background","East Germany","16","","","","2"
"Inexpensive","1999","indirect migration background","West Germany","38","0.263679786250361","0.19016404706496","0.337195525435762","2"
"Inexpensive","1999","indirect migration background","East Germany","1","","","","2"
"Reasonable","1999","no migration background","West Germany","1487","0.38823486970178","0.372704937860326","0.403764801543234","3"
"Reasonable","1999","no migration background","East Germany","654","0.432205952921789","0.406795497270407","0.457616408573171","3"
"Reasonable","1999","direct migration background","West Germany","246","0.39338496665622","0.351153905369729","0.435616027942711","3"
"Reasonable","1999","direct migration background","East Germany","15","","","","3"
"Reasonable","1999","indirect migration background","West Germany","70","0.441836775876401","0.358981515262134","0.524692036490667","3"
"Reasonable","1999","indirect migration background","East Germany","5","","","","3"
"Slightly Expensive","1999","no migration background","West Germany","271","0.0658759980426474","0.0579711087875779","0.0737808872977168","4"
"Slightly Expensive","1999","no migration background","East Germany","152","0.0861978614795215","0.0718017237202415","0.100593999238802","4"
"Slightly Expensive","1999","direct migration background","West Germany","39","0.0690927446881948","0.0471679284666015","0.0910175609097881","4"
"Slightly Expensive","1999","direct migration background","East Germany","","","","","4"
"Slightly Expensive","1999","indirect migration background","West Germany","10","","","","4"
"Slightly Expensive","1999","indirect migration background","East Germany","","","","","4"
"Too Expensive","1999","no migration background","West Germany","66","0.0160490314474036","0.0120445981570433","0.0200534647377639","5"
"Too Expensive","1999","direct migration background","West Germany","14","","","","5"
"Too Expensive","1999","no migration background","East Germany","32","0.0215662943193041","0.0141151130374332","0.029017475601175","5"
"Too Expensive","1999","direct migration background","East Germany","1","","","","5"
"Too Expensive","1999","indirect migration background","West Germany","3","","","","5"
"Too Expensive","1999","indirect migration background","East Germany","1","","","","5"
"Very Inexpensive","1999","no migration background","West Germany","681","0.179388661664567","0.16716233002324","0.191614993305894","1"
"Very Inexpensive","1999","no migration background","East Germany","146","0.0953904146701585","0.0803224489290084","0.110458380411309","1"
"Very Inexpensive","1999","direct migration background","West Germany","86","0.229017775949624","0.19269129651709","0.265344255382158","1"
"Very Inexpensive","1999","indirect migration background","West Germany","17","","","","1"
"Very Inexpensive","1999","direct migration background","East Germany","2","","","","1"
"Very Inexpensive","1999","indirect migration background","East Germany","1","","","","1"
"Inexpensive","2000","no migration background","East Germany","826","0.343847854204341","0.325206163313857","0.362489545094826","2"
"Inexpensive","2000","no migration background","West Germany","2715","0.337909621102304","0.327606429921171","0.348212812283437","2"
"Inexpensive","2000","direct migration background","West Germany","233","0.293283212168369","0.262713271224974","0.323853153111764","2"
"Inexpensive","2000","direct migration background","East Germany","20","","","","2"
"Inexpensive","2000","indirect migration background","West Germany","75","0.341877215823729","0.281359764165548","0.402394667481909","2"
"Inexpensive","2000","indirect migration background","East Germany","2","","","","2"
"Reasonable","2000","no migration background","West Germany","3358","0.405247868034708","0.394553842558079","0.415941893511337","3"
"Reasonable","2000","no migration background","East Germany","1127","0.453229886653649","0.433692722727613","0.472767050579684","3"
"Reasonable","2000","direct migration background","West Germany","396","0.423918832580407","0.390736150365635","0.457101514795179","3"
"Reasonable","2000","direct migration background","East Germany","20","","","","3"
"Reasonable","2000","indirect migration background","West Germany","110","0.429628987665528","0.366472553684001","0.492785421647055","3"
"Reasonable","2000","indirect migration background","East Germany","5","","","","3"
"Slightly Expensive","2000","no migration background","West Germany","654","0.0823362709259928","0.0763487061990375","0.088323835652948","4"
"Slightly Expensive","2000","no migration background","East Germany","302","0.104321829881481","0.0923250840067083","0.116318575756253","4"
"Slightly Expensive","2000","direct migration background","West Germany","91","0.106119211851156","0.0854385181129561","0.126799905589355","4"
"Slightly Expensive","2000","indirect migration background","West Germany","24","","","","4"
"Slightly Expensive","2000","direct migration background","East Germany","2","","","","4"
"Slightly Expensive","2000","indirect migration background","East Germany","","","","","4"
"Too Expensive","2000","no migration background","West Germany","130","0.0155013411516782","0.0128103947793168","0.0181922875240395","5"
"Too Expensive","2000","direct migration background","West Germany","24","","","","5"
"Too Expensive","2000","no migration background","East Germany","38","0.0161560595846059","0.0112080481213472","0.0211040710478646","5"
"Too Expensive","2000","direct migration background","East Germany","","","","","5"
"Too Expensive","2000","indirect migration background","West Germany","4","","","","5"
"Too Expensive","2000","indirect migration background","East Germany","2","","","","5"
"Very Inexpensive","2000","no migration background","West Germany","1239","0.159004898785317","0.151039366051791","0.166970431518843","1"
"Very Inexpensive","2000","no migration background","East Germany","201","0.0824443696759236","0.0716500178366487","0.0932387215151984","1"
"Very Inexpensive","2000","direct migration background","West Germany","108","0.150119860445686","0.12613560671727","0.174104114174103","1"
"Very Inexpensive","2000","direct migration background","East Germany","4","","","","1"
"Very Inexpensive","2000","indirect migration background","West Germany","23","","","","1"
"Very Inexpensive","2000","indirect migration background","East Germany","","","","","1"
"Inexpensive","2001","no migration background","East Germany","758","0.321842493037285","0.302909470199526","0.340775515875045","2"
"Inexpensive","2001","no migration background","West Germany","2406","0.327112101248741","0.316361545713354","0.337862656784128","2"
"Inexpensive","2001","direct migration background","West Germany","201","0.24896767892272","0.21864110336281","0.279294254482629","2"
"Inexpensive","2001","direct migration background","East Germany","9","","","","2"
"Inexpensive","2001","indirect migration background","West Germany","56","0.22794076027999","0.17300433574622","0.28287718481376","2"
"Inexpensive","2001","indirect migration background","East Germany","","","","","2"
"Reasonable","2001","no migration background","East Germany","1117","0.479569792280351","0.459323750059867","0.499815834500836","3"
"Reasonable","2001","no migration background","West Germany","3288","0.450032366790922","0.438632449956297","0.461432283625547","3"
"Reasonable","2001","direct migration background","West Germany","378","0.498827938820788","0.463761522450559","0.533894355191017","3"
"Reasonable","2001","direct migration background","East Germany","24","","","","3"
"Reasonable","2001","indirect migration background","West Germany","107","0.488632602166344","0.423171725063129","0.554093479269558","3"
"Reasonable","2001","indirect migration background","East Germany","7","","","","3"
"Slightly Expensive","2001","no migration background","West Germany","518","0.0686105824628265","0.0628179970626319","0.0744031678630211","4"
"Slightly Expensive","2001","no migration background","East Germany","253","0.0975320422796195","0.0855087740822532","0.109555310476986","4"
"Slightly Expensive","2001","direct migration background","West Germany","94","0.0948937275610394","0.0743399754353192","0.11544747968676","4"
"Slightly Expensive","2001","direct migration background","East Germany","1","","","","4"
"Slightly Expensive","2001","indirect migration background","West Germany","31","0.102533858349441","0.0628085965043962","0.142259120194485","4"
"Slightly Expensive","2001","indirect migration background","East Germany","","","","","4"
"Too Expensive","2001","no migration background","West Germany","131","0.0164900934600998","0.013571912829254","0.0194082740909456","5"
"Too Expensive","2001","no migration background","East Germany","24","","","","5"
"Too Expensive","2001","direct migration background","West Germany","21","","","","5"
"Too Expensive","2001","direct migration background","East Germany","","","","","5"
"Too Expensive","2001","indirect migration background","West Germany","3","","","","5"
"Too Expensive","2001","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","2001","no migration background","West Germany","973","0.137754856037411","0.129857529785589","0.145652182289233","1"
"Very Inexpensive","2001","no migration background","East Germany","187","0.0887802397719001","0.0772536005161818","0.100306879027618","1"
"Very Inexpensive","2001","direct migration background","West Germany","87","0.136264420576753","0.112203944527949","0.160324896625557","1"
"Very Inexpensive","2001","direct migration background","East Germany","3","","","","1"
"Very Inexpensive","2001","indirect migration background","West Germany","27","","","","1"
"Very Inexpensive","2001","indirect migration background","East Germany","","","","","1"
"Inexpensive","2002","no migration background","West Germany","2680","0.318214374810818","0.308304804869886","0.32812394475175","2"
"Inexpensive","2002","no migration background","East Germany","758","0.333427264569624","0.314624840168932","0.352229688970315","2"
"Inexpensive","2002","direct migration background","West Germany","220","0.266943742899915","0.236536198921296","0.297351286878533","2"
"Inexpensive","2002","direct migration background","East Germany","13","","","","2"
"Inexpensive","2002","indirect migration background","West Germany","62","0.208949293820554","0.159626183835115","0.258272403805993","2"
"Inexpensive","2002","indirect migration background","East Germany","1","","","","2"
"Reasonable","2002","no migration background","West Germany","3846","0.449199505678955","0.438617017660388","0.459781993697522","3"
"Reasonable","2002","no migration background","East Germany","1160","0.475884027092375","0.455965657562922","0.495802396621829","3"
"Reasonable","2002","direct migration background","West Germany","395","0.46147752907261","0.427210219153199","0.495744838992022","3"
"Reasonable","2002","direct migration background","East Germany","17","","","","3"
"Reasonable","2002","indirect migration background","West Germany","139","0.556312921453494","0.496039506049315","0.616586336857673","3"
"Reasonable","2002","indirect migration background","East Germany","2","","","","3"
"Slightly Expensive","2002","no migration background","West Germany","701","0.0774942073943751","0.0718058069561262","0.0831826078326241","4"
"Slightly Expensive","2002","no migration background","East Germany","283","0.0977998747361094","0.0859528276578978","0.109646921814321","4"
"Slightly Expensive","2002","direct migration background","West Germany","95","0.124757281861485","0.102042947034167","0.147471616688803","4"
"Slightly Expensive","2002","direct migration background","East Germany","2","","","","4"
"Slightly Expensive","2002","indirect migration background","West Germany","33","0.121305285419435","0.0816969394856746","0.160913631353194","4"
"Slightly Expensive","2002","indirect migration background","East Germany","","","","","4"
"Too Expensive","2002","no migration background","West Germany","104","0.0115143441855036","0.00924460592098728","0.01378408245002","5"
"Too Expensive","2002","no migration background","East Germany","23","","","","5"
"Too Expensive","2002","direct migration background","West Germany","12","","","","5"
"Too Expensive","2002","direct migration background","East Germany","","","","","5"
"Too Expensive","2002","indirect migration background","West Germany","3","","","","5"
"Too Expensive","2002","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","2002","no migration background","West Germany","1156","0.143577567930348","0.136117233381661","0.151037902479034","1"
"Very Inexpensive","2002","no migration background","East Germany","191","0.0816245656381828","0.0707048810468142","0.0925442502295513","1"
"Very Inexpensive","2002","direct migration background","West Germany","91","0.136111786665889","0.112540707855946","0.159682865475831","1"
"Very Inexpensive","2002","direct migration background","East Germany","1","","","","1"
"Very Inexpensive","2002","indirect migration background","West Germany","24","","","","1"
"Very Inexpensive","2002","indirect migration background","East Germany","1","","","","1"
"Inexpensive","2003","no migration background","West Germany","","","","","2"
"Inexpensive","2003","no migration background","East Germany","","","","","2"
"Inexpensive","2003","direct migration background","West Germany","","","","","2"
"Inexpensive","2003","direct migration background","East Germany","","","","","2"
"Inexpensive","2003","indirect migration background","West Germany","","","","","2"
"Inexpensive","2003","indirect migration background","East Germany","","","","","2"
"Reasonable","2003","no migration background","West Germany","","","","","3"
"Reasonable","2003","no migration background","East Germany","","","","","3"
"Reasonable","2003","direct migration background","West Germany","","","","","3"
"Reasonable","2003","direct migration background","East Germany","","","","","3"
"Reasonable","2003","indirect migration background","West Germany","","","","","3"
"Reasonable","2003","indirect migration background","East Germany","","","","","3"
"Slightly Expensive","2003","no migration background","West Germany","","","","","4"
"Slightly Expensive","2003","direct migration background","West Germany","","","","","4"
"Slightly Expensive","2003","no migration background","East Germany","","","","","4"
"Slightly Expensive","2003","direct migration background","East Germany","","","","","4"
"Slightly Expensive","2003","indirect migration background","West Germany","","","","","4"
"Slightly Expensive","2003","indirect migration background","East Germany","","","","","4"
"Too Expensive","2003","no migration background","West Germany","","","","","5"
"Too Expensive","2003","no migration background","East Germany","","","","","5"
"Too Expensive","2003","direct migration background","West Germany","","","","","5"
"Too Expensive","2003","direct migration background","East Germany","","","","","5"
"Too Expensive","2003","indirect migration background","West Germany","","","","","5"
"Too Expensive","2003","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","2003","no migration background","West Germany","","","","","1"
"Very Inexpensive","2003","no migration background","East Germany","","","","","1"
"Very Inexpensive","2003","direct migration background","West Germany","","","","","1"
"Very Inexpensive","2003","direct migration background","East Germany","","","","","1"
"Very Inexpensive","2003","indirect migration background","East Germany","","","","","1"
"Very Inexpensive","2003","indirect migration background","West Germany","","","","","1"
"Inexpensive","2004","no migration background","West Germany","","","","","2"
"Inexpensive","2004","no migration background","East Germany","","","","","2"
"Inexpensive","2004","direct migration background","East Germany","","","","","2"
"Inexpensive","2004","direct migration background","West Germany","","","","","2"
"Inexpensive","2004","indirect migration background","West Germany","","","","","2"
"Inexpensive","2004","indirect migration background","East Germany","","","","","2"
"Reasonable","2004","no migration background","West Germany","","","","","3"
"Reasonable","2004","no migration background","East Germany","","","","","3"
"Reasonable","2004","direct migration background","West Germany","","","","","3"
"Reasonable","2004","direct migration background","East Germany","","","","","3"
"Reasonable","2004","indirect migration background","West Germany","","","","","3"
"Reasonable","2004","indirect migration background","East Germany","","","","","3"
"Slightly Expensive","2004","no migration background","West Germany","","","","","4"
"Slightly Expensive","2004","no migration background","East Germany","","","","","4"
"Slightly Expensive","2004","direct migration background","West Germany","","","","","4"
"Slightly Expensive","2004","direct migration background","East Germany","","","","","4"
"Slightly Expensive","2004","indirect migration background","West Germany","","","","","4"
"Slightly Expensive","2004","indirect migration background","East Germany","","","","","4"
"Too Expensive","2004","no migration background","West Germany","","","","","5"
"Too Expensive","2004","no migration background","East Germany","","","","","5"
"Too Expensive","2004","direct migration background","West Germany","","","","","5"
"Too Expensive","2004","direct migration background","East Germany","","","","","5"
"Too Expensive","2004","indirect migration background","West Germany","","","","","5"
"Too Expensive","2004","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","2004","no migration background","West Germany","","","","","1"
"Very Inexpensive","2004","no migration background","East Germany","","","","","1"
"Very Inexpensive","2004","direct migration background","West Germany","","","","","1"
"Very Inexpensive","2004","direct migration background","East Germany","","","","","1"
"Very Inexpensive","2004","indirect migration background","East Germany","","","","","1"
"Very Inexpensive","2004","indirect migration background","West Germany","","","","","1"
"Inexpensive","2005","no migration background","West Germany","2265","0.308795237805832","0.298350600508633","0.319239875103032","2"
"Inexpensive","2005","no migration background","East Germany","673","0.304513713613573","0.285827649104283","0.323199778122863","2"
"Inexpensive","2005","direct migration background","East Germany","9","","","","2"
"Inexpensive","2005","direct migration background","West Germany","205","0.246528943822002","0.216165931541552","0.276891956102452","2"
"Inexpensive","2005","indirect migration background","West Germany","82","0.28414225213521","0.231781372350488","0.336503131919932","2"
"Inexpensive","2005","indirect migration background","East Germany","3","","","","2"
"Reasonable","2005","no migration background","West Germany","3726","0.49578084970889","0.484477445788291","0.50708425362949","3"
"Reasonable","2005","no migration background","East Germany","1209","0.503409386855135","0.483107797535245","0.523710976175025","3"
"Reasonable","2005","direct migration background","West Germany","401","0.545775643031988","0.510698848802857","0.580852437261119","3"
"Reasonable","2005","direct migration background","East Germany","19","","","","3"
"Reasonable","2005","indirect migration background","West Germany","144","0.485304044390309","0.427280000340705","0.543328088439914","3"
"Reasonable","2005","indirect migration background","East Germany","7","","","","3"
"Slightly Expensive","2005","no migration background","East Germany","255","0.0965853013576148","0.0845911582512219","0.108579444464008","4"
"Slightly Expensive","2005","no migration background","West Germany","568","0.074585090500635","0.0686456031476058","0.0805245778536643","4"
"Slightly Expensive","2005","direct migration background","West Germany","76","0.0924923396344805","0.07208174567393","0.112902933595031","4"
"Slightly Expensive","2005","direct migration background","East Germany","1","","","","4"
"Slightly Expensive","2005","indirect migration background","West Germany","31","0.0806720098483328","0.0490548874127796","0.112289132283886","4"
"Slightly Expensive","2005","indirect migration background","East Germany","","","","","4"
"Too Expensive","2005","no migration background","East Germany","53","0.0267880122167471","0.0202319344024913","0.0333440900310029","5"
"Too Expensive","2005","no migration background","West Germany","76","0.00992464275007575","0.00768361996443127","0.0121656655357202","5"
"Too Expensive","2005","direct migration background","West Germany","15","","","","5"
"Too Expensive","2005","direct migration background","East Germany","1","","","","5"
"Too Expensive","2005","indirect migration background","West Germany","4","","","","5"
"Too Expensive","2005","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","2005","no migration background","West Germany","881","0.110914179234567","0.103814804800717","0.118013553668417","1"
"Very Inexpensive","2005","no migration background","East Germany","140","0.0687035859569303","0.0584327971625339","0.0789743747513267","1"
"Very Inexpensive","2005","direct migration background","West Germany","77","0.106730235401434","0.0849775608918706","0.128482909910997","1"
"Very Inexpensive","2005","direct migration background","East Germany","4","","","","1"
"Very Inexpensive","2005","indirect migration background","West Germany","24","","","","1"
"Very Inexpensive","2005","indirect migration background","East Germany","","","","","1"
"Inexpensive","2006","no migration background","West Germany","2433","0.302935791885275","0.29304800193449","0.312823581836059","2"
"Inexpensive","2006","no migration background","East Germany","757","0.302109739261013","0.284132065728133","0.320087412793892","2"
"Inexpensive","2006","direct migration background","West Germany","211","0.284627756937782","0.25316192540607","0.316093588469493","2"
"Inexpensive","2006","direct migration background","East Germany","11","","","","2"
"Inexpensive","2006","indirect migration background","West Germany","69","0.195837076400666","0.151300415527092","0.24037373727424","2"
"Inexpensive","2006","indirect migration background","East Germany","2","","","","2"
"Reasonable","2006","no migration background","West Germany","4074","0.480987215703417","0.47023635238754","0.491738079019293","3"
"Reasonable","2006","no migration background","East Germany","1216","0.488988386275441","0.469416971763027","0.508559800787855","3"
"Reasonable","2006","direct migration background","West Germany","397","0.479124044222971","0.444288252644358","0.513959835801583","3"
"Reasonable","2006","direct migration background","East Germany","21","","","","3"
"Reasonable","2006","indirect migration background","West Germany","155","0.507239121372756","0.451131397291198","0.563346845454314","3"
"Reasonable","2006","indirect migration background","East Germany","9","","","","3"
"Slightly Expensive","2006","no migration background","East Germany","331","0.116869178493423","0.104290932779654","0.129447424207193","4"
"Slightly Expensive","2006","no migration background","West Germany","661","0.0875529381622473","0.0814712136041903","0.0936346627203044","4"
"Slightly Expensive","2006","direct migration background","West Germany","99","0.131721081936358","0.108138474686008","0.155303689186708","4"
"Slightly Expensive","2006","direct migration background","East Germany","2","","","","4"
"Slightly Expensive","2006","indirect migration background","West Germany","39","0.125752576601867","0.0885413661088007","0.162963787094933","4"
"Slightly Expensive","2006","indirect migration background","East Germany","2","","","","4"
"Too Expensive","2006","no migration background","East Germany","48","0.0194466082156608","0.0140401218366239","0.0248530945946977","5"
"Too Expensive","2006","no migration background","West Germany","101","0.0118987805242773","0.00956564755557153","0.014231913492983","5"
"Too Expensive","2006","direct migration background","West Germany","1","","","","5"
"Too Expensive","2006","direct migration background","East Germany","","","","","5"
"Too Expensive","2006","indirect migration background","West Germany","5","","","","5"
"Too Expensive","2006","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","2006","no migration background","West Germany","1028","0.116625273724784","0.109718799920876","0.123531747528692","1"
"Very Inexpensive","2006","no migration background","East Germany","154","0.0725860877544619","0.0624277872591452","0.0827443882497787","1"
"Very Inexpensive","2006","direct migration background","West Germany","82","0.104274888687267","0.0829634981528952","0.125586279221639","1"
"Very Inexpensive","2006","direct migration background","East Germany","1","","","","1"
"Very Inexpensive","2006","indirect migration background","West Germany","37","0.167207191873421","0.125328401311057","0.209085982435785","1"
"Very Inexpensive","2006","indirect migration background","East Germany","","","","","1"
"Inexpensive","2007","no migration background","West Germany","2334","0.30412582787777","0.293889664099122","0.314361991656418","2"
"Inexpensive","2007","direct migration background","West Germany","206","0.291105504952052","0.257877682597481","0.324333327306624","2"
"Inexpensive","2007","no migration background","East Germany","681","0.289215416549694","0.270957749620942","0.307473083478447","2"
"Inexpensive","2007","direct migration background","East Germany","13","","","","2"
"Inexpensive","2007","indirect migration background","West Germany","70","0.277831496669593","0.22609918826715","0.329563805072036","2"
"Inexpensive","2007","indirect migration background","East Germany","3","","","","2"
"Reasonable","2007","no migration background","West Germany","3821","0.495616614993982","0.484491653162047","0.506741576825917","3"
"Reasonable","2007","direct migration background","West Germany","361","0.501480100527048","0.464907657636697","0.538052543417399","3"
"Reasonable","2007","no migration background","East Germany","1216","0.512080706721583","0.491952329489484","0.532209083953683","3"
"Reasonable","2007","direct migration background","East Germany","12","","","","3"
"Reasonable","2007","indirect migration background","West Germany","153","0.516952640788462","0.459239849127766","0.574665432449159","3"
"Reasonable","2007","indirect migration background","East Germany","13","","","","3"
"Slightly Expensive","2007","no migration background","West Germany","622","0.0827458778950966","0.0766158389291534","0.0888759168610398","4"
"Slightly Expensive","2007","no migration background","East Germany","258","0.10309427574795","0.0908493477838428","0.115339203712058","4"
"Slightly Expensive","2007","direct migration background","West Germany","71","0.102061225134092","0.079918064000224","0.12420438626796","4"
"Slightly Expensive","2007","direct migration background","East Germany","3","","","","4"
"Slightly Expensive","2007","indirect migration background","West Germany","36","0.152439573724473","0.110926389635564","0.193952757813382","4"
"Slightly Expensive","2007","indirect migration background","East Germany","","","","","4"
