variable,question,label_de,topic,var_link
pli0098_h,Now some questions about your leisure time. Please indicate how often you take parte in each activity.,"Going to church, attending religious events",Time Use and Environmental Behavior,<a href='url'>https://paneldata.org/soep-core/data/pl/pli0098_h</a>
pli0165,Using online social networks (such as Facebook / Google+ / Xing),Use of online social networks,Time Use and Environmental Behavior,<a href='url'>https://paneldata.org/soep-core/data/pl/pli0165</a>
plj0014_v3,Do you have German citizenship?,German Citizenship,Demography,<a href='url'>https://paneldata.org/soep-core/data/pl/plj0014_v3</a>
plj0046,How concerned are you about the following issues?,Worries: Job Security Immigration To Germany,"Attitudes, Values, and Personality",<a href='url'>https://paneldata.org/soep-core/data/pl/plj0046</a>
plj0047,How concerned are you about the following issues?,Worries: Job Security Hostility To Foreigners,"Attitudes, Values, and Personality",<a href='url'>https://paneldata.org/soep-core/data/pl/plj0047</a>
plj0587,How often do you feel that you miss the company of others?,Loneliness: Lacking the company of others,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/plj0587</a>
plj0588,How often do you feel like an outsider?,Loneliness: Feeling of being left out,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/plj0588</a>
plj0589,How often do you feel socially isolated?,Loneliness: Feeling of being socially isolated,Health and Care,<a href='url'>https://paneldata.org/soep-core/data/pl/plj0589</a>
sampreg,,Sample Region,Demography,<a href='url'>https://paneldata.org/soep-core/data/ppathl/sampreg</a>
sex,,Gender,Demography,<a href='url'>https://paneldata.org/soep-core/data/ppathl/sex</a>
syear,,Survey Year,,<a href='url'>https://paneldata.org/soep-core/data/ppathl/syear</a>
transab,,Transfer dependency,"Income, Taxes, and Social Security",
transab_cat,,Transfer dependency grouped 1,"Income, Taxes, and Social Security",
transab_cat2,,Transfer dependency grouped 2,"Income, Taxes, and Social Security",
years_injob,,Employed by current employer in years,Work and Employment,
regtyp,,Region type according to BBSR,Demography,<a href='url'>https://paneldata.org/soep-core/data/hbrutto/regtyp</a>
