variable,type,label_de,study,dataset,version,meantable,probtable,template_id,label,concept,description,description_de,minedition,topic,rawdata,documentation_link,documentation_link_html,documentation_paper,documentation_paper_html
pid,long,Individual ID,soep-core,p_data,v36,,,,,,,,,,ppathl,https://paneldata.org/soep-core/data/ppathl/pid,`pid <https://paneldata.org/soep-core/data/ppathl/pid>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf,`ppathl Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf>`_
plb0037_h,byte,Employment relationship Limited/Unlimited,soep-core,p_data,v36,No,Yes,,,,"The variable describes the respondent's employment contract (Do you have a fixed-term or permanent employment contract?) For 2011, 2012, questionnaire version with changed filter management. For 1990, question not asked for all samples.",,,Work and Employment,pl,https://paneldata.org/soep-core/data/pl/plb0037_h,`plb0037_h <https://paneldata.org/soep-core/data/pl/plb0037_h>`_,,
plb0050,byte,"Works council, staff council in company (""Betriebsrat"")",soep-core,p_data,v36,No,Yes,,,,"The variable describes whether there is a works council in the respondent's company. Does an employee's council exist at your place of work? For 2011, questionnaire version with changed filter management. For 2011, 2016, 2019, question not asked for all samples.",,,Work and Employment,pl,https://paneldata.org/soep-core/data/pl/plb0050,`plb0050 <https://paneldata.org/soep-core/data/pl/plb0050>`_,,
plb0158,float,Distance from home to work in km,soep-core,p_data,v36,Yes,No,,,,The variable describes distance to place of work in km. (How far do you travel to work on a normal workday?),,,Work and Employment,pl,https://paneldata.org/soep-core/data/pl/plb0158,`plb0158 <https://paneldata.org/soep-core/data/pl/plb0158>`_,,
plb0195_h,byte,Compensate overtime,soep-core,p_data,v36,No,Yes,,,,"The variable describes how overtime is handled in the respondent's company (If you do work overtime, is the work paid, compensated with time off, or not compensated at all?). For 1990, question not asked for all samples.",,,Work and Employment,pl,https://paneldata.org/soep-core/data/pl/plb0195_h,`plb0195_h <https://paneldata.org/soep-core/data/pl/plb0195_h>`_,,
plb0196_h,byte,Overtime last month,soep-core,p_data,v36,No,Yes,,,,"The variable describes respondet has worked overtime in the last month (Have you worked overtime in the last month? If so, how many hours?). . For 1990, 2016-2019, question not asked for all samples.",,,Work and Employment,pl,https://paneldata.org/soep-core/data/pl/plb0196_h,`plb0196_h <https://paneldata.org/soep-core/data/pl/plb0196_h>`_,,
plb0197,float,Overtime last month number,soep-core,p_data,v36,Yes,No,,,,"The variable describes the number of overtime hours worked (Have you worked overtime in the last month? If so, how many hours?). For 2016-2019, question not asked for all samples.",,,Work and Employment,pl,https://paneldata.org/soep-core/data/pl/plb0197,`plb0197 <https://paneldata.org/soep-core/data/pl/plb0197>`_,,
plb0218,byte,Work on Saturday,soep-core,p_data,v36,No,Yes,,,,"The variable describes how often the respondent has to work on Sunday. (Do you have to work weekends? If so, how often?). For 2010, 2012, 2013, 2015, 2017, 2019, question not asked for all samples.",,,Work and Employment,pl,https://paneldata.org/soep-core/data/pl/plb0218,`plb0218 <https://paneldata.org/soep-core/data/pl/plb0218>`_,,
plb0219,byte,Work on Sunday,soep-core,p_data,v36,No,Yes,,,,"The variable describes how often the respondent has to work on Sunday. (Do you have to work weekends? If so, how often?) For 2010, 2012, 2013, 2015, 2017, 2019, question not asked for all samples.",,,Work and Employment,pl,https://paneldata.org/soep-core/data/pl/plb0219,`plb0219 <https://paneldata.org/soep-core/data/pl/plb0219>`_,,
pld0043,byte,Hfk. pers. Lend things to friends,soep-core,p_data,v36,No,Yes,,,,"This collection of variables includes several questions about trust, trustworthiness and fairness. For 2013, 2018, questionnaire version with changed filter management. For 1990, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/pld0043,`pld0043 <https://paneldata.org/soep-core/data/pl/pld0043>`_,,
pld0044,byte,Hfk. Lend money to friends,soep-core,p_data,v36,No,Yes,,,,"This collection of variables includes several questions about trust, trustworthiness and fairness. For 2013, 2018, questionnaire version with changed filter management. For 1990, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/pld0044,`pld0044 <https://paneldata.org/soep-core/data/pl/pld0044>`_,,
pld0045,byte,Hfk. Door unlocked,soep-core,p_data,v36,No,Yes,,,,"This collection of variables includes several questions about trust, trustworthiness and fairness. For 2013, 2018, questionnaire version with changed filter management. For 1990, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/pld0045,`pld0045 <https://paneldata.org/soep-core/data/pl/pld0045>`_,,
pld0047,float,Number of close friends,soep-core,p_data,v36,Yes,No,,,,The variable includes the number of close friends of the respondent. (What would you say: How many close do you have and how many of them are colleagues?),Die Variable umfasst die Anza,,Time Use and Environmental Behavior,pl,https://paneldata.org/soep-core/data/pl/pld0047,`pld0047 <https://paneldata.org/soep-core/data/pl/pld0047>`_,,
ple0004,byte,Health condition impaired Climbing stairs,soep-core,p_data,v36,No,Yes,,,,"Variable describes the evaluation of the own health. (If you have to climb stairs, i.e. walk up several floors: Does your state of health restrict you a lot, a little or not at all?) For 2010, 2012, 2016-2019, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0004,`ple0004 <https://paneldata.org/soep-core/data/pl/ple0004>`_,,
ple0005,byte,Health condition impair. exert. Activities,soep-core,p_data,v36,No,Yes,,,,"Variable describes the evaluation of the own health. (And what about other strenuous activities in everyday life, e.g. when you have to lift something heavy or need to be mobile: Does your state of health restrict you a lot, a little or not at all?) For 2010, 2012, 2016-2019, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0005,`ple0005 <https://paneldata.org/soep-core/data/pl/ple0005>`_,,
ple0006,float,Body height in cm,soep-core,p_data,v36,Yes,No,,,,"The variable describes the height of the respondent in cm. For 2010, 2012, 2016, 2018, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0006,`ple0006 <https://paneldata.org/soep-core/data/pl/ple0006>`_,,
ple0007,float,Body weight in kg,soep-core,p_data,v36,Yes,No,,,,"The variable describes body weight of the respondent in kg.For 2010, 2012, 2016, 2018, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0007,`ple0007 <https://paneldata.org/soep-core/data/pl/ple0007>`_,,
ple0008,byte,Current state of health,soep-core,p_data,v36,No,Yes,,,,Variable describes the evaluation of the own health. (How would you describe your current health?),,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0008,`ple0008 <https://paneldata.org/soep-core/data/pl/ple0008>`_,,
ple0009,byte,Restriction in everyday life due to health problems,soep-core,p_data,v36,No,Yes,,,,"The variable describes whether the respondent's health influences daily life. (Are you restricted in normal everyday activities by a health problem ?) (For 2011, 2016-2018, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0009,`ple0009 <https://paneldata.org/soep-core/data/pl/ple0009>`_,,
ple0011,byte,Sleep disorder,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0011,`ple0011 <https://paneldata.org/soep-core/data/pl/ple0011>`_,,
ple0012,byte,diabetes,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0012,`ple0012 <https://paneldata.org/soep-core/data/pl/ple0012>`_,,
ple0013,byte,asthma,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0013,`ple0013 <https://paneldata.org/soep-core/data/pl/ple0013>`_,,
ple0014,byte,Heart disease,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0014,`ple0014 <https://paneldata.org/soep-core/data/pl/ple0014>`_,,
ple0015,byte,Cancer,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0015,`ple0015 <https://paneldata.org/soep-core/data/pl/ple0015>`_,,
ple0016,byte,Stroke,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0016,`ple0016 <https://paneldata.org/soep-core/data/pl/ple0016>`_,,
ple0017,byte,Migraine,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0017,`ple0017 <https://paneldata.org/soep-core/data/pl/ple0017>`_,,
ple0018,byte,High blood pressure,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0018,`ple0018 <https://paneldata.org/soep-core/data/pl/ple0018>`_,,
ple0019,byte,Depressive illness,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0019,`ple0019 <https://paneldata.org/soep-core/data/pl/ple0019>`_,,
ple0020,byte,Dementia,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0020,`ple0020 <https://paneldata.org/soep-core/data/pl/ple0020>`_,,
ple0021,byte,"Joint diseases (also arthrosis, rheumatism)",soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0021,`ple0021 <https://paneldata.org/soep-core/data/pl/ple0021>`_,,
ple0022,byte,Chronic back problems,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0022,`ple0022 <https://paneldata.org/soep-core/data/pl/ple0022>`_,,
ple0024,byte,No disease detected,soep-core,p_data,v36,No,Yes,,,,The variable describes whether the respondent suffers from a disease. (Has a doctor ever diagnosed you to have one or more of the following illnesses?) Question not asked for all samples.,,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0024,`ple0024 <https://paneldata.org/soep-core/data/pl/ple0024>`_,,
ple0040,byte,"Disability, severe disability",soep-core,p_data,v36,No,Yes,,,,"Variable describes whether the respondent has been diagnosed with a severe disability. (Have you been officially assessed as being severely disabled (Schwerbehindert) or partially incapable of work (Erwerbsgemindert) for medical reasons?) For 2016-2019, question not asked for all samples",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0040,`ple0040 <https://paneldata.org/soep-core/data/pl/ple0040>`_,,
ple0041,byte,Degree of disability in percent,soep-core,p_data,v36,Yes,No,,,,"Variable describes the degree to which the severe disability was determined. (What is the degree of your reduced capability to work (Erwerbsminderung) or disabilty (Schwerbehinderung)?). (For 2016-2019, question not asked for all samples",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0041,`ple0041 <https://paneldata.org/soep-core/data/pl/ple0041>`_,,
ple0044_h,byte,Didn't Work Last Year Due to Illness,soep-core,p_data,v36,No,Yes,,,,"Variable describes how many days the respondent could not work in the last year. (How many days were you unable to work in last year due to illness?). For 2011, 2016-2019, question not asked for all samples",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0044_h,`ple0044_h <https://paneldata.org/soep-core/data/pl/ple0044_h>`_,,
ple0053,byte,Hospitalization previous year,soep-core,p_data,v36,No,Yes,,,,"Variable describes had spend a night in a hospital in the last year. (What about hospital stays in the last year - were you admitted to a hospital for at least one night in the last year?). For 2013, 2015-2019, question not asked for all samples",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0053,`ple0053 <https://paneldata.org/soep-core/data/pl/ple0053>`_,,
ple0055,float,Hospitalization previous year Number,soep-core,p_data,v36,Yes,No,,,,"Variable describes how many days the respondent had to spend in a hospital in the last year. (How many nights total did you spend in the hospital last year?) For 2013, 2015-2019, question not asked for all samples",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0055,`ple0055 <https://paneldata.org/soep-core/data/pl/ple0055>`_,,
ple0056,float,Hospitalization previous year Nights,soep-core,p_data,v36,Yes,No,,,,"Variable describes how many nights the respondent had to spend in a hospital in the last year. (How many nights total did you spend in the hospital last year?) For 2013, 2015-2019, question not asked for all samples",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0056,`ple0056 <https://paneldata.org/soep-core/data/pl/ple0056>`_,,
ple0081_h,float,Smoking,soep-core,p_data,v36,No,Yes,,,,"The variable describes whether the respondent currently smokes. (Do you currently smoke, whether cigarettes, a pipe, or cigars?) For 2010, 2012, 2016, 2018, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0081_h,`ple0081_h <https://paneldata.org/soep-core/data/pl/ple0081_h>`_,,
ple0097,byte,Type of health insurance,soep-core,p_data,v36,No,Yes,,,,"The variable describes the type of health insurance. (What kind of health insurance do you have: statutory health insurance or are you exclusively privately insured?). For 2016-2019, question not asked for all samples",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0097,`ple0097 <https://paneldata.org/soep-core/data/pl/ple0097>`_,,
ple0098_v5,byte,Private supplementary health insurance (yes/no),soep-core,p_data,v36,No,Yes,,,,"The variable describes whether the respondent has private health insurance. (Do you have supplementary private health insurance?) For 2011, 2013, 2016, 2018, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0098_v5,`ple0098_v5 <https://paneldata.org/soep-core/data/pl/ple0098_v5>`_,,
ple0128_h,float,Contribution for private supplementary health insurance,soep-core,p_data,v36,Yes,No,,,,"The variable describes the monthly amount for private health insurance. (What do you pay for that per month?) For 2010-2013, 2016, 2018, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0128_h,`ple0128_h <https://paneldata.org/soep-core/data/pl/ple0128_h>`_,,
ple0160,byte,Change of insurance company in previous year,soep-core,p_data,v36,No,Yes,,,,"The variable describes whether the respondent has changed health insurance in the last year. . For 2010-2013, 2015-2019, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0160,`ple0160 <https://paneldata.org/soep-core/data/pl/ple0160>`_,,
ple0162,byte,Health problems longer than half a year,soep-core,p_data,v36,No,Yes,,,,"The variable describes whether the respondent has had health problems for more than 6 months. (Have you had this impairment for longer than six months?) For 2016-2018, question not asked for all samples",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/ple0162,`ple0162 <https://paneldata.org/soep-core/data/pl/ple0162>`_,,
plh0032,byte,Worries: Economic development,soep-core,p_data,v36,No,Yes,,,,"For 2013, 2015-2019, question not asked for all samples",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0032,`plh0032 <https://paneldata.org/soep-core/data/pl/plh0032>`_,,
plh0033,byte,Worries: Finances,soep-core,p_data,v36,No,Yes,,,,The collection of variables describes what concerns the respondent has (How concerned are you about the following issues?).  ,,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0033,`plh0033 <https://paneldata.org/soep-core/data/pl/plh0033>`_,,
plh0034,byte,Worries: Stability of financial markets,soep-core,p_data,v36,No,Yes,,,,The collection of variables describes what concerns the respondent has (How concerned are you about the following issues?). Question not asked for all samples.,,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0034,`plh0034 <https://paneldata.org/soep-core/data/pl/plh0034>`_,,
plh0035,byte,Worries: Own health,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes what concerns the respondent has (How concerned are you about the following issues?). For 2011-2013, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0035,`plh0035 <https://paneldata.org/soep-core/data/pl/plh0035>`_,,
plh0036,byte,Worries: Environment,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes what concerns the respondent has (How concerned are you about the following issues?). For 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0036,`plh0036 <https://paneldata.org/soep-core/data/pl/plh0036>`_,,
plh0037,byte,Worries: Consequences from climate change,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes what concerns the respondent has (How concerned are you about the following issues?). For 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0037,`plh0037 <https://paneldata.org/soep-core/data/pl/plh0037>`_,,
plh0038,byte,Worries: Peace,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes what concerns the respondent has. (How concerned are you about the following issues?) For 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0038,`plh0038 <https://paneldata.org/soep-core/data/pl/plh0038>`_,,
plh0039,byte,Worries: Global terrorism,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes what concerns the respondent has. (How concerned are you about the following issues?) For 2010-2013, 2018, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0039,`plh0039 <https://paneldata.org/soep-core/data/pl/plh0039>`_,,
plh0040,byte,Worries: Crime in Germany,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes what concerns the respondent has. (How concerned are you about the following issues?) For 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0040,`plh0040 <https://paneldata.org/soep-core/data/pl/plh0040>`_,,
plh0042,byte,Worries: Job Security,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes what concerns the respondent has (How concerned are you about the following issues?). For 2012, questionnaire version with changed filter management. For 2016-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0042,`plh0042 <https://paneldata.org/soep-core/data/pl/plh0042>`_,,
plh0105,byte,Importance: To be there for others,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes how important certain things are to the respondent. (Different things are important to different people, How important are the following things to you? Very important, important, less important or quite unimportant?) For 1990, 2010, 2016, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0105,`plh0105 <https://paneldata.org/soep-core/data/pl/plh0105>`_,,
plh0106,byte,Importance: to realize oneself,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes how important certain things are to the respondent. (Different things are important to different people, How important are the following things to you? Very important, important, less important or quite unimportant?) For 1990, 2010, 2016, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0106,`plh0106 <https://paneldata.org/soep-core/data/pl/plh0106>`_,,
plh0107,byte,Importance: To be successful in business,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes how important certain things are to the respondent. (Different things are important to different people, How important are the following things to you? Very important, important, less important or quite unimportant?) For 1990, 2010, 2016, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0107,`plh0107 <https://paneldata.org/soep-core/data/pl/plh0107>`_,,
plh0108,byte,Importance: To have own house,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes how important certain things are to the respondent. (Different things are important to different people, How important are the following things to you? Very important, important, less important or quite unimportant?) For 1990, 2010, 2016, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0108,`plh0108 <https://paneldata.org/soep-core/data/pl/plh0108>`_,,
plh0109,byte,"Importance: To have a happy marriage, partnership",soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes how important certain things are to the respondent. (Different things are important to different people, How important are the following things to you? Very important, important, less important or quite unimportant?) For 1990, 2010, 2016, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0109,`plh0109 <https://paneldata.org/soep-core/data/pl/plh0109>`_,,
plh0110,byte,Importance: To have children,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes how important certain things are to the respondent. (Different things are important to different people, How important are the following things to you? Very important, important, less important or quite unimportant?) For 1990, 2010, 2016, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0110,`plh0110 <https://paneldata.org/soep-core/data/pl/plh0110>`_,,
plh0111,byte,"Importance: To be politically, socially active",soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes how important certain things are to the respondent. (Different things are important to different people, How important are the following things to you? Very important, important, less important or quite unimportant?) For 1990, 2010, 2016, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0111,`plh0111 <https://paneldata.org/soep-core/data/pl/plh0111>`_,,
plh0112,byte,"Importance: See the world, travel a lot",soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes how important certain things are to the respondent. (Different things are important to different people, How important are the following things to you? Very important, important, less important or quite unimportant?) For 1990, 2010, 2016, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0112,`plh0112 <https://paneldata.org/soep-core/data/pl/plh0112>`_,,
plh0162,byte,Satisfaction: Standard of Living,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 1990, 2013, 2018, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0162,`plh0162 <https://paneldata.org/soep-core/data/pl/plh0162>`_,,
plh0164,byte,Satisfaction: School Education and Vocational Retraining,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0164,`plh0164 <https://paneldata.org/soep-core/data/pl/plh0164>`_,,
plh0171,byte,Satisfaction: Health,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 2011-2012, 2015-2018, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0171,`plh0171 <https://paneldata.org/soep-core/data/pl/plh0171>`_,,
plh0172,byte,Satisfaction: Sleep,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0172,`plh0172 <https://paneldata.org/soep-core/data/pl/plh0172>`_,,
plh0173,byte,Satisfaction: Work,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0173,`plh0173 <https://paneldata.org/soep-core/data/pl/plh0173>`_,,
plh0174,byte,Satisfaction: Housework,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 1990, 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0174,`plh0174 <https://paneldata.org/soep-core/data/pl/plh0174>`_,,
plh0175,byte,Satisfaction: Household Income,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 2011-2012, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0175,`plh0175 <https://paneldata.org/soep-core/data/pl/plh0175>`_,,
plh0176,byte,Satisfaction: Personal Income,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 2011-2013, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0176,`plh0176 <https://paneldata.org/soep-core/data/pl/plh0176>`_,,
plh0177,byte,Satisfaction: Dwelling,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 2011-2012, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0177,`plh0177 <https://paneldata.org/soep-core/data/pl/plh0177>`_,,
plh0178,byte,Satisfaction: Amount Of Leisure Time,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0178,`plh0178 <https://paneldata.org/soep-core/data/pl/plh0178>`_,,
plh0179,byte,Satisfaction: Child Care,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 1990, 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0179,`plh0179 <https://paneldata.org/soep-core/data/pl/plh0179>`_,,
plh0180,byte,Satisfaction: Family Life,soep-core,p_data,v36,Yes,Yes,,,,"The collection of variables describes how satisfied the respondent is with certain things. (How satisfied are you today with the following areas of your life?) For 2011-2013, 2015-2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0180,`plh0180 <https://paneldata.org/soep-core/data/pl/plh0180>`_,,
plh0182,byte,Satisfaction: Current Life,soep-core,p_data,v36,Yes,Yes,,,,"The variable describes how satisfied the respondent is with life overall. (In conclusion, we would like to ask you about your satisfaction with your life in general. How satisfied are you with your life, all things considered?) For 2011-2012, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0182,`plh0182 <https://paneldata.org/soep-core/data/pl/plh0182>`_,,
plh0183,byte,Satisfaction: Life in Five Years,soep-core,p_data,v36,Yes,Yes,,,,"The variable describes how satisfied the respondent is with life overall.  (In conclusion, we would like to ask you about your satisfaction with your life in general. How satisfied are you with your life, all things considered?) For 1990, 2011-2013, 2018, question not asked for all samples.",,,"Attitudes, Values, and Personality",pl,https://paneldata.org/soep-core/data/pl/plh0183,`plh0183 <https://paneldata.org/soep-core/data/pl/plh0183>`_,,
plh0184,byte,Frequency angry last 4 weeks,soep-core,p_data,v36,No,Yes,,,,"The collection of variables describes the psychological complex of topics Affective well-being  For 2010-2012, 2015-2019, question not asked for all samples.",,,Health and Care,pl,https://paneldata.org/soep-core/data/pl/plh0184,`plh0184 <https://paneldata.org/soep-core/data/pl/plh0184>`_,,
