"pld0044","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Rarely","2018","16-34 y.","Urban Area","1326","0.323420535317481","0.309179911131831","0.337661159503131"
"Rarely","2018","16-34 y.","Rural Area","666","0.331972852573372","0.31073647427699","0.353209230869754"
"Rarely","2018","35-65 y.","Urban Area","3398","0.370618149392048","0.360830169399078","0.380406129385018"
"Rarely","2018","35-65 y.","Rural Area","1789","0.354162802860227","0.341247987301716","0.367077618418739"
"Rarely","2018","66 and older","Urban Area","785","0.237272045866568","0.222465352271923","0.252078739461214"
"Rarely","2018","66 and older","Rural Area","421","0.223530495078647","0.204597374060215","0.242463616097079"
"Never","2018","16-34 y.","Urban Area","937","0.233573359057049","0.220692857543405","0.246453860570693"
"Never","2018","16-34 y.","Rural Area","532","0.277114499267307","0.256930998575409","0.297297999959204"
"Never","2018","35-65 y.","Urban Area","4055","0.420879771181309","0.410874335193798","0.430885207168819"
"Never","2018","35-65 y.","Rural Area","2726","0.490310937705577","0.476811562899485","0.503810312511669"
"Never","2018","66 and older","Urban Area","2084","0.668439399833097","0.652053796057965","0.684825003608228"
"Never","2018","66 and older","Rural Area","1312","0.705786100104047","0.685077069838955","0.72649513036914"
