"transab_cat2","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1995","16-34 y.","college entrance qualification","827","0.938610015341162","0.922848404754683","0.954371625927641"
"Very low transfer dependency","1995","16-34 y.","Other degree","243","0.775809807229388","0.728928767265591","0.822690847193185"
"Very low transfer dependency","1995","16-34 y.","no degree/no degree yet","348","0.87710764558166","0.844933503447884","0.909281787715436"
"Very low transfer dependency","1995","35-65 y.","lower secondary degree","2679","0.905497849509195","0.894993300859809","0.91600239815858"
"Very low transfer dependency","1995","35-65 y.","secondary school degree","1463","0.941117686912303","0.92957948172353","0.952655892101076"
"Very low transfer dependency","1995","35-65 y.","college entrance qualification","847","0.955188396541206","0.941656779950853","0.968720013131559"
"Very low transfer dependency","1995","35-65 y.","Other degree","706","0.802557781099646","0.775378206720009","0.829737355479283"
"Very low transfer dependency","1995","35-65 y.","no degree/no degree yet","365","0.864876472498304","0.832260194941862","0.897492750054745"
"Very low transfer dependency","1995","66 and older","lower secondary degree","1098","0.986021814541615","0.979133949097487","0.992909679985743"
"Very low transfer dependency","1995","66 and older","secondary school degree","224","0.99955710742121","0.996807885239065","1.00230632960335"
"Very low transfer dependency","1995","66 and older","college entrance qualification","116","1","1","1"
"Very low transfer dependency","1995","66 and older","Other degree","42","0.887045423417006","0.795572192101113","0.978518654732899"
"Very low transfer dependency","1995","66 and older","no degree/no degree yet","30","0.793983168389888","0.663665221613267","0.924301115166509"
"Low transfer dependency","1995","16-34 y.","lower secondary degree","97","0.0772188493461118","0.0627248945183367","0.0917128041738869"
"Low transfer dependency","1995","16-34 y.","secondary school degree","158","0.0755073224793179","0.0631002223066709","0.0879144226519649"
"Low transfer dependency","1995","16-34 y.","college entrance qualification","33","0.0240952356006868","0.0140264163045501","0.0341640548968235"
"Low transfer dependency","1995","16-34 y.","Other degree","25","","",""
"Low transfer dependency","1995","16-34 y.","no degree/no degree yet","26","","",""
"Low transfer dependency","1995","35-65 y.","lower secondary degree","181","0.0505551313210212","0.0426877475301547","0.0584225151118877"
"Low transfer dependency","1995","35-65 y.","secondary school degree","81","0.0307626675174828","0.0222991495248003","0.0392261855101652"
"Low transfer dependency","1995","35-65 y.","college entrance qualification","32","0.0256088433121038","0.015277148453467","0.0359405381707405"
"Low transfer dependency","1995","35-65 y.","Other degree","64","0.0793569263911316","0.0609015651863835","0.0978122875958797"
"Low transfer dependency","1995","35-65 y.","no degree/no degree yet","26","","",""
"Low transfer dependency","1995","66 and older","lower secondary degree","11","","",""
"Low transfer dependency","1995","66 and older","secondary school degree","1","","",""
"Low transfer dependency","1995","66 and older","college entrance qualification","","","",""
"Low transfer dependency","1995","66 and older","Other degree","2","","",""
"Low transfer dependency","1995","66 and older","no degree/no degree yet","3","","",""
"High transfer dependency","1995","16-34 y.","lower secondary degree","40","0.0298082182597167","0.0205745835888166","0.0390418529306168"
"High transfer dependency","1995","16-34 y.","secondary school degree","39","0.0314523950183582","0.0232562173848696","0.0396485726518469"
"High transfer dependency","1995","16-34 y.","college entrance qualification","9","","",""
"High transfer dependency","1995","16-34 y.","Other degree","8","","",""
"High transfer dependency","1995","16-34 y.","no degree/no degree yet","11","","",""
"High transfer dependency","1995","35-65 y.","lower secondary degree","52","0.0169312468479012","0.0122983859964686","0.0215641076993338"
"High transfer dependency","1995","35-65 y.","secondary school degree","32","0.0148915224577332","0.00895495458043752","0.0208280903350289"
"High transfer dependency","1995","35-65 y.","college entrance qualification","7","","",""
"High transfer dependency","1995","35-65 y.","Other degree","17","","",""
"High transfer dependency","1995","35-65 y.","no degree/no degree yet","16","","",""
"High transfer dependency","1995","66 and older","lower secondary degree","4","","",""
"High transfer dependency","1995","66 and older","secondary school degree","","","",""
"High transfer dependency","1995","66 and older","college entrance qualification","","","",""
"High transfer dependency","1995","66 and older","Other degree","","","",""
"High transfer dependency","1995","66 and older","no degree/no degree yet","3","","",""
"Very high transfer dependency","1995","16-34 y.","lower secondary degree","54","0.0530872869145919","0.0409134880451004","0.0652610857840834"
"Very high transfer dependency","1995","16-34 y.","secondary school degree","41","0.0251740383952673","0.0178176609492564","0.0325304158412782"
"Very high transfer dependency","1995","16-34 y.","college entrance qualification","22","","",""
"Very high transfer dependency","1995","16-34 y.","Other degree","28","","",""
"Very high transfer dependency","1995","16-34 y.","no degree/no degree yet","15","","",""
"Very high transfer dependency","1995","35-65 y.","lower secondary degree","67","0.0270157723218829","0.021193742397018","0.0328378022467478"
"Very high transfer dependency","1995","35-65 y.","secondary school degree","23","","",""
"Very high transfer dependency","1995","35-65 y.","college entrance qualification","12","","",""
"Very high transfer dependency","1995","35-65 y.","Other degree","37","0.096558604295855","0.0763921304242289","0.116725078167481"
"Very high transfer dependency","1995","35-65 y.","no degree/no degree yet","15","","",""
"Very high transfer dependency","1995","66 and older","lower secondary degree","3","","",""
"Very high transfer dependency","1995","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1995","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1995","66 and older","Other degree","2","","",""
"Very high transfer dependency","1995","66 and older","no degree/no degree yet","1","","",""
"Very low transfer dependency","1996","16-34 y.","lower secondary degree","1083","0.875407533020183","0.857164953070701","0.893650112969665"
"Very low transfer dependency","1996","16-34 y.","secondary school degree","1418","0.871950424346639","0.855803117123748","0.88809773156953"
"Very low transfer dependency","1996","16-34 y.","college entrance qualification","821","0.927670062598925","0.910642478816003","0.944697646381847"
"Very low transfer dependency","1996","16-34 y.","Other degree","227","0.847981729460453","0.804915822126289","0.891047636794618"
"Very low transfer dependency","1996","16-34 y.","no degree/no degree yet","344","0.889884307813866","0.858974851865437","0.920793763762296"
"Very low transfer dependency","1996","35-65 y.","lower secondary degree","2465","0.8730080479951","0.860826447125192","0.885189648865007"
"Very low transfer dependency","1996","35-65 y.","secondary school degree","1535","0.92160718167506","0.90882625139269","0.934388111957429"
"Very low transfer dependency","1996","35-65 y.","college entrance qualification","851","0.953445105052791","0.939718778595573","0.967171431510009"
"Very low transfer dependency","1996","35-65 y.","Other degree","652","0.805536669556454","0.777617598882283","0.833455740230626"
"Very low transfer dependency","1996","35-65 y.","no degree/no degree yet","312","0.832688320477404","0.795159867786265","0.870216773168543"
"Very low transfer dependency","1996","66 and older","lower secondary degree","1097","0.97825831305616","0.969736240598319","0.986780385514001"
"Very low transfer dependency","1996","66 and older","secondary school degree","219","0.994855882183432","0.985445502568788","1.00426626179808"
"Very low transfer dependency","1996","66 and older","college entrance qualification","113","0.983933972157702","0.961053955734105","1.0068139885813"
"Very low transfer dependency","1996","66 and older","Other degree","46","0.843412621533658","0.742682000046048","0.944143243021268"
"Very low transfer dependency","1996","66 and older","no degree/no degree yet","39","0.855444222478385","0.754910274473037","0.955978170483733"
"Low transfer dependency","1996","16-34 y.","lower secondary degree","95","0.0640417608163123","0.0505180743362674","0.0775654472963571"
"Low transfer dependency","1996","16-34 y.","secondary school degree","153","0.080481045671623","0.0673350862298219","0.093627005113424"
"Low transfer dependency","1996","16-34 y.","college entrance qualification","43","0.0384556706585349","0.0258152344604367","0.0510961068566331"
"Low transfer dependency","1996","16-34 y.","Other degree","17","","",""
"Low transfer dependency","1996","16-34 y.","no degree/no degree yet","23","","",""
"Low transfer dependency","1996","35-65 y.","lower secondary degree","199","0.0618275144722972","0.0530162267570468","0.0706388021875477"
"Low transfer dependency","1996","35-65 y.","secondary school degree","116","0.0517466745830918","0.0412136084326119","0.0622797407335717"
"Low transfer dependency","1996","35-65 y.","college entrance qualification","38","0.0267724179235872","0.0162558312933431","0.0372890045538313"
"Low transfer dependency","1996","35-65 y.","Other degree","64","0.0735832357672006","0.0551656761482508","0.0920007953861504"
"Low transfer dependency","1996","35-65 y.","no degree/no degree yet","32","0.0616454692337967","0.0374635730858189","0.0858273653817744"
"Low transfer dependency","1996","66 and older","lower secondary degree","21","","",""
"Low transfer dependency","1996","66 and older","secondary school degree","3","","",""
"Low transfer dependency","1996","66 and older","college entrance qualification","2","","",""
"Low transfer dependency","1996","66 and older","Other degree","1","","",""
"Low transfer dependency","1996","66 and older","no degree/no degree yet","6","","",""
"High transfer dependency","1996","16-34 y.","lower secondary degree","37","0.0237445969919246","0.015334531987518","0.0321546619963312"
"High transfer dependency","1996","16-34 y.","secondary school degree","41","0.0265114415691849","0.0187481260492633","0.0342747570891065"
"High transfer dependency","1996","16-34 y.","college entrance qualification","12","","",""
"High transfer dependency","1996","16-34 y.","Other degree","7","","",""
"High transfer dependency","1996","16-34 y.","no degree/no degree yet","9","","",""
"High transfer dependency","1996","35-65 y.","lower secondary degree","110","0.0328232784763651","0.0263047279085769","0.0393418290441533"
"High transfer dependency","1996","35-65 y.","secondary school degree","35","0.0171408959268557","0.0109690682306039","0.0233127236231074"
"High transfer dependency","1996","35-65 y.","college entrance qualification","5","","",""
"High transfer dependency","1996","35-65 y.","Other degree","17","","",""
"High transfer dependency","1996","35-65 y.","no degree/no degree yet","15","","",""
"High transfer dependency","1996","66 and older","lower secondary degree","4","","",""
"High transfer dependency","1996","66 and older","secondary school degree","","","",""
"High transfer dependency","1996","66 and older","college entrance qualification","","","",""
"High transfer dependency","1996","66 and older","Other degree","","","",""
"High transfer dependency","1996","66 and older","no degree/no degree yet","1","","",""
"Very high transfer dependency","1996","16-34 y.","lower secondary degree","44","0.0368061091715802","0.0264056613234357","0.0472065570197246"
"Very high transfer dependency","1996","16-34 y.","secondary school degree","33","0.0210570884125531","0.014118949622161","0.0279952272029453"
"Very high transfer dependency","1996","16-34 y.","college entrance qualification","13","","",""
"Very high transfer dependency","1996","16-34 y.","Other degree","16","","",""
"Very high transfer dependency","1996","16-34 y.","no degree/no degree yet","18","","",""
"Very high transfer dependency","1996","35-65 y.","lower secondary degree","96","0.0323411590562378","0.0258690464141635","0.0388132716983121"
"Very high transfer dependency","1996","35-65 y.","secondary school degree","13","","",""
"Very high transfer dependency","1996","35-65 y.","college entrance qualification","11","","",""
"Very high transfer dependency","1996","35-65 y.","Other degree","39","0.0950273570442925","0.074341120258162","0.115713593830423"
"Very high transfer dependency","1996","35-65 y.","no degree/no degree yet","21","","",""
"Very high transfer dependency","1996","66 and older","lower secondary degree","3","","",""
"Very high transfer dependency","1996","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1996","66 and older","college entrance qualification","1","","",""
"Very high transfer dependency","1996","66 and older","Other degree","3","","",""
"Very high transfer dependency","1996","66 and older","no degree/no degree yet","1","","",""
"Very low transfer dependency","1997","16-34 y.","lower secondary degree","993","0.818970489351302","0.797148651907127","0.840792326795478"
"Very low transfer dependency","1997","16-34 y.","secondary school degree","1298","0.837167122827974","0.818921408944972","0.855412836710975"
"Very low transfer dependency","1997","16-34 y.","college entrance qualification","806","0.905316675968354","0.886060119996194","0.924573231940514"
"Very low transfer dependency","1997","16-34 y.","Other degree","186","0.798608358103783","0.747442561931845","0.849774154275722"
"Very low transfer dependency","1997","16-34 y.","no degree/no degree yet","341","0.845694078870291","0.810248703182211","0.881139454558372"
"Very low transfer dependency","1997","35-65 y.","lower secondary degree","2367","0.856882129603643","0.843878487426856","0.869885771780431"
"Very low transfer dependency","1997","35-65 y.","secondary school degree","1519","0.899113469795135","0.884871818233665","0.913355121356604"
"Very low transfer dependency","1997","35-65 y.","college entrance qualification","864","0.942008225660481","0.926962304913165","0.957054146407797"
"Very low transfer dependency","1997","35-65 y.","Other degree","578","0.770118133108044","0.739469589622828","0.800766676593259"
"Very low transfer dependency","1997","35-65 y.","no degree/no degree yet","293","0.829837293683157","0.791286766175786","0.868387821190528"
"Very low transfer dependency","1997","66 and older","lower secondary degree","1123","0.968127542517865","0.957997035961498","0.978258049074232"
"Very low transfer dependency","1997","66 and older","secondary school degree","213","0.998552581635008","0.993458994814828","1.00364616845519"
"Very low transfer dependency","1997","66 and older","college entrance qualification","118","0.992737468001627","0.977545336738921","1.00792959926433"
"Very low transfer dependency","1997","66 and older","Other degree","53","0.839287814556999","0.743944438610896","0.934631190503101"
"Very low transfer dependency","1997","66 and older","no degree/no degree yet","44","0.885836394252127","0.79769017548768","0.973982613016574"
"Low transfer dependency","1997","16-34 y.","lower secondary degree","108","0.0858872000602989","0.0700073419079144","0.101767058212683"
"Low transfer dependency","1997","16-34 y.","secondary school degree","183","0.0993681917448357","0.0845845624570584","0.114151821032613"
"Low transfer dependency","1997","16-34 y.","college entrance qualification","49","0.054951252398457","0.039962775218353","0.069939729578561"
"Low transfer dependency","1997","16-34 y.","Other degree","29","","",""
"Low transfer dependency","1997","16-34 y.","no degree/no degree yet","32","0.0731943105462042","0.0476382063052379","0.0987504147871705"
"Low transfer dependency","1997","35-65 y.","lower secondary degree","232","0.073405128585769","0.0637208854841485","0.0830893716873895"
"Low transfer dependency","1997","35-65 y.","secondary school degree","131","0.0616084480171087","0.0502387562729429","0.0729781397612745"
"Low transfer dependency","1997","35-65 y.","college entrance qualification","42","0.035108519666256","0.0232602830466748","0.0469567562858371"
"Low transfer dependency","1997","35-65 y.","Other degree","85","0.107578492825741","0.0850087531553881","0.130148232496093"
"Low transfer dependency","1997","35-65 y.","no degree/no degree yet","45","0.0914497502602579","0.0618786559240396","0.121020844596476"
"Low transfer dependency","1997","66 and older","lower secondary degree","24","","",""
"Low transfer dependency","1997","66 and older","secondary school degree","1","","",""
"Low transfer dependency","1997","66 and older","college entrance qualification","1","","",""
"Low transfer dependency","1997","66 and older","Other degree","1","","",""
"Low transfer dependency","1997","66 and older","no degree/no degree yet","3","","",""
"High transfer dependency","1997","16-34 y.","lower secondary degree","40","0.0366829166203508","0.0260292510041385","0.0473365822365631"
"High transfer dependency","1997","16-34 y.","secondary school degree","49","0.0356576107081156","0.0264938133275233","0.0448214080887078"
"High transfer dependency","1997","16-34 y.","college entrance qualification","17","","",""
"High transfer dependency","1997","16-34 y.","Other degree","6","","",""
"High transfer dependency","1997","16-34 y.","no degree/no degree yet","10","","",""
"High transfer dependency","1997","35-65 y.","lower secondary degree","97","0.0315399397098095","0.0250501769371723","0.0380297024824468"
"High transfer dependency","1997","35-65 y.","secondary school degree","35","0.0161940132146957","0.0102254680239477","0.0221625584054437"
"High transfer dependency","1997","35-65 y.","college entrance qualification","16","","",""
"High transfer dependency","1997","35-65 y.","Other degree","22","","",""
"High transfer dependency","1997","35-65 y.","no degree/no degree yet","10","","",""
"High transfer dependency","1997","66 and older","lower secondary degree","7","","",""
"High transfer dependency","1997","66 and older","secondary school degree","","","",""
"High transfer dependency","1997","66 and older","college entrance qualification","1","","",""
"High transfer dependency","1997","66 and older","Other degree","","","",""
"High transfer dependency","1997","66 and older","no degree/no degree yet","3","","",""
"Very high transfer dependency","1997","16-34 y.","lower secondary degree","55","0.0584593939680479","0.0451631436404891","0.0717556442956067"
"Very high transfer dependency","1997","16-34 y.","secondary school degree","43","0.0278070747190749","0.0196818083025761","0.0359323411355738"
"Very high transfer dependency","1997","16-34 y.","college entrance qualification","16","","",""
"Very high transfer dependency","1997","16-34 y.","Other degree","15","","",""
"Very high transfer dependency","1997","16-34 y.","no degree/no degree yet","16","","",""
"Very high transfer dependency","1997","35-65 y.","lower secondary degree","90","0.0381728021007782","0.0310576681242069","0.0452879360773496"
"Very high transfer dependency","1997","35-65 y.","secondary school degree","33","0.023084068973061","0.0159830399307782","0.0301850980153438"
"Very high transfer dependency","1997","35-65 y.","college entrance qualification","5","","",""
"Very high transfer dependency","1997","35-65 y.","Other degree","39","0.0936549876624462","0.0724327566355615","0.114877218689331"
"Very high transfer dependency","1997","35-65 y.","no degree/no degree yet","17","","",""
"Very high transfer dependency","1997","66 and older","lower secondary degree","1","","",""
"Very high transfer dependency","1997","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1997","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1997","66 and older","Other degree","3","","",""
"Very high transfer dependency","1997","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","1998","16-34 y.","lower secondary degree","986","0.832480620360132","0.811272029974204","0.853689210746061"
"Very low transfer dependency","1998","16-34 y.","secondary school degree","1390","0.857270855554881","0.840387719350564","0.874153991759198"
"Very low transfer dependency","1998","16-34 y.","college entrance qualification","887","0.899149726032341","0.880353780282301","0.917945671782381"
"Very low transfer dependency","1998","16-34 y.","Other degree","170","0.711273396799196","0.65152673603069","0.771020057567703"
"Very low transfer dependency","1998","16-34 y.","no degree/no degree yet","340","0.838368337743672","0.802649389437253","0.874087286050091"
"Very low transfer dependency","1998","35-65 y.","lower secondary degree","2684","0.868013755470849","0.856135079291833","0.879892431649866"
"Very low transfer dependency","1998","35-65 y.","secondary school degree","1736","0.90221550544393","0.889035681856437","0.915395329031423"
"Very low transfer dependency","1998","35-65 y.","college entrance qualification","999","0.933410049735412","0.918568678398963","0.948251421071861"
"Very low transfer dependency","1998","35-65 y.","Other degree","574","0.803111044805072","0.773778873210412","0.832443216399732"
"Very low transfer dependency","1998","35-65 y.","no degree/no degree yet","274","0.818962503100499","0.778331754837454","0.859593251363544"
"Very low transfer dependency","1998","66 and older","lower secondary degree","1271","0.977570173326225","0.969526961084778","0.985613385567673"
"Very low transfer dependency","1998","66 and older","secondary school degree","243","0.993392576426326","0.98326846149318","1.00351669135947"
"Very low transfer dependency","1998","66 and older","college entrance qualification","131","0.991431940184746","0.975768218119908","1.00709566224958"
"Very low transfer dependency","1998","66 and older","Other degree","59","0.882379757217946","0.805809088740415","0.958950425695478"
"Very low transfer dependency","1998","66 and older","no degree/no degree yet","46","0.911923292324562","0.836333891725693","0.987512692923431"
"Low transfer dependency","1998","16-34 y.","lower secondary degree","113","0.0840218249686303","0.0682663743687126","0.099777275568548"
"Low transfer dependency","1998","16-34 y.","secondary school degree","176","0.0865495490191559","0.0729785235641225","0.100120574474189"
"Low transfer dependency","1998","16-34 y.","college entrance qualification","53","0.0425269280621202","0.0299317322362187","0.0551221238880217"
"Low transfer dependency","1998","16-34 y.","Other degree","30","0.146471205539279","0.0998549730884288","0.193087437990129"
"Low transfer dependency","1998","16-34 y.","no degree/no degree yet","30","0.063032603060279","0.0394515676520491","0.0866136384685088"
"Low transfer dependency","1998","35-65 y.","lower secondary degree","241","0.0649772437913961","0.0563269245250463","0.0736275630577459"
"Low transfer dependency","1998","35-65 y.","secondary school degree","134","0.0570202140237271","0.046730932040735","0.0673094960067191"
"Low transfer dependency","1998","35-65 y.","college entrance qualification","61","0.0468065082330543","0.0342324025528628","0.0593806139132458"
"Low transfer dependency","1998","35-65 y.","Other degree","75","0.0884958706734984","0.0675457483075476","0.109445993039449"
"Low transfer dependency","1998","35-65 y.","no degree/no degree yet","40","0.0961982112303755","0.065084011156178","0.127312411304573"
"Low transfer dependency","1998","66 and older","lower secondary degree","25","","",""
"Low transfer dependency","1998","66 and older","secondary school degree","2","","",""
"Low transfer dependency","1998","66 and older","college entrance qualification","2","","",""
"Low transfer dependency","1998","66 and older","Other degree","7","","",""
"Low transfer dependency","1998","66 and older","no degree/no degree yet","6","","",""
"High transfer dependency","1998","16-34 y.","lower secondary degree","41","0.0338382226158483","0.0235693939440609","0.0441070512876357"
"High transfer dependency","1998","16-34 y.","secondary school degree","39","0.0227566865478845","0.0155589883801432","0.0299543847156257"
"High transfer dependency","1998","16-34 y.","college entrance qualification","22","","",""
"High transfer dependency","1998","16-34 y.","Other degree","10","","",""
"High transfer dependency","1998","16-34 y.","no degree/no degree yet","13","","",""
"High transfer dependency","1998","35-65 y.","lower secondary degree","92","0.0286632893818434","0.0228074612846178","0.0345191174790691"
"High transfer dependency","1998","35-65 y.","secondary school degree","37","0.0135111982365726","0.00838833845202723","0.0186340580211179"
"High transfer dependency","1998","35-65 y.","college entrance qualification","11","","",""
"High transfer dependency","1998","35-65 y.","Other degree","24","","",""
"High transfer dependency","1998","35-65 y.","no degree/no degree yet","12","","",""
"High transfer dependency","1998","66 and older","lower secondary degree","2","","",""
"High transfer dependency","1998","66 and older","secondary school degree","1","","",""
"High transfer dependency","1998","66 and older","college entrance qualification","","","",""
"High transfer dependency","1998","66 and older","Other degree","","","",""
"High transfer dependency","1998","66 and older","no degree/no degree yet","2","","",""
"Very high transfer dependency","1998","16-34 y.","lower secondary degree","51","0.0496593320553888","0.037321686073595","0.0619969780371826"
"Very high transfer dependency","1998","16-34 y.","secondary school degree","44","0.0334229088780783","0.0247477360724116","0.0420980816837451"
"Very high transfer dependency","1998","16-34 y.","college entrance qualification","24","","",""
"Very high transfer dependency","1998","16-34 y.","Other degree","11","","",""
"Very high transfer dependency","1998","16-34 y.","no degree/no degree yet","25","","",""
"Very high transfer dependency","1998","35-65 y.","lower secondary degree","102","0.0383457113559111","0.0316065122208588","0.0450849104909633"
"Very high transfer dependency","1998","35-65 y.","secondary school degree","44","0.0272530822957704","0.0200282594623022","0.0344779051292387"
"Very high transfer dependency","1998","35-65 y.","college entrance qualification","13","","",""
"Very high transfer dependency","1998","35-65 y.","Other degree","33","0.072067740531087","0.0529923108130792","0.0911431702490947"
"Very high transfer dependency","1998","35-65 y.","no degree/no degree yet","19","","",""
"Very high transfer dependency","1998","66 and older","lower secondary degree","4","","",""
"Very high transfer dependency","1998","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1998","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1998","66 and older","Other degree","2","","",""
"Very high transfer dependency","1998","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","1999","16-34 y.","lower secondary degree","948","0.826060029920425","0.804094555961602","0.848025503879248"
"Very low transfer dependency","1999","16-34 y.","secondary school degree","1324","0.844734507240851","0.82684882945327","0.862620185028431"
"Very low transfer dependency","1999","16-34 y.","college entrance qualification","878","0.919293692087634","0.902170061953193","0.936417322222075"
"Very low transfer dependency","1999","16-34 y.","Other degree","144","0.819806117512558","0.764718639964337","0.874893595060778"
"Very low transfer dependency","1999","16-34 y.","no degree/no degree yet","325","0.827399650717972","0.789942200236702","0.864857101199242"
"Very low transfer dependency","1999","35-65 y.","lower secondary degree","2651","0.8882140876425","0.87701106774329","0.899417107541711"
"Very low transfer dependency","1999","35-65 y.","secondary school degree","1797","0.904000718317711","0.891144491633527","0.916856945001896"
"Very low transfer dependency","1999","35-65 y.","college entrance qualification","1038","0.938767178957404","0.924675368916616","0.952858988998191"
"Very low transfer dependency","1999","35-65 y.","Other degree","561","0.835426503148536","0.807349887126098","0.863503119170975"
"Very low transfer dependency","1999","35-65 y.","no degree/no degree yet","256","0.842482803056847","0.802693652748942","0.882271953364752"
"Very low transfer dependency","1999","66 and older","lower secondary degree","1283","0.978574709895077","0.97073368572423","0.986415734065924"
"Very low transfer dependency","1999","66 and older","secondary school degree","233","1","1","1"
"Very low transfer dependency","1999","66 and older","college entrance qualification","141","0.978379576984401","0.954624708645576","1.00213444532323"
"Very low transfer dependency","1999","66 and older","Other degree","62","0.960718506930184","0.913492254460554","1.00794475939981"
"Very low transfer dependency","1999","66 and older","no degree/no degree yet","50","0.87768637116499","0.796779590774926","0.958593151555053"
"Low transfer dependency","1999","16-34 y.","lower secondary degree","107","0.075123494801249","0.0598490707261693","0.0903979188763288"
"Low transfer dependency","1999","16-34 y.","secondary school degree","163","0.0929010453374996","0.0785644691963308","0.107237621478669"
"Low transfer dependency","1999","16-34 y.","college entrance qualification","52","0.041892274982758","0.0292975380073147","0.0544870119582014"
"Low transfer dependency","1999","16-34 y.","Other degree","31","0.120646068909293","0.0739623193849454","0.167329818433641"
"Low transfer dependency","1999","16-34 y.","no degree/no degree yet","32","0.0904971841192658","0.0620604793370036","0.118933888901528"
"Low transfer dependency","1999","35-65 y.","lower secondary degree","205","0.0556685683564483","0.0475168345412055","0.063820302171691"
"Low transfer dependency","1999","35-65 y.","secondary school degree","158","0.0671003452927448","0.0561815434194495","0.0780191471660402"
"Low transfer dependency","1999","35-65 y.","college entrance qualification","50","0.0416671448191501","0.0299222060427685","0.0534120835955317"
"Low transfer dependency","1999","35-65 y.","Other degree","70","0.0924117010424483","0.0704827117262078","0.114340690358689"
"Low transfer dependency","1999","35-65 y.","no degree/no degree yet","43","0.0948047353730437","0.0628079530322975","0.12680151771379"
"Low transfer dependency","1999","66 and older","lower secondary degree","18","","",""
"Low transfer dependency","1999","66 and older","secondary school degree","","","",""
"Low transfer dependency","1999","66 and older","college entrance qualification","3","","",""
"Low transfer dependency","1999","66 and older","Other degree","3","","",""
"Low transfer dependency","1999","66 and older","no degree/no degree yet","10","","",""
"High transfer dependency","1999","16-34 y.","lower secondary degree","46","0.047084734401117","0.0348102775525826","0.0593591912496513"
"High transfer dependency","1999","16-34 y.","secondary school degree","46","0.0302515202485698","0.0217926771793799","0.0387103633177598"
"High transfer dependency","1999","16-34 y.","college entrance qualification","27","","",""
"High transfer dependency","1999","16-34 y.","Other degree","2","","",""
"High transfer dependency","1999","16-34 y.","no degree/no degree yet","16","","",""
"High transfer dependency","1999","35-65 y.","lower secondary degree","85","0.0199889710303779","0.0150128212741393","0.0249651207866165"
"High transfer dependency","1999","35-65 y.","secondary school degree","36","0.0133621438469783","0.0083512857891336","0.018373001904823"
"High transfer dependency","1999","35-65 y.","college entrance qualification","11","","",""
"High transfer dependency","1999","35-65 y.","Other degree","12","","",""
"High transfer dependency","1999","35-65 y.","no degree/no degree yet","11","","",""
"High transfer dependency","1999","66 and older","lower secondary degree","7","","",""
"High transfer dependency","1999","66 and older","secondary school degree","","","",""
"High transfer dependency","1999","66 and older","college entrance qualification","","","",""
"High transfer dependency","1999","66 and older","Other degree","","","",""
"High transfer dependency","1999","66 and older","no degree/no degree yet","3","","",""
"Very high transfer dependency","1999","16-34 y.","lower secondary degree","43","0.051731740877209","0.0388972326557642","0.0645662490986539"
"Very high transfer dependency","1999","16-34 y.","secondary school degree","42","0.0321129271730798","0.0234060963935751","0.0408197579525845"
"Very high transfer dependency","1999","16-34 y.","college entrance qualification","15","","",""
"Very high transfer dependency","1999","16-34 y.","Other degree","10","","",""
"Very high transfer dependency","1999","16-34 y.","no degree/no degree yet","18","","",""
"Very high transfer dependency","1999","35-65 y.","lower secondary degree","98","0.0361283729706735","0.0294937455238965","0.0427630004174505"
"Very high transfer dependency","1999","35-65 y.","secondary school degree","26","","",""
"Very high transfer dependency","1999","35-65 y.","college entrance qualification","13","","",""
"Very high transfer dependency","1999","35-65 y.","Other degree","27","","",""
"Very high transfer dependency","1999","35-65 y.","no degree/no degree yet","12","","",""
"Very high transfer dependency","1999","66 and older","lower secondary degree","2","","",""
"Very high transfer dependency","1999","66 and older","secondary school degree","","","",""
"Very high transfer dependency","1999","66 and older","college entrance qualification","","","",""
"Very high transfer dependency","1999","66 and older","Other degree","","","",""
"Very high transfer dependency","1999","66 and older","no degree/no degree yet","","","",""
"Very low transfer dependency","2000","16-34 y.","lower secondary degree","1396","0.83308208108513","0.815329618047306","0.850834544122953"
"Very low transfer dependency","2000","16-34 y.","secondary school degree","2220","0.865669675929109","0.852546884125368","0.878792467732849"
"Very low transfer dependency","2000","16-34 y.","college entrance qualification","1687","0.908309360678225","0.895222392377574","0.921396328978876"
"Very low transfer dependency","2000","16-34 y.","Other degree","245","0.732724085762827","0.685049795112793","0.780398376412861"
"Very low transfer dependency","2000","16-34 y.","no degree/no degree yet","466","0.839158687343511","0.808703376328609","0.869613998358413"
"Very low transfer dependency","2000","35-65 y.","lower secondary degree","5089","0.905161853563862","0.897552357845237","0.912771349282487"
"Very low transfer dependency","2000","35-65 y.","secondary school degree","3399","0.894539190686835","0.884842188984049","0.904236192389621"
"Very low transfer dependency","2000","35-65 y.","college entrance qualification","2366","0.953244042895803","0.944958511025445","0.961529574766161"
"Very low transfer dependency","2000","35-65 y.","Other degree","815","0.769327434475331","0.743749361955382","0.794905506995281"
"Very low transfer dependency","2000","35-65 y.","no degree/no degree yet","204","0.773418645583196","0.724209582513363","0.822627708653029"
