"transab_cat2","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","1994","Not Employed","college entrance qualification","36","0.0439748147550298","0.0254379689202125","0.0625116605898472"
"Low transfer dependency","1994","Not Employed","Other degree","33","0.104433060868284","0.0674725260619518","0.141393595674617"
"Low transfer dependency","1994","Not Employed","no degree/no degree yet","38","0.0622462289975674","0.0409625635253291","0.0835298944698056"
"Low transfer dependency","1994","Employed","lower secondary degree","146","0.0344618067005921","0.0279785438310105","0.0409450695701738"
"Low transfer dependency","1994","Employed","secondary school degree","185","0.0511171143346054","0.0428344000673601","0.0593998286018506"
"Low transfer dependency","1994","Employed","college entrance qualification","46","0.0214289667539001","0.0136784529224436","0.0291794805853565"
"Low transfer dependency","1994","Employed","Other degree","27","","",""
"Low transfer dependency","1994","Employed","no degree/no degree yet","12","","",""
"High transfer dependency","1994","Not Employed","lower secondary degree","48","0.015112727783734","0.0102877135128904","0.0199377420545775"
"High transfer dependency","1994","Not Employed","secondary school degree","29","","",""
"High transfer dependency","1994","Not Employed","college entrance qualification","17","","",""
"High transfer dependency","1994","Not Employed","Other degree","16","","",""
"High transfer dependency","1994","Not Employed","no degree/no degree yet","15","","",""
"High transfer dependency","1994","Employed","lower secondary degree","44","0.0152874976125128","0.0109267313603415","0.0196482638646842"
"High transfer dependency","1994","Employed","secondary school degree","39","0.0139139595675886","0.00950875600180513","0.0183191631333721"
"High transfer dependency","1994","Employed","college entrance qualification","7","","",""
"High transfer dependency","1994","Employed","Other degree","5","","",""
"High transfer dependency","1994","Employed","no degree/no degree yet","4","","",""
"Very high transfer dependency","1994","Not Employed","lower secondary degree","81","0.0336535145632105","0.0265214451963417","0.0407855839300793"
"Very high transfer dependency","1994","Not Employed","secondary school degree","41","0.0447799432305358","0.0303027775237802","0.0592571089372914"
"Very high transfer dependency","1994","Not Employed","college entrance qualification","13","","",""
"Very high transfer dependency","1994","Not Employed","Other degree","24","","",""
"Very high transfer dependency","1994","Not Employed","no degree/no degree yet","26","","",""
"Very high transfer dependency","1994","Employed","lower secondary degree","16","","",""
"Very high transfer dependency","1994","Employed","secondary school degree","13","","",""
"Very high transfer dependency","1994","Employed","college entrance qualification","5","","",""
"Very high transfer dependency","1994","Employed","Other degree","2","","",""
"Very high transfer dependency","1994","Employed","no degree/no degree yet","","","",""
"Very low transfer dependency","1995","Not Employed","lower secondary degree","2157","0.904123986081863","0.892463338259553","0.915784633904173"
"Very low transfer dependency","1995","Not Employed","secondary school degree","621","0.846981456079566","0.822173966723061","0.871788945436071"
"Very low transfer dependency","1995","Not Employed","college entrance qualification","416","0.891299595536206","0.863425051691651","0.919174139380761"
"Very low transfer dependency","1995","Not Employed","Other degree","257","0.582916473934602","0.533405634917712","0.632427312951492"
"Very low transfer dependency","1995","Not Employed","no degree/no degree yet","457","0.845127244204529","0.814946696537906","0.875307791871152"
"Very low transfer dependency","1995","Employed","lower secondary degree","2732","0.933444463055639","0.924448512858345","0.942440413252934"
"Very low transfer dependency","1995","Employed","secondary school degree","2570","0.947804883666806","0.939502474861183","0.956107292472429"
"Very low transfer dependency","1995","Employed","college entrance qualification","1374","0.974496369752101","0.9663139935593","0.982678745944902"
"Very low transfer dependency","1995","Employed","Other degree","734","0.914303093196053","0.894820840812025","0.933785345580082"
"Very low transfer dependency","1995","Employed","no degree/no degree yet","286","0.929982328778662","0.901437983734446","0.958526673822879"
"Low transfer dependency","1995","Not Employed","lower secondary degree","124","0.0337550542603701","0.0266024084269236","0.0409077000938167"
"Low transfer dependency","1995","Not Employed","secondary school degree","99","0.0684014148654481","0.0510065610675931","0.0857962686633031"
"Low transfer dependency","1995","Not Employed","college entrance qualification","26","","",""
"Low transfer dependency","1995","Not Employed","Other degree","50","0.10711121230365","0.0760583415817372","0.138164083025564"
"Low transfer dependency","1995","Not Employed","no degree/no degree yet","40","0.0539211486040183","0.0350793747581601","0.0727629224498765"
"Low transfer dependency","1995","Employed","lower secondary degree","165","0.0518899427816475","0.0438845678415311","0.0598953177217639"
"Low transfer dependency","1995","Employed","secondary school degree","141","0.0358194266489774","0.0288824822844454","0.0427563710135093"
"Low transfer dependency","1995","Employed","college entrance qualification","39","0.0184672713733764","0.0114794453051908","0.0254550974415621"
"Low transfer dependency","1995","Employed","Other degree","41","0.0575786264339246","0.0413655768426542","0.073791676025195"
"Low transfer dependency","1995","Employed","no degree/no degree yet","15","","",""
"High transfer dependency","1995","Not Employed","lower secondary degree","58","0.0196261686139393","0.0141324385494837","0.0251198986783949"
"High transfer dependency","1995","Not Employed","secondary school degree","37","0.038198064365979","0.0249900561108557","0.0514060726211023"
"High transfer dependency","1995","Not Employed","college entrance qualification","7","","",""
"High transfer dependency","1995","Not Employed","Other degree","13","","",""
"High transfer dependency","1995","Not Employed","no degree/no degree yet","26","","",""
"High transfer dependency","1995","Employed","lower secondary degree","38","0.0105645174888002","0.00687449274567201","0.0142545422319284"
"High transfer dependency","1995","Employed","secondary school degree","34","0.0122360102812615","0.0081323044703445","0.0163397160921786"
"High transfer dependency","1995","Employed","college entrance qualification","9","","",""
"High transfer dependency","1995","Employed","Other degree","12","","",""
"High transfer dependency","1995","Employed","no degree/no degree yet","4","","",""
"Very high transfer dependency","1995","Not Employed","lower secondary degree","110","0.0424947910438274","0.034505796581508","0.0504837855061468"
"Very high transfer dependency","1995","Not Employed","secondary school degree","52","0.0464190646890072","0.0319213081344534","0.0609168212435611"
"Very high transfer dependency","1995","Not Employed","college entrance qualification","30","0.0635896612954359","0.0417368814650816","0.0854424411257902"
"Very high transfer dependency","1995","Not Employed","Other degree","61","0.281086852208428","0.235948668232469","0.326225036184387"
"Very high transfer dependency","1995","Not Employed","no degree/no degree yet","29","","",""
"Very high transfer dependency","1995","Employed","lower secondary degree","14","","",""
"Very high transfer dependency","1995","Employed","secondary school degree","12","","",""
"Very high transfer dependency","1995","Employed","college entrance qualification","4","","",""
"Very high transfer dependency","1995","Employed","Other degree","6","","",""
"Very high transfer dependency","1995","Employed","no degree/no degree yet","2","","",""
"Very low transfer dependency","1996","Not Employed","lower secondary degree","1989","0.874662429259492","0.861351929169831","0.887972929349154"
"Very low transfer dependency","1996","Not Employed","secondary school degree","600","0.856675551947321","0.832053365362246","0.881297738532397"
"Very low transfer dependency","1996","Not Employed","college entrance qualification","376","0.875182156174804","0.844334912687509","0.906029399662099"
"Very low transfer dependency","1996","Not Employed","Other degree","261","0.646608409737093","0.597834936056982","0.695381883417204"
"Very low transfer dependency","1996","Not Employed","no degree/no degree yet","432","0.851162365672964","0.820973968977289","0.881350762368639"
"Very low transfer dependency","1996","Employed","lower secondary degree","2656","0.936807063440638","0.927916331688394","0.945697795192881"
"Very low transfer dependency","1996","Employed","secondary school degree","2572","0.933822854002511","0.924595270746558","0.943050437258464"
"Very low transfer dependency","1996","Employed","college entrance qualification","1409","0.969288032638974","0.960465009112388","0.978111056165559"
"Very low transfer dependency","1996","Employed","Other degree","664","0.919810018649636","0.899972334700957","0.939647702598314"
"Very low transfer dependency","1996","Employed","no degree/no degree yet","263","0.908824781340745","0.875521607088909","0.942127955592581"
"Low transfer dependency","1996","Not Employed","lower secondary degree","169","0.0527782648718445","0.0437897719291772","0.0617667578145119"
"Low transfer dependency","1996","Not Employed","secondary school degree","103","0.0727870126040299","0.0545323002885416","0.0910417249195181"
"Low transfer dependency","1996","Not Employed","college entrance qualification","33","0.0536732465593572","0.0326389356926948","0.0747075574260197"
"Low transfer dependency","1996","Not Employed","Other degree","44","0.0917458021567382","0.0622926544128225","0.121198949900654"
"Low transfer dependency","1996","Not Employed","no degree/no degree yet","43","0.0500706435162227","0.0315730724865503","0.0685682145458951"
"Low transfer dependency","1996","Employed","lower secondary degree","146","0.0432349850287461","0.0358031089446194","0.0506668611128729"
"Low transfer dependency","1996","Employed","secondary school degree","169","0.0505468962725048","0.042415114551859","0.0586786779931506"
"Low transfer dependency","1996","Employed","college entrance qualification","50","0.0226183494687148","0.0150150912734576","0.030221607663972"
"Low transfer dependency","1996","Employed","Other degree","38","0.0498965545665241","0.0339926936778347","0.0658004154552135"
"Low transfer dependency","1996","Employed","no degree/no degree yet","18","","",""
"High transfer dependency","1996","Not Employed","lower secondary degree","89","0.0283984616850011","0.0217207908910649","0.0350761324789372"
"High transfer dependency","1996","Not Employed","secondary school degree","34","0.0289223868472788","0.0171462639616061","0.0406985097329515"
"High transfer dependency","1996","Not Employed","college entrance qualification","11","","",""
"High transfer dependency","1996","Not Employed","Other degree","11","","",""
"High transfer dependency","1996","Not Employed","no degree/no degree yet","22","","",""
"High transfer dependency","1996","Employed","lower secondary degree","62","0.0172854776211226","0.0125230044824362","0.0220479507598089"
"High transfer dependency","1996","Employed","secondary school degree","42","0.0144112471068258","0.00998739745955791","0.0188350967540937"
"High transfer dependency","1996","Employed","college entrance qualification","6","","",""
"High transfer dependency","1996","Employed","Other degree","13","","",""
"High transfer dependency","1996","Employed","no degree/no degree yet","3","","",""
"Very high transfer dependency","1996","Not Employed","lower secondary degree","130","0.0441608441836623","0.0359015184886684","0.0524201698786563"
"Very high transfer dependency","1996","Not Employed","secondary school degree","41","0.0416150486013699","0.0275819528505042","0.0556481443522356"
"Very high transfer dependency","1996","Not Employed","college entrance qualification","21","","",""
"Very high transfer dependency","1996","Not Employed","Other degree","53","0.241332043019675","0.197673596986","0.284990489053351"
"Very high transfer dependency","1996","Not Employed","no degree/no degree yet","37","0.0653812066681587","0.0444149362417359","0.0863474770945815"
"Very high transfer dependency","1996","Employed","lower secondary degree","13","","",""
"Very high transfer dependency","1996","Employed","secondary school degree","5","","",""
"Very high transfer dependency","1996","Employed","college entrance qualification","4","","",""
"Very high transfer dependency","1996","Employed","Other degree","5","","",""
"Very high transfer dependency","1996","Employed","no degree/no degree yet","3","","",""
"Very low transfer dependency","1997","Not Employed","lower secondary degree","1980","0.857077977110621","0.842996151324864","0.871159802896378"
"Very low transfer dependency","1997","Not Employed","secondary school degree","610","0.838499389999003","0.813188434782516","0.86381034521549"
"Very low transfer dependency","1997","Not Employed","college entrance qualification","381","0.862503825135753","0.831033951559484","0.893973698712021"
"Very low transfer dependency","1997","Not Employed","Other degree","251","0.625338670267869","0.576607643284805","0.674069697250932"
"Very low transfer dependency","1997","Not Employed","no degree/no degree yet","454","0.829473868883032","0.798268608163053","0.86067912960301"
"Very low transfer dependency","1997","Employed","lower secondary degree","2503","0.917350747737508","0.907085575381736","0.92761592009328"
"Very low transfer dependency","1997","Employed","secondary school degree","2420","0.908724934752139","0.897847607048292","0.919602262455986"
"Very low transfer dependency","1997","Employed","college entrance qualification","1407","0.954211337715191","0.943544066307825","0.964878609122557"
"Very low transfer dependency","1997","Employed","Other degree","566","0.889511162790076","0.865185053449216","0.913837272130935"
"Very low transfer dependency","1997","Employed","no degree/no degree yet","224","0.87580958423382","0.835409990701147","0.916209177766493"
"Low transfer dependency","1997","Not Employed","lower secondary degree","183","0.0584999764814336","0.0490574712251644","0.0679424817377028"
"Low transfer dependency","1997","Not Employed","secondary school degree","101","0.0719914624324584","0.0542133126766724","0.0897696121882443"
"Low transfer dependency","1997","Not Employed","college entrance qualification","38","0.0528240211417699","0.0323831103938118","0.0732649318897281"
"Low transfer dependency","1997","Not Employed","Other degree","55","0.112603108811822","0.0807785326856721","0.144427684937972"
"Low transfer dependency","1997","Not Employed","no degree/no degree yet","59","0.0870124174605757","0.0636265198262423","0.110398315094909"
"Low transfer dependency","1997","Employed","lower secondary degree","181","0.0578638158817938","0.0491594036878165","0.0665682280757711"
"Low transfer dependency","1997","Employed","secondary school degree","214","0.0672948132141116","0.0578325961568256","0.0767570302713976"
"Low transfer dependency","1997","Employed","college entrance qualification","54","0.0363295958938248","0.0267808436507599","0.0458783481368898"
"Low transfer dependency","1997","Employed","Other degree","60","0.0923559061360955","0.0698897961088681","0.114822016163323"
"Low transfer dependency","1997","Employed","no degree/no degree yet","21","","",""
"High transfer dependency","1997","Not Employed","lower secondary degree","89","0.0343865525817061","0.0270550128332175","0.0417180923301948"
"High transfer dependency","1997","Not Employed","secondary school degree","36","0.0266299051593091","0.0155561762936651","0.0377036340249531"
"High transfer dependency","1997","Not Employed","college entrance qualification","21","","",""
"High transfer dependency","1997","Not Employed","Other degree","21","","",""
"High transfer dependency","1997","Not Employed","no degree/no degree yet","17","","",""
"High transfer dependency","1997","Employed","lower secondary degree","55","0.0180912090011223","0.0131224441821171","0.0230599738201276"
"High transfer dependency","1997","Employed","secondary school degree","48","0.0196315346722385","0.0143918915632911","0.0248711777811859"
"High transfer dependency","1997","Employed","college entrance qualification","13","","",""
"High transfer dependency","1997","Employed","Other degree","7","","",""
"High transfer dependency","1997","Employed","no degree/no degree yet","6","","",""
"Very high transfer dependency","1997","Not Employed","lower secondary degree","121","0.0500354938262394","0.0412636274656991","0.0588073601867797"
"Very high transfer dependency","1997","Not Employed","secondary school degree","65","0.0628792424092294","0.0461828937381695","0.0795755910802894"
"Very high transfer dependency","1997","Not Employed","college entrance qualification","20","","",""
"Very high transfer dependency","1997","Not Employed","Other degree","52","0.223409902062379","0.181475001313551","0.265344802811207"
"Very high transfer dependency","1997","Not Employed","no degree/no degree yet","28","","",""
"Very high transfer dependency","1997","Employed","lower secondary degree","25","","",""
"Very high transfer dependency","1997","Employed","secondary school degree","11","","",""
"Very high transfer dependency","1997","Employed","college entrance qualification","1","","",""
"Very high transfer dependency","1997","Employed","Other degree","5","","",""
"Very high transfer dependency","1997","Employed","no degree/no degree yet","5","","",""
"Very low transfer dependency","1998","Not Employed","lower secondary degree","2318","0.874886401182594","0.862471193200767","0.887301609164421"
"Very low transfer dependency","1998","Not Employed","secondary school degree","675","0.826499550237767","0.801787064282138","0.851212036193395"
"Very low transfer dependency","1998","Not Employed","college entrance qualification","455","0.848358674580668","0.818625538028766","0.87809181113257"
"Very low transfer dependency","1998","Not Employed","Other degree","242","0.604263557314206","0.554436704918885","0.654090409709527"
"Very low transfer dependency","1998","Not Employed","no degree/no degree yet","453","0.828433046194731","0.797263860186166","0.859602232203296"
"Very low transfer dependency","1998","Employed","lower secondary degree","2623","0.923815853942598","0.914133622260193","0.933498085625002"
"Very low transfer dependency","1998","Employed","secondary school degree","2694","0.92598223647513","0.916525343039868","0.935439129910391"
"Very low transfer dependency","1998","Employed","college entrance qualification","1562","0.953872608027725","0.943732984664951","0.964012231390498"
"Very low transfer dependency","1998","Employed","Other degree","561","0.898516455575811","0.87484260437981","0.922190306771813"
"Very low transfer dependency","1998","Employed","no degree/no degree yet","207","0.856072459201388","0.812119080589647","0.900025837813128"
"Low transfer dependency","1998","Not Employed","lower secondary degree","204","0.0531271931591036","0.0447107195496911","0.061543666768516"
"Low transfer dependency","1998","Not Employed","secondary school degree","116","0.0722418972675521","0.0553469526738678","0.0891368418612363"
"Low transfer dependency","1998","Not Employed","college entrance qualification","52","0.0626292833557757","0.0425436005851856","0.0827149661263658"
"Low transfer dependency","1998","Not Employed","Other degree","65","0.15022690849638","0.113820940630875","0.186632876361885"
"Low transfer dependency","1998","Not Employed","no degree/no degree yet","52","0.0709672923272925","0.0497385359506467","0.0921960487039383"
"Low transfer dependency","1998","Employed","lower secondary degree","175","0.0510639895775193","0.0430300918611143","0.0590978872939244"
"Low transfer dependency","1998","Employed","secondary school degree","196","0.0575190192853941","0.0491085307735961","0.0659295077971921"
"Low transfer dependency","1998","Employed","college entrance qualification","64","0.0336825075717372","0.0249616476022249","0.0424033675412495"
"Low transfer dependency","1998","Employed","Other degree","47","0.0721313739566994","0.0518492501323169","0.0924134977810818"
"Low transfer dependency","1998","Employed","no degree/no degree yet","24","","",""
"High transfer dependency","1998","Not Employed","lower secondary degree","72","0.0234559276806472","0.0177765841484753","0.0291352712128191"
"High transfer dependency","1998","Not Employed","secondary school degree","34","0.0220908376706817","0.0124990364035703","0.0316826389377931"
"High transfer dependency","1998","Not Employed","college entrance qualification","17","","",""
"High transfer dependency","1998","Not Employed","Other degree","21","","",""
"High transfer dependency","1998","Not Employed","no degree/no degree yet","20","","",""
"High transfer dependency","1998","Employed","lower secondary degree","63","0.0179833811956108","0.0131333385553781","0.0228334238358434"
"High transfer dependency","1998","Employed","secondary school degree","43","0.012878915282957","0.0088060124840954","0.0169518180818186"
"High transfer dependency","1998","Employed","college entrance qualification","16","","",""
"High transfer dependency","1998","Employed","Other degree","13","","",""
"High transfer dependency","1998","Employed","no degree/no degree yet","7","","",""
"Very high transfer dependency","1998","Not Employed","lower secondary degree","134","0.0485304779776554","0.0404668472146824","0.0565941087406284"
"Very high transfer dependency","1998","Not Employed","secondary school degree","77","0.0791677148239996","0.0615475833070618","0.0967878463409374"
"Very high transfer dependency","1998","Not Employed","college entrance qualification","35","0.0715612147821637","0.0501935197541773","0.0929289098101501"
"Very high transfer dependency","1998","Not Employed","Other degree","42","0.185686287885904","0.146064595670358","0.22530798010145"
"Very high transfer dependency","1998","Not Employed","no degree/no degree yet","37","0.0792211803494495","0.0568917189333051","0.101550641765594"
"Very high transfer dependency","1998","Employed","lower secondary degree","23","","",""
"Very high transfer dependency","1998","Employed","secondary school degree","11","","",""
"Very high transfer dependency","1998","Employed","college entrance qualification","2","","",""
"Very high transfer dependency","1998","Employed","Other degree","4","","",""
"Very high transfer dependency","1998","Employed","no degree/no degree yet","7","","",""
"Very low transfer dependency","1999","Not Employed","lower secondary degree","2265","0.889736609294308","0.877759156812823","0.901714061775794"
"Very low transfer dependency","1999","Not Employed","secondary school degree","639","0.834012770647959","0.80873084695825","0.859294694337667"
"Very low transfer dependency","1999","Not Employed","college entrance qualification","419","0.87566534509052","0.84682972623497","0.90450096394607"
"Very low transfer dependency","1999","Not Employed","Other degree","237","0.713827897817262","0.665210752492738","0.762445043141786"
"Very low transfer dependency","1999","Not Employed","no degree/no degree yet","405","0.814486296514637","0.780849138363364","0.84812345466591"
"Very low transfer dependency","1999","Employed","lower secondary degree","2617","0.928834737595317","0.919422058553645","0.938247416636988"
"Very low transfer dependency","1999","Employed","secondary school degree","2715","0.916705155917909","0.906805533524362","0.926604778311455"
"Very low transfer dependency","1999","Employed","college entrance qualification","1638","0.954968149132049","0.945182088922644","0.964754209341453"
"Very low transfer dependency","1999","Employed","Other degree","530","0.915561432668668","0.893125906553046","0.93799695878429"
"Very low transfer dependency","1999","Employed","no degree/no degree yet","226","0.879488977795952","0.840143139530125","0.918834816061779"
"Low transfer dependency","1999","Not Employed","lower secondary degree","157","0.0413086760409344","0.0336987910879513","0.0489185609939174"
"Low transfer dependency","1999","Not Employed","secondary school degree","110","0.0897086796073734","0.070291155143056","0.109126204071691"
"Low transfer dependency","1999","Not Employed","college entrance qualification","39","0.0466336830078563","0.0282071402772153","0.0650602257384972"
"Low transfer dependency","1999","Not Employed","Other degree","50","0.123282666971133","0.0879187912212576","0.158646542721008"
"Low transfer dependency","1999","Not Employed","no degree/no degree yet","57","0.0912364209222432","0.0663192354327902","0.116153606411696"
"Low transfer dependency","1999","Employed","lower secondary degree","173","0.0468176368678229","0.0390836622691167","0.0545516114665291"
"Low transfer dependency","1999","Employed","secondary school degree","211","0.0605170576722373","0.0519746934513112","0.0690594218931634"
"Low transfer dependency","1999","Employed","college entrance qualification","66","0.0373892248960592","0.0284365640651228","0.0463418857269956"
"Low transfer dependency","1999","Employed","Other degree","54","0.0768546303674952","0.0553618721999006","0.0983473885350898"
"Low transfer dependency","1999","Employed","no degree/no degree yet","28","","",""
"High transfer dependency","1999","Not Employed","lower secondary degree","76","0.022014181213928","0.0164032415080318","0.0276251209198241"
"High transfer dependency","1999","Not Employed","secondary school degree","30","0.0162840853499228","0.00768399603395979","0.0248841746658858"
"High transfer dependency","1999","Not Employed","college entrance qualification","19","","",""
"High transfer dependency","1999","Not Employed","Other degree","10","","",""
"High transfer dependency","1999","Not Employed","no degree/no degree yet","23","","",""
"High transfer dependency","1999","Employed","lower secondary degree","62","0.0184958058458531","0.0135630149388385","0.0234285967528678"
"High transfer dependency","1999","Employed","secondary school degree","52","0.0185581611257986","0.013723183294794","0.0233931389568032"
"High transfer dependency","1999","Employed","college entrance qualification","19","","",""
"High transfer dependency","1999","Employed","Other degree","4","","",""
"High transfer dependency","1999","Employed","no degree/no degree yet","7","","",""
"Very high transfer dependency","1999","Not Employed","lower secondary degree","129","0.0469405334508293","0.0388523300412817","0.055028736860377"
"Very high transfer dependency","1999","Not Employed","secondary school degree","53","0.0599944643947452","0.0438580431136269","0.0761308856758635"
"Very high transfer dependency","1999","Not Employed","college entrance qualification","26","","",""
"Very high transfer dependency","1999","Not Employed","Other degree","35","0.14054899072802","0.103163466242588","0.177934515213453"
"Very high transfer dependency","1999","Not Employed","no degree/no degree yet","28","","",""
"Very high transfer dependency","1999","Employed","lower secondary degree","14","","",""
"Very high transfer dependency","1999","Employed","secondary school degree","15","","",""
"Very high transfer dependency","1999","Employed","college entrance qualification","2","","",""
"Very high transfer dependency","1999","Employed","Other degree","2","","",""
"Very high transfer dependency","1999","Employed","no degree/no degree yet","2","","",""
"Very low transfer dependency","2000","Not Employed","lower secondary degree","4354","0.903692689281335","0.895466008819054","0.911919369743617"
"Very low transfer dependency","2000","Not Employed","secondary school degree","1285","0.829360002506741","0.811175176675526","0.847544828337955"
"Very low transfer dependency","2000","Not Employed","college entrance qualification","972","0.884917380868684","0.866236320838734","0.903598440898633"
"Very low transfer dependency","2000","Not Employed","Other degree","413","0.667463992385684","0.629798459587427","0.705129525183942"
"Very low transfer dependency","2000","Not Employed","no degree/no degree yet","511","0.791422121043517","0.760354813105058","0.822489428981976"
"Very low transfer dependency","2000","Employed","lower secondary degree","4597","0.932981524967239","0.92603799967001","0.939925050264469"
"Very low transfer dependency","2000","Employed","secondary school degree","4814","0.918557137970067","0.911188677707906","0.925925598232227"
"Very low transfer dependency","2000","Employed","college entrance qualification","3447","0.959467625837993","0.953035559261031","0.965899692414955"
"Very low transfer dependency","2000","Employed","Other degree","785","0.843552190692","0.82010324329329","0.86700113809071"
"Very low transfer dependency","2000","Employed","no degree/no degree yet","224","0.876879178975295","0.83678568834635","0.91697266960424"
"Low transfer dependency","2000","Not Employed","lower secondary degree","271","0.0438980661770542","0.0381851295133329","0.0496110028407754"
"Low transfer dependency","2000","Not Employed","secondary school degree","189","0.0811313303216843","0.0679330239642967","0.094329636679072"
"Low transfer dependency","2000","Not Employed","college entrance qualification","70","0.0471709186678677","0.0347603993822433","0.0595814379534921"
"Low transfer dependency","2000","Not Employed","Other degree","67","0.0983118003046576","0.074508242566885","0.12211535804243"
"Low transfer dependency","2000","Not Employed","no degree/no degree yet","67","0.093553936786628","0.071286643796254","0.115821229777002"
"Low transfer dependency","2000","Employed","lower secondary degree","261","0.0450354758349788","0.0392768716771845","0.050794079992773"
"Low transfer dependency","2000","Employed","secondary school degree","377","0.0606720906157403","0.0542407688673322","0.0671034123641484"
"Low transfer dependency","2000","Employed","college entrance qualification","127","0.0308822460174131","0.0252396746481871","0.0365248173866391"
"Low transfer dependency","2000","Employed","Other degree","97","0.101856500082664","0.0823333509995051","0.121379649165822"
"Low transfer dependency","2000","Employed","no degree/no degree yet","20","","",""
"High transfer dependency","2000","Not Employed","lower secondary degree","97","0.0142442079788831","0.0109398397455126","0.0175485762122535"
"High transfer dependency","2000","Not Employed","secondary school degree","67","0.0331264633915914","0.024475398739597","0.0417775280435857"
"High transfer dependency","2000","Not Employed","college entrance qualification","30","0.0231094444465137","0.0143138946295324","0.031904994263495"
"High transfer dependency","2000","Not Employed","Other degree","25","","",""
"High transfer dependency","2000","Not Employed","no degree/no degree yet","28","","",""
"High transfer dependency","2000","Employed","lower secondary degree","76","0.0130100660737325","0.00986346024916248","0.0161566718983025"
"High transfer dependency","2000","Employed","secondary school degree","76","0.0150059735086212","0.011730711632329","0.0182812353849133"
"High transfer dependency","2000","Employed","college entrance qualification","31","0.00818261966921473","0.00524431796647116","0.0111209213719583"
"High transfer dependency","2000","Employed","Other degree","27","","",""
"High transfer dependency","2000","Employed","no degree/no degree yet","10","","",""
"Very high transfer dependency","2000","Not Employed","lower secondary degree","218","0.0381650365627273","0.0328222510716385","0.0435078220538161"
"Very high transfer dependency","2000","Not Employed","secondary school degree","103","0.0563822037799837","0.0452324245231523","0.0675319830368151"
"Very high transfer dependency","2000","Not Employed","college entrance qualification","49","0.0448022560169348","0.0326923193886509","0.0569121926452186"
"Very high transfer dependency","2000","Not Employed","Other degree","96","0.187054619764384","0.155878234615469","0.218231004913298"
"Very high transfer dependency","2000","Not Employed","no degree/no degree yet","51","0.083098991010797","0.0619920883711802","0.104205893650414"
"Very high transfer dependency","2000","Employed","lower secondary degree","48","0.0089729331240493","0.00635441126956957","0.011591454978529"
"Very high transfer dependency","2000","Employed","secondary school degree","26","","",""
"Very high transfer dependency","2000","Employed","college entrance qualification","6","","",""
"Very high transfer dependency","2000","Employed","Other degree","13","","",""
"Very high transfer dependency","2000","Employed","no degree/no degree yet","4","","",""
"Very low transfer dependency","2001","Not Employed","lower secondary degree","3821","0.902943938611986","0.894118273689452","0.911769603534521"
"Very low transfer dependency","2001","Not Employed","secondary school degree","1172","0.828936542902125","0.809987182068002","0.847885903736248"
"Very low transfer dependency","2001","Not Employed","college entrance qualification","918","0.899352656573784","0.881093861858738","0.91761145128883"
"Very low transfer dependency","2001","Not Employed","Other degree","365","0.662085107470873","0.621778074482114","0.702392140459631"
"Very low transfer dependency","2001","Not Employed","no degree/no degree yet","487","0.805165952298008","0.773631382806591","0.836700521789425"
"Very low transfer dependency","2001","Employed","lower secondary degree","4025","0.926560222791824","0.91886040331937","0.934260042264277"
"Very low transfer dependency","2001","Employed","secondary school degree","4418","0.916690781261238","0.908935721375718","0.924445841146759"
"Very low transfer dependency","2001","Employed","college entrance qualification","3217","0.956142063054093","0.949247644933964","0.963036481174223"
"Very low transfer dependency","2001","Employed","Other degree","706","0.842956357885081","0.818203703979886","0.867709011790277"
"Very low transfer dependency","2001","Employed","no degree/no degree yet","219","0.846091035614078","0.802057988205161","0.890124083022995"
"Low transfer dependency","2001","Not Employed","lower secondary degree","220","0.0408520819084225","0.0349506744533722","0.0467534893634728"
"Low transfer dependency","2001","Not Employed","secondary school degree","185","0.0798481374300849","0.0662080406917289","0.0934882341684409"
"Low transfer dependency","2001","Not Employed","college entrance qualification","60","0.0449144544695404","0.0323448926698282","0.0574840162692525"
"Low transfer dependency","2001","Not Employed","Other degree","72","0.115038560092483","0.0878488768925215","0.142228243292444"
"Low transfer dependency","2001","Not Employed","no degree/no degree yet","62","0.0936813282636379","0.0704818209197756","0.1168808356075"
"Low transfer dependency","2001","Employed","lower secondary degree","260","0.045948508524151","0.039768349383173","0.052128667665129"
"Low transfer dependency","2001","Employed","secondary school degree","348","0.0609225451656716","0.0542103137760086","0.0676347765553346"
"Low transfer dependency","2001","Employed","college entrance qualification","123","0.0273717568087314","0.0218784092003316","0.0328651044171312"
"Low transfer dependency","2001","Employed","Other degree","95","0.111565168595518","0.090146811929869","0.132983525261167"
"Low transfer dependency","2001","Employed","no degree/no degree yet","27","","",""
"High transfer dependency","2001","Not Employed","lower secondary degree","96","0.0166113559670965","0.0128009535270395","0.0204217584071535"
"High transfer dependency","2001","Not Employed","secondary school degree","52","0.0211950792970965","0.0139470340556851","0.0284431245385078"
"High transfer dependency","2001","Not Employed","college entrance qualification","20","","",""
"High transfer dependency","2001","Not Employed","Other degree","19","","",""
"High transfer dependency","2001","Not Employed","no degree/no degree yet","29","","",""
"High transfer dependency","2001","Employed","lower secondary degree","80","0.0165193948219931","0.0127570550973736","0.0202817345466126"
"High transfer dependency","2001","Employed","secondary school degree","79","0.0154736401877449","0.0120099653533989","0.0189373150220909"
"High transfer dependency","2001","Employed","college entrance qualification","32","0.0113402356554808","0.00777534037958085","0.0149051309313808"
