"transab_cat2","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1989","Hesse","Urban Area","22","","","","1"
"Low transfer dependency","1989","Hesse","Rural Area","5","","","","1"
"Low transfer dependency","1989","Rhineland-Palatinate,Saarland","Urban Area","32","0.0349706916616764","0.0200330379446717","0.0499083453786812","1"
"Low transfer dependency","1989","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Low transfer dependency","1989","Baden-Württemberg","Rural Area","14","","","","1"
"Low transfer dependency","1989","Baden-Württemberg","Urban Area","31","0.0167054160246632","0.0103838089649065","0.02302702308442","1"
"Low transfer dependency","1989","Bavaria","Rural Area","14","","","","1"
"Low transfer dependency","1989","Bavaria","Urban Area","17","","","","1"
"Low transfer dependency","1989","Berlin","Urban Area","9","","","","1"
"Low transfer dependency","1989","Berlin","Rural Area","","","","","1"
"Low transfer dependency","1989","Brandenburg","Urban Area","","","","","1"
"Low transfer dependency","1989","Brandenburg","Rural Area","","","","","1"
"Low transfer dependency","1989","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Low transfer dependency","1989","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Low transfer dependency","1989","Saxony-Anhalt","Rural Area","","","","","1"
"Low transfer dependency","1989","Thuringia","Urban Area","","","","","1"
"Low transfer dependency","1989","Saxony","Urban Area","","","","","1"
"Low transfer dependency","1989","Saxony","Rural Area","","","","","1"
"Low transfer dependency","1989","Saxony-Anhalt","Urban Area","","","","","1"
"Low transfer dependency","1989","Thuringia","Rural Area","","","","","1"
"Very high transfer dependency","1989","Schleswig-Holstein","Rural Area","1","","","","3"
"Very high transfer dependency","1989","Hamburg","Urban Area","8","","","","3"
"Very high transfer dependency","1989","Hamburg","Rural Area","","","","","3"
"Very high transfer dependency","1989","Schleswig-Holstein","Urban Area","3","","","","3"
"Very high transfer dependency","1989","Baden-Württemberg","Rural Area","1","","","","3"
"Very high transfer dependency","1989","Bavaria","Urban Area","2","","","","3"
"Very high transfer dependency","1989","Baden-Württemberg","Urban Area","11","","","","3"
"Very high transfer dependency","1989","Lower Saxony","Urban Area","9","","","","3"
"Very high transfer dependency","1989","Lower Saxony","Rural Area","17","","","","3"
"Very high transfer dependency","1989","Bremen","Urban Area","1","","","","3"
"Very high transfer dependency","1989","Bremen","Rural Area","","","","","3"
"Very high transfer dependency","1989","North Rhine-Westphalia","Urban Area","55","0.0251516344299523","0.0190764509898869","0.0312268178700176","3"
"Very high transfer dependency","1989","North Rhine-Westphalia","Rural Area","3","","","","3"
"Very high transfer dependency","1989","Hesse","Urban Area","5","","","","3"
"Very high transfer dependency","1989","Hesse","Rural Area","2","","","","3"
"Very high transfer dependency","1989","Rhineland-Palatinate,Saarland","Urban Area","12","","","","3"
"Very high transfer dependency","1989","Rhineland-Palatinate,Saarland","Rural Area","2","","","","3"
"Very high transfer dependency","1989","Bavaria","Rural Area","11","","","","3"
"Very high transfer dependency","1989","Berlin","Urban Area","5","","","","3"
"Very high transfer dependency","1989","Berlin","Rural Area","","","","","3"
"Very high transfer dependency","1989","Brandenburg","Urban Area","","","","","3"
"Very high transfer dependency","1989","Brandenburg","Rural Area","","","","","3"
"Very high transfer dependency","1989","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Very high transfer dependency","1989","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Very high transfer dependency","1989","Saxony","Urban Area","","","","","3"
"Very high transfer dependency","1989","Saxony","Rural Area","","","","","3"
"Very high transfer dependency","1989","Saxony-Anhalt","Urban Area","","","","","3"
"Very high transfer dependency","1989","Saxony-Anhalt","Rural Area","","","","","3"
"Very high transfer dependency","1989","Thuringia","Urban Area","","","","","3"
"Very high transfer dependency","1989","Thuringia","Rural Area","","","","","3"
"Very low transfer dependency","1989","Schleswig-Holstein","Urban Area","134","0.880946749302089","0.828947100012711","0.932946398591467","0"
"Very low transfer dependency","1989","Schleswig-Holstein","Rural Area","145","0.961940791676357","0.931720978403056","0.992160604949659","0"
"Very low transfer dependency","1989","Hamburg","Urban Area","181","0.965414798760105","0.939898533555908","0.990931063964302","0"
"Very low transfer dependency","1989","Hamburg","Rural Area","","","","","0"
"Very low transfer dependency","1989","Lower Saxony","Urban Area","526","0.964019515752179","0.948397819661518","0.979641211842841","0"
"Very low transfer dependency","1989","Lower Saxony","Rural Area","417","0.930629499207648","0.907179888228832","0.954079110186464","0"
"Very low transfer dependency","1989","Bremen","Urban Area","97","0.943815526743876","0.899977916202125","0.987653137285627","0"
"Very low transfer dependency","1989","Bremen","Rural Area","","","","","0"
"Very low transfer dependency","1989","North Rhine-Westphalia","Urban Area","2366","0.93468740820671","0.925101364360434","0.944273452052987","0"
"Very low transfer dependency","1989","North Rhine-Westphalia","Rural Area","59","0.806120590775144","0.712157025750628","0.90008415579966","0"
"Very low transfer dependency","1989","Hesse","Urban Area","821","0.961125149170915","0.948243710334994","0.974006588006836","0"
"Very low transfer dependency","1989","Hesse","Rural Area","115","0.957475873542658","0.92167036916071","0.993281377924607","0"
"Very low transfer dependency","1989","Rhineland-Palatinate,Saarland","Urban Area","535","0.938404963784008","0.918855806964198","0.957954120603818","0"
"Very low transfer dependency","1989","Rhineland-Palatinate,Saarland","Rural Area","110","0.965043617210673","0.931179045779","0.998908188642346","0"
"Very low transfer dependency","1989","Baden-Württemberg","Urban Area","1530","0.976561604957265","0.969099337965276","0.984023871949254","0"
"Very low transfer dependency","1989","Baden-Württemberg","Rural Area","225","0.962851880020725","0.938924748802691","0.986779011238758","0"
"Very low transfer dependency","1989","Bavaria","Urban Area","829","0.967521648344985","0.955632616477617","0.979410680212353","0"
"Very low transfer dependency","1989","Bavaria","Rural Area","735","0.952058157717166","0.936889061568662","0.967227253865669","0"
"Very low transfer dependency","1989","Berlin","Urban Area","305","0.956302707086065","0.93428059071937","0.978324823452761","0"
"Very low transfer dependency","1989","Berlin","Rural Area","","","","","0"
"Very low transfer dependency","1989","Brandenburg","Urban Area","","","","","0"
"Very low transfer dependency","1989","Brandenburg","Rural Area","","","","","0"
"Very low transfer dependency","1989","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Very low transfer dependency","1989","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Very low transfer dependency","1989","Saxony","Urban Area","","","","","0"
"Very low transfer dependency","1989","Saxony","Rural Area","","","","","0"
"Very low transfer dependency","1989","Saxony-Anhalt","Urban Area","","","","","0"
"Very low transfer dependency","1989","Saxony-Anhalt","Rural Area","","","","","0"
"Very low transfer dependency","1989","Thuringia","Urban Area","","","","","0"
"Very low transfer dependency","1989","Thuringia","Rural Area","","","","","0"
"High transfer dependency","1990","Schleswig-Holstein","Rural Area","","","","","2"
"High transfer dependency","1990","Schleswig-Holstein","Urban Area","6","","","","2"
"High transfer dependency","1990","Hamburg","Urban Area","2","","","","2"
"High transfer dependency","1990","Hamburg","Rural Area","","","","","2"
"High transfer dependency","1990","Lower Saxony","Urban Area","2","","","","2"
"High transfer dependency","1990","Lower Saxony","Rural Area","7","","","","2"
"High transfer dependency","1990","Bremen","Urban Area","2","","","","2"
"High transfer dependency","1990","North Rhine-Westphalia","Rural Area","","","","","2"
"High transfer dependency","1990","Bremen","Rural Area","","","","","2"
"High transfer dependency","1990","North Rhine-Westphalia","Urban Area","44","0.0150986026054583","0.0103040327712091","0.0198931724397075","2"
"High transfer dependency","1990","Hesse","Urban Area","5","","","","2"
"High transfer dependency","1990","Hesse","Rural Area","","","","","2"
"High transfer dependency","1990","Rhineland-Palatinate,Saarland","Urban Area","7","","","","2"
"High transfer dependency","1990","Rhineland-Palatinate,Saarland","Rural Area","2","","","","2"
"High transfer dependency","1990","Baden-Württemberg","Urban Area","12","","","","2"
"High transfer dependency","1990","Bavaria","Rural Area","4","","","","2"
"High transfer dependency","1990","Berlin","Urban Area","5","","","","2"
"High transfer dependency","1990","Baden-Württemberg","Rural Area","","","","","2"
"High transfer dependency","1990","Bavaria","Urban Area","1","","","","2"
"High transfer dependency","1990","Thuringia","Rural Area","","","","","2"
"High transfer dependency","1990","Berlin","Rural Area","","","","","2"
"High transfer dependency","1990","Brandenburg","Urban Area","","","","","2"
"High transfer dependency","1990","Brandenburg","Rural Area","","","","","2"
"High transfer dependency","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"High transfer dependency","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"High transfer dependency","1990","Saxony","Urban Area","","","","","2"
"High transfer dependency","1990","Saxony","Rural Area","","","","","2"
"High transfer dependency","1990","Saxony-Anhalt","Urban Area","","","","","2"
"High transfer dependency","1990","Saxony-Anhalt","Rural Area","","","","","2"
"High transfer dependency","1990","Thuringia","Urban Area","","","","","2"
"Low transfer dependency","1990","Schleswig-Holstein","Rural Area","1","","","","1"
"Low transfer dependency","1990","Hamburg","Urban Area","7","","","","1"
"Low transfer dependency","1990","Hamburg","Rural Area","","","","","1"
"Low transfer dependency","1990","Schleswig-Holstein","Urban Area","1","","","","1"
"Low transfer dependency","1990","Lower Saxony","Urban Area","18","","","","1"
"Low transfer dependency","1990","Bremen","Rural Area","","","","","1"
"Low transfer dependency","1990","Lower Saxony","Rural Area","19","","","","1"
"Low transfer dependency","1990","Bremen","Urban Area","6","","","","1"
"Low transfer dependency","1990","North Rhine-Westphalia","Urban Area","72","0.0221952074418842","0.0164030470503283","0.02798736783344","1"
"Low transfer dependency","1990","North Rhine-Westphalia","Rural Area","8","","","","1"
"Low transfer dependency","1990","Hesse","Urban Area","26","","","","1"
"Low transfer dependency","1990","Hesse","Rural Area","","","","","1"
"Low transfer dependency","1990","Rhineland-Palatinate,Saarland","Urban Area","15","","","","1"
"Low transfer dependency","1990","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Low transfer dependency","1990","Baden-Württemberg","Urban Area","15","","","","1"
"Low transfer dependency","1990","Baden-Württemberg","Rural Area","3","","","","1"
"Low transfer dependency","1990","Bavaria","Urban Area","22","","","","1"
"Low transfer dependency","1990","Bavaria","Rural Area","26","","","","1"
"Low transfer dependency","1990","Berlin","Urban Area","8","","","","1"
"Low transfer dependency","1990","Berlin","Rural Area","","","","","1"
"Low transfer dependency","1990","Brandenburg","Urban Area","","","","","1"
"Low transfer dependency","1990","Brandenburg","Rural Area","","","","","1"
"Low transfer dependency","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Low transfer dependency","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Low transfer dependency","1990","Saxony","Urban Area","","","","","1"
"Low transfer dependency","1990","Saxony-Anhalt","Rural Area","","","","","1"
"Low transfer dependency","1990","Thuringia","Urban Area","","","","","1"
"Low transfer dependency","1990","Thuringia","Rural Area","","","","","1"
"Low transfer dependency","1990","Saxony","Rural Area","","","","","1"
"Low transfer dependency","1990","Saxony-Anhalt","Urban Area","","","","","1"
"Very high transfer dependency","1990","Schleswig-Holstein","Rural Area","","","","","3"
"Very high transfer dependency","1990","Schleswig-Holstein","Urban Area","4","","","","3"
"Very high transfer dependency","1990","Hamburg","Urban Area","5","","","","3"
"Very high transfer dependency","1990","Hamburg","Rural Area","","","","","3"
"Very high transfer dependency","1990","Bavaria","Urban Area","4","","","","3"
"Very high transfer dependency","1990","Baden-Württemberg","Rural Area","","","","","3"
"Very high transfer dependency","1990","Baden-Württemberg","Urban Area","9","","","","3"
"Very high transfer dependency","1990","Lower Saxony","Urban Area","10","","","","3"
"Very high transfer dependency","1990","Lower Saxony","Rural Area","11","","","","3"
"Very high transfer dependency","1990","Bremen","Urban Area","5","","","","3"
"Very high transfer dependency","1990","Bremen","Rural Area","","","","","3"
"Very high transfer dependency","1990","North Rhine-Westphalia","Urban Area","44","0.0181400415413945","0.0128928271651719","0.023387255917617","3"
"Very high transfer dependency","1990","North Rhine-Westphalia","Rural Area","1","","","","3"
"Very high transfer dependency","1990","Hesse","Urban Area","5","","","","3"
"Very high transfer dependency","1990","Hesse","Rural Area","1","","","","3"
"Very high transfer dependency","1990","Rhineland-Palatinate,Saarland","Urban Area","3","","","","3"
"Very high transfer dependency","1990","Rhineland-Palatinate,Saarland","Rural Area","5","","","","3"
"Very high transfer dependency","1990","Bavaria","Rural Area","2","","","","3"
"Very high transfer dependency","1990","Berlin","Urban Area","8","","","","3"
"Very high transfer dependency","1990","Berlin","Rural Area","","","","","3"
"Very high transfer dependency","1990","Brandenburg","Urban Area","","","","","3"
"Very high transfer dependency","1990","Brandenburg","Rural Area","","","","","3"
"Very high transfer dependency","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Very high transfer dependency","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Very high transfer dependency","1990","Saxony","Urban Area","","","","","3"
"Very high transfer dependency","1990","Saxony","Rural Area","","","","","3"
"Very high transfer dependency","1990","Saxony-Anhalt","Urban Area","","","","","3"
"Very high transfer dependency","1990","Saxony-Anhalt","Rural Area","","","","","3"
"Very high transfer dependency","1990","Thuringia","Urban Area","","","","","3"
"Very high transfer dependency","1990","Thuringia","Rural Area","","","","","3"
"Very low transfer dependency","1990","Schleswig-Holstein","Urban Area","127","0.907190308551679","0.858778153755982","0.955602463347376","0"
"Very low transfer dependency","1990","Schleswig-Holstein","Rural Area","141","0.9855975585455","0.966001361959038","1.00519375513196","0"
"Very low transfer dependency","1990","Hamburg","Urban Area","155","0.958583856744693","0.928543532136307","0.98862418135308","0"
"Very low transfer dependency","1990","Hamburg","Rural Area","","","","","0"
"Very low transfer dependency","1990","Lower Saxony","Urban Area","502","0.951976363764305","0.933807286238059","0.970145441290551","0"
"Very low transfer dependency","1990","Lower Saxony","Rural Area","411","0.927866847493727","0.903910568104023","0.95182312688343","0"
"Very low transfer dependency","1990","Bremen","Urban Area","90","0.904942039657694","0.848300623068615","0.961583456246774","0"
"Very low transfer dependency","1990","Bremen","Rural Area","","","","","0"
"Very low transfer dependency","1990","North Rhine-Westphalia","Urban Area","2325","0.944566148411263","0.935569337135783","0.953562959686743","0"
"Very low transfer dependency","1990","North Rhine-Westphalia","Rural Area","62","0.820994424808948","0.731823699465353","0.910165150152543","0"
"Very low transfer dependency","1990","Hesse","Urban Area","816","0.967878140815606","0.956038487890894","0.979717793740318","0"
"Very low transfer dependency","1990","Hesse","Rural Area","131","0.988982979912542","0.971176109226436","1.00678985059865","0"
"Very low transfer dependency","1990","Rhineland-Palatinate,Saarland","Urban Area","531","0.959377035675646","0.942967693914075","0.975786377437217","0"
"Very low transfer dependency","1990","Rhineland-Palatinate,Saarland","Rural Area","104","0.917686252897318","0.866556946569226","0.968815559225411","0"
"Very low transfer dependency","1990","Baden-Württemberg","Urban Area","1521","0.987139914125297","0.981543432588263","0.992736395662332","0"
"Very low transfer dependency","1990","Baden-Württemberg","Rural Area","235","0.984943447074488","0.96947210325335","1.00041479089563","0"
"Very low transfer dependency","1990","Bavaria","Urban Area","804","0.967504080411453","0.955448492412905","0.97955966841","0"
"Very low transfer dependency","1990","Bavaria","Rural Area","738","0.95726424268628","0.942978120869153","0.971550364503407","0"
"Very low transfer dependency","1990","Berlin","Urban Area","309","0.957405991369218","0.935618187918034","0.979193794820403","0"
"Very low transfer dependency","1990","Berlin","Rural Area","","","","","0"
"Very low transfer dependency","1990","Brandenburg","Urban Area","","","","","0"
"Very low transfer dependency","1990","Brandenburg","Rural Area","","","","","0"
"Very low transfer dependency","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Very low transfer dependency","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Very low transfer dependency","1990","Saxony","Urban Area","","","","","0"
"Very low transfer dependency","1990","Saxony","Rural Area","","","","","0"
"Very low transfer dependency","1990","Saxony-Anhalt","Urban Area","","","","","0"
"Very low transfer dependency","1990","Saxony-Anhalt","Rural Area","","","","","0"
"Very low transfer dependency","1990","Thuringia","Urban Area","","","","","0"
"Very low transfer dependency","1990","Thuringia","Rural Area","","","","","0"
"High transfer dependency","1991","Schleswig-Holstein","Rural Area","","","","","2"
"High transfer dependency","1991","Schleswig-Holstein","Urban Area","2","","","","2"
"High transfer dependency","1991","Hamburg","Rural Area","","","","","2"
"High transfer dependency","1991","Hamburg","Urban Area","2","","","","2"
"High transfer dependency","1991","Lower Saxony","Urban Area","3","","","","2"
"High transfer dependency","1991","Lower Saxony","Rural Area","6","","","","2"
"High transfer dependency","1991","Bremen","Urban Area","5","","","","2"
"High transfer dependency","1991","North Rhine-Westphalia","Urban Area","27","","","","2"
"High transfer dependency","1991","North Rhine-Westphalia","Rural Area","","","","","2"
"High transfer dependency","1991","Bremen","Rural Area","","","","","2"
"High transfer dependency","1991","Hesse","Urban Area","5","","","","2"
"High transfer dependency","1991","Hesse","Rural Area","","","","","2"
"High transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","4","","","","2"
"High transfer dependency","1991","Baden-Württemberg","Urban Area","15","","","","2"
"High transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","2","","","","2"
"High transfer dependency","1991","Thuringia","Rural Area","","","","","2"
"High transfer dependency","1991","Baden-Württemberg","Rural Area","","","","","2"
"High transfer dependency","1991","Bavaria","Urban Area","5","","","","2"
"High transfer dependency","1991","Bavaria","Rural Area","13","","","","2"
"High transfer dependency","1991","Berlin","Urban Area","2","","","","2"
"High transfer dependency","1991","Berlin","Rural Area","","","","","2"
"High transfer dependency","1991","Brandenburg","Urban Area","","","","","2"
"High transfer dependency","1991","Brandenburg","Rural Area","","","","","2"
"High transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"High transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"High transfer dependency","1991","Saxony","Urban Area","","","","","2"
"High transfer dependency","1991","Saxony","Rural Area","","","","","2"
"High transfer dependency","1991","Saxony-Anhalt","Urban Area","","","","","2"
"High transfer dependency","1991","Saxony-Anhalt","Rural Area","","","","","2"
"High transfer dependency","1991","Thuringia","Urban Area","","","","","2"
"Low transfer dependency","1991","Schleswig-Holstein","Urban Area","12","","","","1"
"Low transfer dependency","1991","Schleswig-Holstein","Rural Area","7","","","","1"
"Low transfer dependency","1991","Hamburg","Urban Area","4","","","","1"
"Low transfer dependency","1991","Lower Saxony","Urban Area","21","","","","1"
"Low transfer dependency","1991","Hamburg","Rural Area","","","","","1"
"Low transfer dependency","1991","Bremen","Urban Area","2","","","","1"
"Low transfer dependency","1991","Bremen","Rural Area","","","","","1"
"Low transfer dependency","1991","Lower Saxony","Rural Area","18","","","","1"
"Low transfer dependency","1991","North Rhine-Westphalia","Urban Area","92","0.0319887154418428","0.0250602660288888","0.0389171648547968","1"
"Low transfer dependency","1991","North Rhine-Westphalia","Rural Area","7","","","","1"
"Low transfer dependency","1991","Hesse","Urban Area","30","0.0216499945653185","0.0117188995167339","0.0315810896139031","1"
"Low transfer dependency","1991","Hesse","Rural Area","3","","","","1"
"Low transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","13","","","","1"
"Low transfer dependency","1991","Baden-Württemberg","Urban Area","17","","","","1"
"Low transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Low transfer dependency","1991","Baden-Württemberg","Rural Area","7","","","","1"
"Low transfer dependency","1991","Bavaria","Urban Area","16","","","","1"
"Low transfer dependency","1991","Bavaria","Rural Area","14","","","","1"
"Low transfer dependency","1991","Berlin","Urban Area","17","","","","1"
"Low transfer dependency","1991","Berlin","Rural Area","","","","","1"
"Low transfer dependency","1991","Brandenburg","Urban Area","","","","","1"
"Low transfer dependency","1991","Brandenburg","Rural Area","","","","","1"
"Low transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Low transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Low transfer dependency","1991","Saxony","Urban Area","","","","","1"
"Low transfer dependency","1991","Saxony-Anhalt","Rural Area","","","","","1"
"Low transfer dependency","1991","Thuringia","Urban Area","","","","","1"
"Low transfer dependency","1991","Thuringia","Rural Area","","","","","1"
"Low transfer dependency","1991","Saxony","Rural Area","","","","","1"
"Low transfer dependency","1991","Saxony-Anhalt","Urban Area","","","","","1"
"Very high transfer dependency","1991","Schleswig-Holstein","Rural Area","3","","","","3"
"Very high transfer dependency","1991","Schleswig-Holstein","Urban Area","3","","","","3"
"Very high transfer dependency","1991","Hamburg","Rural Area","","","","","3"
"Very high transfer dependency","1991","Hamburg","Urban Area","3","","","","3"
"Very high transfer dependency","1991","Bavaria","Urban Area","5","","","","3"
"Very high transfer dependency","1991","Baden-Württemberg","Urban Area","7","","","","3"
"Very high transfer dependency","1991","Baden-Württemberg","Rural Area","","","","","3"
"Very high transfer dependency","1991","Lower Saxony","Urban Area","5","","","","3"
"Very high transfer dependency","1991","Lower Saxony","Rural Area","16","","","","3"
"Very high transfer dependency","1991","Bremen","Urban Area","","","","","3"
"Very high transfer dependency","1991","Bremen","Rural Area","","","","","3"
"Very high transfer dependency","1991","North Rhine-Westphalia","Urban Area","34","0.013499410220333","0.00895577442762184","0.0180430460130441","3"
"Very high transfer dependency","1991","North Rhine-Westphalia","Rural Area","1","","","","3"
"Very high transfer dependency","1991","Hesse","Urban Area","10","","","","3"
"Very high transfer dependency","1991","Hesse","Rural Area","1","","","","3"
"Very high transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","7","","","","3"
"Very high transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","3","","","","3"
"Very high transfer dependency","1991","Bavaria","Rural Area","3","","","","3"
"Very high transfer dependency","1991","Berlin","Urban Area","10","","","","3"
"Very high transfer dependency","1991","Berlin","Rural Area","","","","","3"
"Very high transfer dependency","1991","Brandenburg","Urban Area","","","","","3"
"Very high transfer dependency","1991","Brandenburg","Rural Area","","","","","3"
"Very high transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Very high transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Very high transfer dependency","1991","Saxony","Urban Area","","","","","3"
"Very high transfer dependency","1991","Saxony","Rural Area","","","","","3"
"Very high transfer dependency","1991","Saxony-Anhalt","Urban Area","","","","","3"
"Very high transfer dependency","1991","Saxony-Anhalt","Rural Area","","","","","3"
"Very high transfer dependency","1991","Thuringia","Urban Area","","","","","3"
"Very high transfer dependency","1991","Thuringia","Rural Area","","","","","3"
"Very low transfer dependency","1991","Schleswig-Holstein","Urban Area","128","0.903486288836122","0.855422347519047","0.951550230153198","0"
"Very low transfer dependency","1991","Schleswig-Holstein","Rural Area","141","0.972070846203349","0.945790113734305","0.998351578672393","0"
"Very low transfer dependency","1991","Hamburg","Urban Area","153","0.959331007469092","0.928914697055752","0.989747317882431","0"
"Very low transfer dependency","1991","Hamburg","Rural Area","","","","","0"
"Very low transfer dependency","1991","Lower Saxony","Urban Area","497","0.948646120064426","0.929783849636178","0.967508390492674","0"
"Very low transfer dependency","1991","Lower Saxony","Rural Area","402","0.921428850123268","0.896344698696046","0.946513001550489","0"
"Very low transfer dependency","1991","Bremen","Urban Area","88","0.951529968467483","0.908344844066602","0.994715092868364","0"
"Very low transfer dependency","1991","Bremen","Rural Area","","","","","0"
"Very low transfer dependency","1991","North Rhine-Westphalia","Urban Area","2325","0.946730150956388","0.937888135346194","0.955572166566583","0"
"Very low transfer dependency","1991","North Rhine-Westphalia","Rural Area","59","0.843381349832885","0.756356271177518","0.930406428488252","0"
"Very low transfer dependency","1991","Hesse","Urban Area","780","0.959740724472235","0.946327565983137","0.973153882961333","0"
"Very low transfer dependency","1991","Hesse","Rural Area","132","0.975903708936945","0.950131168996118","1.00167624887777","0"
"Very low transfer dependency","1991","Rhineland-Palatinate,Saarland","Urban Area","524","0.94699316466373","0.928234705071366","0.965751624256093","0"
"Very low transfer dependency","1991","Rhineland-Palatinate,Saarland","Rural Area","113","0.944559973343615","0.903271048738176","0.985848897949054","0"
"Very low transfer dependency","1991","Baden-Württemberg","Urban Area","1524","0.974689349415027","0.966902650784788","0.982476048045266","0"
"Very low transfer dependency","1991","Baden-Württemberg","Rural Area","232","0.983248387792179","0.966977581774513","0.999519193809844","0"
"Very low transfer dependency","1991","Bavaria","Urban Area","789","0.969179556440012","0.95731392508721","0.981045187792814","0"
"Very low transfer dependency","1991","Bavaria","Rural Area","757","0.959924107855559","0.946220946430048","0.97362726928107","0"
"Very low transfer dependency","1991","Berlin","Urban Area","306","0.948258795946189","0.924539194203756","0.971978397688622","0"
"Very low transfer dependency","1991","Berlin","Rural Area","","","","","0"
"Very low transfer dependency","1991","Brandenburg","Urban Area","","","","","0"
"Very low transfer dependency","1991","Brandenburg","Rural Area","","","","","0"
"Very low transfer dependency","1991","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"Very low transfer dependency","1991","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"Very low transfer dependency","1991","Saxony","Urban Area","","","","","0"
"Very low transfer dependency","1991","Saxony","Rural Area","","","","","0"
"Very low transfer dependency","1991","Saxony-Anhalt","Urban Area","","","","","0"
"Very low transfer dependency","1991","Saxony-Anhalt","Rural Area","","","","","0"
"Very low transfer dependency","1991","Thuringia","Urban Area","","","","","0"
"Very low transfer dependency","1991","Thuringia","Rural Area","","","","","0"
"High transfer dependency","1992","Schleswig-Holstein","Urban Area","5","","","","2"
"High transfer dependency","1992","Schleswig-Holstein","Rural Area","","","","","2"
"High transfer dependency","1992","Hamburg","Urban Area","2","","","","2"
"High transfer dependency","1992","Hamburg","Rural Area","","","","","2"
"High transfer dependency","1992","Lower Saxony","Urban Area","8","","","","2"
"High transfer dependency","1992","Bremen","Urban Area","3","","","","2"
"High transfer dependency","1992","Lower Saxony","Rural Area","14","","","","2"
"High transfer dependency","1992","Bremen","Rural Area","","","","","2"
"High transfer dependency","1992","North Rhine-Westphalia","Urban Area","21","","","","2"
"High transfer dependency","1992","North Rhine-Westphalia","Rural Area","1","","","","2"
"High transfer dependency","1992","Hesse","Urban Area","8","","","","2"
"High transfer dependency","1992","Hesse","Rural Area","","","","","2"
"High transfer dependency","1992","Rhineland-Palatinate,Saarland","Urban Area","8","","","","2"
"High transfer dependency","1992","Rhineland-Palatinate,Saarland","Rural Area","2","","","","2"
"High transfer dependency","1992","Baden-Württemberg","Urban Area","9","","","","2"
"High transfer dependency","1992","Baden-Württemberg","Rural Area","","","","","2"
"High transfer dependency","1992","Bavaria","Urban Area","4","","","","2"
"High transfer dependency","1992","Berlin","Urban Area","20","","","","2"
"High transfer dependency","1992","Bavaria","Rural Area","5","","","","2"
"High transfer dependency","1992","Berlin","Rural Area","","","","","2"
"High transfer dependency","1992","Brandenburg","Urban Area","","","","","2"
"High transfer dependency","1992","Brandenburg","Rural Area","17","","","","2"
"High transfer dependency","1992","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"High transfer dependency","1992","Mecklenburg-Western Pomerania","Rural Area","3","","","","2"
"High transfer dependency","1992","Saxony","Urban Area","17","","","","2"
"High transfer dependency","1992","Saxony","Rural Area","14","","","","2"
"High transfer dependency","1992","Saxony-Anhalt","Urban Area","1","","","","2"
"High transfer dependency","1992","Saxony-Anhalt","Rural Area","","","","","2"
"High transfer dependency","1992","Thuringia","Rural Area","4","","","","2"
"High transfer dependency","1992","Thuringia","Urban Area","","","","","2"
"Low transfer dependency","1992","Schleswig-Holstein","Rural Area","7","","","","1"
"Low transfer dependency","1992","Schleswig-Holstein","Urban Area","4","","","","1"
"Low transfer dependency","1992","Hamburg","Urban Area","1","","","","1"
"Low transfer dependency","1992","Hamburg","Rural Area","","","","","1"
"Low transfer dependency","1992","Lower Saxony","Urban Area","12","","","","1"
"Low transfer dependency","1992","Lower Saxony","Rural Area","8","","","","1"
"Low transfer dependency","1992","Bremen","Urban Area","2","","","","1"
