"transab_cat2","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","1993","Couple + C. LE 16 ","general elemantary","11","","","","3"
"Very high transfer dependency","1993","Couple + C. LE 16 ","middle vocational","19","","","","3"
"Very high transfer dependency","1993","Couple + C. LE 16 ","vocational + Abi","4","","","","3"
"Very high transfer dependency","1993","Couple + C. LE and GT 16","higher vocational","","","","","3"
"Very high transfer dependency","1993","Couple + C. LE and GT 16","higher education","1","","","","3"
"Very low transfer dependency","1993","1-pers.-HH","in school","","","","","0"
"Very low transfer dependency","1993","1-pers.-HH","inadequately","33","0.809035150783543","0.688721037298563","0.929349264268523","0"
"Very low transfer dependency","1993","1-pers.-HH","general elemantary","337","0.93530781351314","0.909968374148973","0.960647252877307","0"
"Very low transfer dependency","1993","1-pers.-HH","middle vocational","661","0.934893334929657","0.916771513311193","0.953015156548122","0"
"Very low transfer dependency","1993","1-pers.-HH","vocational + Abi","44","0.954177327847708","0.895023585600496","1.01333107009492","0"
"Very low transfer dependency","1993","1-pers.-HH","higher vocational","74","0.981254238547573","0.950762400051727","1.01174607704342","0"
"Very low transfer dependency","1993","1-pers.-HH","higher education","152","0.957888382826127","0.927055601578277","0.988721164073977","0"
"Very low transfer dependency","1993","(Married) couple without C. ","in school","","","","","0"
"Very low transfer dependency","1993","(Married) couple without C. ","inadequately","63","0.878041348174366","0.804470614624575","0.951612081724157","0"
"Very low transfer dependency","1993","(Married) couple without C. ","general elemantary","588","0.945518914170652","0.927739440013962","0.963298388327342","0"
"Very low transfer dependency","1993","(Married) couple without C. ","middle vocational","1727","0.952868302667969","0.943203619452428","0.962532985883509","0"
"Very low transfer dependency","1993","(Married) couple without C. ","vocational + Abi","101","0.982172506850597","0.956862488084842","1.00748252561635","0"
"Very low transfer dependency","1993","(Married) couple without C. ","higher vocational","213","0.982505317338039","0.965101667626388","0.99990896704969","0"
"Very low transfer dependency","1993","(Married) couple without C. ","higher education","384","0.963905595786842","0.945717191542203","0.982094000031481","0"
"Very low transfer dependency","1993","Single parent ","in school","16","","","","0"
"Very low transfer dependency","1993","Single parent ","inadequately","23","","","","0"
"Very low transfer dependency","1993","Single parent ","general elemantary","120","0.822002105233586","0.760376509427279","0.883627701039893","0"
"Very low transfer dependency","1993","Single parent ","middle vocational","234","0.803196755745156","0.757980253321267","0.848413258169044","0"
"Very low transfer dependency","1993","Single parent ","vocational + Abi","8","","","","0"
"Very low transfer dependency","1993","Single parent ","higher vocational","13","","","","0"
"Very low transfer dependency","1993","Single parent ","higher education","55","0.851603050760956","0.765838619116799","0.937367482405113","0"
"Very low transfer dependency","1993","Couple + C. LE 16 ","in school","","","","","0"
"Very low transfer dependency","1993","Couple + C. LE 16 ","inadequately","81","0.70842022815674","0.618893097338903","0.797947358974578","0"
"Very low transfer dependency","1993","Couple + C. LE 16 ","general elemantary","351","0.91784240621165","0.890693037788906","0.944991774634394","0"
"Very low transfer dependency","1993","Couple + C. LE 16 ","middle vocational","1449","0.901415569689278","0.887152309458454","0.915678829920103","0"
"Very low transfer dependency","1993","Couple + C. LE 16 ","vocational + Abi","90","0.889119509257968","0.829346819702872","0.948892198813065","0"
"Very low transfer dependency","1993","Couple + C. LE 16 ","higher vocational","201","0.946584251413205","0.916803179142324","0.976365323684085","0"
"Very low transfer dependency","1993","Couple + C. LE 16 ","higher education","520","0.940519999409559","0.920947956468624","0.960092042350493","0"
"Very low transfer dependency","1993","Couple + C. GT 16 ","in school","69","0.986669417633567","0.959992889209777","1.01334594605736","0"
"Very low transfer dependency","1993","Couple + C. GT 16 ","inadequately","151","0.956535366692862","0.925136851596557","0.987933881789168","0"
"Very low transfer dependency","1993","Couple + C. GT 16 ","general elemantary","523","0.947831105714014","0.929608042940119","0.966054168487909","0"
"Very low transfer dependency","1993","Couple + C. GT 16 ","middle vocational","1219","0.95379287608191","0.9424462505956","0.965139501568221","0"
"Very low transfer dependency","1993","Couple + C. GT 16 ","vocational + Abi","64","0.971426389688266","0.932115664728559","1.01073711464797","0"
"Very low transfer dependency","1993","Couple + C. GT 16 ","higher vocational","100","0.96814950810499","0.93503140149802","1.00126761471196","0"
"Very low transfer dependency","1993","Couple + C. GT 16 ","higher education","230","0.971945087993712","0.951053676168928","0.992836499818496","0"
"Very low transfer dependency","1993","Couple + C. LE and GT 16","in school","75","0.907899660885467","0.847136828986956","0.968662492783979","0"
"Very low transfer dependency","1993","Couple + C. LE and GT 16","inadequately","109","0.912247552880886","0.861197868773507","0.963297236988265","0"
"Very low transfer dependency","1993","Couple + C. LE and GT 16","general elemantary","296","0.910281552218635","0.879494873434822","0.941068231002449","0"
"Very low transfer dependency","1993","Couple + C. LE and GT 16","middle vocational","378","0.931307000205732","0.907030686645378","0.955583313766086","0"
"Very low transfer dependency","1993","Couple + C. LE and GT 16","vocational + Abi","15","","","","0"
"Very low transfer dependency","1993","Couple + C. LE and GT 16","higher vocational","59","0.947956235699478","0.89353898471881","1.00237348668015","0"
"Very low transfer dependency","1993","Couple + C. LE and GT 16","higher education","106","0.935274451032838","0.891068369837858","0.979480532227818","0"
"High transfer dependency","1994","1-pers.-HH","in school","","","","","2"
"High transfer dependency","1994","1-pers.-HH","inadequately","1","","","","2"
"High transfer dependency","1994","1-pers.-HH","general elemantary","8","","","","2"
"High transfer dependency","1994","1-pers.-HH","middle vocational","7","","","","2"
"High transfer dependency","1994","1-pers.-HH","vocational + Abi","","","","","2"
"High transfer dependency","1994","1-pers.-HH","higher vocational","2","","","","2"
"High transfer dependency","1994","1-pers.-HH","higher education","3","","","","2"
"High transfer dependency","1994","(Married) couple without C. ","in school","","","","","2"
"High transfer dependency","1994","(Married) couple without C. ","inadequately","6","","","","2"
"High transfer dependency","1994","(Married) couple without C. ","general elemantary","6","","","","2"
"High transfer dependency","1994","(Married) couple without C. ","middle vocational","32","0.0124105254646321","0.00735887588351082","0.0174621750457533","2"
"High transfer dependency","1994","(Married) couple without C. ","vocational + Abi","2","","","","2"
"High transfer dependency","1994","(Married) couple without C. ","higher vocational","2","","","","2"
"High transfer dependency","1994","(Married) couple without C. ","higher education","2","","","","2"
"High transfer dependency","1994","Single parent ","in school","1","","","","2"
"High transfer dependency","1994","Single parent ","inadequately","","","","","2"
"High transfer dependency","1994","Single parent ","general elemantary","2","","","","2"
"High transfer dependency","1994","Single parent ","middle vocational","8","","","","2"
"High transfer dependency","1994","Single parent ","vocational + Abi","","","","","2"
"High transfer dependency","1994","Single parent ","higher vocational","","","","","2"
"High transfer dependency","1994","Single parent ","higher education","3","","","","2"
"High transfer dependency","1994","Couple + C. LE 16 ","in school","","","","","2"
"High transfer dependency","1994","Couple + C. LE 16 ","inadequately","2","","","","2"
"High transfer dependency","1994","Couple + C. LE 16 ","general elemantary","15","","","","2"
"High transfer dependency","1994","Couple + C. LE 16 ","middle vocational","45","0.0242611272589617","0.0168237557455221","0.0316984987724013","2"
"High transfer dependency","1994","Couple + C. LE 16 ","vocational + Abi","2","","","","2"
"High transfer dependency","1994","Couple + C. LE 16 ","higher vocational","3","","","","2"
"High transfer dependency","1994","Couple + C. LE 16 ","higher education","8","","","","2"
"High transfer dependency","1994","Couple + C. GT 16 ","in school","2","","","","2"
"High transfer dependency","1994","Couple + C. GT 16 ","inadequately","1","","","","2"
"High transfer dependency","1994","Couple + C. GT 16 ","general elemantary","7","","","","2"
"High transfer dependency","1994","Couple + C. GT 16 ","middle vocational","11","","","","2"
"High transfer dependency","1994","Couple + C. GT 16 ","vocational + Abi","1","","","","2"
"High transfer dependency","1994","Couple + C. GT 16 ","higher vocational","1","","","","2"
"High transfer dependency","1994","Couple + C. GT 16 ","higher education","5","","","","2"
"High transfer dependency","1994","Couple + C. LE and GT 16","in school","3","","","","2"
"High transfer dependency","1994","Couple + C. LE and GT 16","inadequately","2","","","","2"
"High transfer dependency","1994","Couple + C. LE and GT 16","general elemantary","7","","","","2"
"High transfer dependency","1994","Couple + C. LE and GT 16","middle vocational","8","","","","2"
"High transfer dependency","1994","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"High transfer dependency","1994","Couple + C. LE and GT 16","higher vocational","1","","","","2"
"High transfer dependency","1994","Couple + C. LE and GT 16","higher education","4","","","","2"
"Low transfer dependency","1994","(Married) couple without C. ","middle vocational","73","0.0281079650697845","0.0205661892325595","0.0356497409070096","1"
"Low transfer dependency","1994","1-pers.-HH","in school","","","","","1"
"Low transfer dependency","1994","1-pers.-HH","inadequately","4","","","","1"
"Low transfer dependency","1994","1-pers.-HH","general elemantary","5","","","","1"
"Low transfer dependency","1994","1-pers.-HH","middle vocational","18","","","","1"
"Low transfer dependency","1994","1-pers.-HH","vocational + Abi","2","","","","1"
"Low transfer dependency","1994","1-pers.-HH","higher vocational","2","","","","1"
"Low transfer dependency","1994","1-pers.-HH","higher education","2","","","","1"
"Low transfer dependency","1994","(Married) couple without C. ","in school","","","","","1"
"Low transfer dependency","1994","(Married) couple without C. ","inadequately","2","","","","1"
"Low transfer dependency","1994","(Married) couple without C. ","general elemantary","23","","","","1"
"Low transfer dependency","1994","(Married) couple without C. ","vocational + Abi","3","","","","1"
"Low transfer dependency","1994","(Married) couple without C. ","higher vocational","8","","","","1"
"Low transfer dependency","1994","(Married) couple without C. ","higher education","15","","","","1"
"Low transfer dependency","1994","Couple + C. LE and GT 16","general elemantary","23","","","","1"
"Low transfer dependency","1994","Couple + C. LE and GT 16","middle vocational","35","0.0460489015853314","0.0268329150895306","0.0652648880811321","1"
"Low transfer dependency","1994","Couple + C. LE 16 ","higher education","29","","","","1"
"Low transfer dependency","1994","Couple + C. GT 16 ","in school","3","","","","1"
"Low transfer dependency","1994","Couple + C. GT 16 ","inadequately","12","","","","1"
"Low transfer dependency","1994","Couple + C. GT 16 ","general elemantary","47","0.0624897643730011","0.0415037438372623","0.0834757849087399","1"
"Low transfer dependency","1994","Couple + C. GT 16 ","middle vocational","60","0.0390513476216579","0.0281989552878813","0.0499037399554345","1"
"Low transfer dependency","1994","Couple + C. GT 16 ","vocational + Abi","4","","","","1"
"Low transfer dependency","1994","Couple + C. GT 16 ","higher vocational","7","","","","1"
"Low transfer dependency","1994","Couple + C. GT 16 ","higher education","16","","","","1"
"Low transfer dependency","1994","Couple + C. LE and GT 16","in school","9","","","","1"
"Low transfer dependency","1994","Couple + C. LE and GT 16","inadequately","5","","","","1"
"Low transfer dependency","1994","Single parent ","in school","2","","","","1"
"Low transfer dependency","1994","Single parent ","inadequately","1","","","","1"
"Low transfer dependency","1994","Single parent ","general elemantary","10","","","","1"
"Low transfer dependency","1994","Couple + C. LE 16 ","higher vocational","14","","","","1"
"Low transfer dependency","1994","Single parent ","middle vocational","24","","","","1"
"Low transfer dependency","1994","Single parent ","vocational + Abi","1","","","","1"
"Low transfer dependency","1994","Single parent ","higher vocational","1","","","","1"
"Low transfer dependency","1994","Single parent ","higher education","2","","","","1"
"Low transfer dependency","1994","Couple + C. LE 16 ","in school","","","","","1"
"Low transfer dependency","1994","Couple + C. LE 16 ","inadequately","8","","","","1"
"Low transfer dependency","1994","Couple + C. LE 16 ","general elemantary","21","","","","1"
"Low transfer dependency","1994","Couple + C. LE 16 ","middle vocational","185","0.0877004796043175","0.0740273826958642","0.101373576512771","1"
"Low transfer dependency","1994","Couple + C. LE 16 ","vocational + Abi","15","","","","1"
"Low transfer dependency","1994","Couple + C. LE and GT 16","vocational + Abi","5","","","","1"
"Low transfer dependency","1994","Couple + C. LE and GT 16","higher vocational","1","","","","1"
"Low transfer dependency","1994","Couple + C. LE and GT 16","higher education","5","","","","1"
"Very high transfer dependency","1994","1-pers.-HH","in school","1","","","","3"
"Very high transfer dependency","1994","1-pers.-HH","inadequately","2","","","","3"
"Very high transfer dependency","1994","1-pers.-HH","general elemantary","10","","","","3"
"Very high transfer dependency","1994","1-pers.-HH","middle vocational","28","","","","3"
"Very high transfer dependency","1994","1-pers.-HH","vocational + Abi","5","","","","3"
"Very high transfer dependency","1994","1-pers.-HH","higher vocational","1","","","","3"
"Very high transfer dependency","1994","1-pers.-HH","higher education","6","","","","3"
"Very high transfer dependency","1994","Couple + C. LE 16 ","higher education","","","","","3"
"Very high transfer dependency","1994","Couple + C. GT 16 ","in school","1","","","","3"
"Very high transfer dependency","1994","Couple + C. GT 16 ","inadequately","5","","","","3"
"Very high transfer dependency","1994","Couple + C. GT 16 ","general elemantary","4","","","","3"
"Very high transfer dependency","1994","Couple + C. GT 16 ","middle vocational","5","","","","3"
"Very high transfer dependency","1994","Couple + C. GT 16 ","vocational + Abi","","","","","3"
"Very high transfer dependency","1994","Couple + C. GT 16 ","higher education","1","","","","3"
"Very high transfer dependency","1994","Couple + C. LE and GT 16","in school","","","","","3"
"Very high transfer dependency","1994","Couple + C. GT 16 ","higher vocational","","","","","3"
"Very high transfer dependency","1994","(Married) couple without C. ","in school","","","","","3"
"Very high transfer dependency","1994","(Married) couple without C. ","inadequately","1","","","","3"
"Very high transfer dependency","1994","(Married) couple without C. ","general elemantary","10","","","","3"
"Very high transfer dependency","1994","(Married) couple without C. ","middle vocational","22","","","","3"
"Very high transfer dependency","1994","(Married) couple without C. ","vocational + Abi","1","","","","3"
"Very high transfer dependency","1994","Couple + C. LE and GT 16","inadequately","","","","","3"
"Very high transfer dependency","1994","Couple + C. LE and GT 16","general elemantary","5","","","","3"
"Very high transfer dependency","1994","Couple + C. LE and GT 16","middle vocational","7","","","","3"
"Very high transfer dependency","1994","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"Very high transfer dependency","1994","(Married) couple without C. ","higher vocational","3","","","","3"
"Very high transfer dependency","1994","(Married) couple without C. ","higher education","1","","","","3"
"Very high transfer dependency","1994","Single parent ","in school","2","","","","3"
"Very high transfer dependency","1994","Couple + C. LE 16 ","higher vocational","","","","","3"
"Very high transfer dependency","1994","Single parent ","inadequately","3","","","","3"
"Very high transfer dependency","1994","Single parent ","general elemantary","11","","","","3"
"Very high transfer dependency","1994","Single parent ","middle vocational","21","","","","3"
"Very high transfer dependency","1994","Single parent ","vocational + Abi","2","","","","3"
"Very high transfer dependency","1994","Single parent ","higher vocational","","","","","3"
"Very high transfer dependency","1994","Single parent ","higher education","4","","","","3"
"Very high transfer dependency","1994","Couple + C. LE 16 ","in school","","","","","3"
"Very high transfer dependency","1994","Couple + C. LE 16 ","inadequately","6","","","","3"
"Very high transfer dependency","1994","Couple + C. LE 16 ","general elemantary","15","","","","3"
"Very high transfer dependency","1994","Couple + C. LE 16 ","middle vocational","26","","","","3"
"Very high transfer dependency","1994","Couple + C. LE 16 ","vocational + Abi","2","","","","3"
"Very high transfer dependency","1994","Couple + C. LE and GT 16","higher vocational","","","","","3"
"Very high transfer dependency","1994","Couple + C. LE and GT 16","higher education","","","","","3"
"Very low transfer dependency","1994","1-pers.-HH","in school","","","","","0"
"Very low transfer dependency","1994","1-pers.-HH","inadequately","28","","","","0"
"Very low transfer dependency","1994","1-pers.-HH","general elemantary","337","0.949571861966843","0.926967241188193","0.972176482745492","0"
"Very low transfer dependency","1994","1-pers.-HH","middle vocational","662","0.928478888902792","0.909590356599388","0.947367421206195","0"
"Very low transfer dependency","1994","1-pers.-HH","vocational + Abi","44","0.862940213693082","0.768554039681025","0.957326387705139","0"
"Very low transfer dependency","1994","1-pers.-HH","higher vocational","70","0.95768756175846","0.912129691982614","1.00324543153431","0"
"Very low transfer dependency","1994","1-pers.-HH","higher education","151","0.943569804569966","0.908036681659073","0.979102927480859","0"
"Very low transfer dependency","1994","(Married) couple without C. ","in school","","","","","0"
"Very low transfer dependency","1994","(Married) couple without C. ","inadequately","70","0.859566741998426","0.782952531091579","0.936180952905274","0"
"Very low transfer dependency","1994","(Married) couple without C. ","general elemantary","583","0.949573089603969","0.932376264357474","0.966769914850464","0"
"Very low transfer dependency","1994","(Married) couple without C. ","middle vocational","1718","0.949908322349409","0.939954874606834","0.959861770091983","0"
"Very low transfer dependency","1994","(Married) couple without C. ","vocational + Abi","95","0.955232554642082","0.914903028642428","0.995562080641736","0"
"Very low transfer dependency","1994","(Married) couple without C. ","higher vocational","227","0.954878552075943","0.928617745966","0.981139358185885","0"
"Very low transfer dependency","1994","(Married) couple without C. ","higher education","418","0.965168220539195","0.947957692934533","0.982378748143857","0"
"Very low transfer dependency","1994","Single parent ","in school","15","","","","0"
"Very low transfer dependency","1994","Single parent ","inadequately","23","","","","0"
"Very low transfer dependency","1994","Single parent ","general elemantary","113","0.841182531009819","0.77975360892943","0.902611453090209","0"
"Very low transfer dependency","1994","Single parent ","middle vocational","230","0.803605115225961","0.757320004652179","0.849890225799743","0"
"Very low transfer dependency","1994","Single parent ","vocational + Abi","7","","","","0"
"Very low transfer dependency","1994","Single parent ","higher vocational","17","","","","0"
"Very low transfer dependency","1994","Single parent ","higher education","53","0.884897246615337","0.805456827924828","0.964337665305846","0"
"Very low transfer dependency","1994","Couple + C. LE 16 ","in school","1","","","","0"
"Very low transfer dependency","1994","Couple + C. LE 16 ","inadequately","69","0.725418641261723","0.630539988595807","0.82029729392764","0"
"Very low transfer dependency","1994","Couple + C. LE 16 ","general elemantary","317","0.885028095568734","0.852437029011906","0.917619162125563","0"
"Very low transfer dependency","1994","Couple + C. LE 16 ","middle vocational","1388","0.875509298290608","0.85955065294754","0.891467943633675","0"
"Very low transfer dependency","1994","Couple + C. LE 16 ","vocational + Abi","101","0.854858345762395","0.791835126955969","0.917881564568821","0"
"Very low transfer dependency","1994","Couple + C. LE 16 ","higher vocational","200","0.945132804495623","0.914834311781473","0.975431297209773","0"
"Very low transfer dependency","1994","Couple + C. LE 16 ","higher education","493","0.941986552506742","0.922084546866969","0.961888558146514","0"
"Very low transfer dependency","1994","Couple + C. GT 16 ","in school","89","0.958776023608342","0.918798138897072","0.998753908319613","0"
"Very low transfer dependency","1994","Couple + C. GT 16 ","inadequately","141","0.888558561358564","0.839646506139419","0.93747061657771","0"
"Very low transfer dependency","1994","Couple + C. GT 16 ","general elemantary","453","0.90934053243746","0.884445798002899","0.934235266872022","0"
"Very low transfer dependency","1994","Couple + C. GT 16 ","middle vocational","1148","0.946003280129429","0.933341715021417","0.958664845237441","0"
"Very low transfer dependency","1994","Couple + C. GT 16 ","vocational + Abi","57","0.955669087473503","0.904434959233538","1.00690321571347","0"
"Very low transfer dependency","1994","Couple + C. GT 16 ","higher vocational","98","0.945590706118787","0.902410640223554","0.988770772014019","0"
"Very low transfer dependency","1994","Couple + C. GT 16 ","higher education","236","0.935421533791476","0.905430890409125","0.965412177173827","0"
"Very low transfer dependency","1994","Couple + C. LE and GT 16","in school","99","0.943196926392492","0.900136957867608","0.986256894917376","0"
"Very low transfer dependency","1994","Couple + C. LE and GT 16","inadequately","89","0.942674317981205","0.896172714631512","0.989175921330899","0"
"Very low transfer dependency","1994","Couple + C. LE and GT 16","general elemantary","254","0.910998603564043","0.878169695654914","0.943827511473173","0"
"Very low transfer dependency","1994","Couple + C. LE and GT 16","middle vocational","407","0.932746076221247","0.909782976064952","0.955709176377542","0"
"Very low transfer dependency","1994","Couple + C. LE and GT 16","vocational + Abi","18","","","","0"
"Very low transfer dependency","1994","Couple + C. LE and GT 16","higher vocational","57","0.980777981939355","0.945742594100516","1.01581336977819","0"
"Very low transfer dependency","1994","Couple + C. LE and GT 16","higher education","105","0.949819318433852","0.909743311557906","0.989895325309798","0"
"High transfer dependency","1995","1-pers.-HH","in school","1","","","","2"
"High transfer dependency","1995","Single parent ","inadequately","1","","","","2"
"High transfer dependency","1995","Single parent ","general elemantary","12","","","","2"
"High transfer dependency","1995","Single parent ","middle vocational","14","","","","2"
"High transfer dependency","1995","Single parent ","vocational + Abi","","","","","2"
"High transfer dependency","1995","Single parent ","higher vocational","","","","","2"
"High transfer dependency","1995","Single parent ","higher education","3","","","","2"
"High transfer dependency","1995","Couple + C. LE 16 ","in school","","","","","2"
"High transfer dependency","1995","Couple + C. LE 16 ","inadequately","3","","","","2"
"High transfer dependency","1995","Couple + C. LE 16 ","general elemantary","12","","","","2"
"High transfer dependency","1995","Couple + C. LE 16 ","middle vocational","47","0.0263299000375952","0.0186689499165737","0.0339908501586167","2"
"High transfer dependency","1995","1-pers.-HH","inadequately","1","","","","2"
"High transfer dependency","1995","1-pers.-HH","general elemantary","4","","","","2"
"High transfer dependency","1995","1-pers.-HH","middle vocational","11","","","","2"
"High transfer dependency","1995","1-pers.-HH","vocational + Abi","3","","","","2"
"High transfer dependency","1995","1-pers.-HH","higher vocational","1","","","","2"
"High transfer dependency","1995","1-pers.-HH","higher education","1","","","","2"
"High transfer dependency","1995","(Married) couple without C. ","in school","","","","","2"
"High transfer dependency","1995","(Married) couple without C. ","inadequately","3","","","","2"
"High transfer dependency","1995","(Married) couple without C. ","general elemantary","8","","","","2"
"High transfer dependency","1995","(Married) couple without C. ","middle vocational","19","","","","2"
"High transfer dependency","1995","(Married) couple without C. ","vocational + Abi","2","","","","2"
"High transfer dependency","1995","(Married) couple without C. ","higher vocational","2","","","","2"
"High transfer dependency","1995","(Married) couple without C. ","higher education","3","","","","2"
"High transfer dependency","1995","Single parent ","in school","3","","","","2"
"High transfer dependency","1995","Couple + C. LE 16 ","vocational + Abi","2","","","","2"
"High transfer dependency","1995","Couple + C. LE 16 ","higher vocational","","","","","2"
"High transfer dependency","1995","Couple + C. LE 16 ","higher education","4","","","","2"
"High transfer dependency","1995","Couple + C. GT 16 ","in school","","","","","2"
"High transfer dependency","1995","Couple + C. GT 16 ","inadequately","7","","","","2"
"High transfer dependency","1995","Couple + C. GT 16 ","general elemantary","10","","","","2"
"High transfer dependency","1995","Couple + C. GT 16 ","middle vocational","10","","","","2"
"High transfer dependency","1995","Couple + C. GT 16 ","vocational + Abi","1","","","","2"
"High transfer dependency","1995","Couple + C. GT 16 ","higher vocational","","","","","2"
"High transfer dependency","1995","Couple + C. GT 16 ","higher education","","","","","2"
"High transfer dependency","1995","Couple + C. LE and GT 16","in school","5","","","","2"
"High transfer dependency","1995","Couple + C. LE and GT 16","inadequately","3","","","","2"
"High transfer dependency","1995","Couple + C. LE and GT 16","general elemantary","8","","","","2"
"High transfer dependency","1995","Couple + C. LE and GT 16","middle vocational","11","","","","2"
"High transfer dependency","1995","Couple + C. LE and GT 16","vocational + Abi","1","","","","2"
"High transfer dependency","1995","Couple + C. LE and GT 16","higher vocational","","","","","2"
"High transfer dependency","1995","Couple + C. LE and GT 16","higher education","2","","","","2"
"Low transfer dependency","1995","Couple + C. LE and GT 16","middle vocational","37","0.0474051461869836","0.0285317319924187","0.0662785603815485","1"
"Low transfer dependency","1995","(Married) couple without C. ","vocational + Abi","6","","","","1"
"Low transfer dependency","1995","(Married) couple without C. ","higher vocational","4","","","","1"
"Low transfer dependency","1995","Couple + C. LE 16 ","higher education","17","","","","1"
"Low transfer dependency","1995","(Married) couple without C. ","middle vocational","83","0.0327845904165883","0.0247628377240978","0.0408063431090788","1"
"Low transfer dependency","1995","1-pers.-HH","in school","1","","","","1"
"Low transfer dependency","1995","1-pers.-HH","inadequately","3","","","","1"
"Low transfer dependency","1995","1-pers.-HH","general elemantary","10","","","","1"
"Low transfer dependency","1995","1-pers.-HH","middle vocational","25","","","","1"
"Low transfer dependency","1995","1-pers.-HH","vocational + Abi","1","","","","1"
"Low transfer dependency","1995","1-pers.-HH","higher vocational","","","","","1"
"Low transfer dependency","1995","Couple + C. GT 16 ","in school","3","","","","1"
"Low transfer dependency","1995","Couple + C. GT 16 ","inadequately","17","","","","1"
"Low transfer dependency","1995","Couple + C. GT 16 ","general elemantary","40","0.0773582507230927","0.0542397705416077","0.100476730904578","1"
"Low transfer dependency","1995","Couple + C. GT 16 ","middle vocational","59","0.0406824088154287","0.029700013792316","0.0516648038385415","1"
"Low transfer dependency","1995","Couple + C. GT 16 ","vocational + Abi","8","","","","1"
"Low transfer dependency","1995","Couple + C. GT 16 ","higher vocational","4","","","","1"
"Low transfer dependency","1995","Couple + C. GT 16 ","higher education","13","","","","1"
"Low transfer dependency","1995","Couple + C. LE and GT 16","in school","8","","","","1"
"Low transfer dependency","1995","Couple + C. LE and GT 16","inadequately","2","","","","1"
"Low transfer dependency","1995","Couple + C. LE and GT 16","general elemantary","24","","","","1"
"Low transfer dependency","1995","1-pers.-HH","higher education","4","","","","1"
"Low transfer dependency","1995","(Married) couple without C. ","in school","","","","","1"
"Low transfer dependency","1995","(Married) couple without C. ","inadequately","4","","","","1"
"Low transfer dependency","1995","(Married) couple without C. ","general elemantary","17","","","","1"
"Low transfer dependency","1995","(Married) couple without C. ","higher education","14","","","","1"
"Low transfer dependency","1995","Single parent ","in school","3","","","","1"
"Low transfer dependency","1995","Single parent ","inadequately","","","","","1"
"Low transfer dependency","1995","Couple + C. LE 16 ","higher vocational","12","","","","1"
"Low transfer dependency","1995","Single parent ","general elemantary","10","","","","1"
"Low transfer dependency","1995","Single parent ","middle vocational","24","","","","1"
"Low transfer dependency","1995","Single parent ","vocational + Abi","1","","","","1"
"Low transfer dependency","1995","Single parent ","higher vocational","4","","","","1"
"Low transfer dependency","1995","Single parent ","higher education","5","","","","1"
"Low transfer dependency","1995","Couple + C. LE 16 ","in school","","","","","1"
"Low transfer dependency","1995","Couple + C. LE 16 ","inadequately","8","","","","1"
"Low transfer dependency","1995","Couple + C. LE 16 ","general elemantary","28","","","","1"
"Low transfer dependency","1995","Couple + C. LE 16 ","middle vocational","149","0.0759824758524299","0.0633045287023017","0.0886604230025581","1"
"Low transfer dependency","1995","Couple + C. LE 16 ","vocational + Abi","13","","","","1"
"Low transfer dependency","1995","Couple + C. LE and GT 16","vocational + Abi","3","","","","1"
"Low transfer dependency","1995","Couple + C. LE and GT 16","higher vocational","1","","","","1"
"Low transfer dependency","1995","Couple + C. LE and GT 16","higher education","5","","","","1"
"Very high transfer dependency","1995","1-pers.-HH","in school","2","","","","3"
"Very high transfer dependency","1995","1-pers.-HH","inadequately","2","","","","3"
"Very high transfer dependency","1995","1-pers.-HH","general elemantary","15","","","","3"
"Very high transfer dependency","1995","1-pers.-HH","middle vocational","29","","","","3"
"Very high transfer dependency","1995","1-pers.-HH","vocational + Abi","3","","","","3"
"Very high transfer dependency","1995","1-pers.-HH","higher vocational","3","","","","3"
"Very high transfer dependency","1995","1-pers.-HH","higher education","7","","","","3"
"Very high transfer dependency","1995","(Married) couple without C. ","in school","","","","","3"
"Very high transfer dependency","1995","(Married) couple without C. ","inadequately","1","","","","3"
"Very high transfer dependency","1995","(Married) couple without C. ","general elemantary","15","","","","3"
"Very high transfer dependency","1995","(Married) couple without C. ","middle vocational","25","","","","3"
"Very high transfer dependency","1995","(Married) couple without C. ","vocational + Abi","4","","","","3"
"Very high transfer dependency","1995","(Married) couple without C. ","higher vocational","6","","","","3"
"Very high transfer dependency","1995","(Married) couple without C. ","higher education","1","","","","3"
"Very high transfer dependency","1995","Couple + C. LE 16 ","higher education","10","","","","3"
"Very high transfer dependency","1995","Couple + C. GT 16 ","in school","1","","","","3"
"Very high transfer dependency","1995","Couple + C. GT 16 ","inadequately","3","","","","3"
"Very high transfer dependency","1995","Couple + C. GT 16 ","general elemantary","4","","","","3"
"Very high transfer dependency","1995","Couple + C. GT 16 ","middle vocational","2","","","","3"
"Very high transfer dependency","1995","Couple + C. GT 16 ","vocational + Abi","1","","","","3"
"Very high transfer dependency","1995","Couple + C. GT 16 ","higher vocational","1","","","","3"
"Very high transfer dependency","1995","Couple + C. GT 16 ","higher education","2","","","","3"
"Very high transfer dependency","1995","Couple + C. LE and GT 16","in school","3","","","","3"
"Very high transfer dependency","1995","Couple + C. LE and GT 16","inadequately","3","","","","3"
"Very high transfer dependency","1995","Couple + C. LE and GT 16","general elemantary","6","","","","3"
"Very high transfer dependency","1995","Couple + C. LE and GT 16","middle vocational","9","","","","3"
