"pli0089","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","2013","Urban Area","Male","932","0.125927838804905","0.118341581122838","0.133514096486972","3"
"Min 1x per week","2013","Rural Area","Female","265","0.0401935607172593","0.0347175184579984","0.0456696029765203","2"
"Min 1x per week","2013","Urban Area","Male","563","0.0744943448246684","0.0684902953544441","0.0804983942948926","2"
"Min 1x per week","2013","Rural Area","Male","353","0.086356760715053","0.0778577799685441","0.0948557414615618","2"
"Min 1x per week","2013","Urban Area","Female","435","0.0381532785372286","0.0341975301142496","0.0421090269602075","2"
"Never","2013","Urban Area","Female","5586","0.653278144075172","0.643450498825554","0.66310578932479","5"
"Never","2013","Rural Area","Male","1867","0.443223136435176","0.428192334476847","0.458253938393505","5"
"Never","2013","Rural Area","Female","2935","0.611983694690355","0.598397693944348","0.625569695436361","5"
"Never","2013","Urban Area","Male","3351","0.45510067991598","0.443713794609698","0.466487565222263","5"
"Rarely","2013","Rural Area","Female","1365","0.276559189497408","0.264088448211975","0.289029930782841","4"
"Rarely","2013","Rural Area","Male","1455","0.344254075593187","0.329878087759928","0.358630063426447","4"
"Rarely","2013","Urban Area","Male","2486","0.340854207146891","0.330015733081836","0.351692681211945","4"
"Rarely","2013","Urban Area","Female","2343","0.249175170673158","0.240243524857734","0.258106816488582","4"
"Daily","2014","Urban Area","Male","","","","","1"
"Daily","2014","Urban Area","Female","","","","","1"
"Daily","2014","Rural Area","Female","","","","","1"
"Daily","2014","Rural Area","Male","","","","","1"
"Min 1x per month","2014","Rural Area","Male","","","","","3"
"Min 1x per month","2014","Urban Area","Female","","","","","3"
"Min 1x per month","2014","Rural Area","Female","","","","","3"
"Min 1x per month","2014","Urban Area","Male","","","","","3"
"Min 1x per week","2014","Urban Area","Female","","","","","2"
"Min 1x per week","2014","Rural Area","Female","","","","","2"
"Min 1x per week","2014","Urban Area","Male","","","","","2"
"Min 1x per week","2014","Rural Area","Male","","","","","2"
"Never","2014","Urban Area","Female","","","","","5"
"Never","2014","Rural Area","Male","","","","","5"
"Never","2014","Urban Area","Male","","","","","5"
"Never","2014","Rural Area","Female","","","","","5"
"Rarely","2014","Rural Area","Female","","","","","4"
"Rarely","2014","Urban Area","Female","","","","","4"
"Rarely","2014","Rural Area","Male","","","","","4"
"Rarely","2014","Urban Area","Male","","","","","4"
"Daily","2015","Urban Area","Male","","","","","1"
"Daily","2015","Urban Area","Female","","","","","1"
"Daily","2015","Rural Area","Male","","","","","1"
"Daily","2015","Rural Area","Female","","","","","1"
"Min 1x per month","2015","Rural Area","Male","","","","","3"
"Min 1x per month","2015","Rural Area","Female","","","","","3"
"Min 1x per month","2015","Urban Area","Male","","","","","3"
"Min 1x per month","2015","Urban Area","Female","","","","","3"
"Min 1x per week","2015","Rural Area","Male","","","","","2"
"Min 1x per week","2015","Rural Area","Female","","","","","2"
"Min 1x per week","2015","Urban Area","Female","","","","","2"
"Min 1x per week","2015","Urban Area","Male","","","","","2"
"Never","2015","Urban Area","Female","","","","","5"
"Never","2015","Rural Area","Male","","","","","5"
"Never","2015","Urban Area","Male","","","","","5"
"Never","2015","Rural Area","Female","","","","","5"
"Rarely","2015","Rural Area","Male","","","","","4"
"Rarely","2015","Rural Area","Female","","","","","4"
"Rarely","2015","Urban Area","Female","","","","","4"
"Rarely","2015","Urban Area","Male","","","","","4"
"Daily","2016","Urban Area","Male","","","","","1"
"Daily","2016","Urban Area","Female","","","","","1"
"Daily","2016","Rural Area","Male","","","","","1"
"Daily","2016","Rural Area","Female","","","","","1"
"Min 1x per month","2016","Urban Area","Female","","","","","3"
"Min 1x per month","2016","Urban Area","Male","","","","","3"
"Min 1x per month","2016","Rural Area","Male","","","","","3"
"Min 1x per month","2016","Rural Area","Female","","","","","3"
"Min 1x per week","2016","Urban Area","Male","","","","","2"
"Min 1x per week","2016","Rural Area","Male","","","","","2"
"Min 1x per week","2016","Rural Area","Female","","","","","2"
"Min 1x per week","2016","Urban Area","Female","","","","","2"
"Never","2016","Urban Area","Female","","","","","5"
"Never","2016","Urban Area","Male","","","","","5"
"Never","2016","Rural Area","Male","","","","","5"
"Never","2016","Rural Area","Female","","","","","5"
"Rarely","2016","Rural Area","Male","","","","","4"
"Rarely","2016","Urban Area","Male","","","","","4"
"Rarely","2016","Urban Area","Female","","","","","4"
"Rarely","2016","Rural Area","Female","","","","","4"
"Daily","2017","Urban Area","Male","36","0.0128473071066832","0.00829995411293682","0.0173946601004296","1"
"Daily","2017","Urban Area","Female","6","","","","1"
"Daily","2017","Rural Area","Male","16","","","","1"
"Daily","2017","Rural Area","Female","1","","","","1"
"Min 1x per month","2017","Urban Area","Female","25","","","","3"
"Min 1x per month","2017","Rural Area","Male","78","0.0903510997624649","0.0723654222068485","0.108336777318081","3"
"Min 1x per month","2017","Urban Area","Male","181","0.0772499136525009","0.0664691010608274","0.0880307262441744","3"
"Min 1x per month","2017","Rural Area","Female","18","","","","3"
"Min 1x per week","2017","Urban Area","Female","31","0.0126446314513292","0.00716799777108503","0.0181212651315734","2"
"Min 1x per week","2017","Rural Area","Female","22","","","","2"
"Min 1x per week","2017","Rural Area","Male","97","0.105819367778653","0.0865210971294677","0.125117638427838","2"
"Min 1x per week","2017","Urban Area","Male","176","0.0833436579852098","0.0721827378442569","0.0945045781261628","2"
"Never","2017","Urban Area","Female","1383","0.888907049968302","0.873504405739125","0.904309694197478","5"
"Never","2017","Urban Area","Male","1520","0.620918204494","0.601327768165627","0.640508640822373","5"
"Never","2017","Rural Area","Male","592","0.604780279309733","0.574108335758564","0.635452222860902","5"
"Never","2017","Rural Area","Female","516","0.877245502958772","0.850944229307124","0.903546776610421","5"
"Rarely","2017","Rural Area","Female","41","0.068408075492756","0.0481749002528427","0.0886412507326693","4"
"Rarely","2017","Urban Area","Female","154","0.0810624400209761","0.0676848865161489","0.0944399935258032","4"
"Rarely","2017","Rural Area","Male","193","0.18127287156561","0.157103843840153","0.205441899291066","4"
"Rarely","2017","Urban Area","Male","443","0.205640916761606","0.189320785531888","0.221961047991325","4"
"Daily","2018","Urban Area","Male","22","","","","1"
"Daily","2018","Urban Area","Female","4","","","","1"
"Daily","2018","Rural Area","Male","10","","","","1"
"Daily","2018","Rural Area","Female","","","","","1"
"Min 1x per month","2018","Urban Area","Male","202","0.124246751890613","0.1088096170766","0.139683886704626","3"
"Min 1x per month","2018","Rural Area","Female","15","","","","3"
"Min 1x per month","2018","Rural Area","Male","73","0.114097096969082","0.0892710155132908","0.138923178424874","3"
"Min 1x per month","2018","Urban Area","Female","49","0.0353361242575924","0.0243452835290967","0.046326964986088","3"
"Min 1x per week","2018","Rural Area","Female","10","","","","2"
"Min 1x per week","2018","Rural Area","Male","71","0.106093796346774","0.0820463598284981","0.130141232865051","2"
"Min 1x per week","2018","Urban Area","Female","28","","","","2"
"Min 1x per week","2018","Urban Area","Male","203","0.12003560314766","0.1048258947935","0.135245311501819","2"
"Never","2018","Urban Area","Male","933","0.500680432399825","0.477281130611384","0.524079734188267","5"
"Never","2018","Urban Area","Female","845","0.8170020816734","0.793984054087433","0.840020109259368","5"
"Never","2018","Rural Area","Male","338","0.517683118715048","0.478664126410506","0.55670211101959","5"
"Never","2018","Rural Area","Female","311","0.849765842203379","0.814028976744504","0.885502707662254","5"
"Rarely","2018","Urban Area","Female","158","0.12534447233997","0.10563365807009","0.14505528660985","4"
"Rarely","2018","Rural Area","Female","48","0.107823721165638","0.0768020655088791","0.138845376822397","4"
"Rarely","2018","Urban Area","Male","394","0.240296921879988","0.220301556552218","0.260292287207758","4"
"Rarely","2018","Rural Area","Male","138","0.254010705045341","0.220019221162022","0.288002188928661","4"
"Daily","2019","Urban Area","Male","44","0.00256890380248269","0.00151136221905849","0.00362644538590689","1"
"Daily","2019","Urban Area","Female","11","","","","1"
"Daily","2019","Rural Area","Male","17","","","","1"
"Daily","2019","Rural Area","Female","10","","","","1"
"Min 1x per month","2019","Urban Area","Female","606","0.0608250772253439","0.0559187047966646","0.0657314496540232","3"
"Min 1x per month","2019","Urban Area","Male","1196","0.14500659939345","0.137650334732383","0.152362864054516","3"
"Min 1x per month","2019","Rural Area","Female","392","0.0746960739863867","0.0673855519956243","0.082006595977149","3"
"Min 1x per month","2019","Rural Area","Male","649","0.137155386707701","0.127455707779965","0.146855065635437","3"
"Min 1x per week","2019","Urban Area","Male","752","0.0669721338444534","0.0617496578047682","0.0721946098841385","2"
"Min 1x per week","2019","Rural Area","Male","414","0.0776862069264239","0.0701388317585507","0.0852335820942972","2"
"Min 1x per week","2019","Rural Area","Female","235","0.0384601894581368","0.0331127405715322","0.0438076383447414","2"
"Min 1x per week","2019","Urban Area","Female","424","0.0405689700645973","0.0365190187352718","0.0446189213939228","2"
"Never","2019","Urban Area","Male","3986","0.447390778208048","0.437002713205246","0.45777884321085","5"
"Never","2019","Urban Area","Female","5741","0.65287114761035","0.643098662280903","0.662643632939797","5"
"Never","2019","Rural Area","Male","2135","0.443170316317166","0.429163767174706","0.457176865459627","5"
"Never","2019","Rural Area","Female","2968","0.619616824747311","0.606116955938613","0.633116693556009","5"
"Rarely","2019","Rural Area","Male","1617","0.338968568060564","0.325621821988836","0.352315314132291","4"
"Rarely","2019","Urban Area","Female","2334","0.244060414852331","0.235243063449253","0.252877766255409","4"
"Rarely","2019","Urban Area","Male","2823","0.338061584751566","0.328178584988299","0.347944584514834","4"
"Rarely","2019","Rural Area","Female","1363","0.26332484532784","0.251077520745681","0.275572169909999","4"
