"pli0089","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","1996","no migration background","in school","","","",""
"Never","1996","no migration background","inadequately","","","",""
"Never","1996","no migration background","general elemantary","","","",""
"Never","1996","no migration background","middle vocational","","","",""
"Never","1996","no migration background","vocational + Abi","","","",""
"Never","1996","no migration background","higher vocational","","","",""
"Never","1996","no migration background","higher education","","","",""
"Never","1996","direct migration background","in school","","","",""
"Never","1996","direct migration background","inadequately","","","",""
"Never","1996","direct migration background","general elemantary","","","",""
"Never","1996","direct migration background","middle vocational","","","",""
"Never","1996","direct migration background","vocational + Abi","","","",""
"Never","1996","direct migration background","higher vocational","","","",""
"Never","1996","direct migration background","higher education","","","",""
"Never","1996","indirect migration background","in school","","","",""
"Never","1996","indirect migration background","inadequately","","","",""
"Never","1996","indirect migration background","general elemantary","","","",""
"Never","1996","indirect migration background","middle vocational","","","",""
"Never","1996","indirect migration background","vocational + Abi","","","",""
"Never","1996","indirect migration background","higher vocational","","","",""
"Never","1996","indirect migration background","higher education","","","",""
"Daily","1997","no migration background","in school","","","",""
"Daily","1997","no migration background","inadequately","","","",""
"Daily","1997","no migration background","general elemantary","","","",""
"Daily","1997","no migration background","middle vocational","","","",""
"Daily","1997","no migration background","vocational + Abi","","","",""
"Daily","1997","no migration background","higher vocational","","","",""
"Daily","1997","no migration background","higher education","","","",""
"Daily","1997","direct migration background","in school","","","",""
"Daily","1997","direct migration background","inadequately","","","",""
"Daily","1997","direct migration background","general elemantary","","","",""
"Daily","1997","direct migration background","middle vocational","","","",""
"Daily","1997","direct migration background","vocational + Abi","","","",""
"Daily","1997","direct migration background","higher vocational","","","",""
"Daily","1997","direct migration background","higher education","","","",""
"Daily","1997","indirect migration background","in school","","","",""
"Daily","1997","indirect migration background","inadequately","","","",""
"Daily","1997","indirect migration background","general elemantary","","","",""
"Daily","1997","indirect migration background","middle vocational","","","",""
"Daily","1997","indirect migration background","vocational + Abi","","","",""
"Daily","1997","indirect migration background","higher vocational","","","",""
"Daily","1997","indirect migration background","higher education","","","",""
"Min 1x per week","1997","no migration background","in school","","","",""
"Min 1x per week","1997","no migration background","inadequately","","","",""
"Min 1x per week","1997","no migration background","general elemantary","","","",""
"Min 1x per week","1997","no migration background","middle vocational","","","",""
"Min 1x per week","1997","no migration background","vocational + Abi","","","",""
"Min 1x per week","1997","no migration background","higher vocational","","","",""
"Min 1x per week","1997","no migration background","higher education","","","",""
"Min 1x per week","1997","direct migration background","in school","","","",""
"Min 1x per week","1997","direct migration background","inadequately","","","",""
"Min 1x per week","1997","direct migration background","general elemantary","","","",""
"Min 1x per week","1997","direct migration background","middle vocational","","","",""
"Min 1x per week","1997","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1997","direct migration background","higher vocational","","","",""
"Min 1x per week","1997","direct migration background","higher education","","","",""
"Min 1x per week","1997","indirect migration background","in school","","","",""
"Min 1x per week","1997","indirect migration background","inadequately","","","",""
"Min 1x per week","1997","indirect migration background","general elemantary","","","",""
"Min 1x per week","1997","indirect migration background","middle vocational","","","",""
"Min 1x per week","1997","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1997","indirect migration background","higher vocational","","","",""
"Min 1x per week","1997","indirect migration background","higher education","","","",""
"Min 1x per month","1997","no migration background","in school","","","",""
"Min 1x per month","1997","no migration background","inadequately","","","",""
"Min 1x per month","1997","no migration background","general elemantary","","","",""
"Min 1x per month","1997","no migration background","middle vocational","","","",""
"Min 1x per month","1997","no migration background","vocational + Abi","","","",""
"Min 1x per month","1997","no migration background","higher vocational","","","",""
"Min 1x per month","1997","no migration background","higher education","","","",""
"Min 1x per month","1997","direct migration background","in school","","","",""
"Min 1x per month","1997","direct migration background","inadequately","","","",""
"Min 1x per month","1997","direct migration background","general elemantary","","","",""
"Min 1x per month","1997","direct migration background","middle vocational","","","",""
"Min 1x per month","1997","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1997","direct migration background","higher vocational","","","",""
"Min 1x per month","1997","direct migration background","higher education","","","",""
"Min 1x per month","1997","indirect migration background","in school","","","",""
"Min 1x per month","1997","indirect migration background","inadequately","","","",""
"Min 1x per month","1997","indirect migration background","general elemantary","","","",""
"Min 1x per month","1997","indirect migration background","middle vocational","","","",""
"Min 1x per month","1997","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1997","indirect migration background","higher vocational","","","",""
"Min 1x per month","1997","indirect migration background","higher education","","","",""
"Rarely","1997","no migration background","in school","","","",""
"Rarely","1997","no migration background","inadequately","","","",""
"Rarely","1997","no migration background","general elemantary","","","",""
"Rarely","1997","no migration background","middle vocational","","","",""
"Rarely","1997","no migration background","vocational + Abi","","","",""
"Rarely","1997","no migration background","higher vocational","","","",""
"Rarely","1997","no migration background","higher education","","","",""
"Rarely","1997","direct migration background","in school","","","",""
"Rarely","1997","direct migration background","inadequately","","","",""
"Rarely","1997","direct migration background","general elemantary","","","",""
"Rarely","1997","direct migration background","middle vocational","","","",""
"Rarely","1997","direct migration background","vocational + Abi","","","",""
"Rarely","1997","direct migration background","higher vocational","","","",""
"Rarely","1997","direct migration background","higher education","","","",""
"Rarely","1997","indirect migration background","in school","","","",""
"Rarely","1997","indirect migration background","inadequately","","","",""
"Rarely","1997","indirect migration background","general elemantary","","","",""
"Rarely","1997","indirect migration background","middle vocational","","","",""
"Rarely","1997","indirect migration background","vocational + Abi","","","",""
"Rarely","1997","indirect migration background","higher vocational","","","",""
"Rarely","1997","indirect migration background","higher education","","","",""
"Never","1997","no migration background","in school","","","",""
"Never","1997","no migration background","inadequately","","","",""
"Never","1997","no migration background","general elemantary","","","",""
"Never","1997","no migration background","middle vocational","","","",""
"Never","1997","no migration background","vocational + Abi","","","",""
"Never","1997","no migration background","higher vocational","","","",""
"Never","1997","no migration background","higher education","","","",""
"Never","1997","direct migration background","in school","","","",""
"Never","1997","direct migration background","inadequately","","","",""
"Never","1997","direct migration background","general elemantary","","","",""
"Never","1997","direct migration background","middle vocational","","","",""
"Never","1997","direct migration background","vocational + Abi","","","",""
"Never","1997","direct migration background","higher vocational","","","",""
"Never","1997","direct migration background","higher education","","","",""
"Never","1997","indirect migration background","in school","","","",""
"Never","1997","indirect migration background","inadequately","","","",""
"Never","1997","indirect migration background","general elemantary","","","",""
"Never","1997","indirect migration background","middle vocational","","","",""
"Never","1997","indirect migration background","vocational + Abi","","","",""
"Never","1997","indirect migration background","higher vocational","","","",""
"Never","1997","indirect migration background","higher education","","","",""
"Daily","1998","no migration background","in school","","","",""
"Daily","1998","no migration background","inadequately","","","",""
"Daily","1998","no migration background","general elemantary","1","","",""
"Daily","1998","no migration background","middle vocational","10","","",""
"Daily","1998","no migration background","vocational + Abi","","","",""
"Daily","1998","no migration background","higher vocational","2","","",""
"Daily","1998","no migration background","higher education","","","",""
"Daily","1998","direct migration background","in school","","","",""
"Daily","1998","direct migration background","inadequately","","","",""
"Daily","1998","direct migration background","general elemantary","","","",""
"Daily","1998","direct migration background","middle vocational","1","","",""
"Daily","1998","direct migration background","vocational + Abi","1","","",""
"Daily","1998","direct migration background","higher vocational","","","",""
"Daily","1998","direct migration background","higher education","","","",""
"Daily","1998","indirect migration background","in school","","","",""
"Daily","1998","indirect migration background","inadequately","","","",""
"Daily","1998","indirect migration background","general elemantary","1","","",""
"Daily","1998","indirect migration background","middle vocational","","","",""
"Daily","1998","indirect migration background","vocational + Abi","","","",""
"Daily","1998","indirect migration background","higher vocational","","","",""
"Daily","1998","indirect migration background","higher education","","","",""
"Min 1x per week","1998","no migration background","in school","30","0.126841832000663","0.0841103609365201","0.169573303064807"
"Min 1x per week","1998","no migration background","inadequately","5","","",""
"Min 1x per week","1998","no migration background","general elemantary","81","0.0392760640293942","0.0299790209158703","0.0485731071429182"
"Min 1x per week","1998","no migration background","middle vocational","312","0.0523032592067744","0.0466447999727758","0.057961718440773"
"Min 1x per week","1998","no migration background","vocational + Abi","16","","",""
"Min 1x per week","1998","no migration background","higher vocational","37","0.0544103425846127","0.038176940485589","0.0706437446836364"
"Min 1x per week","1998","no migration background","higher education","50","0.0292771208780157","0.0213786888978246","0.0371755528582069"
"Min 1x per week","1998","direct migration background","in school","2","","",""
"Min 1x per week","1998","direct migration background","inadequately","15","","",""
"Min 1x per week","1998","direct migration background","general elemantary","25","","",""
"Min 1x per week","1998","direct migration background","middle vocational","45","0.0443360147852482","0.030424288330248","0.0582477412402484"
"Min 1x per week","1998","direct migration background","vocational + Abi","6","","",""
"Min 1x per week","1998","direct migration background","higher vocational","5","","",""
"Min 1x per week","1998","direct migration background","higher education","7","","",""
"Min 1x per week","1998","indirect migration background","in school","10","","",""
"Min 1x per week","1998","indirect migration background","inadequately","1","","",""
"Min 1x per week","1998","indirect migration background","general elemantary","19","","",""
"Min 1x per week","1998","indirect migration background","middle vocational","21","","",""
"Min 1x per week","1998","indirect migration background","vocational + Abi","1","","",""
"Min 1x per week","1998","indirect migration background","higher vocational","1","","",""
"Min 1x per week","1998","indirect migration background","higher education","1","","",""
"Min 1x per month","1998","no migration background","in school","46","0.23209170149712","0.177884795790452","0.286298607203787"
"Min 1x per month","1998","no migration background","inadequately","3","","",""
"Min 1x per month","1998","no migration background","general elemantary","112","0.0538299505262923","0.0430285978047317","0.0646313032478529"
"Min 1x per month","1998","no migration background","middle vocational","480","0.0801309073618635","0.0732306996293334","0.0870311150943937"
"Min 1x per month","1998","no migration background","vocational + Abi","28","","",""
"Min 1x per month","1998","no migration background","higher vocational","66","0.0834232345640396","0.06363325281544","0.103213216312639"
"Min 1x per month","1998","no migration background","higher education","130","0.0816179361946218","0.0687906859387339","0.0944451864505097"
"Min 1x per month","1998","direct migration background","in school","5","","",""
"Min 1x per month","1998","direct migration background","inadequately","12","","",""
"Min 1x per month","1998","direct migration background","general elemantary","38","0.0572072840889519","0.0394219832642717","0.0749925849136322"
"Min 1x per month","1998","direct migration background","middle vocational","62","0.0681106009293095","0.0510835421683139","0.0851376596903051"
"Min 1x per month","1998","direct migration background","vocational + Abi","12","","",""
"Min 1x per month","1998","direct migration background","higher vocational","2","","",""
"Min 1x per month","1998","direct migration background","higher education","10","","",""
"Min 1x per month","1998","indirect migration background","in school","6","","",""
"Min 1x per month","1998","indirect migration background","inadequately","1","","",""
"Min 1x per month","1998","indirect migration background","general elemantary","28","","",""
"Min 1x per month","1998","indirect migration background","middle vocational","24","","",""
"Min 1x per month","1998","indirect migration background","vocational + Abi","1","","",""
"Min 1x per month","1998","indirect migration background","higher vocational","4","","",""
"Min 1x per month","1998","indirect migration background","higher education","4","","",""
"Rarely","1998","no migration background","in school","105","0.450486267351974","0.386601078373939","0.514371456330009"
"Rarely","1998","no migration background","inadequately","13","","",""
"Rarely","1998","no migration background","general elemantary","379","0.207436991621973","0.188030744312239","0.226843238931708"
"Rarely","1998","no migration background","middle vocational","1880","0.314985684093023","0.303179913127311","0.326791455058736"
"Rarely","1998","no migration background","vocational + Abi","148","0.411563548900239","0.360153857750228","0.462973240050251"
"Rarely","1998","no migration background","higher vocational","283","0.346430355300532","0.312376101733441","0.380484608867624"
"Rarely","1998","no migration background","higher education","589","0.315442652246377","0.293670859439101","0.337214445053653"
"Rarely","1998","direct migration background","in school","8","","",""
"Rarely","1998","direct migration background","inadequately","46","0.102861479397178","0.0716114152003557","0.134111543594001"
"Rarely","1998","direct migration background","general elemantary","110","0.167158996406104","0.138584843265647","0.19573314954656"
"Rarely","1998","direct migration background","middle vocational","221","0.260578997710688","0.230912540288698","0.290245455132679"
"Rarely","1998","direct migration background","vocational + Abi","25","","",""
"Rarely","1998","direct migration background","higher vocational","17","","",""
"Rarely","1998","direct migration background","higher education","63","0.378234935485722","0.309640094327478","0.446829776643965"
"Rarely","1998","indirect migration background","in school","29","","",""
"Rarely","1998","indirect migration background","inadequately","6","","",""
"Rarely","1998","indirect migration background","general elemantary","62","0.330913680773267","0.265039004878166","0.396788356668367"
"Rarely","1998","indirect migration background","middle vocational","87","0.442377092638678","0.374717475407269","0.510036709870086"
"Rarely","1998","indirect migration background","vocational + Abi","9","","",""
"Rarely","1998","indirect migration background","higher vocational","6","","",""
"Rarely","1998","indirect migration background","higher education","6","","",""
"Never","1998","no migration background","in school","52","0.190580199150243","0.140149390635354","0.241011007665132"
"Never","1998","no migration background","inadequately","43","0.691538971805347","0.578385838375902","0.804692105234791"
"Never","1998","no migration background","general elemantary","1104","0.698982017551442","0.677028163055682","0.720935872047201"
"Never","1998","no migration background","middle vocational","3265","0.550801020217464","0.538159017760842","0.563443022674087"
"Never","1998","no migration background","vocational + Abi","160","0.442943016609643","0.391051005749625","0.49483502746966"
"Never","1998","no migration background","higher vocational","362","0.513812448325103","0.478042222021915","0.549582674628291"
"Never","1998","no migration background","higher education","981","0.573662290680985","0.5504918607764","0.596832720585571"
"Never","1998","direct migration background","in school","15","","",""
"Never","1998","direct migration background","inadequately","290","0.832580665809277","0.794173634056471","0.870987697562083"
"Never","1998","direct migration background","general elemantary","482","0.748506960369353","0.715280173356485","0.781733747382221"
"Never","1998","direct migration background","middle vocational","512","0.62561528440332","0.592906619055775","0.658323949750866"
"Never","1998","direct migration background","vocational + Abi","93","0.658704878319754","0.579308939628858","0.73810081701065"
"Never","1998","direct migration background","higher vocational","29","","",""
"Never","1998","direct migration background","higher education","112","0.550578126247803","0.48021679359872","0.620939458896887"
"Never","1998","indirect migration background","in school","21","","",""
"Never","1998","indirect migration background","inadequately","9","","",""
"Never","1998","indirect migration background","general elemantary","86","0.400616341784279","0.332014332680573","0.469218350887986"
"Never","1998","indirect migration background","middle vocational","75","0.364688651741318","0.299116814921402","0.430260488561234"
"Never","1998","indirect migration background","vocational + Abi","8","","",""
"Never","1998","indirect migration background","higher vocational","6","","",""
"Never","1998","indirect migration background","higher education","13","","",""
"Daily","1999","no migration background","in school","","","",""
"Daily","1999","no migration background","inadequately","","","",""
"Daily","1999","no migration background","general elemantary","","","",""
"Daily","1999","no migration background","middle vocational","","","",""
"Daily","1999","no migration background","vocational + Abi","","","",""
"Daily","1999","no migration background","higher vocational","","","",""
"Daily","1999","no migration background","higher education","","","",""
"Daily","1999","direct migration background","in school","","","",""
"Daily","1999","direct migration background","inadequately","","","",""
"Daily","1999","direct migration background","general elemantary","","","",""
"Daily","1999","direct migration background","middle vocational","","","",""
"Daily","1999","direct migration background","vocational + Abi","","","",""
"Daily","1999","direct migration background","higher vocational","","","",""
"Daily","1999","direct migration background","higher education","","","",""
"Daily","1999","indirect migration background","in school","","","",""
"Daily","1999","indirect migration background","inadequately","","","",""
"Daily","1999","indirect migration background","general elemantary","","","",""
"Daily","1999","indirect migration background","middle vocational","","","",""
"Daily","1999","indirect migration background","vocational + Abi","","","",""
"Daily","1999","indirect migration background","higher vocational","","","",""
"Daily","1999","indirect migration background","higher education","","","",""
"Min 1x per week","1999","no migration background","in school","","","",""
"Min 1x per week","1999","no migration background","inadequately","","","",""
"Min 1x per week","1999","no migration background","general elemantary","","","",""
"Min 1x per week","1999","no migration background","middle vocational","","","",""
"Min 1x per week","1999","no migration background","vocational + Abi","","","",""
"Min 1x per week","1999","no migration background","higher vocational","","","",""
"Min 1x per week","1999","no migration background","higher education","","","",""
"Min 1x per week","1999","direct migration background","in school","","","",""
"Min 1x per week","1999","direct migration background","inadequately","","","",""
"Min 1x per week","1999","direct migration background","general elemantary","","","",""
"Min 1x per week","1999","direct migration background","middle vocational","","","",""
"Min 1x per week","1999","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1999","direct migration background","higher vocational","","","",""
"Min 1x per week","1999","direct migration background","higher education","","","",""
"Min 1x per week","1999","indirect migration background","in school","","","",""
"Min 1x per week","1999","indirect migration background","inadequately","","","",""
"Min 1x per week","1999","indirect migration background","general elemantary","","","",""
"Min 1x per week","1999","indirect migration background","middle vocational","","","",""
"Min 1x per week","1999","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1999","indirect migration background","higher vocational","","","",""
"Min 1x per week","1999","indirect migration background","higher education","","","",""
"Min 1x per month","1999","no migration background","in school","","","",""
"Min 1x per month","1999","no migration background","inadequately","","","",""
"Min 1x per month","1999","no migration background","general elemantary","","","",""
"Min 1x per month","1999","no migration background","middle vocational","","","",""
"Min 1x per month","1999","no migration background","vocational + Abi","","","",""
"Min 1x per month","1999","no migration background","higher vocational","","","",""
"Min 1x per month","1999","no migration background","higher education","","","",""
"Min 1x per month","1999","direct migration background","in school","","","",""
"Min 1x per month","1999","direct migration background","inadequately","","","",""
"Min 1x per month","1999","direct migration background","general elemantary","","","",""
"Min 1x per month","1999","direct migration background","middle vocational","","","",""
"Min 1x per month","1999","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1999","direct migration background","higher vocational","","","",""
"Min 1x per month","1999","direct migration background","higher education","","","",""
"Min 1x per month","1999","indirect migration background","in school","","","",""
"Min 1x per month","1999","indirect migration background","inadequately","","","",""
"Min 1x per month","1999","indirect migration background","general elemantary","","","",""
"Min 1x per month","1999","indirect migration background","middle vocational","","","",""
"Min 1x per month","1999","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1999","indirect migration background","higher vocational","","","",""
"Min 1x per month","1999","indirect migration background","higher education","","","",""
"Rarely","1999","no migration background","in school","","","",""
"Rarely","1999","no migration background","inadequately","","","",""
"Rarely","1999","no migration background","general elemantary","","","",""
"Rarely","1999","no migration background","middle vocational","","","",""
"Rarely","1999","no migration background","vocational + Abi","","","",""
"Rarely","1999","no migration background","higher vocational","","","",""
"Rarely","1999","no migration background","higher education","","","",""
"Rarely","1999","direct migration background","in school","","","",""
"Rarely","1999","direct migration background","inadequately","","","",""
"Rarely","1999","direct migration background","general elemantary","","","",""
"Rarely","1999","direct migration background","middle vocational","","","",""
"Rarely","1999","direct migration background","vocational + Abi","","","",""
"Rarely","1999","direct migration background","higher vocational","","","",""
"Rarely","1999","direct migration background","higher education","","","",""
"Rarely","1999","indirect migration background","in school","","","",""
"Rarely","1999","indirect migration background","inadequately","","","",""
"Rarely","1999","indirect migration background","general elemantary","","","",""
"Rarely","1999","indirect migration background","middle vocational","","","",""
"Rarely","1999","indirect migration background","vocational + Abi","","","",""
"Rarely","1999","indirect migration background","higher vocational","","","",""
"Rarely","1999","indirect migration background","higher education","","","",""
"Never","1999","no migration background","in school","","","",""
"Never","1999","no migration background","inadequately","","","",""
"Never","1999","no migration background","general elemantary","","","",""
"Never","1999","no migration background","middle vocational","","","",""
"Never","1999","no migration background","vocational + Abi","","","",""
"Never","1999","no migration background","higher vocational","","","",""
"Never","1999","no migration background","higher education","","","",""
"Never","1999","direct migration background","in school","","","",""
"Never","1999","direct migration background","inadequately","","","",""
"Never","1999","direct migration background","general elemantary","","","",""
"Never","1999","direct migration background","middle vocational","","","",""
"Never","1999","direct migration background","vocational + Abi","","","",""
"Never","1999","direct migration background","higher vocational","","","",""
"Never","1999","direct migration background","higher education","","","",""
"Never","1999","indirect migration background","in school","","","",""
"Never","1999","indirect migration background","inadequately","","","",""
"Never","1999","indirect migration background","general elemantary","","","",""
"Never","1999","indirect migration background","middle vocational","","","",""
"Never","1999","indirect migration background","vocational + Abi","","","",""
"Never","1999","indirect migration background","higher vocational","","","",""
"Never","1999","indirect migration background","higher education","","","",""
"Daily","2000","no migration background","in school","","","",""
"Daily","2000","no migration background","inadequately","","","",""
"Daily","2000","no migration background","general elemantary","","","",""
"Daily","2000","no migration background","middle vocational","","","",""
"Daily","2000","no migration background","vocational + Abi","","","",""
"Daily","2000","no migration background","higher vocational","","","",""
"Daily","2000","no migration background","higher education","","","",""
"Daily","2000","direct migration background","in school","","","",""
"Daily","2000","direct migration background","inadequately","","","",""
"Daily","2000","direct migration background","general elemantary","","","",""
"Daily","2000","direct migration background","middle vocational","","","",""
"Daily","2000","direct migration background","vocational + Abi","","","",""
"Daily","2000","direct migration background","higher vocational","","","",""
"Daily","2000","direct migration background","higher education","","","",""
"Daily","2000","indirect migration background","in school","","","",""
"Daily","2000","indirect migration background","inadequately","","","",""
"Daily","2000","indirect migration background","general elemantary","","","",""
"Daily","2000","indirect migration background","middle vocational","","","",""
"Daily","2000","indirect migration background","vocational + Abi","","","",""
"Daily","2000","indirect migration background","higher vocational","","","",""
"Daily","2000","indirect migration background","higher education","","","",""
"Min 1x per week","2000","no migration background","in school","","","",""
"Min 1x per week","2000","no migration background","inadequately","","","",""
"Min 1x per week","2000","no migration background","general elemantary","","","",""
"Min 1x per week","2000","no migration background","middle vocational","","","",""
"Min 1x per week","2000","no migration background","vocational + Abi","","","",""
"Min 1x per week","2000","no migration background","higher vocational","","","",""
"Min 1x per week","2000","no migration background","higher education","","","",""
"Min 1x per week","2000","direct migration background","in school","","","",""
"Min 1x per week","2000","direct migration background","inadequately","","","",""
"Min 1x per week","2000","direct migration background","general elemantary","","","",""
"Min 1x per week","2000","direct migration background","middle vocational","","","",""
"Min 1x per week","2000","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2000","direct migration background","higher vocational","","","",""
"Min 1x per week","2000","direct migration background","higher education","","","",""
"Min 1x per week","2000","indirect migration background","in school","","","",""
"Min 1x per week","2000","indirect migration background","inadequately","","","",""
"Min 1x per week","2000","indirect migration background","general elemantary","","","",""
"Min 1x per week","2000","indirect migration background","middle vocational","","","",""
"Min 1x per week","2000","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2000","indirect migration background","higher vocational","","","",""
"Min 1x per week","2000","indirect migration background","higher education","","","",""
"Min 1x per month","2000","no migration background","in school","","","",""
"Min 1x per month","2000","no migration background","inadequately","","","",""
"Min 1x per month","2000","no migration background","general elemantary","","","",""
"Min 1x per month","2000","no migration background","middle vocational","","","",""
"Min 1x per month","2000","no migration background","vocational + Abi","","","",""
"Min 1x per month","2000","no migration background","higher vocational","","","",""
"Min 1x per month","2000","no migration background","higher education","","","",""
"Min 1x per month","2000","direct migration background","in school","","","",""
"Min 1x per month","2000","direct migration background","inadequately","","","",""
"Min 1x per month","2000","direct migration background","general elemantary","","","",""
"Min 1x per month","2000","direct migration background","middle vocational","","","",""
"Min 1x per month","2000","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2000","direct migration background","higher vocational","","","",""
"Min 1x per month","2000","direct migration background","higher education","","","",""
"Min 1x per month","2000","indirect migration background","in school","","","",""
"Min 1x per month","2000","indirect migration background","inadequately","","","",""
"Min 1x per month","2000","indirect migration background","general elemantary","","","",""
"Min 1x per month","2000","indirect migration background","middle vocational","","","",""
"Min 1x per month","2000","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2000","indirect migration background","higher vocational","","","",""
"Min 1x per month","2000","indirect migration background","higher education","","","",""
"Rarely","2000","no migration background","in school","","","",""
"Rarely","2000","no migration background","inadequately","","","",""
"Rarely","2000","no migration background","general elemantary","","","",""
"Rarely","2000","no migration background","middle vocational","","","",""
"Rarely","2000","no migration background","vocational + Abi","","","",""
"Rarely","2000","no migration background","higher vocational","","","",""
"Rarely","2000","no migration background","higher education","","","",""
"Rarely","2000","direct migration background","in school","","","",""
"Rarely","2000","direct migration background","inadequately","","","",""
"Rarely","2000","direct migration background","general elemantary","","","",""
"Rarely","2000","direct migration background","middle vocational","","","",""
"Rarely","2000","direct migration background","vocational + Abi","","","",""
"Rarely","2000","direct migration background","higher vocational","","","",""
"Rarely","2000","direct migration background","higher education","","","",""
"Rarely","2000","indirect migration background","in school","","","",""
"Rarely","2000","indirect migration background","inadequately","","","",""
"Rarely","2000","indirect migration background","general elemantary","","","",""
"Rarely","2000","indirect migration background","middle vocational","","","",""
"Rarely","2000","indirect migration background","vocational + Abi","","","",""
"Rarely","2000","indirect migration background","higher vocational","","","",""
"Rarely","2000","indirect migration background","higher education","","","",""
"Never","2000","no migration background","in school","","","",""
"Never","2000","no migration background","inadequately","","","",""
"Never","2000","no migration background","general elemantary","","","",""
"Never","2000","no migration background","middle vocational","","","",""
"Never","2000","no migration background","vocational + Abi","","","",""
"Never","2000","no migration background","higher vocational","","","",""
"Never","2000","no migration background","higher education","","","",""
"Never","2000","direct migration background","in school","","","",""
"Never","2000","direct migration background","inadequately","","","",""
"Never","2000","direct migration background","general elemantary","","","",""
"Never","2000","direct migration background","middle vocational","","","",""
"Never","2000","direct migration background","vocational + Abi","","","",""
"Never","2000","direct migration background","higher vocational","","","",""
"Never","2000","direct migration background","higher education","","","",""
"Never","2000","indirect migration background","in school","","","",""
"Never","2000","indirect migration background","inadequately","","","",""
"Never","2000","indirect migration background","general elemantary","","","",""
"Never","2000","indirect migration background","middle vocational","","","",""
"Never","2000","indirect migration background","vocational + Abi","","","",""
"Never","2000","indirect migration background","higher vocational","","","",""
"Never","2000","indirect migration background","higher education","","","",""
"Daily","2001","no migration background","in school","","","",""
"Daily","2001","no migration background","inadequately","","","",""
"Daily","2001","no migration background","general elemantary","","","",""
"Daily","2001","no migration background","middle vocational","","","",""
"Daily","2001","no migration background","vocational + Abi","","","",""
"Daily","2001","no migration background","higher vocational","","","",""
"Daily","2001","no migration background","higher education","","","",""
"Daily","2001","direct migration background","in school","","","",""
"Daily","2001","direct migration background","inadequately","","","",""
"Daily","2001","direct migration background","general elemantary","","","",""
"Daily","2001","direct migration background","middle vocational","","","",""
"Daily","2001","direct migration background","vocational + Abi","","","",""
"Daily","2001","direct migration background","higher vocational","","","",""
"Daily","2001","direct migration background","higher education","","","",""
"Daily","2001","indirect migration background","in school","","","",""
"Daily","2001","indirect migration background","inadequately","","","",""
"Daily","2001","indirect migration background","general elemantary","","","",""
"Daily","2001","indirect migration background","middle vocational","","","",""
"Daily","2001","indirect migration background","vocational + Abi","","","",""
"Daily","2001","indirect migration background","higher vocational","","","",""
"Daily","2001","indirect migration background","higher education","","","",""
"Min 1x per week","2001","no migration background","in school","","","",""
"Min 1x per week","2001","no migration background","inadequately","","","",""
"Min 1x per week","2001","no migration background","general elemantary","","","",""
"Min 1x per week","2001","no migration background","middle vocational","","","",""
"Min 1x per week","2001","no migration background","vocational + Abi","","","",""
"Min 1x per week","2001","no migration background","higher vocational","","","",""
"Min 1x per week","2001","no migration background","higher education","","","",""
"Min 1x per week","2001","direct migration background","in school","","","",""
"Min 1x per week","2001","direct migration background","inadequately","","","",""
"Min 1x per week","2001","direct migration background","general elemantary","","","",""
"Min 1x per week","2001","direct migration background","middle vocational","","","",""
"Min 1x per week","2001","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2001","direct migration background","higher vocational","","","",""
"Min 1x per week","2001","direct migration background","higher education","","","",""
"Min 1x per week","2001","indirect migration background","in school","","","",""
"Min 1x per week","2001","indirect migration background","inadequately","","","",""
"Min 1x per week","2001","indirect migration background","general elemantary","","","",""
"Min 1x per week","2001","indirect migration background","middle vocational","","","",""
"Min 1x per week","2001","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2001","indirect migration background","higher vocational","","","",""
"Min 1x per week","2001","indirect migration background","higher education","","","",""
"Min 1x per month","2001","no migration background","in school","","","",""
"Min 1x per month","2001","no migration background","inadequately","","","",""
"Min 1x per month","2001","no migration background","general elemantary","","","",""
"Min 1x per month","2001","no migration background","middle vocational","","","",""
"Min 1x per month","2001","no migration background","vocational + Abi","","","",""
"Min 1x per month","2001","no migration background","higher vocational","","","",""
"Min 1x per month","2001","no migration background","higher education","","","",""
"Min 1x per month","2001","direct migration background","in school","","","",""
"Min 1x per month","2001","direct migration background","inadequately","","","",""
"Min 1x per month","2001","direct migration background","general elemantary","","","",""
"Min 1x per month","2001","direct migration background","middle vocational","","","",""
"Min 1x per month","2001","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2001","direct migration background","higher vocational","","","",""
"Min 1x per month","2001","direct migration background","higher education","","","",""
"Min 1x per month","2001","indirect migration background","in school","","","",""
"Min 1x per month","2001","indirect migration background","inadequately","","","",""
"Min 1x per month","2001","indirect migration background","general elemantary","","","",""
