"pli0083","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2006","direct migration background","East Germany","","","",""
"Min 1x per week","2006","indirect migration background","West Germany","","","",""
"Min 1x per week","2006","indirect migration background","East Germany","","","",""
"Min 1x per month","2006","no migration background","West Germany","","","",""
"Min 1x per month","2006","no migration background","East Germany","","","",""
"Min 1x per month","2006","direct migration background","West Germany","","","",""
"Min 1x per month","2006","direct migration background","East Germany","","","",""
"Min 1x per month","2006","indirect migration background","West Germany","","","",""
"Min 1x per month","2006","indirect migration background","East Germany","","","",""
"Rarely","2006","no migration background","West Germany","","","",""
"Rarely","2006","no migration background","East Germany","","","",""
"Rarely","2006","direct migration background","West Germany","","","",""
"Rarely","2006","direct migration background","East Germany","","","",""
"Rarely","2006","indirect migration background","West Germany","","","",""
"Rarely","2006","indirect migration background","East Germany","","","",""
"Never","2006","no migration background","West Germany","","","",""
"Never","2006","no migration background","East Germany","","","",""
"Never","2006","direct migration background","West Germany","","","",""
"Never","2006","direct migration background","East Germany","","","",""
"Never","2006","indirect migration background","West Germany","","","",""
"Never","2006","indirect migration background","East Germany","","","",""
"Daily","2007","no migration background","West Germany","","","",""
"Daily","2007","no migration background","East Germany","","","",""
"Daily","2007","direct migration background","West Germany","","","",""
"Daily","2007","direct migration background","East Germany","","","",""
"Daily","2007","indirect migration background","West Germany","","","",""
"Daily","2007","indirect migration background","East Germany","","","",""
"Min 1x per week","2007","no migration background","West Germany","","","",""
"Min 1x per week","2007","no migration background","East Germany","","","",""
"Min 1x per week","2007","direct migration background","West Germany","","","",""
"Min 1x per week","2007","direct migration background","East Germany","","","",""
"Min 1x per week","2007","indirect migration background","West Germany","","","",""
"Min 1x per week","2007","indirect migration background","East Germany","","","",""
"Min 1x per month","2007","no migration background","West Germany","","","",""
"Min 1x per month","2007","no migration background","East Germany","","","",""
"Min 1x per month","2007","direct migration background","West Germany","","","",""
"Min 1x per month","2007","direct migration background","East Germany","","","",""
"Min 1x per month","2007","indirect migration background","West Germany","","","",""
"Min 1x per month","2007","indirect migration background","East Germany","","","",""
"Rarely","2007","no migration background","West Germany","","","",""
"Rarely","2007","no migration background","East Germany","","","",""
"Rarely","2007","direct migration background","West Germany","","","",""
"Rarely","2007","direct migration background","East Germany","","","",""
"Rarely","2007","indirect migration background","West Germany","","","",""
"Rarely","2007","indirect migration background","East Germany","","","",""
"Never","2007","no migration background","West Germany","","","",""
"Never","2007","no migration background","East Germany","","","",""
"Never","2007","direct migration background","West Germany","","","",""
"Never","2007","direct migration background","East Germany","","","",""
"Never","2007","indirect migration background","West Germany","","","",""
"Never","2007","indirect migration background","East Germany","","","",""
"Daily","2008","no migration background","West Germany","9976","0.829905607719662","0.823195614750202","0.836615600689123"
"Daily","2008","no migration background","East Germany","3954","0.850574272323162","0.840326319232244","0.860822225414079"
"Daily","2008","direct migration background","West Germany","1570","0.860277021069358","0.844379408941422","0.876174633197294"
"Daily","2008","direct migration background","East Germany","70","0.844783486900336","0.764933248914213","0.924633724886458"
"Daily","2008","indirect migration background","West Germany","581","0.781609779408775","0.751597845102603","0.811621713714948"
"Daily","2008","indirect migration background","East Germany","32","0.70506986368602","0.568771853641506","0.841367873730533"
"Min 1x per week","2008","no migration background","West Germany","1509","0.121054632011338","0.115229116480707","0.126880147541969"
"Min 1x per week","2008","no migration background","East Germany","481","0.0973439238275556","0.08882305466111","0.105864792994001"
"Min 1x per week","2008","direct migration background","West Germany","152","0.085135675413512","0.0723385343718031","0.097932816455221"
"Min 1x per week","2008","direct migration background","East Germany","3","","",""
"Min 1x per week","2008","indirect migration background","West Germany","103","0.156955194115186","0.130531375710523","0.18337901251985"
"Min 1x per week","2008","indirect migration background","East Germany","8","","",""
"Min 1x per month","2008","no migration background","West Germany","162","0.0129645689828881","0.010944304958203","0.0149848330075732"
"Min 1x per month","2008","no migration background","East Germany","66","0.0158985670924194","0.0123030012833433","0.0194941329014955"
"Min 1x per month","2008","direct migration background","West Germany","27","","",""
"Min 1x per month","2008","direct migration background","East Germany","3","","",""
"Min 1x per month","2008","indirect migration background","West Germany","15","","",""
"Min 1x per month","2008","indirect migration background","East Germany","2","","",""
"Rarely","2008","no migration background","West Germany","273","0.0233168506262882","0.0206217529454851","0.0260119483070914"
"Rarely","2008","no migration background","East Germany","105","0.0214892095111301","0.0173208866758011","0.0256575323464591"
"Rarely","2008","direct migration background","West Germany","37","0.0215397436916664","0.0148828644632117","0.0281966229201211"
"Rarely","2008","direct migration background","East Germany","2","","",""
"Rarely","2008","indirect migration background","West Germany","22","","",""
"Rarely","2008","indirect migration background","East Germany","","","",""
"Never","2008","no migration background","West Germany","124","0.0127583406598231","0.0107539999323112","0.014762681387335"
"Never","2008","no migration background","East Germany","43","0.0146940272457333","0.0112352364385938","0.0181528180528728"
"Never","2008","direct migration background","West Germany","41","0.0159685546777596","0.0102205632657374","0.0217165460897817"
"Never","2008","direct migration background","East Germany","1","","",""
"Never","2008","indirect migration background","West Germany","7","","",""
"Never","2008","indirect migration background","East Germany","1","","",""
"Daily","2009","no migration background","West Germany","","","",""
"Daily","2009","no migration background","East Germany","","","",""
"Daily","2009","direct migration background","West Germany","","","",""
"Daily","2009","direct migration background","East Germany","","","",""
"Daily","2009","indirect migration background","West Germany","","","",""
"Daily","2009","indirect migration background","East Germany","","","",""
"Min 1x per week","2009","no migration background","West Germany","","","",""
"Min 1x per week","2009","no migration background","East Germany","","","",""
"Min 1x per week","2009","direct migration background","West Germany","","","",""
"Min 1x per week","2009","direct migration background","East Germany","","","",""
"Min 1x per week","2009","indirect migration background","West Germany","","","",""
"Min 1x per week","2009","indirect migration background","East Germany","","","",""
"Min 1x per month","2009","no migration background","West Germany","","","",""
"Min 1x per month","2009","no migration background","East Germany","","","",""
"Min 1x per month","2009","direct migration background","West Germany","","","",""
"Min 1x per month","2009","direct migration background","East Germany","","","",""
"Min 1x per month","2009","indirect migration background","West Germany","","","",""
"Min 1x per month","2009","indirect migration background","East Germany","","","",""
"Rarely","2009","no migration background","West Germany","","","",""
"Rarely","2009","no migration background","East Germany","","","",""
"Rarely","2009","direct migration background","West Germany","","","",""
"Rarely","2009","direct migration background","East Germany","","","",""
"Rarely","2009","indirect migration background","West Germany","","","",""
"Rarely","2009","indirect migration background","East Germany","","","",""
"Never","2009","no migration background","West Germany","","","",""
"Never","2009","no migration background","East Germany","","","",""
"Never","2009","direct migration background","West Germany","","","",""
"Never","2009","direct migration background","East Germany","","","",""
"Never","2009","indirect migration background","West Germany","","","",""
"Never","2009","indirect migration background","East Germany","","","",""
"Daily","2010","no migration background","West Germany","","","",""
"Daily","2010","no migration background","East Germany","","","",""
"Daily","2010","direct migration background","West Germany","","","",""
"Daily","2010","direct migration background","East Germany","","","",""
"Daily","2010","indirect migration background","West Germany","","","",""
"Daily","2010","indirect migration background","East Germany","","","",""
"Min 1x per week","2010","no migration background","West Germany","","","",""
"Min 1x per week","2010","no migration background","East Germany","","","",""
"Min 1x per week","2010","direct migration background","West Germany","","","",""
"Min 1x per week","2010","direct migration background","East Germany","","","",""
"Min 1x per week","2010","indirect migration background","West Germany","","","",""
"Min 1x per week","2010","indirect migration background","East Germany","","","",""
"Min 1x per month","2010","no migration background","West Germany","","","",""
"Min 1x per month","2010","no migration background","East Germany","","","",""
"Min 1x per month","2010","direct migration background","West Germany","","","",""
"Min 1x per month","2010","direct migration background","East Germany","","","",""
"Min 1x per month","2010","indirect migration background","West Germany","","","",""
"Min 1x per month","2010","indirect migration background","East Germany","","","",""
"Rarely","2010","no migration background","West Germany","","","",""
"Rarely","2010","no migration background","East Germany","","","",""
"Rarely","2010","direct migration background","West Germany","","","",""
"Rarely","2010","direct migration background","East Germany","","","",""
"Rarely","2010","indirect migration background","West Germany","","","",""
"Rarely","2010","indirect migration background","East Germany","","","",""
"Never","2010","no migration background","West Germany","","","",""
"Never","2010","no migration background","East Germany","","","",""
"Never","2010","direct migration background","West Germany","","","",""
"Never","2010","direct migration background","East Germany","","","",""
"Never","2010","indirect migration background","West Germany","","","",""
"Never","2010","indirect migration background","East Germany","","","",""
"Daily","2011","no migration background","West Germany","","","",""
"Daily","2011","no migration background","East Germany","","","",""
"Daily","2011","direct migration background","West Germany","","","",""
"Daily","2011","direct migration background","East Germany","","","",""
"Daily","2011","indirect migration background","West Germany","","","",""
"Daily","2011","indirect migration background","East Germany","","","",""
"Min 1x per week","2011","no migration background","West Germany","","","",""
"Min 1x per week","2011","no migration background","East Germany","","","",""
"Min 1x per week","2011","direct migration background","West Germany","","","",""
"Min 1x per week","2011","direct migration background","East Germany","","","",""
"Min 1x per week","2011","indirect migration background","West Germany","","","",""
"Min 1x per week","2011","indirect migration background","East Germany","","","",""
"Min 1x per month","2011","no migration background","West Germany","","","",""
"Min 1x per month","2011","no migration background","East Germany","","","",""
"Min 1x per month","2011","direct migration background","West Germany","","","",""
"Min 1x per month","2011","direct migration background","East Germany","","","",""
"Min 1x per month","2011","indirect migration background","West Germany","","","",""
"Min 1x per month","2011","indirect migration background","East Germany","","","",""
"Rarely","2011","no migration background","West Germany","","","",""
"Rarely","2011","no migration background","East Germany","","","",""
"Rarely","2011","direct migration background","West Germany","","","",""
"Rarely","2011","direct migration background","East Germany","","","",""
"Rarely","2011","indirect migration background","West Germany","","","",""
"Rarely","2011","indirect migration background","East Germany","","","",""
"Never","2011","no migration background","West Germany","","","",""
"Never","2011","no migration background","East Germany","","","",""
"Never","2011","direct migration background","West Germany","","","",""
"Never","2011","direct migration background","East Germany","","","",""
"Never","2011","indirect migration background","West Germany","","","",""
"Never","2011","indirect migration background","East Germany","","","",""
"Daily","2012","no migration background","West Germany","","","",""
"Daily","2012","no migration background","East Germany","","","",""
"Daily","2012","direct migration background","West Germany","","","",""
"Daily","2012","direct migration background","East Germany","","","",""
"Daily","2012","indirect migration background","West Germany","","","",""
"Daily","2012","indirect migration background","East Germany","","","",""
"Min 1x per week","2012","no migration background","West Germany","","","",""
"Min 1x per week","2012","no migration background","East Germany","","","",""
"Min 1x per week","2012","direct migration background","West Germany","","","",""
"Min 1x per week","2012","direct migration background","East Germany","","","",""
"Min 1x per week","2012","indirect migration background","West Germany","","","",""
"Min 1x per week","2012","indirect migration background","East Germany","","","",""
"Min 1x per month","2012","no migration background","West Germany","","","",""
"Min 1x per month","2012","no migration background","East Germany","","","",""
"Min 1x per month","2012","direct migration background","West Germany","","","",""
"Min 1x per month","2012","direct migration background","East Germany","","","",""
"Min 1x per month","2012","indirect migration background","West Germany","","","",""
"Min 1x per month","2012","indirect migration background","East Germany","","","",""
"Rarely","2012","no migration background","West Germany","","","",""
"Rarely","2012","no migration background","East Germany","","","",""
"Rarely","2012","direct migration background","West Germany","","","",""
"Rarely","2012","direct migration background","East Germany","","","",""
"Rarely","2012","indirect migration background","West Germany","","","",""
"Rarely","2012","indirect migration background","East Germany","","","",""
"Never","2012","no migration background","West Germany","","","",""
"Never","2012","no migration background","East Germany","","","",""
"Never","2012","direct migration background","West Germany","","","",""
"Never","2012","direct migration background","East Germany","","","",""
"Never","2012","indirect migration background","West Germany","","","",""
"Never","2012","indirect migration background","East Germany","","","",""
"Daily","2013","no migration background","West Germany","12606","0.797980904648949","0.791797944479301","0.804163864818597"
"Daily","2013","no migration background","East Germany","4421","0.804470954862765","0.794012149519092","0.814929760206438"
"Daily","2013","direct migration background","West Germany","1936","0.7983568924211","0.782719515416445","0.813994269425755"
"Daily","2013","direct migration background","East Germany","106","0.728135301256857","0.653632901765935","0.802637700747778"
"Daily","2013","indirect migration background","West Germany","780","0.69651283710147","0.669477873638959","0.723547800563981"
"Daily","2013","indirect migration background","East Germany","50","0.669908211774526","0.564185984046132","0.775630439502919"
"Min 1x per week","2013","no migration background","West Germany","2569","0.143403444375396","0.138006201750763","0.148800687000028"
"Min 1x per week","2013","no migration background","East Germany","753","0.128399249038355","0.119577365994932","0.137221132081778"
"Min 1x per week","2013","direct migration background","West Germany","403","0.13246287880989","0.119250993211426","0.145674764408353"
"Min 1x per week","2013","direct migration background","East Germany","19","","",""
"Min 1x per week","2013","indirect migration background","West Germany","235","0.224196236271525","0.199672809197292","0.248719663345758"
"Min 1x per week","2013","indirect migration background","East Germany","17","","",""
"Min 1x per month","2013","no migration background","West Germany","372","0.0212220514937152","0.0190026301488967","0.0234414728385336"
"Min 1x per month","2013","no migration background","East Germany","113","0.0222952585057856","0.0184018374534465","0.0261886795581247"
"Min 1x per month","2013","direct migration background","West Germany","45","0.0124120689143221","0.00809704057397826","0.0167270972546659"
"Min 1x per month","2013","direct migration background","East Germany","3","","",""
"Min 1x per month","2013","indirect migration background","West Germany","32","0.0321518945232105","0.0217790481003153","0.0425247409461056"
"Min 1x per month","2013","indirect migration background","East Germany","3","","",""
"Rarely","2013","no migration background","West Germany","476","0.0249781940120427","0.0225749843028864","0.0273814037211989"
"Rarely","2013","no migration background","East Germany","183","0.0325258549486817","0.0278479079130326","0.0372038019843307"
"Rarely","2013","direct migration background","West Germany","97","0.0388143816132705","0.0312864850317152","0.0463422781948258"
"Rarely","2013","direct migration background","East Germany","5","","",""
"Rarely","2013","indirect migration background","West Germany","52","0.0406210019916919","0.0290128928977948","0.0522291110855889"
"Rarely","2013","indirect migration background","East Germany","4","","",""
"Never","2013","no migration background","West Germany","176","0.0124154054698977","0.0107102201094053","0.01412059083039"
"Never","2013","no migration background","East Germany","54","0.0123086826444128","0.00940106255226007","0.0152163027365656"
"Never","2013","direct migration background","West Germany","48","0.0179537782414179","0.0127786922665542","0.0231288642162816"
"Never","2013","direct migration background","East Germany","4","","",""
"Never","2013","indirect migration background","West Germany","12","","",""
"Never","2013","indirect migration background","East Germany","2","","",""
"Daily","2014","no migration background","West Germany","","","",""
"Daily","2014","no migration background","East Germany","","","",""
"Daily","2014","direct migration background","West Germany","","","",""
"Daily","2014","direct migration background","East Germany","","","",""
"Daily","2014","indirect migration background","West Germany","","","",""
"Daily","2014","indirect migration background","East Germany","","","",""
"Min 1x per week","2014","no migration background","West Germany","","","",""
"Min 1x per week","2014","no migration background","East Germany","","","",""
"Min 1x per week","2014","direct migration background","West Germany","","","",""
"Min 1x per week","2014","direct migration background","East Germany","","","",""
"Min 1x per week","2014","indirect migration background","West Germany","","","",""
"Min 1x per week","2014","indirect migration background","East Germany","","","",""
"Min 1x per month","2014","no migration background","West Germany","","","",""
"Min 1x per month","2014","no migration background","East Germany","","","",""
"Min 1x per month","2014","direct migration background","West Germany","","","",""
"Min 1x per month","2014","direct migration background","East Germany","","","",""
"Min 1x per month","2014","indirect migration background","West Germany","","","",""
"Min 1x per month","2014","indirect migration background","East Germany","","","",""
"Rarely","2014","no migration background","West Germany","","","",""
"Rarely","2014","no migration background","East Germany","","","",""
"Rarely","2014","direct migration background","West Germany","","","",""
"Rarely","2014","direct migration background","East Germany","","","",""
"Rarely","2014","indirect migration background","West Germany","","","",""
"Rarely","2014","indirect migration background","East Germany","","","",""
"Never","2014","no migration background","West Germany","","","",""
"Never","2014","no migration background","East Germany","","","",""
"Never","2014","direct migration background","West Germany","","","",""
"Never","2014","direct migration background","East Germany","","","",""
"Never","2014","indirect migration background","West Germany","","","",""
"Never","2014","indirect migration background","East Germany","","","",""
"Daily","2015","no migration background","West Germany","","","",""
"Daily","2015","no migration background","East Germany","","","",""
"Daily","2015","direct migration background","West Germany","","","",""
"Daily","2015","direct migration background","East Germany","","","",""
"Daily","2015","indirect migration background","West Germany","","","",""
"Daily","2015","indirect migration background","East Germany","","","",""
"Min 1x per week","2015","no migration background","West Germany","","","",""
"Min 1x per week","2015","no migration background","East Germany","","","",""
"Min 1x per week","2015","direct migration background","West Germany","","","",""
"Min 1x per week","2015","direct migration background","East Germany","","","",""
"Min 1x per week","2015","indirect migration background","West Germany","","","",""
"Min 1x per week","2015","indirect migration background","East Germany","","","",""
"Min 1x per month","2015","no migration background","West Germany","","","",""
"Min 1x per month","2015","no migration background","East Germany","","","",""
"Min 1x per month","2015","direct migration background","West Germany","","","",""
"Min 1x per month","2015","direct migration background","East Germany","","","",""
"Min 1x per month","2015","indirect migration background","West Germany","","","",""
"Min 1x per month","2015","indirect migration background","East Germany","","","",""
"Rarely","2015","no migration background","West Germany","","","",""
"Rarely","2015","no migration background","East Germany","","","",""
"Rarely","2015","direct migration background","West Germany","","","",""
"Rarely","2015","direct migration background","East Germany","","","",""
"Rarely","2015","indirect migration background","West Germany","","","",""
"Rarely","2015","indirect migration background","East Germany","","","",""
"Never","2015","no migration background","West Germany","","","",""
"Never","2015","no migration background","East Germany","","","",""
"Never","2015","direct migration background","West Germany","","","",""
"Never","2015","direct migration background","East Germany","","","",""
"Never","2015","indirect migration background","West Germany","","","",""
"Never","2015","indirect migration background","East Germany","","","",""
"Daily","2016","no migration background","West Germany","","","",""
"Daily","2016","no migration background","East Germany","","","",""
"Daily","2016","direct migration background","West Germany","","","",""
"Daily","2016","direct migration background","East Germany","","","",""
"Daily","2016","indirect migration background","West Germany","","","",""
"Daily","2016","indirect migration background","East Germany","","","",""
"Min 1x per week","2016","no migration background","West Germany","","","",""
"Min 1x per week","2016","no migration background","East Germany","","","",""
"Min 1x per week","2016","direct migration background","West Germany","","","",""
"Min 1x per week","2016","direct migration background","East Germany","","","",""
"Min 1x per week","2016","indirect migration background","West Germany","","","",""
"Min 1x per week","2016","indirect migration background","East Germany","","","",""
"Min 1x per month","2016","no migration background","West Germany","","","",""
"Min 1x per month","2016","no migration background","East Germany","","","",""
"Min 1x per month","2016","direct migration background","West Germany","","","",""
"Min 1x per month","2016","direct migration background","East Germany","","","",""
"Min 1x per month","2016","indirect migration background","West Germany","","","",""
"Min 1x per month","2016","indirect migration background","East Germany","","","",""
"Rarely","2016","no migration background","West Germany","","","",""
"Rarely","2016","no migration background","East Germany","","","",""
"Rarely","2016","direct migration background","West Germany","","","",""
"Rarely","2016","direct migration background","East Germany","","","",""
"Rarely","2016","indirect migration background","West Germany","","","",""
"Rarely","2016","indirect migration background","East Germany","","","",""
"Never","2016","no migration background","West Germany","","","",""
"Never","2016","no migration background","East Germany","","","",""
"Never","2016","direct migration background","West Germany","","","",""
"Never","2016","direct migration background","East Germany","","","",""
"Never","2016","indirect migration background","West Germany","","","",""
"Never","2016","indirect migration background","East Germany","","","",""
"Daily","2017","no migration background","West Germany","","","",""
"Daily","2017","no migration background","East Germany","","","",""
"Daily","2017","direct migration background","West Germany","","","",""
"Daily","2017","direct migration background","East Germany","","","",""
"Daily","2017","indirect migration background","West Germany","","","",""
"Daily","2017","indirect migration background","East Germany","","","",""
"Min 1x per week","2017","no migration background","West Germany","","","",""
"Min 1x per week","2017","no migration background","East Germany","","","",""
"Min 1x per week","2017","direct migration background","West Germany","","","",""
"Min 1x per week","2017","direct migration background","East Germany","","","",""
"Min 1x per week","2017","indirect migration background","West Germany","","","",""
"Min 1x per week","2017","indirect migration background","East Germany","","","",""
"Min 1x per month","2017","no migration background","West Germany","","","",""
"Min 1x per month","2017","no migration background","East Germany","","","",""
"Min 1x per month","2017","direct migration background","West Germany","","","",""
"Min 1x per month","2017","direct migration background","East Germany","","","",""
"Min 1x per month","2017","indirect migration background","West Germany","","","",""
"Min 1x per month","2017","indirect migration background","East Germany","","","",""
"Rarely","2017","no migration background","West Germany","","","",""
"Rarely","2017","no migration background","East Germany","","","",""
"Rarely","2017","direct migration background","West Germany","","","",""
"Rarely","2017","direct migration background","East Germany","","","",""
"Rarely","2017","indirect migration background","West Germany","","","",""
"Rarely","2017","indirect migration background","East Germany","","","",""
"Never","2017","no migration background","West Germany","","","",""
"Never","2017","no migration background","East Germany","","","",""
"Never","2017","direct migration background","West Germany","","","",""
"Never","2017","direct migration background","East Germany","","","",""
"Never","2017","indirect migration background","West Germany","","","",""
"Never","2017","indirect migration background","East Germany","","","",""
"Daily","2018","no migration background","West Germany","","","",""
"Daily","2018","no migration background","East Germany","","","",""
"Daily","2018","direct migration background","West Germany","","","",""
"Daily","2018","direct migration background","East Germany","","","",""
"Daily","2018","indirect migration background","West Germany","","","",""
"Daily","2018","indirect migration background","East Germany","","","",""
"Min 1x per week","2018","no migration background","West Germany","","","",""
"Min 1x per week","2018","no migration background","East Germany","","","",""
"Min 1x per week","2018","direct migration background","West Germany","","","",""
"Min 1x per week","2018","direct migration background","East Germany","","","",""
"Min 1x per week","2018","indirect migration background","West Germany","","","",""
"Min 1x per week","2018","indirect migration background","East Germany","","","",""
"Min 1x per month","2018","no migration background","West Germany","","","",""
"Min 1x per month","2018","no migration background","East Germany","","","",""
"Min 1x per month","2018","direct migration background","West Germany","","","",""
"Min 1x per month","2018","direct migration background","East Germany","","","",""
"Min 1x per month","2018","indirect migration background","West Germany","","","",""
"Min 1x per month","2018","indirect migration background","East Germany","","","",""
"Rarely","2018","no migration background","West Germany","","","",""
"Rarely","2018","no migration background","East Germany","","","",""
"Rarely","2018","direct migration background","West Germany","","","",""
"Rarely","2018","direct migration background","East Germany","","","",""
"Rarely","2018","indirect migration background","West Germany","","","",""
"Rarely","2018","indirect migration background","East Germany","","","",""
"Never","2018","no migration background","West Germany","","","",""
"Never","2018","no migration background","East Germany","","","",""
"Never","2018","direct migration background","West Germany","","","",""
"Never","2018","direct migration background","East Germany","","","",""
"Never","2018","indirect migration background","West Germany","","","",""
"Never","2018","indirect migration background","East Germany","","","",""
"Daily","2019","no migration background","West Germany","11329","0.778312878776102","0.771679645392123","0.784946112160081"
"Daily","2019","no migration background","East Germany","4112","0.799114693901376","0.78817733659706","0.810052051205693"
"Daily","2019","direct migration background","West Germany","2591","0.747903571384144","0.733645974547352","0.762161168220936"
"Daily","2019","direct migration background","East Germany","213","0.727373141601923","0.676209134995405","0.778537148208441"
"Daily","2019","indirect migration background","West Germany","1068","0.68938405906892","0.666501610918323","0.712266507219518"
"Daily","2019","indirect migration background","East Germany","93","0.673136420408148","0.59341829433056","0.752854546485736"
"Min 1x per week","2019","no migration background","West Germany","2698","0.158090613160748","0.152264704716222","0.163916521605273"
"Min 1x per week","2019","no migration background","East Germany","716","0.145727621152899","0.136095922723364","0.155359319582435"
"Min 1x per week","2019","direct migration background","West Germany","596","0.152193491416949","0.140398799725823","0.163988183108075"
"Min 1x per week","2019","direct migration background","East Germany","44","0.173425830427368","0.129924814199897","0.21692684665484"
"Min 1x per week","2019","indirect migration background","West Germany","341","0.20919129382549","0.189078725964209","0.229303861686772"
"Min 1x per week","2019","indirect migration background","East Germany","28","","",""
"Min 1x per month","2019","no migration background","West Germany","321","0.0207943443277137","0.0185156424529446","0.0230730462024828"
"Min 1x per month","2019","no migration background","East Germany","85","0.0166490582047765","0.0131561846743375","0.0201419317352154"
"Min 1x per month","2019","direct migration background","West Germany","77","0.0170532202733937","0.0128020511491579","0.0213043893976295"
"Min 1x per month","2019","direct migration background","East Germany","7","","",""
"Min 1x per month","2019","indirect migration background","West Germany","41","0.0250136731231293","0.0172913495290046","0.032735996717254"
"Min 1x per month","2019","indirect migration background","East Germany","3","","",""
"Rarely","2019","no migration background","West Germany","524","0.0292481429670906","0.0265573443179287","0.0319389416162526"
"Rarely","2019","no migration background","East Germany","201","0.0323973487093927","0.0275641236753366","0.0372305737434489"
"Rarely","2019","direct migration background","West Germany","207","0.0605260971093325","0.0526962393005095","0.0683559549181556"
"Rarely","2019","direct migration background","East Germany","21","","",""
"Rarely","2019","indirect migration background","West Germany","86","0.0518679198510013","0.0409020311252","0.0628338085768026"
"Rarely","2019","indirect migration background","East Germany","9","","",""
"Never","2019","no migration background","West Germany","192","0.0135540207683461","0.0117075235218133","0.0154005180148789"
"Never","2019","no migration background","East Germany","41","0.00611127803155503","0.00398378249001009","0.00823877357309997"
"Never","2019","direct migration background","West Germany","92","0.0223236198161808","0.0174727451893306","0.0271744944430311"
"Never","2019","direct migration background","East Germany","6","","",""
"Never","2019","indirect migration background","West Germany","35","0.0245430541314587","0.0168918752821343","0.0321942329807831"
"Never","2019","indirect migration background","East Germany","","","",""
