"hlf0001_h","year","e11103","n","percent","lower_confidence","upper_confidence"
"Sub-Tenant","2009","Not Working","130","0.0226586228923733","0.0192013034641897","0.026115942320557"
"Owner","2009","Full Time","3919","0.474202099634084","0.462516355571369","0.485887843696799"
"Owner","2009","Part Time","2278","0.464044717759145","0.449019545629536","0.479069889888754"
"Owner","2009","Not Working","3944","0.492328542213155","0.480713561610143","0.503943522816166"
"Nursing Home/Retirement Community","2009","Full Time","2","","",""
"Nursing Home/Retirement Community","2009","Part Time","1","","",""
"Nursing Home/Retirement Community","2009","Not Working","39","0.00839977527161435","0.00627945361150368","0.010520096931725"
"Tenant","2009","Full Time","","","",""
"Tenant","2009","Part Time","","","",""
"Tenant","2009","Not Working","","","",""
"Main Tenant","2010","Full Time","4154","0.489773513838627","0.479589029917029","0.499957997760226"
"Main Tenant","2010","Part Time","3186","0.504953046187656","0.492664447176292","0.51724164519902"
"Main Tenant","2010","Not Working","4268","0.475814919389693","0.465391159487337","0.486238679292048"
"Sub-Tenant","2010","Full Time","144","0.0199549241867023","0.0171058225250845","0.0228040258483201"
"Sub-Tenant","2010","Part Time","98","0.0270276138196737","0.0230418846193927","0.0310133430199548"
"Sub-Tenant","2010","Not Working","133","0.0210004772868278","0.018007738126734","0.0239932164469217"
"Owner","2010","Full Time","4952","0.489516362586327","0.479331987188377","0.499700737984278"
"Owner","2010","Part Time","3072","0.467260697521762","0.454997868475813","0.47952352656771"
"Owner","2010","Not Working","4377","0.494374687126951","0.483939372188916","0.504810002064985"
"Nursing Home/Retirement Community","2010","Full Time","5","","",""
"Nursing Home/Retirement Community","2010","Part Time","3","","",""
"Nursing Home/Retirement Community","2010","Not Working","40","0.00880991619652888","0.00685949949723799","0.0107603328958198"
"Tenant","2010","Full Time","","","",""
"Tenant","2010","Part Time","","","",""
"Tenant","2010","Not Working","","","",""
"Main Tenant","2011","Full Time","4717","0.480748064818315","0.471256375983836","0.490239753652793"
"Main Tenant","2011","Part Time","3767","0.501441852501812","0.490257250893114","0.512626454110509"
"Main Tenant","2011","Not Working","5116","0.473347218329182","0.463884190724618","0.482810245933747"
"Sub-Tenant","2011","Full Time","148","0.0200375990933857","0.0173755061993299","0.0226996919874416"
"Sub-Tenant","2011","Part Time","99","0.0187603073171989","0.0157252992569052","0.0217953153774926"
"Sub-Tenant","2011","Not Working","122","0.0184268524850548","0.0158778813631208","0.0209758236069888"
"Owner","2011","Full Time","5775","0.498680232900146","0.489181533379903","0.508178932420389"
"Owner","2011","Part Time","3809","0.479251404370168","0.468076390482779","0.490426418257558"
"Owner","2011","Not Working","5403","0.50004259811275","0.490566097306363","0.509519098919138"
"Nursing Home/Retirement Community","2011","Full Time","4","","",""
"Nursing Home/Retirement Community","2011","Part Time","2","","",""
"Nursing Home/Retirement Community","2011","Not Working","53","0.00818333107301254","0.00647583873517813","0.00989082341084695"
"Tenant","2011","Full Time","","","",""
"Tenant","2011","Part Time","","","",""
"Tenant","2011","Not Working","","","",""
"Main Tenant","2012","Full Time","4708","0.493701527261315","0.484112578542801","0.503290475979829"
"Main Tenant","2012","Part Time","3607","0.493642862568437","0.482308256176815","0.504977468960058"
"Main Tenant","2012","Not Working","4927","0.470994976359029","0.461382678717758","0.480607274000301"
"Sub-Tenant","2012","Full Time","134","0.0171431210323832","0.0146535441734336","0.0196326978913328"
"Sub-Tenant","2012","Part Time","100","0.0227964264586068","0.0194126828074626","0.0261801701097509"
"Sub-Tenant","2012","Not Working","123","0.0181369043838884","0.0155671227277904","0.0207066860399864"
"Owner","2012","Full Time","5597","0.488613245119534","0.479026022599951","0.498200467639117"
"Owner","2012","Part Time","3766","0.483531668335957","0.472202295888645","0.49486104078327"
"Owner","2012","Not Working","5271","0.505128278072365","0.495500272468169","0.51475628367656"
"Nursing Home/Retirement Community","2012","Full Time","4","","",""
"Nursing Home/Retirement Community","2012","Part Time","1","","",""
"Nursing Home/Retirement Community","2012","Not Working","38","0.00573984118471763","0.0042850886215234","0.00719459374791186"
"Tenant","2012","Full Time","","","",""
"Tenant","2012","Part Time","","","",""
"Tenant","2012","Not Working","","","",""
"Main Tenant","2013","Full Time","4406","0.470111781020927","0.460194688379891","0.480028873661963"
"Main Tenant","2013","Part Time","3409","0.44839619725521","0.436894286943462","0.459898107566959"
"Main Tenant","2013","Not Working","8191","0.507218138504179","0.499053606806182","0.515382670202175"
"Sub-Tenant","2013","Full Time","116","0.0164058022018843","0.0138817496925747","0.018929854711194"
"Sub-Tenant","2013","Part Time","90","0.0166915985505144","0.0137286832886986","0.0196545138123302"
"Sub-Tenant","2013","Not Working","183","0.0170156123512906","0.0149035650703621","0.0191276596322191"
"Owner","2013","Full Time","5207","0.513463137110797","0.503531881015313","0.523394393206281"
"Owner","2013","Part Time","3682","0.534883244173156","0.523347758612113","0.5464187297342"
"Owner","2013","Not Working","5984","0.469707624997507","0.461557241741036","0.477858008253978"
"Nursing Home/Retirement Community","2013","Full Time","1","","",""
"Nursing Home/Retirement Community","2013","Part Time","1","","",""
"Nursing Home/Retirement Community","2013","Not Working","46","0.00605862414702362","0.00479134022423245","0.00732590806981478"
"Tenant","2013","Full Time","","","",""
"Tenant","2013","Part Time","","","",""
"Tenant","2013","Not Working","","","",""
"Main Tenant","2014","Full Time","4865","0.487749751325107","0.478070251342182","0.497429251308032"
"Main Tenant","2014","Part Time","3910","0.507245679648069","0.495985676515322","0.518505682780816"
"Main Tenant","2014","Not Working","5080","0.472558871337032","0.462758619196505","0.482359123477559"
"Sub-Tenant","2014","Full Time","124","0.0158598056349022","0.0134405000873966","0.0182791111824077"
"Sub-Tenant","2014","Part Time","111","0.0236011590774534","0.0201821960350164","0.0270201221198905"
"Sub-Tenant","2014","Not Working","117","0.0155560594035253","0.0131268352838774","0.0179852835231731"
"Owner","2014","Full Time","5254","0.49636891535681","0.486686764211505","0.506051066502116"
"Owner","2014","Part Time","3551","0.469119250799391","0.45787956350252","0.480358938096261"
"Owner","2014","Not Working","4729","0.505217437506411","0.495402926833319","0.515031948179504"
"Nursing Home/Retirement Community","2014","Full Time","1","","",""
"Nursing Home/Retirement Community","2014","Part Time","1","","",""
"Nursing Home/Retirement Community","2014","Not Working","43","0.00666763175303141","0.00507007833114159","0.00826518517492122"
"Tenant","2014","Full Time","","","",""
"Tenant","2014","Part Time","","","",""
"Tenant","2014","Not Working","","","",""
"Main Tenant","2015","Full Time","4481","0.481028114142786","0.470993618623673","0.491062609661899"
"Main Tenant","2015","Part Time","3529","0.483974216606874","0.472381740386069","0.495566692827679"
"Main Tenant","2015","Not Working","6120","0.491869378115586","0.482462060366669","0.501276695864503"
"Sub-Tenant","2015","Full Time","119","0.0176151357783893","0.0149732001815329","0.0202570713752456"
"Sub-Tenant","2015","Part Time","92","0.0189891289239575","0.0158230711788977","0.0221551866690173"
"Sub-Tenant","2015","Not Working","182","0.0167531210082337","0.0143380361924982","0.0191682058239692"
"Owner","2015","Full Time","4924","0.501356750078825","0.491315060238375","0.511398439919274"
"Owner","2015","Part Time","3518","0.497036654469169","0.485438422867395","0.508634886070942"
"Owner","2015","Not Working","4499","0.484201983874117","0.474798119598966","0.493605848149269"
"Nursing Home/Retirement Community","2015","Full Time","","","",""
"Nursing Home/Retirement Community","2015","Part Time","","","",""
"Nursing Home/Retirement Community","2015","Not Working","48","0.00717551700206303","0.00558727720355609","0.00876375680056997"
"Tenant","2015","Full Time","","","",""
"Tenant","2015","Part Time","","","",""
"Tenant","2015","Not Working","","","",""
"Main Tenant","2016","Full Time","4437","0.482758401049261","0.472541904839731","0.492974897258791"
"Main Tenant","2016","Part Time","3562","0.496939029770029","0.485206093250121","0.508671966289937"
"Main Tenant","2016","Not Working","4483","0.472039264318074","0.461603037038345","0.482475491597804"
"Sub-Tenant","2016","Full Time","130","0.0203877424881777","0.0174983801314493","0.0232771048449061"
"Sub-Tenant","2016","Part Time","109","0.023291617240953","0.0197522377101231","0.0268309967717829"
"Sub-Tenant","2016","Not Working","118","0.0187510323448953","0.0159153612819957","0.021586703407795"
"Owner","2016","Full Time","4622","0.496833217294304","0.486610846527335","0.507055588061273"
"Owner","2016","Part Time","3305","0.479769352989018","0.468045804803441","0.491492901174595"
"Owner","2016","Not Working","4144","0.500264473993622","0.489811891661255","0.510717056325988"
"Nursing Home/Retirement Community","2016","Full Time","1","","",""
"Nursing Home/Retirement Community","2016","Part Time","","","",""
"Nursing Home/Retirement Community","2016","Not Working","45","0.00894522934340854","0.00697689793921251","0.0109135607476046"
"Tenant","2016","Full Time","","","",""
"Tenant","2016","Part Time","","","",""
"Tenant","2016","Not Working","","","",""
"Main Tenant","2017","Full Time","5012","0.485492471794545","0.475916423175916","0.495068520413173"
"Main Tenant","2017","Part Time","3911","0.479661257308679","0.468580011439362","0.490742503177996"
"Main Tenant","2017","Not Working","7061","0.478585597516869","0.469560547165028","0.487610647868709"
"Sub-Tenant","2017","Full Time","173","0.0210652539559872","0.0183138177559892","0.0238166901559852"
"Sub-Tenant","2017","Part Time","150","0.0274826353511041","0.0238563994043505","0.0311088712978578"
"Sub-Tenant","2017","Not Working","270","0.0211441036636768","0.0185449477625851","0.0237432595647686"
"Owner","2017","Full Time","5277","0.493043744466016","0.483464589585147","0.502622899346885"
"Owner","2017","Part Time","3746","0.492363904925407","0.481274773267753","0.503453036583061"
"Owner","2017","Not Working","4384","0.49097790538286","0.481946036986415","0.500009773779305"
"Nursing Home/Retirement Community","2017","Full Time","2","","",""
"Nursing Home/Retirement Community","2017","Part Time","1","","",""
"Nursing Home/Retirement Community","2017","Not Working","54","0.00929239343659459","0.00755892933191402","0.0110258575412752"
"Tenant","2017","Full Time","","","",""
"Tenant","2017","Part Time","","","",""
"Tenant","2017","Not Working","","","",""
"Main Tenant","2018","Full Time","5012","0.492090074746807","0.48232414244682","0.501856007046794"
"Main Tenant","2018","Part Time","4097","0.486075620834555","0.475003668377522","0.497147573291589"
"Main Tenant","2018","Not Working","7591","0.470745876154815","0.461827114318769","0.479664637990861"
"Sub-Tenant","2018","Full Time","137","0.0173246982594887","0.0147758973304041","0.0198734991885734"
"Sub-Tenant","2018","Part Time","139","0.0233353481165377","0.0199910686724559","0.0266796275606195"
"Sub-Tenant","2018","Not Working","221","0.0156130303189729","0.0133978672152382","0.0178281934227076"
"Owner","2018","Full Time","4917","0.49028687761739","0.480521566172765","0.500052189062015"
"Owner","2018","Part Time","3591","0.490470095505599","0.479395859156868","0.501544331854331"
"Owner","2018","Not Working","4168","0.504526237673519","0.49559253718172","0.513459938165319"
"Nursing Home/Retirement Community","2018","Full Time","1","","",""
"Nursing Home/Retirement Community","2018","Part Time","1","","",""
"Nursing Home/Retirement Community","2018","Not Working","52","0.00911485585269275","0.0074167461616698","0.0108129655437157"
"Tenant","2018","Full Time","","","",""
"Tenant","2018","Part Time","","","",""
"Tenant","2018","Not Working","","","",""
"Main Tenant","2019","Full Time","4954","0.490409846660119","0.480991723477835","0.499827969842404"
"Main Tenant","2019","Part Time","3829","0.483339394846913","0.472167504302191","0.494511285391635"
"Main Tenant","2019","Not Working","6643","0.45945908767748","0.450243184154492","0.468674991200468"
"Sub-Tenant","2019","Full Time","138","0.0171660838657033","0.0147189938547389","0.0196131738766676"
"Sub-Tenant","2019","Part Time","169","0.0248406814337841","0.0213611766236066","0.0283201862439616"
"Sub-Tenant","2019","Not Working","282","0.0189677132582204","0.0164451076917125","0.0214903188247282"
"Owner","2019","Full Time","5730","0.492278660033015","0.482859927256887","0.501697392809142"
"Owner","2019","Part Time","3688","0.491819923719303","0.480643321947753","0.502996525490853"
"Owner","2019","Not Working","4248","0.510667397361509","0.50142315434757","0.519911640375448"
"Nursing Home/Retirement Community","2019","Full Time","1","","",""
"Nursing Home/Retirement Community","2019","Part Time","","","",""
"Nursing Home/Retirement Community","2019","Not Working","60","0.0109058017027908","0.00898515344266725","0.0128264499629144"
"Tenant","2019","Full Time","","","",""
"Tenant","2019","Part Time","","","",""
"Tenant","2019","Not Working","","","",""
