"hlf0001_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Tenant","1995","Part Time","Male","","","","","5"
"Tenant","1995","Part Time","Female","","","","","5"
"Tenant","1995","Not Working","Male","","","","","5"
"Tenant","1995","Not Working","Female","","","","","5"
"Main Tenant","1996","Full Time","Male","2117","0.502133874444156","0.486315507162433","0.51795224172588","1"
"Main Tenant","1996","Full Time","Female","1188","0.600962571062063","0.579029763366631","0.622895378757496","1"
"Main Tenant","1996","Part Time","Male","549","0.567764152150097","0.535218163911468","0.600310140388726","1"
"Main Tenant","1996","Part Time","Female","999","0.501080711029016","0.478052624337005","0.524108797721026","1"
"Main Tenant","1996","Not Working","Female","1786","0.532788344557757","0.515179733599368","0.550396955516146","1"
"Main Tenant","1996","Not Working","Male","877","0.483530066531008","0.458943726042112","0.508116407019903","1"
"Nursing Home/Retirement Community","1996","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1996","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1996","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1996","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1996","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1996","Not Working","Female","","","","","4"
"Owner","1996","Full Time","Male","1603","0.467622136248308","0.451836825666425","0.483407446830191","3"
"Owner","1996","Full Time","Female","659","0.355298196369582","0.333862398859588","0.376733993879576","3"
"Owner","1996","Part Time","Male","306","0.385784313191356","0.353803771042191","0.417764855340521","3"
"Owner","1996","Part Time","Female","765","0.475174040077759","0.452174302900154","0.498173777255363","3"
"Owner","1996","Not Working","Female","1217","0.439731647263343","0.422213716178616","0.45724957834807","3"
"Owner","1996","Not Working","Male","671","0.487623249270736","0.463031097110099","0.512215401431374","3"
"Sub-Tenant","1996","Full Time","Male","118","0.0302439893075361","0.0248258971995914","0.0356620814154809","2"
"Sub-Tenant","1996","Full Time","Female","68","0.0437392325683552","0.0345794017903852","0.0528990633463253","2"
"Sub-Tenant","1996","Part Time","Male","35","0.0464515346585468","0.0326246446904613","0.0602784246266324","2"
"Sub-Tenant","1996","Part Time","Female","47","0.0237452488932258","0.0167329759970844","0.0307575217893672","2"
"Sub-Tenant","1996","Not Working","Female","81","0.0274800081788994","0.0217103696656817","0.0332496466921172","2"
"Sub-Tenant","1996","Not Working","Male","39","0.0288466841982562","0.0206119141477511","0.0370814542487613","2"
"Tenant","1996","Full Time","Male","","","","","5"
"Tenant","1996","Full Time","Female","","","","","5"
"Tenant","1996","Part Time","Male","","","","","5"
"Tenant","1996","Part Time","Female","","","","","5"
"Tenant","1996","Not Working","Male","","","","","5"
"Tenant","1996","Not Working","Female","","","","","5"
"Main Tenant","1997","Full Time","Male","1978","0.483694442247627","0.467605246623638","0.499783637871616","1"
"Main Tenant","1997","Full Time","Female","1155","0.602723429700111","0.58072068781366","0.624726171586562","1"
"Main Tenant","1997","Part Time","Male","534","0.594054958073404","0.561591065940645","0.626518850206163","1"
"Main Tenant","1997","Not Working","Male","930","0.498962224112833","0.474851395363984","0.523073052861682","1"
"Main Tenant","1997","Part Time","Female","899","0.485254281794754","0.461341330888113","0.509167232701394","1"
"Main Tenant","1997","Not Working","Female","1745","0.520866880853645","0.503281219251331","0.538452542455959","1"
"Nursing Home/Retirement Community","1997","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1997","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1997","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1997","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1997","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1997","Not Working","Female","","","","","4"
"Owner","1997","Full Time","Male","1629","0.489842551490954","0.473748115804333","0.505936987177575","3"
"Owner","1997","Full Time","Female","679","0.35548896825524","0.333966130483467","0.377011806027014","3"
"Owner","1997","Part Time","Male","316","0.373799994802274","0.341816211640494","0.405783777964054","3"
"Owner","1997","Part Time","Female","734","0.488490622554788","0.464573604668718","0.512407640440859","3"
"Owner","1997","Not Working","Male","690","0.477404866773229","0.45331861781266","0.501491115733798","3"
"Owner","1997","Not Working","Female","1281","0.447279648151885","0.42977676711568","0.46478252918809","3"
"Sub-Tenant","1997","Full Time","Male","99","0.0264630062614195","0.0212953787360511","0.0316306337867879","2"
"Sub-Tenant","1997","Full Time","Female","66","0.0417876020446486","0.0327900180729437","0.0507851860163536","2"
"Sub-Tenant","1997","Part Time","Male","29","","","","2"
"Sub-Tenant","1997","Part Time","Female","45","0.0262550956504581","0.0186047419546905","0.0339054493462258","2"
"Sub-Tenant","1997","Not Working","Male","32","0.0236329091139376","0.0163078990059277","0.0309579192219476","2"
"Sub-Tenant","1997","Not Working","Female","74","0.0318534709944699","0.0256716536017356","0.0380352883872043","2"
"Tenant","1997","Full Time","Male","","","","","5"
"Tenant","1997","Full Time","Female","","","","","5"
"Tenant","1997","Part Time","Male","","","","","5"
"Tenant","1997","Part Time","Female","","","","","5"
"Tenant","1997","Not Working","Male","","","","","5"
"Tenant","1997","Not Working","Female","","","","","5"
"Main Tenant","1998","Full Time","Male","2020","0.479733283893113","0.46419666839125","0.495269899394977","1"
"Main Tenant","1998","Full Time","Female","1213","0.605965230257136","0.584734887300027","0.627195573214245","1"
"Main Tenant","1998","Part Time","Male","592","0.551209762141168","0.520551137788646","0.581868386493689","1"
"Main Tenant","1998","Part Time","Female","960","0.47794013786225","0.455300254130319","0.500580021594181","1"
"Main Tenant","1998","Not Working","Male","1010","0.472597437785086","0.450341342958482","0.49485353261169","1"
"Main Tenant","1998","Not Working","Female","1873","0.501190855585504","0.484640363622568","0.51774134754844","1"
"Nursing Home/Retirement Community","1998","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1998","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1998","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","1998","Not Working","Male","","","","","4"
"Nursing Home/Retirement Community","1998","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","1998","Not Working","Female","","","","","4"
"Owner","1998","Full Time","Male","1849","0.494313591465795","0.478765202822789","0.509861980108801","3"
"Owner","1998","Full Time","Female","745","0.349003529380196","0.328294005676826","0.369713053083565","3"
"Owner","1998","Part Time","Male","371","0.379956326783584","0.350037091180848","0.409875562386319","3"
"Owner","1998","Part Time","Female","857","0.490567012227316","0.467909094777267","0.513224929677364","3"
"Owner","1998","Not Working","Male","873","0.499804672608213","0.477515079776959","0.522094265439468","3"
"Owner","1998","Not Working","Female","1527","0.461439667576675","0.444938420039733","0.477940915113616","3"
"Sub-Tenant","1998","Full Time","Female","77","0.0450312403626687","0.0360213932553493","0.0540410874699881","2"
"Sub-Tenant","1998","Full Time","Male","103","0.0259531246410915","0.0210085580960352","0.0308976911861478","2"
"Sub-Tenant","1998","Part Time","Male","48","0.0688339110752487","0.0532280652454402","0.0844397569050573","2"
"Sub-Tenant","1998","Part Time","Female","53","0.0314928499104342","0.0235772345042774","0.0394084653165911","2"
"Sub-Tenant","1998","Not Working","Male","46","0.0240438606238981","0.0172149816627498","0.0308727395850464","2"
"Sub-Tenant","1998","Not Working","Female","91","0.0290022696233017","0.0234474848623537","0.0345570543842496","2"
"Tenant","1998","Full Time","Male","","","","","5"
"Tenant","1998","Full Time","Female","","","","","5"
"Tenant","1998","Part Time","Male","","","","","5"
"Tenant","1998","Part Time","Female","","","","","5"
"Tenant","1998","Not Working","Male","4","","","","5"
"Tenant","1998","Not Working","Female","15","","","","5"
"Main Tenant","1999","Full Time","Male","1969","0.478105731149635","0.462414423845528","0.493797038453741","1"
"Main Tenant","1999","Full Time","Female","1159","0.608404839876705","0.586784787827001","0.630024891926409","1"
"Main Tenant","1999","Part Time","Male","567","0.55503833210282","0.524236902120348","0.585839762085291","1"
"Main Tenant","1999","Part Time","Female","978","0.465418640568765","0.443273881293358","0.487563399844172","1"
"Main Tenant","1999","Not Working","Female","1716","0.504616875598896","0.487336962260684","0.521896788937109","1"
"Main Tenant","1999","Not Working","Male","924","0.483524966370149","0.460125004049273","0.506924928691025","1"
"Nursing Home/Retirement Community","1999","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","1999","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","1999","Part Time","Male","1","","","","4"
"Nursing Home/Retirement Community","1999","Part Time","Female","1","","","","4"
"Nursing Home/Retirement Community","1999","Not Working","Male","5","","","","4"
"Nursing Home/Retirement Community","1999","Not Working","Female","19","","","","4"
"Owner","1999","Full Time","Male","1843","0.498260925466687","0.482554647959536","0.513967202973837","3"
"Owner","1999","Full Time","Female","743","0.361787522460183","0.340503623677213","0.383071421243152","3"
"Owner","1999","Part Time","Male","399","0.405882340081151","0.375446562638551","0.43631811752375","3"
"Owner","1999","Part Time","Female","921","0.507754731448786","0.485559486813392","0.52994997608418","3"
"Owner","1999","Not Working","Male","784","0.488857526421337","0.465450665307008","0.512264387535666","3"
"Owner","1999","Not Working","Female","1410","0.459067117986628","0.441844472777455","0.4762897631958","3"
"Sub-Tenant","1999","Full Time","Male","81","0.0236333433836785","0.0188616234957801","0.0284050632715768","2"
"Sub-Tenant","1999","Full Time","Female","56","0.0298076376631125","0.0222752189754115","0.0373400563508135","2"
"Sub-Tenant","1999","Part Time","Male","33","0.0387426666800503","0.0267817991879588","0.0507035341721417","2"
"Sub-Tenant","1999","Part Time","Female","49","0.0266344490629273","0.0194861614811228","0.0337827366447319","2"
"Sub-Tenant","1999","Not Working","Female","71","0.0250013773627452","0.0196053512868752","0.0303974034386152","2"
"Sub-Tenant","1999","Not Working","Male","39","0.0223856500076586","0.0154585783747558","0.0293127216405614","2"
"Tenant","1999","Full Time","Female","","","","","5"
"Tenant","1999","Full Time","Male","","","","","5"
"Tenant","1999","Part Time","Male","","","","","5"
"Tenant","1999","Part Time","Female","","","","","5"
"Tenant","1999","Not Working","Male","","","","","5"
"Tenant","1999","Not Working","Female","","","","","5"
"Main Tenant","2000","Full Time","Male","3171","0.49521535311417","0.483317864705613","0.507112841522727","1"
"Main Tenant","2000","Full Time","Female","1822","0.585422516102799","0.568652097952867","0.602192934252731","1"
"Main Tenant","2000","Part Time","Male","871","0.583561683759557","0.559238897865904","0.607884469653209","1"
"Main Tenant","2000","Not Working","Male","1526","0.465066235721902","0.448030549341728","0.482101922102076","1"
"Main Tenant","2000","Part Time","Female","1645","0.488109436749131","0.471591821824722","0.504627051673539","1"
"Main Tenant","2000","Not Working","Female","2798","0.504895447441097","0.492001565601461","0.517789329280733","1"
"Nursing Home/Retirement Community","2000","Full Time","Male","1","","","","4"
"Nursing Home/Retirement Community","2000","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","2000","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","2000","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","2000","Not Working","Male","6","","","","4"
"Nursing Home/Retirement Community","2000","Not Working","Female","26","","","","4"
"Owner","2000","Full Time","Female","1421","0.390366612495303","0.373760153803109","0.406973071187498","3"
"Owner","2000","Full Time","Male","3524","0.488458142424029","0.47656327964624","0.500353005201818","3"
"Owner","2000","Part Time","Male","674","0.391064466890341","0.366987352923463","0.415141580857219","3"
"Owner","2000","Part Time","Female","1819","0.494524145953798","0.478002849215599","0.511045442691997","3"
"Owner","2000","Not Working","Female","2897","0.475188756030005","0.462310141569027","0.488067370490982","3"
"Owner","2000","Not Working","Male","1713","0.514211931381384","0.497141412496547","0.531282450266221","3"
"Sub-Tenant","2000","Full Time","Female","72","0.0242108714018975","0.0189786089194111","0.0294431338843839","2"
"Sub-Tenant","2000","Full Time","Male","88","0.0159316413722381","0.0129521092891824","0.0189111734552939","2"
"Sub-Tenant","2000","Part Time","Male","33","0.0253738493501025","0.0176148306229174","0.0331328680772876","2"
"Sub-Tenant","2000","Part Time","Female","54","0.0173664172970713","0.0130497250133728","0.0216831095807698","2"
"Sub-Tenant","2000","Not Working","Female","55","0.0120345151252763","0.00922248684806434","0.0148465434024882","2"
"Sub-Tenant","2000","Not Working","Male","48","0.0173536459678951","0.0128935293344885","0.0218137626013018","2"
"Tenant","2000","Full Time","Male","","","","","5"
"Tenant","2000","Full Time","Female","","","","","5"
"Tenant","2000","Part Time","Male","","","","","5"
"Tenant","2000","Part Time","Female","","","","","5"
"Tenant","2000","Not Working","Male","","","","","5"
"Tenant","2000","Not Working","Female","","","","","5"
"Main Tenant","2001","Full Time","Male","2835","0.494400955629689","0.48184199953679","0.506959911722587","1"
"Main Tenant","2001","Full Time","Female","1631","0.574891709716576","0.557192758601038","0.592590660832114","1"
"Main Tenant","2001","Part Time","Male","768","0.565922857156009","0.540350132537227","0.591495581774792","1"
"Main Tenant","2001","Part Time","Female","1584","0.492036326067842","0.475222011751786","0.508850640383899","1"
"Main Tenant","2001","Not Working","Male","1415","0.469761947338522","0.452052649168281","0.487471245508762","1"
"Main Tenant","2001","Not Working","Female","2443","0.49642828419759","0.482689969415177","0.510166598980003","1"
"Nursing Home/Retirement Community","2001","Full Time","Male","1","","","","4"
"Nursing Home/Retirement Community","2001","Full Time","Female","1","","","","4"
"Nursing Home/Retirement Community","2001","Part Time","Male","1","","","","4"
"Nursing Home/Retirement Community","2001","Part Time","Female","1","","","","4"
"Nursing Home/Retirement Community","2001","Not Working","Male","5","","","","4"
"Nursing Home/Retirement Community","2001","Not Working","Female","29","","","","4"
"Owner","2001","Full Time","Male","3172","0.489790507891665","0.477233382866587","0.502347632916743","3"
"Owner","2001","Full Time","Female","1302","0.401292137268269","0.38374353521646","0.418840739320079","3"
"Owner","2001","Part Time","Male","633","0.395512998249193","0.370284651630859","0.420741344867527","3"
"Owner","2001","Part Time","Female","1759","0.490855611539845","0.474041976699365","0.507669246380325","3"
"Owner","2001","Not Working","Male","1592","0.510558615012859","0.492820799406983","0.528296430618735","3"
"Owner","2001","Not Working","Female","2562","0.479088723590964","0.465362078858065","0.492815368323863","3"
"Sub-Tenant","2001","Full Time","Male","80","0.01576644714759","0.0126372943393649","0.0188955999558151","2"
"Sub-Tenant","2001","Part Time","Male","41","0.0368535505847905","0.0271327785781576","0.0465743225914235","2"
"Sub-Tenant","2001","Full Time","Female","63","0.0237850863187924","0.0183296460568534","0.0292405265807315","2"
"Sub-Tenant","2001","Part Time","Female","52","0.0170329918376499","0.0126810890036797","0.0213848946716201","2"
"Sub-Tenant","2001","Not Working","Male","39","0.0155203956522144","0.0111342631939846","0.0199065281104442","2"
"Sub-Tenant","2001","Not Working","Female","54","0.0143534710651561","0.0110852335773439","0.0176217085529683","2"
"Tenant","2001","Full Time","Male","","","","","5"
"Tenant","2001","Full Time","Female","","","","","5"
"Tenant","2001","Part Time","Male","","","","","5"
"Tenant","2001","Part Time","Female","","","","","5"
"Tenant","2001","Not Working","Male","","","","","5"
"Tenant","2001","Not Working","Female","","","","","5"
"Main Tenant","2002","Full Time","Male","2735","0.488480485587287","0.476280575914156","0.500680395260417","1"
"Main Tenant","2002","Full Time","Female","1613","0.578206468971013","0.560949673081186","0.595463264860841","1"
"Main Tenant","2002","Part Time","Male","792","0.583754748127856","0.559159285984401","0.608350210271311","1"
"Main Tenant","2002","Part Time","Female","1585","0.484952176951231","0.468870387541091","0.501033966361372","1"
"Main Tenant","2002","Not Working","Male","1408","0.465202794876207","0.447883072455899","0.482522517296516","1"
"Main Tenant","2002","Not Working","Female","2352","0.492681634431291","0.478991447060916","0.506371821801665","1"
"Nursing Home/Retirement Community","2002","Full Time","Male","1","","","","4"
"Nursing Home/Retirement Community","2002","Full Time","Female","2","","","","4"
"Nursing Home/Retirement Community","2002","Part Time","Male","1","","","","4"
"Nursing Home/Retirement Community","2002","Not Working","Male","3","","","","4"
"Nursing Home/Retirement Community","2002","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","2002","Not Working","Female","27","","","","4"
"Owner","2002","Full Time","Male","3633","0.496738212453274","0.48453532332145","0.508941101585098","3"
"Owner","2002","Full Time","Female","1472","0.396892738929638","0.379796420931219","0.413989056928056","3"
"Owner","2002","Part Time","Male","718","0.388124068085149","0.363808629881735","0.412439506288564","3"
"Owner","2002","Part Time","Female","2060","0.494703814480513","0.478615639704671","0.510791989256356","3"
"Owner","2002","Not Working","Male","1730","0.516281992589566","0.498929381968566","0.533634603210566","3"
"Owner","2002","Not Working","Female","2675","0.482579100700405","0.468895759665012","0.496262441735798","3"
"Sub-Tenant","2002","Full Time","Male","80","0.0147381336757157","0.0117971068537581","0.0176791604976733","2"
"Sub-Tenant","2002","Full Time","Female","59","0.0241079477613681","0.0187481334587399","0.0294677620639963","2"
"Sub-Tenant","2002","Part Time","Male","32","0.0264638402374337","0.0184550373577996","0.0344726431170678","2"
"Sub-Tenant","2002","Part Time","Female","65","0.0203440085682552","0.0158012861445745","0.024886730991936","2"
"Sub-Tenant","2002","Not Working","Male","45","0.0162763800400885","0.0118825761828864","0.0206701838972906","2"
"Sub-Tenant","2002","Not Working","Female","69","0.0152064154141611","0.011855434581538","0.0185573962467842","2"
"Tenant","2002","Full Time","Male","","","","","5"
"Tenant","2002","Full Time","Female","","","","","5"
"Tenant","2002","Part Time","Male","","","","","5"
"Tenant","2002","Part Time","Female","","","","","5"
"Tenant","2002","Not Working","Male","","","","","5"
"Tenant","2002","Not Working","Female","","","","","5"
"Main Tenant","2003","Full Time","Male","2524","0.498341274855524","0.4856729289512","0.511009620759849","1"
"Main Tenant","2003","Full Time","Female","1470","0.56721760780264","0.549335432490318","0.585099783114961","1"
"Main Tenant","2003","Part Time","Male","743","0.53893194590769","0.514059722609736","0.563804169205643","1"
"Main Tenant","2003","Part Time","Female","1551","0.474469482409456","0.458162284231134","0.490776680587778","1"
"Main Tenant","2003","Not Working","Male","1412","0.470648977189591","0.453365852021805","0.487932102357376","1"
"Main Tenant","2003","Not Working","Female","2255","0.489488442366072","0.47565320442572","0.503323680306424","1"
"Nursing Home/Retirement Community","2003","Full Time","Female","1","","","","4"
"Nursing Home/Retirement Community","2003","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","2003","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","2003","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","2003","Not Working","Female","29","","","","4"
"Nursing Home/Retirement Community","2003","Not Working","Male","4","","","","4"
"Owner","2003","Full Time","Female","1406","0.400685198445862","0.382998781604001","0.418371615287723","3"
"Owner","2003","Full Time","Male","3365","0.482622837666905","0.469962075218879","0.495283600114932","3"
"Owner","2003","Part Time","Male","762","0.427941063120937","0.403253541350537","0.452628584891337","3"
"Owner","2003","Part Time","Female","1991","0.503495521697181","0.487167422586826","0.519823620807537","3"
"Owner","2003","Not Working","Female","2651","0.480199071595772","0.466371630858863","0.494026512332681","3"
"Owner","2003","Not Working","Male","1733","0.505507379394957","0.488195449103886","0.522819309686029","3"
"Sub-Tenant","2003","Full Time","Male","95","0.0190358874775702","0.0155735816810567","0.0224981932740837","2"
"Sub-Tenant","2003","Full Time","Female","72","0.0320625102777742","0.0257043258491375","0.038420694706411","2"
"Sub-Tenant","2003","Part Time","Male","38","0.0331269909713731","0.024197209293909","0.0420567726488372","2"
"Sub-Tenant","2003","Part Time","Female","60","0.0220349958933625","0.0172410361721052","0.0268289556146199","2"
"Sub-Tenant","2003","Not Working","Male","55","0.0213615906771372","0.0163551420943226","0.0263680392599518","2"
"Sub-Tenant","2003","Not Working","Female","80","0.0205686293023393","0.016640350504099","0.0244969081005796","2"
"Tenant","2003","Full Time","Male","","","","","5"
"Tenant","2003","Part Time","Male","","","","","5"
"Tenant","2003","Full Time","Female","","","","","5"
"Tenant","2003","Part Time","Female","","","","","5"
"Tenant","2003","Not Working","Male","","","","","5"
"Tenant","2003","Not Working","Female","","","","","5"
"Main Tenant","2004","Full Time","Male","2355","0.491845145055448","0.478819762778605","0.504870527332292","1"
"Main Tenant","2004","Full Time","Female","1412","0.56197219647354","0.543660364674157","0.580284028272922","1"
"Main Tenant","2004","Part Time","Male","734","0.56659055867323","0.541537979039383","0.591643138307078","1"
"Main Tenant","2004","Part Time","Female","1499","0.498388858303646","0.48189242667081","0.514885289936483","1"
"Main Tenant","2004","Not Working","Female","2245","0.490297194372287","0.476377987878241","0.504216400866333","1"
"Main Tenant","2004","Not Working","Male","1438","0.486198113644409","0.469059408557897","0.50333681873092","1"
"Nursing Home/Retirement Community","2004","Full Time","Female","1","","","","4"
"Nursing Home/Retirement Community","2004","Full Time","Male","","","","","4"
"Nursing Home/Retirement Community","2004","Part Time","Male","1","","","","4"
"Nursing Home/Retirement Community","2004","Part Time","Female","1","","","","4"
"Nursing Home/Retirement Community","2004","Not Working","Male","5","","","","4"
"Nursing Home/Retirement Community","2004","Not Working","Female","32","0.0119403353408914","0.00891602670990566","0.0149646439718771","4"
"Owner","2004","Full Time","Male","3213","0.487703878262623","0.474680703075936","0.500727053449309","3"
"Owner","2004","Full Time","Female","1345","0.401707382170171","0.383613353863891","0.41980141047645","3"
"Owner","2004","Part Time","Male","730","0.406303327520603","0.381473363074647","0.431133291966558","3"
"Owner","2004","Part Time","Female","1962","0.48194387281206","0.465458115557745","0.498429630066375","3"
"Owner","2004","Not Working","Male","1785","0.495723275715321","0.478578664517229","0.512867886913414","3"
"Owner","2004","Not Working","Female","2612","0.478442714369803","0.464533831730548","0.492351597009059","3"
"Sub-Tenant","2004","Full Time","Male","91","0.0204509766819289","0.0167633380265181","0.0241386153373397","2"
"Sub-Tenant","2004","Full Time","Female","62","0.0362825567393181","0.0293809956215739","0.0431841178570624","2"
"Sub-Tenant","2004","Part Time","Male","38","0.0269597105090704","0.0187714505058878","0.0351479705122529","2"
"Sub-Tenant","2004","Part Time","Female","67","0.0195964185729843","0.0150232937032365","0.0241695434427322","2"
"Sub-Tenant","2004","Not Working","Male","39","0.0151620867579407","0.0109718805871907","0.0193522929286907","2"
"Sub-Tenant","2004","Not Working","Female","66","0.0193197559170185","0.0154871797685467","0.0231523320654903","2"
"Tenant","2004","Full Time","Female","","","","","5"
"Tenant","2004","Full Time","Male","","","","","5"
"Tenant","2004","Part Time","Male","","","","","5"
"Tenant","2004","Part Time","Female","","","","","5"
"Tenant","2004","Not Working","Male","","","","","5"
"Tenant","2004","Not Working","Female","","","","","5"
"Main Tenant","2005","Full Time","Male","2206","0.493221346492263","0.479840786750518","0.506601906234008","1"
"Main Tenant","2005","Full Time","Female","1337","0.579023228212773","0.560362450061408","0.597684006364139","1"
"Main Tenant","2005","Part Time","Male","687","0.583281238142361","0.557372571888796","0.609189904395926","1"
"Main Tenant","2005","Part Time","Female","1454","0.499434895393082","0.482723922679834","0.516145868106329","1"
"Main Tenant","2005","Not Working","Male","1415","0.495750775760392","0.478405908909863","0.51309564261092","1"
"Main Tenant","2005","Not Working","Female","2153","0.498335292996784","0.484096800985821","0.512573785007748","1"
"Nursing Home/Retirement Community","2005","Full Time","Male","1","","","","4"
"Nursing Home/Retirement Community","2005","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","2005","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","2005","Part Time","Female","1","","","","4"
"Nursing Home/Retirement Community","2005","Not Working","Female","32","0.0121465146442567","0.00902713304532622","0.0152658962431871","4"
"Nursing Home/Retirement Community","2005","Not Working","Male","5","","","","4"
"Owner","2005","Full Time","Male","3064","0.483482780987714","0.470108294992419","0.496857266983009","3"
"Owner","2005","Full Time","Female","1274","0.383138151168743","0.364763278210224","0.401513024127262","3"
"Owner","2005","Part Time","Male","672","0.382237600721319","0.356701065937852","0.407774135504785","3"
"Owner","2005","Part Time","Female","1932","0.478844812576107","0.462148793622337","0.495540831529877","3"
"Owner","2005","Not Working","Male","1725","0.483125580767573","0.465789968463363","0.500461193071783","3"
"Owner","2005","Not Working","Female","2462","0.465035337980461","0.450831623809196","0.479239052151726","3"
"Sub-Tenant","2005","Full Time","Male","92","0.0232485047891985","0.0192154534700121","0.0272815561083849","2"
"Sub-Tenant","2005","Part Time","Male","32","0.0344811611363205","0.024892546980357","0.044069775292284","2"
"Sub-Tenant","2005","Full Time","Female","78","0.0378386206184839","0.0306268102559719","0.0450504309809958","2"
"Sub-Tenant","2005","Part Time","Female","52","0.0216485641462848","0.0167845593459275","0.0265125689466421","2"
"Sub-Tenant","2005","Not Working","Male","47","0.0182724184351412","0.0136260872564803","0.022918749613802","2"
"Sub-Tenant","2005","Not Working","Female","90","0.0244828543784975","0.0200819201630098","0.0288837885939853","2"
"Tenant","2005","Full Time","Male","","","","","5"
"Tenant","2005","Full Time","Female","","","","","5"
"Tenant","2005","Part Time","Male","","","","","5"
"Tenant","2005","Part Time","Female","","","","","5"
"Tenant","2005","Not Working","Male","","","","","5"
"Tenant","2005","Not Working","Female","","","","","5"
"Main Tenant","2006","Full Time","Male","2284","0.499401298791699","0.486324415900977","0.51247818168242","1"
"Main Tenant","2006","Full Time","Female","1401","0.579726973141841","0.561544386363421","0.59790955992026","1"
"Main Tenant","2006","Part Time","Male","684","0.560379371105303","0.534581825185627","0.58617691702498","1"
"Main Tenant","2006","Part Time","Female","1503","0.494499939482729","0.478192789177953","0.510807089787506","1"
"Main Tenant","2006","Not Working","Male","1548","0.49538774038589","0.47913869070191","0.511636790069871","1"
"Main Tenant","2006","Not Working","Female","2386","0.51828092470295","0.504780351636518","0.531781497769382","1"
"Nursing Home/Retirement Community","2006","Full Time","Male","2","","","","4"
"Nursing Home/Retirement Community","2006","Full Time","Female","1","","","","4"
"Nursing Home/Retirement Community","2006","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","2006","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","2006","Not Working","Male","8","","","","4"
"Nursing Home/Retirement Community","2006","Not Working","Female","37","0.0101017442515271","0.00739986377457542","0.0128036247284787","4"
"Owner","2006","Full Time","Male","3239","0.482829784936267","0.469760605507041","0.495898964365493","3"
"Owner","2006","Full Time","Female","1358","0.379344482548833","0.361470540214231","0.397218424883435","3"
"Owner","2006","Part Time","Male","705","0.405325554941596","0.379807949159502","0.430843160723691","3"
"Owner","2006","Part Time","Female","2054","0.485584122706266","0.469282765349975","0.501885480062558","3"
"Owner","2006","Not Working","Male","2036","0.485745857755959","0.469502721303315","0.501988994208603","3"
"Owner","2006","Not Working","Female","2764","0.451783815365627","0.438337170658342","0.465230460072913","3"
"Sub-Tenant","2006","Full Time","Male","91","0.0171178849291771","0.0137254595072653","0.0205103103510888","2"
"Sub-Tenant","2006","Full Time","Female","71","0.0408437508458619","0.0335527752294149","0.0481347264623088","2"
"Sub-Tenant","2006","Part Time","Male","33","0.0342950739531003","0.0248362664316025","0.043753881474598","2"
"Sub-Tenant","2006","Part Time","Female","54","0.0199159378110042","0.0153590704137255","0.0244728052082829","2"
"Sub-Tenant","2006","Not Working","Male","45","0.015656241786294","0.0116217057750783","0.0196907777975096","2"
"Sub-Tenant","2006","Not Working","Female","75","0.0198335156798959","0.016066282997101","0.0236007483626909","2"
"Tenant","2006","Full Time","Male","","","","","5"
"Tenant","2006","Part Time","Male","","","","","5"
"Tenant","2006","Full Time","Female","","","","","5"
"Tenant","2006","Part Time","Female","","","","","5"
"Tenant","2006","Not Working","Male","","","","","5"
"Tenant","2006","Not Working","Female","","","","","5"
"Main Tenant","2007","Full Time","Male","2114","0.484072793023174","0.470549467559429","0.497596118486919","1"
"Main Tenant","2007","Full Time","Female","1281","0.564695107139511","0.54577180982572","0.583618404453302","1"
"Main Tenant","2007","Part Time","Male","643","0.572924090713895","0.54600383492233","0.59984434650546","1"
"Main Tenant","2007","Part Time","Female","1457","0.500319261282047","0.483591247900055","0.517047274664039","1"
"Main Tenant","2007","Not Working","Male","1453","0.483699782777071","0.467033988197508","0.500365577356634","1"
"Main Tenant","2007","Not Working","Female","2209","0.508067127922029","0.494067778882017","0.52206647696204","1"
