"hlf0001_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","2002","West Germany","Male","3604","0.474816306403179","0.464220948108465","0.485411664697893","1"
"Main Tenant","2002","West Germany","Female","4039","0.488203080840036","0.477969979947073","0.498436181732998","1"
"Main Tenant","2002","East Germany","Male","1331","0.578173556953946","0.559353052239428","0.596994061668464","1"
"Main Tenant","2002","East Germany","Female","1511","0.607411697784409","0.589366008380742","0.625457387188076","1"
"Nursing Home/Retirement Community","2002","East Germany","Male","1","","","","4"
"Nursing Home/Retirement Community","2002","East Germany","Female","6","","","","4"
"Nursing Home/Retirement Community","2002","West Germany","Male","4","","","","4"
"Nursing Home/Retirement Community","2002","West Germany","Female","23","","","","4"
"Owner","2002","East Germany","Female","1234","0.364694261944967","0.346906591320328","0.382481932569606","3"
"Owner","2002","East Germany","Male","1263","0.404158666977704","0.385457163844689","0.422860170110719","3"
"Owner","2002","West Germany","Female","4973","0.489272375206405","0.479038781114772","0.499505969298039","3"
"Owner","2002","West Germany","Male","4818","0.507317331517688","0.496709644179647","0.517925018855729","3"
"Sub-Tenant","2002","East Germany","Female","62","0.0232858089839777","0.0177127628380774","0.028858855129878","2"
"Sub-Tenant","2002","West Germany","Male","107","0.0169669088637175","0.0142267064127113","0.0197071113147236","2"
"Sub-Tenant","2002","East Germany","Male","50","0.0164481128671083","0.0116009018167753","0.0212953239174412","2"
"Sub-Tenant","2002","West Germany","Female","131","0.0177046821459656","0.0150049338938876","0.0204044303980435","2"
"Tenant","2002","West Germany","Female","","","","","5"
"Tenant","2002","West Germany","Male","","","","","5"
"Tenant","2002","East Germany","Male","","","","","5"
"Tenant","2002","East Germany","Female","","","","","5"
"Main Tenant","2003","West Germany","Male","3394","0.47786315221381","0.467008566419351","0.48871773800827","1"
"Main Tenant","2003","West Germany","Female","3824","0.48345977392711","0.4730129109145","0.493906636939719","1"
"Main Tenant","2003","East Germany","Male","1285","0.569468258740729","0.550420973048228","0.588515544433229","1"
"Main Tenant","2003","East Germany","Female","1452","0.589843824005595","0.571546755839101","0.608140892172088","1"
"Nursing Home/Retirement Community","2003","West Germany","Female","25","","","","4"
"Nursing Home/Retirement Community","2003","East Germany","Female","5","","","","4"
"Nursing Home/Retirement Community","2003","West Germany","Male","4","","","","4"
"Nursing Home/Retirement Community","2003","East Germany","Male","","","","","4"
"Owner","2003","East Germany","Male","1251","0.407047132584818","0.388148595656729","0.425945669512907","3"
"Owner","2003","East Germany","Female","1250","0.375092889260319","0.357082814774941","0.393102963745697","3"
"Owner","2003","West Germany","Female","4798","0.489650241960696","0.479199897715118","0.500100586206274","3"
"Owner","2003","West Germany","Male","4609","0.499621417178824","0.488756180470528","0.51048665388712","3"
"Sub-Tenant","2003","East Germany","Female","69","0.0308914939477712","0.0244550792371876","0.0373279086583547","2"
"Sub-Tenant","2003","West Germany","Female","143","0.0219658822420685","0.0189017678020825","0.0250299966820546","2"
"Sub-Tenant","2003","East Germany","Male","60","0.0234846086744534","0.0176591924999694","0.0293100248489375","2"
"Sub-Tenant","2003","West Germany","Male","128","0.0215130689643314","0.0183602574217175","0.0246658805069454","2"
"Tenant","2003","West Germany","Female","","","","","5"
"Tenant","2003","West Germany","Male","","","","","5"
"Tenant","2003","East Germany","Male","","","","","5"
"Tenant","2003","East Germany","Female","","","","","5"
"Main Tenant","2004","West Germany","Male","3300","0.483948542324432","0.472940404303257","0.494956680345606","1"
"Main Tenant","2004","West Germany","Female","3728","0.488010095056705","0.477421680304054","0.498598509809355","1"
"Main Tenant","2004","East Germany","Male","1227","0.574178687415741","0.554842292613837","0.593515082217646","1"
"Main Tenant","2004","East Germany","Female","1428","0.601113594513905","0.582788843609705","0.619438345418105","1"
"Nursing Home/Retirement Community","2004","West Germany","Female","26","","","","4"
"Nursing Home/Retirement Community","2004","East Germany","Male","","","","","4"
"Nursing Home/Retirement Community","2004","East Germany","Female","8","","","","4"
"Nursing Home/Retirement Community","2004","West Germany","Male","6","","","","4"
"Owner","2004","East Germany","Female","1248","0.366035269497654","0.348008031062195","0.384062507933112","3"
"Owner","2004","East Germany","Male","1222","0.399147001906624","0.379996117914527","0.418297885898722","3"
"Owner","2004","West Germany","Female","4671","0.483753720929896","0.473167853058973","0.49433958880082","3"
"Owner","2004","West Germany","Male","4506","0.496834744171903","0.485821149978069","0.507848338365737","3"
"Sub-Tenant","2004","East Germany","Male","63","0.0266743106776343","0.0203732455418504","0.0329753758134182","2"
"Sub-Tenant","2004","East Germany","Female","59","0.0262555758762634","0.0202718945900056","0.0322392571625212","2"
"Sub-Tenant","2004","West Germany","Female","136","0.0225534508980201","0.0194083190770149","0.0256985827190253","2"
"Sub-Tenant","2004","West Germany","Male","105","0.0179622442124095","0.0150366629925366","0.0208878254322825","2"
"Tenant","2004","West Germany","Male","","","","","5"
"Tenant","2004","West Germany","Female","","","","","5"
"Tenant","2004","East Germany","Male","","","","","5"
"Tenant","2004","East Germany","Female","","","","","5"
"Main Tenant","2005","West Germany","Male","3142","0.490891345342623","0.47958941482635","0.502193275858897","1"
"Main Tenant","2005","West Germany","Female","3601","0.498812573522231","0.488011567958671","0.509613579085791","1"
"Main Tenant","2005","East Germany","Male","1166","0.579716299787448","0.560090652764824","0.599341946810072","1"
"Main Tenant","2005","East Germany","Female","1343","0.600080025151252","0.581368301493577","0.618791748808928","1"
"Nursing Home/Retirement Community","2005","West Germany","Male","5","","","","4"
"Nursing Home/Retirement Community","2005","East Germany","Male","1","","","","4"
"Nursing Home/Retirement Community","2005","West Germany","Female","22","","","","4"
"Nursing Home/Retirement Community","2005","East Germany","Female","11","","","","4"
"Owner","2005","West Germany","Female","4445","0.469850360313371","0.459068978473371","0.480631742153371","3"
"Owner","2005","East Germany","Male","1215","0.399766733178929","0.380290349981487","0.41924311637637","3"
"Owner","2005","East Germany","Female","1223","0.362128187801393","0.343770392092499","0.380485983510286","3"
"Owner","2005","West Germany","Male","4246","0.483985412731715","0.472687405955181","0.495283419508249","3"
"Sub-Tenant","2005","East Germany","Female","56","0.0295034432739927","0.0230401179960361","0.0359667685519492","2"
"Sub-Tenant","2005","East Germany","Male","48","0.020386110786814","0.0147673620524767","0.0260048595211513","2"
"Sub-Tenant","2005","West Germany","Male","123","0.0239623356269509","0.0205049122252884","0.0274197590286133","2"
"Sub-Tenant","2005","West Germany","Female","164","0.0261172269928887","0.0226720440860633","0.0295624098997141","2"
"Tenant","2005","West Germany","Male","","","","","5"
"Tenant","2005","West Germany","Female","","","","","5"
"Tenant","2005","East Germany","Male","","","","","5"
"Tenant","2005","East Germany","Female","","","","","5"
"Main Tenant","2006","West Germany","Male","3289","0.491188192357521","0.480291773924303","0.502084610790739","1"
"Main Tenant","2006","West Germany","Female","3862","0.507512189831577","0.497126157451855","0.517898222211299","1"
"Main Tenant","2006","East Germany","Male","1227","0.573182810168842","0.554130414349785","0.5922352059879","1"
"Main Tenant","2006","East Germany","Female","1428","0.604644217656737","0.586544135687764","0.62274429962571","1"
"Nursing Home/Retirement Community","2006","East Germany","Female","12","","","","4"
"Nursing Home/Retirement Community","2006","West Germany","Male","7","","","","4"
"Nursing Home/Retirement Community","2006","West Germany","Female","26","","","","4"
"Nursing Home/Retirement Community","2006","East Germany","Male","3","","","","4"
"Owner","2006","East Germany","Male","1297","0.397080985739582","0.378233600756979","0.415928370722186","3"
"Owner","2006","West Germany","Female","4877","0.463765820925834","0.453405927071183","0.474125714780485","3"
"Owner","2006","West Germany","Male","4683","0.490451622398249","0.47955549877734","0.501347746019157","3"
"Owner","2006","East Germany","Female","1299","0.361940787337327","0.344150383877192","0.379731190797461","3"
"Sub-Tenant","2006","West Germany","Female","136","0.0243031330822498","0.0211041107031801","0.0275021554613194","2"
"Sub-Tenant","2006","East Germany","Female","64","0.0262219641705125","0.0203063595535098","0.0321375687875152","2"
"Sub-Tenant","2006","East Germany","Male","62","0.0284010664165646","0.022002349394909","0.0347997834382202","2"
"Sub-Tenant","2006","West Germany","Male","107","0.0169090966541608","0.0140988899559377","0.0197193033523839","2"
"Tenant","2006","West Germany","Male","","","","","5"
"Tenant","2006","West Germany","Female","","","","","5"
"Tenant","2006","East Germany","Male","","","","","5"
"Tenant","2006","East Germany","Female","","","","","5"
"Main Tenant","2007","West Germany","Male","3039","0.481394521282336","0.470113542873325","0.492675499691347","1"
"Main Tenant","2007","West Germany","Female","3581","0.49872167878608","0.487974720845804","0.509468636726355","1"
"Main Tenant","2007","East Germany","Female","1366","0.606571258482414","0.587982370006361","0.625160146958467","1"
"Main Tenant","2007","East Germany","Male","1171","0.559861869861367","0.540249628633955","0.579474111088779","1"
"Nursing Home/Retirement Community","2007","West Germany","Female","28","","","","4"
"Nursing Home/Retirement Community","2007","East Germany","Female","13","","","","4"
"Nursing Home/Retirement Community","2007","West Germany","Male","9","","","","4"
"Nursing Home/Retirement Community","2007","East Germany","Male","2","","","","4"
"Owner","2007","West Germany","Male","4380","0.496396127949243","0.485107624525725","0.507684631372762","3"
"Owner","2007","West Germany","Female","4570","0.472088435498986","0.461358200507541","0.48281867049043","3"
"Owner","2007","East Germany","Male","1238","0.407689556956544","0.388274808298046","0.427104305615042","3"
"Owner","2007","East Germany","Female","1219","0.358311139412198","0.3400649629312","0.376557315893195","3"
"Sub-Tenant","2007","East Germany","Male","50","0.0318059770577451","0.0248728708454628","0.0387390832700273","2"
"Sub-Tenant","2007","West Germany","Female","136","0.0239269758641775","0.0206422281042443","0.0272117236241107","2"
"Sub-Tenant","2007","East Germany","Female","55","0.02649027652915","0.0203795498532025","0.0326010032050974","2"
"Sub-Tenant","2007","West Germany","Male","108","0.0200041312721434","0.0168429484269397","0.0231653141173471","2"
"Tenant","2007","West Germany","Male","","","","","5"
"Tenant","2007","West Germany","Female","","","","","5"
"Tenant","2007","East Germany","Male","","","","","5"
"Tenant","2007","East Germany","Female","","","","","5"
"Main Tenant","2008","West Germany","Male","2786","0.474141736682804","0.462485112891165","0.485798360474442","1"
"Main Tenant","2008","West Germany","Female","3278","0.490335467674273","0.479244273186431","0.501426662162115","1"
"Main Tenant","2008","East Germany","Male","1104","0.547240636148272","0.527055366198777","0.567425906097766","1"
"Main Tenant","2008","East Germany","Female","1292","0.588532357383449","0.569230822916157","0.60783389185074","1"
"Nursing Home/Retirement Community","2008","East Germany","Male","2","","","","4"
"Nursing Home/Retirement Community","2008","West Germany","Male","9","","","","4"
"Nursing Home/Retirement Community","2008","West Germany","Female","27","","","","4"
"Nursing Home/Retirement Community","2008","East Germany","Female","11","","","","4"
"Owner","2008","West Germany","Female","4365","0.481146831942031","0.470061453797473","0.492232210086588","3"
"Owner","2008","West Germany","Male","4155","0.504292565337413","0.492620751964651","0.515964378710175","3"
"Owner","2008","East Germany","Female","1143","0.373127066430489","0.354157519598276","0.392096613262702","3"
"Owner","2008","East Germany","Male","1180","0.413311787596619","0.393342882691022","0.433280692502215","3"
"Sub-Tenant","2008","West Germany","Male","99","0.0191669243642833","0.0159661275832414","0.0223677211453252","2"
"Sub-Tenant","2008","East Germany","Male","50","0.0387982118376701","0.0309670750159618","0.0466293486593785","2"
"Sub-Tenant","2008","East Germany","Female","51","0.0300953496312764","0.0233941425738383","0.0367965566887145","2"
"Sub-Tenant","2008","West Germany","Female","134","0.0230180755285013","0.0196909649862549","0.0263451860707477","2"
"Tenant","2008","West Germany","Male","","","","","5"
"Tenant","2008","West Germany","Female","","","","","5"
"Tenant","2008","East Germany","Male","","","","","5"
"Tenant","2008","East Germany","Female","","","","","5"
"Main Tenant","2009","West Germany","Male","2576","0.467351368178703","0.455283242649131","0.479419493708276","1"
"Main Tenant","2009","West Germany","Female","3040","0.487438129508768","0.475896583274398","0.498979675743139","1"
"Main Tenant","2009","East Germany","Male","1008","0.530567506551548","0.509755826944077","0.551379186159019","1"
"Main Tenant","2009","East Germany","Female","1209","0.591941334130483","0.57220862537371","0.611674042887255","1"
"Nursing Home/Retirement Community","2009","East Germany","Female","7","","","","4"
"Nursing Home/Retirement Community","2009","West Germany","Male","10","","","","4"
"Nursing Home/Retirement Community","2009","East Germany","Male","1","","","","4"
"Nursing Home/Retirement Community","2009","West Germany","Female","24","","","","4"
"Owner","2009","West Germany","Male","3883","0.509046003301","0.496954047035615","0.521137959566385","3"
"Owner","2009","West Germany","Female","4015","0.483708005900637","0.472168945901393","0.495247065899881","3"
"Owner","2009","East Germany","Male","1141","0.434793220300627","0.414120611031392","0.455465829569862","3"
"Owner","2009","East Germany","Female","1102","0.374068477111975","0.354640613875791","0.39349634034816","3"
"Sub-Tenant","2009","West Germany","Female","126","0.0238156542742668","0.020294960303876","0.0273363482446576","2"
"Sub-Tenant","2009","East Germany","Female","65","0.0295882641758068","0.022784898200706","0.0363916301509076","2"
"Sub-Tenant","2009","West Germany","Male","97","0.0210127478555935","0.0175435617785163","0.0244819339326708","2"
"Sub-Tenant","2009","East Germany","Male","59","0.0345164808140675","0.0269038298075275","0.0421291318206075","2"
"Tenant","2009","West Germany","Male","","","","","5"
"Tenant","2009","West Germany","Female","","","","","5"
"Tenant","2009","East Germany","Male","","","","","5"
"Tenant","2009","East Germany","Female","","","","","5"
"Main Tenant","2010","West Germany","Male","3690","0.459179088593254","0.448641432515402","0.469716744671106","1"
"Main Tenant","2010","West Germany","Female","4997","0.485853692307193","0.476203381954139","0.495504002660246","1"
"Main Tenant","2010","East Germany","Male","1252","0.531132061198786","0.511728909201527","0.550535213196046","1"
"Main Tenant","2010","East Germany","Female","1669","0.57900846617408","0.561329521992567","0.596687410355593","1"
"Nursing Home/Retirement Community","2010","East Germany","Female","8","","","","4"
"Nursing Home/Retirement Community","2010","West Germany","Female","25","","","","4"
"Nursing Home/Retirement Community","2010","West Germany","Male","12","","","","4"
"Nursing Home/Retirement Community","2010","East Germany","Male","3","","","","4"
"Owner","2010","West Germany","Male","4786","0.517533238963124","0.506966790121131","0.528099687805117","3"
"Owner","2010","East Germany","Female","1243","0.389173801283736","0.37171526568964","0.406632336877832","3"
"Owner","2010","East Germany","Male","1233","0.440678237363438","0.421374676949843","0.459981797777032","3"
"Owner","2010","West Germany","Female","5139","0.487649665533394","0.477998436024666","0.497300895042122","3"
"Sub-Tenant","2010","West Germany","Female","143","0.0215576744889753","0.0187534438080308","0.0243619051699198","2"
"Sub-Tenant","2010","East Germany","Male","53","0.0273085391971324","0.0209715561579714","0.0336455222362935","2"
"Sub-Tenant","2010","East Germany","Female","76","0.0275517921451014","0.0216906081726208","0.0334129761175821","2"
"Sub-Tenant","2010","West Germany","Male","103","0.0199270075300486","0.0169718782514982","0.0228821368085989","2"
"Tenant","2010","East Germany","Male","","","","","5"
"Tenant","2010","West Germany","Male","","","","","5"
"Tenant","2010","West Germany","Female","","","","","5"
"Tenant","2010","East Germany","Female","","","","","5"
"Main Tenant","2011","West Germany","Male","4260","0.44899971325198","0.43936780692322","0.458631619580741","1"
"Main Tenant","2011","West Germany","Female","5839","0.476019051321688","0.467213756307193","0.484824346336184","1"
"Main Tenant","2011","East Germany","Male","1485","0.541294715875544","0.523270605813059","0.559318825938029","1"
"Main Tenant","2011","East Germany","Female","2016","0.600960245362699","0.584683157797699","0.617237332927698","1"
"Nursing Home/Retirement Community","2011","East Germany","Male","6","","","","4"
"Nursing Home/Retirement Community","2011","East Germany","Female","10","","","","4"
"Nursing Home/Retirement Community","2011","West Germany","Female","28","","","","4"
"Nursing Home/Retirement Community","2011","West Germany","Male","15","","","","4"
"Owner","2011","East Germany","Female","1397","0.37789290015658","0.361776698578598","0.394009101734563","3"
"Owner","2011","West Germany","Male","5847","0.529659522637037","0.519994166159209","0.539324879114864","3"
"Owner","2011","West Germany","Female","6349","0.501313894820835","0.492498485134633","0.510129304507036","3"
"Owner","2011","East Germany","Male","1394","0.429287628622881","0.411383512112944","0.447191745132819","3"
"Sub-Tenant","2011","West Germany","Male","122","0.0187633023920692","0.0161357291166075","0.0213908756675309","2"
"Sub-Tenant","2011","East Germany","Male","51","0.0272692495986339","0.0213780602509012","0.0331604389463666","2"
"Sub-Tenant","2011","West Germany","Female","142","0.0181291681283003","0.0157768821854339","0.0204814540711668","2"
"Sub-Tenant","2011","East Germany","Female","54","0.0173100825609321","0.0129749381874464","0.0216452269344178","2"
"Tenant","2011","East Germany","Male","","","","","5"
"Tenant","2011","West Germany","Male","","","","","5"
"Tenant","2011","West Germany","Female","","","","","5"
"Tenant","2011","East Germany","Female","","","","","5"
"Main Tenant","2012","West Germany","Male","4155","0.453696320127315","0.443930797375229","0.463461842879401","1"
"Main Tenant","2012","West Germany","Female","5637","0.478496984740482","0.469563756218702","0.487430213262262","1"
"Main Tenant","2012","East Germany","Male","1475","0.54270914210766","0.524502348106888","0.560915936108432","1"
"Main Tenant","2012","East Germany","Female","1975","0.597779884677946","0.581307523474145","0.614252245881746","1"
"Nursing Home/Retirement Community","2012","East Germany","Female","10","","","","4"
"Nursing Home/Retirement Community","2012","East Germany","Male","5","","","","4"
"Nursing Home/Retirement Community","2012","West Germany","Male","9","","","","4"
"Nursing Home/Retirement Community","2012","West Germany","Female","19","","","","4"
"Owner","2012","East Germany","Female","1347","0.369073993613536","0.352863387552907","0.385284599674165","3"
"Owner","2012","East Germany","Male","1340","0.429995490700083","0.411901900638819","0.448089080761347","3"
"Owner","2012","West Germany","Female","6225","0.500248391485759","0.491306891503938","0.50918989146758","3"
"Owner","2012","West Germany","Male","5722","0.529115992270744","0.519324965919227","0.538907018622261","3"
"Sub-Tenant","2012","East Germany","Female","72","0.0292542908548789","0.0235931906453877","0.0349153910643702","2"
"Sub-Tenant","2012","West Germany","Male","98","0.0156524037026666","0.0132176189820177","0.0180871884233156","2"
"Sub-Tenant","2012","West Germany","Female","131","0.0181731329610025","0.015784371480357","0.020561894441648","2"
"Sub-Tenant","2012","East Germany","Male","56","0.0255791299216779","0.0198092095111341","0.0313490503322217","2"
"Tenant","2012","West Germany","Female","","","","","5"
"Tenant","2012","East Germany","Male","","","","","5"
"Tenant","2012","West Germany","Male","","","","","5"
"Tenant","2012","East Germany","Female","","","","","5"
"Main Tenant","2013","West Germany","Male","5460","0.456250209610095","0.447131802490455","0.465368616729736","1"
"Main Tenant","2013","West Germany","Female","7035","0.476909215395906","0.468519222180483","0.485299208611329","1"
"Main Tenant","2013","East Germany","Male","1504","0.51961927763527","0.501267008466811","0.537971546803729","1"
"Main Tenant","2013","East Germany","Female","2007","0.580418035458917","0.563813183167659","0.597022887750175","1"
"Nursing Home/Retirement Community","2013","East Germany","Female","10","","","","4"
"Nursing Home/Retirement Community","2013","West Germany","Female","23","","","","4"
"Nursing Home/Retirement Community","2013","East Germany","Male","7","","","","4"
"Nursing Home/Retirement Community","2013","West Germany","Male","8","","","","4"
"Owner","2013","East Germany","Female","1312","0.389517947381406","0.373109920908042","0.405925973854769","3"
"Owner","2013","East Germany","Male","1286","0.449557256689457","0.431284547648037","0.467829965730877","3"
"Owner","2013","West Germany","Male","5867","0.529129823000131","0.519991855661759","0.538267790338502","3"
"Owner","2013","West Germany","Female","6408","0.503846451741468","0.495447745895703","0.512245157587233","3"
"Sub-Tenant","2013","West Germany","Female","148","0.0155872432244021","0.0135064520819016","0.0176680343669026","2"
"Sub-Tenant","2013","East Germany","Female","64","0.0258623967770793","0.0205216658229217","0.0312031277312369","2"
"Sub-Tenant","2013","West Germany","Male","127","0.0134244142077734","0.0113175781485119","0.0155312502670348","2"
"Sub-Tenant","2013","East Germany","Male","50","0.0276997343359129","0.0216714689735773","0.0337279996982486","2"
"Tenant","2013","East Germany","Male","","","","","5"
"Tenant","2013","East Germany","Female","","","","","5"
"Tenant","2013","West Germany","Female","","","","","5"
"Tenant","2013","West Germany","Male","","","","","5"
"Main Tenant","2014","West Germany","Male","4711","0.46490528741124","0.455214543557695","0.474596031264785","1"
"Main Tenant","2014","West Germany","Female","5936","0.474501317328772","0.465531787489679","0.483470847167866","1"
"Main Tenant","2014","East Germany","Male","1386","0.536057028660217","0.516910119249691","0.555203938070742","1"
"Main Tenant","2014","East Germany","Female","1822","0.591086087593481","0.573774029674078","0.608398145512884","1"
"Nursing Home/Retirement Community","2014","East Germany","Male","6","","","","4"
"Nursing Home/Retirement Community","2014","West Germany","Female","22","","","","4"
"Nursing Home/Retirement Community","2014","East Germany","Female","8","","","","4"
"Nursing Home/Retirement Community","2014","West Germany","Male","9","","","","4"
"Owner","2014","East Germany","Female","1203","0.369083342028258","0.352090907564373","0.386075776492144","3"
"Owner","2014","East Germany","Male","1171","0.432058497181908","0.413039659854186","0.451077334509631","3"
"Owner","2014","West Germany","Female","5810","0.505362968360263","0.496382268692928","0.514343668027597","3"
"Owner","2014","West Germany","Male","5350","0.521869279263797","0.51216387271303","0.531574685814563","3"
"Sub-Tenant","2014","East Germany","Male","43","0.0289273463772465","0.0224924575922783","0.0353622351622148","2"
"Sub-Tenant","2014","East Germany","Female","65","0.0357227731844259","0.0291872415299736","0.0422583048388783","2"
"Sub-Tenant","2014","West Germany","Male","106","0.0118154939077977","0.00971604890515778","0.0139149389104377","2"
"Sub-Tenant","2014","West Germany","Female","138","0.0168589215198744","0.0145463883664445","0.0191714546733043","2"
"Tenant","2014","East Germany","Male","","","","","5"
"Tenant","2014","West Germany","Female","","","","","5"
"Tenant","2014","East Germany","Female","","","","","5"
"Tenant","2014","West Germany","Male","","","","","5"
"Main Tenant","2015","West Germany","Male","4878","0.460593026960429","0.450888494911344","0.470297559009514","1"
"Main Tenant","2015","West Germany","Female","6087","0.472839779501333","0.463845723533148","0.481833835469518","1"
"Main Tenant","2015","East Germany","Male","1375","0.549733213603828","0.530362049043654","0.569104378164002","1"
"Main Tenant","2015","East Germany","Female","1790","0.598580334143362","0.581060018677202","0.616100649609521","1"
"Nursing Home/Retirement Community","2015","East Germany","Male","5","","","","4"
"Nursing Home/Retirement Community","2015","East Germany","Female","7","","","","4"
"Nursing Home/Retirement Community","2015","West Germany","Male","12","","","","4"
"Nursing Home/Retirement Community","2015","West Germany","Female","24","","","","4"
"Owner","2015","East Germany","Female","1152","0.372366012319741","0.355086971894906","0.389645052744576","3"
"Owner","2015","East Germany","Male","1115","0.429304392391121","0.410032262382885","0.448576522399358","3"
"Owner","2015","West Germany","Female","5581","0.508180074002921","0.499173924679767","0.517186223326075","3"
"Owner","2015","West Germany","Male","5093","0.519563001316535","0.509835641694475","0.529290360938596","3"
"Sub-Tenant","2015","West Germany","Male","151","0.0180492299521815","0.0154572488097354","0.0206412110946277","2"
"Sub-Tenant","2015","East Germany","Female","58","0.0250735438785694","0.0194853023880703","0.0306617853690685","2"
"Sub-Tenant","2015","East Germany","Male","39","0.0175626081914022","0.0124482430212208","0.0226769733615835","2"
"Sub-Tenant","2015","West Germany","Female","145","0.015577736291122","0.0133468873964569","0.0178085851857871","2"
"Tenant","2015","East Germany","Male","","","","","5"
"Tenant","2015","West Germany","Female","","","","","5"
"Tenant","2015","East Germany","Female","","","","","5"
"Tenant","2015","West Germany","Male","","","","","5"
"Main Tenant","2016","West Germany","Male","4238","0.459107653044272","0.448869064762436","0.469346241326108","1"
"Main Tenant","2016","West Germany","Female","5374","0.472475380313611","0.463010593710746","0.481940166916475","1"
"Main Tenant","2016","East Germany","Male","1241","0.533282486747346","0.513111837865554","0.553453135629137","1"
"Main Tenant","2016","East Germany","Female","1629","0.582611779275435","0.564404824168291","0.600818734382578","1"
"Nursing Home/Retirement Community","2016","West Germany","Female","26","","","","4"
"Nursing Home/Retirement Community","2016","East Germany","Female","7","","","","4"
"Nursing Home/Retirement Community","2016","West Germany","Male","9","","","","4"
"Nursing Home/Retirement Community","2016","East Germany","Male","4","","","","4"
"Owner","2016","East Germany","Male","1060","0.432356910145778","0.412327274933749","0.452386545357807","3"
"Owner","2016","East Germany","Female","1125","0.381832803079728","0.363895085077283","0.399770521082173","3"
"Owner","2016","West Germany","Female","5152","0.505112879624482","0.495634214823558","0.514591544425406","3"
"Owner","2016","West Germany","Male","4734","0.520479557201124","0.510215175437328","0.530743938964919","3"
"Sub-Tenant","2016","West Germany","Male","119","0.0187483718159833","0.0159616130946212","0.0215351305373454","2"
"Sub-Tenant","2016","West Germany","Female","136","0.0175749891974224","0.0150838550953993","0.0200661232994455","2"
"Sub-Tenant","2016","East Germany","Female","57","0.0315573708623577","0.0251028359755012","0.0380119057492142","2"
"Sub-Tenant","2016","East Germany","Male","45","0.0313527139091653","0.0243068449357352","0.0383985828825954","2"
"Tenant","2016","West Germany","Female","","","","","5"
"Tenant","2016","East Germany","Male","","","","","5"
"Tenant","2016","West Germany","Male","","","","","5"
"Tenant","2016","East Germany","Female","","","","","5"
"Main Tenant","2017","West Germany","Male","5783","0.459743327348728","0.450547848720314","0.468938805977143","1"
"Main Tenant","2017","West Germany","Female","6630","0.471926131733635","0.463189747400751","0.48066251606652","1"
"Main Tenant","2017","East Germany","Male","1625","0.541450402588863","0.523333965726979","0.559566839450746","1"
"Main Tenant","2017","East Germany","Female","1946","0.57037144393923","0.553502387255351","0.587240500623109","1"
"Nursing Home/Retirement Community","2017","West Germany","Female","27","","","","4"
"Nursing Home/Retirement Community","2017","East Germany","Male","6","","","","4"
"Nursing Home/Retirement Community","2017","East Germany","Female","10","","","","4"
"Nursing Home/Retirement Community","2017","West Germany","Male","14","","","","4"
"Owner","2017","East Germany","Female","1280","0.393433378846675","0.376786217232015","0.410080540461336","3"
"Owner","2017","East Germany","Male","1188","0.416371748871913","0.398448816484406","0.43429468125942","3"
"Owner","2017","West Germany","Female","5688","0.505253471620861","0.496503766622977","0.514003176618745","3"
"Owner","2017","West Germany","Male","5251","0.51562142980263","0.506400504749239","0.524842354856022","3"
"Sub-Tenant","2017","West Germany","Male","236","0.0223942557408351","0.0196642300032641","0.025124281478406","2"
"Sub-Tenant","2017","East Germany","Male","87","0.0385499741151873","0.0315503343591511","0.0455496138712235","2"
"Sub-Tenant","2017","West Germany","Female","198","0.0181201255616959","0.0157858229256912","0.0204544281977006","2"
"Sub-Tenant","2017","East Germany","Female","72","0.0305436258188463","0.0246796823999674","0.0364075692377252","2"
"Tenant","2017","West Germany","Female","","","","","5"
"Tenant","2017","East Germany","Male","","","","","5"
"Tenant","2017","West Germany","Male","","","","","5"
"Tenant","2017","East Germany","Female","","","","","5"
"Main Tenant","2018","West Germany","Male","6185","0.459555772236164","0.450389770120455","0.468721774351873","1"
"Main Tenant","2018","West Germany","Female","6839","0.474825892944203","0.466040452220256","0.483611333668149","1"
"Main Tenant","2018","East Germany","Male","1707","0.534384254586502","0.516226395598831","0.552542113574172","1"
"Main Tenant","2018","East Germany","Female","1969","0.580039321764868","0.563099621409861","0.596979022119876","1"
"Nursing Home/Retirement Community","2018","West Germany","Male","18","","","","4"
"Nursing Home/Retirement Community","2018","East Germany","Male","4","","","","4"
"Nursing Home/Retirement Community","2018","West Germany","Female","22","","","","4"
"Nursing Home/Retirement Community","2018","East Germany","Female","10","","","","4"
"Owner","2018","West Germany","Female","5370","0.50562306853546","0.496827027596978","0.514419109473942","3"
"Owner","2018","East Germany","Male","1126","0.432159917243902","0.414127279933541","0.450192554554263","3"
"Owner","2018","East Germany","Female","1223","0.393158567764863","0.376393929919381","0.409923205610346","3"
"Owner","2018","West Germany","Male","4957","0.520174030689983","0.510985382855068","0.529362678524897","3"
"Sub-Tenant","2018","East Germany","Female","59","0.0193593664038513","0.0146303240492099","0.0240884087584927","2"
"Sub-Tenant","2018","West Germany","Male","196","0.0176203658740874","0.0152005488080561","0.0200401829401187","2"
"Sub-Tenant","2018","East Germany","Male","62","0.0305338030665795","0.0242708267581481","0.0367967793750109","2"
"Sub-Tenant","2018","West Germany","Female","180","0.016155582390101","0.013937543149086","0.0183736216311159","2"
"Tenant","2018","West Germany","Male","","","","","5"
"Tenant","2018","West Germany","Female","","","","","5"
