"plh0206i05","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"4 on scale 1-7","2017","Rural Area","West Germany","28","","","","4"
"4 on scale 1-7","2017","Rural Area","East Germany","9","","","","4"
"5 on scale 1-7","2017","Urban Area","West Germany","50","0.035730079954766","0.0274852553919514","0.0439749045175807","5"
"5 on scale 1-7","2017","Urban Area","East Germany","3","","","","5"
"5 on scale 1-7","2017","Rural Area","West Germany","8","","","","5"
"5 on scale 1-7","2017","Rural Area","East Germany","3","","","","5"
"6 on scale 1-7","2017","Urban Area","West Germany","21","","","","6"
"6 on scale 1-7","2017","Urban Area","East Germany","1","","","","6"
"6 on scale 1-7","2017","Rural Area","East Germany","1","","","","6"
"6 on scale 1-7","2017","Rural Area","West Germany","6","","","","6"
"7 Strongly agree","2017","Urban Area","West Germany","114","0.0652014001323969","0.0542352900093932","0.0761675102554005","7"
"7 Strongly agree","2017","Urban Area","East Germany","11","","","","7"
"7 Strongly agree","2017","Rural Area","West Germany","27","","","","7"
"7 Strongly agree","2017","Rural Area","East Germany","5","","","","7"
"1 Strongly disagree","2018","Rural Area","East Germany","19","","","","1"
"1 Strongly disagree","2018","Urban Area","West Germany","143","0.61388142505587","0.55316555706801","0.67459729304373","1"
"1 Strongly disagree","2018","Urban Area","East Germany","12","","","","1"
"1 Strongly disagree","2018","Rural Area","West Germany","75","0.688263097578727","0.606069209270055","0.770456985887398","1"
"2 on scale 1-7 ","2018","Rural Area","East Germany","4","","","","2"
"2 on scale 1-7 ","2018","Urban Area","West Germany","21","","","","2"
"2 on scale 1-7 ","2018","Rural Area","West Germany","13","","","","2"
"2 on scale 1-7 ","2018","Urban Area","East Germany","","","","","2"
"3 on scale 1-7 ","2018","Rural Area","East Germany","1","","","","3"
"3 on scale 1-7 ","2018","Urban Area","West Germany","17","","","","3"
"3 on scale 1-7 ","2018","Rural Area","West Germany","8","","","","3"
"3 on scale 1-7 ","2018","Urban Area","East Germany","2","","","","3"
"4 on scale 1-7","2018","Rural Area","East Germany","2","","","","4"
"4 on scale 1-7","2018","Urban Area","West Germany","24","","","","4"
"4 on scale 1-7","2018","Urban Area","East Germany","1","","","","4"
"4 on scale 1-7","2018","Rural Area","West Germany","11","","","","4"
"5 on scale 1-7","2018","Urban Area","East Germany","1","","","","5"
"5 on scale 1-7","2018","Rural Area","East Germany","2","","","","5"
"5 on scale 1-7","2018","Urban Area","West Germany","15","","","","5"
"5 on scale 1-7","2018","Rural Area","West Germany","1","","","","5"
"6 on scale 1-7","2018","Rural Area","East Germany","","","","","6"
"6 on scale 1-7","2018","Urban Area","West Germany","2","","","","6"
"6 on scale 1-7","2018","Rural Area","West Germany","2","","","","6"
"6 on scale 1-7","2018","Urban Area","East Germany","","","","","6"
"7 Strongly agree","2018","Urban Area","West Germany","25","","","","7"
"7 Strongly agree","2018","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2018","Rural Area","West Germany","12","","","","7"
"7 Strongly agree","2018","Rural Area","East Germany","5","","","","7"
"1 Strongly disagree","2019","Rural Area","East Germany","10","","","","1"
"1 Strongly disagree","2019","Urban Area","East Germany","2","","","","1"
"1 Strongly disagree","2019","Rural Area","West Germany","46","0.621442151054157","0.517096218200476","0.725788083907839","1"
"1 Strongly disagree","2019","Urban Area","West Germany","78","0.510307561566827","0.43449039391043","0.586124729223224","1"
"2 on scale 1-7 ","2019","Rural Area","East Germany","3","","","","2"
"2 on scale 1-7 ","2019","Rural Area","West Germany","15","","","","2"
"2 on scale 1-7 ","2019","Urban Area","West Germany","22","","","","2"
"2 on scale 1-7 ","2019","Urban Area","East Germany","","","","","2"
"3 on scale 1-7 ","2019","Urban Area","West Germany","21","","","","3"
"3 on scale 1-7 ","2019","Rural Area","East Germany","2","","","","3"
"3 on scale 1-7 ","2019","Rural Area","West Germany","5","","","","3"
"3 on scale 1-7 ","2019","Urban Area","East Germany","1","","","","3"
"4 on scale 1-7","2019","Rural Area","East Germany","1","","","","4"
"4 on scale 1-7","2019","Urban Area","East Germany","1","","","","4"
"4 on scale 1-7","2019","Rural Area","West Germany","9","","","","4"
"4 on scale 1-7","2019","Urban Area","West Germany","16","","","","4"
"5 on scale 1-7","2019","Rural Area","East Germany","2","","","","5"
"5 on scale 1-7","2019","Urban Area","West Germany","7","","","","5"
"5 on scale 1-7","2019","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2019","Rural Area","West Germany","3","","","","5"
"6 on scale 1-7","2019","Rural Area","East Germany","","","","","6"
"6 on scale 1-7","2019","Urban Area","West Germany","6","","","","6"
"6 on scale 1-7","2019","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2019","Rural Area","West Germany","2","","","","6"
"7 Strongly agree","2019","Urban Area","West Germany","17","","","","7"
"7 Strongly agree","2019","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2019","Rural Area","West Germany","3","","","","7"
"7 Strongly agree","2019","Rural Area","East Germany","","","","","7"
