"plh0206i05","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2018","Rural Area","Female","53","0.628554235401642","0.523971439324538","0.733137031478745","1"
"1 Strongly disagree","2018","Urban Area","Male","65","0.56409192200732","0.476100451727925","0.652083392286715","1"
"1 Strongly disagree","2018","Urban Area","Female","90","0.682402834298751","0.605561082929457","0.759244585668045","1"
"1 Strongly disagree","2018","Rural Area","Male","41","0.715944892201543","0.612495543684792","0.819394240718294","1"
"2 on scale 1-7 ","2018","Rural Area","Female","9","","","","2"
"2 on scale 1-7 ","2018","Urban Area","Male","10","","","","2"
"2 on scale 1-7 ","2018","Rural Area","Male","8","","","","2"
"2 on scale 1-7 ","2018","Urban Area","Female","11","","","","2"
"3 on scale 1-7 ","2018","Rural Area","Female","4","","","","3"
"3 on scale 1-7 ","2018","Urban Area","Male","6","","","","3"
"3 on scale 1-7 ","2018","Rural Area","Male","5","","","","3"
"3 on scale 1-7 ","2018","Urban Area","Female","13","","","","3"
"4 on scale 1-7","2018","Rural Area","Female","4","","","","4"
"4 on scale 1-7","2018","Urban Area","Male","15","","","","4"
"4 on scale 1-7","2018","Urban Area","Female","10","","","","4"
"4 on scale 1-7","2018","Rural Area","Male","9","","","","4"
"5 on scale 1-7","2018","Urban Area","Female","6","","","","5"
"5 on scale 1-7","2018","Rural Area","Female","1","","","","5"
"5 on scale 1-7","2018","Urban Area","Male","10","","","","5"
"5 on scale 1-7","2018","Rural Area","Male","2","","","","5"
"6 on scale 1-7","2018","Rural Area","Female","","","","","6"
"6 on scale 1-7","2018","Urban Area","Male","","","","","6"
"6 on scale 1-7","2018","Rural Area","Male","2","","","","6"
"6 on scale 1-7","2018","Urban Area","Female","2","","","","6"
"7 Strongly agree","2018","Urban Area","Male","16","","","","7"
"7 Strongly agree","2018","Urban Area","Female","9","","","","7"
"7 Strongly agree","2018","Rural Area","Male","6","","","","7"
"7 Strongly agree","2018","Rural Area","Female","11","","","","7"
"1 Strongly disagree","2019","Rural Area","Female","35","0.573044167410967","0.443493515968052","0.702594818853882","1"
"1 Strongly disagree","2019","Urban Area","Female","40","0.514904303434453","0.408027016759282","0.621781590109623","1"
"1 Strongly disagree","2019","Rural Area","Male","21","","","","1"
"1 Strongly disagree","2019","Urban Area","Male","40","0.500483527460065","0.395418478805464","0.605548576114666","1"
"2 on scale 1-7 ","2019","Rural Area","Female","8","","","","2"
"2 on scale 1-7 ","2019","Rural Area","Male","10","","","","2"
"2 on scale 1-7 ","2019","Urban Area","Male","9","","","","2"
"2 on scale 1-7 ","2019","Urban Area","Female","13","","","","2"
"3 on scale 1-7 ","2019","Urban Area","Male","9","","","","3"
"3 on scale 1-7 ","2019","Rural Area","Female","4","","","","3"
"3 on scale 1-7 ","2019","Rural Area","Male","3","","","","3"
"3 on scale 1-7 ","2019","Urban Area","Female","13","","","","3"
"4 on scale 1-7","2019","Rural Area","Female","4","","","","4"
"4 on scale 1-7","2019","Urban Area","Female","6","","","","4"
"4 on scale 1-7","2019","Rural Area","Male","6","","","","4"
"4 on scale 1-7","2019","Urban Area","Male","11","","","","4"
"5 on scale 1-7","2019","Rural Area","Female","1","","","","5"
"5 on scale 1-7","2019","Urban Area","Male","4","","","","5"
"5 on scale 1-7","2019","Urban Area","Female","3","","","","5"
"5 on scale 1-7","2019","Rural Area","Male","4","","","","5"
"6 on scale 1-7","2019","Rural Area","Female","1","","","","6"
"6 on scale 1-7","2019","Urban Area","Male","3","","","","6"
"6 on scale 1-7","2019","Urban Area","Female","3","","","","6"
"6 on scale 1-7","2019","Rural Area","Male","1","","","","6"
"7 Strongly agree","2019","Urban Area","Male","11","","","","7"
"7 Strongly agree","2019","Urban Area","Female","6","","","","7"
"7 Strongly agree","2019","Rural Area","Male","","","","","7"
"7 Strongly agree","2019","Rural Area","Female","3","","","","7"
