"pld0045","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Rarely","2018","direct migration background","West Germany","548","0.150549507447792","0.139557598819276","0.161541416076308","4"
"Rarely","2018","no migration background","East Germany","803","0.152499651368474","0.142568585701029","0.162430717035918","4"
"Rarely","2018","indirect migration background","West Germany","265","0.174169377655748","0.15545712886828","0.192881626443216","4"
"Rarely","2018","indirect migration background","East Germany","20","","","","4"
"Rarely","2018","direct migration background","East Germany","32","0.119033127958728","0.0850101611986774","0.153056094718779","4"
"Sometimes","2018","no migration background","West Germany","1704","0.119153694199473","0.113882388424663","0.124424999974283","3"
"Sometimes","2018","direct migration background","West Germany","390","0.0966799450993251","0.0875964407692318","0.105763449429418","3"
"Sometimes","2018","no migration background","East Germany","525","0.096350391318893","0.0881992530674674","0.104501529570319","3"
"Sometimes","2018","direct migration background","East Germany","31","0.0922174428751641","0.0618186790305248","0.122616206719803","3"
"Sometimes","2018","indirect migration background","West Germany","150","0.0889622347549505","0.0749158156090549","0.103008653900846","3"
"Sometimes","2018","indirect migration background","East Germany","13","","","","3"
"Very often","2018","no migration background","West Germany","1148","0.069157086041054","0.0650287891146295","0.0732853829674784","1"
"Very often","2018","no migration background","East Germany","253","0.0492082746301213","0.0432330635598667","0.0551834857003759","1"
"Very often","2018","direct migration background","West Germany","237","0.0617704763468925","0.0543708561933183","0.0691700965004667","1"
"Very often","2018","direct migration background","East Germany","26","","","","1"
"Very often","2018","indirect migration background","West Germany","128","0.0686366782904266","0.0561619158007316","0.0811114407801215","1"
"Very often","2018","indirect migration background","East Germany","7","","","","1"
