"pld0043","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Sometimes","2018","inadequately","128","0.232186170035936","0.194453139074584","0.269919200997288","3"
"Sometimes","2018","vocational + Abi","796","0.36641666357488","0.34586766720988","0.38696565993988","3"
"Sometimes","2018","higher vocational","537","0.36609238091989","0.341313989226997","0.390870772612784","3"
"Sometimes","2018","higher education","2484","0.384600787093088","0.372616961308303","0.396584612877873","3"
"Sometimes","2018","middle vocational","3819","0.328359008152593","0.31976809897354","0.336949917331646","3"
"Sometimes","2018","general elemantary","799","0.301498912366646","0.284072523579998","0.318925301153295","3"
"Sometimes","2018","in school","119","0.345934327273167","0.295813578588369","0.396055075957966","3"
"Very often","2018","vocational + Abi","76","0.0435442597096786","0.0348406575983446","0.0522478618210127","1"
"Very often","2018","higher vocational","38","0.0289627364756225","0.0203368740486457","0.0375885989025993","1"
"Very often","2018","higher education","276","0.039374255861777","0.0345835972407448","0.0441649144828092","1"
"Very often","2018","inadequately","18","","","","1"
"Very often","2018","middle vocational","399","0.03352986036371","0.0302367509855765","0.0368229697418435","1"
"Very often","2018","in school","30","0.0872312077031138","0.0574990535531834","0.116963361853044","1"
"Very often","2018","general elemantary","105","0.0332102429320846","0.026405949607233","0.0400145362569362","1"
