"pld0043","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Very often","2017","direct migration background","Urban Area","","","","","1"
"Very often","2017","direct migration background","Rural Area","","","","","1"
"Very often","2017","indirect migration background","Urban Area","","","","","1"
"Very often","2017","indirect migration background","Rural Area","","","","","1"
"Never","2018","no migration background","Urban Area","1509","0.142013626751238","0.135768452253219","0.148258801249258","5"
"Never","2018","no migration background","Rural Area","1198","0.164503931410265","0.15616021999093","0.172847642829599","5"
"Never","2018","direct migration background","Urban Area","676","0.213199130839475","0.199195539066696","0.227202722612255","5"
"Never","2018","direct migration background","Rural Area","292","0.187494654726755","0.16470731160119","0.21028199785232","5"
"Never","2018","indirect migration background","Urban Area","147","0.100498425926049","0.0846981336867837","0.116298718165315","5"
"Never","2018","indirect migration background","Rural Area","45","0.147529324516683","0.108551873699068","0.186506775334298","5"
"Often","2018","no migration background","Urban Area","2183","0.171863533484847","0.165113868834608","0.178613198135086","2"
"Often","2018","direct migration background","Urban Area","531","0.160294753644432","0.147750714546915","0.17283879274195","2"
"Often","2018","no migration background","Rural Area","1059","0.14986170072882","0.141828492059737","0.157894909397903","2"
"Often","2018","indirect migration background","Urban Area","331","0.243210367575257","0.220664697105837","0.265756038044676","2"
"Often","2018","indirect migration background","Rural Area","50","0.201119439358877","0.157063701166248","0.245175177551506","2"
"Often","2018","direct migration background","Rural Area","162","0.15574152281064","0.134571269407897","0.176911776213383","2"
"Rarely","2018","no migration background","Urban Area","3496","0.298294693347091","0.290109300695415","0.306480085998766","4"
"Rarely","2018","direct migration background","Urban Area","848","0.27008196610276","0.254901009051483","0.285262923154037","4"
"Rarely","2018","no migration background","Rural Area","2456","0.316159099030503","0.305694338182212","0.326623859878794","4"
"Rarely","2018","indirect migration background","Urban Area","351","0.225419644587796","0.203460589633276","0.247378699542316","4"
"Rarely","2018","indirect migration background","Rural Area","105","0.27423328705486","0.225199759477427","0.323266814632294","4"
"Rarely","2018","direct migration background","Rural Area","312","0.326578792506914","0.299199418330086","0.353958166683742","4"
"Sometimes","2018","no migration background","Urban Area","4358","0.3517617686388","0.343218363300928","0.360305173976672","3"
"Sometimes","2018","direct migration background","Urban Area","1055","0.310196809463829","0.294380848873968","0.326012770053691","3"
"Sometimes","2018","no migration background","Rural Area","2659","0.34496864838526","0.334270224876587","0.355667071893934","3"
"Sometimes","2018","direct migration background","Rural Area","330","0.297652117001474","0.270957926237499","0.324346307765449","3"
"Sometimes","2018","indirect migration background","Urban Area","461","0.345738422124547","0.320744520438118","0.370732323810977","3"
"Sometimes","2018","indirect migration background","Rural Area","105","0.30648661252809","0.255814651723595","0.357158573332585","3"
"Very often","2018","no migration background","Urban Area","455","0.0360663777780241","0.0327304687302592","0.039402286825789","1"
"Very often","2018","no migration background","Rural Area","212","0.0245066204451517","0.0210268322997302","0.0279864085905733","1"
"Very often","2018","direct migration background","Urban Area","176","0.0462273399495029","0.03904797223183","0.0534067076671758","1"
"Very often","2018","direct migration background","Rural Area","31","0.0325329129542174","0.0221751561852671","0.0428906697231677","1"
"Very often","2018","indirect migration background","Urban Area","101","0.085133139786351","0.0704671020022365","0.0997991775704655","1"
"Very often","2018","indirect migration background","Rural Area","13","","","","1"
