"ple0044_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2013","Not Working","Male","5017","0.918498939713176","0.911493146713998","0.925504732712354","2"
"No","2013","Not Working","Female","7104","0.950671961317204","0.945894889212056","0.955449033422352","2"
"Yes","2013","Full Time","Male","2462","0.393256364807716","0.381200132640516","0.405312596974916","1"
"Yes","2013","Full Time","Female","1066","0.31755733832649","0.301618596685886","0.333496079967095","1"
"Yes","2013","Part Time","Male","758","0.429357442035508","0.405695204451047","0.453019679619968","1"
"Yes","2013","Part Time","Female","2352","0.428910147279384","0.415697522836672","0.442122771722095","1"
"Yes","2013","Not Working","Male","842","0.0815010602868245","0.0744952672876464","0.0885068532860025","1"
"Yes","2013","Not Working","Female","790","0.0493280386827959","0.0445509665776477","0.0541051107879442","1"
"No","2014","Full Time","Male","3925","0.584067672259148","0.572209845393214","0.595925499125081","2"
"No","2014","Full Time","Female","2306","0.680465884871926","0.664919728966064","0.696012040777789","2"
"No","2014","Part Time","Male","1009","0.532570215062595","0.510117903824664","0.555022526300525","2"
"No","2014","Part Time","Female","3035","0.558006762206845","0.544916379624375","0.571097144789314","2"
"No","2014","Not Working","Male","3438","0.946182062839086","0.938994052962366","0.953370072715807","2"
"No","2014","Not Working","Female","4958","0.947812119024867","0.941946598893008","0.953677639156726","2"
"Yes","2014","Full Time","Male","2712","0.415932327740852","0.404074500874919","0.427790154606786","1"
"Yes","2014","Full Time","Female","1150","0.319534115128074","0.303987959222211","0.335080271033936","1"
"Yes","2014","Part Time","Male","888","0.467429784937405","0.444977473699475","0.489882096175336","1"
"Yes","2014","Part Time","Female","2494","0.441993237793155","0.428902855210686","0.455083620375625","1"
"Yes","2014","Not Working","Male","348","0.0538179371609136","0.0466299272841927","0.0610059470376344","1"
"Yes","2014","Not Working","Female","565","0.0521878809751329","0.0463223608432742","0.0580534011069915","1"
"No","2015","Full Time","Male","3740","0.601611658387559","0.589374161514338","0.61384915526078","2"
"No","2015","Full Time","Female","2187","0.68753965414773","0.671490647107824","0.703588661187636","2"
"No","2015","Part Time","Male","955","0.542656575376348","0.519289211258144","0.566023939494551","2"
"No","2015","Part Time","Female","3058","0.579530685886743","0.566168929982756","0.592892441790729","2"
"No","2015","Not Working","Male","3897","0.959892713674313","0.954032902226266","0.96575252512236","2"
"No","2015","Not Working","Female","5591","0.976874816184123","0.973061242643724","0.980688389724521","2"
"Yes","2015","Full Time","Male","2408","0.398388341612441","0.38615084473922","0.410625838485662","1"
"Yes","2015","Full Time","Female","1017","0.31246034585227","0.296411338812364","0.328509352892176","1"
"Yes","2015","Part Time","Male","791","0.457343424623652","0.433976060505449","0.480710788741856","1"
"Yes","2015","Part Time","Female","2185","0.420469314113257","0.407107558209271","0.433831070017244","1"
"Yes","2015","Not Working","Male","410","0.0401072863256869","0.0342474748776403","0.0459670977737335","1"
"Yes","2015","Not Working","Female","376","0.0231251838158773","0.0193116102754788","0.0269387573562759","1"
"No","2016","Full Time","Male","3570","0.609933872251057","0.597443254928535","0.622424489573579","2"
"No","2016","Full Time","Female","2171","0.681084739078573","0.664909189059732","0.697260289097413","2"
"No","2016","Part Time","Male","922","0.52028504618239","0.496878282693484","0.543691809671295","2"
"No","2016","Part Time","Female","2915","0.578690478313788","0.565080157448497","0.592300799179078","2"
"No","2016","Not Working","Male","3345","0.981870581837058","0.977383300414164","0.986357863259953","2"
"No","2016","Not Working","Female","4798","0.990587695827567","0.987872141593941","0.993303250061192","2"
"Yes","2016","Full Time","Male","2288","0.390066127748943","0.377575510426421","0.402556745071465","1"
"Yes","2016","Full Time","Female","1018","0.318915260921427","0.302739710902587","0.335090810940268","1"
"Yes","2016","Part Time","Male","828","0.47971495381761","0.456308190328704","0.503121717306516","1"
"Yes","2016","Part Time","Female","2141","0.421309521686213","0.407699200820922","0.434919842551503","1"
"Yes","2016","Not Working","Male","51","0.0181294181629416","0.0136421367400473","0.0226166995858358","1"
"Yes","2016","Not Working","Female","59","0.00941230417243343","0.00669674993880778","0.0121278584060591","1"
"No","2017","Full Time","Male","4175","0.625639151854718","0.61395635938003","0.637321944329407","2"
"No","2017","Full Time","Female","2624","0.705350911240963","0.690617700681762","0.720084121800164","2"
"No","2017","Part Time","Male","1108","0.559036985016441","0.537298934903151","0.580775035129731","2"
"No","2017","Part Time","Female","3366","0.603423977972897","0.590517955950869","0.616329999994925","2"
"No","2017","Not Working","Male","3535","0.98917645963099","0.985786544708724","0.992566374553256","2"
"No","2017","Not Working","Female","4964","0.989861355607799","0.987095350090887","0.992627361124712","2"
"Yes","2017","Full Time","Male","2417","0.374360848145282","0.362678055670593","0.38604364061997","1"
"Yes","2017","Full Time","Female","1054","0.294649088759037","0.279915878199836","0.309382299318238","1"
"Yes","2017","Part Time","Female","2153","0.396576022027103","0.383670000005075","0.409482044049131","1"
"Yes","2017","Part Time","Male","896","0.440963014983559","0.419224964870269","0.462701065096849","1"
"Yes","2017","Not Working","Male","44","0.0108235403690102","0.00743362544674387","0.0142134552912766","1"
"Yes","2017","Not Working","Female","75","0.0101386443922006","0.00737263887528816","0.012904649909113","1"
"No","2018","Full Time","Male","4072","0.652335419349015","0.640527903627669","0.664142935070361","2"
"No","2018","Full Time","Female","2559","0.723066282780953","0.708370994631166","0.737761570930739","2"
"No","2018","Part Time","Male","1112","0.560514775709175","0.538816974083906","0.582212577334444","2"
"No","2018","Part Time","Female","3270","0.619677463538059","0.606716034675368","0.63263889240075","2"
"No","2018","Not Working","Male","3440","0.989112603176767","0.985666278039363","0.992558928314172","2"
"No","2018","Not Working","Female","4768","0.993006989811159","0.990651538699079","0.995362440923238","2"
"Yes","2018","Full Time","Male","2177","0.347664580650985","0.335857064929639","0.359472096372331","1"
"Yes","2018","Full Time","Female","1003","0.276933717219047","0.262238429069261","0.291629005368834","1"
"Yes","2018","Part Time","Female","2119","0.380322536461941","0.36736110759925","0.393283965324632","1"
"Yes","2018","Part Time","Male","898","0.439485224290825","0.417787422665556","0.461183025916094","1"
"Yes","2018","Not Working","Female","40","0.00699301018884142","0.00463755907676191","0.00934846130092094","1"
"Yes","2018","Not Working","Male","43","0.0108873968232327","0.00744107168582786","0.0143337219606375","1"
"No","2019","Full Time","Male","4138","0.640657763550132","0.629177443096917","0.652138084003346","2"
"No","2019","Full Time","Female","2587","0.754742450128191","0.740773315972316","0.768711584284065","2"
"No","2019","Part Time","Male","1088","0.591063890770921","0.569259602565291","0.612868178976551","2"
"No","2019","Part Time","Female","3237","0.641997868193817","0.628896784820882","0.655098951566752","2"
"No","2019","Not Working","Male","3369","0.969087889306324","0.963354677999415","0.974821100613232","2"
"No","2019","Not Working","Female","4425","0.975966643312858","0.97152874603985","0.980404540585866","2"
"Yes","2019","Full Time","Male","2572","0.359342236449868","0.347861915996654","0.370822556903083","1"
"Yes","2019","Full Time","Female","1057","0.245257549871809","0.231288415715935","0.259226684027684","1"
"Yes","2019","Part Time","Male","865","0.408936109229079","0.387131821023449","0.430740397434709","1"
"Yes","2019","Part Time","Female","1907","0.358002131806183","0.344901048433248","0.371103215179118","1"
"Yes","2019","Not Working","Male","132","0.0309121106936764","0.025178899386768","0.0366453220005849","1"
"Yes","2019","Not Working","Female","150","0.024033356687142","0.0195954594141342","0.0284712539601497","1"
