"ple0044_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2011","direct migration background","Female","342","0.211122693427213","0.190877644536629","0.231367742317797","1"
"Yes","2011","indirect migration background","Male","101","0.213123757342993","0.172480834177143","0.253766680508843","1"
"Yes","2011","indirect migration background","Female","135","0.247149315960261","0.211518314855255","0.282780317065267","1"
"No","2012","no migration background","Male","7412","0.709885639768454","0.701204976061581","0.718566303475328","2"
"No","2012","indirect migration background","Male","387","0.70795393511268","0.670493910802835","0.745413959422525","2"
"No","2012","no migration background","Female","9425","0.77865806711971","0.771415267828783","0.785900866410637","2"
"No","2012","direct migration background","Male","887","0.681227430234151","0.656220711380985","0.706234149087318","2"
"No","2012","direct migration background","Female","1240","0.738327765703905","0.717340707827043","0.759314823580767","2"
"No","2012","indirect migration background","Female","522","0.752849551502392","0.720894915820949","0.784804187183834","2"
"Yes","2012","no migration background","Male","3087","0.290114360231546","0.281433696524672","0.298795023938419","1"
"Yes","2012","no migration background","Female","3196","0.22134193288029","0.214099133589363","0.228584732171217","1"
"Yes","2012","direct migration background","Male","447","0.318772569765849","0.293765850912682","0.343779288619015","1"
"Yes","2012","direct migration background","Female","445","0.261672234296095","0.240685176419233","0.282659292172957","1"
"Yes","2012","indirect migration background","Male","179","0.29204606488732","0.254586040577475","0.329506089197165","1"
"Yes","2012","indirect migration background","Female","178","0.247150448497608","0.215195812816166","0.279105084179051","1"
"No","2013","no migration background","Male","7201","0.729897395278465","0.721198387168261","0.738596403388669","2"
"No","2013","no migration background","Female","9037","0.788048008593111","0.780727492690516","0.795368524495707","2"
"No","2013","direct migration background","Male","1864","0.699233490429293","0.682340598458803","0.716126382399782","2"
"No","2013","direct migration background","Female","2487","0.733465604470882","0.718794455959267","0.748136752982497","2"
"No","2013","indirect migration background","Male","719","0.727541907277354","0.700043203739673","0.755040610815034","2"
"No","2013","indirect migration background","Female","829","0.748373044779485","0.722717166036924","0.774028923522045","2"
"Yes","2013","no migration background","Male","2807","0.270102604721535","0.261403596611331","0.278801612831739","1"
"Yes","2013","no migration background","Female","2936","0.211951991406889","0.204631475504293","0.219272507309484","1"
"Yes","2013","direct migration background","Male","967","0.300766509570707","0.283873617600218","0.317659401541197","1"
"Yes","2013","direct migration background","Female","1002","0.266534395529118","0.251863247017503","0.281205544040733","1"
"Yes","2013","indirect migration background","Male","288","0.272458092722646","0.244959389184965","0.299956796260327","1"
"Yes","2013","indirect migration background","Female","270","0.251626955220515","0.225971076477955","0.277282833963076","1"
"No","2014","no migration background","Male","6587","0.716356807744543","0.707142839316578","0.725570776172508","2"
"No","2014","no migration background","Female","8156","0.78309049351765","0.775327678515603","0.790853308519698","2"
"No","2014","direct migration background","Male","1284","0.615852549848443","0.595961626546514","0.635743473150372","2"
"No","2014","direct migration background","Female","1552","0.627497647679604","0.60941144149683","0.645583853862378","2"
"No","2014","indirect migration background","Male","501","0.599044819210337","0.565683101847994","0.63240653657268","2"
"No","2014","indirect migration background","Female","591","0.655389248708808","0.624927393236816","0.685851104180801","2"
"Yes","2014","no migration background","Male","2607","0.283643192255457","0.274429223827492","0.292857160683422","1"
"Yes","2014","no migration background","Female","2672","0.21690950648235","0.209146691480302","0.224672321484397","1"
"Yes","2014","direct migration background","Male","1013","0.384147450151557","0.364256526849628","0.404038373453486","1"
"Yes","2014","direct migration background","Female","1193","0.372502352320396","0.354416146137622","0.39058855850317","1"
"Yes","2014","indirect migration background","Male","328","0.400955180789663","0.36759346342732","0.434316898152006","1"
"Yes","2014","indirect migration background","Female","344","0.344610751291192","0.314148895819199","0.375072606763184","1"
"No","2015","no migration background","Male","6334","0.72113667726069","0.7117405572381","0.730532797283281","2"
"No","2015","no migration background","Female","7893","0.785451060981556","0.777534406272757","0.793367715690355","2"
"No","2015","direct migration background","Male","1732","0.696353725914674","0.678976882762553","0.713730569066795","2"
"No","2015","direct migration background","Female","2255","0.734725762912491","0.719388779669772","0.750062746155211","2"
"No","2015","indirect migration background","Male","526","0.71445286593297","0.682361998474198","0.746543733391743","2"
"No","2015","indirect migration background","Female","688","0.769457236087282","0.741971155588726","0.796943316585839","2"
"Yes","2015","no migration background","Male","2416","0.27886332273931","0.269467202716719","0.2882594427619","1"
"Yes","2015","no migration background","Female","2436","0.214548939018444","0.206632284309645","0.222465593727243","1"
"Yes","2015","direct migration background","Male","958","0.303646274085326","0.286269430933205","0.321023117237447","1"
"Yes","2015","direct migration background","Female","928","0.265274237087508","0.249937253844789","0.280611220330228","1"
"Yes","2015","indirect migration background","Male","235","0.28554713406703","0.253456266608257","0.317638001525802","1"
"Yes","2015","indirect migration background","Female","214","0.230542763912717","0.203056683414161","0.258028844411274","1"
"No","2016","no migration background","Male","5904","0.717754544659794","0.70796841115068","0.727540678168909","2"
"No","2016","no migration background","Female","7356","0.788318932816","0.780146956828144","0.796490908803856","2"
"No","2016","direct migration background","Male","1454","0.711380330788601","0.6923462124388","0.730414449138402","2"
"No","2016","direct migration background","Female","1902","0.714918068829783","0.697745755222401","0.732090382437166","2"
"No","2016","indirect migration background","Male","479","0.708291680580454","0.674642882192618","0.74194047896829","2"
"No","2016","indirect migration background","Female","626","0.735664032729162","0.705983748424556","0.765344317033768","2"
"Yes","2016","no migration background","Male","2222","0.282245455340206","0.272459321831091","0.29203158884932","1"
"Yes","2016","no migration background","Female","2243","0.211681067184","0.203509091196144","0.219853043171856","1"
"Yes","2016","direct migration background","Male","723","0.288619669211399","0.269585550861598","0.3076537875612","1"
"Yes","2016","direct migration background","Female","753","0.285081931170217","0.267909617562835","0.302254244777599","1"
"Yes","2016","indirect migration background","Male","222","0.291708319419546","0.25805952103171","0.325357117807382","1"
"Yes","2016","indirect migration background","Female","222","0.264335967270838","0.234655682966232","0.294016251575444","1"
"No","2017","no migration background","Male","6887","0.735696546116413","0.726756577782504","0.744636514450322","2"
"No","2017","no migration background","Female","8399","0.800033456890006","0.792475314575303","0.807591599204708","2"
"No","2017","direct migration background","Male","1366","0.689924924973943","0.669898129707507","0.709951720240379","2"
"No","2017","direct migration background","Female","1868","0.737176038772045","0.720138487957984","0.754213589586106","2"
"No","2017","indirect migration background","Male","565","0.733305035607393","0.702270122687899","0.764339948526887","2"
"No","2017","indirect migration background","Female","687","0.757002655302449","0.729197555480217","0.784807755124682","2"
"Yes","2017","no migration background","Male","2459","0.264303453883587","0.255363485549678","0.273243422217496","1"
"Yes","2017","no migration background","Female","2359","0.199966543109994","0.192408400795292","0.207524685424697","1"
"Yes","2017","direct migration background","Female","696","0.262823961227955","0.245786410413894","0.279861512042016","1"
"Yes","2017","direct migration background","Male","683","0.310075075026057","0.290048279759621","0.330101870292493","1"
"Yes","2017","indirect migration background","Male","215","0.266694964392607","0.235660051473113","0.2977298773121","1"
"Yes","2017","indirect migration background","Female","227","0.242997344697551","0.215192244875318","0.270802444519783","1"
"No","2018","no migration background","Male","6754","0.752523556312893","0.743615310172941","0.761431802452845","2"
"No","2018","no migration background","Female","8131","0.804458484591229","0.796842114034336","0.812074855148121","2"
"No","2018","direct migration background","Male","1334","0.687013966521562","0.666495549529673","0.70753238351345","2"
"No","2018","direct migration background","Female","1756","0.763689324667395","0.746756867981922","0.780621781352869","2"
"No","2018","indirect migration background","Male","536","0.696427647028419","0.663844990999915","0.729010303056924","2"
"No","2018","indirect migration background","Female","710","0.748474628235161","0.720498246399236","0.776451010071086","2"
"Yes","2018","no migration background","Male","2261","0.247476443687107","0.238568197547155","0.256384689827059","1"
"Yes","2018","no migration background","Female","2286","0.195541515408771","0.187925144851879","0.203157885965664","1"
"Yes","2018","direct migration background","Female","662","0.236310675332605","0.219378218647131","0.253243132018078","1"
"Yes","2018","direct migration background","Male","628","0.312986033478438","0.29246761648655","0.333504450470327","1"
"Yes","2018","indirect migration background","Female","214","0.251525371764839","0.223548989928914","0.279501753600764","1"
"Yes","2018","indirect migration background","Male","229","0.303572352971581","0.270989696943076","0.336155009000085","1"
"No","2019","no migration background","Male","6876","0.743806907860739","0.735103167790992","0.752510647930487","2"
"No","2019","no migration background","Female","8046","0.815196997731516","0.807727306778117","0.822666688684914","2"
"No","2019","direct migration background","Male","1181","0.71349124274363","0.692080453156535","0.734902032330725","2"
"No","2019","direct migration background","Female","1531","0.759170789455464","0.740887287163417","0.77745429174751","2"
"No","2019","indirect migration background","Male","538","0.686916547823797","0.654537279664861","0.719295815982733","2"
"No","2019","indirect migration background","Female","672","0.767194048323103","0.739428724711863","0.794959371934343","2"
"Yes","2019","no migration background","Male","2787","0.256193092139261","0.247489352069513","0.264896832209008","1"
"Yes","2019","no migration background","Female","2326","0.184803002268485","0.177333311315086","0.192272693221883","1"
"Yes","2019","direct migration background","Male","532","0.28650875725637","0.265097967669275","0.307919546843465","1"
"Yes","2019","direct migration background","Female","570","0.240829210544536","0.22254570825249","0.259112712836583","1"
"Yes","2019","indirect migration background","Male","250","0.313083452176203","0.280704184017267","0.345462720335139","1"
"Yes","2019","indirect migration background","Female","218","0.232805951676897","0.205040628065657","0.260571275288137","1"
