"m11104","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"At least once a month","1989","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"At least once a month","1989","Saxony","direct migration background","","","","","3"
"At least once a month","1989","Berlin","indirect migration background","","","","","3"
"At least once a month","1989","Thuringia","direct migration background","","","","","3"
"At least once a month","1989","Thuringia","indirect migration background","","","","","3"
"At least once a month","1989","Hamburg","no migration background","","","","","3"
"At least once a month","1989","Hamburg","direct migration background","","","","","3"
"At least once a month","1989","Hamburg","indirect migration background","","","","","3"
"At least once a month","1989","Lower Saxony","no migration background","","","","","3"
"At least once a month","1989","Lower Saxony","direct migration background","","","","","3"
"At least once a month","1989","Baden-Württemberg","indirect migration background","","","","","3"
"At least once a month","1989","Bavaria","no migration background","","","","","3"
"At least once a month","1989","Bavaria","indirect migration background","","","","","3"
"At least once a month","1989","Berlin","no migration background","","","","","3"
"At least once a month","1989","Berlin","direct migration background","","","","","3"
"At least once a month","1989","Saxony-Anhalt","direct migration background","","","","","3"
"At least once a month","1989","Saxony-Anhalt","indirect migration background","","","","","3"
"At least once a month","1989","Thuringia","no migration background","","","","","3"
"At least once a month","1989","Lower Saxony","indirect migration background","","","","","3"
"At least once a month","1989","Bremen","no migration background","","","","","3"
"At least once a month","1989","Bremen","direct migration background","","","","","3"
"At least once a month","1989","Bremen","indirect migration background","","","","","3"
"At least once a month","1989","North Rhine-Westphalia","no migration background","","","","","3"
"At least once a month","1989","North Rhine-Westphalia","direct migration background","","","","","3"
"At least once a month","1989","North Rhine-Westphalia","indirect migration background","","","","","3"
"At least once a month","1989","Hesse","indirect migration background","","","","","3"
"At least once a month","1989","Rhineland-Palatinate,Saarland","no migration background","","","","","3"
"At least once a month","1989","Rhineland-Palatinate,Saarland","direct migration background","","","","","3"
"At least once a month","1989","Rhineland-Palatinate,Saarland","indirect migration background","","","","","3"
"At least once a month","1989","Baden-Württemberg","no migration background","","","","","3"
"At least once a month","1989","Baden-Württemberg","direct migration background","","","","","3"
"At least once a month","1989","Bavaria","direct migration background","","","","","3"
"At least once a month","1989","Saxony","indirect migration background","","","","","3"
"At least once a month","1989","Saxony-Anhalt","no migration background","","","","","3"
"At least once a month","1989","Hesse","no migration background","","","","","3"
"At least once a month","1989","Hesse","direct migration background","","","","","3"
"Several times a year","1989","Schleswig-Holstein","no migration background","","","","","2"
"Several times a year","1989","Schleswig-Holstein","direct migration background","","","","","2"
"Several times a year","1989","Hamburg","direct migration background","","","","","2"
"Several times a year","1989","Lower Saxony","no migration background","","","","","2"
"Several times a year","1989","Schleswig-Holstein","indirect migration background","","","","","2"
"Several times a year","1989","Hamburg","no migration background","","","","","2"
"Several times a year","1989","Hamburg","indirect migration background","","","","","2"
"Several times a year","1989","Lower Saxony","direct migration background","","","","","2"
"Several times a year","1989","Bremen","direct migration background","","","","","2"
"Several times a year","1989","North Rhine-Westphalia","direct migration background","","","","","2"
"Several times a year","1989","Lower Saxony","indirect migration background","","","","","2"
"Several times a year","1989","Bremen","no migration background","","","","","2"
"Several times a year","1989","Bremen","indirect migration background","","","","","2"
"Several times a year","1989","North Rhine-Westphalia","no migration background","","","","","2"
"Several times a year","1989","North Rhine-Westphalia","indirect migration background","","","","","2"
"Several times a year","1989","Rhineland-Palatinate,Saarland","no migration background","","","","","2"
"Several times a year","1989","Hesse","no migration background","","","","","2"
"Several times a year","1989","Hesse","direct migration background","","","","","2"
"Several times a year","1989","Hesse","indirect migration background","","","","","2"
"Several times a year","1989","Rhineland-Palatinate,Saarland","direct migration background","","","","","2"
"Several times a year","1989","Baden-Württemberg","direct migration background","","","","","2"
"Several times a year","1989","Baden-Württemberg","indirect migration background","","","","","2"
"Several times a year","1989","Bavaria","no migration background","","","","","2"
"Several times a year","1989","Rhineland-Palatinate,Saarland","indirect migration background","","","","","2"
"Several times a year","1989","Baden-Württemberg","no migration background","","","","","2"
"Several times a year","1989","Bavaria","direct migration background","","","","","2"
"Several times a year","1989","Bavaria","indirect migration background","","","","","2"
"Several times a year","1989","Berlin","no migration background","","","","","2"
"Several times a year","1989","Berlin","direct migration background","","","","","2"
"Several times a year","1989","Saxony-Anhalt","indirect migration background","","","","","2"
"Several times a year","1989","Thuringia","no migration background","","","","","2"
"Several times a year","1989","Thuringia","indirect migration background","","","","","2"
"Several times a year","1989","Berlin","indirect migration background","","","","","2"
"Several times a year","1989","Brandenburg","no migration background","","","","","2"
"Several times a year","1989","Brandenburg","direct migration background","","","","","2"
"Several times a year","1989","Brandenburg","indirect migration background","","","","","2"
"Several times a year","1989","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Several times a year","1989","Saxony","indirect migration background","","","","","2"
"Several times a year","1989","Saxony-Anhalt","no migration background","","","","","2"
"Several times a year","1989","Saxony-Anhalt","direct migration background","","","","","2"
"Several times a year","1989","Thuringia","direct migration background","","","","","2"
"Several times a year","1989","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Several times a year","1989","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Several times a year","1989","Saxony","no migration background","","","","","2"
"Several times a year","1989","Saxony","direct migration background","","","","","2"
"Almost never or never","1990","Schleswig-Holstein","no migration background","77","0.297399745698288","0.240393287115592","0.354406204280983","1"
"Almost never or never","1990","Schleswig-Holstein","direct migration background","16","","","","1"
"Almost never or never","1990","Schleswig-Holstein","indirect migration background","2","","","","1"
"Almost never or never","1990","Hamburg","no migration background","53","0.471421578684615","0.382843221910062","0.559999935459168","1"
"Almost never or never","1990","Hamburg","direct migration background","25","","","","1"
"Almost never or never","1990","Hamburg","indirect migration background","1","","","","1"
"Almost never or never","1990","Lower Saxony","no migration background","307","0.425987638838558","0.391785801328471","0.460189476348646","1"
"Almost never or never","1990","Lower Saxony","direct migration background","95","0.636626515052418","0.560662710277335","0.7125903198275","1"
"Almost never or never","1990","Lower Saxony","indirect migration background","7","","","","1"
"Almost never or never","1990","Bremen","no migration background","50","0.622961662321866","0.519320597992243","0.726602726651489","1"
"Almost never or never","1990","Bremen","direct migration background","8","","","","1"
"Almost never or never","1990","Bremen","indirect migration background","1","","","","1"
"Almost never or never","1990","North Rhine-Westphalia","no migration background","689","0.402822398390749","0.380220892920277","0.425423903861221","1"
"Almost never or never","1990","North Rhine-Westphalia","direct migration background","438","0.600507239028379","0.563447665989333","0.637566812067425","1"
"Almost never or never","1990","North Rhine-Westphalia","indirect migration background","31","0.45973482433018","0.353157297885201","0.566312350775158","1"
"Almost never or never","1990","Hesse","no migration background","224","0.409335409539828","0.370121535698576","0.448549283381081","1"
"Almost never or never","1990","Hesse","direct migration background","263","0.730472081934889","0.683718624669687","0.777225539200091","1"
"Almost never or never","1990","Hesse","indirect migration background","8","","","","1"
"Almost never or never","1990","Rhineland-Palatinate,Saarland","no migration background","279","0.52624313389149","0.484051345623805","0.568434922159175","1"
"Almost never or never","1990","Rhineland-Palatinate,Saarland","direct migration background","79","0.598242015897404","0.510526144584849","0.685957887209959","1"
"Almost never or never","1990","Rhineland-Palatinate,Saarland","indirect migration background","2","","","","1"
"Almost never or never","1990","Baden-Württemberg","no migration background","389","0.391314932616128","0.361596373608581","0.421033491623676","1"
"Almost never or never","1990","Baden-Württemberg","direct migration background","411","0.566202937085666","0.528925798657895","0.603480075513437","1"
"Almost never or never","1990","Baden-Württemberg","indirect migration background","20","","","","1"
"Almost never or never","1990","Bavaria","no migration background","404","0.367411621461545","0.339927845358464","0.394895397564626","1"
"Almost never or never","1990","Bavaria","direct migration background","203","0.439465077156994","0.388337250994696","0.490592903319293","1"
"Almost never or never","1990","Bavaria","indirect migration background","11","","","","1"
"Almost never or never","1990","Berlin","no migration background","235","0.496519685599489","0.452429279417003","0.540610091781974","1"
"Almost never or never","1990","Berlin","direct migration background","76","0.55858919429228","0.467035343717262","0.650143044867297","1"
"Almost never or never","1990","Berlin","indirect migration background","7","","","","1"
"Almost never or never","1990","Brandenburg","no migration background","494","0.712417180288965","0.678765686322981","0.746068674254948","1"
"Almost never or never","1990","Brandenburg","direct migration background","14","","","","1"
"Almost never or never","1990","Brandenburg","indirect migration background","","","","","1"
"Almost never or never","1990","Mecklenburg-Western Pomerania","no migration background","331","0.722335783807533","0.682061223466273","0.762610344148793","1"
"Almost never or never","1990","Mecklenburg-Western Pomerania","direct migration background","10","","","","1"
"Almost never or never","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Almost never or never","1990","Saxony","no migration background","842","0.701057418241178","0.675769917355228","0.726344919127129","1"
"Almost never or never","1990","Saxony","direct migration background","28","","","","1"
"Almost never or never","1990","Saxony","indirect migration background","","","","","1"
"Almost never or never","1990","Saxony-Anhalt","no migration background","532","0.72065246813649","0.688795388306049","0.75250954796693","1"
"Almost never or never","1990","Saxony-Anhalt","direct migration background","27","","","","1"
"Almost never or never","1990","Saxony-Anhalt","indirect migration background","","","","","1"
"Almost never or never","1990","Thuringia","no migration background","500","0.735772432144739","0.703248236866058","0.768296627423421","1"
"Almost never or never","1990","Thuringia","direct migration background","18","","","","1"
"Almost never or never","1990","Thuringia","indirect migration background","1","","","","1"
"At lease once a week","1990","Schleswig-Holstein","no migration background","84","0.357979316731414","0.298192822008649","0.41776581145418","4"
"At lease once a week","1990","Schleswig-Holstein","direct migration background","11","","","","4"
"At lease once a week","1990","Rhineland-Palatinate,Saarland","no migration background","143","0.263092256969318","0.225885865909183","0.300298648029453","4"
"At lease once a week","1990","Hamburg","indirect migration background","2","","","","4"
"At lease once a week","1990","Hesse","no migration background","205","0.328848872319954","0.291382817668312","0.366314926971596","4"
"At lease once a week","1990","Hesse","direct migration background","42","0.134488803033802","0.0985395847478538","0.170438021319749","4"
"At lease once a week","1990","Hesse","indirect migration background","13","","","","4"
"At lease once a week","1990","Rhineland-Palatinate,Saarland","indirect migration background","3","","","","4"
"At lease once a week","1990","Baden-Württemberg","no migration background","315","0.293087149286426","0.265369937517273","0.320804361055579","4"
"At lease once a week","1990","Baden-Württemberg","direct migration background","104","0.191827629621362","0.16221201272684","0.221443246515884","4"
"At lease once a week","1990","Baden-Württemberg","indirect migration background","26","","","","4"
"At lease once a week","1990","Bavaria","no migration background","352","0.278642692110243","0.253084013355519","0.304201370864968","4"
"At lease once a week","1990","Bavaria","direct migration background","67","0.255163224957495","0.210254223107512","0.300072226807479","4"
"At lease once a week","1990","Berlin","no migration background","123","0.24442879591757","0.20653234845021","0.28232524338493","4"
"At lease once a week","1990","Berlin","direct migration background","18","","","","4"
"At lease once a week","1990","Berlin","indirect migration background","2","","","","4"
"At lease once a week","1990","Brandenburg","no migration background","75","0.108415305146878","0.0853009229899291","0.131529687303826","4"
"At lease once a week","1990","Brandenburg","direct migration background","4","","","","4"
"At lease once a week","1990","Bavaria","indirect migration background","21","","","","4"
"At lease once a week","1990","Schleswig-Holstein","indirect migration background","2","","","","4"
"At lease once a week","1990","Hamburg","no migration background","39","0.327563696795955","0.244283520946163","0.410843872645746","4"
"At lease once a week","1990","Hamburg","direct migration background","11","","","","4"
"At lease once a week","1990","North Rhine-Westphalia","no migration background","575","0.308602697514757","0.287316773526643","0.329888621502871","4"
"At lease once a week","1990","North Rhine-Westphalia","direct migration background","112","0.18289744580509","0.153647239387373","0.212147652222806","4"
"At lease once a week","1990","North Rhine-Westphalia","indirect migration background","35","0.327256894276817","0.22691611301396","0.427597675539675","4"
"At lease once a week","1990","Rhineland-Palatinate,Saarland","direct migration background","24","","","","4"
"At lease once a week","1990","Bremen","no migration background","17","","","","4"
"At lease once a week","1990","Bremen","direct migration background","4","","","","4"
"At lease once a week","1990","Bremen","indirect migration background","1","","","","4"
"At lease once a week","1990","Lower Saxony","no migration background","267","0.304758103968428","0.272920826859347","0.336595381077509","4"
"At lease once a week","1990","Lower Saxony","direct migration background","28","","","","4"
"At lease once a week","1990","Lower Saxony","indirect migration background","8","","","","4"
"At lease once a week","1990","Brandenburg","indirect migration background","","","","","4"
"At lease once a week","1990","Mecklenburg-Western Pomerania","no migration background","52","0.100979060228727","0.0738832680815626","0.128074852375892","4"
"At lease once a week","1990","Mecklenburg-Western Pomerania","direct migration background","1","","","","4"
"At lease once a week","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"At lease once a week","1990","Saxony","no migration background","195","0.137381939910325","0.118366371076431","0.15639750874422","4"
"At lease once a week","1990","Saxony","direct migration background","3","","","","4"
"At lease once a week","1990","Saxony","indirect migration background","","","","","4"
"At lease once a week","1990","Saxony-Anhalt","no migration background","99","0.136722963365183","0.112329895103159","0.161116031627207","4"
"At lease once a week","1990","Saxony-Anhalt","direct migration background","1","","","","4"
"At lease once a week","1990","Saxony-Anhalt","indirect migration background","","","","","4"
"At lease once a week","1990","Thuringia","no migration background","91","0.115906390428925","0.0922935323544165","0.139519248503434","4"
"At lease once a week","1990","Thuringia","direct migration background","4","","","","4"
"At lease once a week","1990","Thuringia","indirect migration background","","","","","4"
"At least once a month","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"At least once a month","1990","Schleswig-Holstein","no migration background","20","","","","3"
"At least once a month","1990","Schleswig-Holstein","direct migration background","1","","","","3"
"At least once a month","1990","Berlin","indirect migration background","3","","","","3"
"At least once a month","1990","Brandenburg","indirect migration background","","","","","3"
"At least once a month","1990","Mecklenburg-Western Pomerania","no migration background","20","","","","3"
"At least once a month","1990","Mecklenburg-Western Pomerania","direct migration background","1","","","","3"
"At least once a month","1990","Saxony","no migration background","48","0.034772076202779","0.0246524265787338","0.0448917258268243","3"
"At least once a month","1990","Saxony","direct migration background","2","","","","3"
"At least once a month","1990","Schleswig-Holstein","indirect migration background","","","","","3"
"At least once a month","1990","Hamburg","no migration background","6","","","","3"
"At least once a month","1990","Hamburg","direct migration background","3","","","","3"
"At least once a month","1990","Hamburg","indirect migration background","","","","","3"
"At least once a month","1990","Lower Saxony","no migration background","73","0.0860503591686552","0.0666536615573994","0.105447056779911","3"
"At least once a month","1990","Baden-Württemberg","indirect migration background","14","","","","3"
"At least once a month","1990","Bavaria","indirect migration background","9","","","","3"
"At least once a month","1990","Berlin","no migration background","29","","","","3"
"At least once a month","1990","Berlin","direct migration background","4","","","","3"
"At least once a month","1990","Brandenburg","no migration background","21","","","","3"
"At least once a month","1990","Brandenburg","direct migration background","","","","","3"
"At least once a month","1990","Saxony-Anhalt","direct migration background","","","","","3"
"At least once a month","1990","Saxony-Anhalt","indirect migration background","","","","","3"
"At least once a month","1990","Thuringia","no migration background","19","","","","3"
"At least once a month","1990","Thuringia","direct migration background","","","","","3"
"At least once a month","1990","Thuringia","indirect migration background","","","","","3"
"At least once a month","1990","Lower Saxony","direct migration background","7","","","","3"
"At least once a month","1990","Lower Saxony","indirect migration background","1","","","","3"
"At least once a month","1990","Bremen","no migration background","5","","","","3"
"At least once a month","1990","Bremen","direct migration background","","","","","3"
"At least once a month","1990","Bremen","indirect migration background","","","","","3"
"At least once a month","1990","North Rhine-Westphalia","no migration background","171","0.095504604937074","0.0819606922965214","0.109048517577627","3"
"At least once a month","1990","Hesse","indirect migration background","5","","","","3"
"At least once a month","1990","Rhineland-Palatinate,Saarland","no migration background","37","0.0708808254934077","0.0491959442544823","0.0925657067323331","3"
"At least once a month","1990","Rhineland-Palatinate,Saarland","indirect migration background","3","","","","3"
"At least once a month","1990","Baden-Württemberg","no migration background","101","0.096498125119836","0.0785180219208301","0.114478228318842","3"
"At least once a month","1990","Baden-Württemberg","direct migration background","50","0.0658336625428808","0.0471806355316897","0.084486689554072","3"
"At least once a month","1990","Bavaria","no migration background","135","0.110470938325355","0.0926001609397713","0.128341715710938","3"
"At least once a month","1990","Bavaria","direct migration background","30","0.0923031985278617","0.0624856054497102","0.122120791606013","3"
"At least once a month","1990","Saxony","indirect migration background","","","","","3"
"At least once a month","1990","Saxony-Anhalt","no migration background","25","","","","3"
"At least once a month","1990","North Rhine-Westphalia","direct migration background","37","0.0603940470993443","0.0423698147423","0.0784182794563886","3"
"At least once a month","1990","North Rhine-Westphalia","indirect migration background","7","","","","3"
"At least once a month","1990","Hesse","no migration background","48","0.0617664348059284","0.0425681967869277","0.0809646728249292","3"
"At least once a month","1990","Hesse","direct migration background","12","","","","3"
"At least once a month","1990","Rhineland-Palatinate,Saarland","direct migration background","6","","","","3"
"Several times a year","1990","Schleswig-Holstein","no migration background","66","0.272627785167617","0.217093264757583","0.32816230557765","2"
"Several times a year","1990","Hamburg","indirect migration background","1","","","","2"
"Several times a year","1990","Schleswig-Holstein","direct migration background","4","","","","2"
"Several times a year","1990","Hamburg","direct migration background","2","","","","2"
"Several times a year","1990","Lower Saxony","indirect migration background","3","","","","2"
"Several times a year","1990","Bremen","no migration background","12","","","","2"
"Several times a year","1990","Schleswig-Holstein","indirect migration background","","","","","2"
"Several times a year","1990","Hamburg","no migration background","24","","","","2"
"Several times a year","1990","Lower Saxony","no migration background","156","0.183203898024358","0.156448309913953","0.209959486134764","2"
"Several times a year","1990","Lower Saxony","direct migration background","24","","","","2"
"Several times a year","1990","Bremen","direct migration background","4","","","","2"
"Several times a year","1990","North Rhine-Westphalia","no migration background","374","0.193070299157419","0.174881484698402","0.211259113616437","2"
"Several times a year","1990","Bremen","indirect migration background","","","","","2"
"Several times a year","1990","North Rhine-Westphalia","direct migration background","84","0.156201268067187","0.128731907959978","0.183670628174395","2"
"Several times a year","1990","North Rhine-Westphalia","indirect migration background","11","","","","2"
"Several times a year","1990","Hesse","direct migration background","29","","","","2"
"Several times a year","1990","Hesse","indirect migration background","4","","","","2"
"Several times a year","1990","Baden-Württemberg","no migration background","231","0.219099792977609","0.193912182644212","0.244287403311007","2"
"Several times a year","1990","Baden-Württemberg","direct migration background","114","0.176135770750091","0.147483119783872","0.204788421716311","2"
"Several times a year","1990","Hesse","no migration background","127","0.200049283334289","0.168146414555889","0.23195215211269","2"
"Several times a year","1990","Rhineland-Palatinate,Saarland","no migration background","79","0.139783783645785","0.110482330304193","0.169085236987377","2"
"Several times a year","1990","Rhineland-Palatinate,Saarland","direct migration background","11","","","","2"
"Several times a year","1990","Rhineland-Palatinate,Saarland","indirect migration background","3","","","","2"
"Several times a year","1990","Baden-Württemberg","indirect migration background","13","","","","2"
"Several times a year","1990","Bavaria","direct migration background","62","0.213068499357649","0.170887011494248","0.255249987221049","2"
"Several times a year","1990","Bavaria","indirect migration background","12","","","","2"
"Several times a year","1990","Berlin","no migration background","107","0.194869287514225","0.159940017295478","0.229798557732973","2"
"Several times a year","1990","Berlin","indirect migration background","2","","","","2"
"Several times a year","1990","Bavaria","no migration background","291","0.243474748102857","0.219007899774952","0.267941596430763","2"
"Several times a year","1990","Berlin","direct migration background","15","","","","2"
"Several times a year","1990","Brandenburg","no migration background","105","0.148937504758169","0.122468448823856","0.175406560692482","2"
"Several times a year","1990","Brandenburg","direct migration background","1","","","","2"
"Several times a year","1990","Mecklenburg-Western Pomerania","direct migration background","1","","","","2"
"Several times a year","1990","Thuringia","indirect migration background","","","","","2"
"Several times a year","1990","Brandenburg","indirect migration background","","","","","2"
"Several times a year","1990","Mecklenburg-Western Pomerania","no migration background","72","0.137672878056272","0.106687164283293","0.168658591829251","2"
"Several times a year","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Several times a year","1990","Saxony","indirect migration background","","","","","2"
"Several times a year","1990","Saxony-Anhalt","no migration background","106","0.114053621759227","0.09148376180509","0.136623481713363","2"
"Several times a year","1990","Saxony-Anhalt","direct migration background","1","","","","2"
"Several times a year","1990","Saxony-Anhalt","indirect migration background","1","","","","2"
"Several times a year","1990","Thuringia","no migration background","96","0.125399311915832","0.100970731814149","0.149827892017516","2"
"Several times a year","1990","Thuringia","direct migration background","3","","","","2"
"Several times a year","1990","Saxony","no migration background","174","0.126788565645717","0.108409011274616","0.145168120016819","2"
"Several times a year","1990","Saxony","direct migration background","3","","","","2"
"Almost never or never","1991","Schleswig-Holstein","no migration background","","","","","1"
"Almost never or never","1991","Schleswig-Holstein","direct migration background","","","","","1"
"Almost never or never","1991","Schleswig-Holstein","indirect migration background","","","","","1"
"Almost never or never","1991","Hamburg","no migration background","","","","","1"
"Almost never or never","1991","Hamburg","direct migration background","","","","","1"
"Almost never or never","1991","Hamburg","indirect migration background","","","","","1"
"Almost never or never","1991","Lower Saxony","no migration background","","","","","1"
"Almost never or never","1991","Lower Saxony","direct migration background","","","","","1"
"Almost never or never","1991","Lower Saxony","indirect migration background","","","","","1"
"Almost never or never","1991","Bremen","no migration background","","","","","1"
"Almost never or never","1991","Bremen","direct migration background","","","","","1"
"Almost never or never","1991","Bremen","indirect migration background","","","","","1"
"Almost never or never","1991","North Rhine-Westphalia","no migration background","","","","","1"
"Almost never or never","1991","North Rhine-Westphalia","direct migration background","","","","","1"
"Almost never or never","1991","North Rhine-Westphalia","indirect migration background","","","","","1"
"Almost never or never","1991","Hesse","no migration background","","","","","1"
"Almost never or never","1991","Hesse","direct migration background","","","","","1"
"Almost never or never","1991","Hesse","indirect migration background","","","","","1"
"Almost never or never","1991","Rhineland-Palatinate,Saarland","no migration background","","","","","1"
"Almost never or never","1991","Rhineland-Palatinate,Saarland","direct migration background","","","","","1"
"Almost never or never","1991","Rhineland-Palatinate,Saarland","indirect migration background","","","","","1"
"Almost never or never","1991","Baden-Württemberg","no migration background","","","","","1"
"Almost never or never","1991","Baden-Württemberg","direct migration background","","","","","1"
"Almost never or never","1991","Baden-Württemberg","indirect migration background","","","","","1"
"Almost never or never","1991","Bavaria","no migration background","","","","","1"
"Almost never or never","1991","Bavaria","direct migration background","","","","","1"
"Almost never or never","1991","Bavaria","indirect migration background","","","","","1"
"Almost never or never","1991","Berlin","no migration background","","","","","1"
"Almost never or never","1991","Berlin","direct migration background","","","","","1"
"Almost never or never","1991","Berlin","indirect migration background","","","","","1"
"Almost never or never","1991","Brandenburg","no migration background","","","","","1"
"Almost never or never","1991","Brandenburg","direct migration background","","","","","1"
"Almost never or never","1991","Brandenburg","indirect migration background","","","","","1"
"Almost never or never","1991","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Almost never or never","1991","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Almost never or never","1991","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Almost never or never","1991","Saxony","no migration background","","","","","1"
"Almost never or never","1991","Saxony","direct migration background","","","","","1"
"Almost never or never","1991","Saxony","indirect migration background","","","","","1"
"Almost never or never","1991","Saxony-Anhalt","no migration background","","","","","1"
"Almost never or never","1991","Saxony-Anhalt","direct migration background","","","","","1"
"Almost never or never","1991","Saxony-Anhalt","indirect migration background","","","","","1"
"Almost never or never","1991","Thuringia","no migration background","","","","","1"
"Almost never or never","1991","Thuringia","direct migration background","","","","","1"
"Almost never or never","1991","Thuringia","indirect migration background","","","","","1"
"At lease once a week","1991","Schleswig-Holstein","no migration background","","","","","4"
"At lease once a week","1991","Schleswig-Holstein","direct migration background","","","","","4"
"At lease once a week","1991","Schleswig-Holstein","indirect migration background","","","","","4"
"At lease once a week","1991","Hamburg","no migration background","","","","","4"
"At lease once a week","1991","Hamburg","direct migration background","","","","","4"
"At lease once a week","1991","Hamburg","indirect migration background","","","","","4"
"At lease once a week","1991","Rhineland-Palatinate,Saarland","no migration background","","","","","4"
"At lease once a week","1991","Hesse","no migration background","","","","","4"
"At lease once a week","1991","Hesse","direct migration background","","","","","4"
"At lease once a week","1991","Hesse","indirect migration background","","","","","4"
"At lease once a week","1991","Rhineland-Palatinate,Saarland","indirect migration background","","","","","4"
"At lease once a week","1991","Baden-Württemberg","no migration background","","","","","4"
"At lease once a week","1991","Baden-Württemberg","direct migration background","","","","","4"
"At lease once a week","1991","Baden-Württemberg","indirect migration background","","","","","4"
"At lease once a week","1991","Bavaria","no migration background","","","","","4"
"At lease once a week","1991","Bavaria","direct migration background","","","","","4"
"At lease once a week","1991","Bavaria","indirect migration background","","","","","4"
"At lease once a week","1991","Berlin","no migration background","","","","","4"
"At lease once a week","1991","Berlin","direct migration background","","","","","4"
"At lease once a week","1991","Berlin","indirect migration background","","","","","4"
"At lease once a week","1991","Brandenburg","no migration background","","","","","4"
"At lease once a week","1991","Brandenburg","direct migration background","","","","","4"
"At lease once a week","1991","Lower Saxony","no migration background","","","","","4"
"At lease once a week","1991","Lower Saxony","direct migration background","","","","","4"
"At lease once a week","1991","Lower Saxony","indirect migration background","","","","","4"
"At lease once a week","1991","North Rhine-Westphalia","no migration background","","","","","4"
"At lease once a week","1991","North Rhine-Westphalia","direct migration background","","","","","4"
"At lease once a week","1991","North Rhine-Westphalia","indirect migration background","","","","","4"
"At lease once a week","1991","Rhineland-Palatinate,Saarland","direct migration background","","","","","4"
"At lease once a week","1991","Bremen","no migration background","","","","","4"
"At lease once a week","1991","Bremen","direct migration background","","","","","4"
"At lease once a week","1991","Bremen","indirect migration background","","","","","4"
"At lease once a week","1991","Brandenburg","indirect migration background","","","","","4"
"At lease once a week","1991","Mecklenburg-Western Pomerania","no migration background","","","","","4"
"At lease once a week","1991","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"At lease once a week","1991","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"At lease once a week","1991","Saxony","no migration background","","","","","4"
"At lease once a week","1991","Saxony","direct migration background","","","","","4"
"At lease once a week","1991","Saxony","indirect migration background","","","","","4"
"At lease once a week","1991","Saxony-Anhalt","no migration background","","","","","4"
"At lease once a week","1991","Saxony-Anhalt","direct migration background","","","","","4"
"At lease once a week","1991","Saxony-Anhalt","indirect migration background","","","","","4"
"At lease once a week","1991","Thuringia","no migration background","","","","","4"
"At lease once a week","1991","Thuringia","direct migration background","","","","","4"
"At lease once a week","1991","Thuringia","indirect migration background","","","","","4"
"At least once a month","1991","Schleswig-Holstein","no migration background","","","","","3"
"At least once a month","1991","Schleswig-Holstein","direct migration background","","","","","3"
"At least once a month","1991","Schleswig-Holstein","indirect migration background","","","","","3"
"At least once a month","1991","Hamburg","no migration background","","","","","3"
"At least once a month","1991","Hamburg","direct migration background","","","","","3"
"At least once a month","1991","Hamburg","indirect migration background","","","","","3"
"At least once a month","1991","Brandenburg","indirect migration background","","","","","3"
"At least once a month","1991","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"At least once a month","1991","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"At least once a month","1991","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"At least once a month","1991","Saxony","no migration background","","","","","3"
"At least once a month","1991","Saxony","direct migration background","","","","","3"
"At least once a month","1991","Saxony-Anhalt","indirect migration background","","","","","3"
"At least once a month","1991","Lower Saxony","no migration background","","","","","3"
"At least once a month","1991","Lower Saxony","direct migration background","","","","","3"
"At least once a month","1991","Lower Saxony","indirect migration background","","","","","3"
"At least once a month","1991","Bremen","no migration background","","","","","3"
"At least once a month","1991","Bremen","direct migration background","","","","","3"
"At least once a month","1991","Bavaria","indirect migration background","","","","","3"
"At least once a month","1991","Berlin","no migration background","","","","","3"
"At least once a month","1991","Berlin","indirect migration background","","","","","3"
"At least once a month","1991","Brandenburg","no migration background","","","","","3"
"At least once a month","1991","Brandenburg","direct migration background","","","","","3"
"At least once a month","1991","Saxony","indirect migration background","","","","","3"
"At least once a month","1991","Saxony-Anhalt","no migration background","","","","","3"
"At least once a month","1991","Saxony-Anhalt","direct migration background","","","","","3"
"At least once a month","1991","Thuringia","direct migration background","","","","","3"
"At least once a month","1991","Thuringia","indirect migration background","","","","","3"
"At least once a month","1991","Bremen","indirect migration background","","","","","3"
"At least once a month","1991","North Rhine-Westphalia","no migration background","","","","","3"
"At least once a month","1991","North Rhine-Westphalia","direct migration background","","","","","3"
"At least once a month","1991","North Rhine-Westphalia","indirect migration background","","","","","3"
"At least once a month","1991","Hesse","no migration background","","","","","3"
"At least once a month","1991","Hesse","direct migration background","","","","","3"
