"plb0050","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2012","16-34 y.","middle vocational","","","","","2"
"No","2012","16-34 y.","vocational + Abi","","","","","2"
"Yes","2012","66 and older","general elemantary","","","","","1"
"Yes","2012","66 and older","middle vocational","","","","","1"
"Yes","2012","66 and older","vocational + Abi","","","","","1"
"Yes","2012","66 and older","higher vocational","","","","","1"
"Yes","2012","66 and older","higher education","","","","","1"
"Yes","2012","35-65 y.","vocational + Abi","","","","","1"
"Yes","2012","35-65 y.","higher vocational","","","","","1"
"Yes","2012","35-65 y.","higher education","","","","","1"
"Yes","2012","66 and older","in school","","","","","1"
"Yes","2012","66 and older","inadequately","","","","","1"
"Yes","2012","35-65 y.","in school","","","","","1"
"Yes","2012","35-65 y.","inadequately","","","","","1"
"Yes","2012","35-65 y.","middle vocational","","","","","1"
"Yes","2012","16-34 y.","higher education","","","","","1"
"Yes","2012","35-65 y.","general elemantary","","","","","1"
"Yes","2012","16-34 y.","middle vocational","","","","","1"
"Yes","2012","16-34 y.","vocational + Abi","","","","","1"
"Yes","2012","16-34 y.","general elemantary","","","","","1"
"Yes","2012","16-34 y.","higher vocational","","","","","1"
"Yes","2012","16-34 y.","in school","","","","","1"
"Yes","2012","16-34 y.","inadequately","","","","","1"
"No","2013","35-65 y.","middle vocational","","","","","2"
"No","2013","35-65 y.","vocational + Abi","","","","","2"
"No","2013","35-65 y.","higher vocational","","","","","2"
"No","2013","35-65 y.","higher education","","","","","2"
"No","2013","66 and older","in school","","","","","2"
"No","2013","66 and older","inadequately","","","","","2"
"No","2013","66 and older","general elemantary","","","","","2"
"No","2013","66 and older","middle vocational","","","","","2"
"No","2013","66 and older","vocational + Abi","","","","","2"
"No","2013","66 and older","higher vocational","","","","","2"
"No","2013","66 and older","higher education","","","","","2"
"No","2013","16-34 y.","higher vocational","","","","","2"
"No","2013","16-34 y.","higher education","","","","","2"
"No","2013","35-65 y.","in school","","","","","2"
"No","2013","35-65 y.","inadequately","","","","","2"
"No","2013","35-65 y.","general elemantary","","","","","2"
"No","2013","16-34 y.","in school","","","","","2"
"No","2013","16-34 y.","inadequately","","","","","2"
"No","2013","16-34 y.","general elemantary","","","","","2"
"No","2013","16-34 y.","middle vocational","","","","","2"
"No","2013","16-34 y.","vocational + Abi","","","","","2"
"Yes","2013","66 and older","general elemantary","","","","","1"
"Yes","2013","66 and older","middle vocational","","","","","1"
"Yes","2013","66 and older","vocational + Abi","","","","","1"
"Yes","2013","66 and older","higher vocational","","","","","1"
"Yes","2013","66 and older","higher education","","","","","1"
"Yes","2013","35-65 y.","vocational + Abi","","","","","1"
"Yes","2013","35-65 y.","higher vocational","","","","","1"
"Yes","2013","35-65 y.","higher education","","","","","1"
"Yes","2013","66 and older","in school","","","","","1"
"Yes","2013","66 and older","inadequately","","","","","1"
"Yes","2013","16-34 y.","higher education","","","","","1"
"Yes","2013","35-65 y.","in school","","","","","1"
"Yes","2013","35-65 y.","inadequately","","","","","1"
"Yes","2013","35-65 y.","general elemantary","","","","","1"
"Yes","2013","35-65 y.","middle vocational","","","","","1"
"Yes","2013","16-34 y.","vocational + Abi","","","","","1"
"Yes","2013","16-34 y.","higher vocational","","","","","1"
"Yes","2013","16-34 y.","inadequately","","","","","1"
"Yes","2013","16-34 y.","middle vocational","","","","","1"
"Yes","2013","16-34 y.","general elemantary","","","","","1"
"Yes","2013","16-34 y.","in school","","","","","1"
"No","2014","16-34 y.","higher vocational","","","","","2"
"No","2014","16-34 y.","higher education","","","","","2"
"No","2014","35-65 y.","in school","","","","","2"
"No","2014","35-65 y.","inadequately","","","","","2"
"No","2014","35-65 y.","general elemantary","","","","","2"
"No","2014","35-65 y.","middle vocational","","","","","2"
"No","2014","35-65 y.","vocational + Abi","","","","","2"
"No","2014","35-65 y.","higher vocational","","","","","2"
"No","2014","35-65 y.","higher education","","","","","2"
"No","2014","66 and older","in school","","","","","2"
"No","2014","66 and older","inadequately","","","","","2"
"No","2014","66 and older","general elemantary","","","","","2"
"No","2014","66 and older","middle vocational","","","","","2"
"No","2014","66 and older","vocational + Abi","","","","","2"
"No","2014","66 and older","higher vocational","","","","","2"
"No","2014","66 and older","higher education","","","","","2"
"No","2014","16-34 y.","in school","","","","","2"
"No","2014","16-34 y.","inadequately","","","","","2"
"No","2014","16-34 y.","general elemantary","","","","","2"
"No","2014","16-34 y.","middle vocational","","","","","2"
"No","2014","16-34 y.","vocational + Abi","","","","","2"
"Yes","2014","66 and older","general elemantary","","","","","1"
"Yes","2014","66 and older","middle vocational","","","","","1"
"Yes","2014","66 and older","vocational + Abi","","","","","1"
"Yes","2014","66 and older","higher vocational","","","","","1"
"Yes","2014","66 and older","higher education","","","","","1"
"Yes","2014","35-65 y.","vocational + Abi","","","","","1"
"Yes","2014","35-65 y.","higher vocational","","","","","1"
"Yes","2014","35-65 y.","higher education","","","","","1"
"Yes","2014","66 and older","in school","","","","","1"
"Yes","2014","66 and older","inadequately","","","","","1"
"Yes","2014","16-34 y.","higher education","","","","","1"
"Yes","2014","35-65 y.","inadequately","","","","","1"
"Yes","2014","35-65 y.","middle vocational","","","","","1"
"Yes","2014","35-65 y.","in school","","","","","1"
"Yes","2014","35-65 y.","general elemantary","","","","","1"
"Yes","2014","16-34 y.","inadequately","","","","","1"
"Yes","2014","16-34 y.","general elemantary","","","","","1"
"Yes","2014","16-34 y.","vocational + Abi","","","","","1"
"Yes","2014","16-34 y.","middle vocational","","","","","1"
"Yes","2014","16-34 y.","higher vocational","","","","","1"
"Yes","2014","16-34 y.","in school","","","","","1"
"No","2015","16-34 y.","higher vocational","","","","","2"
"No","2015","16-34 y.","higher education","","","","","2"
"No","2015","35-65 y.","in school","","","","","2"
"No","2015","35-65 y.","inadequately","","","","","2"
"No","2015","35-65 y.","general elemantary","","","","","2"
"No","2015","35-65 y.","middle vocational","","","","","2"
"No","2015","35-65 y.","vocational + Abi","","","","","2"
"No","2015","35-65 y.","higher vocational","","","","","2"
"No","2015","35-65 y.","higher education","","","","","2"
"No","2015","66 and older","in school","","","","","2"
"No","2015","66 and older","inadequately","","","","","2"
"No","2015","66 and older","general elemantary","","","","","2"
"No","2015","66 and older","middle vocational","","","","","2"
"No","2015","66 and older","vocational + Abi","","","","","2"
"No","2015","66 and older","higher vocational","","","","","2"
"No","2015","66 and older","higher education","","","","","2"
"No","2015","16-34 y.","in school","","","","","2"
"No","2015","16-34 y.","inadequately","","","","","2"
"No","2015","16-34 y.","general elemantary","","","","","2"
"No","2015","16-34 y.","middle vocational","","","","","2"
"No","2015","16-34 y.","vocational + Abi","","","","","2"
"Yes","2015","66 and older","general elemantary","","","","","1"
"Yes","2015","66 and older","middle vocational","","","","","1"
"Yes","2015","66 and older","vocational + Abi","","","","","1"
"Yes","2015","66 and older","higher vocational","","","","","1"
"Yes","2015","66 and older","higher education","","","","","1"
"Yes","2015","35-65 y.","vocational + Abi","","","","","1"
"Yes","2015","35-65 y.","higher vocational","","","","","1"
"Yes","2015","35-65 y.","higher education","","","","","1"
"Yes","2015","66 and older","in school","","","","","1"
"Yes","2015","66 and older","inadequately","","","","","1"
"Yes","2015","35-65 y.","in school","","","","","1"
"Yes","2015","35-65 y.","inadequately","","","","","1"
"Yes","2015","35-65 y.","middle vocational","","","","","1"
"Yes","2015","16-34 y.","higher education","","","","","1"
"Yes","2015","35-65 y.","general elemantary","","","","","1"
"Yes","2015","16-34 y.","inadequately","","","","","1"
"Yes","2015","16-34 y.","middle vocational","","","","","1"
"Yes","2015","16-34 y.","vocational + Abi","","","","","1"
"Yes","2015","16-34 y.","general elemantary","","","","","1"
"Yes","2015","16-34 y.","higher vocational","","","","","1"
"Yes","2015","16-34 y.","in school","","","","","1"
"No","2016","16-34 y.","higher vocational","40","0.398312315532041","0.302838378321049","0.493786252743034","2"
"No","2016","16-34 y.","higher education","259","0.339666993087818","0.30478191989094","0.374552066284696","2"
"No","2016","35-65 y.","in school","","","","","2"
"No","2016","35-65 y.","inadequately","54","0.516075126096818","0.418613682335065","0.613536569858572","2"
"No","2016","35-65 y.","general elemantary","364","0.549785688741533","0.509910398019626","0.58966097946344","2"
"No","2016","35-65 y.","middle vocational","2401","0.48847980787864","0.474183011032859","0.502776604724421","2"
"No","2016","35-65 y.","vocational + Abi","523","0.432676905303658","0.403345025074712","0.462008785532604","2"
"No","2016","35-65 y.","higher vocational","327","0.419444312427562","0.384314762545739","0.454573862309385","2"
"No","2016","35-65 y.","higher education","1018","0.33840077931662","0.321392365796628","0.355409192836613","2"
"No","2016","66 and older","in school","","","","","2"
"No","2016","66 and older","inadequately","1","","","","2"
"No","2016","66 and older","general elemantary","16","","","","2"
"No","2016","66 and older","middle vocational","84","0.76378761802919","0.687149519004197","0.840425717054183","2"
"No","2016","66 and older","vocational + Abi","6","","","","2"
"No","2016","66 and older","higher vocational","11","","","","2"
"No","2016","66 and older","higher education","59","0.777537194148553","0.684033108728049","0.871041279569057","2"
"No","2016","16-34 y.","in school","39","0.816853249990376","0.711725335739707","0.921981164241046","2"
"No","2016","16-34 y.","inadequately","32","0.480484874340289","0.334509098305836","0.626460650374742","2"
"No","2016","16-34 y.","general elemantary","307","0.56986245191994","0.52767250744981","0.612052396390069","2"
"No","2016","16-34 y.","middle vocational","732","0.520946656148558","0.494694009608221","0.547199302688894","2"
"No","2016","16-34 y.","vocational + Abi","181","0.514224113041735","0.462159738489717","0.566288487593753","2"
"Yes","2016","66 and older","general elemantary","3","","","","1"
"Yes","2016","35-65 y.","vocational + Abi","573","0.567323094696342","0.537991214467396","0.596654974925288","1"
"Yes","2016","35-65 y.","higher vocational","431","0.580555687572438","0.545426137690615","0.615685237454261","1"
"Yes","2016","35-65 y.","higher education","1955","0.66159922068338","0.644590807163387","0.678607634203372","1"
"Yes","2016","66 and older","in school","","","","","1"
"Yes","2016","66 and older","inadequately","","","","","1"
"Yes","2016","66 and older","middle vocational","34","0.23621238197081","0.159574282945817","0.312850480995803","1"
"Yes","2016","66 and older","vocational + Abi","1","","","","1"
"Yes","2016","66 and older","higher vocational","3","","","","1"
"Yes","2016","66 and older","higher education","17","","","","1"
"Yes","2016","16-34 y.","higher education","449","0.660333006912182","0.625447933715304","0.69521808010906","1"
"Yes","2016","35-65 y.","in school","","","","","1"
"Yes","2016","35-65 y.","inadequately","47","0.483924873903182","0.386463430141428","0.581386317664935","1"
"Yes","2016","35-65 y.","general elemantary","234","0.450214311258467","0.41033902053656","0.490089601980374","1"
"Yes","2016","35-65 y.","middle vocational","2295","0.51152019212136","0.497223395275579","0.525816988967141","1"
"Yes","2016","16-34 y.","general elemantary","222","0.43013754808006","0.387947603609931","0.47232749255019","1"
"Yes","2016","16-34 y.","inadequately","13","","","","1"
"Yes","2016","16-34 y.","vocational + Abi","173","0.485775886958265","0.433711512406247","0.537840261510283","1"
"Yes","2016","16-34 y.","higher vocational","61","0.601687684467959","0.506213747256966","0.697161621678951","1"
"Yes","2016","16-34 y.","middle vocational","659","0.479053343851442","0.452800697311106","0.505305990391779","1"
"Yes","2016","16-34 y.","in school","13","","","","1"
"No","2017","16-34 y.","in school","","","","","2"
"No","2017","16-34 y.","inadequately","","","","","2"
"No","2017","16-34 y.","general elemantary","","","","","2"
"No","2017","16-34 y.","middle vocational","","","","","2"
"No","2017","16-34 y.","vocational + Abi","","","","","2"
"No","2017","16-34 y.","higher vocational","","","","","2"
"No","2017","16-34 y.","higher education","","","","","2"
"No","2017","35-65 y.","in school","","","","","2"
"No","2017","35-65 y.","inadequately","","","","","2"
"No","2017","35-65 y.","general elemantary","","","","","2"
"No","2017","35-65 y.","middle vocational","","","","","2"
"No","2017","35-65 y.","vocational + Abi","","","","","2"
"No","2017","35-65 y.","higher vocational","","","","","2"
"No","2017","35-65 y.","higher education","","","","","2"
"No","2017","66 and older","in school","","","","","2"
"No","2017","66 and older","inadequately","","","","","2"
"No","2017","66 and older","general elemantary","","","","","2"
"No","2017","66 and older","middle vocational","","","","","2"
"No","2017","66 and older","vocational + Abi","","","","","2"
"No","2017","66 and older","higher vocational","","","","","2"
"No","2017","66 and older","higher education","","","","","2"
"Yes","2017","66 and older","general elemantary","","","","","1"
"Yes","2017","35-65 y.","vocational + Abi","","","","","1"
"Yes","2017","35-65 y.","higher vocational","","","","","1"
"Yes","2017","35-65 y.","higher education","","","","","1"
"Yes","2017","66 and older","in school","","","","","1"
"Yes","2017","66 and older","inadequately","","","","","1"
"Yes","2017","66 and older","middle vocational","","","","","1"
"Yes","2017","66 and older","vocational + Abi","","","","","1"
"Yes","2017","66 and older","higher vocational","","","","","1"
"Yes","2017","66 and older","higher education","","","","","1"
"Yes","2017","16-34 y.","higher education","","","","","1"
"Yes","2017","35-65 y.","inadequately","","","","","1"
"Yes","2017","35-65 y.","middle vocational","","","","","1"
"Yes","2017","35-65 y.","in school","","","","","1"
"Yes","2017","35-65 y.","general elemantary","","","","","1"
"Yes","2017","16-34 y.","inadequately","","","","","1"
"Yes","2017","16-34 y.","general elemantary","","","","","1"
"Yes","2017","16-34 y.","vocational + Abi","","","","","1"
"Yes","2017","16-34 y.","middle vocational","","","","","1"
"Yes","2017","16-34 y.","higher vocational","","","","","1"
"Yes","2017","16-34 y.","in school","","","","","1"
"No","2018","16-34 y.","in school","","","","","2"
"No","2018","16-34 y.","inadequately","","","","","2"
"No","2018","16-34 y.","general elemantary","","","","","2"
"No","2018","16-34 y.","middle vocational","","","","","2"
"No","2018","16-34 y.","vocational + Abi","","","","","2"
"No","2018","16-34 y.","higher vocational","","","","","2"
"No","2018","16-34 y.","higher education","","","","","2"
"No","2018","35-65 y.","in school","","","","","2"
"No","2018","35-65 y.","inadequately","","","","","2"
"No","2018","35-65 y.","general elemantary","","","","","2"
"No","2018","35-65 y.","middle vocational","","","","","2"
"No","2018","35-65 y.","vocational + Abi","","","","","2"
"No","2018","35-65 y.","higher vocational","","","","","2"
"No","2018","35-65 y.","higher education","","","","","2"
"No","2018","66 and older","in school","","","","","2"
"No","2018","66 and older","inadequately","","","","","2"
"No","2018","66 and older","general elemantary","","","","","2"
"No","2018","66 and older","middle vocational","","","","","2"
"No","2018","66 and older","vocational + Abi","","","","","2"
"No","2018","66 and older","higher vocational","","","","","2"
"No","2018","66 and older","higher education","","","","","2"
"Yes","2018","66 and older","general elemantary","","","","","1"
"Yes","2018","66 and older","in school","","","","","1"
"Yes","2018","66 and older","higher vocational","","","","","1"
"Yes","2018","35-65 y.","vocational + Abi","","","","","1"
"Yes","2018","35-65 y.","higher vocational","","","","","1"
"Yes","2018","35-65 y.","higher education","","","","","1"
"Yes","2018","66 and older","inadequately","","","","","1"
"Yes","2018","66 and older","middle vocational","","","","","1"
"Yes","2018","66 and older","vocational + Abi","","","","","1"
"Yes","2018","66 and older","higher education","","","","","1"
"Yes","2018","35-65 y.","general elemantary","","","","","1"
"Yes","2018","35-65 y.","middle vocational","","","","","1"
"Yes","2018","35-65 y.","in school","","","","","1"
"Yes","2018","16-34 y.","higher education","","","","","1"
"Yes","2018","35-65 y.","inadequately","","","","","1"
"Yes","2018","16-34 y.","vocational + Abi","","","","","1"
"Yes","2018","16-34 y.","higher vocational","","","","","1"
"Yes","2018","16-34 y.","inadequately","","","","","1"
"Yes","2018","16-34 y.","middle vocational","","","","","1"
"Yes","2018","16-34 y.","general elemantary","","","","","1"
"Yes","2018","16-34 y.","in school","","","","","1"
"No","2019","16-34 y.","in school","35","0.569317397234982","0.44188202661754","0.696752767852424","2"
"No","2019","16-34 y.","inadequately","19","","","","2"
"No","2019","16-34 y.","general elemantary","281","0.628405350266858","0.585220619535729","0.671590080997986","2"
"No","2019","16-34 y.","middle vocational","704","0.500745539711173","0.474545089420973","0.526945990001373","2"
"No","2019","16-34 y.","vocational + Abi","170","0.417125391376456","0.365976660184676","0.468274122568236","2"
"No","2019","16-34 y.","higher vocational","52","0.409610917915142","0.321625158106999","0.497596677723284","2"
"No","2019","16-34 y.","higher education","284","0.324917408950904","0.291837243471996","0.357997574429812","2"
"No","2019","35-65 y.","in school","","","","","2"
"No","2019","35-65 y.","inadequately","65","0.460896754483763","0.36816587051049","0.553627638457036","2"
"No","2019","35-65 y.","general elemantary","375","0.543462895111623","0.504567265534191","0.582358524689055","2"
"No","2019","35-65 y.","middle vocational","2611","0.500697733651419","0.486672219685912","0.514723247616925","2"
"No","2019","35-65 y.","vocational + Abi","628","0.435351159149827","0.407788469203618","0.462913849096035","2"
"No","2019","35-65 y.","higher vocational","506","0.396766210865352","0.365721753466573","0.42781066826413","2"
"No","2019","35-65 y.","higher education","1665","0.353996902240495","0.338683163428348","0.369310641052643","2"
"No","2019","66 and older","in school","","","","","2"
"No","2019","66 and older","inadequately","2","","","","2"
"No","2019","66 and older","general elemantary","32","0.889668306998725","0.787324623997119","0.992011990000332","2"
"No","2019","66 and older","middle vocational","164","0.741261834720354","0.681457791310133","0.801065878130575","2"
"No","2019","66 and older","vocational + Abi","19","","","","2"
"No","2019","66 and older","higher vocational","45","0.965985573358107","0.915231962137989","1.01673918457823","2"
"No","2019","66 and older","higher education","157","0.689718291375244","0.623414059721538","0.75602252302895","2"
"Yes","2019","35-65 y.","vocational + Abi","615","0.564648840850173","0.537086150903965","0.592211530796382","1"
"Yes","2019","66 and older","general elemantary","4","","","","1"
"Yes","2019","35-65 y.","higher vocational","448","0.603233789134648","0.57218933173587","0.634278246533427","1"
"Yes","2019","66 and older","in school","","","","","1"
"Yes","2019","66 and older","middle vocational","42","0.258738165279646","0.198934121869425","0.318542208689867","1"
"Yes","2019","66 and older","higher vocational","4","","","","1"
"Yes","2019","16-34 y.","higher education","486","0.675082591049096","0.642002425570188","0.708162756528004","1"
"Yes","2019","35-65 y.","in school","","","","","1"
"Yes","2019","35-65 y.","inadequately","46","0.539103245516237","0.446372361542964","0.63183412948951","1"
"Yes","2019","35-65 y.","general elemantary","255","0.456537104888377","0.417641475310945","0.495432734465809","1"
"Yes","2019","35-65 y.","middle vocational","2271","0.499302266348581","0.485276752383075","0.513327780314088","1"
"Yes","2019","35-65 y.","higher education","2081","0.646003097759505","0.630689358947357","0.661316836571652","1"
"Yes","2019","66 and older","inadequately","","","","","1"
"Yes","2019","66 and older","vocational + Abi","7","","","","1"
"Yes","2019","66 and older","higher education","30","0.310281708624756","0.24397747697105","0.376585940278462","1"
"Yes","2019","16-34 y.","general elemantary","200","0.371594649733142","0.328409919002014","0.414779380464271","1"
"Yes","2019","16-34 y.","vocational + Abi","187","0.582874608623544","0.531725877431764","0.634023339815324","1"
"Yes","2019","16-34 y.","inadequately","18","","","","1"
"Yes","2019","16-34 y.","middle vocational","695","0.499254460288827","0.473054009998627","0.525454910579027","1"
"Yes","2019","16-34 y.","higher vocational","68","0.590389082084858","0.502403322276716","0.678374841893001","1"
"Yes","2019","16-34 y.","in school","23","","","","1"
