"ple0081_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"No","2014","Other degree","no migration background","114","0.649465696703196","0.580523907446751","0.71840748595964"
"No","2014","Other degree","direct migration background","2198","0.710996305296895","0.694935299190967","0.727057311402822"
"No","2014","Other degree","indirect migration background","41","0.675150538123039","0.562166391901071","0.788134684345008"
"No","2014","no degree/no degree yet","no migration background","333","0.675203227736529","0.633396355316901","0.717010100156157"
"No","2014","no degree/no degree yet","direct migration background","249","0.666505445235576","0.619288821572861","0.713722068898291"
"No","2014","no degree/no degree yet","indirect migration background","101","0.661489352682151","0.584200930624904","0.738777774739398"
"Yes","2015","lower secondary degree","no migration background","","","",""
"Yes","2015","lower secondary degree","direct migration background","","","",""
"Yes","2015","lower secondary degree","indirect migration background","","","",""
"Yes","2015","secondary school degree","no migration background","","","",""
"Yes","2015","secondary school degree","direct migration background","","","",""
"Yes","2015","secondary school degree","indirect migration background","","","",""
"Yes","2015","college entrance qualification","no migration background","","","",""
"Yes","2015","college entrance qualification","direct migration background","","","",""
"Yes","2015","college entrance qualification","indirect migration background","","","",""
"Yes","2015","Other degree","no migration background","","","",""
"Yes","2015","Other degree","direct migration background","","","",""
"Yes","2015","Other degree","indirect migration background","","","",""
"Yes","2015","no degree/no degree yet","no migration background","","","",""
"Yes","2015","no degree/no degree yet","direct migration background","","","",""
"Yes","2015","no degree/no degree yet","indirect migration background","","","",""
"No","2015","lower secondary degree","no migration background","","","",""
"No","2015","lower secondary degree","direct migration background","","","",""
"No","2015","lower secondary degree","indirect migration background","","","",""
"No","2015","secondary school degree","no migration background","","","",""
"No","2015","secondary school degree","direct migration background","","","",""
"No","2015","secondary school degree","indirect migration background","","","",""
"No","2015","college entrance qualification","no migration background","","","",""
"No","2015","college entrance qualification","direct migration background","","","",""
"No","2015","college entrance qualification","indirect migration background","","","",""
"No","2015","Other degree","no migration background","","","",""
"No","2015","Other degree","direct migration background","","","",""
"No","2015","Other degree","indirect migration background","","","",""
"No","2015","no degree/no degree yet","no migration background","","","",""
"No","2015","no degree/no degree yet","direct migration background","","","",""
"No","2015","no degree/no degree yet","indirect migration background","","","",""
"Yes","2016","lower secondary degree","no migration background","1479","0.272995826488024","0.260681889912861","0.285309763063188"
"Yes","2016","lower secondary degree","direct migration background","176","0.320875052881872","0.278717008550465","0.363033097213278"
"Yes","2016","lower secondary degree","indirect migration background","174","0.407322914077121","0.355994806937823","0.458651021216419"
"Yes","2016","secondary school degree","no migration background","1665","0.282489349956474","0.270999590876395","0.293979109036553"
"Yes","2016","secondary school degree","direct migration background","100","0.31870701341973","0.269321700787794","0.368092326051666"
"Yes","2016","secondary school degree","indirect migration background","129","0.310573853786464","0.26453139069042","0.356616316882509"
"Yes","2016","college entrance qualification","no migration background","932","0.174425367775774","0.164713627121241","0.184137108430307"
"Yes","2016","college entrance qualification","direct migration background","81","0.218061745997323","0.178476265324382","0.257647226670263"
"Yes","2016","college entrance qualification","indirect migration background","109","0.241265103506948","0.204349028064233","0.278181178949663"
"Yes","2016","Other degree","no migration background","53","0.293259227872546","0.220646034907161","0.365872420837931"
"Yes","2016","Other degree","direct migration background","874","0.266341864426287","0.25064109162331","0.282042637229264"
"Yes","2016","Other degree","indirect migration background","21","","",""
"Yes","2016","no degree/no degree yet","no migration background","115","0.347996042027227","0.299328831992444","0.39666325206201"
"Yes","2016","no degree/no degree yet","direct migration background","126","0.329486600100363","0.280032083309271","0.378941116891454"
"Yes","2016","no degree/no degree yet","indirect migration background","26","","",""
"No","2016","lower secondary degree","no migration background","3549","0.727004173511976","0.714690236936812","0.739318110087139"
"No","2016","lower secondary degree","direct migration background","295","0.679124947118128","0.636966902786722","0.721282991449535"
"No","2016","lower secondary degree","indirect migration background","178","0.592677085922879","0.541348978783581","0.644005193062177"
"No","2016","secondary school degree","no migration background","4233","0.717510650043526","0.706020890963447","0.729000409123605"
"No","2016","secondary school degree","direct migration background","242","0.68129298658027","0.631907673948334","0.730678299212206"
"No","2016","secondary school degree","indirect migration background","259","0.689426146213536","0.643383683117492","0.73546860930958"
"No","2016","college entrance qualification","no migration background","4933","0.825574632224226","0.815862891569693","0.835286372878759"
"No","2016","college entrance qualification","direct migration background","337","0.781938254002677","0.742352773329737","0.821523734675618"
"No","2016","college entrance qualification","indirect migration background","407","0.758734896493052","0.721818821050337","0.795650971935767"
"No","2016","Other degree","no migration background","98","0.706740772127454","0.63412757916207","0.779353965092839"
"No","2016","Other degree","direct migration background","2171","0.733658135573713","0.717957362770736","0.74935890837669"
"No","2016","Other degree","indirect migration background","33","0.692691390943984","0.569633782771804","0.815748999116163"
"No","2016","no degree/no degree yet","no migration background","253","0.652003957972773","0.60333674793799","0.700671168007556"
"No","2016","no degree/no degree yet","direct migration background","221","0.670513399899637","0.621058883108545","0.719967916690729"
"No","2016","no degree/no degree yet","indirect migration background","75","0.688487037044641","0.598169237153931","0.778804836935351"
"Yes","2017","lower secondary degree","no migration background","","","",""
"Yes","2017","lower secondary degree","direct migration background","","","",""
"Yes","2017","lower secondary degree","indirect migration background","","","",""
"Yes","2017","secondary school degree","no migration background","","","",""
"Yes","2017","secondary school degree","direct migration background","","","",""
"Yes","2017","secondary school degree","indirect migration background","","","",""
"Yes","2017","college entrance qualification","no migration background","","","",""
"Yes","2017","college entrance qualification","direct migration background","","","",""
"Yes","2017","college entrance qualification","indirect migration background","","","",""
"Yes","2017","Other degree","no migration background","","","",""
"Yes","2017","Other degree","direct migration background","","","",""
"Yes","2017","Other degree","indirect migration background","","","",""
"Yes","2017","no degree/no degree yet","no migration background","","","",""
"Yes","2017","no degree/no degree yet","direct migration background","","","",""
"Yes","2017","no degree/no degree yet","indirect migration background","","","",""
"No","2017","lower secondary degree","no migration background","","","",""
"No","2017","lower secondary degree","direct migration background","","","",""
"No","2017","lower secondary degree","indirect migration background","","","",""
"No","2017","secondary school degree","no migration background","","","",""
"No","2017","secondary school degree","direct migration background","","","",""
"No","2017","secondary school degree","indirect migration background","","","",""
"No","2017","college entrance qualification","no migration background","","","",""
"No","2017","college entrance qualification","direct migration background","","","",""
"No","2017","college entrance qualification","indirect migration background","","","",""
"No","2017","Other degree","no migration background","","","",""
"No","2017","Other degree","direct migration background","","","",""
"No","2017","Other degree","indirect migration background","","","",""
"No","2017","no degree/no degree yet","no migration background","","","",""
"No","2017","no degree/no degree yet","direct migration background","","","",""
"No","2017","no degree/no degree yet","indirect migration background","","","",""
"Yes","2018","lower secondary degree","no migration background","1493","0.268250927084989","0.255916069250297","0.280585784919681"
"Yes","2018","lower secondary degree","direct migration background","156","0.350823917554801","0.304630295685411","0.397017539424192"
"Yes","2018","lower secondary degree","indirect migration background","172","0.455877472120171","0.403848028891271","0.507906915349072"
"Yes","2018","secondary school degree","no migration background","1771","0.263237647790948","0.252531601267503","0.273943694314392"
"Yes","2018","secondary school degree","direct migration background","99","0.367941337022373","0.315672576707447","0.4202100973373"
"Yes","2018","secondary school degree","indirect migration background","122","0.335494050113997","0.290175927332124","0.38081217289587"
"Yes","2018","college entrance qualification","no migration background","1065","0.171309701022532","0.162284437190465","0.1803349648546"
"Yes","2018","college entrance qualification","direct migration background","73","0.179358666777133","0.141524217181381","0.217193116372884"
"Yes","2018","college entrance qualification","indirect migration background","119","0.223829414461736","0.189611949388465","0.258046879535007"
"Yes","2018","Other degree","no migration background","59","0.278055316265819","0.208193944278969","0.347916688252668"
"Yes","2018","Other degree","direct migration background","750","0.273185298861627","0.256445719354925","0.28992487836833"
"Yes","2018","Other degree","indirect migration background","13","","",""
"Yes","2018","no degree/no degree yet","no migration background","132","0.306957835606895","0.262421070025589","0.3514946011882"
"Yes","2018","no degree/no degree yet","direct migration background","124","0.406889832430652","0.354825399643019","0.458954265218285"
"Yes","2018","no degree/no degree yet","indirect migration background","34","0.275904709043187","0.196591486896562","0.355217931189812"
"No","2018","lower secondary degree","no migration background","3463","0.731749072915011","0.719414215080319","0.744083930749703"
"No","2018","lower secondary degree","direct migration background","254","0.649176082445199","0.602982460575808","0.695369704314589"
"No","2018","lower secondary degree","indirect migration background","180","0.544122527879829","0.492093084650928","0.59615197110873"
"No","2018","secondary school degree","no migration background","4729","0.736762352209052","0.726056305685608","0.747468398732497"
"No","2018","secondary school degree","direct migration background","228","0.632058662977627","0.5797899026627","0.684327423292553"
"No","2018","secondary school degree","indirect migration background","295","0.664505949886003","0.61918782710413","0.709824072667876"
"No","2018","college entrance qualification","no migration background","5630","0.828690298977468","0.8196650351454","0.837715562809535"
"No","2018","college entrance qualification","direct migration background","322","0.820641333222867","0.782806883627116","0.858475782818619"
"No","2018","college entrance qualification","indirect migration background","451","0.776170585538264","0.741953120464993","0.810388050611535"
"No","2018","Other degree","no migration background","99","0.721944683734181","0.652083311747331","0.791806055721031"
"No","2018","Other degree","direct migration background","1972","0.726814701138373","0.71007512163167","0.743554280645075"
"No","2018","Other degree","indirect migration background","35","0.838192836093558","0.734009486196038","0.942376185991077"
"No","2018","no degree/no degree yet","no migration background","280","0.693042164393106","0.6485053988118","0.737578929974411"
"No","2018","no degree/no degree yet","direct migration background","218","0.593110167569349","0.541045734781716","0.645174600356981"
"No","2018","no degree/no degree yet","indirect migration background","88","0.724095290956813","0.644782068810189","0.803408513103438"
