"ple0081_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2008","Other degree","middle vocational","98","0.355871063789066","0.30357693909089","0.408165188487243"
"Yes","2008","Other degree","vocational + Abi","37","0.377578513403397","0.287393883785867","0.467763143020926"
"Yes","2008","Other degree","higher vocational","13","","",""
"Yes","2008","Other degree","higher education","30","0.225324774155464","0.164119918017227","0.286529630293701"
"Yes","2008","no degree/no degree yet","in school","56","0.181303725474219","0.141169837770325","0.221437613178114"
"Yes","2008","no degree/no degree yet","inadequately","61","0.451362682067816","0.371460166227148","0.531265197908483"
"Yes","2008","no degree/no degree yet","general elemantary","","","",""
"Yes","2008","no degree/no degree yet","middle vocational","15","","",""
"Yes","2008","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2008","no degree/no degree yet","higher vocational","","","",""
"Yes","2008","no degree/no degree yet","higher education","","","",""
"No","2008","lower secondary degree","in school","","","",""
"No","2008","lower secondary degree","inadequately","","","",""
"No","2008","lower secondary degree","general elemantary","939","0.712954564505731","0.68837265065782","0.737536478353643"
"No","2008","lower secondary degree","middle vocational","3187","0.683541416148298","0.670070298583352","0.697012533713243"
"No","2008","lower secondary degree","vocational + Abi","12","","",""
"No","2008","lower secondary degree","higher vocational","329","0.747022824280368","0.705398357315804","0.788647291244932"
"No","2008","lower secondary degree","higher education","152","0.826739613882315","0.770983118165489","0.88249610959914"
"No","2008","secondary school degree","in school","","","",""
"No","2008","secondary school degree","inadequately","","","",""
"No","2008","secondary school degree","general elemantary","299","0.629805376852176","0.586564094019017","0.673046659685335"
"No","2008","secondary school degree","middle vocational","2769","0.680297684532844","0.665866897546537","0.694728471519151"
"No","2008","secondary school degree","vocational + Abi","24","","",""
"No","2008","secondary school degree","higher vocational","467","0.737139043507062","0.70260133295686","0.771676754057264"
"No","2008","secondary school degree","higher education","474","0.773595673334719","0.740438938427283","0.806752408242156"
"No","2008","college entrance qualification","in school","","","",""
"No","2008","college entrance qualification","inadequately","","","",""
"No","2008","college entrance qualification","general elemantary","","","",""
"No","2008","college entrance qualification","middle vocational","511","0.766517997429562","0.734791244823832","0.798244750035292"
"No","2008","college entrance qualification","vocational + Abi","689","0.723951652929737","0.695358460146817","0.752544845712657"
"No","2008","college entrance qualification","higher vocational","248","0.814162269307339","0.771477279478029","0.856847259136648"
"No","2008","college entrance qualification","higher education","2652","0.821140931174098","0.807877284505049","0.834404577843146"
"No","2008","Other degree","in school","","","",""
"No","2008","Other degree","inadequately","19","","",""
"No","2008","Other degree","general elemantary","197","0.757868012192612","0.70497836222443","0.810757662160794"
"No","2008","Other degree","middle vocational","224","0.644128936210934","0.591834811512757","0.69642306090911"
"No","2008","Other degree","vocational + Abi","74","0.622421486596603","0.532236856979074","0.712606116214132"
"No","2008","Other degree","higher vocational","36","0.659284227032196","0.526580685468995","0.791987768595398"
"No","2008","Other degree","higher education","149","0.774675225844536","0.713470369706299","0.835880081982773"
"No","2008","no degree/no degree yet","in school","298","0.818696274525781","0.778562386821886","0.858830162229675"
"No","2008","no degree/no degree yet","inadequately","88","0.548637317932184","0.468734802091517","0.628539833772852"
"No","2008","no degree/no degree yet","general elemantary","","","",""
"No","2008","no degree/no degree yet","middle vocational","27","","",""
"No","2008","no degree/no degree yet","vocational + Abi","","","",""
"No","2008","no degree/no degree yet","higher vocational","2","","",""
"No","2008","no degree/no degree yet","higher education","4","","",""
"Yes","2009","lower secondary degree","in school","","","",""
"Yes","2009","lower secondary degree","inadequately","","","",""
"Yes","2009","lower secondary degree","general elemantary","","","",""
"Yes","2009","lower secondary degree","middle vocational","","","",""
"Yes","2009","lower secondary degree","vocational + Abi","","","",""
"Yes","2009","lower secondary degree","higher vocational","","","",""
"Yes","2009","lower secondary degree","higher education","","","",""
"Yes","2009","secondary school degree","in school","","","",""
"Yes","2009","secondary school degree","inadequately","","","",""
"Yes","2009","secondary school degree","general elemantary","","","",""
"Yes","2009","secondary school degree","middle vocational","","","",""
"Yes","2009","secondary school degree","vocational + Abi","","","",""
"Yes","2009","secondary school degree","higher vocational","","","",""
"Yes","2009","secondary school degree","higher education","","","",""
"Yes","2009","college entrance qualification","in school","","","",""
"Yes","2009","college entrance qualification","inadequately","","","",""
"Yes","2009","college entrance qualification","general elemantary","","","",""
"Yes","2009","college entrance qualification","middle vocational","","","",""
"Yes","2009","college entrance qualification","vocational + Abi","","","",""
"Yes","2009","college entrance qualification","higher vocational","","","",""
"Yes","2009","college entrance qualification","higher education","","","",""
"Yes","2009","Other degree","in school","","","",""
"Yes","2009","Other degree","inadequately","","","",""
"Yes","2009","Other degree","general elemantary","","","",""
"Yes","2009","Other degree","middle vocational","","","",""
"Yes","2009","Other degree","vocational + Abi","","","",""
"Yes","2009","Other degree","higher vocational","","","",""
"Yes","2009","Other degree","higher education","","","",""
"Yes","2009","no degree/no degree yet","in school","","","",""
"Yes","2009","no degree/no degree yet","inadequately","","","",""
"Yes","2009","no degree/no degree yet","general elemantary","","","",""
"Yes","2009","no degree/no degree yet","middle vocational","","","",""
"Yes","2009","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2009","no degree/no degree yet","higher vocational","","","",""
"Yes","2009","no degree/no degree yet","higher education","","","",""
"No","2009","lower secondary degree","in school","","","",""
"No","2009","lower secondary degree","inadequately","","","",""
"No","2009","lower secondary degree","general elemantary","","","",""
"No","2009","lower secondary degree","middle vocational","","","",""
"No","2009","lower secondary degree","vocational + Abi","","","",""
"No","2009","lower secondary degree","higher vocational","","","",""
"No","2009","lower secondary degree","higher education","","","",""
"No","2009","secondary school degree","in school","","","",""
"No","2009","secondary school degree","inadequately","","","",""
"No","2009","secondary school degree","general elemantary","","","",""
"No","2009","secondary school degree","middle vocational","","","",""
"No","2009","secondary school degree","vocational + Abi","","","",""
"No","2009","secondary school degree","higher vocational","","","",""
"No","2009","secondary school degree","higher education","","","",""
"No","2009","college entrance qualification","in school","","","",""
"No","2009","college entrance qualification","inadequately","","","",""
"No","2009","college entrance qualification","general elemantary","","","",""
"No","2009","college entrance qualification","middle vocational","","","",""
"No","2009","college entrance qualification","vocational + Abi","","","",""
"No","2009","college entrance qualification","higher vocational","","","",""
"No","2009","college entrance qualification","higher education","","","",""
"No","2009","Other degree","in school","","","",""
"No","2009","Other degree","inadequately","","","",""
"No","2009","Other degree","general elemantary","","","",""
"No","2009","Other degree","middle vocational","","","",""
"No","2009","Other degree","vocational + Abi","","","",""
"No","2009","Other degree","higher vocational","","","",""
"No","2009","Other degree","higher education","","","",""
"No","2009","no degree/no degree yet","in school","","","",""
"No","2009","no degree/no degree yet","inadequately","","","",""
"No","2009","no degree/no degree yet","general elemantary","","","",""
"No","2009","no degree/no degree yet","middle vocational","","","",""
"No","2009","no degree/no degree yet","vocational + Abi","","","",""
"No","2009","no degree/no degree yet","higher vocational","","","",""
"No","2009","no degree/no degree yet","higher education","","","",""
"Yes","2010","lower secondary degree","in school","","","",""
"Yes","2010","lower secondary degree","inadequately","","","",""
"Yes","2010","lower secondary degree","general elemantary","280","0.244042359638981","0.218025427251485","0.270059292026477"
"Yes","2010","lower secondary degree","middle vocational","1133","0.29292838928375","0.278524564196347","0.307332214371154"
"Yes","2010","lower secondary degree","vocational + Abi","3","","",""
"Yes","2010","lower secondary degree","higher vocational","80","0.273950495499122","0.226889868908235","0.32101112209001"
"Yes","2010","lower secondary degree","higher education","18","","",""
"Yes","2010","secondary school degree","in school","","","",""
"Yes","2010","secondary school degree","inadequately","","","",""
"Yes","2010","secondary school degree","general elemantary","149","0.433319144396797","0.384878682746931","0.481759606046663"
"Yes","2010","secondary school degree","middle vocational","1098","0.328672322078667","0.313094826336411","0.344249817820924"
"Yes","2010","secondary school degree","vocational + Abi","3","","",""
"Yes","2010","secondary school degree","higher vocational","132","0.217114546732499","0.183298439669959","0.25093065379504"
"Yes","2010","secondary school degree","higher education","109","0.176386510255449","0.144676527267473","0.208096493243424"
"Yes","2010","college entrance qualification","in school","","","",""
"Yes","2010","college entrance qualification","inadequately","","","",""
"Yes","2010","college entrance qualification","general elemantary","","","",""
"Yes","2010","college entrance qualification","middle vocational","139","0.183840603322079","0.153101486575386","0.214579720068773"
"Yes","2010","college entrance qualification","vocational + Abi","210","0.288355930748927","0.257630306543672","0.319081554954181"
"Yes","2010","college entrance qualification","higher vocational","68","0.22801043228037","0.180455499557362","0.275565365003378"
"Yes","2010","college entrance qualification","higher education","499","0.188523964293289","0.174364027556977","0.202683901029601"
"Yes","2010","Other degree","in school","","","",""
"Yes","2010","Other degree","inadequately","16","","",""
"Yes","2010","Other degree","general elemantary","33","0.225347512721046","0.165141194311557","0.285553831130535"
"Yes","2010","Other degree","middle vocational","66","0.300331761122598","0.242336944248939","0.358326577996257"
"Yes","2010","Other degree","vocational + Abi","23","","",""
"Yes","2010","Other degree","higher vocational","9","","",""
"Yes","2010","Other degree","higher education","26","","",""
"Yes","2010","no degree/no degree yet","in school","33","0.147588927518773","0.105437230042138","0.189740624995407"
"Yes","2010","no degree/no degree yet","inadequately","43","0.419703716361622","0.328305992214476","0.511101440508768"
"Yes","2010","no degree/no degree yet","general elemantary","","","",""
"Yes","2010","no degree/no degree yet","middle vocational","13","","",""
"Yes","2010","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2010","no degree/no degree yet","higher vocational","","","",""
"Yes","2010","no degree/no degree yet","higher education","","","",""
"No","2010","lower secondary degree","in school","","","",""
"No","2010","lower secondary degree","inadequately","","","",""
"No","2010","lower secondary degree","general elemantary","767","0.755957640361019","0.729940707973523","0.781974572748515"
"No","2010","lower secondary degree","middle vocational","2702","0.70707161071625","0.692667785628846","0.721475435803653"
"No","2010","lower secondary degree","vocational + Abi","9","","",""
"No","2010","lower secondary degree","higher vocational","265","0.726049504500878","0.67898887790999","0.773110131091765"
"No","2010","lower secondary degree","higher education","128","0.872680546730482","0.818611751438257","0.926749342022708"
"No","2010","secondary school degree","in school","","","",""
"No","2010","secondary school degree","inadequately","","","",""
"No","2010","secondary school degree","general elemantary","253","0.566680855603203","0.518240393953337","0.61512131725307"
"No","2010","secondary school degree","middle vocational","2395","0.671327677921333","0.655750182179077","0.686905173663589"
"No","2010","secondary school degree","vocational + Abi","21","","",""
"No","2010","secondary school degree","higher vocational","439","0.782885453267501","0.74906934620496","0.816701560330041"
"No","2010","secondary school degree","higher education","446","0.823613489744551","0.791903506756576","0.855323472732527"
"No","2010","college entrance qualification","in school","","","",""
"No","2010","college entrance qualification","inadequately","","","",""
"No","2010","college entrance qualification","general elemantary","","","",""
"No","2010","college entrance qualification","middle vocational","471","0.816159396677921","0.785420279931227","0.846898513424614"
"No","2010","college entrance qualification","vocational + Abi","625","0.711644069251073","0.680918445045819","0.742369693456328"
"No","2010","college entrance qualification","higher vocational","231","0.77198956771963","0.724434634996622","0.819544500442638"
"No","2010","college entrance qualification","higher education","2432","0.811476035706711","0.797316098970399","0.825635972443023"
"No","2010","Other degree","in school","","","",""
"No","2010","Other degree","inadequately","13","","",""
"No","2010","Other degree","general elemantary","152","0.774652487278954","0.714446168869465","0.834858805688443"
"No","2010","Other degree","middle vocational","174","0.699668238877402","0.641673422003744","0.757663055751061"
"No","2010","Other degree","vocational + Abi","52","0.748369485563535","0.650159160709378","0.846579810417693"
"No","2010","Other degree","higher vocational","27","","",""
"No","2010","Other degree","higher education","132","0.844485556743358","0.787978716165217","0.900992397321498"
"No","2010","no degree/no degree yet","in school","239","0.852411072481227","0.810259375004593","0.894562769957862"
"No","2010","no degree/no degree yet","inadequately","69","0.580296283638378","0.488898559491232","0.671694007785524"
"No","2010","no degree/no degree yet","general elemantary","","","",""
"No","2010","no degree/no degree yet","middle vocational","20","","",""
"No","2010","no degree/no degree yet","vocational + Abi","","","",""
"No","2010","no degree/no degree yet","higher vocational","2","","",""
"No","2010","no degree/no degree yet","higher education","2","","",""
"Yes","2011","lower secondary degree","in school","","","",""
"Yes","2011","lower secondary degree","inadequately","","","",""
"Yes","2011","lower secondary degree","general elemantary","","","",""
"Yes","2011","lower secondary degree","middle vocational","","","",""
"Yes","2011","lower secondary degree","vocational + Abi","","","",""
"Yes","2011","lower secondary degree","higher vocational","","","",""
"Yes","2011","lower secondary degree","higher education","","","",""
"Yes","2011","secondary school degree","in school","","","",""
"Yes","2011","secondary school degree","inadequately","","","",""
"Yes","2011","secondary school degree","general elemantary","","","",""
"Yes","2011","secondary school degree","middle vocational","","","",""
"Yes","2011","secondary school degree","vocational + Abi","","","",""
"Yes","2011","secondary school degree","higher vocational","","","",""
"Yes","2011","secondary school degree","higher education","","","",""
"Yes","2011","college entrance qualification","in school","","","",""
"Yes","2011","college entrance qualification","inadequately","","","",""
"Yes","2011","college entrance qualification","general elemantary","","","",""
"Yes","2011","college entrance qualification","middle vocational","","","",""
"Yes","2011","college entrance qualification","vocational + Abi","","","",""
"Yes","2011","college entrance qualification","higher vocational","","","",""
"Yes","2011","college entrance qualification","higher education","","","",""
"Yes","2011","Other degree","in school","","","",""
"Yes","2011","Other degree","inadequately","","","",""
"Yes","2011","Other degree","general elemantary","","","",""
"Yes","2011","Other degree","middle vocational","","","",""
"Yes","2011","Other degree","vocational + Abi","","","",""
"Yes","2011","Other degree","higher vocational","","","",""
"Yes","2011","Other degree","higher education","","","",""
"Yes","2011","no degree/no degree yet","in school","","","",""
"Yes","2011","no degree/no degree yet","inadequately","","","",""
"Yes","2011","no degree/no degree yet","general elemantary","","","",""
"Yes","2011","no degree/no degree yet","middle vocational","","","",""
"Yes","2011","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2011","no degree/no degree yet","higher vocational","","","",""
"Yes","2011","no degree/no degree yet","higher education","","","",""
"No","2011","lower secondary degree","in school","","","",""
"No","2011","lower secondary degree","inadequately","","","",""
"No","2011","lower secondary degree","general elemantary","","","",""
"No","2011","lower secondary degree","middle vocational","","","",""
"No","2011","lower secondary degree","vocational + Abi","","","",""
"No","2011","lower secondary degree","higher vocational","","","",""
"No","2011","lower secondary degree","higher education","","","",""
"No","2011","secondary school degree","in school","","","",""
"No","2011","secondary school degree","inadequately","","","",""
"No","2011","secondary school degree","general elemantary","","","",""
"No","2011","secondary school degree","middle vocational","","","",""
"No","2011","secondary school degree","vocational + Abi","","","",""
"No","2011","secondary school degree","higher vocational","","","",""
"No","2011","secondary school degree","higher education","","","",""
"No","2011","college entrance qualification","in school","","","",""
"No","2011","college entrance qualification","inadequately","","","",""
"No","2011","college entrance qualification","general elemantary","","","",""
"No","2011","college entrance qualification","middle vocational","","","",""
"No","2011","college entrance qualification","vocational + Abi","","","",""
"No","2011","college entrance qualification","higher vocational","","","",""
"No","2011","college entrance qualification","higher education","","","",""
"No","2011","Other degree","in school","","","",""
"No","2011","Other degree","inadequately","","","",""
"No","2011","Other degree","general elemantary","","","",""
"No","2011","Other degree","middle vocational","","","",""
"No","2011","Other degree","vocational + Abi","","","",""
"No","2011","Other degree","higher vocational","","","",""
"No","2011","Other degree","higher education","","","",""
"No","2011","no degree/no degree yet","in school","","","",""
"No","2011","no degree/no degree yet","inadequately","","","",""
"No","2011","no degree/no degree yet","general elemantary","","","",""
"No","2011","no degree/no degree yet","middle vocational","","","",""
"No","2011","no degree/no degree yet","vocational + Abi","","","",""
"No","2011","no degree/no degree yet","higher vocational","","","",""
"No","2011","no degree/no degree yet","higher education","","","",""
"Yes","2012","lower secondary degree","in school","","","",""
"Yes","2012","lower secondary degree","inadequately","","","",""
"Yes","2012","lower secondary degree","general elemantary","381","0.270975696419271","0.247061884815443","0.294889508023099"
"Yes","2012","lower secondary degree","middle vocational","1336","0.287382770515874","0.274344801677093","0.300420739354656"
"Yes","2012","lower secondary degree","vocational + Abi","1","","",""
"Yes","2012","lower secondary degree","higher vocational","79","0.198323287939707","0.158699154159572","0.237947421719841"
"Yes","2012","lower secondary degree","higher education","24","","",""
"Yes","2012","secondary school degree","in school","","","",""
"Yes","2012","secondary school degree","inadequately","","","",""
"Yes","2012","secondary school degree","general elemantary","176","0.343092772558658","0.302713486564079","0.383472058553237"
"Yes","2012","secondary school degree","middle vocational","1330","0.322653982552864","0.308638610277763","0.336669354827966"
"Yes","2012","secondary school degree","vocational + Abi","3","","",""
"Yes","2012","secondary school degree","higher vocational","162","0.247742792410901","0.213925049565629","0.281560535256172"
"Yes","2012","secondary school degree","higher education","111","0.177934430842301","0.147534014770338","0.208334846914264"
"Yes","2012","college entrance qualification","in school","","","",""
"Yes","2012","college entrance qualification","inadequately","","","",""
"Yes","2012","college entrance qualification","general elemantary","","","",""
"Yes","2012","college entrance qualification","middle vocational","142","0.177311584138755","0.149849092977603","0.204774075299907"
"Yes","2012","college entrance qualification","vocational + Abi","263","0.272743350106311","0.245584031733574","0.299902668479047"
"Yes","2012","college entrance qualification","higher vocational","87","0.238069567000557","0.194316651229299","0.281822482771815"
"Yes","2012","college entrance qualification","higher education","580","0.173345035517035","0.160878618345887","0.185811452688183"
"Yes","2012","Other degree","in school","","","",""
"Yes","2012","Other degree","inadequately","23","","",""
"Yes","2012","Other degree","general elemantary","60","0.2456378490487","0.193314081813756","0.297961616283643"
"Yes","2012","Other degree","middle vocational","121","0.332874984352874","0.288125556809034","0.377624411896714"
"Yes","2012","Other degree","vocational + Abi","36","0.227618876943952","0.160961800656592","0.294275953231312"
"Yes","2012","Other degree","higher vocational","10","","",""
"Yes","2012","Other degree","higher education","41","0.181151859198572","0.134064470048579","0.228239248348566"
"Yes","2012","no degree/no degree yet","in school","45","0.169090095102777","0.125419317457315","0.212760872748239"
"Yes","2012","no degree/no degree yet","inadequately","79","0.423336635387967","0.353266087212429","0.493407183563506"
"Yes","2012","no degree/no degree yet","general elemantary","","","",""
"Yes","2012","no degree/no degree yet","middle vocational","26","","",""
"Yes","2012","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2012","no degree/no degree yet","higher vocational","","","",""
"Yes","2012","no degree/no degree yet","higher education","1","","",""
"No","2012","lower secondary degree","in school","","","",""
"No","2012","lower secondary degree","inadequately","","","",""
"No","2012","lower secondary degree","general elemantary","946","0.729024303580729","0.705110491976901","0.752938115184557"
"No","2012","lower secondary degree","middle vocational","3292","0.712617229484126","0.699579260645344","0.725655198322907"
"No","2012","lower secondary degree","vocational + Abi","5","","",""
"No","2012","lower secondary degree","higher vocational","310","0.801676712060294","0.762052578280159","0.841300845840428"
"No","2012","lower secondary degree","higher education","143","0.801186920956318","0.7406557247261","0.861718117186537"
"No","2012","secondary school degree","in school","","","",""
"No","2012","secondary school degree","inadequately","","","",""
"No","2012","secondary school degree","general elemantary","355","0.656907227441342","0.616527941446763","0.697286513435921"
"No","2012","secondary school degree","middle vocational","2944","0.677346017447136","0.663330645172034","0.691361389722237"
"No","2012","secondary school degree","vocational + Abi","16","","",""
"No","2012","secondary school degree","higher vocational","464","0.752257207589099","0.718439464743828","0.786074950434371"
"No","2012","secondary school degree","higher education","497","0.822065569157699","0.791665153085736","0.852465985229662"
"No","2012","college entrance qualification","in school","","","",""
"No","2012","college entrance qualification","inadequately","","","",""
"No","2012","college entrance qualification","general elemantary","","","",""
"No","2012","college entrance qualification","middle vocational","601","0.822688415861245","0.795225924700093","0.850150907022397"
"No","2012","college entrance qualification","vocational + Abi","770","0.727256649893689","0.700097331520953","0.754415968266426"
"No","2012","college entrance qualification","higher vocational","277","0.761930432999443","0.718177517228185","0.805683348770701"
"No","2012","college entrance qualification","higher education","2962","0.826654964482965","0.814188547311817","0.839121381654113"
"No","2012","Other degree","in school","","","",""
"No","2012","Other degree","inadequately","17","","",""
"No","2012","Other degree","general elemantary","200","0.7543621509513","0.702038383716357","0.806685918186244"
"No","2012","Other degree","middle vocational","305","0.667125015647126","0.622375588103286","0.711874443190966"
"No","2012","Other degree","vocational + Abi","116","0.772381123056048","0.705724046768688","0.839038199343408"
"No","2012","Other degree","higher vocational","29","","",""
"No","2012","Other degree","higher education","216","0.818848140801428","0.771760751651434","0.865935529951421"
"No","2012","no degree/no degree yet","in school","238","0.830909904897223","0.787239127251761","0.874580682542685"
"No","2012","no degree/no degree yet","inadequately","112","0.576663364612033","0.506592816436494","0.646733912787571"
"No","2012","no degree/no degree yet","general elemantary","","","",""
"No","2012","no degree/no degree yet","middle vocational","42","0.684555607119076","0.574107212749672","0.79500400148848"
"No","2012","no degree/no degree yet","vocational + Abi","","","",""
"No","2012","no degree/no degree yet","higher vocational","1","","",""
"No","2012","no degree/no degree yet","higher education","5","","",""
"Yes","2013","lower secondary degree","in school","","","",""
"Yes","2013","lower secondary degree","inadequately","","","",""
"Yes","2013","lower secondary degree","general elemantary","","","",""
"Yes","2013","lower secondary degree","middle vocational","","","",""
"Yes","2013","lower secondary degree","vocational + Abi","","","",""
"Yes","2013","lower secondary degree","higher vocational","","","",""
"Yes","2013","lower secondary degree","higher education","","","",""
"Yes","2013","secondary school degree","in school","","","",""
"Yes","2013","secondary school degree","inadequately","","","",""
"Yes","2013","secondary school degree","general elemantary","","","",""
"Yes","2013","secondary school degree","middle vocational","","","",""
"Yes","2013","secondary school degree","vocational + Abi","","","",""
"Yes","2013","secondary school degree","higher vocational","","","",""
"Yes","2013","secondary school degree","higher education","","","",""
"Yes","2013","college entrance qualification","in school","","","",""
"Yes","2013","college entrance qualification","inadequately","","","",""
"Yes","2013","college entrance qualification","general elemantary","","","",""
"Yes","2013","college entrance qualification","middle vocational","","","",""
"Yes","2013","college entrance qualification","vocational + Abi","","","",""
"Yes","2013","college entrance qualification","higher vocational","","","",""
"Yes","2013","college entrance qualification","higher education","","","",""
"Yes","2013","Other degree","in school","","","",""
"Yes","2013","Other degree","inadequately","","","",""
"Yes","2013","Other degree","general elemantary","","","",""
"Yes","2013","Other degree","middle vocational","","","",""
"Yes","2013","Other degree","vocational + Abi","","","",""
"Yes","2013","Other degree","higher vocational","","","",""
"Yes","2013","Other degree","higher education","","","",""
"Yes","2013","no degree/no degree yet","in school","","","",""
"Yes","2013","no degree/no degree yet","inadequately","","","",""
"Yes","2013","no degree/no degree yet","general elemantary","","","",""
"Yes","2013","no degree/no degree yet","middle vocational","","","",""
"Yes","2013","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2013","no degree/no degree yet","higher vocational","","","",""
"Yes","2013","no degree/no degree yet","higher education","","","",""
"No","2013","lower secondary degree","in school","","","",""
"No","2013","lower secondary degree","inadequately","","","",""
"No","2013","lower secondary degree","general elemantary","","","",""
"No","2013","lower secondary degree","middle vocational","","","",""
"No","2013","lower secondary degree","vocational + Abi","","","",""
"No","2013","lower secondary degree","higher vocational","","","",""
"No","2013","lower secondary degree","higher education","","","",""
"No","2013","secondary school degree","in school","","","",""
"No","2013","secondary school degree","inadequately","","","",""
"No","2013","secondary school degree","general elemantary","","","",""
"No","2013","secondary school degree","middle vocational","","","",""
"No","2013","secondary school degree","vocational + Abi","","","",""
"No","2013","secondary school degree","higher vocational","","","",""
"No","2013","secondary school degree","higher education","","","",""
"No","2013","college entrance qualification","in school","","","",""
"No","2013","college entrance qualification","inadequately","","","",""
"No","2013","college entrance qualification","general elemantary","","","",""
"No","2013","college entrance qualification","middle vocational","","","",""
"No","2013","college entrance qualification","vocational + Abi","","","",""
"No","2013","college entrance qualification","higher vocational","","","",""
"No","2013","college entrance qualification","higher education","","","",""
"No","2013","Other degree","in school","","","",""
"No","2013","Other degree","inadequately","","","",""
"No","2013","Other degree","general elemantary","","","",""
"No","2013","Other degree","middle vocational","","","",""
"No","2013","Other degree","vocational + Abi","","","",""
"No","2013","Other degree","higher vocational","","","",""
"No","2013","Other degree","higher education","","","",""
"No","2013","no degree/no degree yet","in school","","","",""
"No","2013","no degree/no degree yet","inadequately","","","",""
"No","2013","no degree/no degree yet","general elemantary","","","",""
"No","2013","no degree/no degree yet","middle vocational","","","",""
"No","2013","no degree/no degree yet","vocational + Abi","","","",""
"No","2013","no degree/no degree yet","higher vocational","","","",""
"No","2013","no degree/no degree yet","higher education","","","",""
"Yes","2014","lower secondary degree","in school","","","",""
"Yes","2014","lower secondary degree","inadequately","","","",""
"Yes","2014","lower secondary degree","general elemantary","625","0.323583333369233","0.300801388006432","0.346365278732033"
"Yes","2014","lower secondary degree","middle vocational","1508","0.294328940792492","0.281390298417648","0.307267583167335"
"Yes","2014","lower secondary degree","vocational + Abi","2","","",""
"Yes","2014","lower secondary degree","higher vocational","77","0.188665310182929","0.149172006427915","0.228158613937943"
"Yes","2014","lower secondary degree","higher education","23","","",""
"Yes","2014","secondary school degree","in school","","","",""
"Yes","2014","secondary school degree","inadequately","","","",""
"Yes","2014","secondary school degree","general elemantary","325","0.365024259090069","0.331890012902944","0.398158505277193"
"Yes","2014","secondary school degree","middle vocational","1674","0.31311229078284","0.300707360736879","0.325517220828802"
"Yes","2014","secondary school degree","vocational + Abi","2","","",""
"Yes","2014","secondary school degree","higher vocational","143","0.200967724364096","0.171154175575802","0.230781273152389"
"Yes","2014","secondary school degree","higher education","120","0.177547821967599","0.148305680528865","0.206789963406334"
"Yes","2014","college entrance qualification","in school","","","",""
"Yes","2014","college entrance qualification","inadequately","","","",""
"Yes","2014","college entrance qualification","general elemantary","","","",""
"Yes","2014","college entrance qualification","middle vocational","233","0.203683726128291","0.179381681031239","0.227985771225342"
"Yes","2014","college entrance qualification","vocational + Abi","385","0.269379728862482","0.247128352115229","0.291631105609735"
"Yes","2014","college entrance qualification","higher vocational","86","0.213350175360527","0.174940149487459","0.251760201233595"
"Yes","2014","college entrance qualification","higher education","662","0.163278427957137","0.152386734243103","0.174170121671172"
"Yes","2014","Other degree","in school","","","",""
"Yes","2014","Other degree","inadequately","37","0.587431694574697","0.467752672774492","0.707110716374902"
"Yes","2014","Other degree","general elemantary","224","0.33945883217238","0.303998213640014","0.374919450704746"
"Yes","2014","Other degree","middle vocational","357","0.308611000718956","0.281424754119813","0.3357972473181"
"Yes","2014","Other degree","vocational + Abi","169","0.322189797372481","0.281350896865654","0.363028697879309"
"Yes","2014","Other degree","higher vocational","13","","",""
"Yes","2014","Other degree","higher education","157","0.185596754225845","0.160111775934219","0.211081732517472"
"Yes","2014","no degree/no degree yet","in school","64","0.158778684985776","0.124974057456509","0.192583312515043"
"Yes","2014","no degree/no degree yet","inadequately","212","0.461924238348019","0.415393934714242","0.508454541981796"
"Yes","2014","no degree/no degree yet","general elemantary","","","",""
"Yes","2014","no degree/no degree yet","middle vocational","45","0.366069607445408","0.274793139584896","0.45734607530592"
"Yes","2014","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2014","no degree/no degree yet","higher vocational","3","","",""
"Yes","2014","no degree/no degree yet","higher education","2","","",""
"No","2014","lower secondary degree","in school","","","",""
"No","2014","lower secondary degree","inadequately","","","",""
"No","2014","lower secondary degree","general elemantary","995","0.676416666630767","0.653634721267967","0.699198611993568"
"No","2014","lower secondary degree","middle vocational","3258","0.705671059207508","0.692732416832665","0.718609701582352"
"No","2014","lower secondary degree","vocational + Abi","3","","",""
"No","2014","lower secondary degree","higher vocational","300","0.811334689817071","0.771841386062057","0.850827993572085"
"No","2014","lower secondary degree","higher education","129","0.843915359081372","0.786218014315862","0.901612703846883"
"No","2014","secondary school degree","in school","","","",""
"No","2014","secondary school degree","inadequately","","","",""
"No","2014","secondary school degree","general elemantary","486","0.634975740909931","0.601841494722807","0.668109987097056"
"No","2014","secondary school degree","middle vocational","3695","0.68688770921716","0.674482779171198","0.699292639263121"
"No","2014","secondary school degree","vocational + Abi","16","","",""
"No","2014","secondary school degree","higher vocational","551","0.799032275635904","0.769218726847611","0.828845824424198"
"No","2014","secondary school degree","higher education","536","0.8224521780324","0.793210036593666","0.851694319471135"
"No","2014","college entrance qualification","in school","","","",""
"No","2014","college entrance qualification","inadequately","","","",""
"No","2014","college entrance qualification","general elemantary","","","",""
"No","2014","college entrance qualification","middle vocational","822","0.796316273871709","0.772014228774658","0.820618318968761"
