"ple0081_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","2007","indirect migration background","(2b) intermediate general qualification","","","",""
"No","2007","indirect migration background","(2a) intermediate vocational","","","",""
"No","2007","indirect migration background","(2c_gen) general maturity certificate","","","",""
"No","2007","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2007","indirect migration background","(3a) lower tertiary education","","","",""
"No","2007","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2008","no migration background","(0) in school","42","0.15630153501073","0.11479182715076","0.1978112428707"
"Yes","2008","no migration background","(1a) inadequately completed","31","0.392441175839132","0.279653072539481","0.505229279138783"
"Yes","2008","no migration background","(1b) general elementary school","281","0.264544068148161","0.238346469003158","0.290741667293165"
"Yes","2008","no migration background","(1c) basic vocational qualification","1323","0.299545015024542","0.286332383691258","0.312757646357825"
"Yes","2008","no migration background","(2b) intermediate general qualification","144","0.34610634613443","0.298647980147759","0.393564712121101"
"Yes","2008","no migration background","(2a) intermediate vocational","1323","0.309861730945253","0.296179188375981","0.323544273514525"
"Yes","2008","no migration background","(2c_gen) general maturity certificate","141","0.244976920302544","0.209420123302255","0.280533717302833"
"Yes","2008","no migration background","(2c_voc) vocational maturity certificate","300","0.263057065674229","0.237686898622831","0.288427232725626"
"Yes","2008","no migration background","(3a) lower tertiary education","314","0.208669035425024","0.188445816825467","0.22889225402458"
"Yes","2008","no migration background","(3b) higher tertiary education","361","0.167582331975089","0.152163343114713","0.183001320835464"
"Yes","2008","direct migration background","(0) in school","2","","",""
"Yes","2008","direct migration background","(1a) inadequately completed","38","0.382662214880469","0.292244022221786","0.473080407539152"
"Yes","2008","direct migration background","(1b) general elementary school","103","0.281660510871812","0.23763506563265","0.325685956110975"
"Yes","2008","direct migration background","(1c) basic vocational qualification","168","0.351990495959088","0.310941496532487","0.393039495385689"
"Yes","2008","direct migration background","(2b) intermediate general qualification","12","","",""
"Yes","2008","direct migration background","(2a) intermediate vocational","38","0.373452867638029","0.291855531770189","0.45505020350587"
"Yes","2008","direct migration background","(2c_gen) general maturity certificate","29","","",""
"Yes","2008","direct migration background","(2c_voc) vocational maturity certificate","64","0.281176229619466","0.224416530278477","0.337935928960456"
"Yes","2008","direct migration background","(3a) lower tertiary education","17","","",""
"Yes","2008","direct migration background","(3b) higher tertiary education","38","0.187218444931494","0.13796906054651","0.236467829316479"
"Yes","2008","indirect migration background","(0) in school","13","","",""
"Yes","2008","indirect migration background","(1a) inadequately completed","6","","",""
"Yes","2008","indirect migration background","(1b) general elementary school","50","0.496761959043687","0.39827212837208","0.595251789715295"
"Yes","2008","indirect migration background","(1c) basic vocational qualification","72","0.555992694380743","0.471551985400467","0.640433403361018"
"Yes","2008","indirect migration background","(2b) intermediate general qualification","26","","",""
"Yes","2008","indirect migration background","(2a) intermediate vocational","45","0.310865056521157","0.229399254418487","0.392330858623826"
"Yes","2008","indirect migration background","(2c_gen) general maturity certificate","20","","",""
"Yes","2008","indirect migration background","(2c_voc) vocational maturity certificate","12","","",""
"Yes","2008","indirect migration background","(3a) lower tertiary education","5","","",""
"Yes","2008","indirect migration background","(3b) higher tertiary education","15","","",""
"No","2008","no migration background","(0) in school","252","0.84369846498927","0.8021887571293","0.88520817284924"
"No","2008","no migration background","(1a) inadequately completed","41","0.607558824160868","0.494770720861217","0.720346927460519"
"No","2008","no migration background","(1b) general elementary school","808","0.735455931851839","0.709258332706835","0.761653530996842"
"No","2008","no migration background","(1c) basic vocational qualification","3294","0.700454984975458","0.687242353642175","0.713667616308742"
"No","2008","no migration background","(2b) intermediate general qualification","242","0.65389365386557","0.606435287878899","0.701352019852241"
"No","2008","no migration background","(2a) intermediate vocational","3065","0.690138269054747","0.676455726485475","0.703820811624019"
"No","2008","no migration background","(2c_gen) general maturity certificate","421","0.755023079697456","0.719466282697167","0.790579876697745"
"No","2008","no migration background","(2c_voc) vocational maturity certificate","857","0.736942934325771","0.711572767274374","0.762313101377169"
"No","2008","no migration background","(3a) lower tertiary education","1237","0.791330964574976","0.77110774597542","0.811554183174533"
"No","2008","no migration background","(3b) higher tertiary education","1893","0.832417668024911","0.816998679164536","0.847836656885287"
"No","2008","direct migration background","(0) in school","8","","",""
"No","2008","direct migration background","(1a) inadequately completed","73","0.617337785119531","0.526919592460849","0.707755977778214"
"No","2008","direct migration background","(1b) general elementary school","298","0.718339489128188","0.674314043889025","0.76236493436735"
"No","2008","direct migration background","(1c) basic vocational qualification","352","0.648009504040912","0.606960504614311","0.689058503467513"
"No","2008","direct migration background","(2b) intermediate general qualification","19","","",""
"No","2008","direct migration background","(2a) intermediate vocational","97","0.626547132361971","0.54494979649413","0.708144468229811"
"No","2008","direct migration background","(2c_gen) general maturity certificate","72","0.641044757156306","0.547493047008889","0.734596467303723"
"No","2008","direct migration background","(2c_voc) vocational maturity certificate","177","0.718823770380534","0.662064071039544","0.775583469721523"
"No","2008","direct migration background","(3a) lower tertiary education","56","0.768881575589932","0.672179972858001","0.865583178321863"
"No","2008","direct migration background","(3b) higher tertiary education","203","0.812781555068505","0.763532170683521","0.86203093945349"
"No","2008","indirect migration background","(0) in school","40","0.677085153942826","0.551199625297267","0.802970682588385"
"No","2008","indirect migration background","(1a) inadequately completed","1","","",""
"No","2008","indirect migration background","(1b) general elementary school","49","0.503238040956313","0.404748210284705","0.60172787162792"
"No","2008","indirect migration background","(1c) basic vocational qualification","61","0.444007305619257","0.359566596638981","0.528448014599533"
"No","2008","indirect migration background","(2b) intermediate general qualification","38","0.523523030640901","0.401160920789068","0.645885140492735"
"No","2008","indirect migration background","(2a) intermediate vocational","79","0.689134943478844","0.607669141376174","0.770600745581513"
"No","2008","indirect migration background","(2c_gen) general maturity certificate","56","0.835153055038557","0.751734092673955","0.91857201740316"
"No","2008","indirect migration background","(2c_voc) vocational maturity certificate","39","0.807260023833827","0.699003113865558","0.915516933802096"
"No","2008","indirect migration background","(3a) lower tertiary education","19","","",""
"No","2008","indirect migration background","(3b) higher tertiary education","47","0.817317898836386","0.721135467697151","0.913500329975621"
"Yes","2009","no migration background","(0) in school","","","",""
"Yes","2009","no migration background","(1a) inadequately completed","","","",""
"Yes","2009","no migration background","(1b) general elementary school","","","",""
"Yes","2009","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2009","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2009","no migration background","(2a) intermediate vocational","","","",""
"Yes","2009","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2009","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","no migration background","(3a) lower tertiary education","","","",""
"Yes","2009","no migration background","(3b) higher tertiary education","","","",""
"Yes","2009","direct migration background","(0) in school","","","",""
"Yes","2009","direct migration background","(1a) inadequately completed","","","",""
"Yes","2009","direct migration background","(1b) general elementary school","","","",""
"Yes","2009","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2009","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2009","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2009","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2009","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2009","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2009","indirect migration background","(0) in school","","","",""
"Yes","2009","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2009","indirect migration background","(1b) general elementary school","","","",""
"Yes","2009","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2009","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2009","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2009","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2009","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2009","indirect migration background","(3b) higher tertiary education","","","",""
"No","2009","no migration background","(0) in school","","","",""
"No","2009","no migration background","(1a) inadequately completed","","","",""
"No","2009","no migration background","(1b) general elementary school","","","",""
"No","2009","no migration background","(1c) basic vocational qualification","","","",""
"No","2009","no migration background","(2b) intermediate general qualification","","","",""
"No","2009","no migration background","(2a) intermediate vocational","","","",""
"No","2009","no migration background","(2c_gen) general maturity certificate","","","",""
"No","2009","no migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2009","no migration background","(3a) lower tertiary education","","","",""
"No","2009","no migration background","(3b) higher tertiary education","","","",""
"No","2009","direct migration background","(0) in school","","","",""
"No","2009","direct migration background","(1a) inadequately completed","","","",""
"No","2009","direct migration background","(1b) general elementary school","","","",""
"No","2009","direct migration background","(1c) basic vocational qualification","","","",""
"No","2009","direct migration background","(2b) intermediate general qualification","","","",""
"No","2009","direct migration background","(2a) intermediate vocational","","","",""
"No","2009","direct migration background","(2c_gen) general maturity certificate","","","",""
"No","2009","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2009","direct migration background","(3a) lower tertiary education","","","",""
"No","2009","direct migration background","(3b) higher tertiary education","","","",""
"No","2009","indirect migration background","(0) in school","","","",""
"No","2009","indirect migration background","(1a) inadequately completed","","","",""
"No","2009","indirect migration background","(1b) general elementary school","","","",""
"No","2009","indirect migration background","(1c) basic vocational qualification","","","",""
"No","2009","indirect migration background","(2b) intermediate general qualification","","","",""
"No","2009","indirect migration background","(2a) intermediate vocational","","","",""
"No","2009","indirect migration background","(2c_gen) general maturity certificate","","","",""
"No","2009","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2009","indirect migration background","(3a) lower tertiary education","","","",""
"No","2009","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2010","no migration background","(0) in school","25","","",""
"Yes","2010","no migration background","(1a) inadequately completed","26","","",""
"Yes","2010","no migration background","(1b) general elementary school","223","0.23663600355713","0.208570917108687","0.264701090005572"
"Yes","2010","no migration background","(1c) basic vocational qualification","1085","0.278593746265049","0.264483979927849","0.292703512602248"
"Yes","2010","no migration background","(2b) intermediate general qualification","123","0.408094957649365","0.355067872464914","0.461122042833816"
"Yes","2010","no migration background","(2a) intermediate vocational","1179","0.312219735570732","0.297612359957191","0.326827111184273"
"Yes","2010","no migration background","(2c_gen) general maturity certificate","113","0.172001706965877","0.139440211747984","0.204563202183771"
"Yes","2010","no migration background","(2c_voc) vocational maturity certificate","258","0.272305846724742","0.245290604696835","0.299321088752649"
"Yes","2010","no migration background","(3a) lower tertiary education","273","0.223056276017199","0.201396253769609","0.24471629826479"
"Yes","2010","no migration background","(3b) higher tertiary education","319","0.147051580269922","0.131761656240073","0.162341504299771"
"Yes","2010","direct migration background","(0) in school","1","","",""
"Yes","2010","direct migration background","(1a) inadequately completed","25","","",""
"Yes","2010","direct migration background","(1b) general elementary school","73","0.246457800044567","0.198329801005913","0.294585799083221"
"Yes","2010","direct migration background","(1c) basic vocational qualification","121","0.329358399581468","0.282774125861761","0.375942673301175"
"Yes","2010","direct migration background","(2b) intermediate general qualification","6","","",""
"Yes","2010","direct migration background","(2a) intermediate vocational","21","","",""
"Yes","2010","direct migration background","(2c_gen) general maturity certificate","22","","",""
"Yes","2010","direct migration background","(2c_voc) vocational maturity certificate","43","0.245707637048968","0.182640842422213","0.308774431675723"
"Yes","2010","direct migration background","(3a) lower tertiary education","13","","",""
"Yes","2010","direct migration background","(3b) higher tertiary education","35","0.185267912551324","0.133092510551333","0.237443314551316"
"Yes","2010","indirect migration background","(0) in school","8","","",""
"Yes","2010","indirect migration background","(1a) inadequately completed","4","","",""
"Yes","2010","indirect migration background","(1b) general elementary school","32","0.48741449540681","0.371148879306603","0.603680111507017"
"Yes","2010","indirect migration background","(1c) basic vocational qualification","60","0.496875532534973","0.40468838142752","0.589062683642425"
"Yes","2010","indirect migration background","(2b) intermediate general qualification","21","","",""
"Yes","2010","indirect migration background","(2a) intermediate vocational","33","0.435089769698068","0.339346416319943","0.530833123076193"
"Yes","2010","indirect migration background","(2c_gen) general maturity certificate","18","","",""
"Yes","2010","indirect migration background","(2c_voc) vocational maturity certificate","11","","",""
"Yes","2010","indirect migration background","(3a) lower tertiary education","4","","",""
"Yes","2010","indirect migration background","(3b) higher tertiary education","17","","",""
"No","2010","no migration background","(0) in school","196","0.88620496781359","0.844337114319648","0.928072821307532"
"No","2010","no migration background","(1a) inadequately completed","34","0.607451890290665","0.483892756522583","0.731011024058747"
"No","2010","no migration background","(1b) general elementary school","658","0.76336399644287","0.735298909994428","0.791429082891313"
"No","2010","no migration background","(1c) basic vocational qualification","2793","0.721406253734951","0.707296487397752","0.735516020072151"
"No","2010","no migration background","(2b) intermediate general qualification","207","0.591905042350635","0.538877957166184","0.644932127535086"
"No","2010","no migration background","(2a) intermediate vocational","2687","0.687780264429268","0.673172888815727","0.702387640042809"
"No","2010","no migration background","(2c_gen) general maturity certificate","403","0.827998293034123","0.795436797816229","0.860559788252016"
"No","2010","no migration background","(2c_voc) vocational maturity certificate","785","0.727694153275258","0.700678911247351","0.754709395303165"
"No","2010","no migration background","(3a) lower tertiary education","1146","0.776943723982801","0.75528370173521","0.798603746230391"
"No","2010","no migration background","(3b) higher tertiary education","1742","0.852948419730078","0.837658495700229","0.868238343759927"
"No","2010","direct migration background","(0) in school","6","","",""
"No","2010","direct migration background","(1a) inadequately completed","55","0.661834900844599","0.558167473283287","0.765502328405911"
"No","2010","direct migration background","(1b) general elementary school","235","0.753542199955433","0.705414200916779","0.801670198994087"
"No","2010","direct migration background","(1c) basic vocational qualification","270","0.670641600418532","0.624057326698825","0.717225874138239"
"No","2010","direct migration background","(2b) intermediate general qualification","15","","",""
"No","2010","direct migration background","(2a) intermediate vocational","82","0.766691668258005","0.685013690867397","0.848369645648614"
"No","2010","direct migration background","(2c_gen) general maturity certificate","53","0.659227462170111","0.551960149854993","0.766494774485229"
"No","2010","direct migration background","(2c_voc) vocational maturity certificate","136","0.754292362951032","0.691225568324277","0.817359157577786"
"No","2010","direct migration background","(3a) lower tertiary education","49","0.799403017029997","0.699725471304419","0.899080562755574"
"No","2010","direct migration background","(3b) higher tertiary education","178","0.814732087448676","0.762556685448684","0.866907489448667"
"No","2010","indirect migration background","(0) in school","37","0.696411106459865","0.562067309642218","0.830754903277513"
"No","2010","indirect migration background","(1a) inadequately completed","2","","",""
"No","2010","indirect migration background","(1b) general elementary school","39","0.51258550459319","0.396319888492983","0.628851120693397"
"No","2010","indirect migration background","(1c) basic vocational qualification","53","0.503124467465027","0.410937316357575","0.59531161857248"
"No","2010","indirect migration background","(2b) intermediate general qualification","31","0.526141688981777","0.390428508772821","0.661854869190733"
"No","2010","indirect migration background","(2a) intermediate vocational","70","0.564910230301932","0.469166876923807","0.660653583680057"
"No","2010","indirect migration background","(2c_gen) general maturity certificate","44","0.688739372836812","0.573489144164361","0.803989601509263"
"No","2010","indirect migration background","(2c_voc) vocational maturity certificate","35","0.771694850095106","0.650397914204915","0.892991785985296"
"No","2010","indirect migration background","(3a) lower tertiary education","20","","",""
"No","2010","indirect migration background","(3b) higher tertiary education","44","0.768881240768495","0.663094702721544","0.874667778815445"
"Yes","2011","no migration background","(0) in school","","","",""
"Yes","2011","no migration background","(1a) inadequately completed","","","",""
"Yes","2011","no migration background","(1b) general elementary school","","","",""
"Yes","2011","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2011","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2011","no migration background","(2a) intermediate vocational","","","",""
"Yes","2011","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2011","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2011","no migration background","(3a) lower tertiary education","","","",""
"Yes","2011","no migration background","(3b) higher tertiary education","","","",""
"Yes","2011","direct migration background","(0) in school","","","",""
"Yes","2011","direct migration background","(1a) inadequately completed","","","",""
"Yes","2011","direct migration background","(1b) general elementary school","","","",""
"Yes","2011","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2011","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2011","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2011","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2011","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2011","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2011","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2011","indirect migration background","(0) in school","","","",""
"Yes","2011","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2011","indirect migration background","(1b) general elementary school","","","",""
"Yes","2011","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2011","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2011","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2011","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2011","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2011","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2011","indirect migration background","(3b) higher tertiary education","","","",""
"No","2011","no migration background","(0) in school","","","",""
"No","2011","no migration background","(1a) inadequately completed","","","",""
"No","2011","no migration background","(1b) general elementary school","","","",""
"No","2011","no migration background","(1c) basic vocational qualification","","","",""
"No","2011","no migration background","(2b) intermediate general qualification","","","",""
"No","2011","no migration background","(2a) intermediate vocational","","","",""
"No","2011","no migration background","(2c_gen) general maturity certificate","","","",""
"No","2011","no migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2011","no migration background","(3a) lower tertiary education","","","",""
"No","2011","no migration background","(3b) higher tertiary education","","","",""
"No","2011","direct migration background","(0) in school","","","",""
"No","2011","direct migration background","(1a) inadequately completed","","","",""
"No","2011","direct migration background","(1b) general elementary school","","","",""
"No","2011","direct migration background","(1c) basic vocational qualification","","","",""
"No","2011","direct migration background","(2b) intermediate general qualification","","","",""
"No","2011","direct migration background","(2a) intermediate vocational","","","",""
"No","2011","direct migration background","(2c_gen) general maturity certificate","","","",""
"No","2011","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2011","direct migration background","(3a) lower tertiary education","","","",""
"No","2011","direct migration background","(3b) higher tertiary education","","","",""
"No","2011","indirect migration background","(0) in school","","","",""
"No","2011","indirect migration background","(1a) inadequately completed","","","",""
"No","2011","indirect migration background","(1b) general elementary school","","","",""
"No","2011","indirect migration background","(1c) basic vocational qualification","","","",""
"No","2011","indirect migration background","(2b) intermediate general qualification","","","",""
"No","2011","indirect migration background","(2a) intermediate vocational","","","",""
"No","2011","indirect migration background","(2c_gen) general maturity certificate","","","",""
"No","2011","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2011","indirect migration background","(3a) lower tertiary education","","","",""
"No","2011","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2012","no migration background","(0) in school","36","0.191797518038102","0.139653125202324","0.24394191087388"
"Yes","2012","no migration background","(1a) inadequately completed","75","0.485006927366693","0.403093568094806","0.56692028663858"
"Yes","2012","no migration background","(1b) general elementary school","323","0.256245185720485","0.231357638041031","0.281132733399939"
"Yes","2012","no migration background","(1c) basic vocational qualification","1308","0.273931278538063","0.261240582940577","0.28662197413555"
"Yes","2012","no migration background","(2b) intermediate general qualification","152","0.354504569317312","0.309705546543494","0.39930359209113"
"Yes","2012","no migration background","(2a) intermediate vocational","1419","0.309682775719401","0.296393402604971","0.322972148833831"
"Yes","2012","no migration background","(2c_gen) general maturity certificate","117","0.169680263726662","0.140158613072216","0.199201914381108"
"Yes","2012","no migration background","(2c_voc) vocational maturity certificate","318","0.261027118539089","0.236966866556717","0.28508737052146"
"Yes","2012","no migration background","(3a) lower tertiary education","311","0.20457786253239","0.185207455455315","0.223948269609464"
"Yes","2012","no migration background","(3b) higher tertiary education","364","0.147438651271744","0.133496146882465","0.161381155661022"
"Yes","2012","direct migration background","(0) in school","2","","",""
"Yes","2012","direct migration background","(1a) inadequately completed","22","","",""
"Yes","2012","direct migration background","(1b) general elementary school","102","0.280020583941656","0.234020082386284","0.326021085497029"
"Yes","2012","direct migration background","(1c) basic vocational qualification","131","0.310870329655335","0.26929030658944","0.352450352721231"
"Yes","2012","direct migration background","(2b) intermediate general qualification","12","","",""
"Yes","2012","direct migration background","(2a) intermediate vocational","35","0.345911691733485","0.263828535080298","0.427994848386671"
"Yes","2012","direct migration background","(2c_gen) general maturity certificate","41","0.343352878318353","0.263842434779189","0.422863321857517"
"Yes","2012","direct migration background","(2c_voc) vocational maturity certificate","62","0.252824536470173","0.199268461466231","0.306380611474115"
"Yes","2012","direct migration background","(3a) lower tertiary education","11","","",""
"Yes","2012","direct migration background","(3b) higher tertiary education","49","0.179909683617428","0.137150898640642","0.222668468594214"
"Yes","2012","indirect migration background","(0) in school","8","","",""
"Yes","2012","indirect migration background","(1a) inadequately completed","7","","",""
"Yes","2012","indirect migration background","(1b) general elementary school","38","0.530388533018461","0.419632549194418","0.641144516842504"
"Yes","2012","indirect migration background","(1c) basic vocational qualification","67","0.526717185202699","0.440221943227676","0.613212427177722"
"Yes","2012","indirect migration background","(2b) intermediate general qualification","13","","",""
"Yes","2012","indirect migration background","(2a) intermediate vocational","42","0.374521458005511","0.291321908424848","0.457721007586175"
"Yes","2012","indirect migration background","(2c_gen) general maturity certificate","15","","",""
"Yes","2012","indirect migration background","(2c_voc) vocational maturity certificate","15","","",""
"Yes","2012","indirect migration background","(3a) lower tertiary education","7","","",""
"Yes","2012","indirect migration background","(3b) higher tertiary education","20","","",""
"No","2012","no migration background","(0) in school","183","0.808202481961898","0.75605808912612","0.860346874797676"
"No","2012","no migration background","(1a) inadequately completed","68","0.514993072633307","0.43307971336142","0.596906431905194"
"No","2012","no migration background","(1b) general elementary school","859","0.743754814279515","0.718867266600062","0.768642361958969"
"No","2012","no migration background","(1c) basic vocational qualification","3436","0.726068721461937","0.71337802586445","0.738759417059423"
"No","2012","no migration background","(2b) intermediate general qualification","286","0.645495430682688","0.60069640790887","0.690294453456506"
"No","2012","no migration background","(2a) intermediate vocational","3231","0.690317224280599","0.677027851166169","0.703606597395029"
"No","2012","no migration background","(2c_gen) general maturity certificate","504","0.830319736273338","0.800798085618892","0.859841386927784"
"No","2012","no migration background","(2c_voc) vocational maturity certificate","962","0.738972881460911","0.71491262947854","0.763033133443283"
"No","2012","no migration background","(3a) lower tertiary education","1355","0.79542213746761","0.776051730390536","0.814792544544684"
"No","2012","no migration background","(3b) higher tertiary education","2120","0.852561348728256","0.838618844338978","0.866503853117535"
"No","2012","direct migration background","(0) in school","11","","",""
"No","2012","direct migration background","(1a) inadequately completed","79","0.737815742948136","0.65203996446163","0.823591521434643"
"No","2012","direct migration background","(1b) general elementary school","264","0.719979416058344","0.673978914502971","0.765979917613717"
"No","2012","direct migration background","(1c) basic vocational qualification","345","0.689129670344665","0.647549647278769","0.73070969341056"
"No","2012","direct migration background","(2b) intermediate general qualification","26","","",""
"No","2012","direct migration background","(2a) intermediate vocational","94","0.654088308266515","0.572005151613329","0.736171464919702"
"No","2012","direct migration background","(2c_gen) general maturity certificate","96","0.656647121681647","0.577136678142483","0.736157565220811"
"No","2012","direct migration background","(2c_voc) vocational maturity certificate","191","0.747175463529827","0.693619388525885","0.800731538533769"
"No","2012","direct migration background","(3a) lower tertiary education","59","0.830517075443856","0.742627710032869","0.918406440854843"
"No","2012","direct migration background","(3b) higher tertiary education","261","0.820090316382572","0.777331531405786","0.862849101359358"
"No","2012","indirect migration background","(0) in school","47","0.911657322447543","0.836656187117305","0.986658457777781"
"No","2012","indirect migration background","(1a) inadequately completed","5","","",""
"No","2012","indirect migration background","(1b) general elementary school","40","0.469611466981539","0.358855483157496","0.580367450805582"
"No","2012","indirect migration background","(1c) basic vocational qualification","61","0.473282814797301","0.386787572822278","0.559778056772324"
"No","2012","indirect migration background","(2b) intermediate general qualification","43","0.770424886278311","0.660275613798689","0.880574158757933"
"No","2012","indirect migration background","(2a) intermediate vocational","88","0.625478541994489","0.542278992413825","0.708678091575152"
"No","2012","indirect migration background","(2c_gen) general maturity certificate","75","0.862506574236286","0.791360816400415","0.933652332072157"
"No","2012","indirect migration background","(2c_voc) vocational maturity certificate","46","0.713372092544029","0.599897020321564","0.826847164766495"
"No","2012","indirect migration background","(3a) lower tertiary education","32","0.794470700429019","0.66764957546328","0.921291825394759"
"No","2012","indirect migration background","(3b) higher tertiary education","59","0.797805484057041","0.709239339369209","0.886371628744872"
"Yes","2013","no migration background","(0) in school","","","",""
"Yes","2013","no migration background","(1a) inadequately completed","","","",""
"Yes","2013","no migration background","(1b) general elementary school","","","",""
"Yes","2013","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2013","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2013","no migration background","(2a) intermediate vocational","","","",""
"Yes","2013","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2013","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2013","no migration background","(3a) lower tertiary education","","","",""
"Yes","2013","no migration background","(3b) higher tertiary education","","","",""
"Yes","2013","direct migration background","(0) in school","","","",""
"Yes","2013","direct migration background","(1a) inadequately completed","","","",""
"Yes","2013","direct migration background","(1b) general elementary school","","","",""
"Yes","2013","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2013","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2013","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2013","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2013","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2013","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2013","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2013","indirect migration background","(0) in school","","","",""
"Yes","2013","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2013","indirect migration background","(1b) general elementary school","","","",""
"Yes","2013","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2013","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2013","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2013","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2013","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2013","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2013","indirect migration background","(3b) higher tertiary education","","","",""
"No","2013","no migration background","(0) in school","","","",""
"No","2013","no migration background","(1a) inadequately completed","","","",""
"No","2013","no migration background","(1b) general elementary school","","","",""
"No","2013","no migration background","(1c) basic vocational qualification","","","",""
"No","2013","no migration background","(2b) intermediate general qualification","","","",""
"No","2013","no migration background","(2a) intermediate vocational","","","",""
"No","2013","no migration background","(2c_gen) general maturity certificate","","","",""
"No","2013","no migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2013","no migration background","(3a) lower tertiary education","","","",""
"No","2013","no migration background","(3b) higher tertiary education","","","",""
"No","2013","direct migration background","(0) in school","","","",""
"No","2013","direct migration background","(1a) inadequately completed","","","",""
"No","2013","direct migration background","(1b) general elementary school","","","",""
"No","2013","direct migration background","(1c) basic vocational qualification","","","",""
"No","2013","direct migration background","(2b) intermediate general qualification","","","",""
"No","2013","direct migration background","(2a) intermediate vocational","","","",""
"No","2013","direct migration background","(2c_gen) general maturity certificate","","","",""
"No","2013","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"No","2013","direct migration background","(3a) lower tertiary education","","","",""
"No","2013","direct migration background","(3b) higher tertiary education","","","",""
"No","2013","indirect migration background","(0) in school","","","",""
"No","2013","indirect migration background","(1a) inadequately completed","","","",""
"No","2013","indirect migration background","(1b) general elementary school","","","",""
"No","2013","indirect migration background","(1c) basic vocational qualification","","","",""
"No","2013","indirect migration background","(2b) intermediate general qualification","","","",""
"No","2013","indirect migration background","(2a) intermediate vocational","","","",""
"No","2013","indirect migration background","(2c_gen) general maturity certificate","","","",""
"No","2013","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
