"ple0081_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2012","direct migration background","higher vocational","16","","",""
"Yes","2012","direct migration background","higher education","60","0.17812717994495","0.139657046037906","0.216597313851993"
"Yes","2012","indirect migration background","in school","8","","",""
"Yes","2012","indirect migration background","inadequately","9","","",""
"Yes","2012","indirect migration background","general elemantary","49","0.371832400474953","0.288432675775087","0.455232125174819"
"Yes","2012","indirect migration background","middle vocational","122","0.368015674548384","0.316903854066263","0.419127495030506"
"Yes","2012","indirect migration background","vocational + Abi","12","","",""
"Yes","2012","indirect migration background","higher vocational","12","","",""
"Yes","2012","indirect migration background","higher education","27","","",""
"No","2012","no migration background","in school","180","0.813835846156913","0.761806867718102","0.865864824595724"
"No","2012","no migration background","inadequately","56","0.47233062540889","0.387164846508483","0.557496404309298"
"No","2012","no migration background","general elemantary","1131","0.723739946122854","0.701726715896239","0.745753176349468"
"No","2012","no migration background","middle vocational","6551","0.711008561187096","0.70176250396461","0.720254618409581"
"No","2012","no migration background","vocational + Abi","704","0.728413809876802","0.700010721412699","0.756816898340905"
"No","2012","no migration background","higher vocational","1003","0.766743120152816","0.74391171920814","0.789574521097491"
"No","2012","no migration background","higher education","3475","0.828610713323103","0.817145262119308","0.840076164526898"
"No","2012","direct migration background","in school","11","","",""
"No","2012","direct migration background","inadequately","66","0.717095604913003","0.620197022743274","0.813994187082731"
"No","2012","direct migration background","general elemantary","290","0.712803827991883","0.668684209984058","0.756923445999708"
"No","2012","direct migration background","middle vocational","517","0.662118708068081","0.627736727690158","0.696500688446004"
"No","2012","direct migration background","vocational + Abi","165","0.780218944695601","0.725249263646732","0.83518862574447"
"No","2012","direct migration background","higher vocational","69","0.753870581454297","0.662297297473876","0.845443865434719"
"No","2012","direct migration background","higher education","320","0.82187282005505","0.783402686148007","0.860342953962094"
"No","2012","indirect migration background","in school","47","0.911657322447543","0.836656187117305","0.986658457777781"
"No","2012","indirect migration background","inadequately","7","","",""
"No","2012","indirect migration background","general elemantary","80","0.628167599525047","0.544767874825181","0.711567324224913"
"No","2012","indirect migration background","middle vocational","220","0.631984325451616","0.580872504969494","0.683096145933737"
"No","2012","indirect migration background","vocational + Abi","38","0.696662018262554","0.56924203253833","0.824082003986778"
"No","2012","indirect migration background","higher vocational","25","","",""
"No","2012","indirect migration background","higher education","91","0.796448986034652","0.723801146353565","0.86909682571574"
"Yes","2013","no migration background","in school","","","",""
"Yes","2013","no migration background","inadequately","","","",""
"Yes","2013","no migration background","general elemantary","","","",""
"Yes","2013","no migration background","middle vocational","","","",""
"Yes","2013","no migration background","vocational + Abi","","","",""
"Yes","2013","no migration background","higher vocational","","","",""
"Yes","2013","no migration background","higher education","","","",""
"Yes","2013","direct migration background","in school","","","",""
"Yes","2013","direct migration background","inadequately","","","",""
"Yes","2013","direct migration background","general elemantary","","","",""
"Yes","2013","direct migration background","middle vocational","","","",""
"Yes","2013","direct migration background","vocational + Abi","","","",""
"Yes","2013","direct migration background","higher vocational","","","",""
"Yes","2013","direct migration background","higher education","","","",""
"Yes","2013","indirect migration background","in school","","","",""
"Yes","2013","indirect migration background","inadequately","","","",""
"Yes","2013","indirect migration background","general elemantary","","","",""
"Yes","2013","indirect migration background","middle vocational","","","",""
"Yes","2013","indirect migration background","vocational + Abi","","","",""
"Yes","2013","indirect migration background","higher vocational","","","",""
"Yes","2013","indirect migration background","higher education","","","",""
"No","2013","no migration background","in school","","","",""
"No","2013","no migration background","inadequately","","","",""
"No","2013","no migration background","general elemantary","","","",""
"No","2013","no migration background","middle vocational","","","",""
"No","2013","no migration background","vocational + Abi","","","",""
"No","2013","no migration background","higher vocational","","","",""
"No","2013","no migration background","higher education","","","",""
"No","2013","direct migration background","in school","","","",""
"No","2013","direct migration background","inadequately","","","",""
"No","2013","direct migration background","general elemantary","","","",""
"No","2013","direct migration background","middle vocational","","","",""
"No","2013","direct migration background","vocational + Abi","","","",""
"No","2013","direct migration background","higher vocational","","","",""
"No","2013","direct migration background","higher education","","","",""
"No","2013","indirect migration background","in school","","","",""
"No","2013","indirect migration background","inadequately","","","",""
"No","2013","indirect migration background","general elemantary","","","",""
"No","2013","indirect migration background","middle vocational","","","",""
"No","2013","indirect migration background","vocational + Abi","","","",""
"No","2013","indirect migration background","higher vocational","","","",""
"No","2013","indirect migration background","higher education","","","",""
"Yes","2014","no migration background","in school","39","0.150876360161674","0.109394221432177","0.192358498891171"
"Yes","2014","no migration background","inadequately","111","0.567483751537891","0.494497781064561","0.640469722011222"
"Yes","2014","no migration background","general elemantary","638","0.316440794394616","0.294499512528723","0.338382076260509"
"Yes","2014","no migration background","middle vocational","3020","0.288773121562365","0.279927350979242","0.297618892145488"
"Yes","2014","no migration background","vocational + Abi","321","0.264957532592447","0.241014057320346","0.288901007864548"
"Yes","2014","no migration background","higher vocational","291","0.208261413468753","0.18720776883594","0.229315058101566"
"Yes","2014","no migration background","higher education","732","0.165230347101767","0.154781432513901","0.175679261689633"
"Yes","2014","direct migration background","in school","8","","",""
"Yes","2014","direct migration background","inadequately","110","0.362971964732465","0.306749388095632","0.419194541369298"
"Yes","2014","direct migration background","general elemantary","371","0.358286997724826","0.329060702626269","0.387513292823384"
"Yes","2014","direct migration background","middle vocational","574","0.303050059123389","0.281652008453763","0.324448109793015"
"Yes","2014","direct migration background","vocational + Abi","198","0.288326012068654","0.252755794100811","0.323896230036497"
"Yes","2014","direct migration background","higher vocational","21","","",""
"Yes","2014","direct migration background","higher education","199","0.188859562329884","0.165844689613082","0.211874435046685"
"Yes","2014","indirect migration background","in school","17","","",""
"Yes","2014","indirect migration background","inadequately","28","","",""
"Yes","2014","indirect migration background","general elemantary","165","0.441087480156263","0.389510325893734","0.492664634418792"
"Yes","2014","indirect migration background","middle vocational","288","0.414775973309866","0.378962309279948","0.450589637339785"
"Yes","2014","indirect migration background","vocational + Abi","39","0.360033985026192","0.275886083688933","0.444181886363451"
"Yes","2014","indirect migration background","higher vocational","18","","",""
"Yes","2014","indirect migration background","higher education","50","0.151172362769173","0.108523308838698","0.193821416699648"
"No","2014","no migration background","in school","247","0.849123639838326","0.807641501108829","0.890605778567823"
"No","2014","no migration background","inadequately","66","0.432516248462109","0.359530277988778","0.505502218935439"
"No","2014","no migration background","general elemantary","1088","0.683559205605384","0.661617923739491","0.705500487471277"
"No","2014","no migration background","middle vocational","7063","0.711226878437635","0.702381107854512","0.720072649020758"
"No","2014","no migration background","vocational + Abi","984","0.735042467407553","0.711098992135452","0.758985942679654"
"No","2014","no migration background","higher vocational","1138","0.791738586531247","0.770684941898434","0.81279223116406"
"No","2014","no migration background","higher education","4121","0.834769652898233","0.824320738310367","0.845218567486099"
"No","2014","direct migration background","in school","52","0.910114754130122","0.83774372496433","0.982485783295914"
"No","2014","direct migration background","inadequately","171","0.637028035267535","0.580805458630702","0.693250611904368"
"No","2014","direct migration background","general elemantary","663","0.641713002275174","0.612486707176616","0.670939297373731"
"No","2014","direct migration background","middle vocational","1198","0.696949940876611","0.675551890206984","0.718347991546237"
"No","2014","direct migration background","vocational + Abi","425","0.711673987931346","0.676103769963503","0.747244205899189"
"No","2014","direct migration background","higher vocational","86","0.774210967142418","0.694990521092137","0.853431413192699"
"No","2014","direct migration background","higher education","912","0.811140437670116","0.788125564953315","0.834155310386918"
"No","2014","indirect migration background","in school","86","0.792567528180977","0.71426316039413","0.870871895967824"
"No","2014","indirect migration background","inadequately","20","","",""
"No","2014","indirect migration background","general elemantary","191","0.558912519843737","0.507335365581208","0.610489674106266"
"No","2014","indirect migration background","middle vocational","439","0.585224026690134","0.549410362660215","0.621037690720052"
"No","2014","indirect migration background","vocational + Abi","86","0.639966014973808","0.555818113636549","0.724113916311067"
"No","2014","indirect migration background","higher vocational","43","0.719699864677682","0.60698776563548","0.832411963719884"
"No","2014","indirect migration background","higher education","221","0.848827637230827","0.806178583300352","0.891476691161302"
"Yes","2015","no migration background","in school","","","",""
"Yes","2015","no migration background","inadequately","","","",""
"Yes","2015","no migration background","general elemantary","","","",""
"Yes","2015","no migration background","middle vocational","","","",""
"Yes","2015","no migration background","vocational + Abi","","","",""
"Yes","2015","no migration background","higher vocational","","","",""
"Yes","2015","no migration background","higher education","","","",""
"Yes","2015","direct migration background","in school","","","",""
"Yes","2015","direct migration background","inadequately","","","",""
"Yes","2015","direct migration background","general elemantary","","","",""
"Yes","2015","direct migration background","middle vocational","","","",""
"Yes","2015","direct migration background","vocational + Abi","","","",""
"Yes","2015","direct migration background","higher vocational","","","",""
"Yes","2015","direct migration background","higher education","","","",""
"Yes","2015","indirect migration background","in school","","","",""
"Yes","2015","indirect migration background","inadequately","","","",""
"Yes","2015","indirect migration background","general elemantary","","","",""
"Yes","2015","indirect migration background","middle vocational","","","",""
"Yes","2015","indirect migration background","vocational + Abi","","","",""
"Yes","2015","indirect migration background","higher vocational","","","",""
"Yes","2015","indirect migration background","higher education","","","",""
"No","2015","no migration background","in school","","","",""
"No","2015","no migration background","inadequately","","","",""
"No","2015","no migration background","general elemantary","","","",""
"No","2015","no migration background","middle vocational","","","",""
"No","2015","no migration background","vocational + Abi","","","",""
"No","2015","no migration background","higher vocational","","","",""
"No","2015","no migration background","higher education","","","",""
"No","2015","direct migration background","in school","","","",""
"No","2015","direct migration background","inadequately","","","",""
"No","2015","direct migration background","general elemantary","","","",""
"No","2015","direct migration background","middle vocational","","","",""
"No","2015","direct migration background","vocational + Abi","","","",""
"No","2015","direct migration background","higher vocational","","","",""
"No","2015","direct migration background","higher education","","","",""
"No","2015","indirect migration background","in school","","","",""
"No","2015","indirect migration background","inadequately","","","",""
"No","2015","indirect migration background","general elemantary","","","",""
"No","2015","indirect migration background","middle vocational","","","",""
"No","2015","indirect migration background","vocational + Abi","","","",""
"No","2015","indirect migration background","higher vocational","","","",""
"No","2015","indirect migration background","higher education","","","",""
"Yes","2016","no migration background","in school","25","","",""
"Yes","2016","no migration background","inadequately","79","0.499737544636229","0.415394135463744","0.584080953808714"
"Yes","2016","no migration background","general elemantary","523","0.302844242418346","0.2795913473715","0.326097137465192"
"Yes","2016","no migration background","middle vocational","2554","0.27916000064988","0.269793941829068","0.288526059470691"
"Yes","2016","no migration background","vocational + Abi","272","0.246018495714896","0.221475931032431","0.270561060397361"
"Yes","2016","no migration background","higher vocational","249","0.210362661433941","0.187858595848675","0.232866727019206"
"Yes","2016","no migration background","higher education","610","0.156516153682986","0.14583590586039","0.167196401505582"
"Yes","2016","direct migration background","in school","6","","",""
"Yes","2016","direct migration background","inadequately","94","0.357101563669487","0.296228287883063","0.417974839455911"
"Yes","2016","direct migration background","general elemantary","303","0.370868353984611","0.33692623539293","0.404810472576292"
"Yes","2016","direct migration background","middle vocational","500","0.279519800193089","0.257321711697057","0.30171788868912"
"Yes","2016","direct migration background","vocational + Abi","248","0.302028313488984","0.268698947028155","0.335357679949814"
"Yes","2016","direct migration background","higher vocational","19","","",""
"Yes","2016","direct migration background","higher education","196","0.176468597038772","0.155085822452302","0.197851371625242"
"Yes","2016","indirect migration background","in school","12","","",""
"Yes","2016","indirect migration background","inadequately","14","","",""
"Yes","2016","indirect migration background","general elemantary","124","0.37701404529396","0.32180374260823","0.432224347979689"
"Yes","2016","indirect migration background","middle vocational","222","0.32089052266235","0.284610472892303","0.357170572432397"
"Yes","2016","indirect migration background","vocational + Abi","34","0.262598355363267","0.180735921330285","0.344460789396249"
"Yes","2016","indirect migration background","higher vocational","13","","",""
"Yes","2016","indirect migration background","higher education","52","0.26257091023379","0.206549071941598","0.318592748525982"
"No","2016","no migration background","in school","188","0.82517594524652","0.774168665450045","0.876183225042994"
"No","2016","no migration background","inadequately","56","0.500262455363771","0.415919046191286","0.584605864536256"
"No","2016","no migration background","general elemantary","977","0.697155757581654","0.673902862534808","0.7204086526285"
"No","2016","no migration background","middle vocational","6258","0.720839999350121","0.711473940529309","0.730206058170932"
"No","2016","no migration background","vocational + Abi","911","0.753981504285104","0.729438939602639","0.778524068967569"
"No","2016","no migration background","higher vocational","1011","0.789637338566059","0.767133272980794","0.812141404151325"
"No","2016","no migration background","higher education","3836","0.843483846317014","0.832803598494418","0.85416409413961"
"No","2016","direct migration background","in school","39","0.921694337647979","0.843201166048985","1.00018750924697"
"No","2016","direct migration background","inadequately","144","0.642898436330513","0.582025160544089","0.703771712116937"
"No","2016","direct migration background","general elemantary","475","0.629131646015389","0.595189527423708","0.66307376460707"
"No","2016","direct migration background","middle vocational","1070","0.720480199806911","0.69828211131088","0.742678288302943"
"No","2016","direct migration background","vocational + Abi","481","0.697971686511016","0.664642320050186","0.731301052971845"
"No","2016","direct migration background","higher vocational","71","0.855864693573551","0.783301802163576","0.928427584983525"
"No","2016","direct migration background","higher education","1025","0.823531402961228","0.802148628374758","0.844914177547698"
"No","2016","indirect migration background","in school","64","0.882930342228603","0.810648919851984","0.955211764605221"
"No","2016","indirect migration background","inadequately","15","","",""
"No","2016","indirect migration background","general elemantary","172","0.62298595470604","0.567775652020311","0.67819625739177"
"No","2016","indirect migration background","middle vocational","414","0.67910947733765","0.642829427567603","0.715389527107697"
"No","2016","indirect migration background","vocational + Abi","77","0.737401644636733","0.655539210603751","0.819264078669715"
"No","2016","indirect migration background","higher vocational","47","0.766809448441188","0.659812431841958","0.873806465040418"
"No","2016","indirect migration background","higher education","185","0.73742908976621","0.681407251474018","0.793450928058402"
"Yes","2017","no migration background","in school","","","",""
"Yes","2017","no migration background","inadequately","","","",""
"Yes","2017","no migration background","general elemantary","","","",""
"Yes","2017","no migration background","middle vocational","","","",""
"Yes","2017","no migration background","vocational + Abi","","","",""
"Yes","2017","no migration background","higher vocational","","","",""
"Yes","2017","no migration background","higher education","","","",""
"Yes","2017","direct migration background","in school","","","",""
"Yes","2017","direct migration background","inadequately","","","",""
"Yes","2017","direct migration background","general elemantary","","","",""
"Yes","2017","direct migration background","middle vocational","","","",""
"Yes","2017","direct migration background","vocational + Abi","","","",""
"Yes","2017","direct migration background","higher vocational","","","",""
"Yes","2017","direct migration background","higher education","","","",""
"Yes","2017","indirect migration background","in school","","","",""
"Yes","2017","indirect migration background","inadequately","","","",""
"Yes","2017","indirect migration background","general elemantary","","","",""
"Yes","2017","indirect migration background","middle vocational","","","",""
"Yes","2017","indirect migration background","vocational + Abi","","","",""
"Yes","2017","indirect migration background","higher vocational","","","",""
"Yes","2017","indirect migration background","higher education","","","",""
"No","2017","no migration background","in school","","","",""
"No","2017","no migration background","inadequately","","","",""
"No","2017","no migration background","general elemantary","","","",""
"No","2017","no migration background","middle vocational","","","",""
"No","2017","no migration background","vocational + Abi","","","",""
"No","2017","no migration background","higher vocational","","","",""
"No","2017","no migration background","higher education","","","",""
"No","2017","direct migration background","in school","","","",""
"No","2017","direct migration background","inadequately","","","",""
"No","2017","direct migration background","general elemantary","","","",""
"No","2017","direct migration background","middle vocational","","","",""
"No","2017","direct migration background","vocational + Abi","","","",""
"No","2017","direct migration background","higher vocational","","","",""
"No","2017","direct migration background","higher education","","","",""
"No","2017","indirect migration background","in school","","","",""
"No","2017","indirect migration background","inadequately","","","",""
"No","2017","indirect migration background","general elemantary","","","",""
"No","2017","indirect migration background","middle vocational","","","",""
"No","2017","indirect migration background","vocational + Abi","","","",""
"No","2017","indirect migration background","higher vocational","","","",""
"No","2017","indirect migration background","higher education","","","",""
"Yes","2018","no migration background","in school","21","","",""
"Yes","2018","no migration background","inadequately","99","0.53330574994201","0.457640893296696","0.608970606587323"
"Yes","2018","no migration background","general elemantary","605","0.29752049835411","0.275528265689895","0.319512731018325"
"Yes","2018","no migration background","middle vocational","2643","0.269160263852353","0.260177004519773","0.278143523184934"
"Yes","2018","no migration background","vocational + Abi","323","0.249485141596465","0.226753517609096","0.272216765583835"
"Yes","2018","no migration background","higher vocational","252","0.199421345646415","0.177874460006475","0.220968231286355"
"Yes","2018","no migration background","higher education","658","0.14322958663982","0.133430171089277","0.153029002190363"
"Yes","2018","direct migration background","in school","3","","",""
"Yes","2018","direct migration background","inadequately","105","0.400415871924772","0.341422141411599","0.459409602437944"
"Yes","2018","direct migration background","general elemantary","277","0.396368844353328","0.36068964739076","0.432048041315895"
"Yes","2018","direct migration background","middle vocational","445","0.295175989718372","0.271510420022742","0.318841559414002"
"Yes","2018","direct migration background","vocational + Abi","184","0.292364535005305","0.255786362080483","0.328942707930128"
"Yes","2018","direct migration background","higher vocational","17","","",""
"Yes","2018","direct migration background","higher education","183","0.176485205141591","0.154296527603061","0.198673882680121"
"Yes","2018","indirect migration background","in school","9","","",""
"Yes","2018","indirect migration background","inadequately","25","","",""
"Yes","2018","indirect migration background","general elemantary","120","0.433992109482307","0.376145794715683","0.491838424248931"
"Yes","2018","indirect migration background","middle vocational","226","0.331618265919109","0.296641876182589","0.366594655655629"
"Yes","2018","indirect migration background","vocational + Abi","41","0.275746688152006","0.198024212055574","0.353469164248439"
"Yes","2018","indirect migration background","higher vocational","10","","",""
"Yes","2018","indirect migration background","higher education","43","0.216835158180943","0.167862341764595","0.26580797459729"
"No","2018","no migration background","in school","197","0.927792377366684","0.893433673880915","0.962151080852453"
"No","2018","no migration background","inadequately","68","0.46669425005799","0.391029393412677","0.542359106703304"
"No","2018","no migration background","general elemantary","1055","0.70247950164589","0.680487268981675","0.724471734310104"
"No","2018","no migration background","middle vocational","6721","0.730839736147647","0.721856476815066","0.739822995480227"
"No","2018","no migration background","vocational + Abi","1069","0.750514858403535","0.727783234416166","0.773246482390904"
"No","2018","no migration background","higher vocational","1069","0.800578654353585","0.779031768713645","0.822125539993525"
"No","2018","no migration background","higher education","4251","0.85677041336018","0.846970997809637","0.866569828910723"
"No","2018","direct migration background","in school","31","0.885434997008941","0.778378517027931","0.992491476989951"
"No","2018","direct migration background","inadequately","160","0.599584128075228","0.540590397562056","0.658577858588401"
"No","2018","direct migration background","general elemantary","445","0.603631155646672","0.567951958684105","0.63931035260924"
"No","2018","direct migration background","middle vocational","982","0.704824010281628","0.681158440585999","0.728489579977258"
"No","2018","direct migration background","vocational + Abi","410","0.707635464994695","0.671057292069872","0.744213637919517"
"No","2018","direct migration background","higher vocational","59","0.7486211121121","0.651091447561947","0.846150776662253"
"No","2018","direct migration background","higher education","951","0.823514794858409","0.801326117319879","0.845703472396938"
"No","2018","indirect migration background","in school","74","0.897553737202601","0.83231773560776","0.962789738797441"
"No","2018","indirect migration background","inadequately","18","","",""
"No","2018","indirect migration background","general elemantary","162","0.566007890517693","0.508161575751069","0.623854205284317"
"No","2018","indirect migration background","middle vocational","470","0.668381734080891","0.633405344344371","0.703358123817411"
"No","2018","indirect migration background","vocational + Abi","86","0.724253311847994","0.646530835751561","0.801975787944426"
"No","2018","indirect migration background","higher vocational","41","0.64899029931886","0.517999236726383","0.779981361911337"
"No","2018","indirect migration background","higher education","229","0.783164841819057","0.73419202540271","0.832137658235405"
