"ple0098_v5","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2015","Not Employed","no degree/no degree yet","","","",""
"Yes","2015","Employed","lower secondary degree","","","",""
"Yes","2015","Employed","secondary school degree","","","",""
"Yes","2015","Employed","college entrance qualification","","","",""
"Yes","2015","Employed","Other degree","","","",""
"Yes","2015","Employed","no degree/no degree yet","","","",""
"No","2015","Not Employed","lower secondary degree","","","",""
"No","2015","Not Employed","secondary school degree","","","",""
"No","2015","Not Employed","college entrance qualification","","","",""
"No","2015","Not Employed","Other degree","","","",""
"No","2015","Not Employed","no degree/no degree yet","","","",""
"No","2015","Employed","lower secondary degree","","","",""
"No","2015","Employed","secondary school degree","","","",""
"No","2015","Employed","college entrance qualification","","","",""
"No","2015","Employed","Other degree","","","",""
"No","2015","Employed","no degree/no degree yet","","","",""
"Yes","2016","Not Employed","lower secondary degree","352","0.119513212679935","0.107563773077755","0.131462652282114"
"Yes","2016","Not Employed","secondary school degree","337","0.224011484025737","0.203569526002091","0.244453442049383"
"Yes","2016","Not Employed","college entrance qualification","294","0.289438367985415","0.262176200235178","0.316700535735651"
"Yes","2016","Not Employed","Other degree","48","0.0611440380376098","0.0455770734493846","0.0767110026258349"
"Yes","2016","Not Employed","no degree/no degree yet","34","0.0784175380274179","0.0538777204133296","0.102957355641506"
"Yes","2016","Employed","lower secondary degree","557","0.21588684423784","0.20045599954669","0.231317688928989"
"Yes","2016","Employed","secondary school degree","1166","0.273230099567958","0.260067657136768","0.286392541999148"
"Yes","2016","Employed","college entrance qualification","1271","0.312955075679341","0.298520140577765","0.327390010780916"
"Yes","2016","Employed","Other degree","185","0.0999348556744235","0.0875010294341588","0.112368681914688"
"Yes","2016","Employed","no degree/no degree yet","20","","",""
"No","2016","Not Employed","lower secondary degree","2479","0.880486787320065","0.868537347717886","0.892436226922245"
"No","2016","Not Employed","secondary school degree","1261","0.775988515974263","0.755546557950617","0.796430473997909"
"No","2016","Not Employed","college entrance qualification","769","0.710561632014585","0.683299464264349","0.737823799764822"
"No","2016","Not Employed","Other degree","862","0.93885596196239","0.923288997374165","0.954422926550615"
"No","2016","Not Employed","no degree/no degree yet","427","0.921582461972582","0.897042644358494","0.94612227958667"
"No","2016","Employed","lower secondary degree","2174","0.78411315576216","0.768682311071011","0.799544000453309"
"No","2016","Employed","secondary school degree","3237","0.726769900432042","0.713607458000852","0.739932342863232"
"No","2016","Employed","college entrance qualification","2693","0.687044924320659","0.672609989219084","0.701479859422235"
"No","2016","Employed","Other degree","2050","0.900065144325577","0.887631318085312","0.912498970565841"
"No","2016","Employed","no degree/no degree yet","278","0.941067583064873","0.914329670909741","0.967805495220006"
"Yes","2017","Not Employed","lower secondary degree","","","",""
"Yes","2017","Not Employed","secondary school degree","","","",""
"Yes","2017","Not Employed","college entrance qualification","","","",""
"Yes","2017","Not Employed","Other degree","","","",""
"Yes","2017","Not Employed","no degree/no degree yet","","","",""
"Yes","2017","Employed","lower secondary degree","","","",""
"Yes","2017","Employed","secondary school degree","","","",""
"Yes","2017","Employed","college entrance qualification","","","",""
"Yes","2017","Employed","Other degree","","","",""
"Yes","2017","Employed","no degree/no degree yet","","","",""
"No","2017","Not Employed","lower secondary degree","","","",""
"No","2017","Not Employed","secondary school degree","","","",""
"No","2017","Not Employed","college entrance qualification","","","",""
"No","2017","Not Employed","Other degree","","","",""
"No","2017","Not Employed","no degree/no degree yet","","","",""
"No","2017","Employed","lower secondary degree","","","",""
"No","2017","Employed","secondary school degree","","","",""
"No","2017","Employed","college entrance qualification","","","",""
"No","2017","Employed","Other degree","","","",""
"No","2017","Employed","no degree/no degree yet","","","",""
"Yes","2018","Not Employed","lower secondary degree","369","0.144857877150841","0.131535249441321","0.15818050486036"
"Yes","2018","Not Employed","secondary school degree","384","0.240455730701312","0.220080672857188","0.260830788545436"
"Yes","2018","Not Employed","college entrance qualification","275","0.260084914178385","0.234575091044939","0.28559473731183"
"Yes","2018","Not Employed","Other degree","43","0.082544255906934","0.0637545286689712","0.101333983144897"
"Yes","2018","Not Employed","no degree/no degree yet","29","","",""
"Yes","2018","Employed","lower secondary degree","520","0.200042720777766","0.185107788484652","0.214977653070879"
"Yes","2018","Employed","secondary school degree","1332","0.280491165070337","0.267925513773042","0.293056816367632"
"Yes","2018","Employed","college entrance qualification","1484","0.319389130596486","0.305957955619194","0.332820305573778"
"Yes","2018","Employed","Other degree","178","0.0984224608556345","0.0853998304848697","0.111445091226399"
"Yes","2018","Employed","no degree/no degree yet","23","","",""
"No","2018","Not Employed","lower secondary degree","2312","0.855142122849159","0.84181949513964","0.868464750558679"
"No","2018","Not Employed","secondary school degree","1306","0.759544269298688","0.739169211454564","0.779919327142812"
"No","2018","Not Employed","college entrance qualification","861","0.739915085821615","0.71440526268817","0.765424908955061"
"No","2018","Not Employed","Other degree","781","0.917455744093066","0.898666016855103","0.936245471331029"
"No","2018","Not Employed","no degree/no degree yet","490","0.91861593970528","0.895092486425057","0.942139392985503"
"No","2018","Employed","lower secondary degree","2236","0.799957279222234","0.785022346929121","0.814892211515348"
"No","2018","Employed","secondary school degree","3578","0.719508834929663","0.706943183632368","0.732074486226958"
"No","2018","Employed","college entrance qualification","3145","0.680610869403514","0.667179694426222","0.694042044380806"
"No","2018","Employed","Other degree","1832","0.901577539144366","0.888554908773601","0.91460016951513"
"No","2018","Employed","no degree/no degree yet","281","0.910124119092328","0.87797395520422","0.942274282980436"
