"plb0218","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Rarely","2015","direct migration background","Urban Area","350","0.158804880897189","0.142987099979804","0.174622661814573"
"Rarely","2015","direct migration background","Rural Area","99","0.199278634260579","0.169166203069631","0.229391065451527"
"Rarely","2015","indirect migration background","Urban Area","155","0.169606613847273","0.144839401309507","0.19437382638504"
"Rarely","2015","indirect migration background","Rural Area","42","0.239718103013648","0.180699652492561","0.298736553534735"
"No, never","2016","no migration background","Urban Area","","","",""
"No, never","2016","no migration background","Rural Area","","","",""
"No, never","2016","direct migration background","Urban Area","","","",""
"No, never","2016","direct migration background","Rural Area","","","",""
"No, never","2016","indirect migration background","Urban Area","","","",""
"No, never","2016","indirect migration background","Rural Area","","","",""
"Yes, every week","2016","no migration background","Urban Area","","","",""
"Yes, every week","2016","no migration background","Rural Area","","","",""
"Yes, every week","2016","direct migration background","Urban Area","","","",""
"Yes, every week","2016","direct migration background","Rural Area","","","",""
"Yes, every week","2016","indirect migration background","Urban Area","","","",""
"Yes, every week","2016","indirect migration background","Rural Area","","","",""
"Yes, every 2 weeks","2016","no migration background","Urban Area","","","",""
"Yes, every 2 weeks","2016","no migration background","Rural Area","","","",""
"Yes, every 2 weeks","2016","direct migration background","Urban Area","","","",""
"Yes, every 2 weeks","2016","direct migration background","Rural Area","","","",""
"Yes, every 2 weeks","2016","indirect migration background","Urban Area","","","",""
"Yes, every 2 weeks","2016","indirect migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2016","no migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2016","no migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2016","direct migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2016","direct migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2016","indirect migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2016","indirect migration background","Rural Area","","","",""
"Rarely","2016","no migration background","Urban Area","","","",""
"Rarely","2016","no migration background","Rural Area","","","",""
"Rarely","2016","direct migration background","Urban Area","","","",""
"Rarely","2016","direct migration background","Rural Area","","","",""
"Rarely","2016","indirect migration background","Urban Area","","","",""
"Rarely","2016","indirect migration background","Rural Area","","","",""
"No, never","2017","no migration background","Urban Area","3329","0.426088080957064","0.415073555870174","0.437102606043953"
"No, never","2017","no migration background","Rural Area","2041","0.401891346650857","0.388226356797156","0.415556336504559"
"No, never","2017","direct migration background","Urban Area","969","0.429042857099141","0.40838449490764","0.449701219290641"
"No, never","2017","direct migration background","Rural Area","318","0.420629758425326","0.385555875157346","0.455703641693307"
"No, never","2017","indirect migration background","Urban Area","418","0.44736005672277","0.415591095294922","0.479129018150618"
"No, never","2017","indirect migration background","Rural Area","84","0.344291550733324","0.281363452654774","0.407219648811873"
"Yes, every week","2017","no migration background","Urban Area","1005","0.124269600420562","0.116921736153346","0.131617464687778"
"Yes, every week","2017","no migration background","Rural Area","669","0.137405448391268","0.12780988949907","0.147001007283466"
"Yes, every week","2017","direct migration background","Urban Area","306","0.14640100147206","0.131645880776253","0.161156122167867"
"Yes, every week","2017","direct migration background","Rural Area","90","0.121359832133369","0.0981592558285643","0.144560408438174"
"Yes, every week","2017","indirect migration background","Urban Area","158","0.169340295106677","0.145377084362324","0.193303505851029"
"Yes, every week","2017","indirect migration background","Rural Area","35","0.178817967247798","0.128066181290441","0.229569753205155"
"Yes, every 2 weeks","2017","no migration background","Urban Area","1014","0.133879403399038","0.126294683820032","0.141464122978045"
"Yes, every 2 weeks","2017","no migration background","Rural Area","783","0.158205400748867","0.148034049241032","0.168376752256702"
"Yes, every 2 weeks","2017","direct migration background","Urban Area","374","0.179926568170876","0.163893456647414","0.195959679694337"
"Yes, every 2 weeks","2017","direct migration background","Rural Area","163","0.168382832329415","0.141796012595096","0.194969652063734"
"Yes, every 2 weeks","2017","indirect migration background","Urban Area","137","0.145773038642217","0.123226570510621","0.168319506773813"
"Yes, every 2 weeks","2017","indirect migration background","Rural Area","42","0.15285805879661","0.10519868898261","0.200517428610611"
"Yes, every 3-4 weeks","2017","no migration background","Urban Area","742","0.0886903866402295","0.08235803955291","0.0950227337275489"
"Yes, every 3-4 weeks","2017","no migration background","Rural Area","514","0.0914342654952228","0.0834008984524179","0.0994676325380276"
"Yes, every 3-4 weeks","2017","direct migration background","Urban Area","186","0.0899519495685626","0.0780098346476851","0.10189406448944"
"Yes, every 3-4 weeks","2017","direct migration background","Rural Area","67","0.0965546472577475","0.0755704047041963","0.117538889811299"
"Yes, every 3-4 weeks","2017","indirect migration background","Urban Area","82","0.0841236574509208","0.0663886745931713","0.10185864030867"
"Yes, every 3-4 weeks","2017","indirect migration background","Rural Area","24","","",""
"Rarely","2017","no migration background","Urban Area","1653","0.227072528583107","0.217741164577453","0.23640389258876"
"Rarely","2017","no migration background","Rural Area","938","0.211063538713785","0.199690079760642","0.222436997666929"
"Rarely","2017","direct migration background","Urban Area","370","0.154677623689361","0.139584861731731","0.169770385646991"
"Rarely","2017","direct migration background","Rural Area","123","0.193072929854142","0.165029340525136","0.221116519183148"
"Rarely","2017","indirect migration background","Urban Area","146","0.153402952077415","0.130377481603129","0.176428422551701"
"Rarely","2017","indirect migration background","Rural Area","34","0.197717780765968","0.144968993324916","0.250466568207019"
"No, never","2018","no migration background","Urban Area","","","",""
"No, never","2018","no migration background","Rural Area","","","",""
"No, never","2018","direct migration background","Urban Area","","","",""
"No, never","2018","direct migration background","Rural Area","","","",""
"No, never","2018","indirect migration background","Urban Area","","","",""
"No, never","2018","indirect migration background","Rural Area","","","",""
"Yes, every week","2018","no migration background","Urban Area","","","",""
"Yes, every week","2018","no migration background","Rural Area","","","",""
"Yes, every week","2018","direct migration background","Urban Area","","","",""
"Yes, every week","2018","direct migration background","Rural Area","","","",""
"Yes, every week","2018","indirect migration background","Urban Area","","","",""
"Yes, every week","2018","indirect migration background","Rural Area","","","",""
"Yes, every 2 weeks","2018","no migration background","Urban Area","","","",""
"Yes, every 2 weeks","2018","no migration background","Rural Area","","","",""
"Yes, every 2 weeks","2018","direct migration background","Urban Area","","","",""
"Yes, every 2 weeks","2018","direct migration background","Rural Area","","","",""
"Yes, every 2 weeks","2018","indirect migration background","Urban Area","","","",""
"Yes, every 2 weeks","2018","indirect migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2018","no migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2018","no migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2018","direct migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2018","direct migration background","Rural Area","","","",""
"Yes, every 3-4 weeks","2018","indirect migration background","Urban Area","","","",""
"Yes, every 3-4 weeks","2018","indirect migration background","Rural Area","","","",""
"Rarely","2018","no migration background","Urban Area","","","",""
"Rarely","2018","no migration background","Rural Area","","","",""
"Rarely","2018","direct migration background","Urban Area","","","",""
"Rarely","2018","direct migration background","Rural Area","","","",""
"Rarely","2018","indirect migration background","Urban Area","","","",""
"Rarely","2018","indirect migration background","Rural Area","","","",""
"No, never","2019","no migration background","Urban Area","3109","0.43859793232272","0.427363980260224","0.449831884385216"
"No, never","2019","no migration background","Rural Area","1928","0.396979091912187","0.383179396825741","0.410778786998632"
"No, never","2019","direct migration background","Urban Area","804","0.436903336712528","0.413893521100428","0.459913152324628"
"No, never","2019","direct migration background","Rural Area","278","0.410054857908447","0.371949600533381","0.448160115283512"
"No, never","2019","indirect migration background","Urban Area","405","0.474457641471682","0.442049564806214","0.506865718137149"
"No, never","2019","indirect migration background","Rural Area","96","0.455115734876748","0.392374441556458","0.517857028197038"
"Yes, every week","2019","no migration background","Urban Area","1069","0.112779346593936","0.105618029881334","0.119940663306539"
"Yes, every week","2019","no migration background","Rural Area","697","0.134523016767772","0.124899239821116","0.144146793714429"
"Yes, every week","2019","direct migration background","Urban Area","255","0.152560428902243","0.135880111858869","0.169240745945616"
"Yes, every week","2019","direct migration background","Rural Area","94","0.151198182968778","0.123443610596284","0.178952755341271"
"Yes, every week","2019","indirect migration background","Urban Area","138","0.133103819052074","0.111057835707087","0.155149802397062"
"Yes, every week","2019","indirect migration background","Rural Area","44","0.167053769871238","0.120056023646038","0.214051516096439"
"Yes, every 2 weeks","2019","no migration background","Urban Area","971","0.126775178896083","0.119242621936496","0.134307735855671"
"Yes, every 2 weeks","2019","no migration background","Rural Area","752","0.15426791218722","0.144080269757414","0.164455554617025"
"Yes, every 2 weeks","2019","direct migration background","Urban Area","307","0.186771033644238","0.168691377698903","0.204850689589573"
"Yes, every 2 weeks","2019","direct migration background","Rural Area","119","0.18559008601879","0.155469943918057","0.215710228119524"
"Yes, every 2 weeks","2019","indirect migration background","Urban Area","132","0.143937249392397","0.121155342554859","0.166719156229936"
"Yes, every 2 weeks","2019","indirect migration background","Rural Area","46","0.164150334252199","0.117481668970433","0.210818999533964"
"Yes, every 3-4 weeks","2019","no migration background","Urban Area","678","0.0854537431480727","0.0791248078446404","0.0917826784515051"
"Yes, every 3-4 weeks","2019","no migration background","Rural Area","495","0.104150418192197","0.0955351749258608","0.112765661458534"
"Yes, every 3-4 weeks","2019","direct migration background","Urban Area","119","0.0672051174102877","0.0555900099995294","0.078820224821046"
"Yes, every 3-4 weeks","2019","direct migration background","Rural Area","38","0.0558384346501416","0.0380495843584849","0.0736272849417983"
"Yes, every 3-4 weeks","2019","indirect migration background","Urban Area","71","0.0829283380638907","0.0650303674921199","0.100826308635662"
"Yes, every 3-4 weeks","2019","indirect migration background","Rural Area","10","","",""
"Rarely","2019","no migration background","Urban Area","1668","0.236393799039188","0.226775128803152","0.246012469275223"
"Rarely","2019","no migration background","Rural Area","957","0.210079560940624","0.198590009748433","0.221569112132816"
"Rarely","2019","direct migration background","Urban Area","300","0.156560083330703","0.139702450981705","0.173417715679701"
"Rarely","2019","direct migration background","Rural Area","111","0.197318438453844","0.16648559468036","0.228151282227328"
"Rarely","2019","indirect migration background","Urban Area","166","0.165572952019956","0.141449494453231","0.189696409586681"
"Rarely","2019","indirect migration background","Rural Area","46","0.163141378861669","0.116588288148044","0.209694469575293"
