"plb0218","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2017","66 and older","Male","110","0.450332741893744","0.388033645879251","0.512631837908237"
"No, never","2017","66 and older","Female","86","0.566545966397258","0.488782628811345","0.644309303983171"
"Yes, every week","2017","16-34 y.","Male","275","0.130089103883408","0.115523283232381","0.144654924534434"
"Yes, every week","2017","16-34 y.","Female","316","0.152457043287425","0.136789095290582","0.168124991284268"
"Yes, every week","2017","35-65 y.","Male","805","0.135001970729552","0.12627268546073","0.143731255998374"
"Yes, every week","2017","35-65 y.","Female","798","0.121613526281393","0.113640306636435","0.12958674592635"
"Yes, every week","2017","66 and older","Male","47","0.19100556150395","0.141783383885575","0.240227739122326"
"Yes, every week","2017","66 and older","Female","22","","",""
"Yes, every 2 weeks","2017","16-34 y.","Male","327","0.142515495712726","0.127379141022632","0.15765185040282"
"Yes, every 2 weeks","2017","16-34 y.","Female","352","0.160189567868563","0.144202630892723","0.176176504844403"
"Yes, every 2 weeks","2017","35-65 y.","Male","790","0.134977391214217","0.126248776630408","0.143706005798026"
"Yes, every 2 weeks","2017","35-65 y.","Female","1015","0.167995978097352","0.15887561512201","0.177116341072694"
"Yes, every 2 weeks","2017","66 and older","Male","16","","",""
"Yes, every 2 weeks","2017","66 and older","Female","13","","",""
"Yes, every 3-4 weeks","2017","16-34 y.","Male","209","0.0997285491432465","0.0867545578732531","0.11270254041324"
"Yes, every 3-4 weeks","2017","16-34 y.","Female","161","0.0747126439935639","0.0632524259112062","0.0861728620759215"
"Yes, every 3-4 weeks","2017","35-65 y.","Male","656","0.105969750209332","0.0981071148487293","0.113832385569936"
"Yes, every 3-4 weeks","2017","35-65 y.","Female","568","0.0784480595370363","0.0718888579356432","0.0850072611384294"
"Yes, every 3-4 weeks","2017","66 and older","Male","18","","",""
"Yes, every 3-4 weeks","2017","66 and older","Female","3","","",""
"Rarely","2017","16-34 y.","Male","404","0.206375282153488","0.188852077033485","0.223898487273492"
"Rarely","2017","16-34 y.","Female","254","0.126091034377389","0.111622227612285","0.140559841142492"
"Rarely","2017","35-65 y.","Male","1557","0.27773268109812","0.266291692609705","0.289173669586535"
"Rarely","2017","35-65 y.","Female","963","0.164866720179995","0.155814723997569","0.173918716362422"
"Rarely","2017","66 and older","Male","54","0.228963277996656","0.176351194922006","0.281575361071306"
"Rarely","2017","66 and older","Female","32","0.197898280973192","0.135377912883099","0.260418649063284"
"No, never","2018","16-34 y.","Male","","","",""
"No, never","2018","16-34 y.","Female","","","",""
"No, never","2018","35-65 y.","Male","","","",""
"No, never","2018","35-65 y.","Female","","","",""
"No, never","2018","66 and older","Male","","","",""
"No, never","2018","66 and older","Female","","","",""
"Yes, every week","2018","16-34 y.","Male","","","",""
"Yes, every week","2018","16-34 y.","Female","","","",""
"Yes, every week","2018","35-65 y.","Male","","","",""
"Yes, every week","2018","35-65 y.","Female","","","",""
"Yes, every week","2018","66 and older","Male","","","",""
"Yes, every week","2018","66 and older","Female","","","",""
"Yes, every 2 weeks","2018","16-34 y.","Male","","","",""
"Yes, every 2 weeks","2018","16-34 y.","Female","","","",""
"Yes, every 2 weeks","2018","35-65 y.","Male","","","",""
"Yes, every 2 weeks","2018","35-65 y.","Female","","","",""
"Yes, every 2 weeks","2018","66 and older","Male","","","",""
"Yes, every 2 weeks","2018","66 and older","Female","","","",""
"Yes, every 3-4 weeks","2018","16-34 y.","Male","","","",""
"Yes, every 3-4 weeks","2018","16-34 y.","Female","","","",""
"Yes, every 3-4 weeks","2018","35-65 y.","Male","","","",""
"Yes, every 3-4 weeks","2018","35-65 y.","Female","","","",""
"Yes, every 3-4 weeks","2018","66 and older","Male","","","",""
"Yes, every 3-4 weeks","2018","66 and older","Female","","","",""
"Rarely","2018","16-34 y.","Male","","","",""
"Rarely","2018","16-34 y.","Female","","","",""
"Rarely","2018","35-65 y.","Male","","","",""
"Rarely","2018","35-65 y.","Female","","","",""
"Rarely","2018","66 and older","Male","","","",""
"Rarely","2018","66 and older","Female","","","",""
"No, never","2019","16-34 y.","Male","793","0.432786440145751","0.410407832817102","0.455165047474399"
"No, never","2019","16-34 y.","Female","850","0.464891703345573","0.441958360297272","0.487825046393874"
"No, never","2019","35-65 y.","Male","2013","0.353105134136052","0.341198976320752","0.365011291951352"
"No, never","2019","35-65 y.","Female","3053","0.483014124180386","0.470736841374625","0.495291406986148"
"No, never","2019","66 and older","Male","150","0.409174700887469","0.362152021233398","0.456197380541541"
"No, never","2019","66 and older","Female","122","0.572080422533089","0.508413520286702","0.635747324779477"
"Yes, every week","2019","16-34 y.","Male","268","0.117288055436357","0.10275491983699","0.131821191035724"
"Yes, every week","2019","16-34 y.","Female","260","0.15081747413726","0.13436250836333","0.167272439911189"
"Yes, every week","2019","35-65 y.","Male","1017","0.132879398405727","0.124423274354876","0.141335522456579"
"Yes, every week","2019","35-65 y.","Female","771","0.115554744135","0.107700355722667","0.123409132547333"
"Yes, every week","2019","66 and older","Male","87","0.181312438726705","0.144465930208058","0.218158947245352"
"Yes, every week","2019","66 and older","Female","30","0.0676043604098217","0.035297736967344","0.0999109838522994"
"Yes, every 2 weeks","2019","16-34 y.","Male","272","0.154703147169397","0.138369727105912","0.171036567232881"
"Yes, every 2 weeks","2019","16-34 y.","Female","320","0.168632747519863","0.151416518066106","0.18584897697362"
"Yes, every 2 weeks","2019","35-65 y.","Male","874","0.127485061622077","0.119176633802078","0.135793489442076"
"Yes, every 2 weeks","2019","35-65 y.","Female","968","0.159153648992787","0.150165927057608","0.168141370927966"
"Yes, every 2 weeks","2019","66 and older","Male","40","0.0863913159564343","0.0595231142475997","0.113259517665269"
"Yes, every 2 weeks","2019","66 and older","Female","16","","",""
"Yes, every 3-4 weeks","2019","16-34 y.","Male","202","0.106671887355657","0.0927289774463383","0.120614797264976"
"Yes, every 3-4 weeks","2019","16-34 y.","Female","141","0.0681986027715968","0.0566076257578977","0.079789579785296"
"Yes, every 3-4 weeks","2019","35-65 y.","Male","614","0.0962850861840534","0.0889365979533019","0.103633574414805"
"Yes, every 3-4 weeks","2019","35-65 y.","Female","512","0.0786215436469316","0.0720089350795964","0.0852341522142667"
"Yes, every 3-4 weeks","2019","66 and older","Male","33","0.0701540576836757","0.0457278894644014","0.0945802259029501"
"Yes, every 3-4 weeks","2019","66 and older","Female","17","","",""
"Rarely","2019","16-34 y.","Male","348","0.188550469892839","0.170883279182871","0.206217660602806"
"Rarely","2019","16-34 y.","Female","246","0.147459472225708","0.131156586600965","0.16376235785045"
"Rarely","2019","35-65 y.","Male","1672","0.29024531965209","0.278938524821375","0.301552114482805"
"Rarely","2019","35-65 y.","Female","1060","0.163655939044895","0.154566410049885","0.172745468039905"
"Rarely","2019","66 and older","Male","110","0.252967486745716","0.211393128801838","0.294541844689594"
"Rarely","2019","66 and older","Female","47","0.233423400635801","0.178991428029714","0.287855373241888"
