"m11125","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"10 Completely satisfied","1995","Couple + C. LE 16 ","higher education","38","0.0654045555109036","0.0443359358001625","0.0864731752216446","10"
"10 Completely satisfied","1995","Couple + C. GT 16 ","in school","22","","","","10"
"10 Completely satisfied","1995","Couple + C. GT 16 ","inadequately","13","","","","10"
"10 Completely satisfied","1995","Couple + C. GT 16 ","general elemantary","58","0.0882213815554205","0.0637974912784812","0.11264527183236","10"
"10 Completely satisfied","1995","Couple + C. GT 16 ","middle vocational","96","0.0714433415243492","0.0571592719906374","0.0857274110580609","10"
"10 Completely satisfied","1995","Couple + C. GT 16 ","vocational + Abi","8","","","","10"
"10 Completely satisfied","1995","Couple + C. GT 16 ","higher vocational","4","","","","10"
"10 Completely satisfied","1995","Couple + C. GT 16 ","higher education","19","","","","10"
"10 Completely satisfied","1995","Couple + C. LE and GT 16","in school","28","","","","10"
"10 Completely satisfied","1995","Couple + C. LE and GT 16","inadequately","8","","","","10"
"10 Completely satisfied","1995","Couple + C. LE and GT 16","general elemantary","58","0.191517042589859","0.145590612877108","0.237443472302609","10"
"10 Completely satisfied","1995","Couple + C. LE and GT 16","middle vocational","51","0.0961957041608517","0.0699809978830468","0.122410410438657","10"
"10 Completely satisfied","1995","Couple + C. LE and GT 16","vocational + Abi","1","","","","10"
"10 Completely satisfied","1995","Couple + C. LE and GT 16","higher vocational","3","","","","10"
"10 Completely satisfied","1995","Couple + C. LE and GT 16","higher education","3","","","","10"
"2 on Scale 1 to 10","1995","1-pers.-HH","in school","","","","","2"
"2 on Scale 1 to 10","1995","1-pers.-HH","inadequately","2","","","","2"
"2 on Scale 1 to 10","1995","1-pers.-HH","general elemantary","27","","","","2"
"2 on Scale 1 to 10","1995","1-pers.-HH","middle vocational","26","","","","2"
"2 on Scale 1 to 10","1995","1-pers.-HH","vocational + Abi","","","","","2"
"2 on Scale 1 to 10","1995","1-pers.-HH","higher vocational","2","","","","2"
"2 on Scale 1 to 10","1995","1-pers.-HH","higher education","4","","","","2"
"2 on Scale 1 to 10","1995","(Married) couple without C. ","in school","","","","","2"
"2 on Scale 1 to 10","1995","(Married) couple without C. ","inadequately","6","","","","2"
"2 on Scale 1 to 10","1995","(Married) couple without C. ","general elemantary","30","0.0529749773847107","0.0351565298520106","0.0707934249174107","2"
"2 on Scale 1 to 10","1995","(Married) couple without C. ","middle vocational","54","0.0290566883506537","0.0214862274374877","0.0366271492638198","2"
"2 on Scale 1 to 10","1995","(Married) couple without C. ","vocational + Abi","4","","","","2"
"2 on Scale 1 to 10","1995","(Married) couple without C. ","higher vocational","7","","","","2"
"2 on Scale 1 to 10","1995","(Married) couple without C. ","higher education","17","","","","2"
"2 on Scale 1 to 10","1995","Single parent ","in school","1","","","","2"
"2 on Scale 1 to 10","1995","Single parent ","inadequately","1","","","","2"
"2 on Scale 1 to 10","1995","Single parent ","general elemantary","6","","","","2"
"2 on Scale 1 to 10","1995","Single parent ","middle vocational","6","","","","2"
"2 on Scale 1 to 10","1995","Single parent ","vocational + Abi","","","","","2"
"2 on Scale 1 to 10","1995","Single parent ","higher vocational","","","","","2"
"2 on Scale 1 to 10","1995","Single parent ","higher education","","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE 16 ","in school","","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE 16 ","inadequately","2","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE 16 ","general elemantary","7","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE 16 ","middle vocational","22","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE 16 ","vocational + Abi","1","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher vocational","5","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher education","5","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. GT 16 ","in school","","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. GT 16 ","inadequately","15","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. GT 16 ","general elemantary","18","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. GT 16 ","middle vocational","28","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. GT 16 ","vocational + Abi","5","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher vocational","1","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher education","6","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE and GT 16","in school","1","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE and GT 16","inadequately","2","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE and GT 16","general elemantary","7","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE and GT 16","middle vocational","10","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE and GT 16","vocational + Abi","1","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher vocational","","","","","2"
"2 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher education","1","","","","2"
"3 on Scale 1 to 10","1995","1-pers.-HH","in school","","","","","3"
"3 on Scale 1 to 10","1995","1-pers.-HH","inadequately","3","","","","3"
"3 on Scale 1 to 10","1995","1-pers.-HH","general elemantary","35","0.0912370980306767","0.0620154502589587","0.120458745802395","3"
"3 on Scale 1 to 10","1995","1-pers.-HH","middle vocational","39","0.055206843516295","0.0387295932553122","0.0716840937772777","3"
"3 on Scale 1 to 10","1995","1-pers.-HH","vocational + Abi","2","","","","3"
"3 on Scale 1 to 10","1995","1-pers.-HH","higher vocational","2","","","","3"
"3 on Scale 1 to 10","1995","1-pers.-HH","higher education","13","","","","3"
"3 on Scale 1 to 10","1995","(Married) couple without C. ","in school","","","","","3"
"3 on Scale 1 to 10","1995","(Married) couple without C. ","inadequately","3","","","","3"
"3 on Scale 1 to 10","1995","(Married) couple without C. ","general elemantary","58","0.0979549369273204","0.0743076660003867","0.121602207854254","3"
"3 on Scale 1 to 10","1995","(Married) couple without C. ","middle vocational","116","0.0668512988686713","0.0555940393189868","0.0781085584183558","3"
"3 on Scale 1 to 10","1995","(Married) couple without C. ","vocational + Abi","6","","","","3"
"3 on Scale 1 to 10","1995","(Married) couple without C. ","higher vocational","20","","","","3"
"3 on Scale 1 to 10","1995","(Married) couple without C. ","higher education","22","","","","3"
"3 on Scale 1 to 10","1995","Single parent ","in school","1","","","","3"
"3 on Scale 1 to 10","1995","Single parent ","inadequately","2","","","","3"
"3 on Scale 1 to 10","1995","Single parent ","general elemantary","7","","","","3"
"3 on Scale 1 to 10","1995","Single parent ","middle vocational","17","","","","3"
"3 on Scale 1 to 10","1995","Single parent ","vocational + Abi","","","","","3"
"3 on Scale 1 to 10","1995","Single parent ","higher vocational","","","","","3"
"3 on Scale 1 to 10","1995","Single parent ","higher education","2","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE 16 ","in school","","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE 16 ","inadequately","3","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE 16 ","general elemantary","10","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE 16 ","middle vocational","61","0.0418695740390719","0.0323147332029573","0.0514244148751865","3"
"3 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher education","19","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. GT 16 ","vocational + Abi","2","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher vocational","10","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher education","14","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE and GT 16","in school","1","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE and GT 16","inadequately","3","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE and GT 16","general elemantary","14","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE and GT 16","middle vocational","22","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE and GT 16","vocational + Abi","3","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher vocational","2","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher education","10","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE 16 ","vocational + Abi","10","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher vocational","7","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. GT 16 ","in school","1","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. GT 16 ","general elemantary","23","","","","3"
"3 on Scale 1 to 10","1995","Couple + C. GT 16 ","middle vocational","65","0.0516923555172016","0.0394135913297723","0.0639711197046308","3"
"3 on Scale 1 to 10","1995","Couple + C. GT 16 ","inadequately","17","","","","3"
"4 on Scale 1 to 10","1995","1-pers.-HH","in school","","","","","4"
"4 on Scale 1 to 10","1995","1-pers.-HH","inadequately","2","","","","4"
"4 on Scale 1 to 10","1995","1-pers.-HH","general elemantary","17","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE 16 ","general elemantary","19","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE 16 ","middle vocational","82","0.062684854340287","0.0511214423920795","0.0742482662884944","4"
"4 on Scale 1 to 10","1995","Couple + C. LE 16 ","vocational + Abi","9","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher vocational","18","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher education","21","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. GT 16 ","in school","","","","","4"
"4 on Scale 1 to 10","1995","1-pers.-HH","middle vocational","35","0.0536693534029379","0.0374099523289297","0.069928754476946","4"
"4 on Scale 1 to 10","1995","1-pers.-HH","vocational + Abi","2","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE and GT 16","vocational + Abi","1","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher vocational","5","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher education","5","","","","4"
"4 on Scale 1 to 10","1995","1-pers.-HH","higher vocational","4","","","","4"
"4 on Scale 1 to 10","1995","Single parent ","higher education","3","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE 16 ","in school","","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE 16 ","inadequately","8","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. GT 16 ","inadequately","15","","","","4"
"4 on Scale 1 to 10","1995","(Married) couple without C. ","in school","","","","","4"
"4 on Scale 1 to 10","1995","(Married) couple without C. ","inadequately","7","","","","4"
"4 on Scale 1 to 10","1995","(Married) couple without C. ","higher vocational","18","","","","4"
"4 on Scale 1 to 10","1995","(Married) couple without C. ","higher education","33","0.080440937882533","0.0562608244721434","0.104621051292923","4"
"4 on Scale 1 to 10","1995","Single parent ","in school","2","","","","4"
"4 on Scale 1 to 10","1995","Single parent ","inadequately","1","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. GT 16 ","general elemantary","36","0.0687473144877409","0.0469579356817842","0.0905366932936975","4"
"4 on Scale 1 to 10","1995","Couple + C. LE and GT 16","middle vocational","18","","","","4"
"4 on Scale 1 to 10","1995","1-pers.-HH","higher education","9","","","","4"
"4 on Scale 1 to 10","1995","(Married) couple without C. ","general elemantary","45","0.0839999806177931","0.0619330931729653","0.106066868062621","4"
"4 on Scale 1 to 10","1995","(Married) couple without C. ","middle vocational","124","0.0625697136955434","0.0516539556493589","0.0734854717417279","4"
"4 on Scale 1 to 10","1995","(Married) couple without C. ","vocational + Abi","7","","","","4"
"4 on Scale 1 to 10","1995","Single parent ","general elemantary","6","","","","4"
"4 on Scale 1 to 10","1995","Single parent ","middle vocational","15","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. GT 16 ","middle vocational","77","0.0582441102392045","0.045255518925979","0.07123270155243","4"
"4 on Scale 1 to 10","1995","Couple + C. GT 16 ","vocational + Abi","1","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher vocational","7","","","","4"
"4 on Scale 1 to 10","1995","Single parent ","vocational + Abi","","","","","4"
"4 on Scale 1 to 10","1995","Single parent ","higher vocational","2","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher education","18","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE and GT 16","in school","2","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE and GT 16","inadequately","2","","","","4"
"4 on Scale 1 to 10","1995","Couple + C. LE and GT 16","general elemantary","5","","","","4"
"5 on Scale 1 to 10","1995","1-pers.-HH","in school","","","","","5"
"5 on Scale 1 to 10","1995","1-pers.-HH","inadequately","7","","","","5"
"5 on Scale 1 to 10","1995","1-pers.-HH","general elemantary","87","0.23502769997944","0.191997233406251","0.278058166552629","5"
"5 on Scale 1 to 10","1995","1-pers.-HH","middle vocational","146","0.205695734024005","0.176533150205555","0.234858317842455","5"
"5 on Scale 1 to 10","1995","1-pers.-HH","vocational + Abi","4","","","","5"
"5 on Scale 1 to 10","1995","1-pers.-HH","higher vocational","9","","","","5"
"5 on Scale 1 to 10","1995","1-pers.-HH","higher education","20","","","","5"
"5 on Scale 1 to 10","1995","(Married) couple without C. ","in school","","","","","5"
"5 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher education","35","0.125251168892578","0.0849394990745888","0.165562838710567","5"
"5 on Scale 1 to 10","1995","Couple + C. LE and GT 16","in school","7","","","","5"
"5 on Scale 1 to 10","1995","Couple + C. LE and GT 16","inadequately","17","","","","5"
"5 on Scale 1 to 10","1995","Couple + C. LE and GT 16","general elemantary","31","0.108932394369124","0.0725695883323723","0.145295200405875","5"
"5 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher vocational","30","0.157688945312553","0.110993229545708","0.204384661079397","5"
"5 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher education","39","0.0733327017637367","0.0511184844294449","0.0955469190980286","5"
"5 on Scale 1 to 10","1995","Couple + C. GT 16 ","in school","7","","","","5"
"5 on Scale 1 to 10","1995","Couple + C. GT 16 ","inadequately","26","","","","5"
"5 on Scale 1 to 10","1995","(Married) couple without C. ","inadequately","18","","","","5"
"5 on Scale 1 to 10","1995","(Married) couple without C. ","general elemantary","120","0.197308728796668","0.165649439242485","0.228968018350852","5"
"5 on Scale 1 to 10","1995","Couple + C. LE 16 ","general elemantary","64","0.160650264237572","0.124017757360323","0.197282771114821","5"
"5 on Scale 1 to 10","1995","Couple + C. LE 16 ","middle vocational","200","0.11418037412059","0.0990088137431305","0.129351934498049","5"
"5 on Scale 1 to 10","1995","Couple + C. LE 16 ","vocational + Abi","19","","","","5"
"5 on Scale 1 to 10","1995","Couple + C. GT 16 ","general elemantary","65","0.138219544512996","0.108498349994433","0.167940739031558","5"
"5 on Scale 1 to 10","1995","Couple + C. GT 16 ","middle vocational","162","0.127894436500868","0.109372890835187","0.14641598216655","5"
"5 on Scale 1 to 10","1995","Couple + C. GT 16 ","vocational + Abi","7","","","","5"
"5 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher vocational","16","","","","5"
"5 on Scale 1 to 10","1995","(Married) couple without C. ","middle vocational","344","0.189931439376912","0.172252278617002","0.207610600136822","5"
"5 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher vocational","3","","","","5"
"5 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher education","16","","","","5"
"5 on Scale 1 to 10","1995","(Married) couple without C. ","vocational + Abi","12","","","","5"
"5 on Scale 1 to 10","1995","(Married) couple without C. ","higher vocational","35","0.130858414712945","0.0888855759593467","0.172831253466544","5"
"5 on Scale 1 to 10","1995","Single parent ","higher vocational","4","","","","5"
"5 on Scale 1 to 10","1995","Single parent ","higher education","6","","","","5"
"5 on Scale 1 to 10","1995","Couple + C. LE and GT 16","middle vocational","75","0.135249210225689","0.104844364164431","0.165654056286948","5"
"5 on Scale 1 to 10","1995","Couple + C. LE and GT 16","vocational + Abi","1","","","","5"
"5 on Scale 1 to 10","1995","(Married) couple without C. ","higher education","74","0.157123002831004","0.124768707718882","0.189477297943127","5"
"5 on Scale 1 to 10","1995","Couple + C. LE 16 ","inadequately","16","","","","5"
"5 on Scale 1 to 10","1995","Single parent ","general elemantary","23","","","","5"
"5 on Scale 1 to 10","1995","Single parent ","middle vocational","45","0.166667159644085","0.124211411226303","0.209122908061866","5"
"5 on Scale 1 to 10","1995","Single parent ","vocational + Abi","1","","","","5"
"5 on Scale 1 to 10","1995","Couple + C. LE 16 ","in school","","","","","5"
"5 on Scale 1 to 10","1995","Single parent ","in school","1","","","","5"
"5 on Scale 1 to 10","1995","Single parent ","inadequately","2","","","","5"
"6 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher education","27","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE and GT 16","in school","2","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE and GT 16","inadequately","12","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE and GT 16","general elemantary","18","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE and GT 16","middle vocational","49","0.105447621946075","0.0781420524579275","0.132753191434222","6"
"6 on Scale 1 to 10","1995","Couple + C. LE and GT 16","vocational + Abi","4","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher vocational","4","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher education","15","","","","6"
"6 on Scale 1 to 10","1995","Single parent ","in school","2","","","","6"
"6 on Scale 1 to 10","1995","(Married) couple without C. ","higher education","46","0.0916121235928841","0.0659647973487058","0.117259449837062","6"
"6 on Scale 1 to 10","1995","1-pers.-HH","higher education","18","","","","6"
"6 on Scale 1 to 10","1995","1-pers.-HH","vocational + Abi","1","","","","6"
"6 on Scale 1 to 10","1995","1-pers.-HH","higher vocational","8","","","","6"
"6 on Scale 1 to 10","1995","(Married) couple without C. ","in school","","","","","6"
"6 on Scale 1 to 10","1995","(Married) couple without C. ","inadequately","5","","","","6"
"6 on Scale 1 to 10","1995","(Married) couple without C. ","general elemantary","73","0.130488523872061","0.103692055275745","0.157284992468378","6"
"6 on Scale 1 to 10","1995","(Married) couple without C. ","middle vocational","213","0.110953617631578","0.0967977898760769","0.125109445387079","6"
"6 on Scale 1 to 10","1995","(Married) couple without C. ","vocational + Abi","12","","","","6"
"6 on Scale 1 to 10","1995","(Married) couple without C. ","higher vocational","24","","","","6"
"6 on Scale 1 to 10","1995","Single parent ","inadequately","2","","","","6"
"6 on Scale 1 to 10","1995","Single parent ","general elemantary","14","","","","6"
"6 on Scale 1 to 10","1995","Single parent ","middle vocational","33","0.0923119692776151","0.0593358498184635","0.125288088736767","6"
"6 on Scale 1 to 10","1995","Single parent ","vocational + Abi","","","","","6"
"6 on Scale 1 to 10","1995","Single parent ","higher vocational","1","","","","6"
"6 on Scale 1 to 10","1995","Single parent ","higher education","6","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE 16 ","in school","","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE 16 ","inadequately","9","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE 16 ","general elemantary","39","0.121746008795602","0.0891254143409391","0.154366603250265","6"
"6 on Scale 1 to 10","1995","Couple + C. LE 16 ","middle vocational","163","0.0956869815677378","0.081654073215555","0.109719889919921","6"
"6 on Scale 1 to 10","1995","Couple + C. LE 16 ","vocational + Abi","13","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher vocational","23","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher education","53","0.0978248070521424","0.0725090921830237","0.123140521921261","6"
"6 on Scale 1 to 10","1995","Couple + C. GT 16 ","in school","7","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. GT 16 ","inadequately","10","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. GT 16 ","general elemantary","55","0.106528708047517","0.0799608316225745","0.13309658447246","6"
"6 on Scale 1 to 10","1995","Couple + C. GT 16 ","middle vocational","138","0.110794068544068","0.0933869734170193","0.128201163671117","6"
"6 on Scale 1 to 10","1995","Couple + C. GT 16 ","vocational + Abi","4","","","","6"
"6 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher vocational","8","","","","6"
"6 on Scale 1 to 10","1995","1-pers.-HH","general elemantary","41","0.095203182160452","0.0654183649059719","0.124987999414932","6"
"6 on Scale 1 to 10","1995","1-pers.-HH","middle vocational","85","0.117744116997523","0.0944906989083093","0.140997535086736","6"
"6 on Scale 1 to 10","1995","1-pers.-HH","in school","","","","","6"
"6 on Scale 1 to 10","1995","1-pers.-HH","inadequately","7","","","","6"
"7 on Scale 1 to 10","1995","1-pers.-HH","in school","1","","","","7"
"7 on Scale 1 to 10","1995","Single parent ","general elemantary","22","","","","7"
"7 on Scale 1 to 10","1995","Single parent ","middle vocational","41","0.104978009907228","0.0700584906460013","0.139897529168455","7"
"7 on Scale 1 to 10","1995","Single parent ","vocational + Abi","2","","","","7"
"7 on Scale 1 to 10","1995","Single parent ","higher vocational","4","","","","7"
"7 on Scale 1 to 10","1995","Single parent ","higher education","17","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. LE 16 ","general elemantary","45","0.146397794741606","0.1111323414683","0.181663248014912","7"
"7 on Scale 1 to 10","1995","Couple + C. LE 16 ","middle vocational","327","0.192887257526535","0.174064608644286","0.211709906408784","7"
"7 on Scale 1 to 10","1995","Couple + C. LE 16 ","in school","2","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. LE 16 ","inadequately","10","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. GT 16 ","in school","15","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher vocational","14","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher education","22","","","","7"
"7 on Scale 1 to 10","1995","(Married) couple without C. ","vocational + Abi","20","","","","7"
"7 on Scale 1 to 10","1995","1-pers.-HH","higher vocational","11","","","","7"
"7 on Scale 1 to 10","1995","1-pers.-HH","higher education","25","","","","7"
"7 on Scale 1 to 10","1995","(Married) couple without C. ","middle vocational","296","0.158100529920109","0.141656846481565","0.174544213358652","7"
"7 on Scale 1 to 10","1995","(Married) couple without C. ","higher vocational","46","0.224723069520234","0.172774390290293","0.276671748750175","7"
"7 on Scale 1 to 10","1995","(Married) couple without C. ","higher education","96","0.185306052737717","0.150762102145893","0.219850003329541","7"
"7 on Scale 1 to 10","1995","Couple + C. GT 16 ","inadequately","17","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. LE and GT 16","in school","20","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. LE and GT 16","inadequately","13","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. LE and GT 16","general elemantary","56","0.175590899953123","0.13118446303004","0.219997336876207","7"
"7 on Scale 1 to 10","1995","Couple + C. LE and GT 16","middle vocational","72","0.155210628550254","0.123017372347499","0.18740388475301","7"
"7 on Scale 1 to 10","1995","Couple + C. LE and GT 16","vocational + Abi","6","","","","7"
"7 on Scale 1 to 10","1995","1-pers.-HH","inadequately","4","","","","7"
"7 on Scale 1 to 10","1995","1-pers.-HH","general elemantary","42","0.116734967329759","0.0841483202621469","0.14932161439737","7"
"7 on Scale 1 to 10","1995","1-pers.-HH","middle vocational","123","0.180617210062283","0.152862103834118","0.208372316290448","7"
"7 on Scale 1 to 10","1995","1-pers.-HH","vocational + Abi","13","","","","7"
"7 on Scale 1 to 10","1995","(Married) couple without C. ","in school","","","","","7"
"7 on Scale 1 to 10","1995","(Married) couple without C. ","inadequately","10","","","","7"
"7 on Scale 1 to 10","1995","(Married) couple without C. ","general elemantary","81","0.128036604891641","0.101455688640103","0.154617521143179","7"
"7 on Scale 1 to 10","1995","Single parent ","in school","6","","","","7"
"7 on Scale 1 to 10","1995","Single parent ","inadequately","6","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. LE 16 ","vocational + Abi","29","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher vocational","45","0.176807063032549","0.127925983902017","0.225688142163082","7"
"7 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher education","93","0.174889689601615","0.142518521914502","0.207260857288728","7"
"7 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher vocational","17","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher education","48","0.16837732711911","0.122804793381978","0.213949860856241","7"
"7 on Scale 1 to 10","1995","Couple + C. GT 16 ","middle vocational","222","0.188555488833118","0.166862675713407","0.210248301952829","7"
"7 on Scale 1 to 10","1995","Couple + C. GT 16 ","vocational + Abi","12","","","","7"
"7 on Scale 1 to 10","1995","Couple + C. GT 16 ","general elemantary","71","0.132493003280892","0.103297485857367","0.161688520704418","7"
"8 on Scale 1 to 10","1995","1-pers.-HH","in school","2","","","","8"
"8 on Scale 1 to 10","1995","1-pers.-HH","inadequately","2","","","","8"
"8 on Scale 1 to 10","1995","1-pers.-HH","general elemantary","60","0.142729561905596","0.107231097605258","0.178228026205935","8"
"8 on Scale 1 to 10","1995","1-pers.-HH","middle vocational","148","0.190846060736022","0.162494492492154","0.21919762897989","8"
"8 on Scale 1 to 10","1995","1-pers.-HH","vocational + Abi","23","","","","8"
"8 on Scale 1 to 10","1995","Couple + C. LE 16 ","in school","","","","","8"
"8 on Scale 1 to 10","1995","Couple + C. LE 16 ","inadequately","21","","","","8"
"8 on Scale 1 to 10","1995","Couple + C. LE 16 ","general elemantary","89","0.215871142702439","0.174827542141447","0.25691474326343","8"
"8 on Scale 1 to 10","1995","Couple + C. LE 16 ","middle vocational","438","0.254135733608021","0.233366300741449","0.274905166474594","8"
"8 on Scale 1 to 10","1995","Couple + C. LE 16 ","vocational + Abi","48","0.263030320816934","0.195440389321552","0.330620252312317","8"
"8 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher vocational","57","0.244935601357674","0.189834774459686","0.300036428255661","8"
"8 on Scale 1 to 10","1995","Couple + C. LE 16 ","higher education","166","0.30520078638726","0.265959544951173","0.344442027823347","8"
"8 on Scale 1 to 10","1995","Couple + C. GT 16 ","higher vocational","26","","","","8"
"8 on Scale 1 to 10","1995","Single parent ","general elemantary","25","","","","8"
"8 on Scale 1 to 10","1995","Couple + C. GT 16 ","vocational + Abi","18","","","","8"
"8 on Scale 1 to 10","1995","Couple + C. LE and GT 16","middle vocational","117","0.244645761251251","0.206427217107768","0.282864305394734","8"
"8 on Scale 1 to 10","1995","Couple + C. LE and GT 16","vocational + Abi","7","","","","8"
"8 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher education","47","0.317631679464805","0.240787696290133","0.394475662639478","8"
"8 on Scale 1 to 10","1995","1-pers.-HH","higher education","43","0.205752808098735","0.145687432592219","0.265818183605251","8"
"8 on Scale 1 to 10","1995","(Married) couple without C. ","in school","","","","","8"
"8 on Scale 1 to 10","1995","Single parent ","middle vocational","67","0.228538042990882","0.180703817676066","0.276372268305699","8"
"8 on Scale 1 to 10","1995","Couple + C. GT 16 ","general elemantary","114","0.221710056804568","0.185937777162194","0.257482336446942","8"
"8 on Scale 1 to 10","1995","Couple + C. GT 16 ","middle vocational","268","0.209231506407986","0.186673272711177","0.231789740104796","8"
"8 on Scale 1 to 10","1995","Couple + C. LE and GT 16","general elemantary","58","0.235577949972273","0.186049189540913","0.285106710403634","8"
"8 on Scale 1 to 10","1995","Couple + C. LE and GT 16","higher vocational","15","","","","8"
"8 on Scale 1 to 10","1995","1-pers.-HH","higher vocational","11","","","","8"
"8 on Scale 1 to 10","1995","Single parent ","vocational + Abi","7","","","","8"
"8 on Scale 1 to 10","1995","Single parent ","higher vocational","5","","","","8"
"8 on Scale 1 to 10","1995","Single parent ","higher education","14","","","","8"
