"m11125","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"7 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"7 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"7 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"7 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"7 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"7 on Scale 1 to 10","1984","Saxony","in school","","","",""
"7 on Scale 1 to 10","1984","Saxony","inadequately","","","",""
"7 on Scale 1 to 10","1984","Saxony","general elemantary","","","",""
"7 on Scale 1 to 10","1984","Saxony","middle vocational","","","",""
"7 on Scale 1 to 10","1984","Saxony","vocational + Abi","","","",""
"7 on Scale 1 to 10","1984","Saxony","higher vocational","","","",""
"7 on Scale 1 to 10","1984","Saxony","higher education","","","",""
"7 on Scale 1 to 10","1984","Saxony-Anhalt","in school","","","",""
"7 on Scale 1 to 10","1984","Saxony-Anhalt","inadequately","","","",""
"7 on Scale 1 to 10","1984","Saxony-Anhalt","general elemantary","","","",""
"7 on Scale 1 to 10","1984","Saxony-Anhalt","middle vocational","","","",""
"7 on Scale 1 to 10","1984","Saxony-Anhalt","vocational + Abi","","","",""
"7 on Scale 1 to 10","1984","Saxony-Anhalt","higher vocational","","","",""
"7 on Scale 1 to 10","1984","Saxony-Anhalt","higher education","","","",""
"7 on Scale 1 to 10","1984","Thuringia","in school","","","",""
"7 on Scale 1 to 10","1984","Thuringia","inadequately","","","",""
"7 on Scale 1 to 10","1984","Thuringia","general elemantary","","","",""
"7 on Scale 1 to 10","1984","Thuringia","middle vocational","","","",""
"7 on Scale 1 to 10","1984","Thuringia","vocational + Abi","","","",""
"7 on Scale 1 to 10","1984","Thuringia","higher vocational","","","",""
"7 on Scale 1 to 10","1984","Thuringia","higher education","","","",""
"8 on Scale 1 to 10","1984","Schleswig-Holstein","in school","2","","",""
"8 on Scale 1 to 10","1984","Schleswig-Holstein","inadequately","","","",""
"8 on Scale 1 to 10","1984","Schleswig-Holstein","general elemantary","10","","",""
"8 on Scale 1 to 10","1984","Schleswig-Holstein","middle vocational","52","0.232239370101016","0.176441503775942","0.28803723642609"
"8 on Scale 1 to 10","1984","Schleswig-Holstein","vocational + Abi","1","","",""
"8 on Scale 1 to 10","1984","Schleswig-Holstein","higher vocational","4","","",""
"8 on Scale 1 to 10","1984","Schleswig-Holstein","higher education","5","","",""
"8 on Scale 1 to 10","1984","Hamburg","in school","1","","",""
"8 on Scale 1 to 10","1984","Hamburg","inadequately","1","","",""
"8 on Scale 1 to 10","1984","Hamburg","general elemantary","6","","",""
"8 on Scale 1 to 10","1984","Hamburg","middle vocational","38","0.253555012743491","0.185504207555835","0.321605817931146"
"8 on Scale 1 to 10","1984","Hamburg","vocational + Abi","6","","",""
"8 on Scale 1 to 10","1984","Hamburg","higher vocational","8","","",""
"8 on Scale 1 to 10","1984","Hamburg","higher education","7","","",""
"8 on Scale 1 to 10","1984","Lower Saxony","in school","7","","",""
"8 on Scale 1 to 10","1984","Lower Saxony","inadequately","10","","",""
"8 on Scale 1 to 10","1984","Lower Saxony","general elemantary","57","0.145043990029563","0.109016267210076","0.181071712849049"
"8 on Scale 1 to 10","1984","Lower Saxony","middle vocational","116","0.191517059588408","0.159765778842731","0.223268340334085"
"8 on Scale 1 to 10","1984","Lower Saxony","vocational + Abi","1","","",""
"8 on Scale 1 to 10","1984","Lower Saxony","higher vocational","20","","",""
"8 on Scale 1 to 10","1984","Lower Saxony","higher education","13","","",""
"8 on Scale 1 to 10","1984","Bremen","in school","","","",""
"8 on Scale 1 to 10","1984","Bremen","inadequately","1","","",""
"8 on Scale 1 to 10","1984","Bremen","general elemantary","8","","",""
"8 on Scale 1 to 10","1984","Bremen","middle vocational","9","","",""
"8 on Scale 1 to 10","1984","Bremen","vocational + Abi","","","",""
"8 on Scale 1 to 10","1984","Bremen","higher vocational","1","","",""
"8 on Scale 1 to 10","1984","Bremen","higher education","1","","",""
"8 on Scale 1 to 10","1984","North Rhine-Westphalia","in school","15","","",""
"8 on Scale 1 to 10","1984","North Rhine-Westphalia","inadequately","56","0.175916218009222","0.133325248441226","0.218507187577218"
"8 on Scale 1 to 10","1984","North Rhine-Westphalia","general elemantary","151","0.158395618934328","0.134106385716802","0.182684852151854"
"8 on Scale 1 to 10","1984","North Rhine-Westphalia","middle vocational","315","0.198083894039457","0.178132829930738","0.218034958148176"
"8 on Scale 1 to 10","1984","North Rhine-Westphalia","vocational + Abi","19","","",""
"8 on Scale 1 to 10","1984","North Rhine-Westphalia","higher vocational","35","0.217988509321805","0.153609703650641","0.282367314992969"
"8 on Scale 1 to 10","1984","North Rhine-Westphalia","higher education","63","0.278010583824823","0.219600214546067","0.336420953103579"
"8 on Scale 1 to 10","1984","Hesse","in school","2","","",""
"8 on Scale 1 to 10","1984","Hesse","inadequately","11","","",""
"8 on Scale 1 to 10","1984","Hesse","general elemantary","49","0.131803057235956","0.0966141498180285","0.166991964653884"
"8 on Scale 1 to 10","1984","Hesse","middle vocational","102","0.175767531444014","0.144950310722414","0.206584752165613"
"8 on Scale 1 to 10","1984","Hesse","vocational + Abi","6","","",""
"8 on Scale 1 to 10","1984","Hesse","higher vocational","12","","",""
"8 on Scale 1 to 10","1984","Hesse","higher education","22","","",""
"8 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","in school","1","","",""
"8 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","inadequately","4","","",""
"8 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","general elemantary","46","0.160716346178295","0.11901746846319","0.202415223893401"
"8 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","middle vocational","72","0.17378193416924","0.136271273426056","0.211292594912423"
"8 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","vocational + Abi","2","","",""
"8 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher vocational","7","","",""
"8 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher education","10","","",""
"8 on Scale 1 to 10","1984","Baden-Württemberg","in school","3","","",""
"8 on Scale 1 to 10","1984","Baden-Württemberg","inadequately","37","0.122460208042648","0.0847956823901604","0.160124733695135"
"8 on Scale 1 to 10","1984","Baden-Württemberg","general elemantary","105","0.148320534637729","0.121858684658833","0.174782384616625"
"8 on Scale 1 to 10","1984","Baden-Württemberg","middle vocational","156","0.15439704748847","0.131298381169479","0.177495713807461"
"8 on Scale 1 to 10","1984","Baden-Württemberg","vocational + Abi","7","","",""
"8 on Scale 1 to 10","1984","Baden-Württemberg","higher vocational","24","","",""
"8 on Scale 1 to 10","1984","Baden-Württemberg","higher education","29","","",""
"8 on Scale 1 to 10","1984","Bavaria","in school","4","","",""
"8 on Scale 1 to 10","1984","Bavaria","inadequately","13","","",""
"8 on Scale 1 to 10","1984","Bavaria","general elemantary","74","0.124976484641934","0.0982474396221593","0.151705529661708"
"8 on Scale 1 to 10","1984","Bavaria","middle vocational","184","0.172506345951098","0.149499711756354","0.195512980145841"
"8 on Scale 1 to 10","1984","Bavaria","vocational + Abi","10","","",""
"8 on Scale 1 to 10","1984","Bavaria","higher vocational","30","0.223325772980765","0.15117649720652","0.29547504875501"
"8 on Scale 1 to 10","1984","Bavaria","higher education","28","","",""
"8 on Scale 1 to 10","1984","Berlin","in school","","","",""
"8 on Scale 1 to 10","1984","Berlin","inadequately","3","","",""
"8 on Scale 1 to 10","1984","Berlin","general elemantary","11","","",""
"8 on Scale 1 to 10","1984","Berlin","middle vocational","26","","",""
"8 on Scale 1 to 10","1984","Berlin","vocational + Abi","1","","",""
"8 on Scale 1 to 10","1984","Berlin","higher vocational","4","","",""
"8 on Scale 1 to 10","1984","Berlin","higher education","10","","",""
"8 on Scale 1 to 10","1984","Brandenburg","in school","","","",""
"8 on Scale 1 to 10","1984","Brandenburg","inadequately","","","",""
"8 on Scale 1 to 10","1984","Brandenburg","general elemantary","","","",""
"8 on Scale 1 to 10","1984","Brandenburg","middle vocational","","","",""
"8 on Scale 1 to 10","1984","Brandenburg","vocational + Abi","","","",""
"8 on Scale 1 to 10","1984","Brandenburg","higher vocational","","","",""
"8 on Scale 1 to 10","1984","Brandenburg","higher education","","","",""
"8 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","in school","","","",""
"8 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"8 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"8 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"8 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"8 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"8 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"8 on Scale 1 to 10","1984","Saxony","in school","","","",""
"8 on Scale 1 to 10","1984","Saxony","inadequately","","","",""
"8 on Scale 1 to 10","1984","Saxony","general elemantary","","","",""
"8 on Scale 1 to 10","1984","Saxony","middle vocational","","","",""
"8 on Scale 1 to 10","1984","Saxony","vocational + Abi","","","",""
"8 on Scale 1 to 10","1984","Saxony","higher vocational","","","",""
"8 on Scale 1 to 10","1984","Saxony","higher education","","","",""
"8 on Scale 1 to 10","1984","Saxony-Anhalt","in school","","","",""
"8 on Scale 1 to 10","1984","Saxony-Anhalt","inadequately","","","",""
"8 on Scale 1 to 10","1984","Saxony-Anhalt","general elemantary","","","",""
"8 on Scale 1 to 10","1984","Saxony-Anhalt","middle vocational","","","",""
"8 on Scale 1 to 10","1984","Saxony-Anhalt","vocational + Abi","","","",""
"8 on Scale 1 to 10","1984","Saxony-Anhalt","higher vocational","","","",""
"8 on Scale 1 to 10","1984","Saxony-Anhalt","higher education","","","",""
"8 on Scale 1 to 10","1984","Thuringia","in school","","","",""
"8 on Scale 1 to 10","1984","Thuringia","inadequately","","","",""
"8 on Scale 1 to 10","1984","Thuringia","general elemantary","","","",""
"8 on Scale 1 to 10","1984","Thuringia","middle vocational","","","",""
"8 on Scale 1 to 10","1984","Thuringia","vocational + Abi","","","",""
"8 on Scale 1 to 10","1984","Thuringia","higher vocational","","","",""
"8 on Scale 1 to 10","1984","Thuringia","higher education","","","",""
"9 on Scale 1 to 10","1984","Schleswig-Holstein","in school","","","",""
"9 on Scale 1 to 10","1984","Schleswig-Holstein","inadequately","","","",""
"9 on Scale 1 to 10","1984","Schleswig-Holstein","general elemantary","8","","",""
"9 on Scale 1 to 10","1984","Schleswig-Holstein","middle vocational","30","0.121107798414592","0.0779965488663777","0.164219047962806"
"9 on Scale 1 to 10","1984","Schleswig-Holstein","vocational + Abi","1","","",""
"9 on Scale 1 to 10","1984","Schleswig-Holstein","higher vocational","6","","",""
"9 on Scale 1 to 10","1984","Schleswig-Holstein","higher education","5","","",""
"9 on Scale 1 to 10","1984","Hamburg","in school","1","","",""
"9 on Scale 1 to 10","1984","Hamburg","inadequately","1","","",""
"9 on Scale 1 to 10","1984","Hamburg","general elemantary","13","","",""
"9 on Scale 1 to 10","1984","Hamburg","middle vocational","11","","",""
"9 on Scale 1 to 10","1984","Hamburg","vocational + Abi","2","","",""
"9 on Scale 1 to 10","1984","Hamburg","higher vocational","1","","",""
"9 on Scale 1 to 10","1984","Hamburg","higher education","","","",""
"9 on Scale 1 to 10","1984","Lower Saxony","in school","5","","",""
"9 on Scale 1 to 10","1984","Lower Saxony","inadequately","3","","",""
"9 on Scale 1 to 10","1984","Lower Saxony","general elemantary","27","","",""
"9 on Scale 1 to 10","1984","Lower Saxony","middle vocational","54","0.090158609238887","0.0670481523174018","0.113269066160372"
"9 on Scale 1 to 10","1984","Lower Saxony","vocational + Abi","7","","",""
"9 on Scale 1 to 10","1984","Lower Saxony","higher vocational","10","","",""
"9 on Scale 1 to 10","1984","Lower Saxony","higher education","18","","",""
"9 on Scale 1 to 10","1984","Bremen","in school","","","",""
"9 on Scale 1 to 10","1984","Bremen","inadequately","","","",""
"9 on Scale 1 to 10","1984","Bremen","general elemantary","3","","",""
"9 on Scale 1 to 10","1984","Bremen","middle vocational","7","","",""
"9 on Scale 1 to 10","1984","Bremen","vocational + Abi","1","","",""
"9 on Scale 1 to 10","1984","Bremen","higher vocational","2","","",""
"9 on Scale 1 to 10","1984","Bremen","higher education","","","",""
"9 on Scale 1 to 10","1984","North Rhine-Westphalia","in school","13","","",""
"9 on Scale 1 to 10","1984","North Rhine-Westphalia","inadequately","18","","",""
"9 on Scale 1 to 10","1984","North Rhine-Westphalia","general elemantary","72","0.0755501078393797","0.0579689504919896","0.0931312651867697"
"9 on Scale 1 to 10","1984","North Rhine-Westphalia","middle vocational","201","0.125027220031898","0.108470413568254","0.141584026495542"
"9 on Scale 1 to 10","1984","North Rhine-Westphalia","vocational + Abi","21","","",""
"9 on Scale 1 to 10","1984","North Rhine-Westphalia","higher vocational","16","","",""
"9 on Scale 1 to 10","1984","North Rhine-Westphalia","higher education","33","0.133777467474217","0.0893961597561093","0.178158775192324"
"9 on Scale 1 to 10","1984","Hesse","in school","3","","",""
"9 on Scale 1 to 10","1984","Hesse","inadequately","6","","",""
"9 on Scale 1 to 10","1984","Hesse","general elemantary","43","0.0655356406887125","0.039792942782169","0.091278338595256"
"9 on Scale 1 to 10","1984","Hesse","middle vocational","78","0.12244968543004","0.095908877872455","0.148990492987626"
"9 on Scale 1 to 10","1984","Hesse","vocational + Abi","5","","",""
"9 on Scale 1 to 10","1984","Hesse","higher vocational","3","","",""
"9 on Scale 1 to 10","1984","Hesse","higher education","12","","",""
"9 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","in school","2","","",""
"9 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","inadequately","2","","",""
"9 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","general elemantary","33","0.0842443791651874","0.0527088427596458","0.115779915570729"
"9 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","middle vocational","46","0.119239228169643","0.0871585443257579","0.151319912013528"
"9 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","vocational + Abi","2","","",""
"9 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher vocational","5","","",""
"9 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher education","5","","",""
"9 on Scale 1 to 10","1984","Baden-Württemberg","in school","8","","",""
"9 on Scale 1 to 10","1984","Baden-Württemberg","inadequately","34","0.104290615623945","0.0691743945669214","0.139406836680968"
"9 on Scale 1 to 10","1984","Baden-Württemberg","general elemantary","84","0.11354358654735","0.0899229568545539","0.137164216240146"
"9 on Scale 1 to 10","1984","Baden-Württemberg","middle vocational","103","0.107203113577644","0.0874259412726747","0.126980285882613"
"9 on Scale 1 to 10","1984","Baden-Württemberg","vocational + Abi","8","","",""
"9 on Scale 1 to 10","1984","Baden-Württemberg","higher vocational","15","","",""
"9 on Scale 1 to 10","1984","Baden-Württemberg","higher education","23","","",""
"9 on Scale 1 to 10","1984","Bavaria","in school","4","","",""
"9 on Scale 1 to 10","1984","Bavaria","inadequately","9","","",""
"9 on Scale 1 to 10","1984","Bavaria","general elemantary","60","0.0925181331471033","0.0690978664470663","0.11593839984714"
"9 on Scale 1 to 10","1984","Bavaria","middle vocational","126","0.113086289137883","0.0938015453074888","0.132371032968277"
"9 on Scale 1 to 10","1984","Bavaria","vocational + Abi","6","","",""
"9 on Scale 1 to 10","1984","Bavaria","higher vocational","10","","",""
"9 on Scale 1 to 10","1984","Bavaria","higher education","21","","",""
"9 on Scale 1 to 10","1984","Berlin","in school","2","","",""
"9 on Scale 1 to 10","1984","Berlin","inadequately","4","","",""
"9 on Scale 1 to 10","1984","Berlin","general elemantary","3","","",""
"9 on Scale 1 to 10","1984","Berlin","middle vocational","15","","",""
"9 on Scale 1 to 10","1984","Berlin","vocational + Abi","3","","",""
"9 on Scale 1 to 10","1984","Berlin","higher vocational","3","","",""
"9 on Scale 1 to 10","1984","Berlin","higher education","5","","",""
"9 on Scale 1 to 10","1984","Brandenburg","in school","","","",""
"9 on Scale 1 to 10","1984","Brandenburg","inadequately","","","",""
"9 on Scale 1 to 10","1984","Brandenburg","general elemantary","","","",""
"9 on Scale 1 to 10","1984","Brandenburg","middle vocational","","","",""
"9 on Scale 1 to 10","1984","Brandenburg","vocational + Abi","","","",""
"9 on Scale 1 to 10","1984","Brandenburg","higher vocational","","","",""
"9 on Scale 1 to 10","1984","Brandenburg","higher education","","","",""
"9 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","in school","","","",""
"9 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"9 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"9 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"9 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"9 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"9 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"9 on Scale 1 to 10","1984","Saxony","in school","","","",""
"9 on Scale 1 to 10","1984","Saxony","inadequately","","","",""
"9 on Scale 1 to 10","1984","Saxony","general elemantary","","","",""
"9 on Scale 1 to 10","1984","Saxony","middle vocational","","","",""
"9 on Scale 1 to 10","1984","Saxony","vocational + Abi","","","",""
"9 on Scale 1 to 10","1984","Saxony","higher vocational","","","",""
"9 on Scale 1 to 10","1984","Saxony","higher education","","","",""
"9 on Scale 1 to 10","1984","Saxony-Anhalt","in school","","","",""
"9 on Scale 1 to 10","1984","Saxony-Anhalt","inadequately","","","",""
"9 on Scale 1 to 10","1984","Saxony-Anhalt","general elemantary","","","",""
"9 on Scale 1 to 10","1984","Saxony-Anhalt","middle vocational","","","",""
"9 on Scale 1 to 10","1984","Saxony-Anhalt","vocational + Abi","","","",""
"9 on Scale 1 to 10","1984","Saxony-Anhalt","higher vocational","","","",""
"9 on Scale 1 to 10","1984","Saxony-Anhalt","higher education","","","",""
"9 on Scale 1 to 10","1984","Thuringia","in school","","","",""
"9 on Scale 1 to 10","1984","Thuringia","inadequately","","","",""
"9 on Scale 1 to 10","1984","Thuringia","general elemantary","","","",""
"9 on Scale 1 to 10","1984","Thuringia","middle vocational","","","",""
"9 on Scale 1 to 10","1984","Thuringia","vocational + Abi","","","",""
"9 on Scale 1 to 10","1984","Thuringia","higher vocational","","","",""
"9 on Scale 1 to 10","1984","Thuringia","higher education","","","",""
"10 Completely satisfied","1984","Schleswig-Holstein","in school","4","","",""
"10 Completely satisfied","1984","Schleswig-Holstein","inadequately","2","","",""
"10 Completely satisfied","1984","Schleswig-Holstein","general elemantary","16","","",""
"10 Completely satisfied","1984","Schleswig-Holstein","middle vocational","47","0.198074583195799","0.145410065016161","0.250739101375438"
"10 Completely satisfied","1984","Schleswig-Holstein","vocational + Abi","2","","",""
"10 Completely satisfied","1984","Schleswig-Holstein","higher vocational","10","","",""
"10 Completely satisfied","1984","Schleswig-Holstein","higher education","6","","",""
"10 Completely satisfied","1984","Hamburg","in school","1","","",""
"10 Completely satisfied","1984","Hamburg","inadequately","9","","",""
"10 Completely satisfied","1984","Hamburg","general elemantary","14","","",""
"10 Completely satisfied","1984","Hamburg","middle vocational","27","","",""
"10 Completely satisfied","1984","Hamburg","vocational + Abi","3","","",""
"10 Completely satisfied","1984","Hamburg","higher vocational","2","","",""
"10 Completely satisfied","1984","Hamburg","higher education","3","","",""
"10 Completely satisfied","1984","Lower Saxony","in school","10","","",""
"10 Completely satisfied","1984","Lower Saxony","inadequately","17","","",""
"10 Completely satisfied","1984","Lower Saxony","general elemantary","81","0.208932358165048","0.167338929489854","0.250525786840243"
"10 Completely satisfied","1984","Lower Saxony","middle vocational","127","0.202222990273955","0.169813059190129","0.234632921357782"
"10 Completely satisfied","1984","Lower Saxony","vocational + Abi","8","","",""
"10 Completely satisfied","1984","Lower Saxony","higher vocational","10","","",""
"10 Completely satisfied","1984","Lower Saxony","higher education","15","","",""
"10 Completely satisfied","1984","Bremen","in school","","","",""
"10 Completely satisfied","1984","Bremen","inadequately","1","","",""
"10 Completely satisfied","1984","Bremen","general elemantary","5","","",""
"10 Completely satisfied","1984","Bremen","middle vocational","22","","",""
"10 Completely satisfied","1984","Bremen","vocational + Abi","","","",""
"10 Completely satisfied","1984","Bremen","higher vocational","1","","",""
"10 Completely satisfied","1984","Bremen","higher education","","","",""
"10 Completely satisfied","1984","North Rhine-Westphalia","in school","25","","",""
"10 Completely satisfied","1984","North Rhine-Westphalia","inadequately","78","0.252081040103153","0.203510127254924","0.300651952951382"
"10 Completely satisfied","1984","North Rhine-Westphalia","general elemantary","207","0.189409187947735","0.163342275822899","0.215476100072572"
"10 Completely satisfied","1984","North Rhine-Westphalia","middle vocational","336","0.204440760306539","0.184252587231831","0.224628933381246"
"10 Completely satisfied","1984","North Rhine-Westphalia","vocational + Abi","21","","",""
"10 Completely satisfied","1984","North Rhine-Westphalia","higher vocational","29","","",""
"10 Completely satisfied","1984","North Rhine-Westphalia","higher education","58","0.25564365839434","0.198771222511426","0.312516094277255"
"10 Completely satisfied","1984","Hesse","in school","6","","",""
"10 Completely satisfied","1984","Hesse","inadequately","24","","",""
"10 Completely satisfied","1984","Hesse","general elemantary","88","0.15380188894878","0.116274290327187","0.191329487570373"
"10 Completely satisfied","1984","Hesse","middle vocational","142","0.225569860906055","0.191729815111383","0.259409906700727"
"10 Completely satisfied","1984","Hesse","vocational + Abi","13","","",""
"10 Completely satisfied","1984","Hesse","higher vocational","8","","",""
"10 Completely satisfied","1984","Hesse","higher education","20","","",""
"10 Completely satisfied","1984","Rhineland-Palatinate,Saarland","in school","3","","",""
"10 Completely satisfied","1984","Rhineland-Palatinate,Saarland","inadequately","15","","",""
"10 Completely satisfied","1984","Rhineland-Palatinate,Saarland","general elemantary","59","0.167475256434735","0.125080332562328","0.209870180307143"
"10 Completely satisfied","1984","Rhineland-Palatinate,Saarland","middle vocational","89","0.208938352561351","0.168692669271128","0.249184035851573"
"10 Completely satisfied","1984","Rhineland-Palatinate,Saarland","vocational + Abi","5","","",""
"10 Completely satisfied","1984","Rhineland-Palatinate,Saarland","higher vocational","9","","",""
"10 Completely satisfied","1984","Rhineland-Palatinate,Saarland","higher education","7","","",""
"10 Completely satisfied","1984","Baden-Württemberg","in school","15","","",""
"10 Completely satisfied","1984","Baden-Württemberg","inadequately","68","0.266519655188132","0.215720035829588","0.317319274546676"
"10 Completely satisfied","1984","Baden-Württemberg","general elemantary","157","0.167412516217564","0.139615999608441","0.195209032826687"
"10 Completely satisfied","1984","Baden-Württemberg","middle vocational","230","0.224758791334271","0.198074176830936","0.251443405837606"
"10 Completely satisfied","1984","Baden-Württemberg","vocational + Abi","12","","",""
"10 Completely satisfied","1984","Baden-Württemberg","higher vocational","27","","",""
"10 Completely satisfied","1984","Baden-Württemberg","higher education","33","0.227291211204038","0.154116323284952","0.300466099123124"
"10 Completely satisfied","1984","Bavaria","in school","9","","",""
"10 Completely satisfied","1984","Bavaria","inadequately","19","","",""
"10 Completely satisfied","1984","Bavaria","general elemantary","139","0.194727166674265","0.162720221614341","0.226734111734189"
"10 Completely satisfied","1984","Bavaria","middle vocational","220","0.196772011691015","0.172563432984763","0.220980590397267"
"10 Completely satisfied","1984","Bavaria","vocational + Abi","12","","",""
"10 Completely satisfied","1984","Bavaria","higher vocational","22","","",""
"10 Completely satisfied","1984","Bavaria","higher education","39","0.212148550641876","0.147993921981434","0.276303179302319"
"10 Completely satisfied","1984","Berlin","in school","4","","",""
"10 Completely satisfied","1984","Berlin","inadequately","5","","",""
"10 Completely satisfied","1984","Berlin","general elemantary","21","","",""
"10 Completely satisfied","1984","Berlin","middle vocational","33","0.175344698677856","0.120843025467944","0.229846371887767"
"10 Completely satisfied","1984","Berlin","vocational + Abi","3","","",""
"10 Completely satisfied","1984","Berlin","higher vocational","6","","",""
"10 Completely satisfied","1984","Berlin","higher education","4","","",""
"10 Completely satisfied","1984","Brandenburg","in school","","","",""
"10 Completely satisfied","1984","Brandenburg","inadequately","","","",""
"10 Completely satisfied","1984","Brandenburg","general elemantary","","","",""
"10 Completely satisfied","1984","Brandenburg","middle vocational","","","",""
"10 Completely satisfied","1984","Brandenburg","vocational + Abi","","","",""
"10 Completely satisfied","1984","Brandenburg","higher vocational","","","",""
"10 Completely satisfied","1984","Brandenburg","higher education","","","",""
"10 Completely satisfied","1984","Mecklenburg-Western Pomerania","in school","","","",""
"10 Completely satisfied","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"10 Completely satisfied","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"10 Completely satisfied","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"10 Completely satisfied","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"10 Completely satisfied","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"10 Completely satisfied","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"10 Completely satisfied","1984","Saxony","in school","","","",""
"10 Completely satisfied","1984","Saxony","inadequately","","","",""
"10 Completely satisfied","1984","Saxony","general elemantary","","","",""
"10 Completely satisfied","1984","Saxony","middle vocational","","","",""
"10 Completely satisfied","1984","Saxony","vocational + Abi","","","",""
"10 Completely satisfied","1984","Saxony","higher vocational","","","",""
"10 Completely satisfied","1984","Saxony","higher education","","","",""
"10 Completely satisfied","1984","Saxony-Anhalt","in school","","","",""
"10 Completely satisfied","1984","Saxony-Anhalt","inadequately","","","",""
"10 Completely satisfied","1984","Saxony-Anhalt","general elemantary","","","",""
"10 Completely satisfied","1984","Saxony-Anhalt","middle vocational","","","",""
"10 Completely satisfied","1984","Saxony-Anhalt","vocational + Abi","","","",""
"10 Completely satisfied","1984","Saxony-Anhalt","higher vocational","","","",""
"10 Completely satisfied","1984","Saxony-Anhalt","higher education","","","",""
"10 Completely satisfied","1984","Thuringia","in school","","","",""
"10 Completely satisfied","1984","Thuringia","inadequately","","","",""
"10 Completely satisfied","1984","Thuringia","general elemantary","","","",""
"10 Completely satisfied","1984","Thuringia","middle vocational","","","",""
"10 Completely satisfied","1984","Thuringia","vocational + Abi","","","",""
"10 Completely satisfied","1984","Thuringia","higher vocational","","","",""
"10 Completely satisfied","1984","Thuringia","higher education","","","",""
"0 Completely dissatisfied","1985","Schleswig-Holstein","in school","","","",""
"0 Completely dissatisfied","1985","Schleswig-Holstein","inadequately","1","","",""
"0 Completely dissatisfied","1985","Schleswig-Holstein","general elemantary","4","","",""
"0 Completely dissatisfied","1985","Schleswig-Holstein","middle vocational","5","","",""
"0 Completely dissatisfied","1985","Schleswig-Holstein","vocational + Abi","1","","",""
"0 Completely dissatisfied","1985","Schleswig-Holstein","higher vocational","1","","",""
"0 Completely dissatisfied","1985","Schleswig-Holstein","higher education","","","",""
"0 Completely dissatisfied","1985","Hamburg","in school","","","",""
"0 Completely dissatisfied","1985","Hamburg","inadequately","1","","",""
"0 Completely dissatisfied","1985","Hamburg","general elemantary","1","","",""
"0 Completely dissatisfied","1985","Hamburg","middle vocational","6","","",""
"0 Completely dissatisfied","1985","Hamburg","vocational + Abi","","","",""
"0 Completely dissatisfied","1985","Hamburg","higher vocational","1","","",""
"0 Completely dissatisfied","1985","Hamburg","higher education","","","",""
"0 Completely dissatisfied","1985","Lower Saxony","in school","","","",""
"0 Completely dissatisfied","1985","Lower Saxony","inadequately","2","","",""
"0 Completely dissatisfied","1985","Lower Saxony","general elemantary","7","","",""
"0 Completely dissatisfied","1985","Lower Saxony","middle vocational","12","","",""
