"plb0219","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes, every 3-4 weeks","2015","no migration background","Rural Area","252","0.0591944993703637","0.0521622310458678","0.0662267676948597","4"
"Yes, every 3-4 weeks","2015","direct migration background","Urban Area","108","0.0674181807438666","0.0565558966673089","0.0782804648204244","4"
"Yes, every 3-4 weeks","2015","direct migration background","Rural Area","44","0.0646950051495776","0.0461104332436252","0.0832795770555301","4"
"Yes, every 3-4 weeks","2015","indirect migration background","Rural Area","10","","","","4"
"Yes, every 3-4 weeks","2015","indirect migration background","Urban Area","38","0.04360506592987","0.0301048485750294","0.0571052832847105","4"
"Yes, every week","2015","no migration background","Urban Area","468","0.0630696945221246","0.0573644911980539","0.0687748978461952","2"
"Yes, every week","2015","no migration background","Rural Area","267","0.0551812395595236","0.0483770749219315","0.0619854041971157","2"
"Yes, every week","2015","direct migration background","Urban Area","154","0.0805542220383132","0.0687646949401634","0.092343749136463","2"
"Yes, every week","2015","direct migration background","Rural Area","53","0.10969551354897","0.0860850631054113","0.133305963992528","2"
"Yes, every week","2015","indirect migration background","Urban Area","64","0.0724970329065324","0.055354640846215","0.0896394249668498","2"
"Yes, every week","2015","indirect migration background","Rural Area","14","","","","2"
"No, never","2016","no migration background","Urban Area","","","","","1"
"No, never","2016","no migration background","Rural Area","","","","","1"
"No, never","2016","direct migration background","Urban Area","","","","","1"
"No, never","2016","indirect migration background","Urban Area","","","","","1"
"No, never","2016","direct migration background","Rural Area","","","","","1"
"No, never","2016","indirect migration background","Rural Area","","","","","1"
"Rarely","2016","no migration background","Urban Area","","","","","5"
"Rarely","2016","no migration background","Rural Area","","","","","5"
"Rarely","2016","direct migration background","Urban Area","","","","","5"
"Rarely","2016","direct migration background","Rural Area","","","","","5"
"Rarely","2016","indirect migration background","Urban Area","","","","","5"
"Rarely","2016","indirect migration background","Rural Area","","","","","5"
"Yes, every 2 weeks","2016","no migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2016","direct migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2016","no migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2016","direct migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2016","indirect migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2016","indirect migration background","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2016","no migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2016","direct migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2016","no migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2016","direct migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2016","indirect migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2016","indirect migration background","Rural Area","","","","","4"
"Yes, every week","2016","no migration background","Urban Area","","","","","2"
"Yes, every week","2016","no migration background","Rural Area","","","","","2"
"Yes, every week","2016","direct migration background","Urban Area","","","","","2"
"Yes, every week","2016","direct migration background","Rural Area","","","","","2"
"Yes, every week","2016","indirect migration background","Urban Area","","","","","2"
"Yes, every week","2016","indirect migration background","Rural Area","","","","","2"
"No, never","2017","no migration background","Urban Area","4693","0.612842998003333","0.601899771121781","0.623786224884884","1"
"No, never","2017","no migration background","Rural Area","3057","0.632472324570866","0.618927193712645","0.646017455429087","1"
"No, never","2017","direct migration background","Rural Area","501","0.64725765715784","0.613196877152024","0.681318437163656","1"
"No, never","2017","indirect migration background","Urban Area","607","0.653935412632803","0.62350826068485","0.684362564580756","1"
"No, never","2017","direct migration background","Urban Area","1478","0.646595689082144","0.626575030598223","0.666616347566065","1"
"No, never","2017","indirect migration background","Rural Area","132","0.649130982286888","0.585338788064478","0.712923176509297","1"
"Rarely","2017","no migration background","Urban Area","1217","0.172227163299287","0.163744472443937","0.180709854154637","5"
"Rarely","2017","no migration background","Rural Area","679","0.154647020685014","0.144489043325764","0.164804998044264","5"
"Rarely","2017","direct migration background","Urban Area","230","0.114597870262169","0.101256986874183","0.127938753650156","5"
"Rarely","2017","direct migration background","Rural Area","70","0.122917084431934","0.0995118150365724","0.146322353827295","5"
"Rarely","2017","indirect migration background","Urban Area","97","0.0833787125792152","0.0656964491281105","0.10106097603032","5"
"Rarely","2017","indirect migration background","Rural Area","30","0.13470230106165","0.0890671867437665","0.180337415379534","5"
"Yes, every 2 weeks","2017","no migration background","Urban Area","679","0.0903434033892527","0.0839029833853586","0.0967838233931468","3"
"Yes, every 2 weeks","2017","direct migration background","Urban Area","226","0.102002252417312","0.089326652054792","0.114677852779833","3"
"Yes, every 2 weeks","2017","indirect migration background","Urban Area","102","0.111769261808143","0.0916162766361243","0.131922246980162","3"
"Yes, every 2 weeks","2017","no migration background","Rural Area","491","0.09982018839386","0.0913986536468916","0.108241723140828","3"
"Yes, every 2 weeks","2017","direct migration background","Rural Area","104","0.108477131084248","0.0863093342433307","0.130644927925166","3"
"Yes, every 2 weeks","2017","indirect migration background","Rural Area","24","","","","3"
"Yes, every 3-4 weeks","2017","no migration background","Urban Area","507","0.0635090303086862","0.0580300874902609","0.0689879731271115","4"
"Yes, every 3-4 weeks","2017","no migration background","Rural Area","313","0.0488321835610273","0.0427773938577255","0.0548869732643291","4"
"Yes, every 3-4 weeks","2017","direct migration background","Urban Area","107","0.0530745079839901","0.0436853439574995","0.0624636720104808","4"
"Yes, every 3-4 weeks","2017","indirect migration background","Urban Area","58","0.0677587589296394","0.0516833447176731","0.0838341731416058","4"
"Yes, every 3-4 weeks","2017","direct migration background","Rural Area","39","0.0695627646776452","0.0514276982207429","0.0876978311345475","4"
"Yes, every 3-4 weeks","2017","indirect migration background","Rural Area","13","","","","4"
"Yes, every week","2017","no migration background","Urban Area","515","0.0610774049994416","0.0556974032896563","0.066457406709227","2"
"Yes, every week","2017","no migration background","Rural Area","327","0.0642282827892328","0.0573407206384844","0.0711158449399812","2"
"Yes, every week","2017","direct migration background","Urban Area","149","0.0837296802543845","0.0721291575227552","0.0953302029860137","2"
"Yes, every week","2017","direct migration background","Rural Area","42","0.0517853626483327","0.035989475155232","0.0675812501414334","2"
"Yes, every week","2017","indirect migration background","Urban Area","75","0.0831578540501997","0.0654968977413154","0.100818810359084","2"
"Yes, every week","2017","indirect migration background","Rural Area","16","","","","2"
"No, never","2018","no migration background","Urban Area","","","","","1"
"No, never","2018","no migration background","Rural Area","","","","","1"
"No, never","2018","direct migration background","Urban Area","","","","","1"
"No, never","2018","direct migration background","Rural Area","","","","","1"
"No, never","2018","indirect migration background","Urban Area","","","","","1"
"No, never","2018","indirect migration background","Rural Area","","","","","1"
"Rarely","2018","no migration background","Urban Area","","","","","5"
"Rarely","2018","no migration background","Rural Area","","","","","5"
"Rarely","2018","indirect migration background","Urban Area","","","","","5"
"Rarely","2018","indirect migration background","Rural Area","","","","","5"
"Rarely","2018","direct migration background","Urban Area","","","","","5"
"Rarely","2018","direct migration background","Rural Area","","","","","5"
"Yes, every 2 weeks","2018","indirect migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2018","no migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2018","no migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2018","direct migration background","Urban Area","","","","","3"
"Yes, every 2 weeks","2018","direct migration background","Rural Area","","","","","3"
"Yes, every 2 weeks","2018","indirect migration background","Urban Area","","","","","3"
"Yes, every 3-4 weeks","2018","no migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2018","no migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2018","direct migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2018","direct migration background","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2018","indirect migration background","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2018","indirect migration background","Rural Area","","","","","4"
"Yes, every week","2018","no migration background","Urban Area","","","","","2"
"Yes, every week","2018","no migration background","Rural Area","","","","","2"
"Yes, every week","2018","direct migration background","Urban Area","","","","","2"
"Yes, every week","2018","direct migration background","Rural Area","","","","","2"
"Yes, every week","2018","indirect migration background","Urban Area","","","","","2"
"Yes, every week","2018","indirect migration background","Rural Area","","","","","2"
"No, never","2019","no migration background","Urban Area","4480","0.633768110825902","0.622789833493299","0.644746388158506","1"
"No, never","2019","no migration background","Rural Area","2909","0.618727542394552","0.604909336311124","0.63254574847798","1"
"No, never","2019","direct migration background","Urban Area","1171","0.65613602212896","0.634069780372726","0.678202263885194","1"
"No, never","2019","direct migration background","Rural Area","431","0.679572047592598","0.643305811540803","0.715838283644393","1"
"No, never","2019","indirect migration background","Urban Area","570","0.64301299302186","0.611694249931356","0.674331736112364","1"
"No, never","2019","indirect migration background","Rural Area","147","0.641931803750745","0.58127635909258","0.702587248408909","1"
"Rarely","2019","no migration background","Urban Area","1281","0.164609641261495","0.156159513192053","0.173059769330936","5"
"Rarely","2019","no migration background","Rural Area","722","0.157618480752699","0.147251740719734","0.167985220785665","5"
"Rarely","2019","direct migration background","Urban Area","216","0.106461190535264","0.0921330293266244","0.120789351743904","5"
"Rarely","2019","direct migration background","Rural Area","56","0.0972919824753209","0.0742599794184323","0.12032398553221","5"
"Rarely","2019","indirect migration background","Urban Area","114","0.121901668532623","0.10051492575348","0.143288411311765","5"
"Rarely","2019","indirect migration background","Rural Area","30","0.117865149951992","0.0770705511267527","0.158659748777232","5"
"Yes, every 2 weeks","2019","no migration background","Urban Area","626","0.0831508108477148","0.0768590367021694","0.0894425849932602","3"
"Yes, every 2 weeks","2019","no migration background","Rural Area","478","0.101273033873826","0.0926899171086472","0.109856150639005","3"
"Yes, every 2 weeks","2019","direct migration background","Urban Area","194","0.111429298467868","0.0968114389895872","0.126047157946149","3"
"Yes, every 2 weeks","2019","indirect migration background","Urban Area","106","0.128312686044972","0.106451012432734","0.15017435965721","3"
"Yes, every 2 weeks","2019","indirect migration background","Rural Area","29","","","","3"
"Yes, every 2 weeks","2019","direct migration background","Rural Area","80","0.109007145612667","0.0847865885472403","0.133227702678095","3"
"Yes, every 3-4 weeks","2019","no migration background","Urban Area","472","0.0570716589706317","0.051785496335307","0.0623578216059565","4"
"Yes, every 3-4 weeks","2019","no migration background","Rural Area","304","0.0592284349807996","0.05251273256058","0.0659441374010193","4"
"Yes, every 3-4 weeks","2019","direct migration background","Urban Area","83","0.0471580091605512","0.0373105029126688","0.0570055154084336","4"
"Yes, every 3-4 weeks","2019","indirect migration background","Urban Area","50","0.0434173061289921","0.0300955664824801","0.0567390457755041","4"
"Yes, every 3-4 weeks","2019","indirect migration background","Rural Area","10","","","","4"
"Yes, every 3-4 weeks","2019","direct migration background","Rural Area","25","","","","4"
"Yes, every week","2019","no migration background","Urban Area","539","0.0613997780942564","0.0559294338802673","0.0668701223082455","2"
"Yes, every week","2019","direct migration background","Urban Area","116","0.0788154797073561","0.066297992184415","0.0913329672302972","2"
"Yes, every week","2019","no migration background","Rural Area","333","0.0631525079981233","0.0562323824358249","0.0700726335604217","2"
"Yes, every week","2019","indirect migration background","Urban Area","59","0.063355346271553","0.0474315244699267","0.0792791680731793","2"
"Yes, every week","2019","direct migration background","Rural Area","44","0.0619509011251459","0.0432157960807454","0.0806860061695463","2"
"Yes, every week","2019","indirect migration background","Rural Area","24","","","","2"
