"plb0219","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"No, never","2016","16-34 y.","Rural Area","","","",""
"No, never","2016","35-65 y.","Urban Area","","","",""
"No, never","2016","35-65 y.","Rural Area","","","",""
"No, never","2016","66 and older","Urban Area","","","",""
"No, never","2016","66 and older","Rural Area","","","",""
"Yes, every week","2016","16-34 y.","Urban Area","","","",""
"Yes, every week","2016","16-34 y.","Rural Area","","","",""
"Yes, every week","2016","35-65 y.","Urban Area","","","",""
"Yes, every week","2016","35-65 y.","Rural Area","","","",""
"Yes, every week","2016","66 and older","Urban Area","","","",""
"Yes, every week","2016","66 and older","Rural Area","","","",""
"Yes, every 2 weeks","2016","16-34 y.","Urban Area","","","",""
"Yes, every 2 weeks","2016","16-34 y.","Rural Area","","","",""
"Yes, every 2 weeks","2016","35-65 y.","Urban Area","","","",""
"Yes, every 2 weeks","2016","35-65 y.","Rural Area","","","",""
"Yes, every 2 weeks","2016","66 and older","Urban Area","","","",""
"Yes, every 2 weeks","2016","66 and older","Rural Area","","","",""
"Yes, every 3-4 weeks","2016","16-34 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2016","16-34 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2016","35-65 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2016","35-65 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2016","66 and older","Urban Area","","","",""
"Yes, every 3-4 weeks","2016","66 and older","Rural Area","","","",""
"Rarely","2016","16-34 y.","Urban Area","","","",""
"Rarely","2016","16-34 y.","Rural Area","","","",""
"Rarely","2016","35-65 y.","Urban Area","","","",""
"Rarely","2016","35-65 y.","Rural Area","","","",""
"Rarely","2016","66 and older","Urban Area","","","",""
"Rarely","2016","66 and older","Rural Area","","","",""
"No, never","2017","16-34 y.","Urban Area","1778","0.644265207569379","0.626264118420033","0.662266296718725"
"No, never","2017","16-34 y.","Rural Area","881","0.686558988913866","0.661571596509195","0.711546381318538"
"No, never","2017","35-65 y.","Urban Area","4827","0.611228739441389","0.600385618866391","0.622071860016387"
"No, never","2017","35-65 y.","Rural Area","2719","0.615812409271184","0.60141911653239","0.630205702009978"
"No, never","2017","66 and older","Urban Area","173","0.646569824151311","0.588351762946161","0.704787885356461"
"No, never","2017","66 and older","Rural Area","90","0.654331473495765","0.571618229336695","0.737044717654835"
"Yes, every week","2017","16-34 y.","Urban Area","189","0.0662034622094626","0.0568543633408396","0.0755525610780856"
"Yes, every week","2017","16-34 y.","Rural Area","90","0.0609390517091391","0.0480536241254907","0.0738244792927875"
"Yes, every week","2017","35-65 y.","Urban Area","531","0.0664438082200413","0.0609038968397899","0.0719837196002927"
"Yes, every week","2017","35-65 y.","Rural Area","285","0.061354829657894","0.0542535048697791","0.068456154446009"
"Yes, every week","2017","66 and older","Urban Area","19","","",""
"Yes, every week","2017","66 and older","Rural Area","10","","",""
"Yes, every 2 weeks","2017","16-34 y.","Urban Area","290","0.0975061998604277","0.0863519209224873","0.108660478798368"
"Yes, every 2 weeks","2017","16-34 y.","Rural Area","150","0.10898301317994","0.0921978141237826","0.125768212236097"
"Yes, every 2 weeks","2017","35-65 y.","Urban Area","702","0.0935040437363591","0.0870280941421204","0.0999799933305978"
"Yes, every 2 weeks","2017","35-65 y.","Rural Area","463","0.101250396600632","0.0923238804269286","0.110176912774336"
"Yes, every 2 weeks","2017","66 and older","Urban Area","15","","",""
"Yes, every 2 weeks","2017","66 and older","Rural Area","6","","",""
"Yes, every 3-4 weeks","2017","16-34 y.","Urban Area","143","0.0626484008686911","0.0535364886114001","0.0717603131259821"
"Yes, every 3-4 weeks","2017","16-34 y.","Rural Area","71","0.0388083460609422","0.0284050331546504","0.049211658967234"
"Yes, every 3-4 weeks","2017","35-65 y.","Urban Area","521","0.0637279171351667","0.0582945227843242","0.0691613114860092"
"Yes, every 3-4 weeks","2017","35-65 y.","Rural Area","290","0.0565214334471358","0.049688032919879","0.0633548339743925"
"Yes, every 3-4 weeks","2017","66 and older","Urban Area","8","","",""
"Yes, every 3-4 weeks","2017","66 and older","Rural Area","4","","",""
"Rarely","2017","16-34 y.","Urban Area","317","0.12937672949204","0.116757103277985","0.141996355706094"
"Rarely","2017","16-34 y.","Rural Area","132","0.104710600136112","0.0882183032527242","0.121202897019501"
"Rarely","2017","35-65 y.","Urban Area","1183","0.165095491467044","0.156837178497797","0.17335380443629"
"Rarely","2017","35-65 y.","Rural Area","630","0.165060931023154","0.154075583241316","0.176046278804992"
"Rarely","2017","66 and older","Urban Area","44","0.179944615186133","0.133161490125547","0.22672774024672"
"Rarely","2017","66 and older","Rural Area","17","","",""
"No, never","2018","16-34 y.","Urban Area","","","",""
"No, never","2018","16-34 y.","Rural Area","","","",""
"No, never","2018","35-65 y.","Urban Area","","","",""
"No, never","2018","35-65 y.","Rural Area","","","",""
"No, never","2018","66 and older","Urban Area","","","",""
"No, never","2018","66 and older","Rural Area","","","",""
"Yes, every week","2018","16-34 y.","Urban Area","","","",""
"Yes, every week","2018","16-34 y.","Rural Area","","","",""
"Yes, every week","2018","35-65 y.","Urban Area","","","",""
"Yes, every week","2018","35-65 y.","Rural Area","","","",""
"Yes, every week","2018","66 and older","Urban Area","","","",""
"Yes, every week","2018","66 and older","Rural Area","","","",""
"Yes, every 2 weeks","2018","16-34 y.","Urban Area","","","",""
"Yes, every 2 weeks","2018","16-34 y.","Rural Area","","","",""
"Yes, every 2 weeks","2018","35-65 y.","Urban Area","","","",""
"Yes, every 2 weeks","2018","35-65 y.","Rural Area","","","",""
"Yes, every 2 weeks","2018","66 and older","Urban Area","","","",""
"Yes, every 2 weeks","2018","66 and older","Rural Area","","","",""
"Yes, every 3-4 weeks","2018","16-34 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2018","16-34 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2018","35-65 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2018","35-65 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2018","66 and older","Urban Area","","","",""
"Yes, every 3-4 weeks","2018","66 and older","Rural Area","","","",""
"Rarely","2018","16-34 y.","Urban Area","","","",""
"Rarely","2018","16-34 y.","Rural Area","","","",""
"Rarely","2018","35-65 y.","Urban Area","","","",""
"Rarely","2018","35-65 y.","Rural Area","","","",""
"Rarely","2018","66 and older","Urban Area","","","",""
"Rarely","2018","66 and older","Rural Area","","","",""
"No, never","2019","16-34 y.","Urban Area","1492","0.649135032508092","0.629454923334107","0.668815141682077"
"No, never","2019","16-34 y.","Rural Area","736","0.674256865985861","0.646711660190278","0.701802071781444"
"No, never","2019","35-65 y.","Urban Area","4479","0.631506165052141","0.620531493628887","0.642480836475394"
"No, never","2019","35-65 y.","Rural Area","2630","0.612770004957692","0.598232442068459","0.627307567846926"
"No, never","2019","66 and older","Urban Area","250","0.700188006010412","0.655061435145291","0.745314576875533"
"No, never","2019","66 and older","Rural Area","121","0.573734929314872","0.504677485817807","0.642792372811937"
"Yes, every week","2019","16-34 y.","Urban Area","152","0.0618973086109894","0.0519604056357083","0.0718342115862705"
"Yes, every week","2019","16-34 y.","Rural Area","82","0.0658601089056741","0.0512816076410291","0.0804386101703192"
"Yes, every week","2019","35-65 y.","Urban Area","534","0.0671247671439265","0.0614317722590465","0.0728177620288065"
"Yes, every week","2019","35-65 y.","Rural Area","308","0.0633244512353266","0.0560560537220976","0.0705928487485555"
"Yes, every week","2019","66 and older","Urban Area","28","","",""
"Yes, every week","2019","66 and older","Rural Area","11","","",""
"Yes, every 2 weeks","2019","16-34 y.","Urban Area","237","0.111688127183688","0.0986991123356574","0.124677142031719"
"Yes, every 2 weeks","2019","16-34 y.","Rural Area","119","0.113821429364941","0.0951546954492806","0.132488163280601"
"Yes, every 2 weeks","2019","35-65 y.","Urban Area","667","0.0862354772649641","0.0798492003231681","0.09262175420676"
"Yes, every 2 weeks","2019","35-65 y.","Rural Area","461","0.102401794613829","0.0933537833273495","0.111449805900308"
"Yes, every 2 weeks","2019","66 and older","Urban Area","22","","",""
"Yes, every 2 weeks","2019","66 and older","Rural Area","7","","",""
"Yes, every 3-4 weeks","2019","16-34 y.","Urban Area","122","0.0512805512632342","0.042184870274701","0.0603762322517674"
"Yes, every 3-4 weeks","2019","16-34 y.","Rural Area","60","0.042402747926752","0.0305591366714735","0.0542463591820304"
"Yes, every 3-4 weeks","2019","35-65 y.","Urban Area","466","0.0563936347594759","0.0511455832310977","0.061641686287854"
"Yes, every 3-4 weeks","2019","35-65 y.","Rural Area","268","0.061838024094672","0.0546497425734429","0.0690263056159011"
"Yes, every 3-4 weeks","2019","66 and older","Urban Area","17","","",""
"Yes, every 3-4 weeks","2019","66 and older","Rural Area","11","","",""
"Rarely","2019","16-34 y.","Urban Area","256","0.125998980433996","0.112314463837437","0.139683497030556"
"Rarely","2019","16-34 y.","Rural Area","115","0.103658847816772","0.0857430746984801","0.121574620935064"
"Rarely","2019","35-65 y.","Urban Area","1276","0.158739955779493","0.150426226570323","0.167053684988663"
"Rarely","2019","35-65 y.","Rural Area","646","0.15966572509848","0.14873396104388","0.17059748915308"
"Rarely","2019","66 and older","Urban Area","79","0.174162660252815","0.136809678077609","0.211515642428022"
"Rarely","2019","66 and older","Rural Area","47","0.264180996364987","0.202613532407771","0.325748460322203"
