"pgoeffd","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1996","college entrance qualification","indirect migration background","","","",""
"Yes","1996","Other degree","no migration background","","","",""
"Yes","1996","Other degree","direct migration background","72","0.155263347057464","0.126065589915493","0.184461104199434"
"Yes","1996","Other degree","indirect migration background","","","",""
"Yes","1996","no degree/no degree yet","no migration background","","","",""
"Yes","1996","no degree/no degree yet","direct migration background","33","0.199024462755695","0.14450176489884","0.25354716061255"
"Yes","1996","no degree/no degree yet","indirect migration background","","","",""
"No","1996","lower secondary degree","no migration background","1635","0.784222239708265","0.766526963987304","0.801917515429226"
"No","1996","lower secondary degree","direct migration background","281","0.866658859402676","0.829700508559408","0.903617210245943"
"No","1996","lower secondary degree","indirect migration background","127","0.952332812305254","0.915986089041369","0.988679535569138"
"No","1996","secondary school degree","no migration background","1598","0.686893490478947","0.668006204237367","0.705780776720527"
"No","1996","secondary school degree","direct migration background","70","0.710570617653962","0.620784336339001","0.800356898968923"
"No","1996","secondary school degree","indirect migration background","64","0.822399362028939","0.738652847577712","0.906145876480166"
"No","1996","college entrance qualification","no migration background","725","0.603625357398249","0.57578707628897","0.631463638507527"
"No","1996","college entrance qualification","direct migration background","82","0.762164079661551","0.681492759524871","0.842835399798231"
"No","1996","college entrance qualification","indirect migration background","34","0.793257379681194","0.669298331927381","0.917216427435006"
"No","1996","Other degree","no migration background","","","",""
"No","1996","Other degree","direct migration background","519","0.844736652942536","0.815538895800566","0.873934410084507"
"No","1996","Other degree","indirect migration background","","","",""
"No","1996","no degree/no degree yet","no migration background","","","",""
"No","1996","no degree/no degree yet","direct migration background","173","0.800975537244305","0.74645283938745","0.85549823510116"
"No","1996","no degree/no degree yet","indirect migration background","","","",""
"Yes","1997","lower secondary degree","no migration background","400","0.202609911688605","0.184945610562838","0.220274212814373"
"Yes","1997","lower secondary degree","direct migration background","33","0.124874720658386","0.0884264498477009","0.161322991469071"
"Yes","1997","lower secondary degree","indirect migration background","","","",""
"Yes","1997","secondary school degree","no migration background","711","0.310227644045144","0.291343132067043","0.329112156023246"
"Yes","1997","secondary school degree","direct migration background","","","",""
"Yes","1997","secondary school degree","indirect migration background","","","",""
"Yes","1997","college entrance qualification","no migration background","482","0.379904993838652","0.352791487614396","0.407018500062909"
"Yes","1997","college entrance qualification","direct migration background","36","0.350159773444841","0.262594463854439","0.437725083035242"
"Yes","1997","college entrance qualification","indirect migration background","","","",""
"Yes","1997","Other degree","no migration background","","","",""
"Yes","1997","Other degree","direct migration background","70","0.171678855457794","0.139664684113272","0.203693026802315"
"Yes","1997","Other degree","indirect migration background","","","",""
"Yes","1997","no degree/no degree yet","no migration background","","","",""
"Yes","1997","no degree/no degree yet","direct migration background","32","0.195776234372347","0.138128687132875","0.253423781611819"
"Yes","1997","no degree/no degree yet","indirect migration background","","","",""
"No","1997","lower secondary degree","no migration background","1589","0.797390088311395","0.779725787185627","0.815054389437162"
"No","1997","lower secondary degree","direct migration background","283","0.875125279341614","0.838677008530929","0.911573550152299"
"No","1997","lower secondary degree","indirect migration background","133","0.842139858139418","0.782997311788216","0.90128240449062"
"No","1997","secondary school degree","no migration background","1594","0.689772355954855","0.670887843976754","0.708656867932957"
"No","1997","secondary school degree","direct migration background","78","0.762358858931373","0.680159199371171","0.844558518491574"
"No","1997","secondary school degree","indirect migration background","79","0.888409946363","0.825425701950651","0.951394190775349"
"No","1997","college entrance qualification","no migration background","749","0.620095006161348","0.592981499937091","0.647208512385604"
"No","1997","college entrance qualification","direct migration background","78","0.649840226555159","0.562274916964758","0.737405536145561"
"No","1997","college entrance qualification","indirect migration background","35","0.728147742884805","0.599576038647315","0.856719447122294"
"No","1997","Other degree","no migration background","","","",""
"No","1997","Other degree","direct migration background","463","0.828321144542206","0.796306973197685","0.860335315886728"
"No","1997","Other degree","indirect migration background","","","",""
"No","1997","no degree/no degree yet","no migration background","","","",""
"No","1997","no degree/no degree yet","direct migration background","150","0.804223765627653","0.746576218388181","0.861871312867125"
"No","1997","no degree/no degree yet","indirect migration background","","","",""
"Yes","1998","lower secondary degree","no migration background","424","0.209401544077375","0.192218774653863","0.226584313500886"
"Yes","1998","lower secondary degree","direct migration background","","","",""
"Yes","1998","lower secondary degree","indirect migration background","","","",""
"Yes","1998","secondary school degree","no migration background","776","0.303297761267823","0.285431523215319","0.321163999320327"
"Yes","1998","secondary school degree","direct migration background","","","",""
"Yes","1998","secondary school degree","indirect migration background","","","",""
"Yes","1998","college entrance qualification","no migration background","517","0.366850173627483","0.341577714752757","0.39212263250221"
"Yes","1998","college entrance qualification","direct migration background","35","0.349800332307641","0.263013751826121","0.436586912789162"
"Yes","1998","college entrance qualification","indirect migration background","","","",""
"Yes","1998","Other degree","no migration background","","","",""
"Yes","1998","Other degree","direct migration background","74","0.178998090086472","0.14588949452416","0.212106685648784"
"Yes","1998","Other degree","indirect migration background","","","",""
"Yes","1998","no degree/no degree yet","no migration background","","","",""
"Yes","1998","no degree/no degree yet","direct migration background","","","",""
"Yes","1998","no degree/no degree yet","indirect migration background","","","",""
"No","1998","lower secondary degree","no migration background","1730","0.790598455922625","0.773415686499114","0.807781225346137"
"No","1998","lower secondary degree","direct migration background","266","0.904507029457411","0.87085541104146","0.938158647873363"
"No","1998","lower secondary degree","indirect migration background","140","0.864249320440695","0.81015168783669","0.918346953044699"
"No","1998","secondary school degree","no migration background","1767","0.696702238732177","0.678836000679673","0.714568476784681"
"No","1998","secondary school degree","direct migration background","77","0.691271611000869","0.601176744033747","0.78136647796799"
"No","1998","secondary school degree","indirect migration background","72","0.746398673297093","0.65936773525235","0.833429611341836"
"No","1998","college entrance qualification","no migration background","880","0.633149826372516","0.60787736749779","0.658422285247243"
"No","1998","college entrance qualification","direct migration background","81","0.650199667692359","0.563413087210838","0.736986248173879"
"No","1998","college entrance qualification","indirect migration background","36","0.593485026048428","0.455956367252731","0.731013684844126"
"No","1998","Other degree","no migration background","31","0.663039702283971","0.526446744613099","0.799632659954843"
"No","1998","Other degree","direct migration background","441","0.821001909913528","0.787893314351216","0.85411050547584"
"No","1998","Other degree","indirect migration background","","","",""
"No","1998","no degree/no degree yet","no migration background","37","0.913640150170505","0.827659704847194","0.999620595493817"
"No","1998","no degree/no degree yet","direct migration background","137","0.82645383724179","0.768135196688277","0.884772477795304"
"No","1998","no degree/no degree yet","indirect migration background","","","",""
"Yes","1999","lower secondary degree","no migration background","392","0.202996564124587","0.185363973103866","0.220629155145307"
"Yes","1999","lower secondary degree","direct migration background","","","",""
"Yes","1999","lower secondary degree","indirect migration background","","","",""
"Yes","1999","secondary school degree","no migration background","707","0.294358582565459","0.276196713509212","0.312520451621705"
"Yes","1999","secondary school degree","direct migration background","","","",""
"Yes","1999","secondary school degree","indirect migration background","","","",""
"Yes","1999","college entrance qualification","no migration background","507","0.368568925138428","0.343060886962002","0.394076963314854"
"Yes","1999","college entrance qualification","direct migration background","33","0.293016988386711","0.207961442216482","0.378072534556941"
"Yes","1999","college entrance qualification","indirect migration background","","","",""
"Yes","1999","Other degree","no migration background","","","",""
"Yes","1999","Other degree","direct migration background","67","0.19459682689847","0.157563700605029","0.231629953191911"
"Yes","1999","Other degree","indirect migration background","","","",""
"Yes","1999","no degree/no degree yet","no migration background","","","",""
"Yes","1999","no degree/no degree yet","direct migration background","","","",""
"Yes","1999","no degree/no degree yet","indirect migration background","","","",""
"No","1999","lower secondary degree","no migration background","1607","0.797003435875413","0.779370844854693","0.814636026896134"
"No","1999","lower secondary degree","direct migration background","245","0.900015978985922","0.864034180279365","0.935997777692479"
"No","1999","lower secondary degree","indirect migration background","135","0.910728338209389","0.864157068379403","0.957299608039374"
"No","1999","secondary school degree","no migration background","1712","0.705641417434541","0.687479548378295","0.723803286490788"
"No","1999","secondary school degree","direct migration background","67","0.699322399559366","0.604055431195818","0.794589367922915"
"No","1999","secondary school degree","indirect migration background","70","0.739543273898216","0.648362626363969","0.830723921432462"
"No","1999","college entrance qualification","no migration background","867","0.631431074861572","0.605923036685146","0.656939113037998"
"No","1999","college entrance qualification","direct migration background","77","0.706983011613289","0.621927465443059","0.792038557783519"
"No","1999","college entrance qualification","indirect migration background","39","0.693637615912695","0.565862251703014","0.821412980122377"
"No","1999","Other degree","no migration background","32","0.782087109785251","0.658696279191642","0.905477940378861"
"No","1999","Other degree","direct migration background","372","0.80540317310153","0.768370046808089","0.842436299394971"
"No","1999","Other degree","indirect migration background","","","",""
"No","1999","no degree/no degree yet","no migration background","44","0.925241371657699","0.850839192381513","0.999643550933885"
"No","1999","no degree/no degree yet","direct migration background","128","0.825336791425013","0.764167485465441","0.886506097384586"
"No","1999","no degree/no degree yet","indirect migration background","","","",""
"Yes","2000","lower secondary degree","no migration background","714","0.181927962899942","0.169698948838488","0.194156976961397"
"Yes","2000","lower secondary degree","direct migration background","53","0.125241854583894","0.0956004296820641","0.154883279485724"
"Yes","2000","lower secondary degree","indirect migration background","","","",""
"Yes","2000","secondary school degree","no migration background","1172","0.254290583683039","0.241620899244517","0.266960268121561"
"Yes","2000","secondary school degree","direct migration background","43","0.222585909741804","0.164934738942383","0.280237080541224"
"Yes","2000","secondary school degree","indirect migration background","","","",""
"Yes","2000","college entrance qualification","no migration background","1061","0.337598423226595","0.320670910057871","0.354525936395318"
"Yes","2000","college entrance qualification","direct migration background","58","0.258282945904838","0.200181513127983","0.316384378681692"
"Yes","2000","college entrance qualification","indirect migration background","","","",""
"Yes","2000","Other degree","no migration background","","","",""
"Yes","2000","Other degree","direct migration background","119","0.166374667100873","0.140454335748058","0.192294998453687"
"Yes","2000","Other degree","indirect migration background","","","",""
"Yes","2000","no degree/no degree yet","no migration background","","","",""
"Yes","2000","no degree/no degree yet","direct migration background","","","",""
"Yes","2000","no degree/no degree yet","indirect migration background","","","",""
"No","2000","lower secondary degree","no migration background","3109","0.818072037100057","0.805843023038603","0.830301051161512"
"No","2000","lower secondary degree","direct migration background","426","0.874758145416106","0.845116720514276","0.904399570317936"
"No","2000","lower secondary degree","indirect migration background","201","0.93736273859636","0.905123227464879","0.969602249727842"
"No","2000","secondary school degree","no migration background","3366","0.745709416316961","0.733039731878439","0.758379100755483"
"No","2000","secondary school degree","direct migration background","157","0.777414090258196","0.719762919458776","0.835065261057617"
"No","2000","secondary school degree","indirect migration background","138","0.852488144512224","0.798704838751716","0.906271450272733"
"No","2000","college entrance qualification","no migration background","1937","0.662401576773405","0.645474063604682","0.679329089942129"
"No","2000","college entrance qualification","direct migration background","160","0.741717054095163","0.683615621318308","0.799818486872017"
"No","2000","college entrance qualification","indirect migration background","81","0.770214394007514","0.688572094065166","0.851856693949863"
"No","2000","Other degree","no migration background","38","0.701431071649271","0.577048015354767","0.825814127943774"
"No","2000","Other degree","direct migration background","674","0.833625332899128","0.807705001546313","0.859545664251942"
"No","2000","Other degree","indirect migration background","","","",""
"No","2000","no degree/no degree yet","no migration background","78","0.91110166826913","0.850599790394302","0.971603546143958"
"No","2000","no degree/no degree yet","direct migration background","93","0.890409340900562","0.831495432335152","0.949323249465972"
"No","2000","no degree/no degree yet","indirect migration background","","","",""
"Yes","2001","lower secondary degree","no migration background","575","0.179060796028588","0.165585955010914","0.192535637046262"
"Yes","2001","lower secondary degree","direct migration background","44","0.127461191048071","0.0956807975773991","0.159241584518743"
"Yes","2001","lower secondary degree","indirect migration background","","","",""
"Yes","2001","secondary school degree","no migration background","1056","0.258254780220696","0.244677762424478","0.271831798016914"
"Yes","2001","secondary school degree","direct migration background","40","0.242419701594939","0.176428068519721","0.308411334670157"
"Yes","2001","secondary school degree","indirect migration background","","","",""
"Yes","2001","college entrance qualification","no migration background","939","0.334815808132452","0.316942014395355","0.35268960186955"
"Yes","2001","college entrance qualification","direct migration background","41","0.225631516232853","0.163701273502251","0.287561758963456"
"Yes","2001","college entrance qualification","indirect migration background","","","",""
"Yes","2001","Other degree","no migration background","","","",""
"Yes","2001","Other degree","direct migration background","102","0.158821860046003","0.131349702864403","0.186294017227604"
"Yes","2001","Other degree","indirect migration background","","","",""
"Yes","2001","no degree/no degree yet","no migration background","","","",""
"Yes","2001","no degree/no degree yet","direct migration background","","","",""
"Yes","2001","no degree/no degree yet","indirect migration background","","","",""
"No","2001","lower secondary degree","no migration background","2535","0.820939203971412","0.807464362953738","0.834414044989086"
"No","2001","lower secondary degree","direct migration background","379","0.872538808951929","0.840758415481257","0.904319202422601"
"No","2001","lower secondary degree","indirect migration background","166","0.913636482719919","0.872938355652129","0.954334609787709"
"No","2001","secondary school degree","no migration background","2936","0.741745219779304","0.728168201983085","0.755322237575522"
"No","2001","secondary school degree","direct migration background","122","0.757580298405061","0.691588665329843","0.823571931480279"
"No","2001","secondary school degree","indirect migration background","111","0.726436777436832","0.652060178551163","0.800813376322501"
"No","2001","college entrance qualification","no migration background","1739","0.665184191867548","0.64731039813045","0.683057985604645"
"No","2001","college entrance qualification","direct migration background","134","0.774368483767147","0.712438241036544","0.836298726497749"
"No","2001","college entrance qualification","indirect migration background","79","0.802783094421268","0.723188485406557","0.882377703435979"
"No","2001","Other degree","no migration background","","","",""
"No","2001","Other degree","direct migration background","578","0.841178139953997","0.813705982772396","0.868650297135597"
"No","2001","Other degree","indirect migration background","","","",""
"No","2001","no degree/no degree yet","no migration background","73","0.888128727661357","0.819484688666209","0.956772766656505"
"No","2001","no degree/no degree yet","direct migration background","66","0.950923586222908","0.902032838553439","0.999814333892378"
"No","2001","no degree/no degree yet","indirect migration background","","","",""
"Yes","2002","lower secondary degree","no migration background","571","0.18570901354036","0.172019955986986","0.199398071093735"
"Yes","2002","lower secondary degree","direct migration background","35","0.082915387123174","0.0558919637630622","0.109938810483286"
"Yes","2002","lower secondary degree","indirect migration background","","","",""
"Yes","2002","secondary school degree","no migration background","1162","0.263474524467256","0.250377687200156","0.276571361734357"
"Yes","2002","secondary school degree","direct migration background","35","0.229053139583987","0.164343209542626","0.293763069625348"
"Yes","2002","secondary school degree","indirect migration background","33","0.190157850838344","0.127772357267137","0.252543344409552"
"Yes","2002","college entrance qualification","no migration background","1333","0.32076231503615","0.305718181011774","0.335806449060526"
"Yes","2002","college entrance qualification","direct migration background","53","0.212542437459543","0.155985423777823","0.269099451141263"
"Yes","2002","college entrance qualification","indirect migration background","","","",""
"Yes","2002","Other degree","no migration background","","","",""
"Yes","2002","Other degree","direct migration background","112","0.160909839842331","0.133189929579408","0.188629750105254"
"Yes","2002","Other degree","indirect migration background","","","",""
"Yes","2002","no degree/no degree yet","no migration background","","","",""
"Yes","2002","no degree/no degree yet","direct migration background","","","",""
"Yes","2002","no degree/no degree yet","indirect migration background","","","",""
"No","2002","lower secondary degree","no migration background","2529","0.81429098645964","0.800601928906265","0.827980044013014"
"No","2002","lower secondary degree","direct migration background","365","0.917084612876826","0.890061189516714","0.944108036236938"
"No","2002","lower secondary degree","indirect migration background","157","0.900365151074834","0.855604248063276","0.945126054086391"
"No","2002","secondary school degree","no migration background","3184","0.736525475532744","0.723428638265643","0.749622312799844"
"No","2002","secondary school degree","direct migration background","127","0.770946860416013","0.706236930374652","0.835656790457374"
"No","2002","secondary school degree","indirect migration background","119","0.809842149161656","0.747456655590448","0.872227642732863"
"No","2002","college entrance qualification","no migration background","2365","0.67923768496385","0.664193550939474","0.694281818988226"
"No","2002","college entrance qualification","direct migration background","148","0.787457562540457","0.730900548858737","0.844014576222176"
"No","2002","college entrance qualification","indirect migration background","98","0.671329585534467","0.588652444917872","0.754006726151062"
"No","2002","Other degree","no migration background","32","0.909837907473433","0.817550757576965","1.0021250573699"
"No","2002","Other degree","direct migration background","563","0.839090160157669","0.811370249894746","0.866810070420592"
"No","2002","Other degree","indirect migration background","","","",""
"No","2002","no degree/no degree yet","no migration background","83","0.865132058460327","0.797155716314091","0.933108400606563"
"No","2002","no degree/no degree yet","direct migration background","64","0.940053196185139","0.884835517119847","0.99527087525043"
"No","2002","no degree/no degree yet","indirect migration background","","","",""
"Yes","2003","lower secondary degree","no migration background","503","0.195123218753015","0.180040469658335","0.210205967847696"
"Yes","2003","lower secondary degree","direct migration background","34","0.119640140566871","0.0852946594430574","0.153985621690685"
"Yes","2003","lower secondary degree","indirect migration background","","","",""
"Yes","2003","secondary school degree","no migration background","1089","0.275554284044965","0.261558774467151","0.289549793622778"
"Yes","2003","secondary school degree","direct migration background","30","0.213066690414453","0.146418120640396","0.279715260188511"
"Yes","2003","secondary school degree","indirect migration background","33","0.289205157720657","0.213283976174236","0.365126339267079"
"Yes","2003","college entrance qualification","no migration background","1210","0.328871900587664","0.312962940843684","0.344780860331644"
"Yes","2003","college entrance qualification","direct migration background","50","0.26383113301786","0.197969027208199","0.329693238827522"
"Yes","2003","college entrance qualification","indirect migration background","","","",""
"Yes","2003","Other degree","no migration background","","","",""
"Yes","2003","Other degree","direct migration background","91","0.155193011519577","0.125622987414302","0.184763035624852"
"Yes","2003","Other degree","indirect migration background","","","",""
"Yes","2003","no degree/no degree yet","no migration background","","","",""
"Yes","2003","no degree/no degree yet","direct migration background","","","",""
"Yes","2003","no degree/no degree yet","indirect migration background","","","",""
"No","2003","lower secondary degree","no migration background","2149","0.804876781246984","0.789794032152304","0.819959530341665"
"No","2003","lower secondary degree","direct migration background","309","0.880359859433129","0.846014378309314","0.914705340556943"
"No","2003","lower secondary degree","indirect migration background","137","0.909428731847254","0.863500257288488","0.955357206406021"
"No","2003","secondary school degree","no migration background","2826","0.724445715955035","0.710450206377221","0.738441225532849"
"No","2003","secondary school degree","direct migration background","115","0.786933309585547","0.720284739811489","0.853581879359604"
"No","2003","secondary school degree","indirect migration background","104","0.710794842279343","0.634873660732921","0.786716023825764"
"No","2003","college entrance qualification","no migration background","2140","0.671128099412336","0.655219139668356","0.687037059156316"
"No","2003","college entrance qualification","direct migration background","122","0.73616886698214","0.670306761172478","0.802030972791801"
"No","2003","college entrance qualification","indirect migration background","92","0.660499243416034","0.573951508482948","0.747046978349121"
"No","2003","Other degree","no migration background","","","",""
"No","2003","Other degree","direct migration background","485","0.844806988480423","0.815236964375148","0.874377012585698"
"No","2003","Other degree","indirect migration background","","","",""
"No","2003","no degree/no degree yet","no migration background","53","0.876690514166046","0.79484900231679","0.958532026015303"
"No","2003","no degree/no degree yet","direct migration background","51","0.978706111484693","0.940553841353479","1.01685838161591"
"No","2003","no degree/no degree yet","indirect migration background","","","",""
"Yes","2004","lower secondary degree","no migration background","473","0.180397096291351","0.165831092421791","0.19496310016091"
"Yes","2004","lower secondary degree","direct migration background","38","0.126070616021734","0.0909432052433457","0.161198026800122"
"Yes","2004","lower secondary degree","indirect migration background","","","",""
"Yes","2004","secondary school degree","no migration background","1057","0.256345392211528","0.242819880950862","0.269870903472193"
"Yes","2004","secondary school degree","direct migration background","30","0.273300895275642","0.199741800786241","0.346859989765042"
"Yes","2004","secondary school degree","indirect migration background","35","0.284928666046431","0.209890286405109","0.359967045687754"
"Yes","2004","college entrance qualification","no migration background","1257","0.334800686858158","0.319139346818131","0.350462026898185"
"Yes","2004","college entrance qualification","direct migration background","45","0.197696182565082","0.139835844339794","0.255556520790371"
"Yes","2004","college entrance qualification","indirect migration background","","","",""
"Yes","2004","Other degree","no migration background","","","",""
"Yes","2004","Other degree","direct migration background","87","0.173357680142117","0.141863380119251","0.204851980164983"
"Yes","2004","Other degree","indirect migration background","","","",""
"Yes","2004","no degree/no degree yet","no migration background","","","",""
"Yes","2004","no degree/no degree yet","direct migration background","","","",""
"Yes","2004","no degree/no degree yet","indirect migration background","","","",""
"No","2004","lower secondary degree","no migration background","2204","0.819602903708649","0.80503689983909","0.834168907578209"
"No","2004","lower secondary degree","direct migration background","305","0.873929383978266","0.838801973199878","0.909056794756654"
"No","2004","lower secondary degree","indirect migration background","144","0.85000625658393","0.794851523625543","0.905160989542316"
"No","2004","secondary school degree","no migration background","2946","0.743654607788472","0.730129096527807","0.757180119049138"
"No","2004","secondary school degree","direct migration background","111","0.726699104724358","0.653140010234958","0.800258199213759"
"No","2004","secondary school degree","indirect migration background","104","0.715071333953569","0.640032954312246","0.790109713594891"
"No","2004","college entrance qualification","no migration background","2231","0.665199313141842","0.649537973101815","0.680860653181869"
"No","2004","college entrance qualification","direct migration background","137","0.802303817434918","0.744443479209629","0.860164155660206"
"No","2004","college entrance qualification","indirect migration background","108","0.758995110843121","0.684611262014921","0.83337895967132"
"No","2004","Other degree","no migration background","","","",""
"No","2004","Other degree","direct migration background","468","0.826642319857883","0.795148019835017","0.858136619880749"
"No","2004","Other degree","indirect migration background","","","",""
"No","2004","no degree/no degree yet","no migration background","64","0.905159661940612","0.836027094160916","0.974292229720308"
"No","2004","no degree/no degree yet","direct migration background","47","0.892730893805897","0.811681141753952","0.973780645857842"
"No","2004","no degree/no degree yet","indirect migration background","","","",""
"Yes","2005","lower secondary degree","no migration background","419","0.187984533379408","0.172027787375085","0.203941279383731"
"Yes","2005","lower secondary degree","direct migration background","34","0.142390445346428","0.102513460559245","0.182267430133611"
"Yes","2005","lower secondary degree","indirect migration background","","","",""
"Yes","2005","secondary school degree","no migration background","978","0.263076116214965","0.248742818798635","0.277409413631295"
"Yes","2005","secondary school degree","direct migration background","","","",""
"Yes","2005","secondary school degree","indirect migration background","","","",""
"Yes","2005","college entrance qualification","no migration background","1133","0.328698001626806","0.312348388828733","0.34504761442488"
"Yes","2005","college entrance qualification","direct migration background","41","0.229830405260989","0.164842568778237","0.294818241743742"
"Yes","2005","college entrance qualification","indirect migration background","","","",""
"Yes","2005","Other degree","no migration background","","","",""
"Yes","2005","Other degree","direct migration background","77","0.141869776015876","0.110944384806793","0.172795167224959"
"Yes","2005","Other degree","indirect migration background","","","",""
"Yes","2005","no degree/no degree yet","no migration background","","","",""
"Yes","2005","no degree/no degree yet","direct migration background","","","",""
"Yes","2005","no degree/no degree yet","indirect migration background","","","",""
"No","2005","lower secondary degree","no migration background","1884","0.812015466620592","0.796058720616269","0.827972212624915"
"No","2005","lower secondary degree","direct migration background","261","0.857609554653572","0.817732569866389","0.897486539440755"
"No","2005","lower secondary degree","indirect migration background","124","0.882038755262102","0.828607228946318","0.935470281577886"
"No","2005","secondary school degree","no migration background","2647","0.736923883785035","0.722590586368705","0.751257181201365"
"No","2005","secondary school degree","direct migration background","100","0.689821327331283","0.609998425616787","0.76964422904578"
"No","2005","secondary school degree","indirect migration background","106","0.856410207064476","0.795896196343431","0.916924217785522"
"No","2005","college entrance qualification","no migration background","2038","0.671301998373194","0.65495238557512","0.687651611171267"
"No","2005","college entrance qualification","direct migration background","120","0.770169594739011","0.705181758256258","0.835157431221763"
"No","2005","college entrance qualification","indirect migration background","99","0.784995257479622","0.711794943794909","0.858195571164336"
"No","2005","Other degree","no migration background","","","",""
"No","2005","Other degree","direct migration background","412","0.858130223984124","0.827204832775041","0.889055615193207"
"No","2005","Other degree","indirect migration background","","","",""
"No","2005","no degree/no degree yet","no migration background","43","0.875120618512421","0.78160012283786","0.968641114186982"
"No","2005","no degree/no degree yet","direct migration background","36","0.905314805359753","0.817805404026637","0.992824206692868"
"No","2005","no degree/no degree yet","indirect migration background","","","",""
"Yes","2006","lower secondary degree","no migration background","452","0.19844146464547","0.182367746379919","0.21451518291102"
"Yes","2006","lower secondary degree","direct migration background","","","",""
"Yes","2006","lower secondary degree","indirect migration background","","","",""
"Yes","2006","secondary school degree","no migration background","1018","0.255156989493073","0.241196510720903","0.269117468265244"
"Yes","2006","secondary school degree","direct migration background","","","",""
"Yes","2006","secondary school degree","indirect migration background","","","",""
"Yes","2006","college entrance qualification","no migration background","1180","0.334365443293052","0.318252278481651","0.350478608104454"
"Yes","2006","college entrance qualification","direct migration background","44","0.234737154935338","0.170067230840909","0.299407079029767"
"Yes","2006","college entrance qualification","indirect migration background","","","",""
"Yes","2006","Other degree","no migration background","","","",""
"Yes","2006","Other degree","direct migration background","85","0.158359535548576","0.125968592434887","0.190750478662266"
"Yes","2006","Other degree","indirect migration background","","","",""
"Yes","2006","no degree/no degree yet","no migration background","","","",""
"Yes","2006","no degree/no degree yet","direct migration background","","","",""
"Yes","2006","no degree/no degree yet","indirect migration background","","","",""
"No","2006","lower secondary degree","no migration background","1913","0.80155853535453","0.78548481708898","0.817632253620081"
"No","2006","lower secondary degree","direct migration background","255","0.871229232182523","0.832205416179382","0.910253048185663"
"No","2006","lower secondary degree","indirect migration background","120","0.9213538484069","0.875605624748364","0.967102072065435"
"No","2006","secondary school degree","no migration background","2728","0.744843010506927","0.730882531734756","0.758803489279097"
"No","2006","secondary school degree","direct migration background","112","0.81374855593221","0.747335102272139","0.88016200959228"
"No","2006","secondary school degree","indirect migration background","96","0.771873892327441","0.697716200060255","0.846031584594627"
"No","2006","college entrance qualification","no migration background","2113","0.665634556706948","0.649521391895546","0.681747721518349"
"No","2006","college entrance qualification","direct migration background","121","0.765262845064662","0.700592920970233","0.829932769159091"
"No","2006","college entrance qualification","indirect migration background","101","0.784017009644496","0.711878759748895","0.856155259540097"
"No","2006","Other degree","no migration background","38","0.82918222634633","0.721587574940072","0.936776877752587"
"No","2006","Other degree","direct migration background","403","0.841640464451424","0.809249521337734","0.874031407565113"
"No","2006","Other degree","indirect migration background","","","",""
"No","2006","no degree/no degree yet","no migration background","47","0.928711259719672","0.858093517424322","0.999329002015021"
"No","2006","no degree/no degree yet","direct migration background","30","0.887578971580829","0.785796144820539","0.98936179834112"
"No","2006","no degree/no degree yet","indirect migration background","","","",""
"Yes","2007","lower secondary degree","no migration background","413","0.170343818143951","0.155230989239624","0.185456647048277"
"Yes","2007","lower secondary degree","direct migration background","","","",""
"Yes","2007","lower secondary degree","indirect migration background","","","",""
"Yes","2007","secondary school degree","no migration background","949","0.238329828972223","0.22480815621387","0.251851501730576"
"Yes","2007","secondary school degree","direct migration background","","","",""
"Yes","2007","secondary school degree","indirect migration background","","","",""
"Yes","2007","college entrance qualification","no migration background","1196","0.336225368441004","0.320420167717639","0.352030569164369"
"Yes","2007","college entrance qualification","direct migration background","46","0.248804144663008","0.183624778086831","0.313983511239184"
"Yes","2007","college entrance qualification","indirect migration background","37","0.265599192056133","0.193959846317197","0.33723853779507"
"Yes","2007","Other degree","no migration background","","","",""
"Yes","2007","Other degree","direct migration background","83","0.147624415879975","0.115348119305227","0.179900712454723"
"Yes","2007","Other degree","indirect migration background","","","",""
"Yes","2007","no degree/no degree yet","no migration background","","","",""
"Yes","2007","no degree/no degree yet","direct migration background","","","",""
"Yes","2007","no degree/no degree yet","indirect migration background","","","",""
"No","2007","lower secondary degree","no migration background","1964","0.829656181856049","0.814543352951723","0.844769010760375"
"No","2007","lower secondary degree","direct migration background","244","0.904443041703712","0.869246299800005","0.93963978360742"
"No","2007","lower secondary degree","indirect migration background","140","0.88943602889592","0.840996565190123","0.937875492601717"
"No","2007","secondary school degree","no migration background","2865","0.761670171027777","0.748148498269424","0.77519184378613"
"No","2007","secondary school degree","direct migration background","97","0.761963681116116","0.686080740166483","0.83784662206575"
"No","2007","secondary school degree","indirect migration background","115","0.869005694263114","0.81331584343968","0.924695545086547"
"No","2007","college entrance qualification","no migration background","2236","0.663774631558996","0.647969430835631","0.679579832282362"
"No","2007","college entrance qualification","direct migration background","123","0.751195855336992","0.686016488760816","0.816375221913169"
"No","2007","college entrance qualification","indirect migration background","109","0.734400807943867","0.66276146220493","0.806040153682803"
"No","2007","Other degree","no migration background","34","0.781442935830576","0.660696896791125","0.902188974870026"
"No","2007","Other degree","direct migration background","381","0.852375584120025","0.820099287545277","0.884651880694773"
"No","2007","Other degree","indirect migration background","","","",""
"No","2007","no degree/no degree yet","no migration background","51","0.796906287271325","0.692467329483726","0.901345245058925"
"No","2007","no degree/no degree yet","direct migration background","","","",""
"No","2007","no degree/no degree yet","indirect migration background","","","",""
"Yes","2008","lower secondary degree","no migration background","364","0.167566627819482","0.15157000670104","0.183563248937924"
