"pli0097_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Rarely","1992","Saxony-Anhalt","Male","33","0.0720165545170344","0.0454592689568237","0.0985738400772451","4"
"Rarely","1992","Saxony-Anhalt","Female","23","","","","4"
"Rarely","1992","Berlin","Male","14","","","","4"
"Rarely","1992","Brandenburg","Male","21","","","","4"
"Rarely","1992","Berlin","Female","12","","","","4"
"Rarely","1992","Bavaria","Female","29","","","","4"
"Daily","1993","Schleswig-Holstein","Male","","","","","1"
"Daily","1993","Schleswig-Holstein","Female","","","","","1"
"Daily","1993","Hamburg","Male","","","","","1"
"Daily","1993","Hamburg","Female","","","","","1"
"Daily","1993","Lower Saxony","Male","","","","","1"
"Daily","1993","Lower Saxony","Female","","","","","1"
"Daily","1993","Bremen","Male","","","","","1"
"Daily","1993","Bremen","Female","","","","","1"
"Daily","1993","North Rhine-Westphalia","Male","","","","","1"
"Daily","1993","North Rhine-Westphalia","Female","","","","","1"
"Daily","1993","Hesse","Male","","","","","1"
"Daily","1993","Hesse","Female","","","","","1"
"Daily","1993","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Daily","1993","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Daily","1993","Baden-Württemberg","Male","","","","","1"
"Daily","1993","Baden-Württemberg","Female","","","","","1"
"Daily","1993","Bavaria","Male","","","","","1"
"Daily","1993","Bavaria","Female","","","","","1"
"Daily","1993","Berlin","Male","","","","","1"
"Daily","1993","Berlin","Female","","","","","1"
"Daily","1993","Brandenburg","Male","","","","","1"
"Daily","1993","Brandenburg","Female","","","","","1"
"Daily","1993","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1993","Mecklenburg-Western Pomerania","Female","","","","","1"
"Daily","1993","Saxony","Male","","","","","1"
"Daily","1993","Saxony","Female","","","","","1"
"Daily","1993","Saxony-Anhalt","Male","","","","","1"
"Daily","1993","Saxony-Anhalt","Female","","","","","1"
"Daily","1993","Thuringia","Male","","","","","1"
"Daily","1993","Thuringia","Female","","","","","1"
"Min 1x per month","1993","Schleswig-Holstein","Male","","","","","3"
"Min 1x per month","1993","Schleswig-Holstein","Female","","","","","3"
"Min 1x per month","1993","Hamburg","Male","","","","","3"
"Min 1x per month","1993","Hamburg","Female","","","","","3"
"Min 1x per month","1993","Brandenburg","Female","","","","","3"
"Min 1x per month","1993","Mecklenburg-Western Pomerania","Male","","","","","3"
"Min 1x per month","1993","Mecklenburg-Western Pomerania","Female","","","","","3"
"Min 1x per month","1993","Saxony","Male","","","","","3"
"Min 1x per month","1993","Saxony","Female","","","","","3"
"Min 1x per month","1993","Saxony-Anhalt","Male","","","","","3"
"Min 1x per month","1993","Saxony-Anhalt","Female","","","","","3"
"Min 1x per month","1993","Thuringia","Male","","","","","3"
"Min 1x per month","1993","Thuringia","Female","","","","","3"
"Min 1x per month","1993","North Rhine-Westphalia","Male","","","","","3"
"Min 1x per month","1993","North Rhine-Westphalia","Female","","","","","3"
"Min 1x per month","1993","Hesse","Male","","","","","3"
"Min 1x per month","1993","Hesse","Female","","","","","3"
"Min 1x per month","1993","Rhineland-Palatinate,Saarland","Male","","","","","3"
"Min 1x per month","1993","Rhineland-Palatinate,Saarland","Female","","","","","3"
"Min 1x per month","1993","Baden-Württemberg","Male","","","","","3"
"Min 1x per month","1993","Baden-Württemberg","Female","","","","","3"
"Min 1x per month","1993","Bavaria","Male","","","","","3"
"Min 1x per month","1993","Bavaria","Female","","","","","3"
"Min 1x per month","1993","Berlin","Male","","","","","3"
"Min 1x per month","1993","Berlin","Female","","","","","3"
"Min 1x per month","1993","Brandenburg","Male","","","","","3"
"Min 1x per month","1993","Bremen","Female","","","","","3"
"Min 1x per month","1993","Lower Saxony","Female","","","","","3"
"Min 1x per month","1993","Bremen","Male","","","","","3"
"Min 1x per month","1993","Lower Saxony","Male","","","","","3"
"Min 1x per week","1993","Bremen","Female","","","","","2"
"Min 1x per week","1993","North Rhine-Westphalia","Male","","","","","2"
"Min 1x per week","1993","North Rhine-Westphalia","Female","","","","","2"
"Min 1x per week","1993","Hesse","Male","","","","","2"
"Min 1x per week","1993","Hesse","Female","","","","","2"
"Min 1x per week","1993","Rhineland-Palatinate,Saarland","Male","","","","","2"
"Min 1x per week","1993","Thuringia","Male","","","","","2"
"Min 1x per week","1993","Thuringia","Female","","","","","2"
"Min 1x per week","1993","Schleswig-Holstein","Male","","","","","2"
"Min 1x per week","1993","Schleswig-Holstein","Female","","","","","2"
"Min 1x per week","1993","Hamburg","Male","","","","","2"
"Min 1x per week","1993","Hamburg","Female","","","","","2"
"Min 1x per week","1993","Lower Saxony","Male","","","","","2"
"Min 1x per week","1993","Lower Saxony","Female","","","","","2"
"Min 1x per week","1993","Bremen","Male","","","","","2"
"Min 1x per week","1993","Brandenburg","Female","","","","","2"
"Min 1x per week","1993","Mecklenburg-Western Pomerania","Male","","","","","2"
"Min 1x per week","1993","Mecklenburg-Western Pomerania","Female","","","","","2"
"Min 1x per week","1993","Saxony","Male","","","","","2"
"Min 1x per week","1993","Saxony","Female","","","","","2"
"Min 1x per week","1993","Saxony-Anhalt","Male","","","","","2"
"Min 1x per week","1993","Saxony-Anhalt","Female","","","","","2"
"Min 1x per week","1993","Baden-Württemberg","Male","","","","","2"
"Min 1x per week","1993","Baden-Württemberg","Female","","","","","2"
"Min 1x per week","1993","Bavaria","Male","","","","","2"
"Min 1x per week","1993","Bavaria","Female","","","","","2"
"Min 1x per week","1993","Rhineland-Palatinate,Saarland","Female","","","","","2"
"Min 1x per week","1993","Brandenburg","Male","","","","","2"
"Min 1x per week","1993","Berlin","Female","","","","","2"
"Min 1x per week","1993","Berlin","Male","","","","","2"
"Never","1993","Mecklenburg-Western Pomerania","Male","","","","","5"
"Never","1993","Thuringia","Female","","","","","5"
"Never","1993","Mecklenburg-Western Pomerania","Female","","","","","5"
"Never","1993","Saxony","Male","","","","","5"
"Never","1993","Brandenburg","Female","","","","","5"
"Never","1993","Saxony","Female","","","","","5"
"Never","1993","Saxony-Anhalt","Male","","","","","5"
"Never","1993","Saxony-Anhalt","Female","","","","","5"
"Never","1993","Thuringia","Male","","","","","5"
"Never","1993","Schleswig-Holstein","Male","","","","","5"
"Never","1993","Schleswig-Holstein","Female","","","","","5"
"Never","1993","Hamburg","Male","","","","","5"
"Never","1993","Hamburg","Female","","","","","5"
"Never","1993","Lower Saxony","Male","","","","","5"
"Never","1993","Lower Saxony","Female","","","","","5"
"Never","1993","Bremen","Male","","","","","5"
"Never","1993","Bremen","Female","","","","","5"
"Never","1993","North Rhine-Westphalia","Male","","","","","5"
"Never","1993","North Rhine-Westphalia","Female","","","","","5"
"Never","1993","Hesse","Male","","","","","5"
"Never","1993","Hesse","Female","","","","","5"
"Never","1993","Rhineland-Palatinate,Saarland","Male","","","","","5"
"Never","1993","Rhineland-Palatinate,Saarland","Female","","","","","5"
"Never","1993","Baden-Württemberg","Male","","","","","5"
"Never","1993","Baden-Württemberg","Female","","","","","5"
"Never","1993","Bavaria","Male","","","","","5"
"Never","1993","Bavaria","Female","","","","","5"
"Never","1993","Berlin","Male","","","","","5"
"Never","1993","Berlin","Female","","","","","5"
"Never","1993","Brandenburg","Male","","","","","5"
"Rarely","1993","Thuringia","Female","","","","","4"
"Rarely","1993","Schleswig-Holstein","Male","","","","","4"
"Rarely","1993","Schleswig-Holstein","Female","","","","","4"
"Rarely","1993","Hamburg","Male","","","","","4"
"Rarely","1993","Bremen","Female","","","","","4"
"Rarely","1993","North Rhine-Westphalia","Male","","","","","4"
"Rarely","1993","North Rhine-Westphalia","Female","","","","","4"
"Rarely","1993","Hesse","Male","","","","","4"
"Rarely","1993","Hesse","Female","","","","","4"
"Rarely","1993","Rhineland-Palatinate,Saarland","Male","","","","","4"
"Rarely","1993","Rhineland-Palatinate,Saarland","Female","","","","","4"
"Rarely","1993","Baden-Württemberg","Male","","","","","4"
"Rarely","1993","Baden-Württemberg","Female","","","","","4"
"Rarely","1993","Bavaria","Male","","","","","4"
"Rarely","1993","Brandenburg","Female","","","","","4"
"Rarely","1993","Mecklenburg-Western Pomerania","Male","","","","","4"
"Rarely","1993","Mecklenburg-Western Pomerania","Female","","","","","4"
"Rarely","1993","Thuringia","Male","","","","","4"
"Rarely","1993","Hamburg","Female","","","","","4"
"Rarely","1993","Lower Saxony","Male","","","","","4"
"Rarely","1993","Lower Saxony","Female","","","","","4"
"Rarely","1993","Bremen","Male","","","","","4"
"Rarely","1993","Saxony","Male","","","","","4"
"Rarely","1993","Saxony","Female","","","","","4"
"Rarely","1993","Saxony-Anhalt","Male","","","","","4"
"Rarely","1993","Saxony-Anhalt","Female","","","","","4"
"Rarely","1993","Bavaria","Female","","","","","4"
"Rarely","1993","Berlin","Male","","","","","4"
"Rarely","1993","Berlin","Female","","","","","4"
"Rarely","1993","Brandenburg","Male","","","","","4"
"Daily","1994","Schleswig-Holstein","Male","","","","","1"
"Daily","1994","Schleswig-Holstein","Female","","","","","1"
"Daily","1994","Hamburg","Male","","","","","1"
"Daily","1994","Hamburg","Female","","","","","1"
"Daily","1994","Lower Saxony","Male","","","","","1"
"Daily","1994","Lower Saxony","Female","","","","","1"
"Daily","1994","Bremen","Male","","","","","1"
"Daily","1994","Bremen","Female","","","","","1"
"Daily","1994","North Rhine-Westphalia","Male","","","","","1"
"Daily","1994","North Rhine-Westphalia","Female","","","","","1"
"Daily","1994","Hesse","Male","","","","","1"
"Daily","1994","Hesse","Female","","","","","1"
"Daily","1994","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Daily","1994","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Daily","1994","Baden-Württemberg","Male","","","","","1"
"Daily","1994","Baden-Württemberg","Female","","","","","1"
"Daily","1994","Bavaria","Male","","","","","1"
"Daily","1994","Bavaria","Female","","","","","1"
"Daily","1994","Berlin","Male","","","","","1"
"Daily","1994","Berlin","Female","","","","","1"
"Daily","1994","Brandenburg","Male","","","","","1"
"Daily","1994","Brandenburg","Female","","","","","1"
"Daily","1994","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1994","Mecklenburg-Western Pomerania","Female","","","","","1"
"Daily","1994","Saxony","Male","","","","","1"
"Daily","1994","Saxony","Female","","","","","1"
"Daily","1994","Saxony-Anhalt","Male","","","","","1"
"Daily","1994","Saxony-Anhalt","Female","","","","","1"
"Daily","1994","Thuringia","Male","","","","","1"
"Daily","1994","Thuringia","Female","","","","","1"
"Min 1x per month","1994","Schleswig-Holstein","Male","3","","","","3"
"Min 1x per month","1994","Schleswig-Holstein","Female","2","","","","3"
"Min 1x per month","1994","Hamburg","Male","1","","","","3"
"Min 1x per month","1994","Hamburg","Female","","","","","3"
"Min 1x per month","1994","Brandenburg","Female","6","","","","3"
"Min 1x per month","1994","Mecklenburg-Western Pomerania","Male","8","","","","3"
"Min 1x per month","1994","Mecklenburg-Western Pomerania","Female","6","","","","3"
"Min 1x per month","1994","Saxony","Male","15","","","","3"
"Min 1x per month","1994","Saxony","Female","10","","","","3"
"Min 1x per month","1994","Saxony-Anhalt","Male","6","","","","3"
"Min 1x per month","1994","Saxony-Anhalt","Female","4","","","","3"
"Min 1x per month","1994","Thuringia","Male","8","","","","3"
"Min 1x per month","1994","Thuringia","Female","4","","","","3"
"Min 1x per month","1994","Hesse","Female","3","","","","3"
"Min 1x per month","1994","Rhineland-Palatinate,Saarland","Female","6","","","","3"
"Min 1x per month","1994","Baden-Württemberg","Male","9","","","","3"
"Min 1x per month","1994","Baden-Württemberg","Female","6","","","","3"
"Min 1x per month","1994","Berlin","Male","7","","","","3"
"Min 1x per month","1994","North Rhine-Westphalia","Male","18","","","","3"
"Min 1x per month","1994","North Rhine-Westphalia","Female","13","","","","3"
"Min 1x per month","1994","Hesse","Male","7","","","","3"
"Min 1x per month","1994","Rhineland-Palatinate,Saarland","Male","10","","","","3"
"Min 1x per month","1994","Bavaria","Male","12","","","","3"
"Min 1x per month","1994","Bavaria","Female","10","","","","3"
"Min 1x per month","1994","Berlin","Female","7","","","","3"
"Min 1x per month","1994","Brandenburg","Male","11","","","","3"
"Min 1x per month","1994","Lower Saxony","Female","8","","","","3"
"Min 1x per month","1994","Bremen","Female","","","","","3"
"Min 1x per month","1994","Lower Saxony","Male","8","","","","3"
"Min 1x per month","1994","Bremen","Male","2","","","","3"
"Min 1x per week","1994","Schleswig-Holstein","Male","1","","","","2"
"Min 1x per week","1994","Schleswig-Holstein","Female","1","","","","2"
"Min 1x per week","1994","Hamburg","Male","1","","","","2"
"Min 1x per week","1994","Hamburg","Female","","","","","2"
"Min 1x per week","1994","Lower Saxony","Male","10","","","","2"
"Min 1x per week","1994","Lower Saxony","Female","2","","","","2"
"Min 1x per week","1994","Bremen","Male","1","","","","2"
"Min 1x per week","1994","Bremen","Female","1","","","","2"
"Min 1x per week","1994","North Rhine-Westphalia","Male","12","","","","2"
"Min 1x per week","1994","North Rhine-Westphalia","Female","3","","","","2"
"Min 1x per week","1994","Hesse","Male","5","","","","2"
"Min 1x per week","1994","Hesse","Female","2","","","","2"
"Min 1x per week","1994","Rhineland-Palatinate,Saarland","Male","5","","","","2"
"Min 1x per week","1994","Brandenburg","Female","","","","","2"
"Min 1x per week","1994","Mecklenburg-Western Pomerania","Male","5","","","","2"
"Min 1x per week","1994","Mecklenburg-Western Pomerania","Female","2","","","","2"
"Min 1x per week","1994","Saxony","Male","8","","","","2"
"Min 1x per week","1994","Saxony","Female","","","","","2"
"Min 1x per week","1994","Saxony-Anhalt","Male","8","","","","2"
"Min 1x per week","1994","Saxony-Anhalt","Female","5","","","","2"
"Min 1x per week","1994","Thuringia","Male","3","","","","2"
"Min 1x per week","1994","Thuringia","Female","1","","","","2"
"Min 1x per week","1994","Baden-Württemberg","Male","10","","","","2"
"Min 1x per week","1994","Baden-Württemberg","Female","1","","","","2"
"Min 1x per week","1994","Bavaria","Male","7","","","","2"
"Min 1x per week","1994","Rhineland-Palatinate,Saarland","Female","1","","","","2"
"Min 1x per week","1994","Bavaria","Female","2","","","","2"
"Min 1x per week","1994","Brandenburg","Male","5","","","","2"
"Min 1x per week","1994","Berlin","Male","3","","","","2"
"Min 1x per week","1994","Berlin","Female","1","","","","2"
"Never","1994","Thuringia","Female","332","0.959125647951237","0.938292900623008","0.979958395279467","5"
"Never","1994","Mecklenburg-Western Pomerania","Female","190","0.926314375823566","0.890637643806186","0.961991107840947","5"
"Never","1994","Mecklenburg-Western Pomerania","Male","178","0.877727936714602","0.832551082407413","0.92290479102179","5"
"Never","1994","Saxony","Male","457","0.883865286652075","0.85638084590033","0.91134972740382","5"
"Never","1994","Saxony","Female","563","0.947450126873526","0.929581190810692","0.96531906293636","5"
"Never","1994","Saxony-Anhalt","Male","289","0.89217171872043","0.858346750485986","0.925996686954874","5"
"Never","1994","Saxony-Anhalt","Female","346","0.946450514585212","0.923573295679836","0.969327733490588","5"
"Never","1994","Thuringia","Male","283","0.922305583941952","0.892697139617612","0.951914028266292","5"
"Never","1994","Brandenburg","Female","290","0.935126002772716","0.907795904727665","0.962456100817768","5"
"Never","1994","Schleswig-Holstein","Male","117","0.83598860940319","0.773293613647988","0.898683605158392","5"
"Never","1994","Schleswig-Holstein","Female","140","0.948862007397802","0.913373265774473","0.98435074902113","5"
"Never","1994","Hamburg","Male","61","0.962546329178938","0.916388069262471","1.0087045890954","5"
"Never","1994","Hamburg","Female","75","0.960188015592358","0.916798395969928","1.00357763521479","5"
"Never","1994","Lower Saxony","Male","414","0.862040922063953","0.831093250129115","0.89298859399879","5"
"Never","1994","Lower Saxony","Female","458","0.935174216709559","0.913351248989265","0.956997184429854","5"
"Never","1994","Bremen","Male","38","0.897360425767623","0.805576987376658","0.989143864158587","5"
"Never","1994","Bremen","Female","42","0.900702403310671","0.815203766282143","0.986201040339198","5"
"Never","1994","North Rhine-Westphalia","Male","1061","0.89517231032035","0.877679210554156","0.912665410086544","5"
"Never","1994","North Rhine-Westphalia","Female","1191","0.942063151283197","0.929188950696395","0.954937351869999","5"
"Never","1994","Hesse","Male","395","0.868492478886875","0.836986332756246","0.899998625017503","5"
"Never","1994","Hesse","Female","443","0.929618657018535","0.906419572819568","0.952817741217501","5"
"Never","1994","Rhineland-Palatinate,Saarland","Male","257","0.86006805671259","0.820613723500454","0.899522389924726","5"
"Never","1994","Rhineland-Palatinate,Saarland","Female","307","0.943516821513114","0.918495594550733","0.968538048475496","5"
"Never","1994","Baden-Württemberg","Male","784","0.906038721402429","0.886515463771672","0.925561979033186","5"
"Never","1994","Baden-Württemberg","Female","810","0.931200800701342","0.914391394356252","0.948010207046431","5"
"Never","1994","Bavaria","Male","656","0.853277894897625","0.828188254664426","0.878367535130824","5"
"Never","1994","Bavaria","Female","748","0.922687514904279","0.904237263446532","0.941137766362027","5"
"Never","1994","Berlin","Male","231","0.89448179449093","0.856625571452667","0.932338017529194","5"
"Never","1994","Berlin","Female","271","0.936400630024084","0.908313565793153","0.964487694255015","5"
"Never","1994","Brandenburg","Male","260","0.87624062290756","0.838469715851526","0.914011529963593","5"
"Rarely","1994","Thuringia","Female","10","","","","4"
"Rarely","1994","Hamburg","Male","2","","","","4"
"Rarely","1994","Hamburg","Female","3","","","","4"
"Rarely","1994","Lower Saxony","Male","45","0.110043779295102","0.0819599728215265","0.138127585768678","4"
"Rarely","1994","Lower Saxony","Female","21","","","","4"
"Rarely","1994","Bremen","Male","1","","","","4"
"Rarely","1994","Bremen","Female","4","","","","4"
"Rarely","1994","North Rhine-Westphalia","Male","87","0.0777662366815567","0.062473278670569","0.0930591946925444","4"
"Rarely","1994","Mecklenburg-Western Pomerania","Female","8","","","","4"
"Rarely","1994","Saxony","Male","42","0.0779623791782349","0.0549622803439821","0.100962478012488","4"
"Rarely","1994","Saxony","Female","26","","","","4"
"Rarely","1994","Saxony-Anhalt","Male","20","","","","4"
"Rarely","1994","Saxony-Anhalt","Female","17","","","","4"
"Rarely","1994","Thuringia","Male","20","","","","4"
"Rarely","1994","Schleswig-Holstein","Male","13","","","","4"
"Rarely","1994","Schleswig-Holstein","Female","5","","","","4"
"Rarely","1994","North Rhine-Westphalia","Female","58","0.043947919421999","0.0326522294617334","0.0552436093822646","4"
"Rarely","1994","Hesse","Male","35","0.0963576738462453","0.0688484465069778","0.123866901185513","4"
"Rarely","1994","Hesse","Female","19","","","","4"
"Rarely","1994","Rhineland-Palatinate,Saarland","Male","25","","","","4"
"Rarely","1994","Rhineland-Palatinate,Saarland","Female","13","","","","4"
"Rarely","1994","Baden-Württemberg","Male","55","0.0735042868738462","0.056042749073733","0.0909658246739594","4"
"Rarely","1994","Baden-Württemberg","Female","54","0.058944907086953","0.0433037210362573","0.0745860931376487","4"
"Rarely","1994","Bavaria","Male","89","0.123264700926709","0.0999540167113223","0.146575385142096","4"
"Rarely","1994","Brandenburg","Female","16","","","","4"
"Rarely","1994","Mecklenburg-Western Pomerania","Male","11","","","","4"
"Rarely","1994","Brandenburg","Male","16","","","","4"
"Rarely","1994","Bavaria","Female","45","0.0576962577351919","0.0415890807279732","0.0738034347424106","4"
"Rarely","1994","Berlin","Male","12","","","","4"
"Rarely","1994","Berlin","Female","11","","","","4"
"Daily","1995","North Rhine-Westphalia","Male","3","","","","1"
"Daily","1995","North Rhine-Westphalia","Female","1","","","","1"
"Daily","1995","Hesse","Male","","","","","1"
"Daily","1995","Hesse","Female","1","","","","1"
"Daily","1995","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Daily","1995","Rhineland-Palatinate,Saarland","Female","1","","","","1"
"Daily","1995","Baden-Württemberg","Male","3","","","","1"
"Daily","1995","Baden-Württemberg","Female","1","","","","1"
"Daily","1995","Bavaria","Male","3","","","","1"
"Daily","1995","Bavaria","Female","1","","","","1"
"Daily","1995","Berlin","Male","","","","","1"
"Daily","1995","Berlin","Female","","","","","1"
"Daily","1995","Brandenburg","Male","1","","","","1"
"Daily","1995","Schleswig-Holstein","Male","1","","","","1"
"Daily","1995","Schleswig-Holstein","Female","","","","","1"
"Daily","1995","Hamburg","Male","","","","","1"
"Daily","1995","Hamburg","Female","","","","","1"
"Daily","1995","Lower Saxony","Male","","","","","1"
"Daily","1995","Lower Saxony","Female","3","","","","1"
"Daily","1995","Bremen","Male","","","","","1"
"Daily","1995","Bremen","Female","1","","","","1"
"Daily","1995","Brandenburg","Female","","","","","1"
"Daily","1995","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1995","Mecklenburg-Western Pomerania","Female","1","","","","1"
"Daily","1995","Saxony","Male","3","","","","1"
"Daily","1995","Saxony","Female","","","","","1"
"Daily","1995","Saxony-Anhalt","Male","1","","","","1"
"Daily","1995","Saxony-Anhalt","Female","","","","","1"
"Daily","1995","Thuringia","Male","2","","","","1"
"Daily","1995","Thuringia","Female","","","","","1"
"Min 1x per month","1995","Schleswig-Holstein","Male","5","","","","3"
"Min 1x per month","1995","Schleswig-Holstein","Female","1","","","","3"
"Min 1x per month","1995","Hamburg","Male","1","","","","3"
"Min 1x per month","1995","Hamburg","Female","","","","","3"
"Min 1x per month","1995","Brandenburg","Female","6","","","","3"
"Min 1x per month","1995","Mecklenburg-Western Pomerania","Male","7","","","","3"
"Min 1x per month","1995","Mecklenburg-Western Pomerania","Female","7","","","","3"
"Min 1x per month","1995","Saxony","Male","13","","","","3"
"Min 1x per month","1995","North Rhine-Westphalia","Male","21","","","","3"
"Min 1x per month","1995","North Rhine-Westphalia","Female","18","","","","3"
"Min 1x per month","1995","Hesse","Male","11","","","","3"
"Min 1x per month","1995","Hesse","Female","2","","","","3"
"Min 1x per month","1995","Rhineland-Palatinate,Saarland","Male","12","","","","3"
"Min 1x per month","1995","Rhineland-Palatinate,Saarland","Female","1","","","","3"
"Min 1x per month","1995","Baden-Württemberg","Male","16","","","","3"
"Min 1x per month","1995","Baden-Württemberg","Female","8","","","","3"
"Min 1x per month","1995","Bavaria","Male","22","","","","3"
"Min 1x per month","1995","Bavaria","Female","7","","","","3"
"Min 1x per month","1995","Berlin","Male","8","","","","3"
"Min 1x per month","1995","Berlin","Female","7","","","","3"
"Min 1x per month","1995","Brandenburg","Male","11","","","","3"
"Min 1x per month","1995","Saxony","Female","8","","","","3"
"Min 1x per month","1995","Saxony-Anhalt","Male","7","","","","3"
"Min 1x per month","1995","Saxony-Anhalt","Female","7","","","","3"
"Min 1x per month","1995","Thuringia","Male","8","","","","3"
"Min 1x per month","1995","Thuringia","Female","6","","","","3"
"Min 1x per month","1995","Bremen","Female","2","","","","3"
"Min 1x per month","1995","Bremen","Male","2","","","","3"
"Min 1x per month","1995","Lower Saxony","Female","7","","","","3"
"Min 1x per month","1995","Lower Saxony","Male","10","","","","3"
"Min 1x per week","1995","Brandenburg","Female","3","","","","2"
"Min 1x per week","1995","Mecklenburg-Western Pomerania","Male","6","","","","2"
"Min 1x per week","1995","Mecklenburg-Western Pomerania","Female","1","","","","2"
"Min 1x per week","1995","Saxony","Male","7","","","","2"
"Min 1x per week","1995","Saxony","Female","2","","","","2"
"Min 1x per week","1995","Saxony-Anhalt","Male","6","","","","2"
"Min 1x per week","1995","Saxony-Anhalt","Female","2","","","","2"
"Min 1x per week","1995","North Rhine-Westphalia","Male","17","","","","2"
"Min 1x per week","1995","North Rhine-Westphalia","Female","5","","","","2"
"Min 1x per week","1995","Hesse","Male","8","","","","2"
"Min 1x per week","1995","Hesse","Female","2","","","","2"
"Min 1x per week","1995","Rhineland-Palatinate,Saarland","Male","7","","","","2"
"Min 1x per week","1995","Thuringia","Male","3","","","","2"
"Min 1x per week","1995","Thuringia","Female","","","","","2"
"Min 1x per week","1995","Schleswig-Holstein","Male","1","","","","2"
"Min 1x per week","1995","Schleswig-Holstein","Female","1","","","","2"
"Min 1x per week","1995","Hamburg","Male","","","","","2"
"Min 1x per week","1995","Hamburg","Female","","","","","2"
"Min 1x per week","1995","Lower Saxony","Male","10","","","","2"
"Min 1x per week","1995","Lower Saxony","Female","3","","","","2"
"Min 1x per week","1995","Bremen","Male","1","","","","2"
"Min 1x per week","1995","Bremen","Female","","","","","2"
"Min 1x per week","1995","Baden-Württemberg","Male","4","","","","2"
"Min 1x per week","1995","Baden-Württemberg","Female","2","","","","2"
"Min 1x per week","1995","Bavaria","Male","14","","","","2"
"Min 1x per week","1995","Bavaria","Female","2","","","","2"
"Min 1x per week","1995","Berlin","Male","6","","","","2"
"Min 1x per week","1995","Rhineland-Palatinate,Saarland","Female","3","","","","2"
"Min 1x per week","1995","Berlin","Female","3","","","","2"
"Min 1x per week","1995","Brandenburg","Male","4","","","","2"
"Never","1995","Mecklenburg-Western Pomerania","Female","189","0.903981212561531","0.864322558455549","0.943639866667513","5"
"Never","1995","Thuringia","Male","276","0.906455452590451","0.874195895964976","0.938715009215927","5"
"Never","1995","Thuringia","Female","308","0.943324811671881","0.918564688417263","0.9680849349265","5"
"Never","1995","Mecklenburg-Western Pomerania","Male","177","0.867251479171493","0.820690685224787","0.9138122731182","5"
"Never","1995","Saxony","Male","444","0.863751718984076","0.834094767295706","0.893408670672447","5"
"Never","1995","Saxony","Female","534","0.927763898364803","0.906677388963873","0.948850407765733","5"
"Never","1995","Saxony-Anhalt","Male","270","0.863886940212107","0.826138691077557","0.901635189346656","5"
"Never","1995","Saxony-Anhalt","Female","329","0.908135891385528","0.878784751391939","0.937487031379118","5"
"Never","1995","Brandenburg","Female","275","0.887682917068207","0.852362099941813","0.9230037341946","5"
"Never","1995","Schleswig-Holstein","Male","111","0.790473480206295","0.721047139175019","0.85989982123757","5"
"Never","1995","Schleswig-Holstein","Female","136","0.867387098751594","0.812746355186007","0.922027842317181","5"
"Never","1995","Hamburg","Male","55","0.865132155341431","0.780106951478024","0.950157359204837","5"
"Never","1995","Hamburg","Female","65","0.94880727885081","0.896424715596902","1.00118984210472","5"
"Never","1995","Lower Saxony","Male","444","0.82701643319278","0.794507260861175","0.859525605524385","5"
"Never","1995","Lower Saxony","Female","485","0.909425323967631","0.884804660275273","0.934045987659989","5"
"Never","1995","Bremen","Male","40","0.887802522640396","0.794547660087079","0.981057385193714","5"
"Never","1995","Bremen","Female","47","0.882155744067187","0.794521617663722","0.969789870470652","5"
"Never","1995","North Rhine-Westphalia","Male","1079","0.85920258582451","0.839859203303315","0.878545968345704","5"
"Never","1995","North Rhine-Westphalia","Female","1239","0.921796978077736","0.907421407223113","0.936172548932359","5"
"Never","1995","Hesse","Male","396","0.837477561961762","0.803615848993869","0.871339274929656","5"
"Never","1995","Hesse","Female","453","0.885366014500878","0.857215673558251","0.913516355443505","5"
"Never","1995","Rhineland-Palatinate,Saarland","Male","280","0.819109861290075","0.778194427910623","0.860025294669527","5"
"Never","1995","Rhineland-Palatinate,Saarland","Female","338","0.913003529708854","0.884169714996228","0.94183734442148","5"
"Never","1995","Baden-Württemberg","Male","795","0.873539022546432","0.851591800417457","0.895486244675408","5"
"Never","1995","Baden-Württemberg","Female","861","0.917396838409214","0.899598998750043","0.935194678068384","5"
"Never","1995","Bavaria","Male","691","0.836986625821874","0.811766028807439","0.862207222836309","5"
"Never","1995","Bavaria","Female","790","0.912565507696479","0.893686798943107","0.93144421644985","5"
"Never","1995","Berlin","Male","237","0.87934128670881","0.840270645613208","0.918411927804413","5"
"Never","1995","Berlin","Female","272","0.925351570094132","0.895461041987184","0.955242098201081","5"
"Never","1995","Brandenburg","Male","239","0.851686104685923","0.810056740591912","0.893315468779935","5"
"Rarely","1995","North Rhine-Westphalia","Male","122","0.106765434877145","0.0895908839551684","0.123939985799122","4"
"Rarely","1995","North Rhine-Westphalia","Female","77","0.0596261962221782","0.046947794587851","0.0723045978565053","4"
"Rarely","1995","Hesse","Male","41","0.107803628592454","0.0793385370012278","0.13626872018368","4"
