"pli0097_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1995","Saxony","indirect migration background","","","","","1"
"Daily","1995","Saxony-Anhalt","no migration background","1","","","","1"
"Daily","1995","Saxony-Anhalt","direct migration background","","","","","1"
"Daily","1995","Saxony-Anhalt","indirect migration background","","","","","1"
"Daily","1995","Thuringia","no migration background","2","","","","1"
"Daily","1995","Thuringia","direct migration background","","","","","1"
"Daily","1995","Thuringia","indirect migration background","","","","","1"
"Daily","1995","Schleswig-Holstein","no migration background","1","","","","1"
"Daily","1995","Schleswig-Holstein","direct migration background","","","","","1"
"Daily","1995","Schleswig-Holstein","indirect migration background","","","","","1"
"Daily","1995","Hamburg","no migration background","","","","","1"
"Daily","1995","Hamburg","direct migration background","","","","","1"
"Daily","1995","Hamburg","indirect migration background","","","","","1"
"Daily","1995","Lower Saxony","no migration background","3","","","","1"
"Daily","1995","Lower Saxony","direct migration background","","","","","1"
"Daily","1995","Lower Saxony","indirect migration background","","","","","1"
"Daily","1995","Bremen","no migration background","1","","","","1"
"Daily","1995","Bremen","direct migration background","","","","","1"
"Daily","1995","Bremen","indirect migration background","","","","","1"
"Daily","1995","North Rhine-Westphalia","no migration background","3","","","","1"
"Min 1x per month","1995","Mecklenburg-Western Pomerania","no migration background","14","","","","3"
"Min 1x per month","1995","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Min 1x per month","1995","Brandenburg","indirect migration background","","","","","3"
"Min 1x per month","1995","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Min 1x per month","1995","Saxony","no migration background","20","","","","3"
"Min 1x per month","1995","Saxony","direct migration background","1","","","","3"
"Min 1x per month","1995","Schleswig-Holstein","no migration background","5","","","","3"
"Min 1x per month","1995","Schleswig-Holstein","direct migration background","1","","","","3"
"Min 1x per month","1995","Schleswig-Holstein","indirect migration background","","","","","3"
"Min 1x per month","1995","Hamburg","no migration background","1","","","","3"
"Min 1x per month","1995","Hamburg","direct migration background","","","","","3"
"Min 1x per month","1995","Hamburg","indirect migration background","","","","","3"
"Min 1x per month","1995","North Rhine-Westphalia","direct migration background","6","","","","3"
"Min 1x per month","1995","North Rhine-Westphalia","indirect migration background","3","","","","3"
"Min 1x per month","1995","Hesse","no migration background","11","","","","3"
"Min 1x per month","1995","Hesse","direct migration background","2","","","","3"
"Min 1x per month","1995","Hesse","indirect migration background","","","","","3"
"Min 1x per month","1995","Rhineland-Palatinate,Saarland","no migration background","12","","","","3"
"Min 1x per month","1995","Rhineland-Palatinate,Saarland","direct migration background","1","","","","3"
"Min 1x per month","1995","Rhineland-Palatinate,Saarland","indirect migration background","","","","","3"
"Min 1x per month","1995","Baden-Württemberg","no migration background","18","","","","3"
"Min 1x per month","1995","Baden-Württemberg","direct migration background","5","","","","3"
"Min 1x per month","1995","Baden-Württemberg","indirect migration background","1","","","","3"
"Min 1x per month","1995","Bavaria","no migration background","23","","","","3"
"Min 1x per month","1995","Bavaria","direct migration background","6","","","","3"
"Min 1x per month","1995","Bavaria","indirect migration background","","","","","3"
"Min 1x per month","1995","Berlin","no migration background","15","","","","3"
"Min 1x per month","1995","Berlin","direct migration background","","","","","3"
"Min 1x per month","1995","Berlin","indirect migration background","","","","","3"
"Min 1x per month","1995","Brandenburg","no migration background","15","","","","3"
"Min 1x per month","1995","Brandenburg","direct migration background","2","","","","3"
"Min 1x per month","1995","Saxony","indirect migration background","","","","","3"
"Min 1x per month","1995","Saxony-Anhalt","no migration background","14","","","","3"
"Min 1x per month","1995","Saxony-Anhalt","direct migration background","","","","","3"
"Min 1x per month","1995","Saxony-Anhalt","indirect migration background","","","","","3"
"Min 1x per month","1995","Thuringia","no migration background","13","","","","3"
"Min 1x per month","1995","Thuringia","direct migration background","1","","","","3"
"Min 1x per month","1995","Thuringia","indirect migration background","","","","","3"
"Min 1x per month","1995","Lower Saxony","no migration background","15","","","","3"
"Min 1x per month","1995","Lower Saxony","direct migration background","2","","","","3"
"Min 1x per month","1995","Lower Saxony","indirect migration background","","","","","3"
"Min 1x per month","1995","Bremen","no migration background","4","","","","3"
"Min 1x per month","1995","Bremen","direct migration background","","","","","3"
"Min 1x per month","1995","Bremen","indirect migration background","","","","","3"
"Min 1x per month","1995","North Rhine-Westphalia","no migration background","30","0.0176041293858605","0.0114250466977706","0.0237832120739503","3"
"Min 1x per week","1995","Mecklenburg-Western Pomerania","no migration background","7","","","","2"
"Min 1x per week","1995","Brandenburg","indirect migration background","","","","","2"
"Min 1x per week","1995","Saxony","direct migration background","","","","","2"
"Min 1x per week","1995","Saxony","no migration background","9","","","","2"
"Min 1x per week","1995","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Min 1x per week","1995","Saxony","indirect migration background","","","","","2"
"Min 1x per week","1995","Saxony-Anhalt","no migration background","8","","","","2"
"Min 1x per week","1995","Saxony-Anhalt","direct migration background","","","","","2"
"Min 1x per week","1995","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Min 1x per week","1995","North Rhine-Westphalia","direct migration background","2","","","","2"
"Min 1x per week","1995","North Rhine-Westphalia","indirect migration background","","","","","2"
"Min 1x per week","1995","Hesse","no migration background","10","","","","2"
"Min 1x per week","1995","Saxony-Anhalt","indirect migration background","","","","","2"
"Min 1x per week","1995","Thuringia","no migration background","3","","","","2"
"Min 1x per week","1995","Thuringia","direct migration background","","","","","2"
"Min 1x per week","1995","Thuringia","indirect migration background","","","","","2"
"Min 1x per week","1995","Hesse","direct migration background","","","","","2"
"Min 1x per week","1995","Hesse","indirect migration background","","","","","2"
"Min 1x per week","1995","Rhineland-Palatinate,Saarland","no migration background","5","","","","2"
"Min 1x per week","1995","Schleswig-Holstein","no migration background","2","","","","2"
"Min 1x per week","1995","Schleswig-Holstein","direct migration background","","","","","2"
"Min 1x per week","1995","Schleswig-Holstein","indirect migration background","","","","","2"
"Min 1x per week","1995","Hamburg","no migration background","","","","","2"
"Min 1x per week","1995","Hamburg","direct migration background","","","","","2"
"Min 1x per week","1995","Hamburg","indirect migration background","","","","","2"
"Min 1x per week","1995","Lower Saxony","no migration background","11","","","","2"
"Min 1x per week","1995","Lower Saxony","direct migration background","1","","","","2"
"Min 1x per week","1995","Lower Saxony","indirect migration background","1","","","","2"
"Min 1x per week","1995","Bremen","no migration background","1","","","","2"
"Min 1x per week","1995","Bremen","direct migration background","","","","","2"
"Min 1x per week","1995","Bremen","indirect migration background","","","","","2"
"Min 1x per week","1995","North Rhine-Westphalia","no migration background","20","","","","2"
"Min 1x per week","1995","Rhineland-Palatinate,Saarland","direct migration background","5","","","","2"
"Min 1x per week","1995","Rhineland-Palatinate,Saarland","indirect migration background","","","","","2"
"Min 1x per week","1995","Baden-Württemberg","no migration background","5","","","","2"
"Min 1x per week","1995","Baden-Württemberg","direct migration background","1","","","","2"
"Min 1x per week","1995","Baden-Württemberg","indirect migration background","","","","","2"
"Min 1x per week","1995","Bavaria","no migration background","10","","","","2"
"Min 1x per week","1995","Bavaria","direct migration background","6","","","","2"
"Min 1x per week","1995","Bavaria","indirect migration background","","","","","2"
"Min 1x per week","1995","Berlin","no migration background","8","","","","2"
"Min 1x per week","1995","Berlin","direct migration background","1","","","","2"
"Min 1x per week","1995","Berlin","indirect migration background","","","","","2"
"Min 1x per week","1995","Brandenburg","no migration background","7","","","","2"
"Min 1x per week","1995","Brandenburg","direct migration background","","","","","2"
"Never","1995","Brandenburg","indirect migration background","2","","","","5"
"Never","1995","Mecklenburg-Western Pomerania","no migration background","350","0.8816242852416","0.849965723933696","0.913282846549504","5"
"Never","1995","Mecklenburg-Western Pomerania","direct migration background","14","","","","5"
"Never","1995","Mecklenburg-Western Pomerania","indirect migration background","2","","","","5"
"Never","1995","Saxony","no migration background","937","0.898993917796741","0.880732504376868","0.917255331216614","5"
"Never","1995","Saxony","direct migration background","37","0.873155385215358","0.772507366244855","0.973803404185861","5"
"Never","1995","Saxony","indirect migration background","4","","","","5"
"Never","1995","Saxony-Anhalt","no migration background","568","0.886099438169214","0.861732797205245","0.910466079133184","5"
"Never","1995","Saxony-Anhalt","direct migration background","29","","","","5"
"Never","1995","Saxony-Anhalt","indirect migration background","2","","","","5"
"Never","1995","Thuringia","no migration background","556","0.922275437315208","0.90118370595133","0.943367168679087","5"
"Never","1995","Thuringia","direct migration background","24","","","","5"
"Never","1995","Thuringia","indirect migration background","4","","","","5"
"Never","1995","Schleswig-Holstein","no migration background","212","0.8378725817174","0.791436279285234","0.884308884149566","5"
"Never","1995","Schleswig-Holstein","direct migration background","29","","","","5"
"Never","1995","Schleswig-Holstein","indirect migration background","6","","","","5"
"Never","1995","Hamburg","no migration background","84","0.896997297472521","0.835549822505509","0.958444772439533","5"
"Never","1995","Hamburg","direct migration background","28","","","","5"
"Never","1995","Hamburg","indirect migration background","8","","","","5"
"Never","1995","Lower Saxony","no migration background","697","0.857655759631926","0.83338306395128","0.881928455312571","5"
"Never","1995","Lower Saxony","direct migration background","201","0.955690112592544","0.927923958273385","0.983456266911702","5"
"Never","1995","Lower Saxony","indirect migration background","31","0.786600400813803","0.650866618796906","0.9223341828307","5"
"Never","1995","Bremen","no migration background","64","0.853029515831406","0.771805631881919","0.934253399780893","5"
"Never","1995","Bremen","direct migration background","20","","","","5"
"Never","1995","Bremen","indirect migration background","3","","","","5"
"Never","1995","North Rhine-Westphalia","no migration background","1529","0.882940788635316","0.867835046947016","0.898046530323615","5"
"Never","1995","North Rhine-Westphalia","direct migration background","645","0.945357510101095","0.928362047031506","0.962352973170684","5"
"Never","1995","North Rhine-Westphalia","indirect migration background","144","0.882564518924086","0.831882356139369","0.933246681708803","5"
"Never","1995","Hesse","no migration background","488","0.83479441208848","0.804440386091518","0.865148438085442","5"
"Never","1995","Hesse","direct migration background","312","0.950099508614616","0.926390546439517","0.973808470789715","5"
"Never","1995","Hesse","indirect migration background","49","1","1","1","5"
"Never","1995","Rhineland-Palatinate,Saarland","no migration background","441","0.86150936063473","0.831648195998113","0.891370525271348","5"
"Never","1995","Rhineland-Palatinate,Saarland","direct migration background","162","0.88297056282789","0.835746998826417","0.930194126829363","5"
"Never","1995","Rhineland-Palatinate,Saarland","indirect migration background","15","","","","5"
"Never","1995","Baden-Württemberg","no migration background","880","0.879293150415598","0.858947912240716","0.89963838859048","5"
"Never","1995","Baden-Württemberg","direct migration background","655","0.948824543811744","0.932334954104455","0.965314133519034","5"
"Never","1995","Baden-Württemberg","indirect migration background","121","0.964657242673173","0.932794000461129","0.996520484885216","5"
"Never","1995","Bavaria","no migration background","1046","0.872374132345194","0.853565566401445","0.891182698288943","5"
"Never","1995","Bavaria","direct migration background","360","0.895674830412443","0.865529553475686","0.9258201073492","5"
"Never","1995","Bavaria","indirect migration background","75","0.853708699900442","0.776268368846131","0.931149030954752","5"
"Never","1995","Berlin","no migration background","403","0.897782233775121","0.869824078243137","0.925740389307105","5"
"Never","1995","Berlin","direct migration background","91","0.929887491960228","0.879074451960099","0.980700531960357","5"
"Never","1995","Berlin","indirect migration background","15","","","","5"
"Never","1995","Brandenburg","no migration background","498","0.870001912976318","0.842345076129984","0.897658749822653","5"
"Never","1995","Brandenburg","direct migration background","14","","","","5"
"Rarely","1995","Baden-Württemberg","direct migration background","22","","","","4"
"Rarely","1995","Brandenburg","indirect migration background","","","","","4"
"Rarely","1995","Saxony-Anhalt","direct migration background","5","","","","4"
"Rarely","1995","Saxony-Anhalt","indirect migration background","","","","","4"
"Rarely","1995","Thuringia","no migration background","45","0.0577244157257729","0.0393517781358476","0.0760970533156981","4"
"Rarely","1995","Thuringia","direct migration background","","","","","4"
"Rarely","1995","Thuringia","indirect migration background","","","","","4"
"Rarely","1995","North Rhine-Westphalia","direct migration background","33","0.0437116886803093","0.0284232569418482","0.0590001204187705","4"
"Rarely","1995","North Rhine-Westphalia","indirect migration background","8","","","","4"
"Rarely","1995","Baden-Württemberg","indirect migration background","6","","","","4"
"Rarely","1995","Bavaria","no migration background","127","0.0968018682041275","0.0801344502732455","0.11346928613501","4"
"Rarely","1995","Bavaria","direct migration background","22","","","","4"
"Rarely","1995","Mecklenburg-Western Pomerania","no migration background","28","","","","4"
"Rarely","1995","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"Rarely","1995","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"Rarely","1995","Saxony","no migration background","77","0.0712919761482125","0.0556985275072612","0.0868854247891637","4"
"Rarely","1995","Saxony","direct migration background","4","","","","4"
"Rarely","1995","Saxony","indirect migration background","1","","","","4"
"Rarely","1995","Saxony-Anhalt","no migration background","62","0.0774925845078474","0.0569853779375194","0.0979997910781753","4"
"Rarely","1995","Hesse","no migration background","65","0.126184327322651","0.0990432681384381","0.153325386506863","4"
"Rarely","1995","Hesse","direct migration background","10","","","","4"
"Rarely","1995","Hesse","indirect migration background","","","","","4"
"Rarely","1995","Rhineland-Palatinate,Saarland","no migration background","55","0.108098802438156","0.081255536969652","0.134942067906659","4"
"Rarely","1995","Rhineland-Palatinate,Saarland","direct migration background","10","","","","4"
"Rarely","1995","Rhineland-Palatinate,Saarland","indirect migration background","","","","","4"
"Rarely","1995","Baden-Württemberg","no migration background","82","0.0957104529965053","0.0773381577078387","0.114082748285172","4"
"Rarely","1995","Schleswig-Holstein","no migration background","22","","","","4"
"Rarely","1995","Schleswig-Holstein","direct migration background","1","","","","4"
"Rarely","1995","Schleswig-Holstein","indirect migration background","1","","","","4"
"Rarely","1995","Hamburg","no migration background","9","","","","4"
"Rarely","1995","Bavaria","indirect migration background","5","","","","4"
"Rarely","1995","Berlin","no migration background","25","","","","4"
"Rarely","1995","Berlin","direct migration background","5","","","","4"
"Rarely","1995","Berlin","indirect migration background","1","","","","4"
"Rarely","1995","Brandenburg","no migration background","47","0.0899283783086175","0.0664017283892493","0.113455028227986","4"
"Rarely","1995","Brandenburg","direct migration background","1","","","","4"
"Rarely","1995","Hamburg","direct migration background","","","","","4"
"Rarely","1995","Hamburg","indirect migration background","","","","","4"
"Rarely","1995","Lower Saxony","no migration background","70","0.109591383547463","0.087890648774445","0.131292118320482","4"
"Rarely","1995","Lower Saxony","direct migration background","7","","","","4"
"Rarely","1995","Lower Saxony","indirect migration background","3","","","","4"
"Rarely","1995","Bremen","no migration background","3","","","","4"
"Rarely","1995","Bremen","direct migration background","","","","","4"
"Rarely","1995","Bremen","indirect migration background","","","","","4"
"Rarely","1995","North Rhine-Westphalia","no migration background","158","0.0892063537090385","0.0758132461371646","0.102599461280912","4"
"Daily","1996","North Rhine-Westphalia","direct migration background","","","","","1"
"Daily","1996","North Rhine-Westphalia","indirect migration background","","","","","1"
"Daily","1996","Hesse","no migration background","","","","","1"
"Daily","1996","Hesse","direct migration background","","","","","1"
"Daily","1996","Hesse","indirect migration background","","","","","1"
"Daily","1996","Rhineland-Palatinate,Saarland","no migration background","","","","","1"
"Daily","1996","Rhineland-Palatinate,Saarland","direct migration background","","","","","1"
"Daily","1996","Rhineland-Palatinate,Saarland","indirect migration background","","","","","1"
"Daily","1996","Baden-Württemberg","no migration background","","","","","1"
"Daily","1996","Baden-Württemberg","direct migration background","","","","","1"
"Daily","1996","Baden-Württemberg","indirect migration background","","","","","1"
"Daily","1996","Bavaria","no migration background","","","","","1"
"Daily","1996","Bavaria","direct migration background","","","","","1"
"Daily","1996","Bavaria","indirect migration background","","","","","1"
"Daily","1996","Berlin","no migration background","","","","","1"
"Daily","1996","Berlin","direct migration background","","","","","1"
"Daily","1996","Berlin","indirect migration background","","","","","1"
"Daily","1996","Brandenburg","no migration background","","","","","1"
"Daily","1996","Brandenburg","direct migration background","","","","","1"
"Daily","1996","Brandenburg","indirect migration background","","","","","1"
"Daily","1996","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Daily","1996","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Daily","1996","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Daily","1996","Saxony","no migration background","","","","","1"
"Daily","1996","Saxony","direct migration background","","","","","1"
"Daily","1996","Saxony","indirect migration background","","","","","1"
"Daily","1996","Saxony-Anhalt","no migration background","","","","","1"
"Daily","1996","Saxony-Anhalt","direct migration background","","","","","1"
"Daily","1996","Saxony-Anhalt","indirect migration background","","","","","1"
"Daily","1996","Thuringia","no migration background","","","","","1"
"Daily","1996","Thuringia","direct migration background","","","","","1"
"Daily","1996","Thuringia","indirect migration background","","","","","1"
"Daily","1996","Schleswig-Holstein","no migration background","","","","","1"
"Daily","1996","Schleswig-Holstein","direct migration background","","","","","1"
"Daily","1996","Schleswig-Holstein","indirect migration background","","","","","1"
"Daily","1996","Hamburg","indirect migration background","","","","","1"
"Daily","1996","Lower Saxony","no migration background","","","","","1"
"Daily","1996","Lower Saxony","direct migration background","","","","","1"
"Daily","1996","Lower Saxony","indirect migration background","","","","","1"
"Daily","1996","Bremen","no migration background","","","","","1"
"Daily","1996","Bremen","direct migration background","","","","","1"
"Daily","1996","Bremen","indirect migration background","","","","","1"
"Daily","1996","North Rhine-Westphalia","no migration background","","","","","1"
"Daily","1996","Hamburg","no migration background","","","","","1"
"Daily","1996","Hamburg","direct migration background","","","","","1"
"Min 1x per month","1996","Saxony","direct migration background","","","","","3"
"Min 1x per month","1996","Brandenburg","indirect migration background","","","","","3"
"Min 1x per month","1996","Mecklenburg-Western Pomerania","no migration background","13","","","","3"
"Min 1x per month","1996","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Min 1x per month","1996","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Min 1x per month","1996","Saxony","no migration background","17","","","","3"
"Min 1x per month","1996","Schleswig-Holstein","no migration background","2","","","","3"
"Min 1x per month","1996","Schleswig-Holstein","direct migration background","","","","","3"
"Min 1x per month","1996","Schleswig-Holstein","indirect migration background","","","","","3"
"Min 1x per month","1996","Hamburg","no migration background","1","","","","3"
"Min 1x per month","1996","Hamburg","direct migration background","","","","","3"
"Min 1x per month","1996","Hamburg","indirect migration background","","","","","3"
"Min 1x per month","1996","North Rhine-Westphalia","direct migration background","3","","","","3"
"Min 1x per month","1996","North Rhine-Westphalia","indirect migration background","","","","","3"
"Min 1x per month","1996","Hesse","no migration background","14","","","","3"
"Min 1x per month","1996","Hesse","direct migration background","","","","","3"
"Min 1x per month","1996","Hesse","indirect migration background","","","","","3"
"Min 1x per month","1996","Rhineland-Palatinate,Saarland","no migration background","11","","","","3"
"Min 1x per month","1996","Rhineland-Palatinate,Saarland","direct migration background","1","","","","3"
"Min 1x per month","1996","Rhineland-Palatinate,Saarland","indirect migration background","","","","","3"
"Min 1x per month","1996","Baden-Württemberg","no migration background","15","","","","3"
"Min 1x per month","1996","Baden-Württemberg","direct migration background","4","","","","3"
"Min 1x per month","1996","Baden-Württemberg","indirect migration background","2","","","","3"
"Min 1x per month","1996","Bavaria","no migration background","21","","","","3"
"Min 1x per month","1996","Bavaria","direct migration background","2","","","","3"
"Min 1x per month","1996","Bavaria","indirect migration background","","","","","3"
"Min 1x per month","1996","Berlin","no migration background","13","","","","3"
"Min 1x per month","1996","Berlin","direct migration background","","","","","3"
"Min 1x per month","1996","Berlin","indirect migration background","","","","","3"
"Min 1x per month","1996","Brandenburg","no migration background","12","","","","3"
"Min 1x per month","1996","Brandenburg","direct migration background","1","","","","3"
"Min 1x per month","1996","Saxony","indirect migration background","","","","","3"
"Min 1x per month","1996","Saxony-Anhalt","no migration background","8","","","","3"
"Min 1x per month","1996","Saxony-Anhalt","direct migration background","1","","","","3"
"Min 1x per month","1996","Saxony-Anhalt","indirect migration background","","","","","3"
"Min 1x per month","1996","Thuringia","no migration background","13","","","","3"
"Min 1x per month","1996","Thuringia","direct migration background","","","","","3"
"Min 1x per month","1996","Thuringia","indirect migration background","","","","","3"
"Min 1x per month","1996","Lower Saxony","indirect migration background","","","","","3"
"Min 1x per month","1996","Lower Saxony","no migration background","7","","","","3"
"Min 1x per month","1996","Lower Saxony","direct migration background","1","","","","3"
"Min 1x per month","1996","Bremen","no migration background","","","","","3"
"Min 1x per month","1996","Bremen","direct migration background","","","","","3"
"Min 1x per month","1996","Bremen","indirect migration background","","","","","3"
"Min 1x per month","1996","North Rhine-Westphalia","no migration background","25","","","","3"
"Min 1x per week","1996","Brandenburg","indirect migration background","","","","","2"
"Min 1x per week","1996","Mecklenburg-Western Pomerania","no migration background","3","","","","2"
"Min 1x per week","1996","Saxony-Anhalt","direct migration background","","","","","2"
"Min 1x per week","1996","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Min 1x per week","1996","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Min 1x per week","1996","Saxony","no migration background","11","","","","2"
"Min 1x per week","1996","Saxony","direct migration background","","","","","2"
"Min 1x per week","1996","Saxony","indirect migration background","","","","","2"
"Min 1x per week","1996","Saxony-Anhalt","no migration background","7","","","","2"
"Min 1x per week","1996","North Rhine-Westphalia","direct migration background","1","","","","2"
"Min 1x per week","1996","North Rhine-Westphalia","indirect migration background","1","","","","2"
"Min 1x per week","1996","Hesse","no migration background","4","","","","2"
"Min 1x per week","1996","Hesse","direct migration background","","","","","2"
"Min 1x per week","1996","Hesse","indirect migration background","","","","","2"
"Min 1x per week","1996","Rhineland-Palatinate,Saarland","no migration background","6","","","","2"
"Min 1x per week","1996","Saxony-Anhalt","indirect migration background","","","","","2"
"Min 1x per week","1996","Thuringia","no migration background","3","","","","2"
"Min 1x per week","1996","Thuringia","direct migration background","","","","","2"
"Min 1x per week","1996","Thuringia","indirect migration background","","","","","2"
"Min 1x per week","1996","Schleswig-Holstein","no migration background","2","","","","2"
"Min 1x per week","1996","Schleswig-Holstein","direct migration background","","","","","2"
"Min 1x per week","1996","Schleswig-Holstein","indirect migration background","","","","","2"
"Min 1x per week","1996","Hamburg","no migration background","","","","","2"
"Min 1x per week","1996","Hamburg","direct migration background","","","","","2"
"Min 1x per week","1996","Hamburg","indirect migration background","","","","","2"
"Min 1x per week","1996","Lower Saxony","no migration background","12","","","","2"
"Min 1x per week","1996","Lower Saxony","direct migration background","","","","","2"
"Min 1x per week","1996","Lower Saxony","indirect migration background","","","","","2"
"Min 1x per week","1996","Bremen","no migration background","3","","","","2"
"Min 1x per week","1996","Bremen","direct migration background","","","","","2"
"Min 1x per week","1996","Bremen","indirect migration background","","","","","2"
"Min 1x per week","1996","North Rhine-Westphalia","no migration background","16","","","","2"
"Min 1x per week","1996","Rhineland-Palatinate,Saarland","direct migration background","1","","","","2"
"Min 1x per week","1996","Rhineland-Palatinate,Saarland","indirect migration background","","","","","2"
"Min 1x per week","1996","Baden-Württemberg","no migration background","5","","","","2"
"Min 1x per week","1996","Baden-Württemberg","direct migration background","2","","","","2"
"Min 1x per week","1996","Baden-Württemberg","indirect migration background","","","","","2"
"Min 1x per week","1996","Bavaria","no migration background","11","","","","2"
"Min 1x per week","1996","Bavaria","direct migration background","4","","","","2"
"Min 1x per week","1996","Bavaria","indirect migration background","1","","","","2"
"Min 1x per week","1996","Berlin","no migration background","3","","","","2"
"Min 1x per week","1996","Berlin","direct migration background","1","","","","2"
"Min 1x per week","1996","Berlin","indirect migration background","","","","","2"
"Min 1x per week","1996","Brandenburg","no migration background","6","","","","2"
"Min 1x per week","1996","Brandenburg","direct migration background","","","","","2"
"Never","1996","Mecklenburg-Western Pomerania","direct migration background","11","","","","5"
"Never","1996","Mecklenburg-Western Pomerania","indirect migration background","1","","","","5"
"Never","1996","Saxony","no migration background","954","0.912714195988345","0.895666208558989","0.929762183417701","5"
"Never","1996","Saxony","indirect migration background","8","","","","5"
"Never","1996","Saxony","direct migration background","36","0.86302175518035","0.757778848808148","0.968264661552552","5"
"Never","1996","Saxony-Anhalt","indirect migration background","1","","","","5"
"Never","1996","Thuringia","no migration background","569","0.912169988369326","0.890032536553702","0.934307440184951","5"
"Never","1996","Brandenburg","indirect migration background","4","","","","5"
"Never","1996","Mecklenburg-Western Pomerania","no migration background","337","0.863356705129945","0.829092257534935","0.897621152724955","5"
"Never","1996","Saxony-Anhalt","no migration background","566","0.900775562557885","0.877595463775747","0.923955661340023","5"
"Never","1996","Saxony-Anhalt","direct migration background","30","0.934930957492906","0.850778248836197","1.01908366614962","5"
"Never","1996","Thuringia","direct migration background","25","","","","5"
"Never","1996","Thuringia","indirect migration background","4","","","","5"
"Never","1996","Schleswig-Holstein","no migration background","211","0.862545552840954","0.819163427386855","0.905927678295054","5"
"Never","1996","Schleswig-Holstein","direct migration background","28","","","","5"
"Never","1996","Schleswig-Holstein","indirect migration background","6","","","","5"
"Never","1996","Hamburg","no migration background","87","0.909568452427792","0.851279762730708","0.967857142124876","5"
"Never","1996","Hamburg","direct migration background","25","","","","5"
"Never","1996","Hamburg","indirect migration background","6","","","","5"
"Never","1996","Lower Saxony","no migration background","730","0.876183711777336","0.853570837684098","0.898796585870575","5"
"Never","1996","Lower Saxony","direct migration background","190","0.946176495762538","0.914583404805569","0.977769586719506","5"
"Never","1996","Lower Saxony","indirect migration background","33","0.983345860756562","0.940949526103797","1.02574219540933","5"
"Never","1996","Bremen","no migration background","62","0.85281113267478","0.770400579597777","0.935221685751784","5"
"Never","1996","Bremen","direct migration background","19","","","","5"
"Never","1996","Bremen","indirect migration background","4","","","","5"
"Never","1996","North Rhine-Westphalia","no migration background","1541","0.880330417591006","0.865062212942827","0.895598622239186","5"
"Never","1996","North Rhine-Westphalia","direct migration background","619","0.936741283848097","0.918113285595979","0.955369282100215","5"
"Never","1996","North Rhine-Westphalia","indirect migration background","152","0.937132488332294","0.899755507625912","0.974509469038677","5"
"Never","1996","Hesse","no migration background","489","0.860585151640443","0.83202402685109","0.889146276429796","5"
"Never","1996","Hesse","direct migration background","276","0.94224507489911","0.915488339995732","0.969001809802488","5"
"Never","1996","Hesse","indirect migration background","52","0.976692671634154","0.936818473896534","1.01656686937177","5"
"Never","1996","Rhineland-Palatinate,Saarland","no migration background","450","0.908506794556405","0.883484823670388","0.933528765442422","5"
"Never","1996","Rhineland-Palatinate,Saarland","direct migration background","161","0.943865056277514","0.908849127780387","0.978880984774642","5"
"Never","1996","Rhineland-Palatinate,Saarland","indirect migration background","15","","","","5"
"Never","1996","Baden-Württemberg","no migration background","826","0.863221801246441","0.841336993201205","0.885106609291677","5"
"Never","1996","Baden-Württemberg","direct migration background","600","0.932145491741431","0.912538057942074","0.951752925540789","5"
"Never","1996","Baden-Württemberg","indirect migration background","122","0.91832940964124","0.87161044395756","0.96504837532492","5"
"Never","1996","Bavaria","no migration background","1038","0.868110558859986","0.848845007208734","0.887376110511238","5"
"Never","1996","Bavaria","direct migration background","351","0.880221152220202","0.847574228944746","0.912868075495658","5"
"Never","1996","Bavaria","indirect migration background","83","0.875466081776532","0.806083260808158","0.944848902744907","5"
"Never","1996","Berlin","no migration background","405","0.92397739794956","0.899325029784374","0.948629766114746","5"
"Never","1996","Berlin","direct migration background","80","0.995077051770578","0.979834889836416","1.01031921370474","5"
"Never","1996","Berlin","indirect migration background","18","","","","5"
"Never","1996","Brandenburg","no migration background","522","0.901660611550867","0.877406011936311","0.925915211165423","5"
"Never","1996","Brandenburg","direct migration background","16","","","","5"
"Rarely","1996","North Rhine-Westphalia","direct migration background","33","0.0568075601128576","0.0390942634933865","0.0745208567323287","4"
"Rarely","1996","North Rhine-Westphalia","indirect migration background","9","","","","4"
"Rarely","1996","Baden-Württemberg","direct migration background","26","","","","4"
"Rarely","1996","Baden-Württemberg","indirect migration background","8","","","","4"
"Rarely","1996","Bavaria","no migration background","115","0.107975676532264","0.0903055267379117","0.125645826326617","4"
"Rarely","1996","Bavaria","direct migration background","23","","","","4"
"Rarely","1996","Brandenburg","indirect migration background","","","","","4"
"Rarely","1996","Mecklenburg-Western Pomerania","no migration background","33","0.0840473543121136","0.0563681900553539","0.111726518568873","4"
