"plh0206i02","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"7 Strongly agree","2018","Urban Area","Female","8","","",""
"7 Strongly agree","2018","Rural Area","Male","1","","",""
"7 Strongly agree","2018","Rural Area","Female","3","","",""
"1 Strongly disagree","2019","Urban Area","Male","44","0.576864690790399","0.471834237372102","0.681895144208696"
"1 Strongly disagree","2019","Urban Area","Female","48","0.630353945195286","0.527126845998295","0.733581044392278"
"1 Strongly disagree","2019","Rural Area","Male","25","","",""
"1 Strongly disagree","2019","Rural Area","Female","33","0.59969971403403","0.470212580393768","0.729186847674291"
"2 on scale 1-7 ","2019","Urban Area","Male","8","","",""
"2 on scale 1-7 ","2019","Urban Area","Female","12","","",""
"2 on scale 1-7 ","2019","Rural Area","Male","9","","",""
"2 on scale 1-7 ","2019","Rural Area","Female","14","","",""
"3 on scale 1-7 ","2019","Urban Area","Male","15","","",""
"3 on scale 1-7 ","2019","Urban Area","Female","10","","",""
"3 on scale 1-7 ","2019","Rural Area","Male","1","","",""
"3 on scale 1-7 ","2019","Rural Area","Female","5","","",""
"4 on scale 1-7","2019","Urban Area","Male","8","","",""
"4 on scale 1-7","2019","Urban Area","Female","4","","",""
"4 on scale 1-7","2019","Rural Area","Male","4","","",""
"4 on scale 1-7","2019","Rural Area","Female","1","","",""
"5 on scale 1-7","2019","Urban Area","Male","2","","",""
"5 on scale 1-7","2019","Urban Area","Female","5","","",""
"5 on scale 1-7","2019","Rural Area","Male","2","","",""
"5 on scale 1-7","2019","Rural Area","Female","","","",""
"6 on scale 1-7","2019","Urban Area","Male","3","","",""
"6 on scale 1-7","2019","Urban Area","Female","1","","",""
"6 on scale 1-7","2019","Rural Area","Male","1","","",""
"6 on scale 1-7","2019","Rural Area","Female","","","",""
"7 Strongly agree","2019","Urban Area","Male","5","","",""
"7 Strongly agree","2019","Urban Area","Female","4","","",""
"7 Strongly agree","2019","Rural Area","Male","3","","",""
"7 Strongly agree","2019","Rural Area","Female","2","","",""
