"plh0206i02","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"6 on scale 1-7","2013","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2013","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2013","Full Time","Urban Area","","","","","6"
"7 Strongly agree","2013","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2013","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2013","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2013","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2013","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2013","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2014","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2014","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2014","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2014","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2014","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2014","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2014","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2014","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2014","Not Working","Urban Area","","","","","2"
"2 on scale 1-7 ","2014","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2014","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2014","Full Time","Urban Area","","","","","2"
"3 on scale 1-7 ","2014","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2014","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2014","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2014","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2014","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2014","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2014","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2014","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2014","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2014","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2014","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2014","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2014","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2014","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2014","Full Time","Urban Area","","","","","5"
"5 on scale 1-7","2014","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2014","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2014","Not Working","Urban Area","","","","","5"
"6 on scale 1-7","2014","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2014","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2014","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2014","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2014","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2014","Part Time","Rural Area","","","","","6"
"7 Strongly agree","2014","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2014","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2014","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2014","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2014","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2014","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2015","Full Time","Rural Area","744","0.208124292714535","0.194241708981252","0.222006876447818","1"
"1 Strongly disagree","2015","Part Time","Urban Area","1381","0.289355362956972","0.276351117242489","0.302359608671455","1"
"1 Strongly disagree","2015","Part Time","Rural Area","660","0.254938438876293","0.237613594121477","0.272263283631109","1"
"1 Strongly disagree","2015","Not Working","Urban Area","2141","0.289486275830986","0.278629179117393","0.300343372544579","1"
"1 Strongly disagree","2015","Not Working","Rural Area","1016","0.273963422946982","0.258976706909346","0.288950138984619","1"
"1 Strongly disagree","2015","Full Time","Urban Area","1530","0.21208475842424","0.201915209299042","0.222254307549439","1"
"2 on scale 1-7 ","2015","Not Working","Rural Area","748","0.215653848925896","0.201833677562804","0.229474020288988","2"
"2 on scale 1-7 ","2015","Not Working","Urban Area","1725","0.262163179771696","0.251634364857444","0.272691994685947","2"
"2 on scale 1-7 ","2015","Part Time","Urban Area","1233","0.251159486772336","0.238722573180888","0.263596400363785","2"
"2 on scale 1-7 ","2015","Part Time","Rural Area","615","0.257258892823831","0.239882503438854","0.274635282208808","2"
"2 on scale 1-7 ","2015","Full Time","Rural Area","830","0.262638182689735","0.247589459323758","0.277686906055711","2"
"2 on scale 1-7 ","2015","Full Time","Urban Area","1713","0.286907362161233","0.275654809840135","0.298159914482332","2"
"3 on scale 1-7 ","2015","Not Working","Rural Area","531","0.174428441929757","0.161676775355856","0.187180108503657","3"
"3 on scale 1-7 ","2015","Part Time","Urban Area","791","0.17343630352381","0.162578266326719","0.184294340720901","3"
"3 on scale 1-7 ","2015","Not Working","Urban Area","959","0.145003911030936","0.136574729566966","0.153433092494906","3"
"3 on scale 1-7 ","2015","Full Time","Rural Area","594","0.184210195773956","0.170953772189132","0.19746661935878","3"
"3 on scale 1-7 ","2015","Part Time","Rural Area","443","0.187928562331592","0.17239936083435","0.203457763828834","3"
"3 on scale 1-7 ","2015","Full Time","Urban Area","1083","0.185029005334906","0.175368536550598","0.194689474119215","3"
"4 on scale 1-7","2015","Not Working","Rural Area","522","0.157772017792577","0.145522732224241","0.170021303360912","4"
"4 on scale 1-7","2015","Part Time","Urban Area","588","0.14127013899125","0.131281722888112","0.151258555094387","4"
"4 on scale 1-7","2015","Not Working","Urban Area","812","0.128680734075325","0.120664711997867","0.136696756152783","4"
"4 on scale 1-7","2015","Full Time","Rural Area","536","0.157831143414625","0.145363730479467","0.170298556349782","4"
"4 on scale 1-7","2015","Part Time","Rural Area","310","0.123414392768231","0.110339573789048","0.136489211747413","4"
"4 on scale 1-7","2015","Full Time","Urban Area","867","0.152461906149753","0.143519229977162","0.161404582322344","4"
"5 on scale 1-7","2015","Part Time","Urban Area","346","0.0714363260850654","0.0640503387645821","0.0788223134055487","5"
"5 on scale 1-7","2015","Full Time","Rural Area","310","0.100018284612426","0.089758530605526","0.110278038619327","5"
"5 on scale 1-7","2015","Full Time","Urban Area","519","0.0890524165549819","0.0819668143482229","0.096138018761741","5"
"5 on scale 1-7","2015","Not Working","Rural Area","281","0.0880034496704116","0.0784836593596238","0.0975232399811995","5"
"5 on scale 1-7","2015","Not Working","Urban Area","503","0.0844760255099832","0.077818465674337","0.0911335853456293","5"
"5 on scale 1-7","2015","Part Time","Rural Area","181","0.0784116920316679","0.0677257084518721","0.0890976756114636","5"
"6 on scale 1-7","2015","Not Working","Urban Area","277","0.0499035279773569","0.0446908252457014","0.0551162307090124","6"
"6 on scale 1-7","2015","Not Working","Rural Area","152","0.0443705359656872","0.0374510626398584","0.051290009291516","6"
"6 on scale 1-7","2015","Full Time","Rural Area","149","0.0497710502983319","0.042334304519465","0.0572077960771989","6"
"6 on scale 1-7","2015","Part Time","Rural Area","114","0.0441040735414428","0.0359420044101366","0.0522661426727489","6"
"6 on scale 1-7","2015","Part Time","Urban Area","160","0.0389046074634414","0.0333592834905642","0.0444499314363185","6"
"6 on scale 1-7","2015","Full Time","Urban Area","261","0.0423603429670369","0.0373497628190805","0.0473709231149934","6"
"7 Strongly agree","2015","Not Working","Rural Area","152","0.0458082827686895","0.0387828875091299","0.0528336780282492","7"
"7 Strongly agree","2015","Full Time","Urban Area","234","0.0321042084078478","0.0277188761649156","0.03648954065078","7"
"7 Strongly agree","2015","Full Time","Rural Area","122","0.0374068504963911","0.0309178566944693","0.0438958442983129","7"
"7 Strongly agree","2015","Part Time","Urban Area","172","0.0344377742071252","0.02920838666324","0.0396671617510105","7"
"7 Strongly agree","2015","Part Time","Rural Area","108","0.0539439476269425","0.0449637600482129","0.0629241352056721","7"
"7 Strongly agree","2015","Not Working","Urban Area","286","0.0402863458037164","0.0355791392435266","0.0449935523639061","7"
"1 Strongly disagree","2016","Not Working","Urban Area","2131","0.549268303953855","0.531349588097053","0.567187019810657","1"
"1 Strongly disagree","2016","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2016","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2016","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2016","Not Working","Rural Area","921","0.623548031233771","0.597351719433552","0.649744343033991","1"
"1 Strongly disagree","2016","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2016","Not Working","Rural Area","111","0.13744820609197","0.118831084390005","0.156065327793935","2"
"2 on scale 1-7 ","2016","Not Working","Urban Area","266","0.128348336098656","0.116302910009691","0.140393762187621","2"
"2 on scale 1-7 ","2016","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2016","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2016","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2016","Full Time","Urban Area","","","","","2"
"3 on scale 1-7 ","2016","Not Working","Rural Area","66","0.059326635571893","0.0465535832274441","0.0720996879163418","3"
"3 on scale 1-7 ","2016","Not Working","Urban Area","141","0.0977685890580125","0.0870727660125787","0.108464412103446","3"
"3 on scale 1-7 ","2016","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2016","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2016","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2016","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2016","Not Working","Rural Area","58","0.0397392068989075","0.029177001599155","0.05030141219866","4"
"4 on scale 1-7","2016","Not Working","Urban Area","140","0.0744234936940861","0.064971645193854","0.0838753421943182","4"
"4 on scale 1-7","2016","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2016","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2016","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2016","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2016","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2016","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2016","Not Working","Rural Area","49","0.0538607749069761","0.0416550316347559","0.0660665181791963","5"
"5 on scale 1-7","2016","Full Time","Urban Area","","","","","5"
"5 on scale 1-7","2016","Not Working","Urban Area","94","0.0715061335495945","0.0622268011654962","0.0807854659336927","5"
"5 on scale 1-7","2016","Part Time","Rural Area","","","","","5"
"6 on scale 1-7","2016","Not Working","Rural Area","33","0.0324607977572791","0.022878618565885","0.0420429769486732","6"
"6 on scale 1-7","2016","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2016","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2016","Not Working","Urban Area","58","0.0334655814470223","0.0269887377960796","0.039942425097965","6"
"6 on scale 1-7","2016","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2016","Part Time","Rural Area","","","","","6"
"7 Strongly agree","2016","Not Working","Rural Area","76","0.0536163475392031","0.0414367584600693","0.065795936618337","7"
"7 Strongly agree","2016","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2016","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2016","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2016","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2016","Not Working","Urban Area","132","0.0452195621987741","0.0377366526308103","0.0527024717667378","7"
"1 Strongly disagree","2017","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2017","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2017","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2017","Not Working","Urban Area","1491","0.68798878238247","0.667922870645577","0.708054694119362","1"
"1 Strongly disagree","2017","Not Working","Rural Area","605","0.809527902578395","0.781647297251773","0.837408507905017","1"
"1 Strongly disagree","2017","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2017","Not Working","Urban Area","224","0.126625163218533","0.11222247824734","0.141027848189725","2"
"2 on scale 1-7 ","2017","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2017","Not Working","Rural Area","57","0.0731791490579356","0.0546880731792126","0.0916702249366586","2"
"2 on scale 1-7 ","2017","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2017","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2017","Full Time","Urban Area","","","","","2"
"3 on scale 1-7 ","2017","Not Working","Urban Area","96","0.0414572526078581","0.032823708411961","0.0500907968037553","3"
"3 on scale 1-7 ","2017","Not Working","Rural Area","21","","","","3"
"3 on scale 1-7 ","2017","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2017","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2017","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2017","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2017","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2017","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2017","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2017","Full Time","Urban Area","","","","","4"
"4 on scale 1-7","2017","Not Working","Urban Area","80","0.0506554501163996","0.0411579756421878","0.0601529245906114","4"
"4 on scale 1-7","2017","Not Working","Rural Area","29","","","","4"
"5 on scale 1-7","2017","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2017","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2017","Not Working","Rural Area","17","","","","5"
"5 on scale 1-7","2017","Full Time","Urban Area","","","","","5"
"5 on scale 1-7","2017","Not Working","Urban Area","56","0.034360593763262","0.0264716123104055","0.0422495752161184","5"
"5 on scale 1-7","2017","Part Time","Rural Area","","","","","5"
"6 on scale 1-7","2017","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2017","Not Working","Urban Area","25","","","","6"
"6 on scale 1-7","2017","Not Working","Rural Area","5","","","","6"
"6 on scale 1-7","2017","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2017","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2017","Full Time","Urban Area","","","","","6"
"7 Strongly agree","2017","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2017","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2017","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2017","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2017","Not Working","Urban Area","76","0.043002079999348","0.0342162389234481","0.0517879210752479","7"
"7 Strongly agree","2017","Not Working","Rural Area","28","","","","7"
"1 Strongly disagree","2018","Not Working","Urban Area","174","0.658020724827109","0.600359867298744","0.715681582355474","1"
"1 Strongly disagree","2018","Not Working","Rural Area","109","0.779233743801071","0.712859026654691","0.845608460947451","1"
"1 Strongly disagree","2018","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2018","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2018","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2018","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2018","Not Working","Rural Area","13","","","","2"
"2 on scale 1-7 ","2018","Not Working","Urban Area","26","","","","2"
"2 on scale 1-7 ","2018","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2018","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2018","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2018","Full Time","Urban Area","","","","","2"
"3 on scale 1-7 ","2018","Not Working","Urban Area","16","","","","3"
"3 on scale 1-7 ","2018","Not Working","Rural Area","5","","","","3"
"3 on scale 1-7 ","2018","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2018","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2018","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2018","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2018","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2018","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2018","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2018","Full Time","Urban Area","","","","","4"
"4 on scale 1-7","2018","Not Working","Rural Area","9","","","","4"
"4 on scale 1-7","2018","Not Working","Urban Area","16","","","","4"
"5 on scale 1-7","2018","Not Working","Rural Area","3","","","","5"
"5 on scale 1-7","2018","Not Working","Urban Area","8","","","","5"
"5 on scale 1-7","2018","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2018","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2018","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2018","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2018","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2018","Not Working","Urban Area","7","","","","6"
"6 on scale 1-7","2018","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2018","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2018","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2018","Not Working","Rural Area","7","","","","6"
"7 Strongly agree","2018","Not Working","Rural Area","4","","","","7"
"7 Strongly agree","2018","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2018","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2018","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2018","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2018","Not Working","Urban Area","13","","","","7"
"1 Strongly disagree","2019","Not Working","Urban Area","92","0.606387999051108","0.532730969061899","0.680045029040317","1"
"1 Strongly disagree","2019","Not Working","Rural Area","58","0.63289042173326","0.538416877070504","0.727363966396016","1"
"1 Strongly disagree","2019","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2019","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2019","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2019","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2019","Not Working","Urban Area","20","","","","2"
"2 on scale 1-7 ","2019","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2019","Not Working","Rural Area","23","","","","2"
"2 on scale 1-7 ","2019","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2019","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2019","Full Time","Urban Area","","","","","2"
"3 on scale 1-7 ","2019","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2019","Not Working","Urban Area","25","","","","3"
"3 on scale 1-7 ","2019","Not Working","Rural Area","6","","","","3"
"3 on scale 1-7 ","2019","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2019","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2019","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2019","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2019","Not Working","Rural Area","5","","","","4"
"4 on scale 1-7","2019","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2019","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2019","Not Working","Urban Area","12","","","","4"
"4 on scale 1-7","2019","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2019","Full Time","Urban Area","","","","","5"
"5 on scale 1-7","2019","Not Working","Urban Area","7","","","","5"
"5 on scale 1-7","2019","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2019","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2019","Not Working","Rural Area","2","","","","5"
"5 on scale 1-7","2019","Full Time","Rural Area","","","","","5"
"6 on scale 1-7","2019","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2019","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2019","Not Working","Urban Area","4","","","","6"
"6 on scale 1-7","2019","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2019","Not Working","Rural Area","1","","","","6"
"6 on scale 1-7","2019","Part Time","Rural Area","","","","","6"
"7 Strongly agree","2019","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2019","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2019","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2019","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2019","Not Working","Urban Area","9","","","","7"
"7 Strongly agree","2019","Not Working","Rural Area","5","","","","7"
