"party","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"FDP","1993","direct migration background","Rural Area","1","","","","3"
"FDP","1993","no migration background","Rural Area","64","0.0574756145748546","0.0450276542845358","0.0699235748651734","3"
"FDP","1993","no migration background","Urban Area","126","0.0490579088292161","0.0410548540926313","0.0570609635658008","3"
"FDP","1993","direct migration background","Urban Area","11","","","","3"
"FDP","1993","indirect migration background","Rural Area","","","","","3"
"Grüne","1993","no migration background","Rural Area","85","0.0515198365196712","0.0396972786346849","0.0633423944046574","4"
"Grüne","1993","no migration background","Urban Area","275","0.0886768035030946","0.0781434790131463","0.0992101279930428","4"
"Grüne","1993","indirect migration background","Rural Area","2","","","","4"
"Grüne","1993","indirect migration background","Urban Area","17","","","","4"
"Grüne","1993","direct migration background","Rural Area","9","","","","4"
"Grüne","1993","direct migration background","Urban Area","50","0.10530170760119","0.0797423920449445","0.130861023157435","4"
"NPD","1993","indirect migration background","Rural Area","","","","","6"
"NPD","1993","direct migration background","Rural Area","1","","","","6"
"NPD","1993","indirect migration background","Urban Area","1","","","","6"
"NPD","1993","no migration background","Rural Area","39","0.0349851440963753","0.0251581902176839","0.0448120979750667","6"
"NPD","1993","no migration background","Urban Area","94","0.0304399132412173","0.0240744017639975","0.0368054247184371","6"
"NPD","1993","direct migration background","Urban Area","4","","","","6"
"Other","1993","no migration background","Urban Area","20","","","","8"
"Other","1993","indirect migration background","Rural Area","","","","","8"
"Other","1993","direct migration background","Rural Area","","","","","8"
"Other","1993","indirect migration background","Urban Area","","","","","8"
"Other","1993","no migration background","Rural Area","20","","","","8"
"Other","1993","direct migration background","Urban Area","5","","","","8"
"PDS/Linke","1993","direct migration background","Rural Area","5","","","","5"
"PDS/Linke","1993","no migration background","Rural Area","81","0.045551490942513","0.0343998793457664","0.0567031025392597","5"
"PDS/Linke","1993","direct migration background","Urban Area","4","","","","5"
"PDS/Linke","1993","no migration background","Urban Area","53","0.0117426170550858","0.00775106572309381","0.0157341683870778","5"
"PDS/Linke","1993","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1993","indirect migration background","Rural Area","","","","","5"
"SPD","1993","no migration background","Urban Area","1235","0.438024454897717","0.419640788793613","0.456408121001821","1"
"SPD","1993","no migration background","Rural Area","498","0.365327695216768","0.339574794301896","0.39108059613164","1"
"SPD","1993","direct migration background","Urban Area","363","0.506989158927877","0.465357781557821","0.548620536297932","1"
"SPD","1993","direct migration background","Rural Area","58","0.384057047300994","0.292328539656424","0.475785554945565","1"
"SPD","1993","indirect migration background","Urban Area","61","0.564291927483694","0.461850279065335","0.666733575902053","1"
"SPD","1993","indirect migration background","Rural Area","9","","","","1"
"AfD","1994","no migration background","Urban Area","","","","","7"
"AfD","1994","no migration background","Rural Area","","","","","7"
"AfD","1994","direct migration background","Urban Area","","","","","7"
"AfD","1994","direct migration background","Rural Area","","","","","7"
"AfD","1994","indirect migration background","Urban Area","","","","","7"
"AfD","1994","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1994","direct migration background","Rural Area","37","0.486954405634494","0.391802544055018","0.58210626721397","2"
"CDU/CSU","1994","indirect migration background","Rural Area","2","","","","2"
"CDU/CSU","1994","no migration background","Urban Area","1018","0.3688769846998","0.351367326637444","0.386386642762157","2"
"CDU/CSU","1994","no migration background","Rural Area","555","0.417324009759802","0.391297483612056","0.443350535907549","2"
"CDU/CSU","1994","indirect migration background","Urban Area","13","","","","2"
"CDU/CSU","1994","direct migration background","Urban Area","137","0.346347791958334","0.307824014896117","0.384871569020552","2"
"FDP","1994","indirect migration background","Urban Area","2","","","","3"
"FDP","1994","direct migration background","Rural Area","1","","","","3"
"FDP","1994","indirect migration background","Rural Area","","","","","3"
"FDP","1994","no migration background","Rural Area","42","0.0342288159928093","0.024632622023452","0.0438250099621667","3"
"FDP","1994","direct migration background","Urban Area","12","","","","3"
"FDP","1994","no migration background","Urban Area","94","0.0377704345672832","0.0308522010712891","0.0446886680632773","3"
"Grüne","1994","no migration background","Rural Area","81","0.0462638155575368","0.0351771534431538","0.0573504776719198","4"
"Grüne","1994","no migration background","Urban Area","269","0.0866951014152745","0.0764837070397133","0.0969064957908356","4"
"Grüne","1994","indirect migration background","Rural Area","2","","","","4"
"Grüne","1994","direct migration background","Rural Area","7","","","","4"
"Grüne","1994","indirect migration background","Urban Area","13","","","","4"
"Grüne","1994","direct migration background","Urban Area","47","0.0815409693387651","0.059383655338026","0.103698283339504","4"
"NPD","1994","indirect migration background","Rural Area","","","","","6"
"NPD","1994","no migration background","Rural Area","24","","","","6"
"NPD","1994","direct migration background","Rural Area","","","","","6"
"NPD","1994","indirect migration background","Urban Area","3","","","","6"
"NPD","1994","no migration background","Urban Area","63","0.0179744891934815","0.0131531294201819","0.0227958489667811","6"
"NPD","1994","direct migration background","Urban Area","3","","","","6"
"Other","1994","no migration background","Urban Area","28","","","","8"
"Other","1994","no migration background","Rural Area","27","","","","8"
"Other","1994","indirect migration background","Rural Area","1","","","","8"
"Other","1994","direct migration background","Urban Area","6","","","","8"
"Other","1994","direct migration background","Rural Area","2","","","","8"
"Other","1994","indirect migration background","Urban Area","1","","","","8"
"PDS/Linke","1994","direct migration background","Rural Area","5","","","","5"
"PDS/Linke","1994","no migration background","Rural Area","114","0.0566326280978515","0.0444331924184431","0.0688320637772599","5"
"PDS/Linke","1994","direct migration background","Urban Area","5","","","","5"
"PDS/Linke","1994","no migration background","Urban Area","86","0.0198352916066271","0.0147753127522699","0.0248952704609844","5"
"PDS/Linke","1994","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1994","indirect migration background","Rural Area","","","","","5"
"SPD","1994","no migration background","Rural Area","536","0.41476088564615","0.388757402413118","0.440764368879183","1"
"SPD","1994","direct migration background","Urban Area","376","0.521929067286507","0.481485338014752","0.562372796558262","1"
"SPD","1994","direct migration background","Rural Area","54","0.392079584227869","0.299138948854719","0.485020219601019","1"
"SPD","1994","no migration background","Urban Area","1359","0.459932448852685","0.441846098306392","0.478018799398977","1"
"SPD","1994","indirect migration background","Urban Area","79","0.580965333754524","0.489177168772993","0.672753498736054","1"
"SPD","1994","indirect migration background","Rural Area","11","","","","1"
"AfD","1995","no migration background","Urban Area","","","","","7"
"AfD","1995","no migration background","Rural Area","","","","","7"
"AfD","1995","direct migration background","Urban Area","","","","","7"
"AfD","1995","direct migration background","Rural Area","","","","","7"
"AfD","1995","indirect migration background","Urban Area","","","","","7"
"AfD","1995","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1995","indirect migration background","Urban Area","18","","","","2"
"CDU/CSU","1995","indirect migration background","Rural Area","1","","","","2"
"CDU/CSU","1995","no migration background","Urban Area","1169","0.381884684715556","0.364985058493648","0.398784310937464","2"
"CDU/CSU","1995","no migration background","Rural Area","742","0.445945999778687","0.421976429221535","0.469915570335839","2"
"CDU/CSU","1995","direct migration background","Rural Area","75","0.535157184545591","0.455604771236841","0.614709597854342","2"
"CDU/CSU","1995","direct migration background","Urban Area","250","0.421250889498091","0.385913615572379","0.456588163423803","2"
"FDP","1995","indirect migration background","Urban Area","1","","","","3"
"FDP","1995","no migration background","Urban Area","88","0.0328582333300261","0.0266574950607493","0.0390589715993028","3"
"FDP","1995","direct migration background","Rural Area","3","","","","3"
"FDP","1995","indirect migration background","Rural Area","","","","","3"
"FDP","1995","no migration background","Rural Area","42","0.0264317520688023","0.0186962368272917","0.0341672673103129","3"
"FDP","1995","direct migration background","Urban Area","12","","","","3"
"Grüne","1995","no migration background","Urban Area","364","0.106959245316819","0.0962089342610729","0.117709556372565","4"
"Grüne","1995","no migration background","Rural Area","101","0.0521633645350809","0.041440949519204","0.0628857795509578","4"
"Grüne","1995","indirect migration background","Rural Area","5","","","","4"
"Grüne","1995","indirect migration background","Urban Area","20","","","","4"
"Grüne","1995","direct migration background","Rural Area","9","","","","4"
"Grüne","1995","direct migration background","Urban Area","73","0.10616816082414","0.0841215154386364","0.128214806209644","4"
"NPD","1995","indirect migration background","Rural Area","1","","","","6"
"NPD","1995","no migration background","Urban Area","31","0.00856048924993825","0.00535600139081054","0.011764977109066","6"
"NPD","1995","direct migration background","Rural Area","1","","","","6"
"NPD","1995","indirect migration background","Urban Area","2","","","","6"
"NPD","1995","no migration background","Rural Area","17","","","","6"
"NPD","1995","direct migration background","Urban Area","4","","","","6"
"Other","1995","no migration background","Urban Area","24","","","","8"
"Other","1995","no migration background","Rural Area","11","","","","8"
"Other","1995","direct migration background","Urban Area","13","","","","8"
"Other","1995","direct migration background","Rural Area","1","","","","8"
"Other","1995","indirect migration background","Urban Area","2","","","","8"
"Other","1995","indirect migration background","Rural Area","","","","","8"
"PDS/Linke","1995","direct migration background","Rural Area","6","","","","5"
"PDS/Linke","1995","no migration background","Rural Area","146","0.0658906743570208","0.0539272943040025","0.0778540544100392","5"
"PDS/Linke","1995","direct migration background","Urban Area","8","","","","5"
"PDS/Linke","1995","no migration background","Urban Area","105","0.0214753009625441","0.0164329653119922","0.0265176366130961","5"
"PDS/Linke","1995","indirect migration background","Urban Area","3","","","","5"
"PDS/Linke","1995","indirect migration background","Rural Area","","","","","5"
"SPD","1995","no migration background","Rural Area","593","0.390942638172381","0.367412271885463","0.414473004459299","1"
"SPD","1995","direct migration background","Urban Area","390","0.428873812172327","0.393453836334755","0.464293788009899","1"
"SPD","1995","direct migration background","Rural Area","56","0.291344668046766","0.218870926292387","0.363818409801145","1"
"SPD","1995","no migration background","Urban Area","1394","0.44102784037129","0.423757363957846","0.458298316784734","1"
"SPD","1995","indirect migration background","Urban Area","62","0.410396725943467","0.317624473683164","0.50316897820377","1"
"SPD","1995","indirect migration background","Rural Area","9","","","","1"
"AfD","1996","direct migration background","Rural Area","","","","","7"
"AfD","1996","no migration background","Urban Area","","","","","7"
"AfD","1996","no migration background","Rural Area","","","","","7"
"AfD","1996","direct migration background","Urban Area","","","","","7"
"AfD","1996","indirect migration background","Rural Area","","","","","7"
"AfD","1996","indirect migration background","Urban Area","","","","","7"
"CDU/CSU","1996","indirect migration background","Rural Area","4","","","","2"
"CDU/CSU","1996","direct migration background","Rural Area","72","0.464169720039201","0.385658039958398","0.542681400120004","2"
"CDU/CSU","1996","indirect migration background","Urban Area","19","","","","2"
"CDU/CSU","1996","no migration background","Urban Area","1153","0.406018513952996","0.388380685379948","0.423656342526044","2"
"CDU/CSU","1996","no migration background","Rural Area","731","0.495062761001378","0.470164374032205","0.519961147970552","2"
"CDU/CSU","1996","direct migration background","Urban Area","237","0.43284649445965","0.394579670363828","0.471113318555472","2"
"FDP","1996","direct migration background","Rural Area","","","","","3"
"FDP","1996","indirect migration background","Urban Area","","","","","3"
"FDP","1996","no migration background","Urban Area","77","0.0302969414941955","0.0241408577212531","0.036453025267138","3"
"FDP","1996","indirect migration background","Rural Area","","","","","3"
"FDP","1996","no migration background","Rural Area","28","","","","3"
"FDP","1996","direct migration background","Urban Area","12","","","","3"
"Grüne","1996","no migration background","Rural Area","109","0.0562809334060512","0.0448040388222731","0.0677578279898292","4"
"Grüne","1996","no migration background","Urban Area","368","0.111755519904989","0.100439687813527","0.123071351996452","4"
"Grüne","1996","direct migration background","Rural Area","13","","","","4"
"Grüne","1996","indirect migration background","Urban Area","25","","","","4"
"Grüne","1996","indirect migration background","Rural Area","5","","","","4"
"Grüne","1996","direct migration background","Urban Area","56","0.112583646879233","0.0881714689115401","0.136995824846926","4"
"NPD","1996","direct migration background","Rural Area","1","","","","6"
"NPD","1996","indirect migration background","Urban Area","","","","","6"
"NPD","1996","indirect migration background","Rural Area","","","","","6"
"NPD","1996","no migration background","Urban Area","46","0.014467265896302","0.0101786761492931","0.0187558556433108","6"
"NPD","1996","direct migration background","Urban Area","5","","","","6"
"NPD","1996","no migration background","Rural Area","24","","","","6"
"Other","1996","no migration background","Urban Area","23","","","","8"
"Other","1996","no migration background","Rural Area","19","","","","8"
"Other","1996","direct migration background","Urban Area","4","","","","8"
"Other","1996","direct migration background","Rural Area","3","","","","8"
"Other","1996","indirect migration background","Urban Area","","","","","8"
"Other","1996","indirect migration background","Rural Area","","","","","8"
"PDS/Linke","1996","direct migration background","Rural Area","7","","","","5"
"PDS/Linke","1996","direct migration background","Urban Area","7","","","","5"
"PDS/Linke","1996","no migration background","Rural Area","150","0.0662827028279873","0.0538938758120135","0.0786715298439612","5"
"PDS/Linke","1996","indirect migration background","Urban Area","2","","","","5"
"PDS/Linke","1996","indirect migration background","Rural Area","2","","","","5"
"PDS/Linke","1996","no migration background","Urban Area","112","0.0238735614914625","0.0183908248112864","0.0293562981716386","5"
"SPD","1996","direct migration background","Rural Area","59","0.299063386754112","0.226985301947217","0.371141471561007","1"
"SPD","1996","indirect migration background","Urban Area","63","0.444762007234904","0.351471324674896","0.538052689794912","1"
"SPD","1996","direct migration background","Urban Area","323","0.392733572344463","0.355015993455028","0.430451151233899","1"
"SPD","1996","no migration background","Rural Area","488","0.333539414078514","0.310060219325087","0.357018608831942","1"
"SPD","1996","indirect migration background","Rural Area","10","","","","1"
"SPD","1996","no migration background","Urban Area","1199","0.40512375482028","0.387492106601631","0.422755403038928","1"
"AfD","1997","direct migration background","Urban Area","","","","","7"
"AfD","1997","no migration background","Rural Area","","","","","7"
"AfD","1997","no migration background","Urban Area","","","","","7"
"AfD","1997","direct migration background","Rural Area","","","","","7"
"AfD","1997","indirect migration background","Urban Area","","","","","7"
"AfD","1997","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1997","indirect migration background","Rural Area","5","","","","2"
"CDU/CSU","1997","direct migration background","Rural Area","62","0.471652594688327","0.38584073413946","0.557464455237195","2"
"CDU/CSU","1997","indirect migration background","Urban Area","16","","","","2"
"CDU/CSU","1997","no migration background","Urban Area","1047","0.38584552629095","0.367866038703993","0.403825013877908","2"
"CDU/CSU","1997","no migration background","Rural Area","602","0.449815029946718","0.423802579174741","0.475827480718695","2"
"CDU/CSU","1997","direct migration background","Urban Area","217","0.417134314461768","0.37764706506702","0.456621563856517","2"
"FDP","1997","no migration background","Rural Area","32","0.029894207695365","0.0209896366866316","0.0387987787040984","3"
"FDP","1997","no migration background","Urban Area","67","0.0246096464477503","0.0188873061481946","0.030331986747306","3"
"FDP","1997","indirect migration background","Rural Area","1","","","","3"
"FDP","1997","indirect migration background","Urban Area","2","","","","3"
"FDP","1997","direct migration background","Urban Area","6","","","","3"
"FDP","1997","direct migration background","Rural Area","","","","","3"
"Grüne","1997","no migration background","Urban Area","323","0.104853291500434","0.0935378915391958","0.116168691461673","4"
"Grüne","1997","no migration background","Rural Area","85","0.0608709351572727","0.0483689909443435","0.0733728793702019","4"
"Grüne","1997","direct migration background","Rural Area","8","","","","4"
"Grüne","1997","indirect migration background","Urban Area","32","0.370928604023218","0.280657889499769","0.461199318546666","4"
"Grüne","1997","direct migration background","Urban Area","39","0.0628906634985528","0.0434494709986977","0.0823318559984079","4"
"Grüne","1997","indirect migration background","Rural Area","3","","","","4"
"NPD","1997","indirect migration background","Urban Area","1","","","","6"
"NPD","1997","direct migration background","Rural Area","2","","","","6"
"NPD","1997","indirect migration background","Rural Area","","","","","6"
"NPD","1997","no migration background","Urban Area","58","0.0172205813727388","0.012415688637573","0.0220254741079047","6"
"NPD","1997","no migration background","Rural Area","32","0.0201213981929937","0.0127792162282424","0.027463580157745","6"
"NPD","1997","direct migration background","Urban Area","6","","","","6"
"Other","1997","direct migration background","Rural Area","1","","","","8"
"Other","1997","no migration background","Rural Area","15","","","","8"
"Other","1997","no migration background","Urban Area","25","","","","8"
"Other","1997","direct migration background","Urban Area","5","","","","8"
"Other","1997","indirect migration background","Urban Area","2","","","","8"
"Other","1997","indirect migration background","Rural Area","","","","","8"
"PDS/Linke","1997","no migration background","Urban Area","94","0.0210057492617806","0.0157092254993963","0.026302273024165","5"
"PDS/Linke","1997","no migration background","Rural Area","133","0.0570250350563935","0.0448997267309471","0.06915034338184","5"
"PDS/Linke","1997","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1997","direct migration background","Urban Area","8","","","","5"
"PDS/Linke","1997","direct migration background","Rural Area","5","","","","5"
"PDS/Linke","1997","indirect migration background","Rural Area","1","","","","5"
"SPD","1997","direct migration background","Rural Area","52","0.381321556269321","0.297827687403553","0.464815425135089","1"
"SPD","1997","indirect migration background","Urban Area","57","0.373580534946906","0.283178857223112","0.4639822126707","1"
"SPD","1997","direct migration background","Urban Area","318","0.460863782593297","0.420945649348441","0.500781915838154","1"
"SPD","1997","no migration background","Rural Area","506","0.373559469476225","0.348264758103633","0.398854180848817","1"
"SPD","1997","indirect migration background","Rural Area","8","","","","1"
"SPD","1997","no migration background","Urban Area","1202","0.437276527947169","0.418955182469869","0.455597873424469","1"
"AfD","1998","no migration background","Rural Area","","","","","7"
"AfD","1998","no migration background","Urban Area","","","","","7"
"AfD","1998","direct migration background","Rural Area","","","","","7"
"AfD","1998","direct migration background","Urban Area","","","","","7"
"AfD","1998","indirect migration background","Urban Area","","","","","7"
"AfD","1998","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1998","no migration background","Urban Area","1112","0.352176241502144","0.335916456921866","0.368436026082422","2"
"CDU/CSU","1998","no migration background","Rural Area","628","0.415677558797566","0.391521369094503","0.43983374850063","2"
"CDU/CSU","1998","direct migration background","Urban Area","206","0.395798777277255","0.3563394107203","0.43525814383421","2"
"CDU/CSU","1998","direct migration background","Rural Area","68","0.477351983923696","0.392143047506367","0.562560920341026","2"
"CDU/CSU","1998","indirect migration background","Rural Area","2","","","","2"
"CDU/CSU","1998","indirect migration background","Urban Area","19","","","","2"
"FDP","1998","no migration background","Urban Area","91","0.0346031842011321","0.0283813664166758","0.0408250019855884","3"
"FDP","1998","direct migration background","Rural Area","3","","","","3"
"FDP","1998","indirect migration background","Rural Area","2","","","","3"
"FDP","1998","direct migration background","Urban Area","6","","","","3"
"FDP","1998","no migration background","Rural Area","24","","","","3"
"FDP","1998","indirect migration background","Urban Area","3","","","","3"
"Grüne","1998","no migration background","Rural Area","99","0.0568885811176876","0.0455353909679862","0.068241771267389","4"
"Grüne","1998","direct migration background","Urban Area","40","0.0734535576015573","0.0524030729529784","0.0945040422501362","4"
"Grüne","1998","no migration background","Urban Area","360","0.101082578705215","0.0908212315743654","0.111343925836064","4"
"Grüne","1998","direct migration background","Rural Area","10","","","","4"
"Grüne","1998","indirect migration background","Urban Area","20","","","","4"
"Grüne","1998","indirect migration background","Rural Area","5","","","","4"
"NPD","1998","no migration background","Urban Area","59","0.0190572148476145","0.0144028772802689","0.02371155241496","6"
"NPD","1998","direct migration background","Rural Area","","","","","6"
"NPD","1998","indirect migration background","Urban Area","1","","","","6"
"NPD","1998","indirect migration background","Rural Area","","","","","6"
"NPD","1998","no migration background","Rural Area","30","0.0162536199399564","0.0100557781926943","0.0224514616872184","6"
"NPD","1998","direct migration background","Urban Area","2","","","","6"
"Other","1998","direct migration background","Rural Area","1","","","","8"
"Other","1998","no migration background","Urban Area","33","0.0111269173933159","0.00755612965908233","0.0146977051275495","8"
"Other","1998","no migration background","Rural Area","40","0.0290894746214479","0.0208522406379763","0.0373267086049196","8"
"Other","1998","direct migration background","Urban Area","6","","","","8"
"Other","1998","indirect migration background","Urban Area","","","","","8"
"Other","1998","indirect migration background","Rural Area","","","","","8"
"PDS/Linke","1998","no migration background","Urban Area","94","0.017779318812791","0.0132808116061087","0.0222778260194732","5"
"PDS/Linke","1998","direct migration background","Rural Area","7","","","","5"
"PDS/Linke","1998","no migration background","Rural Area","139","0.059250278678172","0.0476783404418613","0.0708222169144827","5"
"PDS/Linke","1998","direct migration background","Urban Area","8","","","","5"
"PDS/Linke","1998","indirect migration background","Urban Area","2","","","","5"
"PDS/Linke","1998","indirect migration background","Rural Area","1","","","","5"
"SPD","1998","direct migration background","Rural Area","43","0.356127467017178","0.274438423645105","0.437816510389252","1"
"SPD","1998","indirect migration background","Urban Area","78","0.457900559866404","0.36985233554147","0.545948784191339","1"
"SPD","1998","no migration background","Urban Area","1566","0.464174544537788","0.447197634178592","0.481151454896983","1"
"SPD","1998","no migration background","Rural Area","639","0.408537463907734","0.384443768038927","0.43263115977654","1"
"SPD","1998","direct migration background","Urban Area","322","0.494927992269781","0.454584847962407","0.535271136577155","1"
"SPD","1998","indirect migration background","Rural Area","10","","","","1"
"AfD","1999","no migration background","Urban Area","","","","","7"
"AfD","1999","direct migration background","Rural Area","","","","","7"
"AfD","1999","no migration background","Rural Area","","","","","7"
"AfD","1999","direct migration background","Urban Area","","","","","7"
"AfD","1999","indirect migration background","Urban Area","","","","","7"
"AfD","1999","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1999","no migration background","Urban Area","1328","0.405887399810582","0.389529719147602","0.422245080473561","2"
"CDU/CSU","1999","no migration background","Rural Area","770","0.449818899018738","0.427106808700411","0.472530989337065","2"
"CDU/CSU","1999","direct migration background","Urban Area","229","0.43574830671296","0.395463536727334","0.476033076698585","2"
"CDU/CSU","1999","direct migration background","Rural Area","57","0.419013359191978","0.332518540535197","0.50550817784876","2"
"CDU/CSU","1999","indirect migration background","Rural Area","7","","","","2"
"CDU/CSU","1999","indirect migration background","Urban Area","21","","","","2"
"FDP","1999","no migration background","Urban Area","85","0.0293336012869668","0.0237127480014418","0.0349544545724919","3"
"FDP","1999","direct migration background","Rural Area","","","","","3"
"FDP","1999","direct migration background","Urban Area","9","","","","3"
"FDP","1999","indirect migration background","Rural Area","1","","","","3"
"FDP","1999","no migration background","Rural Area","35","0.018372391377385","0.012241245492318","0.024503537262452","3"
"FDP","1999","indirect migration background","Urban Area","5","","","","3"
"Grüne","1999","no migration background","Urban Area","278","0.0717460514910793","0.0631496445864177","0.080342458395741","4"
"Grüne","1999","no migration background","Rural Area","82","0.0420955976003154","0.0329278035686513","0.0512633916319794","4"
"Grüne","1999","direct migration background","Urban Area","32","0.0607248683723883","0.041321983724129","0.0801277530206476","4"
"Grüne","1999","indirect migration background","Urban Area","16","","","","4"
"Grüne","1999","indirect migration background","Rural Area","4","","","","4"
"Grüne","1999","direct migration background","Rural Area","8","","","","4"
"NPD","1999","no migration background","Urban Area","44","0.0109769155919347","0.00750612880226816","0.0144477023816013","6"
"NPD","1999","direct migration background","Rural Area","","","","","6"
"NPD","1999","indirect migration background","Urban Area","1","","","","6"
"NPD","1999","indirect migration background","Rural Area","","","","","6"
"NPD","1999","no migration background","Rural Area","32","0.0111274822785325","0.00633838087578468","0.0159165836812804","6"
"NPD","1999","direct migration background","Urban Area","2","","","","6"
"Other","1999","direct migration background","Rural Area","1","","","","8"
"Other","1999","indirect migration background","Urban Area","4","","","","8"
"Other","1999","indirect migration background","Rural Area","","","","","8"
"Other","1999","no migration background","Urban Area","40","0.0101316236317276","0.00679572528305134","0.0134675219804038","8"
"Other","1999","no migration background","Rural Area","24","","","","8"
"Other","1999","direct migration background","Urban Area","3","","","","8"
"PDS/Linke","1999","no migration background","Urban Area","118","0.0253491613922701","0.020113266884107","0.0305850559004331","5"
"PDS/Linke","1999","no migration background","Rural Area","168","0.0667418499290336","0.0553476079291205","0.0781360919289468","5"
"PDS/Linke","1999","direct migration background","Rural Area","7","","","","5"
"PDS/Linke","1999","direct migration background","Urban Area","9","","","","5"
"PDS/Linke","1999","indirect migration background","Rural Area","","","","","5"
"PDS/Linke","1999","indirect migration background","Urban Area","2","","","","5"
"SPD","1999","direct migration background","Rural Area","52","0.465210762908624","0.377770935732713","0.552650590084534","1"
"SPD","1999","indirect migration background","Urban Area","96","0.597175231616215","0.517343956479816","0.677006506752614","1"
"SPD","1999","no migration background","Urban Area","1569","0.44657524679544","0.430015214754514","0.463135278836365","1"
"SPD","1999","no migration background","Rural Area","732","0.398209987057169","0.375860683958879","0.420559290155458","1"
"SPD","1999","direct migration background","Urban Area","298","0.466423443386707","0.425893578670682","0.506953308102731","1"
"SPD","1999","indirect migration background","Rural Area","10","","","","1"
"AfD","2000","direct migration background","Rural Area","","","","","7"
"AfD","2000","no migration background","Urban Area","","","","","7"
"AfD","2000","no migration background","Rural Area","","","","","7"
"AfD","2000","direct migration background","Urban Area","","","","","7"
"AfD","2000","indirect migration background","Rural Area","","","","","7"
"AfD","2000","indirect migration background","Urban Area","","","","","7"
"CDU/CSU","2000","no migration background","Urban Area","2349","0.378508659988343","0.366510145574379","0.390507174402306","2"
"CDU/CSU","2000","no migration background","Rural Area","1328","0.450063132028198","0.432404278029733","0.467721986026663","2"
"CDU/CSU","2000","direct migration background","Urban Area","347","0.424474737621345","0.391089831040925","0.457859644201766","2"
"CDU/CSU","2000","direct migration background","Rural Area","103","0.528589552993827","0.457043418121634","0.60013568786602","2"
"CDU/CSU","2000","indirect migration background","Urban Area","50","0.322496538061246","0.256889705159981","0.38810337096251","2"
"CDU/CSU","2000","indirect migration background","Rural Area","5","","","","2"
"FDP","2000","no migration background","Rural Area","67","0.0237616613904862","0.0183555410384249","0.0291677817425475","3"
"FDP","2000","direct migration background","Urban Area","16","","","","3"
"FDP","2000","direct migration background","Rural Area","3","","","","3"
"FDP","2000","indirect migration background","Urban Area","6","","","","3"
"FDP","2000","no migration background","Urban Area","186","0.0337210297314235","0.0292554926027169","0.0381865668601302","3"
"FDP","2000","indirect migration background","Rural Area","2","","","","3"
"Grüne","2000","no migration background","Urban Area","538","0.0826192339531335","0.0758086018085139","0.0894298660977531","4"
"Grüne","2000","no migration background","Rural Area","131","0.0389710541810229","0.0321018141831132","0.0458402941789327","4"
"Grüne","2000","direct migration background","Urban Area","45","0.0621473714829465","0.0458404970248958","0.0784542459409971","4"
"Grüne","2000","direct migration background","Rural Area","10","","","","4"
"Grüne","2000","indirect migration background","Urban Area","21","","","","4"
"Grüne","2000","indirect migration background","Rural Area","4","","","","4"
"NPD","2000","direct migration background","Rural Area","","","","","6"
"NPD","2000","no migration background","Urban Area","70","0.00971512740357013","0.00728864945268658","0.0121416053544537","6"
"NPD","2000","indirect migration background","Urban Area","1","","","","6"
"NPD","2000","direct migration background","Urban Area","4","","","","6"
"NPD","2000","indirect migration background","Rural Area","","","","","6"
"NPD","2000","no migration background","Rural Area","47","0.0136962970545093","0.00957079988005055","0.017821794228968","6"
"Other","2000","direct migration background","Rural Area","2","","","","8"
"Other","2000","indirect migration background","Urban Area","3","","","","8"
"Other","2000","indirect migration background","Rural Area","","","","","8"
"Other","2000","no migration background","Urban Area","56","0.00856957922077065","0.0062893269550012","0.0108498314865401","8"
"Other","2000","no migration background","Rural Area","41","0.0130684483150551","0.00903733591497799","0.0170995607151322","8"
"Other","2000","direct migration background","Urban Area","8","","","","8"
"PDS/Linke","2000","no migration background","Rural Area","277","0.0749078535597232","0.0655640101367382","0.0842516969827082","5"
"PDS/Linke","2000","direct migration background","Rural Area","13","","","","5"
"PDS/Linke","2000","no migration background","Urban Area","217","0.0272929365414788","0.0232621649020211","0.0313237081809364","5"
"PDS/Linke","2000","direct migration background","Urban Area","18","","","","5"
"PDS/Linke","2000","indirect migration background","Urban Area","3","","","","5"
"PDS/Linke","2000","indirect migration background","Rural Area","2","","","","5"
"SPD","2000","no migration background","Urban Area","2861","0.45957343316128","0.447244717699353","0.471902148623208","1"
"SPD","2000","direct migration background","Rural Area","56","0.302305133770561","0.236481354653246","0.368128912887876","1"
"SPD","2000","indirect migration background","Urban Area","111","0.470169035779149","0.40011607987191","0.540221991686389","1"
"SPD","2000","no migration background","Rural Area","1158","0.385531553471005","0.368255317147542","0.402807789794469","1"
"SPD","2000","direct migration background","Urban Area","404","0.449700191742178","0.416099109749563","0.483301273734792","1"
"SPD","2000","indirect migration background","Rural Area","13","","","","1"
"AfD","2001","direct migration background","Rural Area","","","","","7"
"AfD","2001","no migration background","Urban Area","","","","","7"
"AfD","2001","no migration background","Rural Area","","","","","7"
"AfD","2001","direct migration background","Urban Area","","","","","7"
