"party","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"AfD","1994","16-34 y.","Urban Area","","","","","7"
"AfD","1994","16-34 y.","Rural Area","","","","","7"
"AfD","1994","35-65 y.","Urban Area","","","","","7"
"AfD","1994","35-65 y.","Rural Area","","","","","7"
"AfD","1994","66 and older","Urban Area","","","","","7"
"AfD","1994","66 and older","Rural Area","","","","","7"
"CDU/CSU","1994","16-34 y.","Rural Area","113","0.318243241984561","0.272132790100674","0.364353693868447","2"
"CDU/CSU","1994","16-34 y.","Urban Area","224","0.248856059301463","0.22234919607984","0.275362922523086","2"
"CDU/CSU","1994","66 and older","Urban Area","267","0.488873022529488","0.446944051201695","0.530801993857282","2"
"CDU/CSU","1994","66 and older","Rural Area","116","0.463782224121434","0.400023177744299","0.527541270498569","2"
"CDU/CSU","1994","35-65 y.","Urban Area","677","0.362892871804813","0.342058005057818","0.383727738551807","2"
"CDU/CSU","1994","35-65 y.","Rural Area","365","0.439393751358686","0.406489782910646","0.472297719806727","2"
"FDP","1994","66 and older","Rural Area","6","","","","3"
"FDP","1994","66 and older","Urban Area","18","","","","3"
"FDP","1994","35-65 y.","Urban Area","61","0.036102378570536","0.0280192657862528","0.0441854913548192","3"
"FDP","1994","35-65 y.","Rural Area","33","0.0336689649521214","0.0217106435601308","0.045627286344112","3"
"FDP","1994","16-34 y.","Rural Area","4","","","","3"
"FDP","1994","16-34 y.","Urban Area","29","","","","3"
"NPD","1994","66 and older","Rural Area","1","","","","6"
"NPD","1994","16-34 y.","Rural Area","15","","","","6"
"NPD","1994","35-65 y.","Rural Area","8","","","","6"
"NPD","1994","66 and older","Urban Area","6","","","","6"
"NPD","1994","16-34 y.","Urban Area","34","0.030295572103802","0.0197872854444373","0.0408038587631667","6"
"NPD","1994","35-65 y.","Urban Area","29","","","","6"
"Other","1994","16-34 y.","Urban Area","9","","","","8"
"Other","1994","16-34 y.","Rural Area","16","","","","8"
"Other","1994","66 and older","Rural Area","1","","","","8"
"Other","1994","35-65 y.","Urban Area","22","","","","8"
"Other","1994","35-65 y.","Rural Area","13","","","","8"
"Other","1994","66 and older","Urban Area","4","","","","8"
"PDS/Linke","1994","35-65 y.","Rural Area","72","0.0520370805826132","0.0373124464907791","0.0667617146744473","5"
"PDS/Linke","1994","16-34 y.","Rural Area","24","","","","5"
"PDS/Linke","1994","35-65 y.","Urban Area","51","0.0148181232577395","0.00958272065202777","0.0200535258634512","5"
"PDS/Linke","1994","16-34 y.","Urban Area","27","","","","5"
"PDS/Linke","1994","66 and older","Urban Area","13","","","","5"
"PDS/Linke","1994","66 and older","Rural Area","23","","","","5"
"SPD","1994","66 and older","Urban Area","231","0.419665720020506","0.378271221088938","0.461060218952075","1"
"SPD","1994","66 and older","Rural Area","86","0.402359468183848","0.33966325732435","0.465055679043346","1"
"SPD","1994","35-65 y.","Rural Area","348","0.412049966085916","0.379418429410579","0.444681502761254","1"
"SPD","1994","16-34 y.","Rural Area","167","0.431497223902293","0.3824673975211","0.480527050283486","1"
"SPD","1994","16-34 y.","Urban Area","515","0.44889624011086","0.418402386293146","0.479390093928573","1"
"SPD","1994","35-65 y.","Urban Area","1068","0.493624597827996","0.471961030493601","0.515288165162391","1"
"AfD","1995","16-34 y.","Urban Area","","","","","7"
"AfD","1995","16-34 y.","Rural Area","","","","","7"
"AfD","1995","35-65 y.","Urban Area","","","","","7"
"AfD","1995","35-65 y.","Rural Area","","","","","7"
"AfD","1995","66 and older","Urban Area","","","","","7"
"AfD","1995","66 and older","Rural Area","","","","","7"
"CDU/CSU","1995","16-34 y.","Rural Area","187","0.382072312446399","0.339439947079911","0.424704677812887","2"
"CDU/CSU","1995","35-65 y.","Rural Area","504","0.471068535325533","0.440933650539451","0.501203420111615","2"
"CDU/CSU","1995","16-34 y.","Urban Area","333","0.285635027867448","0.259662702492038","0.311607353242858","2"
"CDU/CSU","1995","35-65 y.","Urban Area","812","0.377214834518403","0.357293594304066","0.397136074732739","2"
"CDU/CSU","1995","66 and older","Urban Area","292","0.509727811748539","0.469627410394419","0.549828213102659","2"
"CDU/CSU","1995","66 and older","Rural Area","127","0.463274206281119","0.403349961897678","0.523198450664559","2"
"FDP","1995","66 and older","Urban Area","24","","","","3"
"FDP","1995","66 and older","Rural Area","7","","","","3"
"FDP","1995","35-65 y.","Urban Area","61","0.0307625464119059","0.0236654762977129","0.0378596165260989","3"
"FDP","1995","35-65 y.","Rural Area","30","0.0214146306642398","0.0126752141284541","0.0301540472000254","3"
"FDP","1995","16-34 y.","Rural Area","8","","","","3"
"FDP","1995","16-34 y.","Urban Area","16","","","","3"
"NPD","1995","66 and older","Rural Area","1","","","","6"
"NPD","1995","16-34 y.","Urban Area","16","","","","6"
"NPD","1995","35-65 y.","Rural Area","7","","","","6"
"NPD","1995","66 and older","Urban Area","","","","","6"
"NPD","1995","16-34 y.","Rural Area","11","","","","6"
"NPD","1995","35-65 y.","Urban Area","21","","","","6"
"Other","1995","16-34 y.","Urban Area","14","","","","8"
"Other","1995","16-34 y.","Rural Area","5","","","","8"
"Other","1995","35-65 y.","Urban Area","23","","","","8"
"Other","1995","35-65 y.","Rural Area","7","","","","8"
"Other","1995","66 and older","Urban Area","2","","","","8"
"Other","1995","66 and older","Rural Area","","","","","8"
"PDS/Linke","1995","35-65 y.","Rural Area","74","0.0510238216971804","0.0377394220305973","0.0643082213637635","5"
"PDS/Linke","1995","16-34 y.","Rural Area","49","0.0678729068197085","0.0458038583485975","0.0899419552908194","5"
"PDS/Linke","1995","35-65 y.","Urban Area","61","0.0155824431553566","0.0104919446789906","0.0206729416317226","5"
"PDS/Linke","1995","16-34 y.","Urban Area","40","0.0300680530362964","0.0202490292332899","0.0398870768393028","5"
"PDS/Linke","1995","66 and older","Urban Area","15","","","","5"
"PDS/Linke","1995","66 and older","Rural Area","29","","","","5"
"SPD","1995","66 and older","Rural Area","102","0.398635412041547","0.339796567457919","0.457474256625175","1"
"SPD","1995","66 and older","Urban Area","251","0.39936854585129","0.360081272386207","0.438655819316373","1"
"SPD","1995","35-65 y.","Rural Area","380","0.386374016542218","0.356978329675184","0.415769703409252","1"
"SPD","1995","16-34 y.","Rural Area","176","0.367034761591148","0.324744405005247","0.409325118177048","1"
"SPD","1995","16-34 y.","Urban Area","499","0.412790949300564","0.384483125699619","0.441098772901509","1"
"SPD","1995","35-65 y.","Urban Area","1096","0.464527483167492","0.444028743479839","0.485026222855144","1"
"AfD","1996","35-65 y.","Rural Area","","","","","7"
"AfD","1996","16-34 y.","Urban Area","","","","","7"
"AfD","1996","16-34 y.","Rural Area","","","","","7"
"AfD","1996","35-65 y.","Urban Area","","","","","7"
"AfD","1996","66 and older","Rural Area","","","","","7"
"AfD","1996","66 and older","Urban Area","","","","","7"
"CDU/CSU","1996","16-34 y.","Rural Area","179","0.450777608357222","0.404547664018449","0.497007552695996","2"
"CDU/CSU","1996","16-34 y.","Urban Area","335","0.321622063729606","0.293542507939631","0.349701619519582","2"
"CDU/CSU","1996","35-65 y.","Rural Area","502","0.493127746705748","0.462713406948258","0.523542086463238","2"
"CDU/CSU","1996","35-65 y.","Urban Area","778","0.396181995608657","0.375172862855888","0.417191128361426","2"
"CDU/CSU","1996","66 and older","Urban Area","296","0.515773158713968","0.475310624345376","0.55623569308256","2"
"CDU/CSU","1996","66 and older","Rural Area","126","0.515865130821865","0.452901222727097","0.578829038916634","2"
"FDP","1996","66 and older","Urban Area","23","","","","3"
"FDP","1996","66 and older","Rural Area","4","","","","3"
"FDP","1996","35-65 y.","Urban Area","55","0.0297873076783377","0.0224850554487332","0.0370895599079423","3"
"FDP","1996","16-34 y.","Rural Area","4","","","","3"
"FDP","1996","35-65 y.","Rural Area","20","","","","3"
"FDP","1996","16-34 y.","Urban Area","11","","","","3"
"NPD","1996","35-65 y.","Rural Area","6","","","","6"
"NPD","1996","66 and older","Urban Area","2","","","","6"
"NPD","1996","66 and older","Rural Area","","","","","6"
"NPD","1996","16-34 y.","Urban Area","24","","","","6"
"NPD","1996","35-65 y.","Urban Area","25","","","","6"
"NPD","1996","16-34 y.","Rural Area","19","","","","6"
"Other","1996","16-34 y.","Urban Area","10","","","","8"
"Other","1996","16-34 y.","Rural Area","10","","","","8"
"Other","1996","35-65 y.","Urban Area","15","","","","8"
"Other","1996","35-65 y.","Rural Area","12","","","","8"
"Other","1996","66 and older","Urban Area","2","","","","8"
"Other","1996","66 and older","Rural Area","","","","","8"
"PDS/Linke","1996","35-65 y.","Rural Area","93","0.0591306779171078","0.044781715522473","0.0734796403117427","5"
"PDS/Linke","1996","35-65 y.","Urban Area","58","0.0151774331529747","0.00992590269479233","0.020428963611157","5"
"PDS/Linke","1996","16-34 y.","Rural Area","37","0.0621390964141736","0.0397095873256171","0.0845686055027301","5"
"PDS/Linke","1996","66 and older","Urban Area","22","","","","5"
"PDS/Linke","1996","66 and older","Rural Area","29","","","","5"
"PDS/Linke","1996","16-34 y.","Urban Area","41","0.040245226515513","0.0284306329176722","0.0520598201133538","5"
"SPD","1996","66 and older","Urban Area","234","0.393595528834643","0.35404014906142","0.433150908607866","1"
"SPD","1996","66 and older","Rural Area","82","0.35654908271672","0.296201791352517","0.416896374080924","1"
"SPD","1996","35-65 y.","Rural Area","342","0.342780247608755","0.313905871306759","0.37165462391075","1"
"SPD","1996","16-34 y.","Rural Area","133","0.276245258661881","0.234700980942745","0.317789536381017","1"
"SPD","1996","35-65 y.","Urban Area","940","0.430593588233104","0.409324313336983","0.451862863129224","1"
"SPD","1996","16-34 y.","Urban Area","411","0.347720304690136","0.319090827697409","0.376349781682863","1"
"AfD","1997","35-65 y.","Urban Area","","","","","7"
"AfD","1997","16-34 y.","Rural Area","","","","","7"
"AfD","1997","16-34 y.","Urban Area","","","","","7"
"AfD","1997","35-65 y.","Rural Area","","","","","7"
"AfD","1997","66 and older","Urban Area","","","","","7"
"AfD","1997","66 and older","Rural Area","","","","","7"
"CDU/CSU","1997","35-65 y.","Rural Area","423","0.465941688821723","0.433707681433566","0.49817569620988","2"
"CDU/CSU","1997","16-34 y.","Urban Area","288","0.303670706158071","0.274227365877074","0.333114046439068","2"
"CDU/CSU","1997","16-34 y.","Rural Area","131","0.378812867872603","0.32971574486523","0.427909990879976","2"
"CDU/CSU","1997","35-65 y.","Urban Area","702","0.369815825614932","0.348626750213481","0.391004901016383","2"
"CDU/CSU","1997","66 and older","Urban Area","290","0.503979807837998","0.463771933406011","0.544187682269985","2"
"CDU/CSU","1997","66 and older","Rural Area","115","0.46812777847717","0.407240845414432","0.529014711539907","2"
"FDP","1997","66 and older","Rural Area","8","","","","3"
"FDP","1997","66 and older","Urban Area","12","","","","3"
"FDP","1997","16-34 y.","Urban Area","13","","","","3"
"FDP","1997","16-34 y.","Rural Area","9","","","","3"
"FDP","1997","35-65 y.","Urban Area","50","0.0262084504798538","0.0191964943991263","0.0332204065605813","3"
"FDP","1997","35-65 y.","Rural Area","16","","","","3"
"NPD","1997","66 and older","Urban Area","7","","","","6"
"NPD","1997","35-65 y.","Rural Area","12","","","","6"
"NPD","1997","66 and older","Rural Area","1","","","","6"
"NPD","1997","16-34 y.","Urban Area","30","0.0363548140243832","0.0243703714893251","0.0483392565594412","6"
"NPD","1997","16-34 y.","Rural Area","21","","","","6"
"NPD","1997","35-65 y.","Urban Area","28","","","","6"
"Other","1997","35-65 y.","Rural Area","6","","","","8"
"Other","1997","16-34 y.","Rural Area","9","","","","8"
"Other","1997","16-34 y.","Urban Area","13","","","","8"
"Other","1997","35-65 y.","Urban Area","14","","","","8"
"Other","1997","66 and older","Urban Area","5","","","","8"
"Other","1997","66 and older","Rural Area","1","","","","8"
"PDS/Linke","1997","16-34 y.","Urban Area","27","","","","5"
"PDS/Linke","1997","16-34 y.","Rural Area","31","0.0509951563839925","0.0287297238819001","0.073260588886085","5"
"PDS/Linke","1997","66 and older","Urban Area","22","","","","5"
"PDS/Linke","1997","35-65 y.","Urban Area","53","0.0146487688704506","0.00937547943469778","0.0199220583062035","5"
"PDS/Linke","1997","35-65 y.","Rural Area","77","0.0491731527392558","0.0352008199092514","0.0631454855692602","5"
"PDS/Linke","1997","66 and older","Rural Area","31","0.0759364839188722","0.0436132807507033","0.108259687087041","5"
"SPD","1997","66 and older","Urban Area","245","0.410365768204328","0.370808000493938","0.449923535914718","1"
"SPD","1997","66 and older","Rural Area","100","0.36569027405053","0.306921635713384","0.424458912387675","1"
"SPD","1997","35-65 y.","Rural Area","338","0.384311760616494","0.35287944014292","0.415744081090068","1"
"SPD","1997","16-34 y.","Rural Area","128","0.348881545781134","0.300642194554799","0.397120897007469","1"
"SPD","1997","35-65 y.","Urban Area","949","0.47781831900304","0.455893918442682","0.499742719563398","1"
"SPD","1997","16-34 y.","Urban Area","383","0.365041505153955","0.334215156384029","0.39586785392388","1"
"AfD","1998","16-34 y.","Rural Area","","","","","7"
"AfD","1998","16-34 y.","Urban Area","","","","","7"
"AfD","1998","35-65 y.","Rural Area","","","","","7"
"AfD","1998","35-65 y.","Urban Area","","","","","7"
"AfD","1998","66 and older","Urban Area","","","","","7"
"AfD","1998","66 and older","Rural Area","","","","","7"
"CDU/CSU","1998","16-34 y.","Rural Area","123","0.338457079054579","0.291191112801718","0.38572304530744","2"
"CDU/CSU","1998","35-65 y.","Rural Area","435","0.414425916387261","0.384922810867742","0.443929021906781","2"
"CDU/CSU","1998","35-65 y.","Urban Area","758","0.344578186852002","0.325206898208917","0.363949475495087","2"
"CDU/CSU","1998","16-34 y.","Urban Area","249","0.239523378083725","0.212951138978705","0.266095617188745","2"
"CDU/CSU","1998","66 and older","Urban Area","330","0.473074920479461","0.43673211202625","0.509417728932672","2"
"CDU/CSU","1998","66 and older","Rural Area","140","0.486183306570257","0.429148337612708","0.543218275527806","2"
"FDP","1998","66 and older","Urban Area","16","","","","3"
"FDP","1998","66 and older","Rural Area","2","","","","3"
"FDP","1998","35-65 y.","Urban Area","63","0.0320134707865887","0.0248379204789577","0.0391890210942197","3"
"FDP","1998","35-65 y.","Rural Area","22","","","","3"
"FDP","1998","16-34 y.","Rural Area","5","","","","3"
"FDP","1998","16-34 y.","Urban Area","21","","","","3"
"NPD","1998","16-34 y.","Urban Area","29","","","","6"
"NPD","1998","35-65 y.","Rural Area","13","","","","6"
"NPD","1998","66 and older","Urban Area","7","","","","6"
"NPD","1998","66 and older","Rural Area","1","","","","6"
"NPD","1998","16-34 y.","Rural Area","16","","","","6"
"NPD","1998","35-65 y.","Urban Area","26","","","","6"
"Other","1998","35-65 y.","Rural Area","19","","","","8"
"Other","1998","16-34 y.","Urban Area","17","","","","8"
"Other","1998","16-34 y.","Rural Area","18","","","","8"
"Other","1998","35-65 y.","Urban Area","16","","","","8"
"Other","1998","66 and older","Urban Area","6","","","","8"
"Other","1998","66 and older","Rural Area","4","","","","8"
"PDS/Linke","1998","16-34 y.","Urban Area","34","0.0285267508170431","0.0181621437745712","0.0388913578595149","5"
"PDS/Linke","1998","35-65 y.","Rural Area","84","0.0486843818140203","0.0357956407457988","0.0615731228822419","5"
"PDS/Linke","1998","16-34 y.","Rural Area","27","","","","5"
"PDS/Linke","1998","35-65 y.","Urban Area","49","0.0131626342647715","0.00851696406180686","0.0178083044677361","5"
"PDS/Linke","1998","66 and older","Urban Area","21","","","","5"
"PDS/Linke","1998","66 and older","Rural Area","36","0.0881675249409541","0.0558119638493402","0.120523086032568","5"
"SPD","1998","66 and older","Urban Area","326","0.435877090206816","0.39978201276539","0.471972167648243","1"
"SPD","1998","66 and older","Rural Area","111","0.390221841408524","0.33455727862512","0.445886404191927","1"
"SPD","1998","35-65 y.","Rural Area","430","0.40910492253988","0.379658950579067","0.438550894500693","1"
"SPD","1998","16-34 y.","Rural Area","151","0.414144986325801","0.364942278345942","0.463347694305661","1"
"SPD","1998","35-65 y.","Urban Area","1186","0.49217557916962","0.471797136234804","0.512554022104435","1"
"SPD","1998","16-34 y.","Urban Area","454","0.43553401229908","0.404663688059254","0.466404336538907","1"
"AfD","1999","16-34 y.","Urban Area","","","","","7"
"AfD","1999","35-65 y.","Rural Area","","","","","7"
"AfD","1999","16-34 y.","Rural Area","","","","","7"
"AfD","1999","35-65 y.","Urban Area","","","","","7"
"AfD","1999","66 and older","Urban Area","","","","","7"
"AfD","1999","66 and older","Rural Area","","","","","7"
"CDU/CSU","1999","16-34 y.","Rural Area","180","0.419233470893662","0.375765010779897","0.462701931007426","2"
"CDU/CSU","1999","16-34 y.","Urban Area","350","0.3207914382306","0.29301694253578","0.34856593392542","2"
"CDU/CSU","1999","35-65 y.","Rural Area","492","0.433306197884632","0.404790055248144","0.461822340521121","2"
"CDU/CSU","1999","35-65 y.","Urban Area","867","0.384857548855568","0.365305659802043","0.404409437909094","2"
"CDU/CSU","1999","66 and older","Urban Area","361","0.526643895560169","0.490299989095139","0.562987802025199","2"
"CDU/CSU","1999","66 and older","Rural Area","162","0.497750524939079","0.44420893092901","0.551292118949148","2"
"FDP","1999","66 and older","Rural Area","2","","","","3"
"FDP","1999","66 and older","Urban Area","16","","","","3"
"FDP","1999","35-65 y.","Urban Area","57","0.028401046371604","0.021725888220519","0.035076204522689","3"
"FDP","1999","35-65 y.","Rural Area","24","","","","3"
"FDP","1999","16-34 y.","Rural Area","10","","","","3"
"FDP","1999","16-34 y.","Urban Area","26","","","","3"
"NPD","1999","16-34 y.","Urban Area","23","","","","6"
"NPD","1999","35-65 y.","Rural Area","9","","","","6"
"NPD","1999","66 and older","Urban Area","3","","","","6"
"NPD","1999","66 and older","Rural Area","","","","","6"
"NPD","1999","16-34 y.","Rural Area","23","","","","6"
"NPD","1999","35-65 y.","Urban Area","21","","","","6"
"Other","1999","35-65 y.","Rural Area","7","","","","8"
"Other","1999","66 and older","Urban Area","4","","","","8"
"Other","1999","66 and older","Rural Area","2","","","","8"
"Other","1999","16-34 y.","Urban Area","25","","","","8"
"Other","1999","16-34 y.","Rural Area","16","","","","8"
"Other","1999","35-65 y.","Urban Area","18","","","","8"
"PDS/Linke","1999","16-34 y.","Urban Area","41","0.0349508133731797","0.0240229164479209","0.0458787102984385","5"
"PDS/Linke","1999","16-34 y.","Rural Area","33","0.0487438481918041","0.0297744244917228","0.0677132718918855","5"
"PDS/Linke","1999","35-65 y.","Rural Area","97","0.0578107009233536","0.0443801973227989","0.0712412045239082","5"
"PDS/Linke","1999","35-65 y.","Urban Area","62","0.0185257563992949","0.0131072661262228","0.023944246672367","5"
"PDS/Linke","1999","66 and older","Rural Area","45","0.0956950442236564","0.0641937884703873","0.127196299976926","5"
"PDS/Linke","1999","66 and older","Urban Area","26","","","","5"
"SPD","1999","66 and older","Urban Area","303","0.398256118213903","0.362621988417504","0.433890248010302","1"
"SPD","1999","66 and older","Rural Area","123","0.379131266172341","0.327177099524085","0.431085432820597","1"
"SPD","1999","35-65 y.","Rural Area","480","0.424558991418886","0.39611513209217","0.453002850745603","1"
"SPD","1999","35-65 y.","Urban Area","1186","0.483368651081222","0.463287875245469","0.503449426916976","1"
"SPD","1999","16-34 y.","Rural Area","191","0.376001371106629","0.33333044943036","0.418672292782898","1"
"SPD","1999","16-34 y.","Urban Area","474","0.430910271914644","0.401444554554189","0.460375989275099","1"
"AfD","2000","35-65 y.","Rural Area","","","","","7"
"AfD","2000","16-34 y.","Urban Area","","","","","7"
"AfD","2000","16-34 y.","Rural Area","","","","","7"
"AfD","2000","35-65 y.","Urban Area","","","","","7"
"AfD","2000","66 and older","Rural Area","","","","","7"
"AfD","2000","66 and older","Urban Area","","","","","7"
"CDU/CSU","2000","16-34 y.","Rural Area","265","0.420377754691726","0.382517469075261","0.458238040308191","2"
"CDU/CSU","2000","35-65 y.","Urban Area","1555","0.357099107514761","0.342827577357614","0.371370637671908","2"
"CDU/CSU","2000","35-65 y.","Rural Area","863","0.446099875774857","0.424160391317128","0.468039360232585","2"
"CDU/CSU","2000","66 and older","Rural Area","308","0.492421852374279","0.453598012075108","0.531245692673449","2"
"CDU/CSU","2000","16-34 y.","Urban Area","503","0.30234277155357","0.279915772489665","0.324769770617476","2"
"CDU/CSU","2000","66 and older","Urban Area","688","0.509293626133758","0.482850804687873","0.535736447579643","2"
"FDP","2000","66 and older","Urban Area","38","0.0351271114254958","0.0253891266022908","0.0448650962487007","3"
"FDP","2000","66 and older","Rural Area","15","","","","3"
"FDP","2000","16-34 y.","Urban Area","46","0.0322491621600335","0.0236225292703226","0.0408757950497444","3"
"FDP","2000","16-34 y.","Rural Area","17","","","","3"
"FDP","2000","35-65 y.","Urban Area","124","0.0313389160142813","0.0261493378898778","0.0365284941386848","3"
"FDP","2000","35-65 y.","Rural Area","40","0.020198847350694","0.0139897724004755","0.0264079223009125","3"
"NPD","2000","35-65 y.","Rural Area","19","","","","6"
"NPD","2000","16-34 y.","Urban Area","43","0.0258086506555615","0.0180657247258025","0.0335515765853206","6"
"NPD","2000","66 and older","Urban Area","4","","","","6"
"NPD","2000","35-65 y.","Urban Area","28","","","","6"
"NPD","2000","66 and older","Rural Area","1","","","","6"
"NPD","2000","16-34 y.","Rural Area","27","","","","6"
"Other","2000","35-65 y.","Rural Area","21","","","","8"
"Other","2000","66 and older","Urban Area","9","","","","8"
"Other","2000","66 and older","Rural Area","6","","","","8"
"Other","2000","16-34 y.","Urban Area","23","","","","8"
"Other","2000","16-34 y.","Rural Area","16","","","","8"
"Other","2000","35-65 y.","Urban Area","35","0.00814135264875433","0.00546479058428753","0.0108179147132211","8"
"PDS/Linke","2000","16-34 y.","Rural Area","59","0.0737278569632254","0.053684216346772","0.0937714975796787","5"
"PDS/Linke","2000","35-65 y.","Rural Area","163","0.0662203459588324","0.055245142957669","0.0771955489599958","5"
"PDS/Linke","2000","16-34 y.","Urban Area","74","0.0401288276274973","0.0305450874497975","0.049712567805197","5"
"PDS/Linke","2000","35-65 y.","Urban Area","118","0.0202507795188276","0.0160552915619029","0.0244462674757524","5"
"PDS/Linke","2000","66 and older","Urban Area","46","0.0302313807484028","0.021174557811769","0.0392882036850366","5"
"PDS/Linke","2000","66 and older","Rural Area","70","0.0943838600513661","0.0716800199613928","0.117087700141339","5"
"SPD","2000","66 and older","Urban Area","566","0.399151654263038","0.373247809780655","0.425055498745422","1"
"SPD","2000","66 and older","Rural Area","233","0.366633844287035","0.32921226795695","0.404055420617119","1"
"SPD","2000","35-65 y.","Rural Area","780","0.407802131759668","0.386112468902506","0.42949179461683","1"
"SPD","2000","16-34 y.","Urban Area","701","0.43149593029251","0.407310408486606","0.455681452098414","1"
"SPD","2000","35-65 y.","Urban Area","2109","0.493460593079331","0.478569142662161","0.508352043496502","1"
"SPD","2000","16-34 y.","Rural Area","214","0.320984152386781","0.285176714183664","0.356791590589897","1"
"AfD","2001","35-65 y.","Rural Area","","","","","7"
"AfD","2001","16-34 y.","Urban Area","","","","","7"
"AfD","2001","16-34 y.","Rural Area","","","","","7"
"AfD","2001","35-65 y.","Urban Area","","","","","7"
"AfD","2001","66 and older","Urban Area","","","","","7"
"AfD","2001","66 and older","Rural Area","","","","","7"
"CDU/CSU","2001","35-65 y.","Urban Area","1306","0.341849865490086","0.326808176544906","0.356891554435266","2"
"CDU/CSU","2001","16-34 y.","Urban Area","416","0.313244077542573","0.288270383149907","0.338217771935238","2"
"CDU/CSU","2001","16-34 y.","Rural Area","206","0.413477007053956","0.37110952881031","0.455844485297603","2"
"CDU/CSU","2001","35-65 y.","Rural Area","735","0.437757340915855","0.414284369765918","0.461230312065792","2"
"CDU/CSU","2001","66 and older","Urban Area","606","0.490657367917547","0.463174029079334","0.518140706755761","2"
"CDU/CSU","2001","66 and older","Rural Area","264","0.471288824860952","0.430699405304003","0.5118782444179","2"
"FDP","2001","66 and older","Urban Area","49","0.0420150894945352","0.0309855521260184","0.0530446268630521","3"
"FDP","2001","66 and older","Rural Area","18","","","","3"
"FDP","2001","35-65 y.","Urban Area","122","0.0362456327915787","0.0303187350784607","0.0421725305046967","3"
"FDP","2001","35-65 y.","Rural Area","51","0.0320095754488428","0.0236811109872684","0.0403380399104171","3"
"FDP","2001","16-34 y.","Urban Area","50","0.0394671218865523","0.0289834360549948","0.0499508077181098","3"
"FDP","2001","16-34 y.","Rural Area","15","","","","3"
"NPD","2001","35-65 y.","Rural Area","21","","","","6"
"NPD","2001","66 and older","Urban Area","3","","","","6"
"NPD","2001","16-34 y.","Urban Area","26","","","","6"
"NPD","2001","66 and older","Rural Area","1","","","","6"
"NPD","2001","35-65 y.","Urban Area","28","","","","6"
"NPD","2001","16-34 y.","Rural Area","19","","","","6"
"Other","2001","16-34 y.","Urban Area","25","","","","8"
"Other","2001","35-65 y.","Rural Area","16","","","","8"
"Other","2001","66 and older","Urban Area","3","","","","8"
"Other","2001","66 and older","Rural Area","7","","","","8"
"Other","2001","16-34 y.","Rural Area","10","","","","8"
"Other","2001","35-65 y.","Urban Area","29","","","","8"
"PDS/Linke","2001","16-34 y.","Urban Area","51","0.0389615233829172","0.0285424642138552","0.0493805825519793","5"
"PDS/Linke","2001","16-34 y.","Rural Area","40","0.0616733554262276","0.040977173888567","0.0823695369638883","5"
"PDS/Linke","2001","35-65 y.","Rural Area","132","0.0608201785039467","0.049512129782015","0.0721282272258784","5"
"PDS/Linke","2001","35-65 y.","Urban Area","97","0.0194026369581344","0.0150285022977396","0.0237767716185291","5"
"PDS/Linke","2001","66 and older","Urban Area","35","0.0230896766128447","0.014832879932862","0.0313464732928274","5"
"PDS/Linke","2001","66 and older","Rural Area","78","0.104509788912829","0.0796344542948586","0.129385123530799","5"
"SPD","2001","66 and older","Rural Area","208","0.36578480703369","0.326620434125365","0.404949179942015","1"
"SPD","2001","66 and older","Urban Area","550","0.418272721048436","0.391154274900446","0.445391167196426","1"
"SPD","2001","35-65 y.","Rural Area","665","0.395347141744976","0.372214149832924","0.418480133657027","1"
"SPD","2001","16-34 y.","Urban Area","557","0.409796149060002","0.383315714505699","0.436276583614306","1"
"SPD","2001","35-65 y.","Urban Area","1906","0.502290532033179","0.486434962126276","0.518146101940083","1"
"SPD","2001","16-34 y.","Rural Area","188","0.35997971085531","0.318684442297502","0.401274979413118","1"
"AfD","2002","16-34 y.","Rural Area","","","","","7"
"AfD","2002","35-65 y.","Rural Area","","","","","7"
"AfD","2002","35-65 y.","Urban Area","","","","","7"
"AfD","2002","16-34 y.","Urban Area","","","","","7"
"AfD","2002","66 and older","Urban Area","","","","","7"
"AfD","2002","66 and older","Rural Area","","","","","7"
"CDU/CSU","2002","35-65 y.","Rural Area","824","0.436662182375165","0.414218768515724","0.459105596234606","2"
"CDU/CSU","2002","16-34 y.","Urban Area","444","0.296920049555979","0.273020668376002","0.320819430735955","2"
"CDU/CSU","2002","16-34 y.","Rural Area","222","0.420381113136027","0.378316866306942","0.462445359965112","2"
"CDU/CSU","2002","35-65 y.","Urban Area","1660","0.359295205045862","0.345315645218496","0.373274764873227","2"
"CDU/CSU","2002","66 and older","Urban Area","729","0.497714541396421","0.47220689548386","0.523222187308983","2"
"CDU/CSU","2002","66 and older","Rural Area","276","0.46905334850795","0.428474792527916","0.509631904487984","2"
"FDP","2002","66 and older","Urban Area","65","0.0408172032406365","0.0307228796024177","0.0509115268788552","3"
"FDP","2002","66 and older","Rural Area","15","","","","3"
"FDP","2002","16-34 y.","Urban Area","87","0.0621415908987391","0.0495138878867954","0.0747692939106828","3"
"FDP","2002","35-65 y.","Urban Area","218","0.0415288596086049","0.0357158194615482","0.0473418997556616","3"
"FDP","2002","35-65 y.","Rural Area","76","0.0287563213607707","0.0211938726756691","0.0363187700458724","3"
"FDP","2002","16-34 y.","Rural Area","23","","","","3"
"NPD","2002","16-34 y.","Rural Area","14","","","","6"
"NPD","2002","35-65 y.","Rural Area","13","","","","6"
"NPD","2002","66 and older","Urban Area","1","","","","6"
